assessment_id	dimension	delta	baseline_value	perturbed_value	baseline_strength	perturbed_strength	baseline_confidence	perturbed_confidence	baseline_status	perturbed_status	direct_decision_changed	skip_one_decision_changed
R14-ASSOC-002	D5	-1	1	0	STRONG	WEAK	HIGH	LOW	EXTERNALLY_SUPPORTED	INSUFFICIENT	true	true
R14-ASSOC-002	D5	1	1	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-002	D6	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-002	D6	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-002	D7	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-002	D7	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D1	-1	2	1	STRONG	MODERATE	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D1	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D2	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D2	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D3	-1	1	0	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D3	1	1	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D4	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D4	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D5	-1	1	0	STRONG	WEAK	HIGH	LOW	EXTERNALLY_SUPPORTED	INSUFFICIENT	true	true
R14-ASSOC-003	D5	1	1	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D6	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D6	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D7	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-003	D7	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D1	-1	2	1	STRONG	MODERATE	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D1	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D2	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D2	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D3	-1	1	0	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D3	1	1	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D4	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D4	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D5	-1	1	0	STRONG	WEAK	HIGH	LOW	EXTERNALLY_SUPPORTED	INSUFFICIENT	true	true
R14-ASSOC-004	D5	1	1	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D6	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D6	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D7	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-004	D7	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D1	-1	2	1	STRONG	MODERATE	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D1	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D2	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D2	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D3	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D3	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D4	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D4	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D5	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D5	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D6	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D6	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D7	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-005	D7	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D1	-1	2	1	STRONG	MODERATE	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D1	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D2	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D2	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D3	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D3	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D4	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D4	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D5	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D5	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D6	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D6	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D7	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-006	D7	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-007	D1	-1	2	1	STRONG	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-007	D1	1	2	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-007	D2	-1	1	0	STRONG	MODERATE	MODERATE	LOW	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	true	true
R14-ASSOC-007	D2	1	1	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-007	D3	-1	0	0	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-007	D3	1	0	1	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-007	D4	-1	2	1	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-007	D4	1	2	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-007	D5	-1	2	1	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-007	D5	1	2	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-007	D6	-1	1	0	STRONG	WEAK	MODERATE	LOW	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	true	true
R14-ASSOC-007	D6	1	1	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-007	D7	-1	2	1	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-007	D7	1	2	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D1	-1	2	1	STRONG	MODERATE	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D1	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D2	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D2	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D3	-1	1	0	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D3	1	1	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D4	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D4	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D5	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D5	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D6	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D6	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D7	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-008	D7	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-009	D1	-1	2	1	STRONG	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-009	D1	1	2	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-009	D2	-1	1	0	STRONG	MODERATE	MODERATE	LOW	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	true	true
R14-ASSOC-009	D2	1	1	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-009	D3	-1	0	0	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-009	D3	1	0	1	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-009	D4	-1	2	1	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-009	D4	1	2	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-009	D5	-1	2	1	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-009	D5	1	2	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-009	D6	-1	1	0	STRONG	WEAK	MODERATE	LOW	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	true	true
R14-ASSOC-009	D6	1	1	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-009	D7	-1	2	1	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-009	D7	1	2	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D1	-1	2	1	STRONG	MODERATE	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D1	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D2	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D2	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D3	-1	1	0	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D3	1	1	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D4	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D4	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D5	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D5	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D6	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D6	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D7	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-010	D7	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-011	D1	-1	2	1	STRONG	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-011	D1	1	2	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-011	D2	-1	1	0	STRONG	MODERATE	MODERATE	LOW	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	true	true
R14-ASSOC-011	D2	1	1	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-011	D3	-1	0	0	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-011	D3	1	0	1	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-011	D4	-1	2	1	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-011	D4	1	2	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-011	D5	-1	2	1	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-011	D5	1	2	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-011	D6	-1	1	0	STRONG	WEAK	MODERATE	LOW	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	true	true
R14-ASSOC-011	D6	1	1	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-011	D7	-1	2	1	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-011	D7	1	2	2	STRONG	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-012	D1	-1	1	0	MODERATE	WEAK	MODERATE	LOW	EXTERNALLY_SUPPORTED	INSUFFICIENT	true	true
R14-ASSOC-012	D1	1	1	2	MODERATE	STRONG	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-012	D2	-1	1	0	MODERATE	MODERATE	MODERATE	LOW	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	true	true
R14-ASSOC-012	D2	1	1	2	MODERATE	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-012	D3	-1	0	0	MODERATE	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-012	D3	1	0	1	MODERATE	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-012	D4	-1	2	1	MODERATE	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-012	D4	1	2	2	MODERATE	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-012	D5	-1	2	1	MODERATE	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-012	D5	1	2	2	MODERATE	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-012	D6	-1	1	0	MODERATE	WEAK	MODERATE	LOW	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	true	true
R14-ASSOC-012	D6	1	1	2	MODERATE	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-012	D7	-1	2	1	MODERATE	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-012	D7	1	2	2	MODERATE	MODERATE	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-013	D1	-1	2	1	STRONG	MODERATE	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-013	D1	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-013	D2	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-013	D2	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-013	D3	-1	1	0	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-013	D3	1	1	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
