evidence_id	assessment_id	evidence_channel	source_id	source_kind	creator	year	title	locator	stable_url	doi	source_family	domain_alignment	support_role	association_context	source_metadata_verified	evidence_verified	upstream_evidence_ref
R14-EVID-013-02	R14-ASSOC-013	EXTERNAL_SCHOLARSHIP	COMP-SRC-014	ARTICLE	Imam Santosa;I. Kadek Dwi Noorwatha	2025	Symbolic and Aesthetic Fusion in Keraton Surakarta: Colonial Influence and Javanese Cultural Resistance through Architectural Design Adaptation	abstract and results	https://doi.org/10.1080/23311983.2025.2482456	10.1080/23311983.2025.2482456	JAVANESE_ARCHITECTURAL_DESIGN	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Javanese architectural-design case treats selective adaptation as negotiation and symbolic resistance.	true	true	COMP-EVID-015
R14-EVID-014-01	R14-ASSOC-014	EXTERNAL_SCHOLARSHIP	COMP-SRC-013	ARTICLE	Tom Avermaete;Cathelijne Nuijsink	2021	Architectural Contact Zones: Another Way to Write Global Histories of the Post-War Period?	p.354; Contact Zone section	https://www.tandfonline.com/doi/full/10.1080/13264826.2021.1939745	10.1080/13264826.2021.1939745	ARCHITECTURAL_CONTACT_ZONES	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Architectural contact zones support reciprocal negotiation, selective borrowing, adaptation, and rejection.	true	true	COMP-EVID-014
R14-EVID-015-01	R14-ASSOC-015	EXTERNAL_SCHOLARSHIP	COMP-SRC-013	ARTICLE	Tom Avermaete;Cathelijne Nuijsink	2021	Architectural Contact Zones: Another Way to Write Global Histories of the Post-War Period?	p.354; Contact Zone section	https://www.tandfonline.com/doi/full/10.1080/13264826.2021.1939745	10.1080/13264826.2021.1939745	ARCHITECTURAL_CONTACT_ZONES	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Architectural contact zones support reciprocal negotiation, selective borrowing, adaptation, and rejection.	true	true	COMP-EVID-014
R14-EVID-016-01	R14-ASSOC-016	EXTERNAL_SCHOLARSHIP	COMP-SRC-004	ARTICLE	Livia Rezende	2017	Manufacturing the Raw in Design Pageantries: the Commodification and Gendering of Brazilian Tropical Nature	title; abstract; pp.122–138	https://researchonline.rca.ac.uk/2773/	10.1093/jdh/epx007	BRAZILIAN_ENVIRONMENTAL_DESIGN_HISTORY	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Brazilian exposition case analyzes gendering and commodification as parallel processes acting on tropical nature and raw materials.	true	true	COMP-EVID-003
R14-EVID-016-02	R14-ASSOC-016	EXTERNAL_SCHOLARSHIP	COMP-SRC-005	ARTICLE	Emma Waight	2019	Mother, Consumer, Trader: Gendering the Commodification of Second-Hand Economies	title; abstract; pp.532–550	https://journals.sagepub.com/doi/abs/10.1177/1469540519872069	10.1177/1469540519872069	CONSUMER_MATERIAL_CULTURE	ADJACENT_DISCIPLINE	ASSOCIATION_SUPPORT	Second-hand commodification is qualified through maternal subject positions as consumers and traders.	true	true	COMP-EVID-004
R14-EVID-017-01	R14-ASSOC-017	EXTERNAL_SCHOLARSHIP	COMP-SRC-006	ARTICLE	Gino Cattani;Mariachiara Colucci;Simone Ferriani	2023	From the Margins to the Core of Haute Couture: The Entrepreneurial Journey of Coco Chanel	p.573 and note 164	https://www.cambridge.org/core/journals/enterprise-and-society/article/from-the-margins-to-the-core-of-haute-couture-the-entrepreneurial-journey-of-coco-chanel/2EB663E94E9C67F6CB3B9CF962242FAD	10.1017/eso.2021.58	FASHION_PIRACY_HISTORY	ADJACENT_DISCIPLINE	ASSOCIATION_SUPPORT	Chanel's accommodation of imitation is contrasted with her response to practices classified as piracy.	true	true	COMP-EVID-005
R14-EVID-017-02	R14-ASSOC-017	EXTERNAL_SCHOLARSHIP	COMP-SRC-007	ARTICLE	Alice Wickens	2025	From Calico to Catwalk: Addressing the UK's Enduring Issue of Fashion Piracy	pp.71–77; section 3	https://academic.oup.com/jiplp/article/20/2/71/7916754	10.1093/jiplp/jpae107	FASHION_RIGHTS_HISTORY	ADJACENT_DISCIPLINE	ASSOCIATION_SUPPORT	Legal-history discussion shows that authorization, protected subject matter, and rights regimes condition a piracy classification.	true	true	COMP-EVID-006
R14-EVID-017-03	R14-ASSOC-017	EXTERNAL_SCHOLARSHIP	COMP-SRC-008	ARTICLE	Areti T. Vogel;Jacob Vogel;Kittichai Watchravesringkan;Sasikarn Chatvijit Cook;James Beasley;Randall Croom;Dale Peterson;Joshua Finkelstein	2023	Design Piracy: An Interdisciplinary Investigation into Competitive Industrial Behavior	abstract; Actors of Design Piracy	https://www.sciencedirect.com/science/article/pii/S0148296323003041	10.1016/j.jbusres.2023.113946	DESIGN_PIRACY_BEHAVIOR	ADJACENT_DISCIPLINE	ASSOCIATION_SUPPORT	Behavioral research places imitation within a design-piracy environment and distinguishes leaders, pirates, and audiences.	true	true	COMP-EVID-007
R14-EVID-018-01	R14-ASSOC-018	ARCHIVE_SOURCE	R14-ARC-002	INSTITUTIONAL_EXHIBITION_ARCHIVE	The Museum of Modern Art	1991	The Graphic Designs of Herbert Matter	Exhibition description	https://www.moma.org/calendar/exhibitions/340		MOMA_EXHIBITION_ARCHIVE	GRAPHIC_DESIGN_MUSEUM_ARCHIVE	ASSOCIATION_SUPPORT	The institutional exhibition record explicitly describes Matter's synthesis of photography and typography and his use of photomontage.	true	true	R14-ARC-002
R14-EVID-019-01	R14-ASSOC-019	ARCHIVE_SOURCE	R14-ARC-003	PRIMARY_DESIGNER_TESTIMONY	Ken Garland	2012	Last things last	Author's retrospective account of First Things First	https://eyemagazine.com/feature/article/last-things-last		EYE_PRIMARY_DESIGNER_ACCOUNT	GRAPHIC_DESIGN_PRIMARY_SOURCE	ASSOCIATION_SUPPORT	Garland's own account qualifies the manifesto's critique of commercial design and discusses clients, commerce, and visual-communication practice.	true	true	R14-ARC-003
R14-EVID-019-02	R14-ASSOC-019	ARCHIVE_SOURCE	R14-ARC-004	PRIMARY_DESIGNER_LETTER	Ken Garland	1994	First things last	Letter to the editor	https://eyemagazine.com/opinion/article/letter-first-things-last		EYE_PRIMARY_DESIGNER_ACCOUNT	GRAPHIC_DESIGN_PRIMARY_SOURCE	ASSOCIATION_SUPPORT	Garland clarifies that the 1964 manifesto concerned spending priorities and the social context and purposes of graphic-design work.	true	true	R14-ARC-004
R14-EVID-020-01	R14-ASSOC-020	ARCHIVE_SOURCE	R14-ARC-001	INSTITUTIONAL_ARCHIVE_PRIMARY_SOURCE_CONTEXT	Bauhaus-Archiv / Museum für Gestaltung	1919; current institutional description	Manifest und Programm des Staatlichen Bauhauses / Das Bauhaus	Program section and 1919 chronology	https://www.bauhaus.de/de/das_bauhaus/		BAUHAUS_ARCHIVE	DESIGN_HISTORY_ARCHIVE	ASSOCIATION_SUPPORT	The archive presents the founding manifesto and its educational vision joining art, craft, workshops, and a new school program.	true	true	R14-ARC-001
R14-EVID-021-01	R14-ASSOC-021	EXTERNAL_SCHOLARSHIP	COMP-SRC-001	ARTICLE	Grace Lees-Maffei	2008	Introduction: Professionalization as a Focus in Interior Design History	accepted manuscript p.9	https://academic.oup.com/jdh/article/21/1/1/361205	10.1093/jdh/epn007	PROFESSIONALIZATION_INTERIOR_DESIGN	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Professionalization is defined through the institutionalisation of occupational trust and reputation in an interior-design history.	true	true	COMP-EVID-001
R14-EVID-021-02	R14-ASSOC-021	EXTERNAL_SCHOLARSHIP	COMP-SRC-002	ARTICLE	Turid Moldenæs;Hilde Marie Pettersen	2021	The Professional Project of Graphic Designers and Universities' Visual Identities	pp.185, 194	https://munin.uit.no/handle/10037/22810	10.1093/jpo/joab010	GRAPHIC_DESIGN_PROFESSIONS	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Graphic designers' professional project and the institutionalization of their logic are described as interwoven and mutually reinforcing.	true	true	COMP-EVID-002
R14-EVID-022-01	R14-ASSOC-022	EXTERNAL_SCHOLARSHIP	COMP-SRC-011	ARTICLE	Gay McDonald	2010	The Modern American Home as Soft Power: Finland, MoMA and the 'American Home 1953' Exhibition	abstract; pp.387–408	https://academic.oup.com/jdh/article/23/4/387/426251	10.1093/jdh/epq038	COLD_WAR_EXHIBITION_TRANSFER	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Cold War exhibition tests and criticizes an orthodox donor-to-host transfer model while retaining receiving agency.	true	true	COMP-EVID-012
R14-EVID-022-02	R14-ASSOC-022	EXTERNAL_SCHOLARSHIP	COMP-SRC-012	BOOK_REVIEW	Todd P. Olson	2023	Cultural Transfer and Its Discontents: Recent Scholarship on the Mobility of Early Modern Prints	title; pp.153–160	https://doi.org/10.1093/oxartj/kcad007	10.1093/oxartj/kcad007	PRINT_MOBILITY	ADJACENT_DISCIPLINE	ASSOCIATION_SUPPORT	Print mobility scholarship uses cultural transfer for movement and circulation across colonial and receiving settings.	true	true	COMP-EVID-013
R14-EVID-022-03	R14-ASSOC-022	EXTERNAL_SCHOLARSHIP	COMP-SRC-013	ARTICLE	Tom Avermaete;Cathelijne Nuijsink	2021	Architectural Contact Zones: Another Way to Write Global Histories of the Post-War Period?	p.354; Contact Zone section	https://www.tandfonline.com/doi/full/10.1080/13264826.2021.1939745	10.1080/13264826.2021.1939745	ARCHITECTURAL_CONTACT_ZONES	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Architectural contact zones support reciprocal negotiation, selective borrowing, adaptation, and rejection.	true	true	COMP-EVID-014
R14-EVID-023-01	R14-ASSOC-023	EXTERNAL_SCHOLARSHIP	COMP-SRC-017	ARTICLE	Hifsiye Pulhan;İbrahim Numan	2006	The Traditional Urban House in Cyprus as Material Expression of Cultural Transformation	title; abstract; pp.105–119	https://doi.org/10.1093/jdh/epi050	10.1093/jdh/epi050	CYPRUS_ARCHITECTURAL_HISTORY	DESIGN_HISTORY	CONCEPT_ONLY_NOT_ASSOCIATION	Cypriot urban houses are read as material evidence of change between named Ottoman-period and British-colonial cultural configurations.	true	true	COMP-EVID-018
R14-EVID-023-02	R14-ASSOC-023	EXTERNAL_SCHOLARSHIP	COMP-SRC-006	ARTICLE	Gino Cattani;Mariachiara Colucci;Simone Ferriani	2023	From the Margins to the Core of Haute Couture: The Entrepreneurial Journey of Coco Chanel	p.573 and note 164	https://www.cambridge.org/core/journals/enterprise-and-society/article/from-the-margins-to-the-core-of-haute-couture-the-entrepreneurial-journey-of-coco-chanel/2EB663E94E9C67F6CB3B9CF962242FAD	10.1017/eso.2021.58	FASHION_PIRACY_HISTORY	ADJACENT_DISCIPLINE	CONCEPT_ONLY_NOT_ASSOCIATION	Chanel's accommodation of imitation is contrasted with her response to practices classified as piracy.	true	true	COMP-EVID-005
R14-EVID-024-01	R14-ASSOC-024	EXTERNAL_SCHOLARSHIP	COMP-SRC-001	ARTICLE	Grace Lees-Maffei	2008	Introduction: Professionalization as a Focus in Interior Design History	accepted manuscript p.9	https://academic.oup.com/jdh/article/21/1/1/361205	10.1093/jdh/epn007	PROFESSIONALIZATION_INTERIOR_DESIGN	DESIGN_HISTORY	CONCEPT_ONLY_NOT_ASSOCIATION	Professionalization is defined through the institutionalisation of occupational trust and reputation in an interior-design history.	true	true	COMP-EVID-001
R14-EVID-024-02	R14-ASSOC-024	EXTERNAL_SCHOLARSHIP	COMP-SRC-004	ARTICLE	Livia Rezende	2017	Manufacturing the Raw in Design Pageantries: the Commodification and Gendering of Brazilian Tropical Nature	title; abstract; pp.122–138	https://researchonline.rca.ac.uk/2773/	10.1093/jdh/epx007	BRAZILIAN_ENVIRONMENTAL_DESIGN_HISTORY	DESIGN_HISTORY	CONCEPT_ONLY_NOT_ASSOCIATION	A Brazilian exposition case analyzes gendering and commodification as parallel processes acting on tropical nature and raw materials.	true	true	COMP-EVID-003
R14-EVID-025-01	R14-ASSOC-025	EXTERNAL_SCHOLARSHIP	COMP-SRC-004	ARTICLE	Livia Rezende	2017	Manufacturing the Raw in Design Pageantries: the Commodification and Gendering of Brazilian Tropical Nature	title; abstract; pp.122–138	https://researchonline.rca.ac.uk/2773/	10.1093/jdh/epx007	BRAZILIAN_ENVIRONMENTAL_DESIGN_HISTORY	DESIGN_HISTORY	CONCEPT_ONLY_NOT_ASSOCIATION	A Brazilian exposition case analyzes gendering and commodification as parallel processes acting on tropical nature and raw materials.	true	true	COMP-EVID-003
R14-EVID-025-02	R14-ASSOC-025	EXTERNAL_SCHOLARSHIP	COMP-SRC-021	ARTICLE	Damon Taylor	2016	Laying Down Memories: the Cultural Mobility of Tejo Remy's Chest of Drawers	abstract; p.245	https://academic.oup.com/jdh/article/29/3/245/1745258	10.1093/jdh/epv047	DESIGN_OBJECT_MOBILITY	DESIGN_HISTORY	CONCEPT_ONLY_NOT_ASSOCIATION	A chest of drawers is treated as a culturally mobile object constituted through mediation and changing settings.	true	true	COMP-EVID-022
R14-EVID-026-01	R14-ASSOC-026	EXTERNAL_SCHOLARSHIP	COMP-SRC-001	ARTICLE	Grace Lees-Maffei	2008	Introduction: Professionalization as a Focus in Interior Design History	accepted manuscript p.9	https://academic.oup.com/jdh/article/21/1/1/361205	10.1093/jdh/epn007	PROFESSIONALIZATION_INTERIOR_DESIGN	DESIGN_HISTORY	CONCEPT_ONLY_NOT_ASSOCIATION	Professionalization is defined through the institutionalisation of occupational trust and reputation in an interior-design history.	true	true	COMP-EVID-001
R14-EVID-026-02	R14-ASSOC-026	EXTERNAL_SCHOLARSHIP	COMP-SRC-019	ARTICLE	Sarah A. Lichtman;Jilly Traganou	2021	Introduction to Material Displacements	abstract; pp.195–211	https://academic.oup.com/jdh/issue/34/3	10.1093/jdh/epab027	MATERIAL_DISPLACEMENTS	DESIGN_HISTORY	CONCEPT_ONLY_NOT_ASSOCIATION	A design-history issue distinguishes movement and transformation of materials, objects, meanings, and sites.	true	true	COMP-EVID-020
R14-EVID-027-01	R14-ASSOC-027	ARCHIVE_SOURCE	R14-ARC-002	INSTITUTIONAL_EXHIBITION_ARCHIVE	The Museum of Modern Art	1991	The Graphic Designs of Herbert Matter	Exhibition description	https://www.moma.org/calendar/exhibitions/340		MOMA_EXHIBITION_ARCHIVE	GRAPHIC_DESIGN_MUSEUM_ARCHIVE	CONCEPT_ONLY_NOT_ASSOCIATION	The institutional exhibition record explicitly describes Matter's synthesis of photography and typography and his use of photomontage.	true	true	R14-ARC-002
