source_ordinal	surface_id	trace_root_legacy_id	edge_id_count	edge_label_count	branch_id_count	declared_edge_count	pairability	hold_reason
47	SURF-YRGAP-YEAR-0139	TRN-OBJ-0C606A6FBF3AFB	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
48	SURF-GALYEAR2026V1R0002	TRN-OBJ-18160A4B0C2FBC	4	4	5	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
49	SURF-GALYEAR2026V1R0003	TRN-OBJ-3E5D0B2032C91E	5	5	5	5	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
50	SURF-YRGAP-YEAR-0156	TRN-OBJ-A95B9BCEB6EBFC	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
51	SURF-VAM20K-00037	TRN-OBJ-395C69E1E8E061	12	5	5	12	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
52	SURF-VAM20K-00038	TRN-OBJ-D78170E3A01D79	11	4	4	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
53	SURF-YRGAP-YEAR-0159	TRN-OBJ-7BF0C8761E2078	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
54	SURF-YRGAP-YEAR-0161	TRN-OBJ-1875964FABE316	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
55	SURF-VAM20K-00013	TRN-OBJ-482F580A775E4B	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
56	SURF-VAM20K-00014	TRN-OBJ-05FC4A843136F9	14	6	6	14	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
57	SURF-YRGAP-YEAR-0165	TRN-OBJ-725FE6B339DBFA	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
58	SURF-CAW2026R00088	TRN-OBJ-F64F1DC99FDF99	4	3	3	4	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
59	SURF-CHW2026R001	TRN-OBJ-8CC26BADB0DF11	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
60	SURF-ER1830R001-GROUP	TRN-OBJ-7BD2B8020841C6	9	4	4	9	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
61	SURF-GAX1970R001	TRN-OBJ-76BB1922DA3788	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
62	SURF-SI1970R001	TRN-OBJ-EF5B4B250D950F	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
63	SURF-VAM20K-00082	TRN-OBJ-17BE4015DF1EC3	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
64	SURF-CAW2026R00104	TRN-OBJ-249215A529B871	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
65	SURF-VAM20K-00133	TRN-OBJ-AA2C20B9949893	12	5	5	12	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
66	SURF-VAM20K-00134	TRN-OBJ-B7FA93781EB531	13	6	6	13	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
67	SURF-VAM20K-00135	TRN-OBJ-1348B8DF6B7AEC	11	4	4	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
68	SURF-VAM20K-00136	TRN-OBJ-E12B5C38B51890	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
69	SURF-CCE2026R00001	TRN-OBJ-73D982BB55F155	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
70	SURF-CCT2026R00615	TRN-OBJ-C1A5EACAD3CA02	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
71	SURF-GAX1970R002	TRN-OBJ-0E5A603E47DDFB	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
72	SURF-VAM20K-00028	TRN-OBJ-C17281277C6923	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
73	SURF-VAM20K-00029	TRN-OBJ-3149219CCD0B53	10	4	4	10	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
74	SURF-VAM1833TRACE2026R001	TRN-OBJ-16454D54B1BFDC	12	5	5	12	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
75	SURF-VAM1833TRACE2026R002	TRN-OBJ-38FCD251588C44	12	5	5	12	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
76	SURF-VAM1833TRACE2026R003	TRN-OBJ-6E99021BEFD38B	15	6	6	15	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
77	SURF-CSPTRACE2026R0085	TRN-OBJ-B24E4E01F95340	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
78	SURF-GA1970R001	TRN-OBJ-A49AEF5BD8EBDC	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
79	SURF-VAM20K-00015	TRN-OBJ-51A747CB4752F4	12	5	5	12	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
80	SURF-GAX1970R003	TRN-OBJ-E3AA7C27346EFC	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
81	SURF-VAM20K-00016	TRN-OBJ-4DE7DA9E43CD09	12	5	5	12	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
82	SURF-VAM20K-00017	TRN-OBJ-2053FD11682A5F	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
83	SURF-CAW2026R00117	TRN-OBJ-D0D8AE57646DC3	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
84	SURF-CSPTRACE2026R0088	TRN-OBJ-1026BA1EFDE151	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
85	SURF-CSPTRACE2026R0090	TRN-OBJ-B76B5E39EC145D	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
86	SURF-VAM20K-00018	TRN-OBJ-A95618A8C6D93C	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
87	SURF-VAM20K-00019	TRN-OBJ-415CDBED9C6B61	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
88	SURF-GAX1970R004	TRN-OBJ-37492C55682824	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
89	SURF-CCT2026R03606	TRN-OBJ-CC34310429CAEC	4	3	3	4	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
90	SURF-CAW2026R00134	TRN-OBJ-298ACE21BED174	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
91	SURF-CAW2026R00135	TRN-OBJ-A594755DECE33B	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
92	SURF-CCE2026R00004	TRN-OBJ-314101D374DEFB	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
93	SURF-CCT2026R03607	TRN-OBJ-9A68DCE9E75D7C	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
94	SURF-CCT2026R03608	TRN-OBJ-6C6C7C505966AB	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
95	SURF-CCT2026R03609	TRN-OBJ-6EF162E8BC2508	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
96	SURF-ER1830R002	TRN-OBJ-F70BA4D566FF65	15	6	6	15	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
97	SURF-GAX1970R005	TRN-OBJ-8DC63A3D6CB55E	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
98	SURF-SI1970R002	TRN-OBJ-27C91D757C28C3	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
99	SURF-VAM20K-00111	TRN-OBJ-1C43D2C7FC6B1E	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
100	SURF-CAW2026R00138	TRN-OBJ-1D105F12AA5E51	3	3	3	3	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
101	SURF-VAM20K-00099	TRN-OBJ-D3D035B8D0AFFC	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
102	SURF-VAM20K-00100	TRN-OBJ-FC4D6A8CDDC283	12	5	5	12	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
103	SURF-VAM20K-00101	TRN-OBJ-4B8F6624659268	10	4	4	10	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
104	SURF-VAM20K-00102	TRN-OBJ-0B3B5A04447B8A	11	6	6	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
105	SURF-CGS2026R0908	TRN-OBJ-CBA292D713064F	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
106	SURF-CRB2026V2R0657	TRN-OBJ-9E94B2C0273BF7	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
107	SURF-GA1970R002	TRN-OBJ-81ACC9D83E52FE	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
108	SURF-GA1970R003	TRN-OBJ-F385B8B07A03E5	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
109	SURF-GAX1970R006	TRN-OBJ-BFFBCE47FC9161	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
110	SURF-VAM20K-00151-GROUP	TRN-OBJ-6B9E2F8865AC50	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
111	SURF-VAM20K-00152	TRN-OBJ-9D73E2F06BA3A5	12	5	5	12	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
112	SURF-CCE2026R00005	TRN-OBJ-C54F23A4ED421A	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
113	SURF-GAX1970R007	TRN-OBJ-A1FBB4BE532555	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
114	SURF-VAM20K-00030	TRN-OBJ-DFC726E6FDA655	10	4	4	10	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
115	SURF-VAM20K-00031	TRN-OBJ-8DBC1735256BE7	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
116	SURF-VAM20K-00032	TRN-OBJ-9902D14BC46029	12	5	5	12	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
117	SURF-GAX1970R008	TRN-OBJ-C0080D54AADBC7	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
118	SURF-VAM20K-00023	TRN-OBJ-BF498E99EA8B78	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
119	SURF-VAM20K-00024	TRN-OBJ-C47985E5E0920D	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
120	SURF-VAM20K-00025	TRN-OBJ-E63F7EBAA71D4D	10	4	4	10	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
121	SURF-VAM20K-00026-GROUP	TRN-OBJ-920B320C6F1968	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
122	SURF-GAX1970R009	TRN-OBJ-959CC618049048	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
123	SURF-VAM20K-00008	TRN-OBJ-6219896E1ED432	14	6	6	14	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
124	SURF-VAM20K-00009	TRN-OBJ-D47483F4D37236	13	6	6	13	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
125	SURF-CCE2026R00007	TRN-OBJ-A606854FAF966C	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
126	SURF-CGS2026R0909	TRN-OBJ-688F8A5443063E	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
127	SURF-CGS2026R0910	TRN-OBJ-A3ADEEA83291C8	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
128	SURF-CGS2026R0911	TRN-OBJ-4640E3F542DB9A	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
129	SURF-CGS2026R0912	TRN-OBJ-E757417281643E	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
130	SURF-CGS2026R0913	TRN-OBJ-1B8EF1E343053B	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
131	SURF-CGS2026R0914	TRN-OBJ-B5FFAE9DB70E37	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
132	SURF-CGS2026R0915	TRN-OBJ-2488C6E5BEB3D0	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
133	SURF-CGS2026R0916	TRN-OBJ-3E023BEFD1623D	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
134	SURF-CGS2026R0917	TRN-OBJ-410CF47AAD87D6	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
135	SURF-CGS2026R0918	TRN-OBJ-0A6A6D69591143	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
136	SURF-CGS2026R0919	TRN-OBJ-09F7770CF4406C	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
137	SURF-CGS2026R0920	TRN-OBJ-28977B841DC56D	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
138	SURF-CGS2026R0921	TRN-OBJ-35CF6E42D5CF7C	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
139	SURF-CGS2026R0922	TRN-OBJ-C2CC3002C8BFFD	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
140	SURF-CGS2026R0923	TRN-OBJ-7B44F32BBE8D1E	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
141	SURF-CGS2026R0924	TRN-OBJ-ECD87BCC55B505	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
142	SURF-CGS2026R0925	TRN-OBJ-21CF5E1EBCAF5B	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
143	SURF-CGS2026R0926	TRN-OBJ-35D72D2705DE50	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
144	SURF-CGS2026R0927	TRN-OBJ-6A860C50AE847F	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
145	SURF-CGS2026R0928	TRN-OBJ-B323C8D0225789	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
146	SURF-CGS2026R0929	TRN-OBJ-2435E1CB9FCFFA	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
147	SURF-CGS2026R0930	TRN-OBJ-9EAD5B9AE54AD2	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
148	SURF-CGS2026R0931	TRN-OBJ-192291146EC51F	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
149	SURF-CGS2026R0932	TRN-OBJ-914E8A5AFB9AE7	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
150	SURF-CGS2026R0933	TRN-OBJ-825F1DEC2DE3B9	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
151	SURF-CGS2026R0934	TRN-OBJ-F31D3546B0C6BC	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
152	SURF-CGS2026R0935	TRN-OBJ-68D78C26B34E96	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
153	SURF-CGS2026R0936	TRN-OBJ-F878490FACF8A8	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
154	SURF-CGS2026R0937	TRN-OBJ-D4015BE85105FD	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
