folder_id	surface_id	surface_ordinal
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-YRGAP-YEAR-0079	23
FOL-REGION-UNITED-STATES	SURF-YRGAP-YEAR-0080	24
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0080	24
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-YRGAP-YEAR-0080	24
FOL-REGION-UNITED-STATES	SURF-YRGAP-YEAR-0081	25
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0081	25
FOL-MEDIUM-POSTER	SURF-YRGAP-YEAR-0081	25
FOL-REGION-UNITED-STATES	SURF-YRGAP-YEAR-0082	26
FOL-THEME-WORLD-WAR-AND-PUBLIC-INFORMATION-GRAPHICS	SURF-YRGAP-YEAR-0082	26
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-YRGAP-YEAR-0082	26
FOL-REGION-BOSTON-UNITED-STATES	SURF-LOCYEAR2026V1R0002	27
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-LOCYEAR2026V1R0002	27
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-LOCYEAR2026V1R0002	27
FOL-REGION-BOSTON-UNITED-STATES	SURF-LOCYEAR2026V1R0003	28
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-LOCYEAR2026V1R0003	28
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-LOCYEAR2026V1R0003	28
FOL-REGION-AUSTRIA	SURF-CSPTRACE2026R0115	29
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CSPTRACE2026R0115	29
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CSPTRACE2026R0115	29
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0094	30
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0094	30
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0094	30
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00005	31
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00005	31
FOL-MEDIUM-POSTER	SURF-VAM20K-00005	31
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0098	32
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0098	32
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0098	32
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0099	33
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0099	33
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0099	33
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0103	34
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0103	34
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0103	34
FOL-REGION-PARIS-FRANCE	SURF-GALYEAR1817V1R0004	35
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GALYEAR1817V1R0004	35
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-GALYEAR1817V1R0004	35
FOL-REGION-PARIS-FRANCE	SURF-GALYEAR1817V1R0005	36
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GALYEAR1817V1R0005	36
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-GALYEAR1817V1R0005	36
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0111	37
FOL-MEDIUM-LITHOGRAPHIC-PRINT	SURF-YRGAP-YEAR-0111	37
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0111	37
FOL-REGION-UNITED-KINGDOM	SURF-CSPTRACE2026R0076	38
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CSPTRACE2026R0076	38
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CSPTRACE2026R0076	38
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00001	39
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00001	39
FOL-MEDIUM-POSTER	SURF-VAM20K-00001	39
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00010	40
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00010	40
FOL-MEDIUM-POSTER	SURF-VAM20K-00010	40
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00011	41
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00011	41
FOL-MEDIUM-POSTER	SURF-VAM20K-00011	41
FOL-REGION-GERMANY	SURF-CSPTRACE2026R0058	42
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CSPTRACE2026R0058	42
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CSPTRACE2026R0058	42
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00012	43
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00012	43
FOL-MEDIUM-POSTER	SURF-VAM20K-00012	43
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00027	44
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00027	44
FOL-MEDIUM-POSTER	SURF-VAM20K-00027	44
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0134	45
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0134	45
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0134	45
FOL-REGION-UNITED-KINGDOM	SURF-CSPTRACE2026R0119	46
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CSPTRACE2026R0119	46
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CSPTRACE2026R0119	46
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0139	47
FOL-THEME-POSTWAR-EXHIBITION-AND-CULTURAL-POSTERS	SURF-YRGAP-YEAR-0139	47
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0139	47
FOL-REGION-PORT-AU-PRINCE-HAITI	SURF-GALYEAR2026V1R0002	48
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GALYEAR2026V1R0002	48
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-GALYEAR2026V1R0002	48
FOL-REGION-BORDEAUX-FRANCE	SURF-GALYEAR2026V1R0003	49
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GALYEAR2026V1R0003	49
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-GALYEAR2026V1R0003	49
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0156	50
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0156	50
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0156	50
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00037	51
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00037	51
FOL-MEDIUM-POSTER	SURF-VAM20K-00037	51
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00038	52
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00038	52
FOL-MEDIUM-POSTER	SURF-VAM20K-00038	52
FOL-THEME-TRAVEL-AND-TRANSPORT-POSTER-CULTURE	SURF-YRGAP-YEAR-0159	53
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0159	53
FOL-REGION-UNITED-STATES	SURF-YRGAP-YEAR-0159	53
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0161	54
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0161	54
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0161	54
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00013	55
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00013	55
FOL-MEDIUM-POSTER	SURF-VAM20K-00013	55
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00014	56
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00014	56
FOL-MEDIUM-POSTER	SURF-VAM20K-00014	56
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0165	57
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0165	57
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0165	57
FOL-REGION-BOSNIA-AND-HERZEGOVINA	SURF-CAW2026R00088	58
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CAW2026R00088	58
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CAW2026R00088	58
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-CHW2026R001	59
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CHW2026R001	59
FOL-REGION-AUSTRIA	SURF-CHW2026R001	59
FOL-REGION-UNITED-KINGDOM	SURF-ER1830R001-GROUP	60
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-ER1830R001-GROUP	60
FOL-MEDIUM-TRADE-CARD	SURF-ER1830R001-GROUP	60
FOL-REGION-FRANCE	SURF-GAX1970R001	61
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GAX1970R001	61
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-GAX1970R001	61
FOL-THEME-WORLD-WAR-AND-PUBLIC-INFORMATION-GRAPHICS	SURF-SI1970R001	62
FOL-MEDIUM-TRADE-CARD	SURF-SI1970R001	62
FOL-REGION-UNITED-STATES	SURF-SI1970R001	62
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00082	63
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00082	63
FOL-MEDIUM-POSTER	SURF-VAM20K-00082	63
FOL-REGION-TONGA	SURF-CAW2026R00104	64
FOL-THEME-WORLD-WAR-AND-PUBLIC-INFORMATION-GRAPHICS	SURF-CAW2026R00104	64
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CAW2026R00104	64
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00133	65
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00133	65
FOL-MEDIUM-POSTER	SURF-VAM20K-00133	65
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00134	66
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00134	66
FOL-MEDIUM-POSTER	SURF-VAM20K-00134	66
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00135	67
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00135	67
FOL-MEDIUM-POSTER	SURF-VAM20K-00135	67
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00136	68
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00136	68
FOL-MEDIUM-POSTER	SURF-VAM20K-00136	68
FOL-REGION-AUSTRALIA-INDIGENOUS	SURF-CCE2026R00001	69
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CCE2026R00001	69
FOL-MEDIUM-ADVERTISEMENT	SURF-CCE2026R00001	69
FOL-REGION-SOUTH-AFRICA	SURF-CCT2026R00615	70
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CCT2026R00615	70
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-CCT2026R00615	70
FOL-REGION-FRANCE	SURF-GAX1970R002	71
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GAX1970R002	71
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-GAX1970R002	71
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00028	72
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00028	72
FOL-MEDIUM-POSTER	SURF-VAM20K-00028	72
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00029	73
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00029	73
FOL-MEDIUM-POSTER	SURF-VAM20K-00029	73
FOL-REGION-UNITED-KINGDOM	SURF-VAM1833TRACE2026R001	74
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-VAM1833TRACE2026R001	74
FOL-MEDIUM-POSTER	SURF-VAM1833TRACE2026R001	74
FOL-REGION-UNITED-KINGDOM	SURF-VAM1833TRACE2026R002	75
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-VAM1833TRACE2026R002	75
FOL-MEDIUM-POSTER	SURF-VAM1833TRACE2026R002	75
FOL-REGION-UNITED-KINGDOM	SURF-VAM1833TRACE2026R003	76
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-VAM1833TRACE2026R003	76
FOL-MEDIUM-POSTER	SURF-VAM1833TRACE2026R003	76
FOL-REGION-UNITED-KINGDOM	SURF-CSPTRACE2026R0085	77
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CSPTRACE2026R0085	77
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CSPTRACE2026R0085	77
FOL-REGION-FRANCE	SURF-GA1970R001	78
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GA1970R001	78
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-GA1970R001	78
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00015	79
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00015	79
FOL-MEDIUM-POSTER	SURF-VAM20K-00015	79
FOL-REGION-FRANCE	SURF-GAX1970R003	80
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GAX1970R003	80
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-GAX1970R003	80
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00016	81
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00016	81
FOL-MEDIUM-POSTER	SURF-VAM20K-00016	81
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00017	82
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00017	82
FOL-MEDIUM-POSTER	SURF-VAM20K-00017	82
FOL-REGION-PALESTINE-TRANSNATIONAL	SURF-CAW2026R00117	83
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CAW2026R00117	83
FOL-MEDIUM-POSTER	SURF-CAW2026R00117	83
FOL-REGION-UNITED-STATES	SURF-CSPTRACE2026R0088	84
FOL-THEME-WORLD-WAR-AND-PUBLIC-INFORMATION-GRAPHICS	SURF-CSPTRACE2026R0088	84
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CSPTRACE2026R0088	84
FOL-REGION-GERMANY	SURF-CSPTRACE2026R0090	85
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CSPTRACE2026R0090	85
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-CSPTRACE2026R0090	85
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00018	86
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00018	86
FOL-MEDIUM-POSTER	SURF-VAM20K-00018	86
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00019	87
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00019	87
FOL-MEDIUM-POSTER	SURF-VAM20K-00019	87
FOL-REGION-FRANCE	SURF-GAX1970R004	88
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GAX1970R004	88
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-GAX1970R004	88
FOL-REGION-INDIA	SURF-CCT2026R03606	89
FOL-THEME-WORLD-WAR-AND-PUBLIC-INFORMATION-GRAPHICS	SURF-CCT2026R03606	89
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CCT2026R03606	89
FOL-REGION-URUGUAY	SURF-CAW2026R00134	90
FOL-THEME-TRAVEL-AND-TRANSPORT-POSTER-CULTURE	SURF-CAW2026R00134	90
FOL-MEDIUM-TRADE-CARD	SURF-CAW2026R00134	90
FOL-REGION-URUGUAY	SURF-CAW2026R00135	91
FOL-THEME-TRAVEL-AND-TRANSPORT-POSTER-CULTURE	SURF-CAW2026R00135	91
FOL-MEDIUM-TRADE-CARD	SURF-CAW2026R00135	91
FOL-REGION-UNITED-STATES	SURF-CCE2026R00004	92
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CCE2026R00004	92
FOL-MEDIUM-ADVERTISEMENT	SURF-CCE2026R00004	92
FOL-REGION-INDIA	SURF-CCT2026R03607	93
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CCT2026R03607	93
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CCT2026R03607	93
FOL-REGION-INDIA	SURF-CCT2026R03608	94
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CCT2026R03608	94
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CCT2026R03608	94
FOL-REGION-INDIA	SURF-CCT2026R03609	95
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CCT2026R03609	95
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CCT2026R03609	95
FOL-REGION-BELGIUM	SURF-ER1830R002	96
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-ER1830R002	96
FOL-MEDIUM-TRADE-CARD	SURF-ER1830R002	96
FOL-REGION-FRANCE	SURF-GAX1970R005	97
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GAX1970R005	97
FOL-MEDIUM-LITHOGRAPHIC-PRINT	SURF-GAX1970R005	97
FOL-REGION-UNITED-KINGDOM	SURF-SI1970R002	98
FOL-THEME-TRAVEL-AND-TRANSPORT-POSTER-CULTURE	SURF-SI1970R002	98
FOL-MEDIUM-TRADE-CARD	SURF-SI1970R002	98
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00111	99
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00111	99
FOL-MEDIUM-POSTER	SURF-VAM20K-00111	99
FOL-REGION-JORDAN	SURF-CAW2026R00138	100
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CAW2026R00138	100
FOL-MEDIUM-POSTER	SURF-CAW2026R00138	100
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00099	101
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00099	101
FOL-MEDIUM-POSTER	SURF-VAM20K-00099	101
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00100	102
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00100	102
FOL-MEDIUM-POSTER	SURF-VAM20K-00100	102
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00101	103
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00101	103
FOL-MEDIUM-POSTER	SURF-VAM20K-00101	103
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00102	104
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00102	104
FOL-MEDIUM-POSTER	SURF-VAM20K-00102	104
FOL-REGION-MEXICO	SURF-CGS2026R0908	105
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CGS2026R0908	105
