source_ordinal	json_pointer	surface_id_exact	source_record_id_exact	record_semantic_sha256	archive_object_uuid	raw_record_uuid	trace_root_legacy_id	tier_presence	tier_exact_value	research_disposition	workflow_reason	import_disposition	parse_error	quarantine_id
10	/surfaces/10	SURF-DCBPLTRACE2026V1R0002	DCBPLTRACE2026V1R0002	51e401cddba096ae07166b66cb761cbb46ede1d3746b5c99306c85b7513e5d21	f7b2d75a-f140-5f28-82a2-395aed8a7526	78d37587-9d8c-58e2-b4fa-fa3c1aa7fcce	TRN-OBJ-B2D5DA2E308792	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
11	/surfaces/11	SURF-YRGAP-YEAR-0046	YRGAP-YEAR-0046	ce4fa829e00f0135f6ac1cd2ae3759abc3f4c0c972803d9506436e087251c9aa	b8af62fd-560e-5af6-b6e5-41bb509ccd10	a763917a-67fa-5e06-adc3-6ef3cd550a01	TRN-OBJ-3EFAB779016FCE	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
12	/surfaces/12	SURF-CSPTRACE2026R0102	CSPTRACE2026R0102	08775a66dc8ca32079e6299550b26dbcd0c350719dfe94d9a6d193e2befdb5cd	d7498657-1d9e-5b85-8fc2-34523f473983	99256c58-6d5f-5fec-a989-b899c378f906	TRN-OBJ-ECA5D1D6409599	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
13	/surfaces/13	SURF-VAM20K-00007	VAM20K-00007	48712f8f314cfd588f7630b27d17768ced4495b15c7f2d3b769c561d4e542d19	afc35f9f-2b64-5b7f-a29e-6b255876b029	fdad363f-ae1e-5924-8740-87f1b9e4a7d2	TRN-OBJ-87092A89E91A4C	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
14	/surfaces/14	SURF-YRGAP-YEAR-0057	YRGAP-YEAR-0057	0f8404a684e269290c713c4b61c1c55c85e2a517fd32dd08e7543cf484068e25	30d56592-329e-5f4d-942f-74eaa66c79ac	899657d1-31ee-517b-9eaf-a8f3f752734c	TRN-OBJ-BD0A6F67539A4A	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
15	/surfaces/15	SURF-YRGAP-YEAR-0058	YRGAP-YEAR-0058	67d873860833e140c92010f8334f53541c67dda2fa03cd640970d93238765bc5	4ce9c041-17f8-568e-8d06-d496215871bd	cca129bf-f31d-5082-ab0c-228a7f27aaf1	TRN-OBJ-7740E825B77ED3	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
16	/surfaces/16	SURF-CSPTRACE2026R0111	CSPTRACE2026R0111	dd0ea36a36250f51f02d55a57a13d3a87a731398b565b57c76c5c1332411ae22	ba66ee19-f314-5f92-88fe-4a18cc43600f	61cde037-d987-5495-be6a-ac0c1209ec44	TRN-OBJ-8E1D50CC7C4FDA	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
17	/surfaces/17	SURF-VAM20K-00003	VAM20K-00003	3374a9ae21ef52d69c45f2eaec6235769f6fb3a8d95a7f1a2d339c3b5e7cbd13	f72b2484-c2d7-51f6-968a-fa7473edf0f9	08aa532b-7e3f-55b2-8875-6fd7d00b7145	TRN-OBJ-295960F6DB261B	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
18	/surfaces/18	SURF-VAM20K-00004	VAM20K-00004	4939a57506c6ccd8b90476294ea460b8986e7088d0f92416b41d5a31bffc7f0c	5cc02509-f7b2-5c2b-8a3e-1f5fc3e980e1	8aaf4772-e671-53d3-8bd9-2af946595cf6	TRN-OBJ-B4F2E1382A0B62	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
19	/surfaces/19	SURF-YRGAP-YEAR-0069	YRGAP-YEAR-0069	ec85c634f75825855a5dad19d1730a81ea03d337a84f6b92ce7d8e710c28aaf8	90075446-0279-5fb9-ab8a-d905de82e175	a373184d-ffd2-532a-a67a-dafca6d8fdfc	TRN-OBJ-036A143D7AE4E5	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
20	/surfaces/20	SURF-YRGAP-YEAR-0074	YRGAP-YEAR-0074	8d7e5d3027d4304dea73f8d59e8f610a03eb553bb124b6e8b9c58f55952a0592	1252da08-41e5-5daf-929c-b8e016b28a69	a162b877-a049-5f72-8482-0da1f2aeb432	TRN-OBJ-552F4E2B2B1150	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
21	/surfaces/21	SURF-YRGAP-YEAR-0077	YRGAP-YEAR-0077	ad98a2f238d3100eca39905efbaa25bf98458d6e6a6af1bdfb9530ac71ccb90f	f60ab2a4-db09-50f9-8c6e-c0d13647b709	a1f6a0ad-820a-560a-96a0-65c91b7d823f	TRN-OBJ-055345506E0BCA	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
22	/surfaces/22	SURF-YRGAP-YEAR-0078	YRGAP-YEAR-0078	a50eb67ceb43bc181eaa0e8211227817a07e4ff5475bdd69ef77db481ad03962	0968b80e-1409-57f1-8e46-8703fba75c1d	c56d1c04-485a-5b49-b793-946467d6d37d	TRN-OBJ-8E7F69FBBD844F	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
23	/surfaces/23	SURF-YRGAP-YEAR-0079	YRGAP-YEAR-0079	633f67592be1099798e0f307eb90c7edbb839340401d475dbb498534f0408a9f	8c10ef66-d70e-539c-a5a5-f584ba6612dc	b3c5ebc3-37e0-5c64-9365-ad04ab79a80a	TRN-OBJ-ED7FA3A22CB992	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
24	/surfaces/24	SURF-YRGAP-YEAR-0080	YRGAP-YEAR-0080	adef5c366e851b5f15393810d2b251f51fec605badb11c4628b63c219cca24bb	6d28fed5-ce81-5aec-9ac7-5b104a1fe66c	7d4c5227-9120-51bf-85ef-8798f5a43708	TRN-OBJ-3B4AEA8A38E320	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
25	/surfaces/25	SURF-YRGAP-YEAR-0081	YRGAP-YEAR-0081	020534e8cd4d625f5ac3b4613010e811b46e152135274ac94045f6a6b6146f3e	a09e396d-0440-5403-b8fb-98e61a431df1	547abe1a-628e-5ea9-b012-f4cda80f31e9	TRN-OBJ-EA7D15A053F69D	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
26	/surfaces/26	SURF-YRGAP-YEAR-0082	YRGAP-YEAR-0082	6334218b6589a692f55949ec03dfa29b032803b9055a131f8ba183c4cc4e67c1	d300175c-572b-53ac-b114-cbf038712096	507a065f-a139-5141-9a84-10da9f794000	TRN-OBJ-4B8708FA59FAA5	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
27	/surfaces/27	SURF-LOCYEAR2026V1R0002	LOCYEAR2026V1R0002	a02804e35acf04e20d330476c96098bc02ab12406c1d6b2ae684250842968875	08452e5b-c6c1-53d5-b7a3-3588b2aaacc2	92778462-65cb-503e-a769-f89df6146eb9	TRN-OBJ-CD7F76DE3A6CD5	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
28	/surfaces/28	SURF-LOCYEAR2026V1R0003	LOCYEAR2026V1R0003	50270009c2dd31fe3ec55155e2361e0d85e90cd275cdeff7c6483fb308e5c13b	62657d4d-f788-52d9-b155-cb2fae1dd67c	ebe7bccb-b8a9-53c5-ad7f-94f8731d127e	TRN-OBJ-A79D640D8BC2E9	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
29	/surfaces/29	SURF-CSPTRACE2026R0115	CSPTRACE2026R0115	b79d38bdbf636a012a1ee0c5f4f55e987f40a3cfadd59884464741c9f62c141d	e9248306-f184-5064-bf36-733107e6c2ef	0e0c6584-dc21-5692-b392-550a3628b211	TRN-OBJ-B7FB4AC8009BFB	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
30	/surfaces/30	SURF-YRGAP-YEAR-0094	YRGAP-YEAR-0094	7d1ee6b66574248865c33cb62e7be98b7e7192d4cecd08af220650da46a0d2d4	4cea557b-4b30-594f-b534-659e11ac38b2	0013462d-09ca-5e96-b024-28c185c402e4	TRN-OBJ-D261AF64811080	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
31	/surfaces/31	SURF-VAM20K-00005	VAM20K-00005	1c3474062bb121da913ae85b9cd5790628f9297fda81423517026996efd79e4c	196549d3-71fb-5607-836a-ab201b5ded6b	5d518c6b-04a0-55cf-8b7e-2630866e8fe7	TRN-OBJ-EEEE2310A23572	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
32	/surfaces/32	SURF-YRGAP-YEAR-0098	YRGAP-YEAR-0098	0f779707e04640ec0e367eb837878cfa44c02de1b465faf6894fd48ffd0998c8	e2fa096f-622e-5a1d-96ac-a1953f5d925a	6e702070-e89c-5661-8ba0-a41732124299	TRN-OBJ-758A833F4F40AA	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
33	/surfaces/33	SURF-YRGAP-YEAR-0099	YRGAP-YEAR-0099	4f3aef1c3bd72f824cd62e3d09c5a158fabde571c380035da8719daa9ba37001	8a472966-68f1-54bf-8d54-d856c314b314	60a0cca2-9cb1-56ed-9ac2-b3470b58aa77	TRN-OBJ-CD48267544EFF8	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
34	/surfaces/34	SURF-YRGAP-YEAR-0103	YRGAP-YEAR-0103	315bb726df32113a99dc1bc6558dfe2008e2a8263efccba179ea423566ad01d2	420f936f-1a8f-5432-b107-94183942f3cf	c8f1a6c1-6f36-5df7-b6f2-40c5a6a614b6	TRN-OBJ-F990428E680673	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
35	/surfaces/35	SURF-GALYEAR1817V1R0004	GALYEAR1817V1R0004	b25cbd2874647f4b6ede441dce101ab63350c52c3e91f5588fb546857842860e	c00d4c25-9d0d-578a-bf07-19e89bc09e87	5f83ca35-301c-5031-b90a-2963678f88a3	TRN-OBJ-17BBBC5407FE02	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
36	/surfaces/36	SURF-GALYEAR1817V1R0005	GALYEAR1817V1R0005	09449f28bff13651997a6c6890c7aff6d414907b185e69f543bccf6b411aaddf	d57c3e9d-c824-53c1-a6d8-44d7bd0daf41	3231cbd4-b955-55b3-b313-97e9c81466fb	TRN-OBJ-3DFB465A0E8E44	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
37	/surfaces/37	SURF-YRGAP-YEAR-0111	YRGAP-YEAR-0111	d4e7cd5b450e1708395a26e8342cf391a44349943dd67102a6b552923fbca12c	e9ab365a-1c25-5fcc-a941-b1e98c5e46cd	9ad35f74-8b7b-5e07-b8a5-8ba58788db82	TRN-OBJ-AF03C6E2DF08E8	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
38	/surfaces/38	SURF-CSPTRACE2026R0076	CSPTRACE2026R0076	c8f4e145ceb9d7a042e802169e9e704f7167c9b6aeeaab5904484c1ffa8756d9	a954deb0-76f8-5cbb-abd7-3e4af1687600	714fc256-585f-54e1-88ce-7fea9f1d5335	TRN-OBJ-1CDE43F5D78368	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
39	/surfaces/39	SURF-VAM20K-00001	VAM20K-00001	3c1a3e7270425c0e84b6a3414365624cc308a266cc64ca04b541734401a5ffd0	03bc4b22-633d-5612-b2a3-3ed3787b0e75	583c8feb-8ed8-5329-bdcf-7b39b1a0cc5e	TRN-OBJ-961E5923CE5C12	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
40	/surfaces/40	SURF-VAM20K-00010	VAM20K-00010	c537c1b7f17f574b7140f3f9621235f2559b97dab78805c91d8003dec2a224f6	59cd29ff-2c11-51e5-9be2-10679b70117f	1271c9a0-3b7e-504c-9c20-65da5927932b	TRN-OBJ-2D1B261C86F986	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
41	/surfaces/41	SURF-VAM20K-00011	VAM20K-00011	9002e3ff6ba4726a0ce280f1f2f2cc8b7dd5113386f1baa2d63f133362783b19	d5103f5a-b45c-5e31-8b64-1da49013634c	65a957cb-cd4a-5bb1-aa8b-e06dd5a1b59e	TRN-OBJ-B5FE18EB7C3C95	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
42	/surfaces/42	SURF-CSPTRACE2026R0058	CSPTRACE2026R0058	23021d56ab1f227fd72a4b980506568ddc8580ed30746423e94da67bb3ad85be	7f8d938d-5a34-5aa9-a150-369fd2e463b2	571dd9c5-92dd-5188-b9b0-c89bf6f507b2	TRN-OBJ-B724451B83693D	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
43	/surfaces/43	SURF-VAM20K-00012	VAM20K-00012	a5ceda75f195f0f5680be52ad749e33e46153f17152246de79e406907b004de8	0c1d79e2-868b-53fc-8efb-b6456bcb062b	b3f8edcb-17d8-5290-80d1-1a0068dbf3b9	TRN-OBJ-DAE7C4CAD51B47	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
44	/surfaces/44	SURF-VAM20K-00027	VAM20K-00027	d2f9074e32f8827f03a241827618b6bf75146b5b0d715abf628b2babce5a0eeb	b300cf11-e360-5c1d-baf7-84bca9afab76	61332cb8-b031-5859-bbf0-36bcd7c9a127	TRN-OBJ-2A1B8638C68AC0	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
45	/surfaces/45	SURF-YRGAP-YEAR-0134	YRGAP-YEAR-0134	e7d8a2ae6e01c7f5546e70254f3dfd7725d5ede92be8bda380f1c22ea363d09c	00cfdbd1-a941-5481-8d5a-10e803b52c6d	ef57269a-a5c7-535e-a132-f2959724d34e	TRN-OBJ-11F1FA80C5DB49	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
46	/surfaces/46	SURF-CSPTRACE2026R0119	CSPTRACE2026R0119	c93cf4c33c4ef64914b80acdc15430caa5c653c2d7cc7d9394a0a5f1578fde15	8e404ddd-0533-524c-9594-5f38ed9eec8e	ffba5262-6feb-5fc4-9ae9-afb4462c96a9	TRN-OBJ-6812BCB8C1104E	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
47	/surfaces/47	SURF-YRGAP-YEAR-0139	YRGAP-YEAR-0139	a08a6c99b7bc4447fe245bf4f2ecfb4c40170fc2350e5598c9bb7d384cadc4cf	55d71da3-169d-559e-9846-7f8a537a9244	9042791b-fe30-5e98-aa33-2d021b013ea6	TRN-OBJ-0C606A6FBF3AFB	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
48	/surfaces/48	SURF-GALYEAR2026V1R0002	GALYEAR2026V1R0002	082a846c48cae3364ed46384ce6f0e9980eacdff8396a465b438321c980c1636	7799de02-7ef7-5924-9854-aa6c4dbe6361	22b38647-c7fd-5b30-a23c-2254fae5124a	TRN-OBJ-18160A4B0C2FBC	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
49	/surfaces/49	SURF-GALYEAR2026V1R0003	GALYEAR2026V1R0003	533cea9c2c7ddf9e343a3979c26f31615fbff5aacc5ecf43bc1f96fc1b9844d6	ffec6ea0-b9ae-5bfd-b484-73738e70fa4f	eb8228ba-2723-533b-8d3c-909e036372f5	TRN-OBJ-3E5D0B2032C91E	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
50	/surfaces/50	SURF-YRGAP-YEAR-0156	YRGAP-YEAR-0156	0a533ee1fdcf79066bbc0e3d34c8c31ba44af8eb405609606cc6ec5b6b98b161	fee6302e-cddd-58de-b281-0c11f3656b2b	50b486d0-dbab-5b8b-8cd6-9c005d69e01e	TRN-OBJ-A95B9BCEB6EBFC	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
51	/surfaces/51	SURF-VAM20K-00037	VAM20K-00037	0345ee43bd0fdfadec2b6b705d819d764d113a97e368ee9ad1f3dc810f848340	c8a2da4d-4210-58c5-b9d9-1086a9c1430d	a7db213f-46b0-5352-9c62-a70970925a11	TRN-OBJ-395C69E1E8E061	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
52	/surfaces/52	SURF-VAM20K-00038	VAM20K-00038	a053aa3d898094cddadd6d4b8eaaca22663b79a0ecff4f54207c4c9c51b9d07c	f8ee08fb-0076-53cf-95b3-dac49ec545b7	21ddc643-8713-5b9f-b6be-00f7b5994383	TRN-OBJ-D78170E3A01D79	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
53	/surfaces/53	SURF-YRGAP-YEAR-0159	YRGAP-YEAR-0159	66928006c8ea781be1c4d144c101d7797f217bec026dfe94554623cae7419e46	4b30cb63-253b-536d-a2b5-73fc9d8bece0	ae9af0fc-8347-5bd4-b1ac-b25688f7ea4e	TRN-OBJ-7BF0C8761E2078	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
54	/surfaces/54	SURF-YRGAP-YEAR-0161	YRGAP-YEAR-0161	879eaa8267837481b72339871166d39ab5edd5629c3b0d8f0c9c9c9fe31fbbbd	71199d08-b2d6-5d9f-aeb6-134181e4fcd1	f595e14c-5c8b-529f-bed6-5e181783a4b5	TRN-OBJ-1875964FABE316	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
55	/surfaces/55	SURF-VAM20K-00013	VAM20K-00013	557c000407196c4b9ddf860facf9b44bafc1bdd7e445923d02757856c5a85352	ffacb3b6-856d-5f74-9b62-37a33d2373af	0a2cb08e-5fae-515e-b039-8abbf6392512	TRN-OBJ-482F580A775E4B	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
56	/surfaces/56	SURF-VAM20K-00014	VAM20K-00014	639b858577e4556f642c43ecb16e569605f70e7851fa4949f276b5e51b434232	03fca60f-dd2f-54e5-8237-140ed209fe83	54bf2b1f-4b17-55f1-bf08-a2aec086e8e4	TRN-OBJ-05FC4A843136F9	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
57	/surfaces/57	SURF-YRGAP-YEAR-0165	YRGAP-YEAR-0165	aa53e3c61b7dccb67533d369469ba4f61db373b4332d8087faea47e264c55413	0d9bc1fe-7fff-58b4-a1e2-6de473495583	0f835698-82ba-5fb7-9c84-0f172aae71a5	TRN-OBJ-725FE6B339DBFA	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
58	/surfaces/58	SURF-CAW2026R00088	CAW2026R00088	47082bd2b4e79c5b5669b671745dee3de11952eb4df6aa606080bb944d2883d5	7b61785f-d3b6-5b7a-9b9d-c6df4de30bcd	f154733f-af8d-5d68-bdba-72cce7966eda	TRN-OBJ-F64F1DC99FDF99	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
59	/surfaces/59	SURF-CHW2026R001	CHW2026R001	e0a46163a8d7ba7e7d3da8fd990620e1465a6fd72537d52bd8646ac0c73467e7	4e6300e0-90d5-5554-83cc-f262a26c2ada	f19045f7-5702-50be-ba6f-1f5a29858466	TRN-OBJ-8CC26BADB0DF11	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
60	/surfaces/60	SURF-ER1830R001-GROUP	ER1830R001-GROUP	ae5d5d9d901591065fd7e0af3d6a4d2e3e22ae72fde202c0db40a7aec3187735	2f10adf7-a421-57f0-8dab-b46b16e0492f	8fecc9a2-d16e-5cc0-ba19-6031f1fede51	TRN-OBJ-7BD2B8020841C6	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
61	/surfaces/61	SURF-GAX1970R001	GAX1970R001	ee651b9e31283f6bb6827ec0a95c0a2e4f7a3f94672bca1bcac0d8cafd457ac1	c09f2d27-88a2-5c2e-a192-a7901f6b1b3b	ff549bae-f57a-5345-82d3-19f2fbe038d4	TRN-OBJ-76BB1922DA3788	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
62	/surfaces/62	SURF-SI1970R001	SI1970R001	080a83f7c278488c7d1def9c79d87bf5ce62994d4c0966aefd9eda68718e5aa0	0be96eac-4c6e-5efc-9c9c-474d202a32fa	94686a26-c821-57ed-83b5-4b0c3a0f19f4	TRN-OBJ-EF5B4B250D950F	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
63	/surfaces/63	SURF-VAM20K-00082	VAM20K-00082	31dda4899f9e94bc3b7cc3d0a06086ad9c651d29be87c48d2187dbbf61941153	5169f754-44fa-5048-b72a-10b7dc0c57a5	5265ea1b-6fe2-5707-a24a-dcecbcb2d846	TRN-OBJ-17BE4015DF1EC3	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
64	/surfaces/64	SURF-CAW2026R00104	CAW2026R00104	e1febb22005d4f42d01c07b84563ce35e7987b3eec71590eec8070fea07c3973	802505f0-b3ca-5c1e-8d7f-649d9f682cc4	28f82f01-b3eb-5f5f-acc4-624091df794d	TRN-OBJ-249215A529B871	PRESENT	metadata_supported	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held		NONE
65	/surfaces/65	SURF-VAM20K-00133	VAM20K-00133	513687d828e8a6595782c84e8d70619b189e317df0555fce622f4e1f860be6b6	65505375-0ad2-5892-92bd-0adb5ee0c22a	0d14f57e-f873-5fce-882d-1a2b06031e35	TRN-OBJ-AA2C20B9949893	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
