source_ordinal	surface_id	reference_bearing	visual_reference_count	locator_occurrence_count	overall_disposition	rights_axis	policy_axis	provider_axis
73	SURF-VAM20K-00029	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
74	SURF-VAM1833TRACE2026R001	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
75	SURF-VAM1833TRACE2026R002	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
76	SURF-VAM1833TRACE2026R003	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
77	SURF-CSPTRACE2026R0085	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
78	SURF-GA1970R001	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
79	SURF-VAM20K-00015	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
80	SURF-GAX1970R003	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
81	SURF-VAM20K-00016	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
82	SURF-VAM20K-00017	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
83	SURF-CAW2026R00117	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
84	SURF-CSPTRACE2026R0088	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
85	SURF-CSPTRACE2026R0090	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
86	SURF-VAM20K-00018	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
87	SURF-VAM20K-00019	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
88	SURF-GAX1970R004	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
89	SURF-CCT2026R03606	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
90	SURF-CAW2026R00134	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
91	SURF-CAW2026R00135	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
92	SURF-CCE2026R00004	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
93	SURF-CCT2026R03607	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
94	SURF-CCT2026R03608	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
95	SURF-CCT2026R03609	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
96	SURF-ER1830R002	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
97	SURF-GAX1970R005	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
98	SURF-SI1970R002	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
99	SURF-VAM20K-00111	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
100	SURF-CAW2026R00138	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
101	SURF-VAM20K-00099	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
102	SURF-VAM20K-00100	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
103	SURF-VAM20K-00101	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
104	SURF-VAM20K-00102	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
105	SURF-CGS2026R0908	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
106	SURF-CRB2026V2R0657	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
107	SURF-GA1970R002	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
108	SURF-GA1970R003	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
109	SURF-GAX1970R006	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
110	SURF-VAM20K-00151-GROUP	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
111	SURF-VAM20K-00152	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
112	SURF-CCE2026R00005	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
113	SURF-GAX1970R007	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
114	SURF-VAM20K-00030	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
115	SURF-VAM20K-00031	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
116	SURF-VAM20K-00032	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
117	SURF-GAX1970R008	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
118	SURF-VAM20K-00023	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
119	SURF-VAM20K-00024	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
120	SURF-VAM20K-00025	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
121	SURF-VAM20K-00026-GROUP	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
122	SURF-GAX1970R009	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
123	SURF-VAM20K-00008	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
124	SURF-VAM20K-00009	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
125	SURF-CCE2026R00007	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
126	SURF-CGS2026R0909	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
127	SURF-CGS2026R0910	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
128	SURF-CGS2026R0911	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
129	SURF-CGS2026R0912	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
130	SURF-CGS2026R0913	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
131	SURF-CGS2026R0914	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
132	SURF-CGS2026R0915	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
133	SURF-CGS2026R0916	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
134	SURF-CGS2026R0917	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
135	SURF-CGS2026R0918	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
136	SURF-CGS2026R0919	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
137	SURF-CGS2026R0920	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
138	SURF-CGS2026R0921	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
139	SURF-CGS2026R0922	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
140	SURF-CGS2026R0923	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
141	SURF-CGS2026R0924	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
142	SURF-CGS2026R0925	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
143	SURF-CGS2026R0926	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
144	SURF-CGS2026R0927	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
145	SURF-CGS2026R0928	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
146	SURF-CGS2026R0929	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
147	SURF-CGS2026R0930	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
148	SURF-CGS2026R0931	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
149	SURF-CGS2026R0932	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
150	SURF-CGS2026R0933	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
151	SURF-CGS2026R0934	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
152	SURF-CGS2026R0935	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
153	SURF-CGS2026R0936	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
154	SURF-CGS2026R0937	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
155	SURF-CGS2026R0938	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
156	SURF-CGS2026R0939	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
157	SURF-CGS2026R0940	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
158	SURF-CGS2026R0941	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
159	SURF-CGS2026R0942	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
160	SURF-CGS2026R0943	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
161	SURF-CGS2026R0944	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
162	SURF-CGS2026R0945	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
163	SURF-CGS2026R0946	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
164	SURF-CGS2026R0947	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
165	SURF-CGS2026R0948	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
166	SURF-CGS2026R0949	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
167	SURF-CGS2026R0950	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
168	SURF-CGS2026R0951	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
169	SURF-CGS2026R0952	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
170	SURF-CGS2026R0953	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
171	SURF-CGS2026R0954	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
172	SURF-CGS2026R0955	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
173	SURF-CGS2026R0956	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
174	SURF-CGS2026R0957	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
175	SURF-CGS2026R0958	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
176	SURF-CGS2026R0959	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
177	SURF-CGS2026R0960	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
178	SURF-CGS2026R0961	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
179	SURF-CGS2026R0962	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
180	SURF-CGS2026R0963	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
181	SURF-CGS2026R0964	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
182	SURF-CGS2026R0965	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
183	SURF-GA1970R004	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
184	SURF-VAM20K-01335	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
185	SURF-VAM20K-01336	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
186	SURF-VAM20K-01337	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
187	SURF-VAM20K-01338	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
188	SURF-VAM20K-01339	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
189	SURF-CAW2026R00154	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
190	SURF-CGS2026R0966	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
191	SURF-CGS2026R0967	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
192	SURF-CGS2026R0968	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
193	SURF-CGS2026R0969	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
194	SURF-CGS2026R0970	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
195	SURF-CGS2026R0971	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
196	SURF-CGS2026R0972	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
197	SURF-CGS2026R0973	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
198	SURF-CGS2026R0974	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
199	SURF-CGS2026R0975	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
200	SURF-CGS2026R0976	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
201	SURF-CGS2026R0977	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
202	SURF-CGS2026R0978	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
203	SURF-CGS2026R0979	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
204	SURF-CGS2026R0980	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
205	SURF-CGS2026R0981	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
206	SURF-CGS2026R0982	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
207	SURF-CGS2026R0983	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
208	SURF-CGS2026R0984	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
209	SURF-CGS2026R0985	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
210	SURF-CGS2026R0986	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
211	SURF-CGS2026R0987	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
212	SURF-CGS2026R0988	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
213	SURF-CGS2026R0989	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
214	SURF-CGS2026R0990	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
215	SURF-CGS2026R0991	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
216	SURF-CGS2026R0992	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
217	SURF-CGS2026R0993	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
218	SURF-CGS2026R0994	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
219	SURF-CGS2026R0995	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
220	SURF-CGS2026R0996	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
221	SURF-CGS2026R0997	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
222	SURF-CGS2026R0998	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
223	SURF-CGS2026R0999	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
224	SURF-CGS2026R1000	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
225	SURF-CGS2026R1001	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
226	SURF-CGS2026R1002	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
227	SURF-CGS2026R1003	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
228	SURF-CGS2026R1004	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
229	SURF-CGS2026R1005	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
230	SURF-CGS2026R1006	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
231	SURF-CGS2026R1007	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
232	SURF-CGS2026R1008	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
233	SURF-CGS2026R1009	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
234	SURF-CGS2026R1010	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
235	SURF-CGS2026R1011	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
236	SURF-CGS2026R1012	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
237	SURF-CGS2026R1013	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
238	SURF-CGS2026R1014	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
239	SURF-CGS2026R1015	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
240	SURF-CGS2026R1016	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
241	SURF-CGS2026R1017	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
242	SURF-CGS2026R1018	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
243	SURF-CGS2026R1019	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
244	SURF-CGS2026R1020	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
245	SURF-CGS2026R1021	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
246	SURF-CGS2026R1022	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
247	SURF-CGS2026R1023	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
248	SURF-CGS2026R1024	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
249	SURF-CGS2026R1025	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
250	SURF-CGS2026R1026	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
251	SURF-CGS2026R1027	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
252	SURF-CGS2026R1028	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
253	SURF-CGS2026R1029	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
254	SURF-CGS2026R1030	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
255	SURF-CGS2026R1031	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
256	SURF-CGS2026R1032	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
257	SURF-CGS2026R1033	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
258	SURF-CGS2026R1034	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
259	SURF-CGS2026R1035	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
260	SURF-CGS2026R1036	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
261	SURF-CGS2026R1037	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
262	SURF-CGS2026R1038	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
263	SURF-CGS2026R1039	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
264	SURF-CGS2026R1040	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
265	SURF-CGS2026R1041	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
266	SURF-CGS2026R1042	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
267	SURF-CGS2026R1043	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
268	SURF-CGS2026R1044	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
269	SURF-CGS2026R1045	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
270	SURF-CGS2026R1046	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
271	SURF-CGS2026R1047	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
272	SURF-CGS2026R1048	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
