model_id	model_revision	input_variant	aspect_id	diagnostic_type	k	object_count	query_count	embedding_dimension	mean_k_occurrence	variance_k_occurrence	skewness	gini	top_1_percent_occurrence_share	maximum_occurrence	zero_occurrence_object_count	total_occurrence_count	expected_occurrence_count	mean_sampled_cosine	cosine_variance	pair_observation_count	first_pc_variance_share	norm_p50	norm_p95	pre_normalization_norm_p50	pre_normalization_norm_p95	nearest_neighbor_cosine_distance_p50	nearest_neighbor_cosine_distance_p95	exact_mean_off_diagonal_cosine	overall_diagnostic_status	missing_required_diagnostics	association_inputs_sha256	association_dimension	association_type	association_value	association_group_count	association_eta_squared	association_pearson_correlation	association_observation_sha256	correction_id	correction_tested	correction_selected	receipt_sha256	status	limitation
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_LANGUAGE	10	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	LANGUAGE	NOT_RUN						NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	NOT_RUN	No selected/reliable language-ID cohort; governed script state was not mislabeled as language.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_LANGUAGE	20	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	LANGUAGE	NOT_RUN						NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	NOT_RUN	No selected/reliable language-ID cohort; governed script state was not mislabeled as language.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_LANGUAGE	50	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	LANGUAGE	NOT_RUN						NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	NOT_RUN	No selected/reliable language-ID cohort; governed script state was not mislabeled as language.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_METADATA_COMPLETENESS	10	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	METADATA_COMPLETENESS	PEARSON_CORRELATION	0.0211270651582676			0.0211270651582676	c7c871930a898f606e4148ac86a3ec6666cef89c17ba10f6337054b0d0d33b5f	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_METADATA_COMPLETENESS	20	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	METADATA_COMPLETENESS	PEARSON_CORRELATION	0.0170358310792793			0.0170358310792793	8c32fea7b94b60fae535b8304f2312c9e1169947ce632cb5478eef9b37f4909a	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_METADATA_COMPLETENESS	50	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	METADATA_COMPLETENESS	PEARSON_CORRELATION	0.00441059799359812			0.00441059799359812	31de265734210181982825a245d1084779c42a9f2fc3f8a84ec793ed7ed7a5c9	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_SOURCE	10	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	SOURCE	CATEGORICAL_ETA_SQUARED	0.025339677807337	15	0.025339677807337		cd04e4dbbf7cfa21237d1ef5c5ac5f3dbe45161867eb04d4b05586798a6fa334	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_SOURCE	20	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	SOURCE	CATEGORICAL_ETA_SQUARED	0.0309840360644802	15	0.0309840360644802		4c4e8d14c3b7fb1b080358d72b2b831887d495a08e848eb7b2ea31bf4b9460ba	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_SOURCE	50	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	SOURCE	CATEGORICAL_ETA_SQUARED	0.0423142384780549	15	0.0423142384780549		5a1ec109350a1a28f7d5114cda9e5019d4d3df53705f553588c29e96d7e7bbf2	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_TEXT_LENGTH	10	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	TEXT_LENGTH	PEARSON_CORRELATION	-0.24883062973452			-0.24883062973452	9272f646c5f48f81ef49e28dc0d0978ae42a5ac0a47777eab3c76d63b554a463	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_TEXT_LENGTH	20	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	TEXT_LENGTH	PEARSON_CORRELATION	-0.269997219140072			-0.269997219140072	fe4502cde19a2db5e222d806de8ba6aca5044a41872284be4e7cc922ce17119d	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_TEXT_LENGTH	50	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	TEXT_LENGTH	PEARSON_CORRELATION	-0.29684703332351			-0.29684703332351	89e6b6d519d2a4ca820f70fc8cc6c3d044f16f215c5c4be17a63b95cdf987bea	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	ANISOTROPY	0	7431	7431	1024										0.881283864685212	0.0041073003617446	20000	0.315137485285433	0.99999999994719	1.00000009691385			0.00305253267288208	0.0857615768909454	0.882390704942733	NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca								NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	NOT_RUN	Normalized-space anisotropy metrics were computed, but the encoding checkpoint did not retain pre-normalization norms.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS	10	7431	7431	1024	10	2741.806486341	20.5304596233567	0.667084017259691	0.320320279908491	1281	2295	74310	74310					1	1						NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca								NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	PASS	Occurrence diagnostics are analysis-only and do not select a correction.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS	20	7431	7431	1024	20	5593.38312474768	14.1771904567433	0.651773357005294	0.307455255012784	1312	2111	148620	148620					1	1						NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca								NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	PASS	Occurrence diagnostics are analysis-only and do not select a correction.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS	50	7431	7431	1024	50	14787.0639214103	8.38203094468112	0.63883289607139	0.213745121787108	1381	1917	371550	371550					1	1						NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca								NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	PASS	Occurrence diagnostics are analysis-only and do not select a correction.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS_ASSOCIATION_BOILERPLATE	10	7431	7431	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca	BOILERPLATE	CATEGORICAL_ETA_SQUARED	0	1	0		10082e39eccfe2dcffeebae3278278b68dbd8f6e64a1c39ae6eaa507e04a1481	NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS_ASSOCIATION_BOILERPLATE	20	7431	7431	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca	BOILERPLATE	CATEGORICAL_ETA_SQUARED	0	1	0		fe41afbbcb979d18d5fade4e70b552f189d35860363bc7d9972da7a136bfdda1	NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS_ASSOCIATION_BOILERPLATE	50	7431	7431	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca	BOILERPLATE	CATEGORICAL_ETA_SQUARED	0	1	0		e6e6294d4ee7f84a60cf50b09500d666ef00024bcc2708b6671d21abbaed265c	NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS_ASSOCIATION_GENERIC_TITLE	10	7431	7431	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca	GENERIC_TITLE	CATEGORICAL_ETA_SQUARED	6.4669205366309e-06	2	6.4669205366309e-06		0004e7bcd2c6ef70f672e27b16cd78a851a315fbc6d519f7908f2978da328b45	NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS_ASSOCIATION_GENERIC_TITLE	20	7431	7431	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca	GENERIC_TITLE	CATEGORICAL_ETA_SQUARED	9.6123372887904e-06	2	9.6123372887904e-06		9d14ca0b10dd16e520833c90db515eb241592aa17c06f710c6bdeb932911f11c	NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS_ASSOCIATION_GENERIC_TITLE	50	7431	7431	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca	GENERIC_TITLE	CATEGORICAL_ETA_SQUARED	5.1346499419742e-05	2	5.1346499419742e-05		e558ca3108c68b7617bb65b02f9e42ee629646ed6a0476f00b41cd7934f0269f	NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS_ASSOCIATION_LANGUAGE	10	7431	7431	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca	LANGUAGE	NOT_RUN						NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	NOT_RUN	No selected/reliable language-ID cohort; governed script state was not mislabeled as language.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS_ASSOCIATION_LANGUAGE	20	7431	7431	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca	LANGUAGE	NOT_RUN						NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	NOT_RUN	No selected/reliable language-ID cohort; governed script state was not mislabeled as language.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS_ASSOCIATION_LANGUAGE	50	7431	7431	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca	LANGUAGE	NOT_RUN						NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	NOT_RUN	No selected/reliable language-ID cohort; governed script state was not mislabeled as language.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS_ASSOCIATION_METADATA_COMPLETENESS	10	7431	7431	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca	METADATA_COMPLETENESS	PEARSON_CORRELATION	-0.0184117235864356			-0.0184117235864356	40dc143837cc0e020519da143a364962c4dc4b78d6198914af7170ac8c50f86f	NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D3	274baa43b0e13e37fafa6428dbc7938e62e5c439	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_SOURCE_NARRATIVE	HUBNESS_ASSOCIATION_METADATA_COMPLETENESS	20	7431	7431	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	a90213286cd2d928b8ff2a8a78dd15b5d34e96aa8e1c96e4fe032162a94544ca	METADATA_COMPLETENESS	PEARSON_CORRELATION	-0.0260044213858567			-0.0260044213858567	366828b9df1e21b739a3db8fa924ade694367f0ceff37466a992c37b6eabc86d	NONE	false	false	cb22152f758697cc7b78fa492a14d7a4f6b28a1e68cdc38277606491e27ad827	PASS	Association is diagnostic and does not establish causation or relation.
