rule_id	source	field_role	phrase_or_hash	support	denominator	decision	reason	removal_scope	version	rule_type	token_count
NLP-BP-225C3CC1E7D2AD3A75EB	Yale University Art Gallery Linked Art	SOURCE_NARRATIVE	sha256:c98e760a9009d9ebb9781f23c2a32865e10b96f2780e81b4d785d4f40dc641cd	116	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-26C2AE5DD5D17C6063D0	Library of Congress loc.gov API	OBJECT_SUBJECT_TERMS	sha256:8372c0ac35a59f32df6ab88dc758c9a4eab988574ade4557e07865c8f9b2d6ab	3	39	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-288EA5C6EB31C4362DD3	Biblioteca Nacional Digital de Chile	OBJECT_SUBJECT_TERMS	sha256:44495eb486b0698766367609c9612c36115d759f439ba2507eb0cd5717f11aa2	50	67	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-28F2F4CFBB19AB67981E	Victoria and Albert Museum Collections API	SOURCE_IDENTITY	sha256:c754a81f81bdf6d2a0c13e2003907584ac7355d4791d5477fafda9d3e9ba4c2a	82	82	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	6
NLP-BP-29016E24DF5487259D7C	Pacific Community Digital Library	SOURCE_IDENTITY	sha256:0c4e5db7f751cd9ee5f43fc6d9d0a5861162bd4468a50282d9e192b390a45d4d	165	165	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	4
NLP-BP-2B10AE323E611AD1FAAA	Desain Grafis Indonesia	OBJECT_SUBJECT_TERMS	sha256:a66be516f9c85f3efcd240dcaf46b42460c956b92e84d4b9b8d9d3c76626e509	7	76	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-2B5EA4770AC74897B14C	Biblioteca Nacional Digital de Chile	OBJECT_SUBJECT_TERMS	sha256:2baf00767d987505b742eb0c824e5b929e14fa92a79bd213c19119145eb91a60	17	67	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-2C0668EFFBCF80A57E13	Yale University Art Gallery Linked Art	SOURCE_IDENTITY	sha256:d8d0b1c1818b966c1605b514627693543e5fec992db4d29515530d8d934c7739	438	438	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	6
NLP-BP-2C5E02BE3E4A11572BBF	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:51e8e9175eb60a4711a759bcf5c969c901015809814cf4be57a61d9062b32805	95	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	8
NLP-BP-2CB8D066F2A5DF30C308	Cooper Hewitt Collection GraphQL API	SOURCE_IDENTITY	sha256:81086c54041f8a4553dd3c53adbe62c9e6e4965b4219596d92429bf04bf078dd	84	84	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	5
NLP-BP-3330D30BF547FE090606	Biblioteca Nacional Digital de Chile	OBJECT_SUBJECT_TERMS	sha256:9bcba5f328aaca247875ef3429ed1dc0d7009e62fbc8ed69f5cc665b18c47681	17	67	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	8
NLP-BP-34DC806D9FBCCA5C278D	National Library of Norway Catalogue API	OBJECT_SUBJECT_TERMS	sha256:9a6b3e973bd65175ddfecb49cd03b390e4b8a0fe9f055d239cdd4511e9913c52	522	522	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	8
NLP-BP-35443D35DAC1FFBBF9F1	Yale University Art Gallery Linked Art	SOURCE_NARRATIVE	sha256:e343cc475df24fb20055711117b621c2a20800e082ed8f9421e9eac453626fd5	116	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	8
NLP-BP-4320ECCEFADDF6326116	Library of Congress loc.gov API	OBJECT_SUBJECT_TERMS	sha256:e824bba3dec33460c29a28e15acfc4bf1a76855b064cb18efbf8632eaf1a2875	18	39	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	8
NLP-BP-44C8BD8C48E52454D8CA	Art Institute of Chicago API	SOURCE_IDENTITY	sha256:fc16e87f8d13b30560508acf3e4022dca23582da3bb29246781cbbb635bed20f	561	561	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	5
NLP-BP-487819C85D27CBA3B89E	Library of Congress Prints and Photographs API	SOURCE_IDENTITY	sha256:2daae3e5f457aa1844a23685c664dee3517d95019ef22d6343b25b6e5934272e	2300	2300	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	7
NLP-BP-4DA02A68ADE4DB933B20	Pacific Community Digital Library	OBJECT_SUBJECT_TERMS	sha256:8a8d0d89e39f5afd3301be201b7ac594f29603a0b65ad197c919dc271898493e	32	165	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-4DB3180E9A2C361478FD	Nasjonalmuseet Design collection / DigitaltMuseum	SOURCE_NARRATIVE	sha256:1c7e6c07466267a32826dcb10e90ed0b4bf769894933cf1fdd5a311c44e93e46	13	95	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-4DDB856E862716F308E6	Desain Grafis Indonesia	OBJECT_SUBJECT_TERMS	sha256:d6f17f9ada2d1e4eaaa07c53445c045381060d96045687fab33e0fbcda2279e2	4	76	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-4FFC4C876F68765BCA1B	Gallica / BnF APIs	OBJECT_SUBJECT_TERMS	sha256:dcb213362d5ee6e6df9a934316d80271b562a819035d7db1cca7eaf5b4429abf	8	8	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-5186E58E6C3583B1FBF9	Desain Grafis Indonesia	OBJECT_SUBJECT_TERMS	sha256:fb53cc3704cb06b208cedad9a619d59b94209e0a09e9372a55a8bbca1ec2ecf0	8	76	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-580B38D680E28BDC4835	Malaysia Design Archive	OBJECT_SUBJECT_TERMS	sha256:19f6eb7960045ba9d1467ac139e7919f871a83d60d526caf1ecb89cb77b01c3d	4	48	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-59C3257E2A3248BCB0BB	Nasjonalmuseet Design collection / DigitaltMuseum	SOURCE_NARRATIVE	sha256:e0cd7574636eb6656067622edc896cc9db39cbfc92b652506326ca0eab944152	13	95	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-5AFE79C159CA906C4BAF	Gallica / BnF APIs	SOURCE_IDENTITY	sha256:edd34c3f1442b8177d9a61a7de0bcf4a8376d6fce00633b360001f69f7a632c6	8	8	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	3
NLP-BP-5EADCF6A8A4C85D25446	Desain Grafis Indonesia	OBJECT_SUBJECT_TERMS	sha256:be5021b12aa943d79305c516f8cdd21be1250f4505898cde384e9ee993347df9	76	76	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-62E71AE0BA49459E4CAD	Library of Congress loc.gov API	SOURCE_NARRATIVE	sha256:7b33ea543936ecdb3df088dc64d759ec5f30ed1b3c701489ce18a9f6280b1d89	19	41	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	8
NLP-BP-6309EC0D6575EE07260E	V&A Collections API	OBJECT_SUBJECT_TERMS	sha256:6f451f1a6f440b71ba7fe25666a8c4be0f74ee67d25c0c78baeebc4f82b20872	3458	3503	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-6634AAEC61DF1DEF815B	V&A Collections API	OBJECT_SUBJECT_TERMS	sha256:aac05dc73b78ae60e8a8553d08a1bf140575ca938494f42fc781c96239c3125c	3458	3503	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-682998F2AFB4BEBE7250	Desain Grafis Indonesia	OBJECT_SUBJECT_TERMS	sha256:7db5ca92c338646fdea7553eab11244f67a5b0fba414789871d7daa148726272	19	76	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-6865EA6756100BF66170	National Library of Norway Catalogue API	SOURCE_NARRATIVE	sha256:c34337377afa8cd5754151e78799ba2bbb73e923c5d2e8aba5f861fa95e5f758	522	522	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	8
NLP-BP-6B59A3BA80F39DD95F3A	Gallica / BnF APIs	OBJECT_SUBJECT_TERMS	sha256:d7bc1265a7a4ad728b7a299f4cd587294a4221d3abe682ea88e1191a88ddd166	8	8	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-6E0AE83D8D9634AC868B	Biblioteca Nacional Digital de Chile	OBJECT_SUBJECT_TERMS	sha256:49ae1c2e04894f56065684f9bde3757fc6488fb4c40c42cf2322db9aadcb677f	17	67	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-6EB316F175AC273BCB5C	Yale University Art Gallery Linked Art	SOURCE_NARRATIVE	sha256:69eb0d5a397a71a704f9dcc8256a953d990ed46bea2eee3f168311e39ee8e3ca	40	438	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-6FBEE1CA29FE9D6AA656	Malaysia Design Archive	OBJECT_SUBJECT_TERMS	sha256:0dba27ccc4e09b85d8b1a891af2bb3881868dee0b4f15d6241106aeb24f66c56	3	48	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-72BAB8527CC0C8E8023D	Nasjonalmuseet Design collection / DigitaltMuseum	SOURCE_NARRATIVE	sha256:315ce5b445792543fdf86c385df548318189f64a2cc9072841897a81c1360dbb	6	95	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-738512D8664A95501E69	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:da03b1efd04707aa8ec28be01e1b2e570c20647913353ecff83f206e6cab0165	102	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-74F157B866E78771ED52	Victoria and Albert Museum Collections API	SOURCE_NARRATIVE	sha256:c3210d8a34dbbaba519788fbc4942fd4a9ede72fde98b2f7fe8edcab323c11fe	79	82	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-74F3CDF1FACE86712C52	National Library of Norway Catalogue API	SOURCE_NARRATIVE	sha256:b3857fa54d71e1c51bab91e221bf5778625308c9660ea17ac6dacc9710871286	518	522	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	8
NLP-BP-7ABA68CFF107102CD430	Victoria and Albert Museum Collections API	SOURCE_NARRATIVE	sha256:5bacb77ee877bce150365cd47d581e36e08ec0fa4619eb7eb7f82cf73def1e36	7	82	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-7B38E47310F796F86A5B	Nasjonalmuseet Design collection / DigitaltMuseum	OBJECT_SUBJECT_TERMS	sha256:8a6b7cb5854724c9d2941f2a751b11930fda8040c6e15b07dacbca94f56dbcf8	20	96	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-7FD75919C16B3B93C0DB	Victoria and Albert Museum Collections API	SOURCE_NARRATIVE	sha256:145bcf32f678d2bf7176d48e9ebfb5dae33cba3ab2dab06ac3bcf4b627c5963b	79	82	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-8338E3B7F98CC2E56A97	National Library of Norway Catalogue API	SOURCE_NARRATIVE	sha256:ffeb6536a0024293b7dd3cbc69f8f354059f2a1a3b9bb2f205534248b25c72ce	518	522	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-834C0C89024098D319AD	Gallica / BnF APIs	SOURCE_NARRATIVE	sha256:098724c2c23c51663576c601df9296dd9a39222822e6ea2a4346faee1a67fbf3	5	8	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-84BC19E043366354A482	Desain Grafis Indonesia	SOURCE_IDENTITY	sha256:2c8addb2bf37e4cfacb18d0ab68567c24a3b82e596c85098c21e53f803de7d5c	76	76	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	3
NLP-BP-8BA6BEE2690BAC36C7CD	Library of Congress loc.gov API	OBJECT_SUBJECT_TERMS	sha256:2eb553444cb7783bf1577f52f389845f61ca5767a64b9cacb9364357fc0493a3	18	39	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-8D1ABBC1C34500B4A2ED	Library of Congress loc.gov API	OBJECT_SUBJECT_TERMS	sha256:b1cfdae395d2224c9a59bb6d7cb0e3ed449d71fedc01f106ddaf67ca823e26a8	3	39	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-8EC0E35342E323F05B7A	Malaysia Design Archive	SOURCE_IDENTITY	sha256:3571687ba27eb0a7c2ffc7ebe658cf450b61f9b24750469a8686ccbbcbe27529	48	48	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	3
NLP-BP-9611D01A2DCA0F3FECF2	National Library of Norway Catalogue API	SOURCE_NARRATIVE	sha256:90643357b640fb809b774fd453c2fbd9dfd4c5d040259e27edfb07e092125f91	522	522	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-97C0C14FE2D6A3CC6E1F	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:810388db506a9af8c0fdf3cf0e69d1c8a27210b6acacf832ab1b0fd527030068	95	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-98BBA6310E4F60728F3E	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:c642972c74f5ed0b7dd8a26d06858b7d9694df2e01a3d2b27a8e4d81c2a908df	37	438	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-9EE272CC10C50378788A	Biblioteca Nacional Digital de Chile	SOURCE_IDENTITY	sha256:07381028d379ca71abfdd13e7691b2cd759a17fab2949a88dc8562e1b241459c	67	67	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	5
NLP-BP-A48A2F04A7170E274CDA	Library of Congress loc.gov API	SOURCE_NARRATIVE	sha256:87c1c8562aaab360391d7b3715a8bc255d6785a99daeac3f1f99af1b7d60c02c	3	41	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-A7F4F4BD3BC42C2E38EA	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:466c00a51dbd9f2196f2b85b0223cbb3719d38b46bdcb970bf37c69820203ef8	102	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	8
NLP-BP-AAAB6BB31F5EBDC51E4D	Nasjonalmuseet Design collection / DigitaltMuseum	OBJECT_SUBJECT_TERMS	sha256:36747772867444cab1332cb96a364a10e60614bb5ebd2afc3958f36e1542481e	6	96	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-ABF1CBCD4CDF9D85FBBD	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:46821604448474282a1be7729ebe627685e71ba9d95c4466f9e2a18e879230ff	102	438	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-B186BF0EF8B7B9A92D73	Art Institute of Chicago API	OBJECT_SUBJECT_TERMS	sha256:0dab8fbe42500fcd70dd35ef559f38533c0bb3d9cdb46ac38503889dbb0844cc	61	561	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-B384385CA8ABE79AAD45	Library of Congress loc.gov API	SOURCE_NARRATIVE	sha256:145bcf32f678d2bf7176d48e9ebfb5dae33cba3ab2dab06ac3bcf4b627c5963b	19	41	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
