control_id	control	location	semantic_action	pointer_interaction	keyboard_interaction	disabled_condition	loading_state	error_state	mobile_narrow_behavior
CC-CTL-011	Zoom Out	Toolbar	Decrease viewport zoom around its predictable center	Click/tap button	Focus and press Enter/Space	At minimum zoom 0.35 or INITIALIZING	No loading	Invalid viewport is normalized to a safe finite value	Remains visible or in accessible overflow; touch target preserved
CC-CTL-012	Reset View	Toolbar	Restore the current template's default fitted viewport without changing composition	Click/tap button	Focus and press Enter/Space	INITIALIZING	No loading	Fit failure retains the last finite viewport and announces status	Available from compact toolbar/overflow
CC-CTL-013	Reset Canvas	Toolbar	Clear this workspace's local persistence and reapply the current template	Click/tap; use explicit confirmation if the UI supplies one	Focus and press Enter/Space; confirmation is keyboard operable	INITIALIZING or EXPORTING	Brief busy/status state while local reset and reinitialization complete	Storage failure does not affect source data; in-memory template reset proceeds and is announced	Available from compact toolbar/overflow; wording stays Reset Canvas
CC-CTL-014	Export PNG	Toolbar	Download canvas content only from a stable composition snapshot at default 2× scale	Click/tap button	Focus and press Enter/Space	INITIALIZING, EXPORTING, or no visible content	Button exposes busy/EXPORTING state and prevents duplicate activation	EXPORT_ERROR is announced; no partial download; retry remains available	Available from compact toolbar/overflow with text accessible name
CC-CTL-015	Hide from Canvas	Node inspector/action	Hide a visible non-root node from local composition	Click/tap action	Focus and press Enter/Space	Root node, node no longer visible, INITIALIZING, or EXPORTING	No loading; synchronous	Stale selection clears safely; dataset remains unchanged	Action remains available in inspector sheet; never labeled Delete
CC-CTL-016	Inspector Close	Inspector header	Clear the primary selection and dismiss item details	Click/tap Close	Focus and press Enter/Space; Escape may invoke from inspector	No selection/inspector already closed	No loading	Focus returns to canvas or invoking item	Closes inspector sheet and returns focus predictably
CC-CTL-017	Palette Collapse	Palette header	Toggle palette presentation without changing entity visibility	Click/tap disclosure	Focus and press Enter/Space; exposes aria-expanded	INITIALIZING only if the header is not yet mounted	No loading	Failure leaves prior expanded state	May default collapsed; reopening preserves palette context/filter
CC-CTL-018	Inspector Collapse	Inspector header	Toggle selected-item details without clearing selection	Click/tap disclosure	Focus and press Enter/Space; exposes aria-expanded	No selection or inspector unavailable	No loading	Failure leaves prior expanded state and selection	May render as a collapsible bottom/side sheet
CC-CTL-019	Canvas background	SVG viewport	Clear selection; begin viewport pan without editing composition	Click/tap clears; primary-pointer drag or Space+drag pans; wheel/trackpad zooms	Focus canvas for instructions; Escape cancels gesture; toolbar provides keyboard zoom/fit	INITIALIZING or EXPORTING snapshot capture	No loading	Non-finite transform is rejected and last viewport retained	Consumes touch Pointer Events without removing button alternatives
CC-CTL-020	Canvas node	SVG viewport	Select and reposition one visible dataset entity in local world coordinates	Click/tap selects; primary-pointer drag repositions	Tab focuses; Enter/Space selects; Arrow moves 10 world units; Shift+Arrow moves 1	Node unavailable, hidden, INITIALIZING, or EXPORTING snapshot capture	No loading	Invalid movement is rejected; node returns to last finite position	Touch Pointer Events supported; inspector may become bottom sheet
CC-CTL-021	Canvas connection	SVG viewport / accessible connection list	Select and inspect one existing dataset-backed connection	Click/tap path or hit target	Tab to accessible target; Enter/Space selects	Connection endpoint hidden or source connection unavailable	No loading	Stale target clears safely; no edge mutation action appears	Larger transparent hit target; equivalent list remains operable
