dependency_id	dependency_path	dependency_kind	required_by	declared_role	current_head_state	current_bytes	historical_recovery_ref	clean_checkpoint_effect	v49_authority	disposition	acceptance_boundary
PARENT-011	data/prefreeze_candidate_v46_sample_200_audit.csv	legacy QA input	scripts/build_prefreeze_candidate_v47_aic_balance.py	parent audit sample	PRESENT_TRACKED	69357	current HEAD	Allows old builder to emit its v47 sample	INTEGRITY_EVIDENCE only	ARCHIVE_READ_ONLY	Not a migration input
PARENT-012	scripts/rebuild_public_surfaces_from_records.py	legacy code dependency	scripts/build_prefreeze_candidate_v47_aic_balance.py; scripts/build_prefreeze_candidate_v48_loc_geo_repair.py	structural collection and dossier rebuild logic	PRESENT_TRACKED	62414	current HEAD	Static import dependency present	LEGACY_TRANSFORMATION_REFERENCE only	ARCHIVE_READ_ONLY	Must not be invoked by v49 migration
PARENT-013	scripts/run_midcentury_capture_1930_1970.py	legacy code dependency	scripts/build_prefreeze_candidate_v47_aic_balance.py	public payload construction helper	PRESENT_TRACKED	84127	current HEAD	Static import dependency present	LEGACY_TRANSFORMATION_REFERENCE only	ARCHIVE_READ_ONLY	Must not be invoked by v49 migration
PARENT-014	generated/prefreeze_candidate_v47_aic_trace_adjuncts.json	legacy derived adjunct	scripts/build_prefreeze_candidate_v47_search_sqlite.py; scripts/build_prefreeze_candidate_v48_trace_visualization.py	11 auxiliary TRACE projections	PRESENT_TRACKED	36394	current HEAD; v48 transfer manifest entry	Legacy Search and TRACE builders can read adjunct layer	LEGACY_PROJECTION_ONLY; evidence may be re-ingested only by explicit decision	ARCHIVE_READ_ONLY	Never seeds canonical objects claims or relations by itself
PARENT-015	data/prefreeze_candidate_v47_sample_200_audit.csv	legacy QA input	scripts/build_prefreeze_candidate_v48_loc_geo_repair.py	v47 audit sample	PRESENT_TRACKED	69520	current HEAD; v48 transfer manifest entry	Static v48 sample dependency present	INTEGRITY_EVIDENCE only	ARCHIVE_READ_ONLY	Not a migration input
PARENT-016	data/prefreeze_candidate_v48_loc_geo_repairs.csv	legacy transformation evidence	scripts/build_prefreeze_candidate_v48_loc_geo_repair.py; scripts/build_prefreeze_candidate_v48_search_sqlite.py; scripts/audit_prefreeze_candidate_v48_freeze.py	18 explicit LOC place repairs	PRESENT_TRACKED	5148	current HEAD; v48 transfer manifest entry	Static repair dependency present	PROVENANCE_CANDIDATE after governed mapping; not canonical row authority	ARCHIVE_READ_ONLY	The final candidate JSON remains the only migration input
PARENT-017	data/prefreeze_candidate_v48_loc_geo_trace_nodes.csv	legacy graph input	scripts/build_prefreeze_candidate_v48_loc_geo_repair.py; scripts/build_prefreeze_candidate_v48_search_sqlite.py	v48 repair projection nodes	PRESENT_TRACKED	279	current HEAD; v48 transfer manifest entry	Static graph dependency present	LEGACY_PROJECTION_ONLY pending graph classification	ARCHIVE_READ_ONLY	Cannot fill a JSON or v49 graph gap
PARENT-018	data/prefreeze_candidate_v48_loc_geo_trace_edges.csv	legacy graph input	scripts/build_prefreeze_candidate_v48_loc_geo_repair.py; scripts/build_prefreeze_candidate_v48_search_sqlite.py; scripts/audit_prefreeze_candidate_v48_freeze.py	v48 repair projection edges	PRESENT_TRACKED	4898	current HEAD; v48 transfer manifest entry	Static graph dependency present	LEGACY_PROJECTION_ONLY pending graph classification	ARCHIVE_READ_ONLY	Cannot fill a JSON or v49 graph gap
PARENT-019	data/prefreeze_candidate_v48_loc_geo_repair_raw/*.json	legacy captured evidence	scripts/audit_prefreeze_candidate_v48_freeze.py	18 saved LOC provider responses	PRESENT_TRACKED_18_FILES	-	current HEAD; v48 transfer manifest entries	Old freeze auditor can inspect saved provider responses after its missing parent is restored	PROVENANCE_CANDIDATE subject to artifact disposition	ARCHIVE_READ_ONLY	No network refetch and no direct canonical-row creation
PARENT-020	https://www.loc.gov/pictures/item/{source_object_key}/?fo=json	volatile network dependency	scripts/repair_prefreeze_candidate_v48_loc_geography.py	legacy provider capture endpoint	EXTERNAL_NOT_IN_CHECKPOINT	-	saved responses at data/prefreeze_candidate_v48_loc_geo_repair_raw/*.json	Capture script is not clean-checkpoint self-sufficient and is prohibited in Phase 1C	NONE until a future governed capture	FORBIDDEN_RUNTIME_INPUT	Never required by v49 baseline migration
PARENT-021	generated/public_surfaces_prefreeze_candidate_v48.json	frozen final artifact	v49 migration and read-only verifier	sole canonical migration input	PRESENT_TRACKED	190067852	checkpoint 0404c7f96f9189f576c4c5b1368061e4082e436b; SHA-256 b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	Provides the complete v49.0 baseline surface input without either v47 parent	CANONICAL_MIGRATION_INPUT and lexical byte authority	MIGRATE_READ_ONLY	Verifier must prove 15923 accounted surfaces without derived backfill
PARENT-022	data/prefreeze_candidate_v48.sqlite	frozen final artifact	read-only reconciliation and legacy TRACE builder	immutable reconciliation evidence	PRESENT_TRACKED	421801984	checkpoint 0404c7f96f9189f576c4c5b1368061e4082e436b; SHA-256 ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	Supports reconciliation but is unnecessary for canonical row creation	RECONCILIATION_ONLY	ARCHIVE_READ_ONLY	Open only mode=ro&immutable=1; never backfill canonical data
PARENT-023	frontend/src/data/public_surface_mock_v0.json	legacy derived presentation payload	frontend/scripts/generate-archive-search-index.mjs; scripts/build_prefreeze_candidate_v48_trace_visualization.py	8636 legacy surface route inputs	PRESENT_TRACKED	90895254	current HEAD; duplicate Git blob retained for v48 behavior	Legacy Search and TRACE route generation can read it	DERIVED_PRODUCT_INPUT only	ARCHIVE_READ_ONLY	Search-only IDs and href decisions cannot create canonical rows
PARENT-024	frontend/public/data/archive-search-v1.json	legacy derived product	v48 frontend Search	8636-item Search projection	PRESENT_TRACKED	22695973	current HEAD; generatedFrom public_surface_mock_v0	Legacy Search behavior remains inspectable	DERIVED_PRODUCT only	ARCHIVE_READ_ONLY	Must be regenerated from a sealed v49 release rather than imported
PARENT-025	frontend/public/data/trace-v48/atlas.json; frontend/public/data/trace-v48/catalog.json; frontend/public/data/trace-v48/review-catalog.json; frontend/public/data/trace-v48/auxiliary.json; frontend/public/data/trace-v48/neighborhoods/*.json	legacy derived products	v48 TRACE frontend	4 top-level products plus 576 shards	PRESENT_TRACKED_580_FILES	-	current HEAD; owned by TRACE manifest	Legacy TRACE behavior and population remain inspectable	DERIVED_PRODUCT and LEGACY_PROJECTION_ONLY	ARCHIVE_READ_ONLY	No shard or catalog may backfill canonical claims relations or objects
PARENT-026	generated/prefreeze_candidate_v48_transfer_manifest.json; data/prefreeze_candidate_v48_transfer_manifest.csv	frozen integrity evidence	v49 verifier	65-file transfer inventory and human-audit mirror	PRESENT_TRACKED_2_FILES	34613	checkpoint 0404c7f96f9189f576c4c5b1368061e4082e436b; expected hashes fixed by Phase 1C	Proves expected transfer inventory but does not reconstruct excluded parents	INTEGRITY_EVIDENCE only	ARCHIVE_READ_ONLY	Verify bytes and declared paths; never ingest rows
PARENT-027	frontend/public/data/trace-v48/manifest.json	frozen integrity evidence	v49 verifier	integrity evidence for 580 derived TRACE assets	PRESENT_TRACKED	83900	checkpoint 0404c7f96f9189f576c4c5b1368061e4082e436b; SHA-256 1678e211023aa324078e0478f88670d2378b6dc5c398cc5c04722605038fee23	Binds the legacy TRACE product without granting research authority	INTEGRITY_EVIDENCE only	ARCHIVE_READ_ONLY	Verify declared assets; never ingest graph facts
