sample_ordinal	public_stable_id	public_title	selection_reason	context_associations	controlled_assignments	curated_memberships	medium_count	theme_count	movement_count	region_count	title_codepoints	max_context_label_codepoints	non_ascii_title_codepoints	cjk_han_title_codepoints	diacritic_title	punctuation_or_symbol_count
11	SURF-LOCTRACE2026R01553	Les profits capitalistes obstacle au progres social ruinent la nation : soutenez le Parti communiste francais, parti de la classe ouvriere, du peuple, de la nation	P99_TITLE_LENGTH	5	2	3	1	1	0	1	163	39	0	0	false	4
12	SURF-LOCTRACE2026R02572	80	MIN_TITLE_LENGTH	5	2	3	1	1	0	1	2	39	0	0	false	0
13	SURF-CHWCONTEMP2026V1R0017	Free All South African Political Prisoners	MAX_CONTEXT_LABEL_LENGTH	7	3	4	1	1	1	1	42	52	0	0	false	0
14	SURF-LOCTRACE2026I34CCFFEA0C918F	DPFLP : Democratic Popular Front for the Liberation of Palestine : solidarity with the people of the Middle East ...	P99_CONTEXT_LABEL_LENGTH	7	3	4	1	1	1	1	116	46	0	0	false	5
15	SURF-LOCTRACE2026I55DB37422FFE46	Máirtín O Cadhain : Sí an Ghaeilge athghabháil na hÉireann, agus is í athghabháil na hÉireann slánú na Gaeilge	NON_ASCII_TITLE	5	2	3	1	1	0	1	110	39	10	0	true	2
16	SURF-MDA2026V2R0448	没有子宫就给我闭嘴 (No uterus, no opinion)	CJK_OR_HAN_TITLE	5	2	3	1	1	0	1	33	39	9	9	false	3
17	SURF-NBPOSTERTRACE2026V1R0019	Den Norske stats premieobligasjonslån av 1944. Stort 30 millioner kroner. Lånets løpetid er 12 år med rett for Finansdepartementet til innløsning etter 10 års forløp. Obligasjonenes størrelse kr. 50.-. Trekning 2 ganger årlig, hver 1. april og 1. oktober, første trekning mandag 2. oktober 1944. ... Gevinstene er fritatt for innteksskatt til Stat og Kommune.	DIACRITIC_TITLE	5	2	3	1	1	0	1	359	39	10	0	true	17
18	SURF-NBPOSTERTRACE2026V1R0290	B.&.Line Norwegian Royal Mail Steamships - Bergenske S/S Co. Bergen - Newcastle - on - Tyne & Bergen. Quickest route. Shortest sea passage. Christiania, Trondheim, Stockholm & Helsingfors. Express turbine steamers from Newcastle on Tyne. Open sea passage 22 hours. Winter sports in Norway at Finse, Gjeilo, Haugastol (...)	PUNCTUATION_HEAVY_TITLE	5	2	3	1	1	0	1	322	39	0	0	false	26
19	SURF-COMPOUND-HUNTLEY-PALMERS-TRADE-CARDS	Huntley & Palmers trade-card series	MAX_STABLE_ID_LENGTH	5	2	3	1	1	0	1	35	28	0	0	false	2
20	SURF-BNDCLDANIELGLEISER2026V2R0005	25° Aniversario del Estado de Israel Estadio Israelita-Maccabi	NO_MOVEMENT_LONG_ID_BASELINE	5	2	3	1	1	0	1	62	28	1	0	false	2
21	SURF-BNDCLDANIELGLEISER2026V2R0008	Identifícate con Israel ahora programa de Jerusalem	DIACRITIC_MINIMAL_CONTEXT	5	2	3	1	1	0	1	51	28	1	0	true	0
22	SURF-HISTORICALAICTRACE2026V1R0056	America the Hope of All who Suffer	MOVEMENT_SINGLETON	7	3	4	1	1	1	1	34	45	0	0	false	0
23	SURF-HISTORICALAICTRACE2026V1R0057	To Make the World a Decent Place	CONTEXT_COUNT_SEVEN	7	3	4	1	1	1	1	32	45	0	0	false	0
24	SURF-CGS2026R0383	Reichssporttag des B.D.M. 23 September 1934 - Ludwig HOHLWEIN München Plakat Poster Library of Congress No know copyright restrictions Public domain 71sK7kr99UL. AC SL1411	LONG_TITLE_WITH_MINIMAL_CONTEXT	5	2	3	1	1	0	1	171	41	1	0	true	5
25	SURF-MODERNAPITRACE2026R0238	"CATALOG"	SAME_LABEL_DIFFERENT_ENTITY_PAIR	5	2	3	1	1	0	1	9	28	0	0	false	2
26	SURF-MODERNAPITRACE2026R0239	"CATALOG"	SAME_LABEL_DIFFERENT_ENTITY_PAIR	5	2	3	1	1	0	1	9	28	0	0	false	2
