source_id	citation	discipline	method_or_claim	relevance_to_TRACE	visual_risk	composition_implication	usable_for_policy	limitations	confidence
R15-VIS-014	Panagiotidou et al. (2022/2023), Communicating Uncertainty in Digital Humanities Visualization Research, IEEE TVCG 29(1), https://doi.org/10.1109/TVCG.2022.3209436	digital humanities uncertainty	Reviews 126 DH visualization publications and identifies uncertainty across the research process.	Directly supports retaining evidence gaps and qualitative uncertainty.	Over-objective displays conceal source and datafication uncertainty.	Make gap, provenance, and qualification first-class fields.	true	Review reports field practice, not one universal encoding.	HIGH
R15-VIS-015	Panagiotidou & Vande Moere (2022), Communicating Qualitative Uncertainty in Data Visualization, Information Design Journal 27(1), https://doi.org/10.1075/idj.22014.pan	qualitative uncertainty	Uses DH cases to argue for socio-technical, participatory, process-aware uncertainty design.	Supports human-review packets and explicit source/process context.	Numeric confidence can erase indirect qualitative uncertainty.	Do not collapse qualification into a scalar.	true	Two case studies.	HIGH
R15-VIS-016	Scheidegger et al. (2008), Tackling the Provenance Challenge One Layer at a Time, Concurrency and Computation 20(5), https://doi.org/10.1002/cpe.1237	provenance systems	Demonstrates layered, change-based provenance for exploratory visualization workflows.	Supports traceable semantic and presentation transformations.	Unrecorded workflow changes make a visual claim unauditable.	Bind each admitted edge to assessment, evidence, and source.	true	Scientific workflow context.	HIGH
R15-VIS-017	Freire et al. (2008), Provenance for Computational Tasks: A Survey, Computing in Science & Engineering 10(3), https://doi.org/10.1109/MCSE.2008.79	provenance	Surveys provenance capture and use in computational exploration.	Supports reproducibility, attribution, and audit queries.	Provenance omitted from the view can conceal construction choices.	Preserve machine-resolvable provenance in every image.	true	Not humanities-specific.	HIGH
R15-VIS-018	Drucker (2011), Humanities Approaches to Graphical Display, Digital Humanities Quarterly 5(1), https://www.digitalhumanities.org/dhqdev/vol/5/1/000091/000091.html	visual epistemology	Argues that humanistic visualization must express interpretation, ambiguity, and constructed data.	Foundational support for the semantic/presentation boundary and non-claims.	Realist graphics can present interpretation as fact.	Expose uncertainty and the constructed status of composition.	true	Programmatic argument rather than user study.	HIGH
R15-VIS-019	Ahnert, Ahnert, Coleman & Weingart (2020), The Network Turn: Changing Perspectives in the Humanities, https://doi.org/10.1017/9781108866804	digital humanities network criticism	Treats networks as metaphors with cultural and epistemological histories.	Supports refusing a network diagram as a literal historical ontology.	Network form can naturalize connectivity and power assumptions.	Call Round 15 output composition, not relation knowledge.	true	Wide-ranging humanities synthesis.	HIGH
R15-VIS-020	Lamqaddam et al. (2021), Introducing Layers of Meaning, IEEE TVCG 27(2), https://doi.org/10.1109/TVCG.2020.3030426	humanities visualization	Co-design framework grounds visualization in time, space, physicality, terminology, nuance, and provenance.	Supports layered annotations and provenance-rich review.	Semantically distant generic graphics feel reductive.	Keep qualification and source terminology adjacent to the image.	true	Specific co-design population and examples.	HIGH
R15-VIS-021	Lamqaddam, De Prekel, Brosens & Verbert (2022), Perceptual Effects of Hierarchy in Art Historical Social Networks, DHQ 16(1), https://www.digitalhumanities.org/dhq/vol/16/1/000604/000604.html	art-history visualization	User study shows that hierarchical and force-directed layouts change perception and insight.	Direct evidence that layout is interpretive in historical networks.	Vertical or tree layouts can imply social or historical hierarchy.	Use one peer layer by default and audit topology readings.	true	Fifteen participants and a specific art-historical setting.	HIGH
R15-VIS-022	Windhager et al. (2019), Visualization of Cultural Heritage Collection Data: State of the Art and Future Challenges, IEEE TVCG 25(6), https://doi.org/10.1109/TVCG.2018.2830759	cultural heritage visualization	Surveys visualization systems for digital cultural collections and humanistic challenges.	Supports generous exploration, criticality, and collection-aware design.	Visual overview may flatten heterogeneous collection contexts.	Keep collection/context signals presentation-only pending research.	true	Survey spans many interface types.	HIGH
R15-VIS-023	Whitelaw (2015), Generous Interfaces for Digital Cultural Collections, Digital Humanities Quarterly 9(1), https://openresearch-repository.anu.edu.au/items/48c21566-712d-481a-af25-52f868a93aad	cultural heritage interfaces	Argues for browsable interfaces that reveal scale, richness, and context beyond search.	Supports future exploratory access without requiring relation inference.	Generosity can look like comprehensive historical coverage.	Pair overview with scope and evidence-gap disclosure.	true	Design argument with institutional experiments.	HIGH
R15-VIS-024	Conroy (2021), Networks, Maps, and Time: Visualizing Historical Networks Using Palladio, DHQ 15(1), https://digitalhumanities.org/dhq/vol/15/1/000534/000534.html	historical network visualization	Critiques how tool and middleware assumptions disappear in exported historical visualizations.	Supports method/version and presentation-hash disclosure.	Similar-looking outputs can conceal different assumptions.	Serialize the method and audit trail with every image.	true	Tool-focused critical review.	HIGH
R15-VIS-025	Dörk, Carpendale & Williamson (2011), The Information Flaneur, CHI, https://doi.org/10.1145/1978942.1979124	exploratory interfaces	Reframes information seeking around orientation, diversity, and playful exploration.	Supports diversity as an interface goal after evidence qualification.	Serendipitous layout can be mistaken for semantic similarity.	Diversity may arrange supported candidates but cannot create eligibility.	true	Exploratory behavior study, not historical validation.	HIGH
