ordinal	commit_sha	short_sha	parent_sha	author_date	committer_date	author	original_subject	original_body	phase_id	phase_name	source_branch_or_known_round	description_summary	why_summary	evidence_summary	protected_boundary_summary	authority_status	superseded_by_sha	superseded_reason	research_package	audit_package	tree_sha	commit_description_complete	description_verified
12	1ecbadf0ea369f9b3ff804a44b079ef1434d6f05	1ecbadf	6b4a60ec11f303a0d1c04a735daf9f2818939c0f	2026-08-07T05:28:47+10:00	2026-08-07T05:28:47+10:00	dpan538 <dpan53853@gmail.com>	build responsive trace visual analytics		P01	v48 TRACE and visual foundations	codex/v48-trace-visualization and codex/v48-visual-analytics	Built responsive TRACE visual analytics and documented the mobile behavior across pages and components.	The analytical views needed to remain useful on narrow screens rather than merely shrink desktop layouts.	Responsive verifier scripts, mobile documentation, and coordinated UI changes validate the behavior.	The commit changes visualization and presentation only; database and deployment remain outside scope.	ACTIVE_FOUNDATION					9abf6ca86259f297f93170a75d409a4581989746	true	true
13	35969e54fd2fbf9c1e40e0d35d7650c4cac4847c	35969e5	1ecbadf0ea369f9b3ff804a44b079ef1434d6f05	2026-08-08T04:24:15+10:00	2026-08-08T04:24:15+10:00	dpan538 <dpan53853@gmail.com>	refine responsive trace research views		P01	v48 TRACE and visual foundations	codex/v48-trace-visualization and codex/v48-visual-analytics	Refined responsive TRACE views after cross-viewport review, adjusting the supporting frontend and QA evidence.	Initial responsive implementation exposed layout and interaction issues that required a coordinated refinement pass.	The broad but phase-local set of frontend and QA artifacts records the validation pass.	No data-platform, Search, or canonical-source contract was changed.	ACTIVE_FOUNDATION					365428b4e70b40b3ab1afeb9ba240d39afd03bd6	true	true
14	0404c7f96f9189f576c4c5b1368061e4082e436b	0404c7f	35969e54fd2fbf9c1e40e0d35d7650c4cac4847c	2026-08-10T19:26:11+10:00	2026-08-10T19:26:11+10:00	dpan538 <dpan53853@gmail.com>	checkpoint: preserve interrupted v48 visual analytics prototype		P01	v48 TRACE and visual foundations	codex/v48-trace-visualization and codex/v48-visual-analytics	Preserved an interrupted v48 visual-analytics prototype, comparison research, screenshots, and its exact working state.	The prototype could not be safely completed in-place, so its evidence needed an explicit recoverable checkpoint.	Comparison documents, screenshots, and the full prototype diff make the interrupted state reproducible.	This checkpoint is not current product authority and performs no database or deployment mutation.	INTERMEDIATE_CHECKPOINT		Later v49 platform and governed TRACE phases supersede the prototype as active implementation authority.			a6e22973f847d6830d09c76d89876b2f685b46ff	true	true
15	2a91c86bef7d23f05074187ffc53bd9f6a8f6213	2a91c86	0404c7f96f9189f576c4c5b1368061e4082e436b	2026-08-10T22:05:58+10:00	2026-08-10T22:05:58+10:00	dpan538 <dpan53853@gmail.com>	docs: establish v49 data platform architecture baseline		P02	v49 data/read-platform architecture	refactor/v49-data-platform pre-DDL	Established the v49 data-platform baseline across architecture, data model, migration, read API, acceptance criteria, and an ADR.	Database implementation could not begin safely without a shared contract for authority and reads.	The coordinated architecture document set is the pre-DDL evidence.	No DDL or runtime behavior was introduced; the commit is a decision baseline.	INTERMEDIATE_CHECKPOINT					4846610ab4337fb82bb27e993c23647eee39443d	true	true
16	f076ca3444aaa0f413bb61fe2cb568d6a9aa2720	f076ca3	2a91c86bef7d23f05074187ffc53bd9f6a8f6213	2026-08-10T23:06:33+10:00	2026-08-10T23:06:33+10:00	dpan538 <dpan53853@gmail.com>	docs: close v49 pre-DDL architecture decisions		P02	v49 data/read-platform architecture	refactor/v49-data-platform pre-DDL	Closed the remaining pre-DDL architecture questions and aligned the data, migration, and API decision documents.	Unresolved assumptions would have made the physical schema and migration gates ambiguous.	Updated decision records explicitly resolve the open architecture items.	The commit remains documentation-only and does not cross the database implementation gate.	INTERMEDIATE_CHECKPOINT					7e8dcaf33610f75632ffc4187e00a02f8b4b21d3	true	true
17	587aee5377539f2b6bb832096533aef0045b3e92	587aee5	f076ca3444aaa0f413bb61fe2cb568d6a9aa2720	2026-08-11T01:22:31+10:00	2026-08-11T01:22:31+10:00	dpan538 <dpan53853@gmail.com>	docs: align v49 research rights and freeze gates		P02	v49 data/read-platform architecture	refactor/v49-data-platform pre-DDL	Aligned research rights, visual-use rules, and database-freeze gates in the v49 decision set.	Rights constraints and preservation boundaries needed to be enforceable before ingest or public projection work.	Rights and freeze requirements are recorded alongside acceptance criteria.	No assets were relicensed and no canonical or deployment state changed.	INTERMEDIATE_CHECKPOINT					b1307fb4b80bca1e12d2924ad2921b71abd4bdab	true	true
18	6b111a78818a9e9ef37e4909c1f288d3b844b77e	6b111a7	587aee5377539f2b6bb832096533aef0045b3e92	2026-08-11T01:22:56+10:00	2026-08-11T01:22:56+10:00	dpan538 <dpan53853@gmail.com>	docs: add comprehensive v49 pre-migration audit		P02	v49 data/read-platform architecture	refactor/v49-data-platform pre-DDL	Added a comprehensive pre-migration audit covering architecture readiness, risks, and gate evidence.	The project needed an independent checkpoint before translating design decisions into database migrations.	The multi-file audit package records findings and preconditions.	The audit observes the repository and authorizes no schema mutation by itself.	INTERMEDIATE_CHECKPOINT				docs/audits/v49-pre-migration/	52736cf848abf527f7ce49293794af1fd3198528	true	true
19	967cbe34a8f30f8e74fa117e1bdee74644f71afe	967cbe3	6b111a78818a9e9ef37e4909c1f288d3b844b77e	2026-08-11T12:28:36+10:00	2026-08-11T12:28:36+10:00	dpan538 <dpan53853@gmail.com>	docs: close v49 authority and research delta		P02	v49 data/read-platform architecture	refactor/v49-data-platform pre-DDL	Closed authority questions and documented the remaining research delta before implementation.	Competing source claims and unresolved research gaps could otherwise leak into canonical data decisions.	An audit package and verifier record the authority resolution.	Canonical records, public projections, and frontend behavior were not changed.	INTERMEDIATE_CHECKPOINT				docs/audits/v49-authority-research-delta/	dd8c2a42b728911c7115960c0ceec7ac0f47cc37	true	true
20	f75ded85000749beb4735fbbddcce99e9395b0b2	f75ded8	967cbe34a8f30f8e74fa117e1bdee74644f71afe	2026-08-11T14:06:26+10:00	2026-08-11T14:06:26+10:00	dpan538 <dpan53853@gmail.com>	docs: close v49 rights visual and machine decisions		P02	v49 data/read-platform architecture	refactor/v49-data-platform pre-DDL	Closed the visual-rights and machine-use decisions needed by the v49 platform.	Image display and automated processing required separate, explicit permission boundaries.	The rights audit distinguishes visual presentation from machine-readable use.	No media were reprocessed, published, or deployed by this decision commit.	INTERMEDIATE_CHECKPOINT				docs/audits/v49-rights-machine/	dd1ad2fe0d03fb78c170e785c39e268d8d3e28d7	true	true
21	2d8cde543e68169bb62af59cc46ec57eaf7b046e	2d8cde5	f75ded85000749beb4735fbbddcce99e9395b0b2	2026-08-11T14:50:49+10:00	2026-08-11T14:50:49+10:00	dpan538 <dpan53853@gmail.com>	refactor: retire browser-local AI runtime and bulk routes		P02	v49 data/read-platform architecture	refactor/v49-data-platform pre-DDL	Removed the browser-local AI runtime and retired bulk routes that conflicted with the governed read-platform direction.	Uncontrolled client inference and bulk endpoints violated the new authority and reproducibility boundaries.	Cleanup audit receipts and deleted runtime/route paths demonstrate removal.	Canonical database content was preserved; the intentional boundary change is removal of obsolete browser and bulk surfaces.	ACTIVE_FOUNDATION				docs/audits/v49-runtime-cleanup/	503f15805aa65bdee266da6dcd7e03f155569d21	true	true
22	ee393a8956ef6a6e3bfcc5613b9356323ae37c0d	ee393a8	2d8cde543e68169bb62af59cc46ec57eaf7b046e	2026-08-11T15:24:55+10:00	2026-08-11T15:24:55+10:00	dpan538 <dpan53853@gmail.com>	docs: record v49 pre-DDL and cleanup receipts		P02	v49 data/read-platform architecture	refactor/v49-data-platform pre-DDL	Recorded the joint pre-DDL and runtime-cleanup receipts after architecture closure.	Implementation needed a single checkpoint proving both decision readiness and obsolete-surface removal.	Receipt documents link the architecture and cleanup evidence.	This commit documents closure and adds no schema, Search, or deployment behavior.	INTERMEDIATE_CHECKPOINT				docs/audits/v49-phase1d-final/	575afa1b52a4933b981f7c7f045223ef8c0dd95f	true	true
23	9f3c20dc84212b40b0e29f85a93d96fc3b9da476	9f3c20d	ee393a8956ef6a6e3bfcc5613b9356323ae37c0d	2026-08-12T00:30:33+10:00	2026-08-12T00:30:33+10:00	dpan538 <dpan53853@gmail.com>	feat(db): implement v49 PostgreSQL physical schema		P03	database schema and deterministic migration	v49 Phase 2a/2b database and migration chain	Implemented the v49 PostgreSQL physical schema, migrations, functions, roles, and governed views.	The approved logical model needed enforceable database structures and privilege boundaries.	Versioned SQL migrations and database definitions are the implementation evidence.	This intentionally establishes the database boundary while leaving Search, Context, Spacetime, frontend activation, and deployment unchanged.	ACTIVE_FOUNDATION					ea7cade63af1d105953dc2edcacc7576c912ee02	true	true
24	7f4838401b420f71bc76d8478ed2a454b4b20d78	7f48384	9f3c20dc84212b40b0e29f85a93d96fc3b9da476	2026-08-12T00:32:10+10:00	2026-08-12T00:32:10+10:00	dpan538 <dpan53853@gmail.com>	test(db): add v49 constraints roles and seal CAS verification		P03	database schema and deterministic migration	v49 Phase 2a/2b database and migration chain	Added constraint, role, seal-CAS, fixture, and replay tests for the new PostgreSQL schema.	The physical schema required executable proof that integrity and authorization rules hold under failure and concurrency.	Database tests, sealed fixtures, and replay tooling validate the constraints.	Tests exercise the database contract without changing production data or deploying it.	MAINTENANCE_SUPPORT					613083efb2004d3736a2dc1462615744dccf71f4	true	true
25	86ba95cae9ecf12e58fcabb8170c9020e151b386	86ba95c	7f4838401b420f71bc76d8478ed2a454b4b20d78	2026-08-12T02:03:43+10:00	2026-08-12T02:03:43+10:00	dpan538 <dpan53853@gmail.com>	docs: record v49 phase 2a schema receipts		P03	database schema and deterministic migration	v49 Phase 2a/2b database and migration chain	Recorded Phase 2a schema manifests and audit receipts for the physical-schema gate.	The schema implementation needed a sealed, reviewable completion record before migration rehearsal.	Manifest and audit artifacts enumerate the accepted schema evidence.	The checkpoint does not change the schema beyond the preceding implementation commits.	INTERMEDIATE_CHECKPOINT				docs/audits/v49-phase2a-schema/	8e1864dd6832fb154fcbc94044785884ea221333	true	true
26	222e06b59ca9c9a4a323853bec4ffa89a3ae0299	222e06b	86ba95cae9ecf12e58fcabb8170c9020e151b386	2026-08-14T21:39:47+10:00	2026-08-14T21:39:47+10:00	dpan538 <dpan53853@gmail.com>	feat(data): add deterministic v48 to v49 migration rehearsal		P03	database schema and deterministic migration	v49 Phase 2a/2b database and migration chain	Added a deterministic rehearsal for migrating v48 data into the v49 schema.	The project needed repeatable proof that legacy evidence could be transformed without silent drift.	Migration tooling, fixtures, and deterministic comparison outputs provide the rehearsal evidence.	The rehearsal operates on controlled inputs and does not migrate or deploy a live database.	ACTIVE_FOUNDATION					a9b720fd1d8de2e90ce9f365f7edd0b9d550e814	true	true
27	6b918dd2ebd9af6f9a8fca6edbe6bbbf7de41320	6b918dd	222e06b59ca9c9a4a323853bec4ffa89a3ae0299	2026-08-14T22:30:23+10:00	2026-08-14T22:30:23+10:00	dpan538 <dpan53853@gmail.com>	docs: record v49 phase 2b migration receipts		P03	database schema and deterministic migration	v49 Phase 2a/2b database and migration chain	Recorded Phase 2b migration receipts and reconciliation results.	The deterministic rehearsal required a formal checkpoint before performance tuning and read-platform work.	The migration audit package captures counts, manifests, and replay results.	No production database or frontend path was modified.	INTERMEDIATE_CHECKPOINT				docs/audits/v49-phase2b-migration/	ef220cbd9a5e7dcb6b1698830d281319183941ac	true	true
28	302ddb9683e8b3ee06c34557d10fd72a65c2afaf	302ddb9	6b918dd2ebd9af6f9a8fca6edbe6bbbf7de41320	2026-08-15T06:08:38+10:00	2026-08-15T06:08:38+10:00	dpan538 <dpan53853@gmail.com>	perf(data): remediate v49 migration validation		P03	database schema and deterministic migration	v49 Phase 2a/2b database and migration chain	Remediated migration-validation performance while preserving deterministic output.	Validation was functionally correct but too costly for a reliable release gate.	Performance-oriented code changes and replay comparisons demonstrate equivalent results.	The optimization changes validation execution, not the canonical schema or migrated meaning.	MAINTENANCE_SUPPORT					7a285daa8c3997778a53dfc540329c7c4bd75e02	true	true
29	11e7b82d27b2774273d2f0d68904632246dabd37	11e7b82	302ddb9683e8b3ee06c34557d10fd72a65c2afaf	2026-08-15T06:17:43+10:00	2026-08-15T06:17:43+10:00	dpan538 <dpan53853@gmail.com>	docs: verify v49 phase 2b performance replays		P03	database schema and deterministic migration	v49 Phase 2a/2b database and migration chain	Verified repeatable Phase 2b performance replays and documented their measured behavior.	A single faster run was insufficient evidence for accepting the remediation.	Replay receipts and measured outputs record repeatability.	This evidence commit does not alter database, API, or frontend contracts.	INTERMEDIATE_CHECKPOINT				docs/audits/v49-phase2b-performance/	363e611a490dc103ffa79e8eb7157beda57f2a84	true	true
30	429733429225262bc5260de7e1f6702f887b5a3e	4297334	11e7b82d27b2774273d2f0d68904632246dabd37	2026-08-15T16:45:04+10:00	2026-08-15T16:45:04+10:00	dpan538 <dpan53853@gmail.com>	docs: repair or supersede v49 phase 2b audit evidence		P03	database schema and deterministic migration	v49 Phase 2a/2b database and migration chain	Repaired the Phase 2b audit evidence and explicitly marked defective receipts as superseded.	Earlier evidence packaging did not meet the project’s provenance standard even though the implementation lineage had to remain intact.	The amendment package identifies repaired artifacts and supersession relations.	Only audit authority changed; schema and migration commits were not rewritten.	MAINTENANCE_SUPPORT		The amendment package in this commit supersedes the defective Phase 2b receipts while retaining them historically.		docs/audits/v49-phase2b-evidence-amendment/	dedbd7bd440d3ef5d2b2fe04a092726496af699c	true	true
31	60329e8ec713221bbf42318a4f4c7477e6eb5a72	60329e8	429733429225262bc5260de7e1f6702f887b5a3e	2026-08-15T16:45:36+10:00	2026-08-15T16:45:36+10:00	dpan538 <dpan53853@gmail.com>	test: enforce self-contained audit packages		P03	database schema and deterministic migration	v49 Phase 2a/2b database and migration chain	Added repository tooling and workflow checks that require audit packages to be self-contained.	External or implicit dependencies made prior audit receipts difficult to reproduce independently.	The verifier and CI workflow enforce manifest and checksum closure.	This is governance tooling; it does not modify canonical data or application behavior.	MAINTENANCE_SUPPORT					d01da6d83a3705e2a2a65fbe343617ecde57e930	true	true
32	4c686d92f9d44ec63af34630b16375276a5e6437	4c686d9	60329e8ec713221bbf42318a4f4c7477e6eb5a72	2026-08-15T20:47:16+10:00	2026-08-15T20:47:16+10:00	dpan538 <dpan53853@gmail.com>	feat: add v49 read repository and API core		P04	read platform and product foundation	feat/v49-read-platform and runtime acceptance	Added the v49 read repository, API core, database grants/migrations, and frontend data access seams.	Product surfaces needed a governed path from the new database instead of direct or local data coupling.	Repository code, API routes, SQL grants, and tests establish the read boundary.	Reads are introduced without database writes, Search activation, or deployment.	ACTIVE_FOUNDATION					d6ea028e3e893145be7881d75f9b84fc2683f8f1	true	true
33	e00a5bb24804ab156ad278846fef34baaa5817b4	e00a5bb	4c686d92f9d44ec63af34630b16375276a5e6437	2026-08-15T20:47:39+10:00	2026-08-15T20:47:39+10:00	dpan538 <dpan53853@gmail.com>	test: enforce v49 sealed fixture gates		P04	read platform and product foundation	feat/v49-read-platform and runtime acceptance	Enforced sealed-fixture gates for the v49 read platform.	Read behavior could not be trusted if fixtures drifted independently of their declared provenance.	Fixture seals and verification tests reject mismatched inputs.	The gate verifies published test data and does not alter canonical records.	MAINTENANCE_SUPPORT					718c4d61da50955c51052fc0fd1a0af9ae0cec2c	true	true
34	36c5659e1ba8ca87bd8ebb654185976bfc0c2ea7	36c5659	e00a5bb24804ab156ad278846fef34baaa5817b4	2026-08-15T20:48:19+10:00	2026-08-15T20:48:19+10:00	dpan538 <dpan53853@gmail.com>	feat: migrate core archive slices to read platform		P04	read platform and product foundation	feat/v49-read-platform and runtime acceptance	Migrated core archive slices onto the governed read platform and updated their frontend consumers.	The repository/API foundation needed real product consumers to expose parity gaps and retire legacy reads.	Slice-level tests and coordinated API/frontend changes validate the migration.	Only selected read paths moved; database writes and deployment remained excluded.	ACTIVE_FOUNDATION					fef0875f3df9bfb14e877809cd7ff1d89b00dd46	true	true
35	6e66186f2626bd10272b3cd408778f2ac091a598	6e66186	36c5659e1ba8ca87bd8ebb654185976bfc0c2ea7	2026-08-15T20:49:19+10:00	2026-08-15T20:49:19+10:00	dpan538 <dpan53853@gmail.com>	docs: record v49 product foundation checkpoint		P04	read platform and product foundation	feat/v49-read-platform and runtime acceptance	Recorded the v49 product-foundation checkpoint after core slice migration.	The platform needed a formal evidence boundary before runtime acceptance work.	The audit package summarizes migrated surfaces and outstanding gates.	This is a checkpoint, not a new application or database contract.	INTERMEDIATE_CHECKPOINT				docs/audits/v49-product-foundation/	970c56d33895b1a1fea370d6753c9680f0a9ed11	true	true
36	d5a792a14dcecc4199ba00f94a3c09374be60549	d5a792a	6e66186f2626bd10272b3cd408778f2ac091a598	2026-08-15T22:49:33+10:00	2026-08-15T22:49:33+10:00	dpan538 <dpan53853@gmail.com>	test: add v49 runtime acceptance seams		P04	read platform and product foundation	feat/v49-read-platform and runtime acceptance	Added runtime-acceptance seams and automated checks for the read platform.	Static tests alone could not prove that API and browser-facing reads compose correctly at runtime.	Acceptance scripts and workflow configuration exercise the runtime seams.	The harness observes controlled runtime behavior and performs no deployment or canonical mutation.	MAINTENANCE_SUPPORT					29fad855f3a26765ed655c70c9a58ddd5f9c798e	true	true
37	64de7ab1ccc190b433266e3a793b9ff7d4c06016	64de7ab	d5a792a14dcecc4199ba00f94a3c09374be60549	2026-08-15T22:53:20+10:00	2026-08-15T22:53:20+10:00	dpan538 <dpan53853@gmail.com>	docs: checkpoint v49 runtime acceptance evidence		P04	read platform and product foundation	feat/v49-read-platform and runtime acceptance	Captured runtime-acceptance evidence for the v49 read platform.	The new acceptance harness required a durable record of its first accepted run.	Audit receipts preserve command, result, and environment evidence.	No implementation boundary changed in this documentation checkpoint.	INTERMEDIATE_CHECKPOINT				docs/audits/v49-runtime-acceptance/	700b3a74bd99d9b51064533b1c1dd208b7cc999d	true	true
38	3e666b5265ebe7b41ea0c98531b35761ff0d9485	3e666b5	64de7ab1ccc190b433266e3a793b9ff7d4c06016	2026-08-16T12:57:40+10:00	2026-08-16T12:57:40+10:00	dpan538 <dpan53853@gmail.com>	docs: checkpoint read platform closure P0		P04	read platform and product foundation	feat/v49-read-platform and runtime acceptance	Closed the P0 read-platform gate with consolidated evidence.	Database-backed product reads needed a clear release threshold before snapshot and API closure work.	The closure audit links sealed fixtures, parity, and runtime acceptance.	The checkpoint confirms existing read behavior and does not authorize writes or deployment.	INTERMEDIATE_CHECKPOINT				docs/audits/v49-runtime-acceptance-closure/	e67114c4f17fd9f6e51fd30adb3a6d7d4ff95b63	true	true
39	10d0dcb9dd99e4be566bee4b98dae6d69acc17dc	10d0dcb	3e666b5265ebe7b41ea0c98531b35761ff0d9485	2026-08-16T15:52:15+10:00	2026-08-16T15:52:15+10:00	dpan538 <dpan53853@gmail.com>	feat(database): add atomic research release snapshots		P05	release snapshots and API closure	v49 release-projection snapshot and API closure branches	Introduced atomic database research-release snapshots and their component model.	Research publication needed a coherent immutable view rather than independently changing projections.	Versioned SQL migrations and release-snapshot definitions implement atomicity.	The database contract intentionally changes; Search, Context, Spacetime, frontend activation, and deployment do not.	ACTIVE_FOUNDATION					78166576c18f1f327efeed1a5a774d11365490ab	true	true
40	77f0af9aa4ca02480e5b7b99f3f69becb48963ca	77f0af9	10d0dcb9dd99e4be566bee4b98dae6d69acc17dc	2026-08-16T15:56:01+10:00	2026-08-16T15:56:01+10:00	dpan538 <dpan53853@gmail.com>	test(database): verify release snapshot integrity		P05	release snapshots and API closure	v49 release-projection snapshot and API closure branches	Added integrity verification for release snapshots and their component relationships.	Atomic creation required proof that a snapshot cannot mix missing or inconsistent components.	Database integrity tests exercise expected and failing snapshot states.	Tests do not publish a production release or change public projections.	MAINTENANCE_SUPPORT					969ee5712921e3dbed43f58100217cda69eab834	true	true
