object_key	object_kind	schema_name	object_name	identity_arguments	parent_schema	parent_name	owner_role	relation_persistence	relation_security_barrier	routine_language	routine_volatility	routine_security_definer	routine_search_path	type_category	definition_sha256_replay_1	definition_sha256_replay_2	replay_match
CONSTRAINT|audit|decision_event_attribution_validation|decision_event_attribution_validatio_attribution_bundle_id_fkey	CONSTRAINT	audit	decision_event_attribution_validatio_attribution_bundle_id_fkey	\N	audit	decision_event_attribution_validation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	8886d4f6c4a809c0e7ae11c9f5fe30905cd22e275d7100bf4d4deb93e45132ae	8886d4f6c4a809c0e7ae11c9f5fe30905cd22e275d7100bf4d4deb93e45132ae	true
CONSTRAINT|audit|decision_event_attribution_validation|decision_event_attribution_validation_attribution_bundle_id_key	CONSTRAINT	audit	decision_event_attribution_validation_attribution_bundle_id_key	\N	audit	decision_event_attribution_validation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	fd429ee88fab7e93a0fa2c27f179cea652f6efc4603178e1e83eabb5d98e86f5	fd429ee88fab7e93a0fa2c27f179cea652f6efc4603178e1e83eabb5d98e86f5	true
CONSTRAINT|audit|decision_event_attribution_validation|decision_event_attribution_validation_decision_event_id_fkey	CONSTRAINT	audit	decision_event_attribution_validation_decision_event_id_fkey	\N	audit	decision_event_attribution_validation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	true
CONSTRAINT|audit|decision_event_attribution_validation|decision_event_attribution_validation_pkey	CONSTRAINT	audit	decision_event_attribution_validation_pkey	\N	audit	decision_event_attribution_validation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	true
CONSTRAINT|audit|decision_event_attribution_validation|decision_event_exact_subtype_attribution	CONSTRAINT	audit	decision_event_exact_subtype_attribution	\N	audit	decision_event_attribution_validation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	true
CONSTRAINT|audit|decision_event_claim_review|decision_event_claim_review_claim_review_decision_id_fkey	CONSTRAINT	audit	decision_event_claim_review_claim_review_decision_id_fkey	\N	audit	decision_event_claim_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	e8295f06466013854ab5ce65b585c3d96350c5f0e8ae32d9f5f774391dd46484	e8295f06466013854ab5ce65b585c3d96350c5f0e8ae32d9f5f774391dd46484	true
CONSTRAINT|audit|decision_event_claim_review|decision_event_claim_review_claim_review_decision_id_key	CONSTRAINT	audit	decision_event_claim_review_claim_review_decision_id_key	\N	audit	decision_event_claim_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	af88fe842bd988b66641340e3c9798f3d35d4c04c84c4e06580626626ad3c9b9	af88fe842bd988b66641340e3c9798f3d35d4c04c84c4e06580626626ad3c9b9	true
CONSTRAINT|audit|decision_event_claim_review|decision_event_claim_review_decision_event_id_fkey	CONSTRAINT	audit	decision_event_claim_review_decision_event_id_fkey	\N	audit	decision_event_claim_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	true
CONSTRAINT|audit|decision_event_claim_review|decision_event_claim_review_pkey	CONSTRAINT	audit	decision_event_claim_review_pkey	\N	audit	decision_event_claim_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	true
CONSTRAINT|audit|decision_event_claim_review|decision_event_exact_subtype_claim	CONSTRAINT	audit	decision_event_exact_subtype_claim	\N	audit	decision_event_claim_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	true
CONSTRAINT|audit|decision_event_delivery_assessment|decision_event_delivery_assessment_decision_event_id_fkey	CONSTRAINT	audit	decision_event_delivery_assessment_decision_event_id_fkey	\N	audit	decision_event_delivery_assessment	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	true
CONSTRAINT|audit|decision_event_delivery_assessment|decision_event_delivery_assessment_delivery_assessment_id_fkey	CONSTRAINT	audit	decision_event_delivery_assessment_delivery_assessment_id_fkey	\N	audit	decision_event_delivery_assessment	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	5fde1e2f9d632d6c36527d7113dd116e587f701975da2930439582c675b8765e	5fde1e2f9d632d6c36527d7113dd116e587f701975da2930439582c675b8765e	true
CONSTRAINT|audit|decision_event_delivery_assessment|decision_event_delivery_assessment_delivery_assessment_id_key	CONSTRAINT	audit	decision_event_delivery_assessment_delivery_assessment_id_key	\N	audit	decision_event_delivery_assessment	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	df907e73a63658d6a63195002dda6ba65593586b62346f845e0fdb27df0f5744	df907e73a63658d6a63195002dda6ba65593586b62346f845e0fdb27df0f5744	true
CONSTRAINT|audit|decision_event_delivery_assessment|decision_event_delivery_assessment_pkey	CONSTRAINT	audit	decision_event_delivery_assessment_pkey	\N	audit	decision_event_delivery_assessment	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	true
CONSTRAINT|audit|decision_event_delivery_assessment|decision_event_exact_subtype_delivery	CONSTRAINT	audit	decision_event_exact_subtype_delivery	\N	audit	decision_event_delivery_assessment	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	true
CONSTRAINT|audit|decision_event_policy_evaluation|decision_event_exact_subtype_policy	CONSTRAINT	audit	decision_event_exact_subtype_policy	\N	audit	decision_event_policy_evaluation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	true
CONSTRAINT|audit|decision_event_policy_evaluation|decision_event_policy_evaluat_provider_policy_evaluation_i_fkey	CONSTRAINT	audit	decision_event_policy_evaluat_provider_policy_evaluation_i_fkey	\N	audit	decision_event_policy_evaluation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	b2d1e05842ede3ae6f6cd3667f8c2309279afa520320c3b44e4f78522e953aa6	b2d1e05842ede3ae6f6cd3667f8c2309279afa520320c3b44e4f78522e953aa6	true
CONSTRAINT|audit|decision_event_policy_evaluation|decision_event_policy_evaluat_provider_policy_evaluation_id_key	CONSTRAINT	audit	decision_event_policy_evaluat_provider_policy_evaluation_id_key	\N	audit	decision_event_policy_evaluation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	0f0aba5ba0f38619555f2c8ae22245d82bfa88f0c397d48fa308195b09d80943	0f0aba5ba0f38619555f2c8ae22245d82bfa88f0c397d48fa308195b09d80943	true
CONSTRAINT|audit|decision_event_policy_evaluation|decision_event_policy_evaluation_decision_event_id_fkey	CONSTRAINT	audit	decision_event_policy_evaluation_decision_event_id_fkey	\N	audit	decision_event_policy_evaluation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	true
CONSTRAINT|audit|decision_event_policy_evaluation|decision_event_policy_evaluation_pkey	CONSTRAINT	audit	decision_event_policy_evaluation_pkey	\N	audit	decision_event_policy_evaluation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	true
CONSTRAINT|audit|decision_event_relation_review|decision_event_exact_subtype_relation	CONSTRAINT	audit	decision_event_exact_subtype_relation	\N	audit	decision_event_relation_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	true
CONSTRAINT|audit|decision_event_relation_review|decision_event_relation_review_decision_event_id_fkey	CONSTRAINT	audit	decision_event_relation_review_decision_event_id_fkey	\N	audit	decision_event_relation_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	true
CONSTRAINT|audit|decision_event_relation_review|decision_event_relation_review_pkey	CONSTRAINT	audit	decision_event_relation_review_pkey	\N	audit	decision_event_relation_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	true
CONSTRAINT|audit|decision_event_relation_review|decision_event_relation_review_relation_review_decision_id_fkey	CONSTRAINT	audit	decision_event_relation_review_relation_review_decision_id_fkey	\N	audit	decision_event_relation_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	16d2722d51c4a6bb69f846e59c3a2b1da7b5a55b363e16cecc1bc7f4f46fad8f	16d2722d51c4a6bb69f846e59c3a2b1da7b5a55b363e16cecc1bc7f4f46fad8f	true
CONSTRAINT|audit|decision_event_relation_review|decision_event_relation_review_relation_review_decision_id_key	CONSTRAINT	audit	decision_event_relation_review_relation_review_decision_id_key	\N	audit	decision_event_relation_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	24326b92198cd7e17edc38d6d2252f19e2c97a14b975e80612c3999c4ce19f6d	24326b92198cd7e17edc38d6d2252f19e2c97a14b975e80612c3999c4ce19f6d	true
CONSTRAINT|audit|decision_event_rights_assessment|decision_event_exact_subtype_assessment	CONSTRAINT	audit	decision_event_exact_subtype_assessment	\N	audit	decision_event_rights_assessment	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	true
CONSTRAINT|audit|decision_event_rights_assessment|decision_event_rights_assessment_decision_event_id_fkey	CONSTRAINT	audit	decision_event_rights_assessment_decision_event_id_fkey	\N	audit	decision_event_rights_assessment	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	true
CONSTRAINT|audit|decision_event_rights_assessment|decision_event_rights_assessment_pkey	CONSTRAINT	audit	decision_event_rights_assessment_pkey	\N	audit	decision_event_rights_assessment	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	true
CONSTRAINT|audit|decision_event_rights_assessment|decision_event_rights_assessment_rights_assessment_id_fkey	CONSTRAINT	audit	decision_event_rights_assessment_rights_assessment_id_fkey	\N	audit	decision_event_rights_assessment	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	e92efe3177e41725606e9dc521d9ab0e8ec98e324a52f3791493269930f0cb08	e92efe3177e41725606e9dc521d9ab0e8ec98e324a52f3791493269930f0cb08	true
CONSTRAINT|audit|decision_event_rights_assessment|decision_event_rights_assessment_rights_assessment_id_key	CONSTRAINT	audit	decision_event_rights_assessment_rights_assessment_id_key	\N	audit	decision_event_rights_assessment	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	04be7c68979640d047cd4f57834acea6cde6f6839c789c5fce0ae7b56744e164	04be7c68979640d047cd4f57834acea6cde6f6839c789c5fce0ae7b56744e164	true
CONSTRAINT|audit|decision_event_rights_observation|decision_event_exact_subtype_observation	CONSTRAINT	audit	decision_event_exact_subtype_observation	\N	audit	decision_event_rights_observation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	true
CONSTRAINT|audit|decision_event_rights_observation|decision_event_rights_observation_decision_event_id_fkey	CONSTRAINT	audit	decision_event_rights_observation_decision_event_id_fkey	\N	audit	decision_event_rights_observation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	true
CONSTRAINT|audit|decision_event_rights_observation|decision_event_rights_observation_pkey	CONSTRAINT	audit	decision_event_rights_observation_pkey	\N	audit	decision_event_rights_observation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	true
CONSTRAINT|audit|decision_event_rights_observation|decision_event_rights_observation_rights_observation_id_fkey	CONSTRAINT	audit	decision_event_rights_observation_rights_observation_id_fkey	\N	audit	decision_event_rights_observation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	046ee04c5fc4c360f4ebc80463985c18935ef4b57320881db8736c22f64450aa	046ee04c5fc4c360f4ebc80463985c18935ef4b57320881db8736c22f64450aa	true
CONSTRAINT|audit|decision_event_rights_observation|decision_event_rights_observation_rights_observation_id_key	CONSTRAINT	audit	decision_event_rights_observation_rights_observation_id_key	\N	audit	decision_event_rights_observation	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	89a56b15a7f3a9e48eade250c3054e41492571f626f35a7fd75aad15545dd0d7	89a56b15a7f3a9e48eade250c3054e41492571f626f35a7fd75aad15545dd0d7	true
CONSTRAINT|audit|decision_event_takedown|decision_event_exact_subtype_takedown	CONSTRAINT	audit	decision_event_exact_subtype_takedown	\N	audit	decision_event_takedown	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	true
CONSTRAINT|audit|decision_event_takedown|decision_event_takedown_decision_event_id_fkey	CONSTRAINT	audit	decision_event_takedown_decision_event_id_fkey	\N	audit	decision_event_takedown	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	true
CONSTRAINT|audit|decision_event_takedown|decision_event_takedown_pkey	CONSTRAINT	audit	decision_event_takedown_pkey	\N	audit	decision_event_takedown	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	true
CONSTRAINT|audit|decision_event_takedown|decision_event_takedown_takedown_event_id_fkey	CONSTRAINT	audit	decision_event_takedown_takedown_event_id_fkey	\N	audit	decision_event_takedown	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	18a985c564906f588bf3910d4f5c6c9e3cc98060b4203099f0bb397c337bc102	18a985c564906f588bf3910d4f5c6c9e3cc98060b4203099f0bb397c337bc102	true
CONSTRAINT|audit|decision_event_takedown|decision_event_takedown_takedown_event_id_key	CONSTRAINT	audit	decision_event_takedown_takedown_event_id_key	\N	audit	decision_event_takedown	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3883f8954b0cf2a9d16001cf13fde2847f830d1b4b67264c568ad156bfd90afd	3883f8954b0cf2a9d16001cf13fde2847f830d1b4b67264c568ad156bfd90afd	true
CONSTRAINT|audit|decision_event_visual_bridge_review|decision_event_exact_subtype_visual_bridge	CONSTRAINT	audit	decision_event_exact_subtype_visual_bridge	\N	audit	decision_event_visual_bridge_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	true
CONSTRAINT|audit|decision_event_visual_bridge_review|decision_event_visual_bridge__object_visual_reference_revi_fkey	CONSTRAINT	audit	decision_event_visual_bridge__object_visual_reference_revi_fkey	\N	audit	decision_event_visual_bridge_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	71972d142d25d9cd784610873284d9496fa83a50c662934a00a9985b19393094	71972d142d25d9cd784610873284d9496fa83a50c662934a00a9985b19393094	true
CONSTRAINT|audit|decision_event_visual_bridge_review|decision_event_visual_bridge__object_visual_reference_revie_key	CONSTRAINT	audit	decision_event_visual_bridge__object_visual_reference_revie_key	\N	audit	decision_event_visual_bridge_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	ba49e0518d59e1ef0e11e1295c925f5de49727ddf2908482f3b7eb56231544a0	ba49e0518d59e1ef0e11e1295c925f5de49727ddf2908482f3b7eb56231544a0	true
CONSTRAINT|audit|decision_event_visual_bridge_review|decision_event_visual_bridge_review_decision_event_id_fkey	CONSTRAINT	audit	decision_event_visual_bridge_review_decision_event_id_fkey	\N	audit	decision_event_visual_bridge_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	true
CONSTRAINT|audit|decision_event_visual_bridge_review|decision_event_visual_bridge_review_pkey	CONSTRAINT	audit	decision_event_visual_bridge_review_pkey	\N	audit	decision_event_visual_bridge_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	true
CONSTRAINT|audit|decision_event|decision_event_actor_check	CONSTRAINT	audit	decision_event_actor_check	\N	audit	decision_event	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	0577d01b7d01cae4e361d0c02e381ac6596a172686551ceba49b4abd09a1f7c9	0577d01b7d01cae4e361d0c02e381ac6596a172686551ceba49b4abd09a1f7c9	true
CONSTRAINT|audit|decision_event|decision_event_exact_subtype_parent	CONSTRAINT	audit	decision_event_exact_subtype_parent	\N	audit	decision_event	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	true
CONSTRAINT|audit|decision_event|decision_event_pkey	CONSTRAINT	audit	decision_event_pkey	\N	audit	decision_event	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	true
CONSTRAINT|audit|research_cas_attempt|research_cas_attempt_actor_check	CONSTRAINT	audit	research_cas_attempt_actor_check	\N	audit	research_cas_attempt	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	0577d01b7d01cae4e361d0c02e381ac6596a172686551ceba49b4abd09a1f7c9	0577d01b7d01cae4e361d0c02e381ac6596a172686551ceba49b4abd09a1f7c9	true
CONSTRAINT|audit|research_cas_attempt|research_cas_attempt_pkey	CONSTRAINT	audit	research_cas_attempt_pkey	\N	audit	research_cas_attempt	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	f45fd33424002d34957ea4f38282e3bb332c4b21c576582f8dbbf665fcd7e50a	f45fd33424002d34957ea4f38282e3bb332c4b21c576582f8dbbf665fcd7e50a	true
CONSTRAINT|audit|research_cas_attempt|research_cas_attempt_reason_code_check	CONSTRAINT	audit	research_cas_attempt_reason_code_check	\N	audit	research_cas_attempt	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	38d92143a934fc44b7aa8e42f344de67271bbdcce9e4f80ef0e35d26417246a9	38d92143a934fc44b7aa8e42f344de67271bbdcce9e4f80ef0e35d26417246a9	true
CONSTRAINT|audit|research_cas_attempt|research_cas_attempt_target_research_release_id_fkey	CONSTRAINT	audit	research_cas_attempt_target_research_release_id_fkey	\N	audit	research_cas_attempt	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	ed2c0cacb29a7e169c065190f89b92871380f88b90fd4fac1cc2a05b493c9b09	ed2c0cacb29a7e169c065190f89b92871380f88b90fd4fac1cc2a05b493c9b09	true
CONSTRAINT|audit|research_release_event|research_release_event_actor_check	CONSTRAINT	audit	research_release_event_actor_check	\N	audit	research_release_event	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	0577d01b7d01cae4e361d0c02e381ac6596a172686551ceba49b4abd09a1f7c9	0577d01b7d01cae4e361d0c02e381ac6596a172686551ceba49b4abd09a1f7c9	true
