control_key	table_schema	table_name	control_kind	control_name	column_names_json	referenced_schema	referenced_table	referenced_columns_json	match_type	on_update	on_delete	deferrable	initially_deferred	validated	enabled_state	trigger_timing	trigger_events_json	trigger_level	guard_function_identity	predicate_escaped	definition_sha256_replay_1	definition_sha256_replay_2	replay_match	backing_constraint_key	normative_invariant	test_ids_json	status
audit|decision_event_assignment_review|CONSTRAINT_TRIGGER|decision_event_exact_subtype_assignment	audit	decision_event_assignment_review	CONSTRAINT_TRIGGER	decision_event_exact_subtype_assignment	[]	\N	\N	[]	\N	\N	\N	true	true	true	O	AFTER	["DELETE","INSERT","UPDATE"]	ROW	audit.enforce_decision_event_subtype()	\N	b7c34740769c3ae272da20022fe7eee9cfbf204605ec18ebb68a21efb74b9aab	b7c34740769c3ae272da20022fe7eee9cfbf204605ec18ebb68a21efb74b9aab	true	\N	DEFERRED_EVIDENCE_VALIDATION	[]	PASS
audit|decision_event_assignment_review|FOREIGN_KEY|decision_event_assignment_rev_assignment_review_decision_i_fkey	audit	decision_event_assignment_review	FOREIGN_KEY	decision_event_assignment_rev_assignment_review_decision_i_fkey	["assignment_review_decision_id"]	provenance	assignment_review_decision	["assignment_review_decision_id"]	SIMPLE	NO ACTION	RESTRICT	false	false	true	\N	\N	[]	\N	\N	\N	38f9dc89238329b107b04eb63cd70ab23ddb8792afb8d3b8299d15ae987096a8	38f9dc89238329b107b04eb63cd70ab23ddb8792afb8d3b8299d15ae987096a8	true	\N	CANONICAL_PARENT_RESTRICT	[]	PASS
audit|decision_event_assignment_review|FOREIGN_KEY|decision_event_assignment_review_decision_event_id_fkey	audit	decision_event_assignment_review	FOREIGN_KEY	decision_event_assignment_review_decision_event_id_fkey	["decision_event_id"]	audit	decision_event	["decision_event_id"]	SIMPLE	NO ACTION	RESTRICT	false	false	true	\N	\N	[]	\N	\N	\N	a49839f3e82041a53d1b8d2b46761a36cdd3cba4e6fde1b7a7a6d388d151f500	a49839f3e82041a53d1b8d2b46761a36cdd3cba4e6fde1b7a7a6d388d151f500	true	\N	IDENTITY_FK	[]	PASS
audit|decision_event_assignment_review|INDEX|decision_event_assignment_rev_assignment_review_decision_id_key	audit	decision_event_assignment_review	INDEX	decision_event_assignment_rev_assignment_review_decision_id_key	[]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	9bf9227f8a8f4d49d66ba2ddadb9341417ca7b326e11a8a7e486d9f19f40c144	9bf9227f8a8f4d49d66ba2ddadb9341417ca7b326e11a8a7e486d9f19f40c144	true	audit|decision_event_assignment_review|UNIQUE_CONSTRAINT|decision_event_assignment_rev_assignment_review_decision_id_key	ACCESS_PATH_ONLY	[]	PASS
audit|decision_event_assignment_review|INDEX|decision_event_assignment_review_pkey	audit	decision_event_assignment_review	INDEX	decision_event_assignment_review_pkey	[]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	aa1d014e824fb1c70ba6dd1423ea9704cdb2a3d8ba9f7859b8c3bffae64d2daf	aa1d014e824fb1c70ba6dd1423ea9704cdb2a3d8ba9f7859b8c3bffae64d2daf	true	audit|decision_event_assignment_review|PRIMARY_KEY|decision_event_assignment_review_pkey	ACCESS_PATH_ONLY	[]	PASS
audit|decision_event_assignment_review|NOT_NULL|assignment_review_decision_id:NOT_NULL	audit	decision_event_assignment_review	NOT_NULL	assignment_review_decision_id:NOT_NULL	["assignment_review_decision_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	52d00eb0676683831427105fb747b9d55a286c12e868d91b163573f9845eb558	52d00eb0676683831427105fb747b9d55a286c12e868d91b163573f9845eb558	true	\N	CLOSED_SUBTYPE	[]	PASS
audit|decision_event_assignment_review|NOT_NULL|decision_event_id:NOT_NULL	audit	decision_event_assignment_review	NOT_NULL	decision_event_id:NOT_NULL	["decision_event_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	8daf8e915053fc7bf81f7d09f717af10fa9cdbadfb84b1b7d3ff49a7aa41816d	8daf8e915053fc7bf81f7d09f717af10fa9cdbadfb84b1b7d3ff49a7aa41816d	true	\N	CLOSED_SUBTYPE	[]	PASS
audit|decision_event_assignment_review|PRIMARY_KEY|decision_event_assignment_review_pkey	audit	decision_event_assignment_review	PRIMARY_KEY	decision_event_assignment_review_pkey	["decision_event_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	ae2911dca49600076ec62c3ae14b16c57db06bb5847a22b6702ec16a27a06c61	ae2911dca49600076ec62c3ae14b16c57db06bb5847a22b6702ec16a27a06c61	true	\N	NATURAL_KEY	[]	PASS
audit|decision_event_assignment_review|ROW_TRIGGER|audit_decision_assignment_append_only	audit	decision_event_assignment_review	ROW_TRIGGER	audit_decision_assignment_append_only	[]	\N	\N	[]	\N	\N	\N	false	false	true	O	BEFORE	["DELETE","UPDATE"]	ROW	audit.reject_update_delete()	\N	c57d920eff58653ce0e39e61e0c39ce0d6bed62560beb84dd11a80df41330a72	c57d920eff58653ce0e39e61e0c39ce0d6bed62560beb84dd11a80df41330a72	true	\N	APPEND_ONLY	[]	PASS
audit|decision_event_assignment_review|UNIQUE_CONSTRAINT|decision_event_assignment_rev_assignment_review_decision_id_key	audit	decision_event_assignment_review	UNIQUE_CONSTRAINT	decision_event_assignment_rev_assignment_review_decision_id_key	["assignment_review_decision_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	81d80022e3e6a0c6a7904c292866abefd4cbd439922e6f4a5e104d49572d623d	81d80022e3e6a0c6a7904c292866abefd4cbd439922e6f4a5e104d49572d623d	true	\N	NATURAL_KEY	[]	PASS
audit|decision_event_attribution_validation|CONSTRAINT_TRIGGER|decision_event_exact_subtype_attribution	audit	decision_event_attribution_validation	CONSTRAINT_TRIGGER	decision_event_exact_subtype_attribution	[]	\N	\N	[]	\N	\N	\N	true	true	true	O	AFTER	["DELETE","INSERT","UPDATE"]	ROW	audit.enforce_decision_event_subtype()	\N	58a76e5cab4b01addac10c5130b104a1ee0b51dc4c3a835dd2b5d2ed6832ca5c	58a76e5cab4b01addac10c5130b104a1ee0b51dc4c3a835dd2b5d2ed6832ca5c	true	\N	DEFERRED_EVIDENCE_VALIDATION	[]	PASS
audit|decision_event_attribution_validation|FOREIGN_KEY|decision_event_attribution_validatio_attribution_bundle_id_fkey	audit	decision_event_attribution_validation	FOREIGN_KEY	decision_event_attribution_validatio_attribution_bundle_id_fkey	["attribution_bundle_id"]	rights	attribution_bundle	["attribution_bundle_id"]	SIMPLE	NO ACTION	RESTRICT	false	false	true	\N	\N	[]	\N	\N	\N	a6f66d9763cd44726a93f5bcd70877561bc8e070c5ffed199cec7dcd2b38e84c	a6f66d9763cd44726a93f5bcd70877561bc8e070c5ffed199cec7dcd2b38e84c	true	\N	IDENTITY_FK	[]	PASS
audit|decision_event_attribution_validation|FOREIGN_KEY|decision_event_attribution_validation_decision_event_id_fkey	audit	decision_event_attribution_validation	FOREIGN_KEY	decision_event_attribution_validation_decision_event_id_fkey	["decision_event_id"]	audit	decision_event	["decision_event_id"]	SIMPLE	NO ACTION	RESTRICT	false	false	true	\N	\N	[]	\N	\N	\N	a49839f3e82041a53d1b8d2b46761a36cdd3cba4e6fde1b7a7a6d388d151f500	a49839f3e82041a53d1b8d2b46761a36cdd3cba4e6fde1b7a7a6d388d151f500	true	\N	IDENTITY_FK	[]	PASS
audit|decision_event_attribution_validation|INDEX|decision_event_attribution_validation_attribution_bundle_id_key	audit	decision_event_attribution_validation	INDEX	decision_event_attribution_validation_attribution_bundle_id_key	[]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	818895097af521d1e1be259349db62377eefcab379c93c0c600b1ae85f9ea719	818895097af521d1e1be259349db62377eefcab379c93c0c600b1ae85f9ea719	true	audit|decision_event_attribution_validation|UNIQUE_CONSTRAINT|decision_event_attribution_validation_attribution_bundle_id_key	ACCESS_PATH_ONLY	[]	PASS
audit|decision_event_attribution_validation|INDEX|decision_event_attribution_validation_pkey	audit	decision_event_attribution_validation	INDEX	decision_event_attribution_validation_pkey	[]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	3326143451618fd5d3f5173cf359a1f9537a0e60d2a353a138d36e2b0ef037f4	3326143451618fd5d3f5173cf359a1f9537a0e60d2a353a138d36e2b0ef037f4	true	audit|decision_event_attribution_validation|PRIMARY_KEY|decision_event_attribution_validation_pkey	ACCESS_PATH_ONLY	[]	PASS
audit|decision_event_attribution_validation|NOT_NULL|attribution_bundle_id:NOT_NULL	audit	decision_event_attribution_validation	NOT_NULL	attribution_bundle_id:NOT_NULL	["attribution_bundle_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	450d8e0ad1dad4f6afa6059a51c82b07d4985ce3219726a5114a9785906b3836	450d8e0ad1dad4f6afa6059a51c82b07d4985ce3219726a5114a9785906b3836	true	\N	CLOSED_SUBTYPE	[]	PASS
audit|decision_event_attribution_validation|NOT_NULL|decision_event_id:NOT_NULL	audit	decision_event_attribution_validation	NOT_NULL	decision_event_id:NOT_NULL	["decision_event_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	8daf8e915053fc7bf81f7d09f717af10fa9cdbadfb84b1b7d3ff49a7aa41816d	8daf8e915053fc7bf81f7d09f717af10fa9cdbadfb84b1b7d3ff49a7aa41816d	true	\N	CLOSED_SUBTYPE	[]	PASS
audit|decision_event_attribution_validation|PRIMARY_KEY|decision_event_attribution_validation_pkey	audit	decision_event_attribution_validation	PRIMARY_KEY	decision_event_attribution_validation_pkey	["decision_event_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	ae2911dca49600076ec62c3ae14b16c57db06bb5847a22b6702ec16a27a06c61	ae2911dca49600076ec62c3ae14b16c57db06bb5847a22b6702ec16a27a06c61	true	\N	NATURAL_KEY	[]	PASS
audit|decision_event_attribution_validation|ROW_TRIGGER|audit_decision_attribution_append_only	audit	decision_event_attribution_validation	ROW_TRIGGER	audit_decision_attribution_append_only	[]	\N	\N	[]	\N	\N	\N	false	false	true	O	BEFORE	["DELETE","UPDATE"]	ROW	audit.reject_update_delete()	\N	ab9a550ebea143f1eabfe110e8e35c9af379eb38d6d342bc4fa5430a0e8f8e7b	ab9a550ebea143f1eabfe110e8e35c9af379eb38d6d342bc4fa5430a0e8f8e7b	true	\N	APPEND_ONLY	[]	PASS
audit|decision_event_attribution_validation|UNIQUE_CONSTRAINT|decision_event_attribution_validation_attribution_bundle_id_key	audit	decision_event_attribution_validation	UNIQUE_CONSTRAINT	decision_event_attribution_validation_attribution_bundle_id_key	["attribution_bundle_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	8ba0d77cafce1bd04535a0595725d6ce4a5aafe87dcb7b81f85e8ff6ec2e7659	8ba0d77cafce1bd04535a0595725d6ce4a5aafe87dcb7b81f85e8ff6ec2e7659	true	\N	NATURAL_KEY	[]	PASS
audit|decision_event_claim_review|CONSTRAINT_TRIGGER|decision_event_exact_subtype_claim	audit	decision_event_claim_review	CONSTRAINT_TRIGGER	decision_event_exact_subtype_claim	[]	\N	\N	[]	\N	\N	\N	true	true	true	O	AFTER	["DELETE","INSERT","UPDATE"]	ROW	audit.enforce_decision_event_subtype()	\N	aa0392a20be95d1283af49bf717d89cfbee236581fef97298dcdd20e3a9b8ed9	aa0392a20be95d1283af49bf717d89cfbee236581fef97298dcdd20e3a9b8ed9	true	\N	DEFERRED_EVIDENCE_VALIDATION	[]	PASS
audit|decision_event_claim_review|FOREIGN_KEY|decision_event_claim_review_claim_review_decision_id_fkey	audit	decision_event_claim_review	FOREIGN_KEY	decision_event_claim_review_claim_review_decision_id_fkey	["claim_review_decision_id"]	research	claim_review_decision	["claim_review_decision_id"]	SIMPLE	NO ACTION	RESTRICT	false	false	true	\N	\N	[]	\N	\N	\N	73f3fd480b3cd1eb0590be4c98363283457ff11edd5725f095f00201f42841ad	73f3fd480b3cd1eb0590be4c98363283457ff11edd5725f095f00201f42841ad	true	\N	CANONICAL_PARENT_RESTRICT	[]	PASS
audit|decision_event_claim_review|FOREIGN_KEY|decision_event_claim_review_decision_event_id_fkey	audit	decision_event_claim_review	FOREIGN_KEY	decision_event_claim_review_decision_event_id_fkey	["decision_event_id"]	audit	decision_event	["decision_event_id"]	SIMPLE	NO ACTION	RESTRICT	false	false	true	\N	\N	[]	\N	\N	\N	a49839f3e82041a53d1b8d2b46761a36cdd3cba4e6fde1b7a7a6d388d151f500	a49839f3e82041a53d1b8d2b46761a36cdd3cba4e6fde1b7a7a6d388d151f500	true	\N	IDENTITY_FK	[]	PASS
audit|decision_event_claim_review|INDEX|decision_event_claim_review_claim_review_decision_id_key	audit	decision_event_claim_review	INDEX	decision_event_claim_review_claim_review_decision_id_key	[]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	ebbd3044a7908fd9e1c0ba6bb0f5f744780d8e6b4853d695736147f177f1ff47	ebbd3044a7908fd9e1c0ba6bb0f5f744780d8e6b4853d695736147f177f1ff47	true	audit|decision_event_claim_review|UNIQUE_CONSTRAINT|decision_event_claim_review_claim_review_decision_id_key	ACCESS_PATH_ONLY	[]	PASS
audit|decision_event_claim_review|INDEX|decision_event_claim_review_pkey	audit	decision_event_claim_review	INDEX	decision_event_claim_review_pkey	[]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	052c58d67c551f5f9725904eef3b88a31fd88c361df16514464a33e3a1927013	052c58d67c551f5f9725904eef3b88a31fd88c361df16514464a33e3a1927013	true	audit|decision_event_claim_review|PRIMARY_KEY|decision_event_claim_review_pkey	ACCESS_PATH_ONLY	[]	PASS
audit|decision_event_claim_review|NOT_NULL|claim_review_decision_id:NOT_NULL	audit	decision_event_claim_review	NOT_NULL	claim_review_decision_id:NOT_NULL	["claim_review_decision_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	dff9177087f75610e320892a98fed297f48a85d97ed291d55d49a6f5e03fd1df	dff9177087f75610e320892a98fed297f48a85d97ed291d55d49a6f5e03fd1df	true	\N	CLOSED_SUBTYPE	[]	PASS
audit|decision_event_claim_review|NOT_NULL|decision_event_id:NOT_NULL	audit	decision_event_claim_review	NOT_NULL	decision_event_id:NOT_NULL	["decision_event_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	8daf8e915053fc7bf81f7d09f717af10fa9cdbadfb84b1b7d3ff49a7aa41816d	8daf8e915053fc7bf81f7d09f717af10fa9cdbadfb84b1b7d3ff49a7aa41816d	true	\N	CLOSED_SUBTYPE	[]	PASS
audit|decision_event_claim_review|PRIMARY_KEY|decision_event_claim_review_pkey	audit	decision_event_claim_review	PRIMARY_KEY	decision_event_claim_review_pkey	["decision_event_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	ae2911dca49600076ec62c3ae14b16c57db06bb5847a22b6702ec16a27a06c61	ae2911dca49600076ec62c3ae14b16c57db06bb5847a22b6702ec16a27a06c61	true	\N	NATURAL_KEY	[]	PASS
audit|decision_event_claim_review|ROW_TRIGGER|audit_decision_claim_append_only	audit	decision_event_claim_review	ROW_TRIGGER	audit_decision_claim_append_only	[]	\N	\N	[]	\N	\N	\N	false	false	true	O	BEFORE	["DELETE","UPDATE"]	ROW	audit.reject_update_delete()	\N	2d22d902bb1854c674832e175334ddcdff4a215a7b44c95866c5badac1880129	2d22d902bb1854c674832e175334ddcdff4a215a7b44c95866c5badac1880129	true	\N	APPEND_ONLY	[]	PASS
audit|decision_event_claim_review|UNIQUE_CONSTRAINT|decision_event_claim_review_claim_review_decision_id_key	audit	decision_event_claim_review	UNIQUE_CONSTRAINT	decision_event_claim_review_claim_review_decision_id_key	["claim_review_decision_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	49582bc42892d72059257ea09ad42be85724a1f58e4d17101e3d93a570971754	49582bc42892d72059257ea09ad42be85724a1f58e4d17101e3d93a570971754	true	\N	NATURAL_KEY	[]	PASS
audit|decision_event_delivery_assessment|CONSTRAINT_TRIGGER|decision_event_exact_subtype_delivery	audit	decision_event_delivery_assessment	CONSTRAINT_TRIGGER	decision_event_exact_subtype_delivery	[]	\N	\N	[]	\N	\N	\N	true	true	true	O	AFTER	["DELETE","INSERT","UPDATE"]	ROW	audit.enforce_decision_event_subtype()	\N	6c7626592377d87ed4dc91f7da6a6da0c7f115f2b703c9bd0a92bbdc73d55f62	6c7626592377d87ed4dc91f7da6a6da0c7f115f2b703c9bd0a92bbdc73d55f62	true	\N	DEFERRED_EVIDENCE_VALIDATION	[]	PASS
audit|decision_event_delivery_assessment|FOREIGN_KEY|decision_event_delivery_assessment_decision_event_id_fkey	audit	decision_event_delivery_assessment	FOREIGN_KEY	decision_event_delivery_assessment_decision_event_id_fkey	["decision_event_id"]	audit	decision_event	["decision_event_id"]	SIMPLE	NO ACTION	RESTRICT	false	false	true	\N	\N	[]	\N	\N	\N	a49839f3e82041a53d1b8d2b46761a36cdd3cba4e6fde1b7a7a6d388d151f500	a49839f3e82041a53d1b8d2b46761a36cdd3cba4e6fde1b7a7a6d388d151f500	true	\N	IDENTITY_FK	[]	PASS
audit|decision_event_delivery_assessment|FOREIGN_KEY|decision_event_delivery_assessment_delivery_assessment_id_fkey	audit	decision_event_delivery_assessment	FOREIGN_KEY	decision_event_delivery_assessment_delivery_assessment_id_fkey	["delivery_assessment_id"]	rights	delivery_assessment	["delivery_assessment_id"]	SIMPLE	NO ACTION	RESTRICT	false	false	true	\N	\N	[]	\N	\N	\N	dd8acd54e179960fb1286b901b0715c276ae422c2e0fb6ad9587ecc89783615b	dd8acd54e179960fb1286b901b0715c276ae422c2e0fb6ad9587ecc89783615b	true	\N	IDENTITY_FK	[]	PASS
audit|decision_event_delivery_assessment|INDEX|decision_event_delivery_assessment_delivery_assessment_id_key	audit	decision_event_delivery_assessment	INDEX	decision_event_delivery_assessment_delivery_assessment_id_key	[]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	2da5052692381c8e45218c10fae56312c30d9146fa71029f6e33b6203da0fe2d	2da5052692381c8e45218c10fae56312c30d9146fa71029f6e33b6203da0fe2d	true	audit|decision_event_delivery_assessment|UNIQUE_CONSTRAINT|decision_event_delivery_assessment_delivery_assessment_id_key	ACCESS_PATH_ONLY	[]	PASS
audit|decision_event_delivery_assessment|INDEX|decision_event_delivery_assessment_pkey	audit	decision_event_delivery_assessment	INDEX	decision_event_delivery_assessment_pkey	[]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	0e31a712eb519b0ef83a8585ddeeed96130d0ef907edb46eb5d777a6e4b230c1	0e31a712eb519b0ef83a8585ddeeed96130d0ef907edb46eb5d777a6e4b230c1	true	audit|decision_event_delivery_assessment|PRIMARY_KEY|decision_event_delivery_assessment_pkey	ACCESS_PATH_ONLY	[]	PASS
audit|decision_event_delivery_assessment|NOT_NULL|decision_event_id:NOT_NULL	audit	decision_event_delivery_assessment	NOT_NULL	decision_event_id:NOT_NULL	["decision_event_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	8daf8e915053fc7bf81f7d09f717af10fa9cdbadfb84b1b7d3ff49a7aa41816d	8daf8e915053fc7bf81f7d09f717af10fa9cdbadfb84b1b7d3ff49a7aa41816d	true	\N	CLOSED_SUBTYPE	[]	PASS
audit|decision_event_delivery_assessment|NOT_NULL|delivery_assessment_id:NOT_NULL	audit	decision_event_delivery_assessment	NOT_NULL	delivery_assessment_id:NOT_NULL	["delivery_assessment_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	460159455bc50f0eb067dfffd2b5631025c7bbdd530e9de4a0cead93bab8b9f0	460159455bc50f0eb067dfffd2b5631025c7bbdd530e9de4a0cead93bab8b9f0	true	\N	CLOSED_SUBTYPE	[]	PASS
audit|decision_event_delivery_assessment|PRIMARY_KEY|decision_event_delivery_assessment_pkey	audit	decision_event_delivery_assessment	PRIMARY_KEY	decision_event_delivery_assessment_pkey	["decision_event_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	ae2911dca49600076ec62c3ae14b16c57db06bb5847a22b6702ec16a27a06c61	ae2911dca49600076ec62c3ae14b16c57db06bb5847a22b6702ec16a27a06c61	true	\N	NATURAL_KEY	[]	PASS
audit|decision_event_delivery_assessment|ROW_TRIGGER|audit_decision_delivery_append_only	audit	decision_event_delivery_assessment	ROW_TRIGGER	audit_decision_delivery_append_only	[]	\N	\N	[]	\N	\N	\N	false	false	true	O	BEFORE	["DELETE","UPDATE"]	ROW	audit.reject_update_delete()	\N	0c9e06d707ba1ef7cf1171b80336b423297ca3a3b902cc6ddc204a3afdff3221	0c9e06d707ba1ef7cf1171b80336b423297ca3a3b902cc6ddc204a3afdff3221	true	\N	APPEND_ONLY	[]	PASS
audit|decision_event_delivery_assessment|UNIQUE_CONSTRAINT|decision_event_delivery_assessment_delivery_assessment_id_key	audit	decision_event_delivery_assessment	UNIQUE_CONSTRAINT	decision_event_delivery_assessment_delivery_assessment_id_key	["delivery_assessment_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	798228524c16d8eeb72d2ab7d939f1f590986c07b0b4f9196e3005be781780eb	798228524c16d8eeb72d2ab7d939f1f590986c07b0b4f9196e3005be781780eb	true	\N	NATURAL_KEY	[]	PASS
