handoff_id	public_label	public_row_count	decision
SPTREG:a143fbe2d19ffe1196e434aa7d25a245f9aa35c42eab304e7279d014dd558d76	Czech Republic	8	DEFER_TO_SPACETIME
SPTREG:a61c9700364c4708782440062d87a2c2e6c667607efbfeb58187f328c7b02a91	Denmark	55	DEFER_TO_SPACETIME
SPTREG:5e564fb0f03dcc796ba4e2c795538617316210c20b2996b46806d9f59d50a67f	Dominican Republic	2	DEFER_TO_SPACETIME
SPTREG:4cdc5e75d38b5459b1896dd14d9790a8ded173eb1bc5c6ed3f79f5bd92a963ec	Egypt	3	DEFER_TO_SPACETIME
SPTREG:0a4f7596cf5780be95cb4b623269fce59b8cb43d4c32002d6b5e4f179f938162	El Salvador	1	DEFER_TO_SPACETIME
SPTREG:0e05b8d565b55013520c3d6938d2df51c309840c2891b0c9c95beb3c15fb4911	Estonia	1	DEFER_TO_SPACETIME
SPTREG:5147ce25d5bbe0508aa90b3c488b2ae4862e9f234080a420ba3be07e0b5e1eac	Federated States of Micronesia	22	DEFER_TO_SPACETIME
SPTREG:05dfac99cfc87284783914b09a7f2700a16e67ddee0d5ba51b522f1e3c9db499	Fiji	6	DEFER_TO_SPACETIME
SPTREG:32e5f8112f9e6f36f6549c544cf31de4349abbf372387b5fc4f68e489baa52d0	Finland	59	DEFER_TO_SPACETIME
SPTREG:d5ce67d5d1084fe7dcc9b6e96d7ec0351377ee56342e257a6a9de1f517297ed2	France	224	DEFER_TO_SPACETIME
SPTREG:19999afa43254d340ef292bea5cdb1628e4605940c98d6dc8d16fc7a89aa3242	Georgia	2	DEFER_TO_SPACETIME
SPTREG:09ccd78b6f9669c2854553628a5f87a42e2a42faa8fc9abca868857475296d17	Germany	427	DEFER_TO_SPACETIME
SPTREG:a5fb5e7dc6faf297f55a31dbff6357eeee860e45b86f88830b3e15c3ca5c80d0	Ghana	11	DEFER_TO_SPACETIME
SPTREG:6dc5d305b32ac58f1700479c4c49c951a93fb7ac99766e7731a659e7fe15c2aa	Global / transnational	97	DEFER_TO_SPACETIME
SPTREG:d3a64bef5555672e8c19de151afd2ed6dc20c353e72febeef9642712e6bc8153	Greece	5	DEFER_TO_SPACETIME
SPTREG:ba53ef058f077a2012ca480be5fe63d561a99d0f7758e818f24f5f61d509631e	Guatemala	3	DEFER_TO_SPACETIME
SPTREG:9001f4c87d9e42a801aac4cc9f585133cc47e881272c8de0872c364dc7e632d4	Hawaii	1	DEFER_TO_SPACETIME
SPTREG:b496dab4bde541f0d3deac26008762bcf5efef873de28f36a6dde0bbb28a9b9c	Hungary	12	DEFER_TO_SPACETIME
SPTREG:5d094bc87e003409765746ff96404122c4a1b298934f5552f7299e3e80c61456	India	14	DEFER_TO_SPACETIME
SPTREG:4f547dbe7b64696ad60e6a12d03ef39a69705619cbf4002dcfe58928c0477ce4	Indonesia	79	DEFER_TO_SPACETIME
SPTREG:246c9900dbd8f2e24df5381df5a493c249f2a9771e9fd226eb0aac603c07cc6d	Iran	6	DEFER_TO_SPACETIME
SPTREG:aa7879be038bef107b13f9ff499892d4cc648fddb1428d9336da40cb85a704bf	Iraq	3	DEFER_TO_SPACETIME
SPTREG:ee8962c9bd194522df6f6c481565fcc3fbe8e76ad06d5e5585b977dc68e94c95	Ireland	43	DEFER_TO_SPACETIME
SPTREG:cbdbc2670e83c7922da4b43fc0d46d137a37394fd44c692e83ab2c4ee2054fdb	Israel / Palestine	31	DEFER_TO_SPACETIME
SPTREG:3cff5c03104c5c0dd69b36db01a83d03351dade5577e6439ff92734406848064	Italy	128	DEFER_TO_SPACETIME
SPTREG:11ae4b04e1c13b155a76159a75ad63e5c076f06bb59d2708cb35a3a65e02718f	Japan	116	DEFER_TO_SPACETIME
SPTREG:d65e5123b52a2b05656e004b2154083e00da0b6f6677ab322bf519693b268def	Jordan	1	DEFER_TO_SPACETIME
SPTREG:572782a1c049da287b1e5cd2d5a8b8b807f3a38aa428bdf58404dc04254b93c0	Kiribati	8	DEFER_TO_SPACETIME
SPTREG:e6617d0c3557ad192ba3214d84a26c7ccb5694e94f6a6f4d0a4fe75ec43b9370	Korean Peninsula	13	DEFER_TO_SPACETIME
SPTREG:38d10eb26867008ba942cf0e2a2d6bb99e0214c2f98174d1ad9fb3442ae979b8	Lebanon	3	DEFER_TO_SPACETIME
SPTREG:9224232998ce8039539910b3bbf3e6ee727a7b7ca74e5b7265552037595ed773	Malaysia	52	DEFER_TO_SPACETIME
SPTREG:a3dd29caf26b295c821c0ecaa711fd7b4ee01599832ac5c1dd2b616b2ebf86a8	Marshall Islands	5	DEFER_TO_SPACETIME
SPTREG:0e234f9f10440e3be3d9f69cbc171a43ee44afb93691ee5b3b6cfcfd945b1638	Mexico	29	DEFER_TO_SPACETIME
SPTREG:858b9238b8c9b4dac4ab169496bcd581e01dca348bc316215901a1e4dce0da88	Nauru	6	DEFER_TO_SPACETIME
SPTREG:32d78841d8b10797324f53a0d2e33222a35d79a17881a281fe68a81b349e1b35	Netherlands	164	DEFER_TO_SPACETIME
SPTREG:16f7c32e902829a2ec91e4d773569bc5a06f8194d4eada2f32a84b95519b062a	New Caledonia	9	DEFER_TO_SPACETIME
SPTREG:a7df0b5ad87bfacaf6ff28fd663b3500a8907ab1783f59c3d2e94830476279e3	New York, United States	1	DEFER_TO_SPACETIME
SPTREG:f7716c46ba48d9f12a3634c37faf3f40afc0db69d8476b6aadd65b3ccef0b321	Nicaragua	3	DEFER_TO_SPACETIME
SPTREG:9cec9ad2e061479a4a0c0f41d452491f352be8470f1ac71da57778fe9fda2aa6	Nigeria	3	DEFER_TO_SPACETIME
SPTREG:283f06ff9414309a7464e0a77b2d87125742cb7f0fcbd02fc659c48bb43244cb	Niue	4	DEFER_TO_SPACETIME
SPTREG:4dc3f23ad61661a11c32e6232b3f6ba1f6fe09321b9da19f82e7c21ab3369edf	Norway	562	DEFER_TO_SPACETIME
SPTREG:a1dfcec6120786e280bc3bfe5655bdc1262d827c7846d5b59fb37910c408a9c3	Pakistan	1	DEFER_TO_SPACETIME
SPTREG:05ad9871f65ba7d236b254ecd99a8d73b83d29579e1f1ad3e0c6eaa71bb2e5f9	Palau	4	DEFER_TO_SPACETIME
SPTREG:b70ede52035b701a76ca9e07cffbd809ec9ba10d9c0203e579dca99f5706346c	Palestine / transnational	8	DEFER_TO_SPACETIME
SPTREG:fe176b9dcc1511dc8820a46781311985236c083a42c3eb5e1c81c907cf300210	Papua New Guinea	2	DEFER_TO_SPACETIME
SPTREG:21d79234a47cac5481076752213658a9d6581706d82468e12d44122f16fe019b	Paraguay	4	DEFER_TO_SPACETIME
SPTREG:75eea8c6ee39ca44ec178cac2a607ba958861647dc7fb89bc930bd74cb68590d	Paris, France	5	DEFER_TO_SPACETIME
SPTREG:e8c4b68c92cb8aa636d10357dcb2e15e32bce029d6217896a970022a0d7ecbae	Peru	1	DEFER_TO_SPACETIME
SPTREG:16d7825ef93f3ff7aebde04a3941de08bb59e2923a85a388b259ad395f8116b6	Poland	99	DEFER_TO_SPACETIME
SPTREG:2c3461e822bca692e40cfa694ed7d9f363e6932ae0bc0af4a6190a2f530dda66	Port-au-Prince, Haiti	1	DEFER_TO_SPACETIME
SPTREG:74381e650758462a29a86980b1e5f4244c6f21f9b17ac07ee714a750886a462b	Portugal	36	DEFER_TO_SPACETIME
SPTREG:3c68b2e8956a528980e654175c4ef872087679021b73d3f8d9422b63dec7af5f	Puerto Rico	1	DEFER_TO_SPACETIME
SPTREG:0bc093e67aadfb3366436ab22c0670972290f8a0f8f6037c49f505d09849794d	Romania	18	DEFER_TO_SPACETIME
SPTREG:71600bda8c097ad5e1636573838b5561ee87e94639a49944e7ae6cf8e34b6b39	Russia	231	DEFER_TO_SPACETIME
SPTREG:72383f0207f653e1dd91934526cd218fb841b7aaa9b619875c761a6059049bb8	Samoa	8	DEFER_TO_SPACETIME
SPTREG:cc726f560cf6073a61665a86745e8f60a1d7e85c55f7d51beb0a887edabb4f31	Serbia	1	DEFER_TO_SPACETIME
SPTREG:b048faf96eeda4bc16664e431e72a3d7aee4186dcccb7a93e44fa677e4f7b7e3	Singapore	1	DEFER_TO_SPACETIME
SPTREG:2ac333494da0b726f95095d58d34dd02b9738d6b346992c7b62f8e2072fc8653	Solomon Islands	13	DEFER_TO_SPACETIME
SPTREG:2a6ed36335b8ccb7bd386a178f29c204188b8852d7c8bad2ea74b8e70de9a554	South Africa	36	DEFER_TO_SPACETIME
SPTREG:0dfde92cba686a0caf283f74f3fb7e8ad7f2771764b58716cd2a076730f9dd68	Spain	10	DEFER_TO_SPACETIME
SPTREG:6b357a57971eb70267217f15b0d68fbf11e6b541d6cdde211d0048392391a4d7	Sweden	58	DEFER_TO_SPACETIME
SPTREG:40fd30e7b9f1f9adb7b3f8adc5eb6e1a73766cd967066f752551447e3b20677b	Switzerland	96	DEFER_TO_SPACETIME
SPTREG:5b5d300a8983e3ffb480abacde667212b82c310679a6a57ffd2bcdf5dfe1046f	Syria	1	DEFER_TO_SPACETIME
SPTREG:108f3a715923db13faf0f1943c4d8b54e49dbee6c16e1ece219467c9fc278f59	Thailand	6	DEFER_TO_SPACETIME
SPTREG:26b7319265f0e15dc985f1c5632755d11a8b9b3bec86c4b655c00fd54ac971b1	Tokelau	1	DEFER_TO_SPACETIME
SPTREG:43507630a010d32ce58fc764a44721877762f03f31a713910fe64055f2c847b2	Tonga	7	DEFER_TO_SPACETIME
SPTREG:16842dfd5fd2362af3d75cb7b298c75478d2ba6818baf6d5f523df4ccc2cc766	Turkey	30	DEFER_TO_SPACETIME
SPTREG:ae10f621ddb960bf6bab4d6925fab798709dbc3c600487f28fa55b568e654dbd	Tuvalu	2	DEFER_TO_SPACETIME
SPTREG:53e8b037a589af96f75c52b28253ec008e449dd362cb03afab4869486b0a06d9	Ukraine	10	DEFER_TO_SPACETIME
SPTREG:3a6e81527eb0b51c28decb3b48d5ecba4b175774f3827d6ed82b1a130c38dc06	United Kingdom	3214	DEFER_TO_SPACETIME
SPTREG:9a0a9865d6395476e74c54c1be767e1182113739e1f732995d89d20cc2da2ec2	United States	1175	DEFER_TO_SPACETIME
SPTREG:01ff8445eb6d9f9888d39d90c57127a2575cce35d7edfbe5b68a56d82ee545aa	Uruguay	2	DEFER_TO_SPACETIME
SPTREG:5869a9679185b961f3fe851c74acba8464de417051ecd1ae36d30f77caf48afd	Vanuatu	18	DEFER_TO_SPACETIME
SPTREG:11b1ef123a9a66ad22867cc9b499aa96248364946c7da5b8088dbd4f15a9e099	Venezuela	1	DEFER_TO_SPACETIME
SPTREG:79103dc5548c2ddf95ff485f376fdd1144e52a7d0905a99427c6107c55043973	Vietnam	23	DEFER_TO_SPACETIME
SPTREG:d20c254597db5d0418c19725a7badc27bc52319d5995bddab015cdd7eef98612	Wallis and Futuna	37	DEFER_TO_SPACETIME
SPTREG:f1b7ee8ee77daab7484ab074548f46b195310e9af72a2742b8065945da2bd305	Zimbabwe	6	DEFER_TO_SPACETIME
