signal_id	source_artifact	source_row_family	direct_parent_signals	derived_from_signals	same_source_fact_group	epistemic_level	scoring_disposition	independent_information_candidate	duplicate_for_scoring	interaction_only	diagnostic_only	candidate_generation_allowed	scoring_allowed	explanation_allowed	reason
SIG-DESCRIPTIVE-CREATOR-MEDIUM	docs/research/trace-v49-exploration-discovery-round1/09_TWO_DIMENSION_INTERSECTIONS.tsv	pair_id=creator__medium	SIG-CONTEXT-MEDIUM;SIG-DESCRIPTIVE-CREATOR	SIG-CONTEXT-MEDIUM;SIG-DESCRIPTIVE-CREATOR	SSF-PAIR-INTERSECTION-CELL	DEPENDENT_INTERACTION_DERIVATION	CANDIDATE_GENERATION_ONLY	false	true	true	false	true	false	true	The cell may retrieve candidates; score credit belongs only to the residual pair-interaction channel.
SIG-DESCRIPTIVE-OBJECT-TYPE	frontend/generated/trace-context-v1/records.json	records[].selectedRecord.rootMetadata.objectType			SSF-DESCRIPTIVE-OBJECT-TYPE	DIRECT_APPROVED_PUBLIC_METADATA	INDEPENDENT_BASE_SIGNAL	true	false	false	false	true	true	true	Normalized public object type is independently observable, subject to source-granularity diagnostics.
SIG-DESCRIPTIVE-OBJECT-TYPE-MEDIUM	docs/research/trace-v49-exploration-discovery-round1/09_TWO_DIMENSION_INTERSECTIONS.tsv	pair_id=object_type__medium	SIG-CONTEXT-MEDIUM;SIG-DESCRIPTIVE-OBJECT-TYPE	SIG-CONTEXT-MEDIUM;SIG-DESCRIPTIVE-OBJECT-TYPE	SSF-PAIR-INTERSECTION-CELL	DEPENDENT_INTERACTION_DERIVATION	CANDIDATE_GENERATION_ONLY	false	true	true	false	true	false	true	The cell may retrieve candidates; it cannot add object-type and medium evidence again.
SIG-DESCRIPTIVE-SAME-CREATOR	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	pairwise comparison derived from creator attribution	SIG-DESCRIPTIVE-CREATOR	SIG-DESCRIPTIVE-CREATOR	SSF-DESCRIPTIVE-CREATOR	DETERMINISTIC_DERIVATION	EXPLANATION_ONLY	false	true	false	false	false	false	true	Same-creator equality repeats the canonical creator source fact; unknown states remain zero credit.
SIG-FREQUENCY-ONE-DIMENSION	docs/research/trace-v49-exploration-discovery-round1/08_ONE_DIMENSION_FREQUENCIES.tsv	all observed one-dimensional frequency rows	SIG-CONTEXT-MEDIUM;SIG-CONTEXT-MOVEMENT;SIG-CONTEXT-THEME;SIG-CURATORIAL-CONTAINER-TYPE;SIG-CURATORIAL-MEMBERSHIP;SIG-DESCRIPTIVE-CREATOR;SIG-DESCRIPTIVE-OBJECT-TYPE;SIG-GEOGRAPHY-ASSIGNMENT;SIG-GEOGRAPHY-CLASS;SIG-GEOGRAPHY-MAPPING-STATE;SIG-SOURCE-NAME;SIG-TEMPORAL-DECADE;SIG-TEMPORAL-PRECISION	SIG-CONTEXT-MEDIUM;SIG-CONTEXT-MOVEMENT;SIG-CONTEXT-THEME;SIG-CURATORIAL-CONTAINER-TYPE;SIG-CURATORIAL-MEMBERSHIP;SIG-DESCRIPTIVE-CREATOR;SIG-DESCRIPTIVE-OBJECT-TYPE;SIG-GEOGRAPHY-ASSIGNMENT;SIG-GEOGRAPHY-CLASS;SIG-GEOGRAPHY-MAPPING-STATE;SIG-SOURCE-NAME;SIG-TEMPORAL-DECADE;SIG-TEMPORAL-PRECISION	SSF-CROSS-DIMENSION-FREQUENCY	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Frequency supplies bounded weighting diagnostics; it is not a second observation of a feature value.
SIG-FREQUENCY-RARITY-BAND	docs/research/trace-v49-exploration-discovery-round1/08_ONE_DIMENSION_FREQUENCIES.tsv	rarity_band over one-dimensional frequency rows	SIG-FREQUENCY-ONE-DIMENSION	SIG-FREQUENCY-ONE-DIMENSION	SSF-CROSS-DIMENSION-FREQUENCY	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	A rarity label derives from frequency and cannot become importance or independent score evidence.
SIG-GEOGRAPHY-ASSIGNMENT	frontend/generated/trace-spacetime-v1/record-index.json	records[].geographyIds			SSF-GEOGRAPHY-ASSIGNMENT	DIRECT_GOVERNED_FACT	INDEPENDENT_BASE_SIGNAL	true	false	false	false	true	true	true	Governed geography identity is the canonical exact-overlap source fact.
SIG-GEOGRAPHY-CLASS	frontend/generated/trace-spacetime-v1/geography-registry.json	entries[].geographyClass	SIG-GEOGRAPHY-ASSIGNMENT	SIG-GEOGRAPHY-ASSIGNMENT	SSF-GEOGRAPHY-ASSIGNMENT	GOVERNED_PROJECTION_DERIVATION	CANDIDATE_GENERATION_ONLY	false	true	false	false	true	false	true	All 93 governed geography IDs map deterministically to exactly one class, so class adds no independent information and is only a weaker retrieval/explanation fallback.
SIG-GEOGRAPHY-CONCENTRATION	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-cross-dimensional-summary.json	dimensionConcentrationRows[dimension=geography]	SIG-GEOGRAPHY-ASSIGNMENT	SIG-GEOGRAPHY-ASSIGNMENT	SSF-GEOGRAPHY-ASSIGNMENT	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Corpus concentration derives from governed geography assignments and diagnoses bias only.
SIG-GEOGRAPHY-DISTANCE	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	unselected geography-distance candidate	SIG-GEOGRAPHY-ASSIGNMENT	SIG-GEOGRAPHY-ASSIGNMENT	SSF-UNSUPPORTED-GEOGRAPHY-DISTANCE	UNSELECTED_COMPOUND	REJECT	false	true	false	false	false	false	false	No governed research-distance policy exists; layout, centroid, adjacency, and coordinate distance are forbidden.
SIG-GEOGRAPHY-MAPPING-STATE	frontend/generated/trace-spacetime-v1/geography-registry.json	entries[].mappingState			SSF-GEOGRAPHY-MAPPING-STATE	COMPARABILITY_STATE	COMPARABILITY_ONLY	false	true	false	false	false	false	true	Mapped, aggregate-only, and unmapped states describe observability, not positive affinity.
SIG-GEOGRAPHY-MULTI-REGION	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-missingness-summary.json	objectVectors[].geographyCount>1 aggregate	SIG-GEOGRAPHY-ASSIGNMENT	SIG-GEOGRAPHY-ASSIGNMENT	SSF-GEOGRAPHY-MULTI-REGION	COMPARABILITY_STATE	COMPARABILITY_ONLY	false	true	false	false	false	false	true	Multi-region incidence changes comparison shape but is not an extra match.
SIG-GEOGRAPHY-RARITY	docs/research/trace-v49-exploration-discovery-round1/08_ONE_DIMENSION_FREQUENCIES.tsv	dimension=geography rarity_band	SIG-FREQUENCY-ONE-DIMENSION;SIG-GEOGRAPHY-ASSIGNMENT	SIG-FREQUENCY-ONE-DIMENSION;SIG-GEOGRAPHY-ASSIGNMENT	SSF-GEOGRAPHY-ASSIGNMENT	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Geographic rarity derives from assignment frequency; rare does not mean important.
SIG-GEOGRAPHY-SAME	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	pairwise comparison derived from geographyIds	SIG-GEOGRAPHY-ASSIGNMENT	SIG-GEOGRAPHY-ASSIGNMENT	SSF-GEOGRAPHY-ASSIGNMENT	DETERMINISTIC_DERIVATION	EXPLANATION_ONLY	false	true	false	false	false	false	true	Same-geography equality is calculated from the canonical assignment and cannot add a second contribution.
SIG-INTERSECTION-BOUNDED-TRIPLE	docs/research/trace-v49-exploration-discovery-round1/10_THREE_DIMENSION_INTERSECTIONS.tsv	all approved bounded triple cells	SIG-CONTEXT-MEDIUM;SIG-CONTEXT-THEME;SIG-GEOGRAPHY-ASSIGNMENT;SIG-SOURCE-NAME;SIG-TEMPORAL-DECADE	SIG-CONTEXT-MEDIUM;SIG-CONTEXT-THEME;SIG-GEOGRAPHY-ASSIGNMENT;SIG-SOURCE-NAME;SIG-TEMPORAL-DECADE	SSF-TRIPLE-INTERSECTION-CELL	DEPENDENT_INTERACTION_DERIVATION	DEPENDENT_INTERACTION_SIGNAL	false	false	true	false	false	true	true	Approved triple cells may add only bounded information residual after their base parents.
SIG-INTERSECTION-CONDITIONAL-LIFT	docs/research/trace-v49-exploration-discovery-round1/09_TWO_DIMENSION_INTERSECTIONS.tsv	conditional rates and lift diagnostics	SIG-INTERSECTION-PAIR-SUPPORT	SIG-INTERSECTION-PAIR-SUPPORT	SSF-PAIR-INTERSECTION-CELL	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	true	true	false	false	true	Conditional support and raw lift are alternative diagnostics over the same pair cells, not extra evidence.
SIG-INTERSECTION-MEDIUM-THEME	docs/research/trace-v49-exploration-discovery-round1/09_TWO_DIMENSION_INTERSECTIONS.tsv	pair_id=medium__theme canonical retrieval alias	SIG-CONTEXT-MEDIUM;SIG-CONTEXT-THEME	SIG-CONTEXT-MEDIUM;SIG-CONTEXT-THEME	SSF-PAIR-INTERSECTION-CELL	DEPENDENT_INTERACTION_DERIVATION	CANDIDATE_GENERATION_ONLY	false	true	true	false	true	false	true	The high-information posting may retrieve candidates; score credit is centralized in the residual pair carrier.
SIG-INTERSECTION-PAIR-SUPPORT	docs/research/trace-v49-exploration-discovery-round1/09_TWO_DIMENSION_INTERSECTIONS.tsv	approved non-curatorial observed pair cells	SIG-CONTEXT-MEDIUM;SIG-CONTEXT-MOVEMENT;SIG-CONTEXT-THEME;SIG-DESCRIPTIVE-CREATOR;SIG-DESCRIPTIVE-OBJECT-TYPE;SIG-GEOGRAPHY-ASSIGNMENT;SIG-SOURCE-NAME;SIG-TEMPORAL-DECADE	SIG-CONTEXT-MEDIUM;SIG-CONTEXT-MOVEMENT;SIG-CONTEXT-THEME;SIG-DESCRIPTIVE-CREATOR;SIG-DESCRIPTIVE-OBJECT-TYPE;SIG-GEOGRAPHY-ASSIGNMENT;SIG-SOURCE-NAME;SIG-TEMPORAL-DECADE	SSF-PAIR-INTERSECTION-CELL	DEPENDENT_INTERACTION_DERIVATION	DEPENDENT_INTERACTION_SIGNAL	false	false	true	false	false	true	true	One residual pair-interaction carrier prevents named cells, support, lift, and rarity from being added repeatedly.
SIG-INTERSECTION-RARE-MULTI	docs/research/trace-v49-exploration-discovery-round1/11_RARE_INTERSECTION_REGISTER.tsv	bounded rare pair and triple cells	SIG-INTERSECTION-BOUNDED-TRIPLE;SIG-INTERSECTION-PAIR-SUPPORT	SIG-INTERSECTION-BOUNDED-TRIPLE;SIG-INTERSECTION-PAIR-SUPPORT	SSF-INTERSECTION-RARITY-CLASS	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	true	true	false	false	true	Rare is a bounded sensitivity label, not importance and not an additional interaction observation.
SIG-MISSINGNESS-COOCCURRENCE	docs/research/trace-v49-exploration-discovery-round1/06_MISSINGNESS_CENSUS.tsv	row_kind=COOCCURRENCE	SIG-MISSINGNESS-CREATOR;SIG-MISSINGNESS-GEOGRAPHY-MAPPING;SIG-MISSINGNESS-GEOGRAPHY-QUALIFIED;SIG-MISSINGNESS-MOVEMENT-AVAILABILITY;SIG-MISSINGNESS-TEMPORAL	SIG-MISSINGNESS-CREATOR;SIG-MISSINGNESS-GEOGRAPHY-MAPPING;SIG-MISSINGNESS-GEOGRAPHY-QUALIFIED;SIG-MISSINGNESS-MOVEMENT-AVAILABILITY;SIG-MISSINGNESS-TEMPORAL	SSF-MISSINGNESS-COOCCURRENCE	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Shared uncertainty states are useful only for missingness-oriented aggregate exploration.
SIG-MISSINGNESS-CREATOR	docs/research/trace-v49-exploration-discovery-round1/06_MISSINGNESS_CENSUS.tsv	row_kind=FIELD_MATRIX;field=creator	SIG-DESCRIPTIVE-CREATOR	SIG-DESCRIPTIVE-CREATOR	SSF-DESCRIPTIVE-CREATOR	COMPARABILITY_STATE	COMPARABILITY_ONLY	false	true	false	false	false	false	true	Creator unknown and qualified-unknown states alter availability and add zero default affinity.
SIG-MISSINGNESS-GEOGRAPHY-MAPPING	docs/research/trace-v49-exploration-discovery-round1/06_MISSINGNESS_CENSUS.tsv	row_kind=FIELD_MATRIX;field=geography_mapping_state	SIG-GEOGRAPHY-MAPPING-STATE	SIG-GEOGRAPHY-MAPPING-STATE	SSF-GEOGRAPHY-MAPPING-STATE	COMPARABILITY_STATE	COMPARABILITY_ONLY	false	true	false	false	false	false	true	Mapping availability belongs to the comparability channel and adds zero affinity.
SIG-MISSINGNESS-GEOGRAPHY-QUALIFIED	docs/research/trace-v49-exploration-discovery-round1/06_MISSINGNESS_CENSUS.tsv	taxonomy_class=QUALIFIED geography rows	SIG-GEOGRAPHY-ASSIGNMENT	SIG-GEOGRAPHY-ASSIGNMENT	SSF-GEOGRAPHY-QUALIFICATION	COMPARABILITY_STATE	COMPARABILITY_ONLY	false	true	false	false	false	false	true	Qualification is uncertainty metadata and cannot create positive pair credit.
SIG-MISSINGNESS-MOVEMENT-AVAILABILITY	docs/research/trace-v49-exploration-discovery-round1/06_MISSINGNESS_CENSUS.tsv	row_kind=FIELD_MATRIX;field=movement_context	SIG-CONTEXT-MOVEMENT	SIG-CONTEXT-MOVEMENT	SSF-CONTEXT-MOVEMENT	COMPARABILITY_STATE	COMPARABILITY_ONLY	false	true	false	false	false	false	true	No published movement context is an explicit availability state, not a shared positive feature.
SIG-MISSINGNESS-RIGHTS-DELIVERY	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-missingness-summary.json	internal rights and delivery diagnostics			SSF-NOT-GOVERNED-RIGHTS-DELIVERY	UNSELECTED_COMPOUND	REJECT	false	true	false	false	false	false	false	Rights and delivery states are not governed public Exploration features.
SIG-MISSINGNESS-SINGLE-SCORE	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	explicitly rejected uncertainty compound	SIG-MISSINGNESS-CREATOR;SIG-MISSINGNESS-GEOGRAPHY-MAPPING;SIG-MISSINGNESS-GEOGRAPHY-QUALIFIED;SIG-MISSINGNESS-MOVEMENT-AVAILABILITY;SIG-MISSINGNESS-TEMPORAL	SIG-MISSINGNESS-CREATOR;SIG-MISSINGNESS-GEOGRAPHY-MAPPING;SIG-MISSINGNESS-GEOGRAPHY-QUALIFIED;SIG-MISSINGNESS-MOVEMENT-AVAILABILITY;SIG-MISSINGNESS-TEMPORAL	SSF-UNSUPPORTED-MISSINGNESS-SCORE	UNSUPPORTED_INFERENCE	REJECT	false	true	false	false	false	false	false	Collapsing heterogeneous availability states into one score hides comparability and is prohibited.
SIG-MISSINGNESS-TEMPORAL	docs/research/trace-v49-exploration-discovery-round1/06_MISSINGNESS_CENSUS.tsv	row_kind=FIELD_MATRIX;field=temporal_precision	SIG-TEMPORAL-PRECISION	SIG-TEMPORAL-PRECISION	SSF-TEMPORAL-PRECISION	COMPARABILITY_STATE	COMPARABILITY_ONLY	false	true	false	false	false	false	true	Approximate and range precision affect temporal comparability; matching uncertainty adds zero affinity.
SIG-MODEL-CLUSTER	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	unselected clustering candidate			SSF-UNSUPPORTED-CLUSTER	UNSELECTED_COMPOUND	REJECT	false	true	false	false	false	false	false	Clustering is outside this round and is not an archive source fact.
SIG-MODEL-RELATION-PROBABILITY	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	explicitly prohibited relation-probability candidate			SSF-UNSUPPORTED-RELATION-PROBABILITY	UNSUPPORTED_INFERENCE	REJECT	false	true	false	false	false	false	false	Archive-derived overlap cannot support a probability of historical or semantic relation.
SIG-SOURCE-CONCENTRATION	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-cross-dimensional-summary.json	dimensionConcentrationRows[dimension=source]	SIG-SOURCE-NAME	SIG-SOURCE-NAME	SSF-SOURCE-IDENTITY	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Source concentration derives from source identity and diagnoses corpus bias.
SIG-SOURCE-DIVERSITY	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-cross-dimensional-summary.json	sourceCompositionRows candidate diversity summary	SIG-SOURCE-CONCENTRATION;SIG-SOURCE-NAME	SIG-SOURCE-CONCENTRATION;SIG-SOURCE-NAME	SSF-SOURCE-IDENTITY	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Diversity is an aggregate/source-stratification diagnostic, not object-pair affinity.
SIG-SOURCE-DOMINANT	docs/research/trace-v49-exploration-discovery-round1/08_ONE_DIMENSION_FREQUENCIES.tsv	dimension=source dominant-value diagnostic	SIG-SOURCE-FREQUENCY	SIG-SOURCE-FREQUENCY	SSF-SOURCE-IDENTITY	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Dominant-source incidence is corpus composition, not independent pair evidence.
SIG-SOURCE-FREQUENCY	docs/research/trace-v49-exploration-discovery-round1/08_ONE_DIMENSION_FREQUENCIES.tsv	dimension=source	SIG-SOURCE-NAME	SIG-SOURCE-NAME	SSF-SOURCE-IDENTITY	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Source frequency may inform caps or IDF but repeats the source identity population.
SIG-SOURCE-NAME	frontend/generated/trace-context-v1/records.json	records[].selectedRecord.rootMetadata.sourceName			SSF-SOURCE-IDENTITY	DIRECT_APPROVED_PUBLIC_METADATA	INDEPENDENT_BASE_SIGNAL	true	false	false	false	true	true	true	Public source identity is observable but biased; positive use requires an explicit capped experiment policy.
SIG-SOURCE-RARE	docs/research/trace-v49-exploration-discovery-round1/08_ONE_DIMENSION_FREQUENCIES.tsv	dimension=source rarity_band	SIG-SOURCE-FREQUENCY	SIG-SOURCE-FREQUENCY	SSF-SOURCE-IDENTITY	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Rare-source status derives from frequency and is not importance or a separate score signal.
SIG-SOURCE-SAME	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	pairwise comparison derived from sourceName	SIG-SOURCE-NAME	SIG-SOURCE-NAME	SSF-SOURCE-IDENTITY	DETERMINISTIC_DERIVATION	EXPLANATION_ONLY	false	true	false	false	false	false	true	Same-source equality repeats the source fact and is not automatically positive affinity.
SIG-SOURCE-SHARE	docs/research/trace-v49-exploration-discovery-round1/08_ONE_DIMENSION_FREQUENCIES.tsv	dimension=source assignment_share	SIG-SOURCE-FREQUENCY	SIG-SOURCE-FREQUENCY	SSF-SOURCE-IDENTITY	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Source share is frequency divided by the public denominator and supplies bias diagnostics only.
SIG-TEMPORAL-CONCENTRATION	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-cross-dimensional-summary.json	dimensionConcentrationRows[dimension=decade]	SIG-TEMPORAL-DECADE	SIG-TEMPORAL-DECADE	SSF-TEMPORAL-OBSERVATION	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Decade concentration derives from governed temporal observations and diagnoses corpus composition.
