packet_row_id	anchor_public_id	anchor_title	anchor_selection_strata	blind_profile_slot	candidate_ordinal	candidate_public_id	candidate_title	retrieval_reasons	shared_independent_signals	distinctive_signals	unavailable_families	comparability_ratio	anchor_source_name	candidate_source_name	source_composition	source_bias_notes	interaction_evidence	useful_for_further_exploration	explanation_intelligible	merely_broad_category	new_defensible_research_direction	accidental_relation_suggestion	reviewer_notes	human_review_completed	historical_relation	semantic_relation	probability
HR-001-PROFILE-3-3	SURF-GALYEAR1817V1R0001	Affiches, annonces et avis divers, ou Journal général de France	PATHOLOGICAL:AGGREGATE_ONLY_GEOGRAPHY;RARE_SOURCE:EXP:SOURCE:2594c96bc03bd03f2d0455ed1377ad97449051be68e7ad297ddf78153bcf01bb	PROFILE-3	3	SURF-GALYEAR1817V1R0005	Almanach critique et littéraire de Paris	context; curatorialRecall; descriptive; geography	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-DECADE	temporal		1	Gallica / BnF APIs	Gallica / BnF APIs	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-001-PROFILE-3-4	SURF-GALYEAR1817V1R0001	Affiches, annonces et avis divers, ou Journal général de France	PATHOLOGICAL:AGGREGATE_ONLY_GEOGRAPHY;RARE_SOURCE:EXP:SOURCE:2594c96bc03bd03f2d0455ed1377ad97449051be68e7ad297ddf78153bcf01bb	PROFILE-3	4	SURF-GALYEAR1817V1R0003	Voyage pittoresque de Constantinople et des rives du Bosphore, d'après les dessins de M. Melling, dessinateur et architecte de Hadidgé-Sultane, soeur de l'empereur. Un volume in-folio, format atlantique. Prospectus.	curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-DECADE	context; descriptive		1	Gallica / BnF APIs	Gallica / BnF APIs	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-002-PROFILE-1-1	SURF-CHWCONTEMP2026V1R0016	Folon, The Graphic Art, Horn Gallery, New York	APPROXIMATE_TIME;PATHOLOGICAL:APPROXIMATE_DATE	PROFILE-1	1	SURF-CHWCONTEMP2026V1R0020	Holiday Celebration 1990	context; curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Cooper Hewitt Collection GraphQL API	Cooper Hewitt Collection GraphQL API	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-002-PROFILE-1-2	SURF-CHWCONTEMP2026V1R0016	Folon, The Graphic Art, Horn Gallery, New York	APPROXIMATE_TIME;PATHOLOGICAL:APPROXIMATE_DATE	PROFILE-1	2	SURF-LOCTRACE2026I8BDD8B90FEC31A	Arts festival for the benefit of political prisoners	context; curatorialRecall; geography	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Cooper Hewitt Collection GraphQL API	Library of Congress Prints and Photographs API	CROSS_GOVERNED_SOURCE_NAME	CROSS_GOVERNED_SOURCE_REPORTED								false	false	false	false
HR-002-PROFILE-1-3	SURF-CHWCONTEMP2026V1R0016	Folon, The Graphic Art, Horn Gallery, New York	APPROXIMATE_TIME;PATHOLOGICAL:APPROXIMATE_DATE	PROFILE-1	3	SURF-VAM20K-03189	O1170844	curatorialRecall; geography	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT	context		1	Cooper Hewitt Collection GraphQL API	V&A Collections API	CROSS_GOVERNED_SOURCE_NAME	CROSS_GOVERNED_SOURCE_REPORTED								false	false	false	false
HR-002-PROFILE-1-4	SURF-CHWCONTEMP2026V1R0016	Folon, The Graphic Art, Horn Gallery, New York	APPROXIMATE_TIME;PATHOLOGICAL:APPROXIMATE_DATE	PROFILE-1	4	SURF-CHWCONTEMP2026V1R0002	"""Subjective Archives: an Installation,"" SF Camerawork, a Center for Photography and Related Media, San Francisco"	context; curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-CREATOR; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT	descriptive		1	Cooper Hewitt Collection GraphQL API	Cooper Hewitt Collection GraphQL API	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-002-PROFILE-2-1	SURF-CHWCONTEMP2026V1R0016	Folon, The Graphic Art, Horn Gallery, New York	APPROXIMATE_TIME;PATHOLOGICAL:APPROXIMATE_DATE	PROFILE-2	1	SURF-CHWCONTEMP2026V1R0020	Holiday Celebration 1990	context; curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Cooper Hewitt Collection GraphQL API	Cooper Hewitt Collection GraphQL API	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-002-PROFILE-2-2	SURF-CHWCONTEMP2026V1R0016	Folon, The Graphic Art, Horn Gallery, New York	APPROXIMATE_TIME;PATHOLOGICAL:APPROXIMATE_DATE	PROFILE-2	2	SURF-LOCTRACE2026I8BDD8B90FEC31A	Arts festival for the benefit of political prisoners	context; curatorialRecall; geography	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Cooper Hewitt Collection GraphQL API	Library of Congress Prints and Photographs API	CROSS_GOVERNED_SOURCE_NAME	CROSS_GOVERNED_SOURCE_REPORTED								false	false	false	false
HR-002-PROFILE-2-3	SURF-CHWCONTEMP2026V1R0016	Folon, The Graphic Art, Horn Gallery, New York	APPROXIMATE_TIME;PATHOLOGICAL:APPROXIMATE_DATE	PROFILE-2	3	SURF-VAM20K-03189	O1170844	curatorialRecall; geography	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT	context		1	Cooper Hewitt Collection GraphQL API	V&A Collections API	CROSS_GOVERNED_SOURCE_NAME	CROSS_GOVERNED_SOURCE_REPORTED								false	false	false	false
HR-002-PROFILE-2-4	SURF-CHWCONTEMP2026V1R0016	Folon, The Graphic Art, Horn Gallery, New York	APPROXIMATE_TIME;PATHOLOGICAL:APPROXIMATE_DATE	PROFILE-2	4	SURF-CHWCONTEMP2026V1R0002	"""Subjective Archives: an Installation,"" SF Camerawork, a Center for Photography and Related Media, San Francisco"	context; curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-CREATOR; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT	descriptive		1	Cooper Hewitt Collection GraphQL API	Cooper Hewitt Collection GraphQL API	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-002-PROFILE-3-1	SURF-CHWCONTEMP2026V1R0016	Folon, The Graphic Art, Horn Gallery, New York	APPROXIMATE_TIME;PATHOLOGICAL:APPROXIMATE_DATE	PROFILE-3	1	SURF-CHWCONTEMP2026V1R0020	Holiday Celebration 1990	context; curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-DECADE			1	Cooper Hewitt Collection GraphQL API	Cooper Hewitt Collection GraphQL API	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-002-PROFILE-3-2	SURF-CHWCONTEMP2026V1R0016	Folon, The Graphic Art, Horn Gallery, New York	APPROXIMATE_TIME;PATHOLOGICAL:APPROXIMATE_DATE	PROFILE-3	2	SURF-CHWCONTEMP2026V1R0002	"""Subjective Archives: an Installation,"" SF Camerawork, a Center for Photography and Related Media, San Francisco"	context; curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-CREATOR; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-DECADE	descriptive		1	Cooper Hewitt Collection GraphQL API	Cooper Hewitt Collection GraphQL API	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-002-PROFILE-3-3	SURF-CHWCONTEMP2026V1R0016	Folon, The Graphic Art, Horn Gallery, New York	APPROXIMATE_TIME;PATHOLOGICAL:APPROXIMATE_DATE	PROFILE-3	3	SURF-CHWCONTEMP2026V1R0003	"""The Next Generation: Student Work from the United States"" Competition, 2AES, Art and Exhibition Space, San Francisco"	context; curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-CREATOR; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-DECADE	descriptive		1	Cooper Hewitt Collection GraphQL API	Cooper Hewitt Collection GraphQL API	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-002-PROFILE-3-4	SURF-CHWCONTEMP2026V1R0016	Folon, The Graphic Art, Horn Gallery, New York	APPROXIMATE_TIME;PATHOLOGICAL:APPROXIMATE_DATE	PROFILE-3	4	SURF-CHWCONTEMP2026V1R0013	Creative Spirit	context; curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-CREATOR; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-DECADE	descriptive		1	Cooper Hewitt Collection GraphQL API	Cooper Hewitt Collection GraphQL API	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-003-PROFILE-1-1	SURF-BNDCLDANIELGLEISER2026V2R0005	25° Aniversario del Estado de Israel Estadio Israelita-Maccabi	COMMON_CURATED_CONTAINER:EXP:CURATED_CONTAINER_MEDIUM:e1add64c4e817030bc3f2ab5320a4db62d7f2e47995e11c6782cfc25efe56bcc;COMMON_MEDIUM:CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751;COMMON_THEME:CTX:THEME:eb268354d0e71366fb495290bb538687d5d4be7cf5f45d7cd1b50f776bbcb1f0;PATHOLOGICAL:COMMON_MEDIUM_THEME_INTERSECTION;PATHOLOGICAL:CROSS_SOURCE_CONTEXT_MATCH	PROFILE-1	1	SURF-BNDCLDANIELGLEISER2026V2R0027	Purim 5733 grandioso baile de disfraces	curatorialRecall; descriptive; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-CREATOR; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Biblioteca Nacional Digital de Chile	Biblioteca Nacional Digital de Chile	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-003-PROFILE-1-2	SURF-BNDCLDANIELGLEISER2026V2R0005	25° Aniversario del Estado de Israel Estadio Israelita-Maccabi	COMMON_CURATED_CONTAINER:EXP:CURATED_CONTAINER_MEDIUM:e1add64c4e817030bc3f2ab5320a4db62d7f2e47995e11c6782cfc25efe56bcc;COMMON_MEDIUM:CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751;COMMON_THEME:CTX:THEME:eb268354d0e71366fb495290bb538687d5d4be7cf5f45d7cd1b50f776bbcb1f0;PATHOLOGICAL:COMMON_MEDIUM_THEME_INTERSECTION;PATHOLOGICAL:CROSS_SOURCE_CONTEXT_MATCH	PROFILE-1	2	SURF-BNDCLDANIELGLEISER2026V2R0029	Ariel capítulo juvenil de la comunidad israelíta sefaradí	curatorialRecall; descriptive; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-CREATOR; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Biblioteca Nacional Digital de Chile	Biblioteca Nacional Digital de Chile	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-003-PROFILE-1-3	SURF-BNDCLDANIELGLEISER2026V2R0005	25° Aniversario del Estado de Israel Estadio Israelita-Maccabi	COMMON_CURATED_CONTAINER:EXP:CURATED_CONTAINER_MEDIUM:e1add64c4e817030bc3f2ab5320a4db62d7f2e47995e11c6782cfc25efe56bcc;COMMON_MEDIUM:CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751;COMMON_THEME:CTX:THEME:eb268354d0e71366fb495290bb538687d5d4be7cf5f45d7cd1b50f776bbcb1f0;PATHOLOGICAL:COMMON_MEDIUM_THEME_INTERSECTION;PATHOLOGICAL:CROSS_SOURCE_CONTEXT_MATCH	PROFILE-1	3	SURF-BNDCLTRACE2026V1R0033	Mexico exposición de pintura, libros y artesanía de Mexico.	curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Biblioteca Nacional Digital de Chile	Biblioteca Nacional Digital de Chile	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-003-PROFILE-1-4	SURF-BNDCLDANIELGLEISER2026V2R0005	25° Aniversario del Estado de Israel Estadio Israelita-Maccabi	COMMON_CURATED_CONTAINER:EXP:CURATED_CONTAINER_MEDIUM:e1add64c4e817030bc3f2ab5320a4db62d7f2e47995e11c6782cfc25efe56bcc;COMMON_MEDIUM:CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751;COMMON_THEME:CTX:THEME:eb268354d0e71366fb495290bb538687d5d4be7cf5f45d7cd1b50f776bbcb1f0;PATHOLOGICAL:COMMON_MEDIUM_THEME_INTERSECTION;PATHOLOGICAL:CROSS_SOURCE_CONTEXT_MATCH	PROFILE-1	4	SURF-BNDCLTRACE2026V1R0038	Foto cine club	curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Biblioteca Nacional Digital de Chile	Biblioteca Nacional Digital de Chile	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
