authority_base_sha	shard_id	applicability_record_id	ordinal	candidate_key	participant_labels_json	trigger_id	trigger_name	applicability	trigger_occurrence_id	occurrence_emitted	rationale	activation_created	product_path_created	pair_projection_created	record_sha256
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:9e6f79d36b68c7f34d097d7bfdeafef66e49dcf53c44a0d8ad3eca7a5aa4baee	15	EXT-S2-002	"[""commodification"",""mediation"",""mobile object""]"	TRG-003	SHARED_CASE_SOURCE_BUNDLE	NOT_APPLICABLE		false	The hypothesis is one bounded source argument, not a synthesis of two or more separately governed evidence records sharing a case.	false	false	false	d05e0819053cd017edc5127e6d10ffc16fafc016ee2f917bc34fbe627c87a719
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:3a763217ad7e91a511127ac2d8354d6419c29832da9ebf687c4b99c0552d5090	16	EXT-S2-002	"[""commodification"",""mediation"",""mobile object""]"	TRG-004	PRIOR_PRODUCT_OR_COMPOSITION	NOT_APPLICABLE		false	No prior Round 12-16A product or composition contains this exact semantic participant set.	false	false	false	0d85f4e801f39bc07fb302ceed87153bfdc18482e8dc7f243dc54d04ae6c82ce
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:4eef02a52efd5dde6a2bdebae0a905e1b6268f46914d946b3f1fc1611efc27e4	17	EXT-S2-002	"[""commodification"",""mediation"",""mobile object""]"	TRG-005	ISOLATED_ACTIVE_VOCABULARY	APPLICABLE	R16B-EXTERNAL-TRIGGER:6e7c57d7f55ae13da3d4fe4f7019ac3a834f7905f90a942b8c2fd259308401a8	true	Mobile object is active and isolated in the Round 16A pair graph.	false	false	false	28819cdb919deb5b5500101331709014840a382f413730f072b5e2307727f79e
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:211cc8822aa72dff007a446a90d4efe734bf4c297f16ddf6e2697eb26f878f28	18	EXT-S2-002	"[""commodification"",""mediation"",""mobile object""]"	TRG-006	RESEARCH_ONLY_BOUNDED_SENSE	NOT_APPLICABLE		false	All participant senses are governed active senses; no research-only bounded participant triggers this class.	false	false	false	8db88e115932bffb881b969364645a5e08faf25acf36298a8ad91349f38724fb
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:abbd5cea240b11c2ecd6df0641070069500b6e994551ca674550518fc3e88515	19	EXT-S2-002	"[""commodification"",""mediation"",""mobile object""]"	TRG-007	NEGATIVE_OR_NEAR_MISS_CONTROL	NOT_APPLICABLE		false	No prior governed negative or near-miss control identifies this exact candidate; counterevidence is recorded within the inquiry review.	false	false	false	85411e2b8cfd48354d91d69cce393be282946673274aa9d158ef44e082bff43a
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:f24d0e1668dfb285344e2cd9bfedb859698d2ef3540963255ec318e28898bcfd	20	EXT-S2-002	"[""commodification"",""mediation"",""mobile object""]"	TRG-008	OVERLAP_AND_RECONCILIATION	NOT_APPLICABLE		false	The two external candidates neither overlap nor nest and have no prior-product mapping conflict at this checkpoint.	false	false	false	d590d262bf184aa6d99577b3432f4048f8843dc96e9361341c77628f6598720c
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:f01bfeb45f5e3525dcb0e6723ef39c3b6e3dedd59cc15fd157a174c2cfa77a89	21	EXT-S2-002	"[""commodification"",""mediation"",""mobile object""]"	TRG-009	DATABASE_PROVENANCE_DISCOVERY	NOT_APPLICABLE		false	No database or archive-provenance co-case query generated this candidate.	false	false	false	4e19d5468cd5a1ffa2b47ecd2fedcf4e681c40e4ea9da2c981fd8b7363723b8c
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:1acd4624310818c831b9d9d08f8fd0a1eb17787ec6b4e11a4894da59a9c062e2	22	EXT-S2-002	"[""commodification"",""mediation"",""mobile object""]"	TRG-010	ADAPTIVE_EXTERNAL_SEARCH	APPLICABLE	R16B-EXTERNAL-TRIGGER:8a6f636297193e65c362c64485ec0c4c7121efb5c54323da757e2704757ea305	true	Adaptive external source, mechanism, locator, and falsification queries were necessary.	false	false	false	fb6eb280b4ea516b2aaa70c3573d8c4fe6b4ca196b08c8205c33b24bb2c19e9f
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:ca544dd74b805ce050698a48473364a1461ce070b4d31b1699c5418be54cc635	23	EXT-S2-002	"[""commodification"",""mediation"",""mobile object""]"	TRG-011	COUNTEREVIDENCE_AND_FALSIFICATION	NOT_APPLICABLE		false	The candidate is inactive and product-ineligible; falsification searches were still performed, while the separate COMP-EVID-018 correction records the canonical counterevidence behavior.	false	false	false	a2c2c9e2e69fca2a0a694de00443ddb70acfca053678355723bcff32e586c03e
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:6706b429c6a0c1f02230819870c3c1304ca33862dbf3f120260a14bc2c1e192b	24	EXT-S2-002	"[""commodification"",""mediation"",""mobile object""]"	TRG-012	RECURSIVE_GAP_DISCOVERY	NOT_APPLICABLE		false	The candidate uses already governed arity and source-pattern classes; recursive gap review remains open at the tranche level rather than generating this identity.	false	false	false	a7f3cf1e07fa1ff635796b38efe5c97195c1e1f5c90880e7fced957c22b332ca
