event_id	timestamp_utc	phase	operation	observed_status	command_or_probe	error_or_result	filesystem_or_ref_effect	corrective_action	evidence_boundary
R16B-PARALLEL-DIAG-008-011	NOT_CAPTURED_ROOT_REVIEW	V3-SEMANTIC-CONTRACT	SPARSE_GRAPH_COMPONENT_AUDIT	DEFECT_FOUND	manual reconstruction of the arity-five sparse control	Two edges 1-2 and 4-5 over five nodes yield three components, not the fixture's initial expected value two	UNCOMMITTED_BUILDER_AND_GENERATED_ARTIFACTS_REGENERATED	Made pair endpoints explicit, corrected the expectation to three, and required union-find reconstruction in primary and independent verification	Defect found before staging, receipt sealing, commit, or publication
R16B-PARALLEL-DIAG-008-012	NOT_CAPTURED_ROOT_REVIEW	V3-SEMANTIC-CONTRACT	FAIL_CLOSED_SCHEMA_BOUNDARY_AUDIT	DEFECT_FOUND	manual review of ACTIVE, participant, product, count, closure, and composition schema branches	The first schema draft underconstrained ACTIVE rights/support gates, participant order and roles, product eligibility, count taxonomy, and closure fields	UNCOMMITTED_BUILDER_AND_GENERATED_ARTIFACTS_REGENERATED	Added strict ACTIVE evidence/review/gate branches, participant semantics, product dispositions and reasons, typed count/closure schemas, composition product gates, and negative probes	Defect found before staging, receipt sealing, commit, or publication
R16B-PARALLEL-DIAG-008-013	NOT_CAPTURED_ROOT_REVIEW	V3-SEMANTIC-CONTRACT	UNCERTAINTY_CONTRACT_AUDIT	DEFECT_FOUND	field-level comparison against the authorized Round 16B association requirements	The first contract had qualifications and conflicts but no required governed uncertainty assessment	UNCOMMITTED_BUILDER_AND_GENERATED_ARTIFACTS_REGENERATED	Added status, level, rationale, basis, unresolved questions, review binding, and activation policy to revision material	Defect found before staging, receipt sealing, commit, or publication
R16B-PARALLEL-DIAG-008-014	NOT_CAPTURED_INDEPENDENT_AGENT	V3-INDEPENDENT-VERIFICATION	REVISION_HASH_BINDING_AUDIT	DEFECT_FOUND	independent semantic-hash reconstruction of the first builder draft	Association activation and other governed revision fields were omitted from the first revision-hash material	UNCOMMITTED_BUILDER_AND_GENERATED_ARTIFACTS_REGENERATED	Bound the complete governed association payload except presentation to semantic/revision material and added full-field independent recomputation	Independent defect found before any verifier PASS receipt existed
R16B-PARALLEL-DIAG-008-015	NOT_CAPTURED_INDEPENDENT_AGENT	V3-INDEPENDENT-VERIFICATION	PAIR_SEMANTIC_CLASS_AUDIT	DEFECT_FOUND	independent inspection of the synthetic v2-pair adapter target	The pair fixture inherited DIRECT_HIGHER_ORDER_SUPPORT and DIRECT_GROUP defaults	UNCOMMITTED_BUILDER_AND_GENERATED_ARTIFACTS_REGENERATED	Introduced DIRECT_PAIRWISE_SUPPORT plus DIRECT_PAIR and pair-specific ACTIVE schema constraints	Independent defect found before any verifier PASS receipt existed
R16B-PARALLEL-DIAG-008-016	NOT_CAPTURED_INDEPENDENT_AGENT	V3-INDEPENDENT-VERIFICATION	PAIR_ADAPTER_ENDPOINT_BINDING_AUDIT	DEFECT_FOUND	independent adapter-source-to-target reconstruction	The first adapter receipt did not resolve and bind its two source endpoints through an exact concept/sense crosswalk	UNCOMMITTED_BUILDER_AND_GENERATED_ARTIFACTS_REGENERATED	Added a two-endpoint source fixture and explicit endpoint-to-incidence concept/sense crosswalk with no reverse or higher-order path	Independent defect found before any verifier PASS receipt existed
R16B-PARALLEL-DIAG-008-017	NOT_CAPTURED_PARALLEL_AGENT	V3-SEMANTIC-CONTRACT	BUILDER_HARDENING_PATCH_CONTEXT	FAIL	one narrow and one later whole-function apply_patch attempt during validator integration	apply_patch verification failed because expected context had drifted during concurrent hardening	NONE_FOR_REJECTED_PATCHES	Split changes into bounded exact-context patches and continued validation	Rejected patches changed no file, staging state, ref, commit, or remote
R16B-PARALLEL-DIAG-008-018	NOT_CAPTURED_ROOT_TOOL	SOURCE_SCOPE-DRIFT-INSPECTION	OVERSCOPED_RG_DIAGNOSTIC_1	PASS_WITH_OUTPUT_WARNING	rg for COMP-EVID-018 across broad docs/scripts/schemas/frontend/generated/data paths	The successful read traversed minified generated data and tool-truncated roughly 370 MB of output	NONE	Restricted later analysis to exact source and audit files and treated truncated output as non-evidence	Read-only search; no file, staging, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-019	NOT_CAPTURED_ROOT_TOOL	SOURCE_SCOPE-DRIFT-INSPECTION	OVERSCOPED_RG_DIAGNOSTIC_2	PASS_WITH_OUTPUT_WARNING	second rg used file globs but still admitted large one-line Round 16A JSON artifacts	The successful read tool-truncated roughly 169 MB of output	NONE	Used exact known source rows and the external shard's bounded local crosswalk; no further broad scans	Read-only search; no file, staging, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-020	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-PROCESS-DIAGNOSTIC	SANDBOXED_PS_PROBE	FAIL	ps -axo pid,etime,command filtered for contract builders	sandbox denied ps with operation not permitted	NONE	Used agent progress messages and filesystem-visible artifacts instead of process inspection	Read-only diagnostic attempt; no process was signalled and no file or ref changed
R16B-PARALLEL-DIAG-008-021	NOT_CAPTURED_PARALLEL_AGENT	ROUND16A-GLOBAL-RECONCILIATION-DESIGN	PRODUCTION_MODEL_SHAPE_PROBES	FAIL	two jq probes assumed a production_compositions key or array-valued composition collection	The production model uses an object-valued compositions collection keyed by production composition ID	NONE	Inspected the actual collection type and joined object entries through category-entry and seed identities	Read-only analysis only; no files or refs changed
R16B-PARALLEL-DIAG-008-022	NOT_CAPTURED_PARALLEL_AGENT	ROUND16A-GLOBAL-RECONCILIATION-DESIGN	CROSSWALK_FIELD_PROBE	FAIL	Python reconciliation probe assumed crosswalk field sense_id	KeyError sense_id; the exact governed field is participant_sense_id	NONE	Inspected the TSV header and reran the exact join through participant_sense_id	Read-only analysis only; no files or refs changed
R16B-PARALLEL-DIAG-008-023	NOT_CAPTURED_PARALLEL_AGENT	ROUND16A-GLOBAL-RECONCILIATION-DESIGN	WORKTREE_PATH_PROBE	FAIL_BEFORE_LAUNCH	one read-only command used a mistyped isolated-worktree path	CreateProcess rejected the nonexistent path before execution	NONE	Reran from the exact underscore-delimited isolated-worktree path	No process-side file, staging, ref, commit, or remote mutation
R16B-PARALLEL-DIAG-008-024	NOT_CAPTURED_PARALLEL_AGENT	ROUND16A-GLOBAL-RECONCILIATION-DESIGN	FOCUS_TRANSITION_ORACLE_CALIBRATION	CORRECTED	first independent semantic assertion required every FOCUS target to be visible in the current state	The guessed oracle failed on 1128 valid rows; governed semantics require same parent and target_id equal to the next focused node, not current visibility	NONE	Corrected the independent rule; all 18480 FOCUS rows then passed	The failed assertion was an audit-oracle assumption, not data corruption, and no governed metric or file was written from it
R16B-PARALLEL-DIAG-008-025	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-INDEPENDENT-INSPECTION	FIXTURE_TOP_LEVEL_KEY_PROBE	FAIL	jq projection guessed top-level negative_validation_probes, controls, and closure_status keys	The fixture uses schema_negative_probe_receipts, control_expectations, and closure_flags; jq emitted partial counts before failing on a null to_entries input	NONE	Inspected the exact top-level key set and restricted subsequent projections to governed field names	Read-only inspection only; no generated artifact, staging state, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-026	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-ADVERSARIAL-REVIEW	NORMATIVE_HASH_CONTRACT_RECONSTRUCTION	FAIL	independent interpretation of association identity binding using only its declared source fields and mappings	The contract declared scope with no mapping while stored identity material used scope_identity; all six association identity hashes and twenty-one incidence identities required an undeclared alias	NONE	Rejected checkpoint freeze and required an exact executable scope-to-scope_identity projection plus complete material keys before regeneration	Read-only adversarial review; primary builder PASS was not accepted as independent contract reconstruction
R16B-PARALLEL-DIAG-008-027	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-ADVERSARIAL-REVIEW	SYNTHETIC_PAIR_CONTROL_RESOLUTION	FAIL	resolve every sparse and full-clique internal pair identifier to a governed pair association revision and exact endpoints	Eight internal pair identifiers resolved to zero governed association objects; the only PAIR revision belonged to the unrelated v2 adapter control	NONE	Rejected the clique and sparse controls and required real ACTIVE synthetic PAIR revisions with evidence state and endpoint cross-resolution	Read-only adversarial review; no historical association was activated and no product path or pair projection was created
R16B-PARALLEL-DIAG-008-028	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-ADVERSARIAL-REVIEW	FAIL_CLOSED_SCHEMA_AND_CROSS_OBJECT_PROBES	FAIL	probe concept governance, ACTIVE evidence and conflict derivation, product eligibility, hyperedge realization, workflow provenance, navigation references, and participant-order determinism	The current contract lacked governed concepts and senses and admitted multiple self-asserted or semantically inconsistent states across association, composition, workflow, navigation, and export boundaries	NONE	Rejected checkpoint freeze and assigned a bounded primary-contract hardening pass plus new positive and negative controls	Schema and synthetic-control defects only; v2, frozen v49, runtime, database, refs, and remotes remained unchanged
R16B-PARALLEL-DIAG-008-029	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-ADVERSARIAL-REVIEW	OPTIONAL_JSONSCHEMA_IMPORT_PROBES	FAIL	python3 and bundled-Python imports of jsonschema	Both environments reported ModuleNotFoundError for the optional package	NONE	Continued with an implementation-independent bounded Draft 2020-12 subset validator and explicit semantic probes; no dependency installation was authorized	Environment capability probe only; no package, lockfile, generated artifact, or ref changed
R16B-PARALLEL-DIAG-008-030	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-ADVERSARIAL-REVIEW	V49_FREEZE_JQ_PROJECTION	FAIL	one jq projection chained length with a later object field access under the wrong pipeline context	jq reported Cannot index number with string fileCount	NONE	Corrected the read-only query; the freeze manifest reconciled 126 per-file entries and the protected diff remained empty	Read-only query-shape failure; no governed file, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-031	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-INDEPENDENT-VERIFICATION	PRIMARY_CONFLICT_GATE_DERIVATION	FAIL	independent semantic reconstruction across the current six association revisions after verifier wrapper calibration	Pending association association-revision:v3:26d6061aea4dbd157fc79a30 declared conflict_gate true despite nonempty negative_or_conflicting_evidence; derived fail-closed value was false	NO_INDEPENDENT_RECEIPT_WRITTEN	Rejected checkpoint freeze and required activation gates to be derived from evidence and conflict facts before rerun	The verifier stopped before receipt publication; no production fact, closure claim, protected file, index, ref, or remote changed
R16B-PARALLEL-DIAG-008-032	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-PRIMARY-REMEDIATION	IDENTITY_BRANCH_RECEIPT_RECOMPUTABILITY	FAIL_BEFORE_GENERATION	planned identity-branch receipt exposed only base and comparison hashes plus declared relation and status	An independent verifier cannot reconstruct either digest or canonical incidence sequence without committed identity materials or exact object references and a machine-readable mutation	NONE	Required each receipt to embed complete base and comparison identity materials plus canonical participant data before fixture regeneration	Design review prevented a non-recomputable receipt from being generated; no artifact, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-033	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-PRIMARY-REMEDIATION	IDENTITY_BRANCH_ENUM_CARDINALITY	FAIL_BEFORE_GENERATION	read-only inspection compared the planned four identity branch receipts with the current schema enum	The schema exposed only three branch constants and could not distinguish meaningful-role permutation invariance from meaningful-role reassignment sensitivity	NONE	Required a fourth explicit role-reassignment-sensitive constant before fixture regeneration and independent binding	Pre-generation contract inspection only; no generated artifact, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-034	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-PRIMARY-REMEDIATION	DUPLICATE_BUILDER_PARAMETER_INSPECTION	FAIL_BEFORE_EXECUTION	read-only inspection of the in-progress fixture constructor after primary patching	build_vocabulary_records declared the associations parameter twice and would have raised a duplicate-argument SyntaxError on first execution	NONE	Reported the exact transient definition to the primary implementer for removal before the first builder run	Pre-execution inspection only; the malformed transient was never used to generate governed artifacts or change Git state
R16B-PARALLEL-DIAG-008-035	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-PRIMARY-REMEDIATION	NEGATIVE_PROBE_COMPOSITION_REVIEW_SELECTOR	FAIL_BEFORE_EXECUTION	independent read-only calibration of the remediated negative-probe harness	The selector compared a first-class composition-coherence review foreign key with an association review ID; the ID domains cannot match and would raise StopIteration	NONE	Required selection through the governed failed composition review and its exact association-revision membership before first builder execution	Pre-execution verifier inspection only; no receipt, generated artifact, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-036	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-INDEPENDENT-VERIFICATION	HIGHER_ORDER_SUPPORT_DISPOSITION_CROSS_PRODUCT	FAIL_BEFORE_EXECUTION	adversarial schema reasoning combined each higher-order supporting disposition with each nominally supported evidence mode	The ACTIVE condition admitted semantically mismatched combinations such as DIRECT_HIGHER_ORDER_SUPPORT with COHERENT_COMPOSITE and synthetic synthesis steps	NONE	Required exact disposition-to-support-mode mapping in schema, activation derivation, primary validation, and independent adversarial probe ADV-V3-024	Pre-execution semantic review only; no historical association, generated artifact, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-037	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-INDEPENDENT-VERIFICATION	COMPOSITION_COHERENCE_AUTHORITY_SCHEMA_GATE	FAIL_BEFORE_EXECUTION	adversarial review mutated a coherent composition review authority state from FINAL to PENDING	The coherent-decision schema conditional fixed review state and coherence facts but did not structurally require final authority	NONE	Required a FINAL authority-state condition for COHERENT reviews and added independent adversarial probe ADV-V3-025	Pre-execution schema review only; no generated artifact, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-038	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-INDEPENDENT-VERIFICATION	ACTIVE_VOCABULARY_ELIGIBILITY_AND_AUTHORITY_GATES	FAIL_BEFORE_EXECUTION	adversarial concept and concept-sense mutations combined ACTIVE lifecycle with ineligible or nonfinal-authority state	The first-class vocabulary schema lacked lifecycle conditionals tying ACTIVE records to association eligibility and final authority	NONE	Required matching ACTIVE conditionals for both concept and concept sense and added independent probes ADV-V3-026 and ADV-V3-027	Pre-execution schema review only; no generated artifact, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-039	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-POST-GENERATION-INSPECTION	JQ_ROOT_CONTEXT_PRECEDENCE	FAIL	compound jq count projection mixed array construction with an unparenthesized pipe expression	jq changed context to the associations array and reported Cannot index array with string associations before later read-only probes ran	NONE	Parenthesized each root-level projection explicitly and reran the bounded semantic inspection	Read-only query-shape failure only; no generated artifact, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-040	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-POST-GENERATION-INSPECTION	PRIMARY_ARTIFACT_SIZE_AND_LFS_PATH	FAIL_BEFORE_LAUNCH	one read-only size and Git-attribute inspection used a mistyped isolated-worktree path	CreateProcess reported No such file or directory before launching the command	NONE	Reran from the exact isolated worktree; largest primary artifact was 218994 bytes with Git filter unspecified, below all LFS and sharding thresholds	Path-resolution failure only; no process-side file, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-041	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-POST-GENERATION-INSPECTION	JQ_WORKFLOW_EXPORT_ROOT_CONTEXT	FAIL	compound jq output joined a workflow projection and export projection without preserving the root object	The first workflow row printed, then jq attempted to index the workflow array with exports and reported Cannot index array with string exports	NONE	Split the root projections into explicitly parenthesized workflow and export branches before rerun	Read-only query-shape failure only; no generated artifact, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-042	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-INDEPENDENT-VERIFICATION	VERIFIER_ADVERSARIAL_TARGET_CALIBRATIONS	CORRECTED	independent adversarial probes 017 and 018 initially selected the wrong association kind and assumed a nonexistent scope realm field	Probe 017 selected a sorted PAIR instead of the intended higher-order realization; probe 018 tried to read scope.realm instead of deriving realm from referencing associations	NO_RECEIPT_WRITTEN	Corrected both independent selectors; temporary in-memory calibration then passed 762 checks, all 37 primary probe replays, and 27 fresh adversarial probes	Verifier-only calibration; primary artifacts, index, refs, commits, and remotes remained unchanged
R16B-PARALLEL-DIAG-008-043	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-008-INDEPENDENT-VERIFICATION	VERIFIER_TUPLE_KEY_DIAGNOSTIC_SERIALIZATION	CORRECTED	independent verifier calibration attempted to serialize diagnostic material containing tuple-valued mapping keys	The JSON diagnostic encoder rejected non-JSON tuple keys during calibration before the final receipt was written	NO_RECEIPT_WRITTEN	Converted the diagnostic representation to JSON-safe key material; verifier generation, 762 checks, deterministic --check, and py_compile then passed	Verifier-only calibration; primary artifacts, index, refs, commits, and remotes remained unchanged
R16B-PARALLEL-DIAG-008-044	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-DIAGNOSTIC-LEDGER	EMPTY_APPLY_PATCH_HUNK	FAIL	one root apply_patch attempt used a mistyped worktree path and an empty update hunk while preparing the verifier-calibration row	apply_patch rejected the request because the update hunk contained no changed lines	NONE	Reran apply_patch against the exact ledger path with explicit rows 043 and 044	Rejected patch changed no file, index, ref, commit, or remote
R16B-PARALLEL-DIAG-008-045	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-PROTECTED-SURFACE-PREFLIGHT	INDEPENDENT_RECEIPT_TSV_PROJECTION	FAIL	jq attempted to emit checkpoint_diff_protected_changes directly as one TSV cell	The field is an empty array rather than a scalar count, so jq reported that an array is not valid in a CSV row after the preceding help probe passed	NONE	Projected the array length explicitly and reran the bounded receipt inspection before logged protected-surface gates	Read-only query-shape failure only; no file, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-046	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-STAGING	SANDBOXED_GIT_ADD	FAIL	git add of the exact intended checkpoint008 paths in the isolated worktree	Git could not create the linked-worktree index.lock under the parent repository .git/worktrees path because sandbox access was read-only	NONE	Retained this failure row and reran the same exact-path staging operation with the authorized Git-add escalation	Sandbox denial occurred before index mutation; no file content, ref, commit, remote, or worktree path outside the intended branch changed
R16B-PARALLEL-DIAG-008-047	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-INTEGRITY	SECRET_SCAN_SESSION_HANDOFF	INCOMPLETE_STARTED_EVENT	a batched tool orchestration launched the logged secret-pattern scan with a 30-second yield but did not retain the returned exec session identifier	The scan exceeded the initial yield; its command retained a STARTED event and empty stdout/stderr logs but no meta file or terminal PASS/FAIL event	STARTED_EVENT_AND_EMPTY_COMMAND_LOGS_PRESERVED	Reran the same scanner under a unique retry operation with explicit session polling and retained the incomplete first attempt as execution evidence	The incomplete orchestration did not produce a scan decision, modify governed artifacts, or change index, refs, commits, or remotes
R16B-PARALLEL-DIAG-008-048	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-INTEGRITY	SANDBOX_PROCESS_LIST_PROBE	FAIL	pgrep diagnostic for the incomplete secret scan and strict fsck processes	Process enumeration failed because the sandbox could not access the system monitor service	NONE	Used append-only execution events, command meta presence, log sizes, and an explicitly polled retry instead of process-list evidence	Read-only diagnostic failure; no process was signalled and no file, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-049	2026-08-28T10:44:16Z	CHECKPOINT-008-INTEGRITY	SECRET_SCAN_EVENTUAL_COMPLETION_RECONCILIATION	PASS_AFTER_TRANSIENT_HANDOFF_GAP	append-only event and command-meta reconciliation after the explicitly polled retry completed	The original scan had continued after its session identifier was lost and recorded PASS at 10:42:38Z after 86937 ms; the explicit retry independently recorded PASS at 10:44:16Z after 84636 ms	BOTH_COMPLETE_PASS_RECORDS_PRESERVED	Retained both successful scans and this correction to supersede the transient incomplete-state observation without deleting any evidence	Both full scans reported no common secret patterns; neither changed governed artifacts, index, refs, commits, or remotes
R16B-PARALLEL-DIAG-008-050	2026-08-28T10:47:00Z	CHECKPOINT-008-STAGED-DIFF	TRAILING_WHITESPACE_GATE	FAIL	logged git diff --check --cached over the complete staged checkpoint008 inventory	The generated research note and its builder template each contained two Markdown hard-break trailing spaces, producing four gate findings	FAILED_GATE_LOGS_AND_EVENTS_PRESERVED	Removed the trailing spaces at the generator source, regenerated governed outputs, repinned independent hashes, and reran downstream gates	Formatting-only failure; semantic fixture and hash-contract content remained governed, and no ref, commit, remote, or protected v2/v49 path changed
R16B-PARALLEL-DIAG-008-051	2026-08-28T10:53:15Z	CHECKPOINT-008-STAGED-DIFF	PRESERVED_FAILURE_LOG_WHITESPACE	FAIL	second logged git diff --check --cached after the generated source correction	The verbatim stdout evidence from the first failed whitespace gate necessarily repeated the four original trailing-space lines, so the full staged check flagged the preserved failure log rather than current source or generated output	FAILED_GATE_LOGS_AND_EVENTS_PRESERVED	Added exact-path -whitespace attributes for only the two immutable failed-gate stdout logs; no source, generated output, or general log class was exempted	Evidence-preservation reconciliation only; the two exact logs remain byte-unaltered and no ref, commit, remote, or protected v2/v49 path changed
R16B-PARALLEL-DIAG-008-052	2026-08-28T10:56:46Z	CHECKPOINT-008-STAGING	HOST_AWK_COUNTER_PROBE	FAIL	read-only compact porcelain-status counter using the host awk implementation	The local awk parser rejected the compact BEGIN assignment form before consuming Git output	NONE	Replaced the convenience counter with Git-native name-only inventories and wc counts; all 160 changed paths were staged and both unstaged and untracked inventories were empty	Read-only diagnostic failure only; no file content other than this append-only diagnostic row, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-053	2026-08-28T10:57:08Z	CHECKPOINT-008-STAGING	MISTYPED_WORKTREE_PATH	FAIL	attempt to stage the newly appended diagnostic row	The command used a nonexistent worktree path ending in association-closure-round16b instead of the governed association_closure_round16b path, so process creation failed before Git ran	NONE	Retained this failure row and reran the same exact-path git add from the verified isolated worktree	No process started and no file, index, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-054	2026-08-28T10:58:21Z	CHECKPOINT-008-EXECUTION-SEAL	STALE_LATEST_WRITER_SNAPSHOTS	FAIL	direct independent execution-log verification after the final staged-diff gate	The verifier correctly detected four governed paths whose most recent recorded output hashes predated authorized checkpoint008 changes: the active-script allowlist, publication-receipt directory, checkpoint ledger, and v3 output manifest	FAILED_EXECUTION_VERIFICATION_RECEIPT_PRESERVED	Record one fresh logged snapshot over all four exact paths, then rerun the direct verifier outside the logger to avoid a self-referential STARTED event	Fail-closed audit detection only; no ref, commit, remote, protected v2/v49 path, or governed semantic decision changed
