ordinal	path	record_count	bytes	sha256	lfs_required
37	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-90-93-v1.tsv	11581	11643758	d2ef2f28131b92b3e24006e62c3622bd60895ac5295846a0086c7cddd061ae03	true
38	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-94-97-v1.tsv	11622	11686428	c06b167ebb1a9152e4d747980881ac78ce065f3f4764ab8a4bd57634813f5309	true
39	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-98-9b-v1.tsv	11495	11558251	cc871b58a50d527d7a60b3960e24d10246bb593e24d23a7544d8f8d8cedc720e	true
40	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-9c-9f-v1.tsv	11455	11519001	fb8c704d471e47fd5bd6258ee895b20c958f739c2288e766129d2d040cb93898	true
41	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-a0-a3-v1.tsv	11764	11828360	b892c9b66f574dba0c9b379941afa0ac82dd36c363caef0fdf83b9abb5183a31	true
42	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-a4-a7-v1.tsv	11611	11676881	cf628f8fb8b60f53e6bbc1d1d15d25828ddfb95ea893a28c401eb18814b5c4c3	true
43	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-a8-ab-v1.tsv	11744	11809487	edbf708d240cc825011a78e0c05bc84fd8df5a935e6a2eb12ed37d9ce64c93c8	true
44	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-ac-af-v1.tsv	11882	11948206	d6a3f3b395b035e3ed55a6562c89aa8e86570e009a73a1be824d93e779a1fde3	true
45	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-b0-b3-v1.tsv	11786	11850158	abb7cc84d61d9e726ff5248756086071f049e986a31d079be4133b80422cbc51	true
46	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-b4-b7-v1.tsv	11838	11903788	e532a9e12e58e8ef869cd9e7554133e4fa19849e80952f4897d4e3963cb59b9d	true
47	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-b8-bb-v1.tsv	11667	11730398	7b252cc88d94143dc0eb3db2702b502b41cde2fbd0950a6262d312d0e3aa5362	true
48	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-bc-bf-v1.tsv	11637	11698810	2d11df7f6b42559ae7339d23d89d3fc1c028eeed0a8e58b33c2b53d21059c31b	true
49	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-c0-c3-v1.tsv	11842	11906463	ce2589611e618321be45f3fb6810632f53e6a481ff2708e35d7697d3e6aa11dc	true
50	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-c4-c7-v1.tsv	11851	11916644	684f56067fd0cfb152a7b64c6869bc02913fe9bf7096ee7b55459eb2d1299d6f	true
51	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-c8-cb-v1.tsv	11787	11849657	e2278da0dc1368e348360dfda9cca2452f41b7d63b11e86c82b1196230cd68de	true
52	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-cc-cf-v1.tsv	11697	11761180	2e8562c07c109983c907bafe7501b7b36ddcf73df52b44c905ac7ffb3462e696	true
53	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-d0-d3-v1.tsv	11744	11808122	981730498353e2c3799a03f34c35bc778f236dfee5ff61be15b8fd794d1de3d8	true
54	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-d4-d7-v1.tsv	11760	11824037	dfa86148054883f0211230eec62ca719ad57989758300471e69c0b8f6407e300	true
55	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-d8-db-v1.tsv	11598	11658880	db580c7f38f6222f7cf8f2a50f7f2734835b57a9f571810388f242507ad779a1	true
56	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-dc-df-v1.tsv	11676	11741101	b2a292b1dd974fc8284a229e7a9c2e1247a8b3a4382f52972cdd8e321ba29073	true
57	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-e0-e3-v1.tsv	11568	11630991	1148df28805c70357048e9c3464efe56065e4799e47a9a2d74e1558421990962	true
58	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-e4-e7-v1.tsv	11810	11875259	19fbbb78d2308ed4dff7be0f8f0f86e67318a3930ecf9840e1501731199d6056	true
59	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-e8-eb-v1.tsv	11844	11907569	94f0fbc6edbd41ef0fff68ba2462ef63c33d308ed3fbda7c6e652000c7d05141	true
60	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-ec-ef-v1.tsv	11838	11902719	1ce61573171cf597a181787d4eb970cd682a9b605d04301b1c50ab7b29d2a631	true
61	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-f0-f3-v1.tsv	11596	11660013	cd85c6161fcd7b1398a40806cadc521a86051c429a3585873c5ce9f457e4ff26	true
62	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-f4-f7-v1.tsv	11613	11677358	14aa5b66b780bbfca56bfd68e608a47dfd793c852c2da512fe367f4cf9721464	true
63	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-f8-fb-v1.tsv	11803	11867845	e0fe8fc7dd9b6178d6d815c80d861842ad8d92fa696f3b19b8a619de142a5fe8	true
64	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-fc-ff-v1.tsv	11826	11892337	38f97cd48226dcff98353b34fabc7ed68744c1ad5f2ececb595a4719019cdaf2	true
65	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-ledger-round16a-global-reconciliation-v1.tsv	6	1817	c3ac9dc5b4509a83cef6842d0869f5afc6d93b99435ceca139e244cf22eba08d	false
66	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-categories-v1.tsv	81	112495	88e8c694036a8ba601a76cd38ddb667cd445701d8dfe7043a29d0af3cde91322	false
67	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-census-v1.json	1	3587	f2196eef23c560e24fd373956af6e711687440203edc4e0c96ab5de90c8c4537	false
68	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-compositions-v1.tsv	228	307951	21c19948b12375b5d054e3afe7d6fc05b8961547693311a91bce807c17a7aea4	false
69	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-exports-v1.tsv	11520	14913499	4d34a51002bf5c86f75ea63d80fe4352109ba9e2807fd597693efb2b6b24a6cf	false
70	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-family-impact-v1.tsv	9	6872	79898590e179d444326d1ee631a3708b2df94a93ed51cba541cd320064eb723f	false
71	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-input-manifest-v1.tsv	22	5317	7c75c8e51838ad67a6cf3b19bacff48dca8914ad4f0adf22d7a8037f7f304ba8	false
72	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-legacy-v1.tsv	11	12438	fc3b7852969795b61cf028c4d33a7299afec8a52bff148b5fd6330b751d106b4	false
73	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-seeds-v1.tsv	228	305443	befa8045df7f7399b9ce1d25c4fc407f32f488eef1d4f0820a67db02806ae4a9	false
74	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-states-v1.tsv	5760	8176915	35807be9c13950c96685e28681d0beebf49971dafff1192decd2a94db27be2db	false
75	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-subgraphs-v1.tsv	58	75218	81a9c85fcb3a4bcb764ad9c816fbfe381d8eb84c99733463ca8bcf1f7bf4f81b	false
76	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-topologies-v1.tsv	81	107689	40e378a0650c05ed6abce118f4eee502def2d5c33a24c4b03fc7dd088c2b91d9	false
77	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-topology-attempts-v1.tsv	348	459823	b31ac8c509acaeae6f06388bad4df556ae243a44dc953d83962b0276fad969af	false
78	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-topology-rejections-v1.tsv	277	368523	7eea8df033eddb187a875a95e39912ccacebbb2384a9f962c1e6acff9100c30d	false
79	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-transition-endpoint-matrix-v1.tsv	16	2296	e03e40803aacbb2b6fc07f2381e2e4f2a8fb6c0a3153b8e0e6fb75391ddd0be9	false
80	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-transition-shard-manifest-v1.tsv	64	36291	fbe01a56e71d7f82168a00404e3846fee0542cc8bac9a1f513e909edb82deddb	false
81	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-workflows-v1.tsv	5760	7796827	0e0ff7e8baa1238a16d19570f72a533d8146fafa4a4d7fc6dd4a940ddf6e3232	false
82	docs/research/trace-v49-exploration-higher-order-association-closure-round16b/19_ROUND16A_GLOBAL_RECONCILIATION.md	1	1720	79d362dbfda33b7cea44b15a1ef6f61cd563e77edfd4777927beca05577d2023	false
