ordinal	path	selector	record_count	bytes	sha256	authority_boundary
12	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/open-participant-resolution-ledger-v1.tsv	ALL_TSV_ROWS	10	9086	f680797194ef66b0520a7c3c730a2ad50acc28c1f5de992aeb46b63cec2fed5f	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
13	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/parameter-reconciliation-ledger-v2.tsv	ALL_TSV_ROWS	18	7332	da45043f2414c9fd2f77c261507773ac3d768829d616b96a3db261518cb4a717	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
14	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-ledger-adaptive-source-shard-1-v1.tsv	ALL_TSV_ROWS	8	5346	dfcf94990753ab8f7bcde4e3438de90f60fb8688b8777cf6f72f731d10ffe180	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
15	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-ledger-adaptive-source-shard-2-v1.tsv	ALL_TSV_ROWS	6	2783	179e7896ad5fe6374303075da2072dc47afc3a2adb799f061d256e05126542fe	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
16	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-ledger-checkpoint003-v1.tsv	ALL_TSV_ROWS	34	16848	46198584dec1d637bb897c84d39e90a9c9b12dba1d4028974abc4c3f57126509	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
17	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-ledger-checkpoint004-v2.tsv	ALL_TSV_ROWS	9	2814	62c7ad95128682aecb8c19547ea926cba486494dbf074ae73b1fc74c60133bc1	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
18	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-ledger-checkpoint005-tranche-a-v1.tsv	ALL_TSV_ROWS	7	3247	d11be30cc6ffb2d62889fe4d5a86c325facaf5d803c29b59a1c8f92875990238	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
19	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-ledger-checkpoint006-tranche-b-v1.tsv	ALL_TSV_ROWS	8	4212	8198d9a7f8d0fea5651f3587da9d89db776640e086500f6e79f9889e07fecc9d	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
20	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-ledger-checkpoint007-tranche-c-v1.tsv	ALL_TSV_ROWS	8	4605	14272d3be247175fab22505dfba9309a122201dcc06e7615fcc4a63c577cbaa8	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
21	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-ledger-checkpoint008-v1.tsv	ALL_TSV_ROWS	5	2448	ef1454bb34eddf58ef4be75d1838eba72de8ccaf3c4d2965b57ecb474637a4a1	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
22	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-ledger-round16a-global-reconciliation-v1.tsv	ALL_TSV_ROWS	6	1817	c3ac9dc5b4509a83cef6842d0869f5afc6d93b99435ceca139e244cf22eba08d	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
23	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-ledger.tsv	ALL_TSV_ROWS	14	3774	cc571fbd38cf196a09af92c1c159843b965e7f4926cfaebcd31759c17e3d0d1b	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
24	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-census-v1.json	WHOLE_JSON_DOCUMENT	1	3587	f2196eef23c560e24fd373956af6e711687440203edc4e0c96ab5de90c8c4537	CHECKPOINT012_CORRECTED_ROUND16A_RECONCILIATION_BYTES
25	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-subgraphs-v1.tsv	ALL_TSV_ROWS	58	75218	81a9c85fcb3a4bcb764ad9c816fbfe381d8eb84c99733463ca8bcf1f7bf4f81b	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
26	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/scoped-association-hypothesis-ledger-shard-1-v1.tsv	ALL_TSV_ROWS	9	13131	f16deeca67663b05262640cba1512bb46acb0a36ffe8dcae006fd45dc475bed3	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
27	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/scoped-association-hypothesis-ledger-shard-2-v1.tsv	ALL_TSV_ROWS	2	4544	5b7e04bde8fc0c91f7d141f0ecdccf23579394dafba21e33e91ad512f9ab5a4d	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
28	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/scoped-higher-order-review-queue-tranche-c-v1.tsv	ALL_TSV_ROWS	12	24321	d7ff7c13d75ad0ba14c1f84490b021956a23137d6e926f655057f2ea2009e22e	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
29	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/source-canonical-rights-queue-v2.tsv	ALL_TSV_ROWS	94	74166	fd8e8b48b1d0f8da1e4194828d0cc6f273fadb4ecbe147a7f5f9e2319f08b960	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
30	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/source-rights-ledger-shard-1-v1.tsv	ALL_TSV_ROWS	9	8431	062b61c2ee532118716b088939fd2758fb8b002adfe5546f6d4c68ba155536ce	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
31	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/source-rights-ledger-shard-2-v2.tsv	ALL_TSV_ROWS	3	3672	453a9b772b8c176eefe1fad5fdfa99c3b3a0316c070aa7a5d803f8fd4993a3eb	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
32	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/v3-runtime-independent-verification-v1.json	WHOLE_JSON_DOCUMENT	1	27785	4839c5bf5492762478e1562c203db0dffc4b62886e1689f6eb7d37e3af2c0c38	CHECKPOINT012_REFRESHED_RUNTIME_VERIFICATION_BYTES
33	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/v3-semantic-contract-census-v1.json	WHOLE_JSON_DOCUMENT	1	3242	7df89f2248d169c1f4e6358425a7f01afbcdb27c02d1d0e3f583f35c67322c6e	COMMITTED_CHECKPOINT011_BYTES
34	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/v50-round16b-replay-receipt-checkpoint011.json	WHOLE_JSON_DOCUMENT	1	5773	7034cf1474d1baeec36d09033f28e35ae2d58f754009ebe194f5a9102725b83b	COMMITTED_CHECKPOINT011_BYTES
35	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/v50-v3-runtime-checkpoint011-receipt.json	WHOLE_JSON_DOCUMENT	1	16261	b7b2e0560823071129cb4c3cc6afa71275f76df7c189962ab36265ef3fc9861b	COMMITTED_CHECKPOINT011_BYTES
36	docs/research/trace-v49-exploration-composition-review-round1/16_EXTERNAL_DOMAIN_REVIEW_REGISTRY.tsv	ALL_TSV_ROWS	36	47923	903369afab8486b9a7553898ef0cf1bcf858d87bea99bd96887e62aa17a478b6	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
