prior_object_type	source_path	record_selector	record_count	unique_id_count	sorted_id_set_sha256	source_bytes	source_sha256	row_exact_reconciliation_ledger	coverage_status	next_action
ROUND16_MAP	frontend/generated/trace-exploration-v1/read-model.json	json:maps	4	4	dd3bf21707194d0759d36c2ea2ba36b4d84164f89da0a3c403a4d15a3244f123	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_TREE	frontend/generated/trace-exploration-v1/read-model.json	json:trees	26	26	03c05b23305e7d58814868d3e9ab168b77148cf71b7ba6dff4fcdb88bd5643df	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_STATE	frontend/generated/trace-exploration-v1/read-model.json	json:states	52	52	3a04f4f3ee66e8647a19964d5f89c3167e43872f73e6f111d920bc9978629108	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_TRANSITION	frontend/generated/trace-exploration-v1/read-model.json	json:transitions	816	816	1cbe9951237b81f29af61aa0ccd928cfe0f8afcd97f0be4b87afb75df30dea92	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_WORKFLOW	frontend/generated/trace-exploration-v1/read-model.json	json:workflows	5	5	8b1583da45bf9454a0078483f6f76dcf62929b57cc95031d5b74a0734a9a0ba6	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_EXPORT_MANIFEST_KEY	frontend/generated/trace-exploration-v1/read-model.json	json:export_manifests	104	104	d22169f85385a6a7800e419a7d5be2c9314a0819e1023974c7b290db208c9fbb	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	false	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_EXPORT	frontend/generated/trace-exploration-v1/read-model.json	json:export_manifests	104	104	36adb733b9bd76de8058dd3b66c936f774bd6dc5b214c1f3693e4aba4f992924	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_VOCABULARY_CANDIDATE	docs/audits/v49-exploration-full-space-closure-round1/raw/vocabulary-census-v2.json	json:candidates	65	65	cdc1f562bdc73b07d8173bc0edd4798a7e83ca8ce8ad650d0c75d891b3a1a89a	118573	da6e6e485a13b6224e293b8901df9dbb12a7ae7d7e77530ded316970ec5cad1a	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_PAIR_CENSUS	docs/audits/v49-exploration-full-space-closure-round1/raw/association-census-v2.tsv	tsv_rows	465	465	806d39f00794fa8762f9600732c829af7538335a53822abedc92725ef022f34d	547848	7cbf14494b9862401c4cea03757dee9f2f2402612b9fb629b60fac9db9196ab3	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_ACTIVE_PAIR_ASSOCIATION	docs/audits/v49-exploration-full-space-closure-round1/raw/validated-association-graph-v2.json	json:edges	21	21	fcf8bf2fb0f60bbf5993dd84e056bc35dddfd5af9c927c0f8886642346b53c75	20163	1dee15d7cc0a9aa25f2a4a0fd7a352d2df5e7eacf88bd71badec5ebd476063bd	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_ASSOCIATION_SUBGRAPH	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	json:association_subgraphs	58	58	a20e2dbbe5f720a8ba26b4746e9fae49416ed1958e948b22e3dc5b3fa3ad6188	276045	51c3e29909a8aa5226a7d18ebaef896aa52c48be6725d722c869515874c6c24d	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_LEGACY_RECONCILIATION	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	json:round16_legacy_reconciliation	11	11	8715a3710e1bfe3c240132084b8b0fedbebb9d2c54e84eb25e37b156fb9091f0	276045	51c3e29909a8aa5226a7d18ebaef896aa52c48be6725d722c869515874c6c24d	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_ROUND15_ADAPTER_RECORD	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	json:round15_adapter_records	58	58	3a0f8e3c7186184dd454747c9b590d8b44a5c5618a8ca0f1ed2ea91f6aa728e1	276045	51c3e29909a8aa5226a7d18ebaef896aa52c48be6725d722c869515874c6c24d	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_TOPOLOGY_COMPOSITION	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	json:topology_compositions	81	81	a0eb64e0f60fdaf280f1221a8036c83b263fd6e98399badfb0d372193f0abed2	276045	51c3e29909a8aa5226a7d18ebaef896aa52c48be6725d722c869515874c6c24d	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_CATEGORY_ENTRY	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	json:category_entries	81	81	df752a327984d8057b3e2d0e42ad478c5e2e0d4292e56c4316e333f0f4563c3a	276045	51c3e29909a8aa5226a7d18ebaef896aa52c48be6725d722c869515874c6c24d	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_SEED_VARIANT	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	json:topology_compositions	228	228	0d062da1382d2a2c041febe7fd458e38cc056d63b31cd2d33b555bd39990a886	276045	51c3e29909a8aa5226a7d18ebaef896aa52c48be6725d722c869515874c6c24d	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_PRODUCTION_COMPOSITION	frontend/generated/trace-exploration-v2/production-read-model.json	json:compositions	228	228	d6477415cdc379637d396b8c271dc7ca59a6b1e4fbd86bc6e4974f0b12c05656	8802929	53eaf59c95446eeb3781a7153183c54b3ff59fd52f21744cc917053959dfdcc9	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_VOCABULARY_REPRESENTATION	frontend/generated/trace-exploration-v2/production-read-model.json	json:vocabulary	31	31	012b9c9f3b1eeecaa20dcdd21567cea830404e0c49cdd4b061e97baf68c50eb5	8802929	53eaf59c95446eeb3781a7153183c54b3ff59fd52f21744cc917053959dfdcc9	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_ASSOCIATION_REPRESENTATION	frontend/generated/trace-exploration-v2/production-read-model.json	json:associations	21	21	fcf8bf2fb0f60bbf5993dd84e056bc35dddfd5af9c927c0f8886642346b53c75	8802929	53eaf59c95446eeb3781a7153183c54b3ff59fd52f21744cc917053959dfdcc9	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_CATEGORY_REPRESENTATION	frontend/generated/trace-exploration-v2/production-read-model.json	json:categories	81	81	df752a327984d8057b3e2d0e42ad478c5e2e0d4292e56c4316e333f0f4563c3a	8802929	53eaf59c95446eeb3781a7153183c54b3ff59fd52f21744cc917053959dfdcc9	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_STATE_HASH_INDEX	frontend/generated/trace-exploration-v2/production-read-model.json	json:states_by_hash	5760	5760	bfb3a623cd96dc27878f99a5ec69ed77795a40c53a7d45ad9aae6ec1ea24ae33	8802929	53eaf59c95446eeb3781a7153183c54b3ff59fd52f21744cc917053959dfdcc9	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_TRANSITION_DESCRIPTOR_FIELD	frontend/generated/trace-exploration-v2/production-read-model.json	json:transitions	3	3	b2228e60f3f9dc7e79485065dfd5989b17df2d035a34eed28ea7dc323131d35a	8802929	53eaf59c95446eeb3781a7153183c54b3ff59fd52f21744cc917053959dfdcc9	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_CAPABILITY_FIELD	frontend/generated/trace-exploration-v2/production-read-model.json	json:capabilities	16	16	1fbf6611df4d79edf0fc4e8829c9d61a7dbf25848491b5de1d7519b3f1550b3d	8802929	53eaf59c95446eeb3781a7153183c54b3ff59fd52f21744cc917053959dfdcc9	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_DATABASE_AUTHORITY_FIELD	frontend/generated/trace-exploration-v2/production-read-model.json	json:database	6	6	1d87dacd29279d2e421084fd349bb6b63f588ff398a0c45f8ec681b89a35697c	8802929	53eaf59c95446eeb3781a7153183c54b3ff59fd52f21744cc917053959dfdcc9	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_STATE	docs/audits/v49-exploration-full-space-closure-round1/raw/state-census-v2.tsv	tsv_rows	5760	5760	68027be5be45c1fbc42adae105b64c9f2ad8da4b99e98608747e351c3d0fc062	6468438	35bf2057b0e24bdd951988361eea152c173ba0b69fefc10c656b402f4ee630a5	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_WORKFLOW	docs/audits/v49-exploration-full-space-closure-round1/raw/workflow-census-v2.tsv	tsv_rows	5760	5760	93bb188482e9028dccebd05b7e601d00edaa179862f2fb359c19944841a7a863	3631567	66a70a7f4d67a2f7052bb6a7f6da10004de8218faec4b05fb8d8a52904131b28	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_EXPORT	docs/audits/v49-exploration-full-space-closure-round1/raw/export-census-v2.tsv	tsv_rows	11520	11520	d575dc7f4454b142561f127556b5ff3566cd7bac4d3663719b6dc6aff3215788	5581688	7e0e97e0c5848c34438705818fcb78bd1fc87bd705d238ea45e4cc4791f7f009	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_TOPOLOGY_ENUMERATION_RESULT	docs/audits/v49-exploration-full-space-closure-round1/raw/composition-enumeration-v2.tsv	tsv_rows	348	348	549eb1d8c80ad55d64f642f6b24d79310b6a89b7be49a7af9bba0f2afebca366	250130	75efbe8f0e5d18d431b1e525900da6eb30ff6abe1a97d407058e637680ada2cd	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_TOPOLOGY_REJECTION	docs/audits/v49-exploration-full-space-closure-round1/raw/composition-rejection-ledger-v2.tsv	tsv_rows	277	277	711d10b04681849d6297a7120857854fb2b58894dfff59157d97f15fd43b3bd4	74025	dc10dbb41a9e4492ca682507bfa9b46df318039f83f022e16b7b3f3d8d485951	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16A_TRANSITION	docs/audits/v49-exploration-full-space-closure-round1/raw/transition-census-v2.tsv	tsv_rows:transition_id	749944	749944	27328cf72733c5454c41c8b396f19a5934a82068a45e4de42de396e166a06fe9	284522777	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	false	COMPLETE_SOURCE_SET_BOUND_WITHOUT_DUPLICATING_LFS_LEDGER	Partitioned descendant commitments bind every transition ID; v3 transitions must be regenerated after semantic decisions.
