event_id	timestamp_utc	phase	event_class	observed_condition	corrective_action	verification_status	disposition
R16B-CP015-DIAG-011	2026-08-28T18:37:29Z	CHECKPOINT-015-FRESH-DATABASE-REPRODUCTION	DIAGNOSTIC_LAUNCHER_FIRST_VALIDATION_FAILED	The first scoped compatibility-launcher validation still returned V50_RACE_COMMAND_OUTPUT_MISMATCH for gda_v50_round16b_2317 under its restricted PATH. The attempt was retained and did not establish native clean-checkout portability.	Correct only the diagnostic launcher invocation environment and rerun its preflight and replay-sequence emission, while keeping the resulting hybrid-source database run explicitly outside clean-reproduction evidence.	PASS_SCOPED_LAUNCHER_DIAGNOSTIC_VALIDATION_NO_REPRODUCTION_CLAIM	PRESERVED_DIAGNOSTIC_FAILURE_AND_SUPERSEDED_HYBRID_RESULT
R16B-CP015-DIAG-012	2026-08-28T18:38:26Z	CHECKPOINT-015-FRESH-DATABASE-REPRODUCTION	DATABASE_TEST_PATH_OMITTED_RG	The first database-A test completed its SQL assertions but exited 127 at shell line 98 because the deliberately restricted PATH omitted the required rg executable.	Add only the application resource directory containing rg to the test PATH and rerun the complete test script from the beginning.	PASS_DATABASE_A_TESTS_AND_RACE_EVIDENCE	PRESERVED_COMMAND_ENVIRONMENT_FAILURE_AND_CORRECTED
R16B-CP015-DIAG-013	2026-08-28T18:38:49Z	CHECKPOINT-015-FINAL-FRONTEND-HTTP-VERIFICATION	SANDBOX_PROCESS_LIST_ERRORS_MASKED_BY_FALLBACKS	The first HTTP cleanup proof exited zero and printed three PASS lines, but stderr showed that ps and pgrep could not obtain process-list data under the sandbox. The use of fallback true made absence unproven, so the printed PASS was rejected.	Rerun a strict cleanup proof with approved process visibility, explicitly accept only the documented not-found exit code, and require the server PID, process group, and loopback listener all absent.	PASS_STRICT_PID_PROCESS_GROUP_AND_LISTENER_ABSENCE	PRESERVED_ENVIRONMENT_FAILURE_AND_REJECTED_MASKED_PASS
R16B-CP015-DIAG-014	2026-08-28T18:39:46Z	CHECKPOINT-015-FINAL-FRONTEND-HTTP-VERIFICATION	SANDBOX_BLOCKED_FINAL_GIT_LFS_REFRESH	The first final frontend clean-worktree proof exited 2 because Git LFS status triggered git update-index and the sandbox denied the repository metadata refresh. No clean-state PASS was accepted from this attempt.	Repeat the exact HEAD, tree, Git status, LFS status, dependency-symlink absence, and dependency-target proof with narrowly approved repository-filter access.	PASS_FINAL_CP14_HEAD_TREE_GIT_LFS_AND_DEPENDENCY_CLEANUP	PRESERVED_ENVIRONMENT_FAILURE_AND_CORRECTED
R16B-CP015-DIAG-015	2026-08-28T18:45:16Z	CHECKPOINT-015-FRESH-DATABASE-REPRODUCTION	LOGGER_ENOSPC_ZERO_BYTE_PARTIAL_OUTPUTS	The logger emitted STARTED execution event sequence 1285 for command ID 1787942716881-cp015-db-capture-superseded-diagnostic, then encountered transient ENOSPC before it could emit a finish event, write metadata, or append the command ledger. The only retained streams are zero-byte stdout and stderr files; no command execution result or exit status is claimed.	Preserve the STARTED event and both zero-byte partial files, pin an explicit execution-verifier exception for this exact interrupted ID, restore logger capacity, and issue a new command ID for the capture rather than fabricating completion, metadata, or a ledger row.	PASS_INTERRUPTED_EVENT_AND_PARTIAL_FILES_PRESERVED_LATER_CAPTURE_REISSUED	PRESERVED_LOGGER_INFRASTRUCTURE_FAILURE_WITH_PINNED_EXCEPTION_AND_NO_SYNTHETIC_COMPLETION
R16B-CP015-DIAG-016	2026-08-28T18:46:28Z	CHECKPOINT-015-FRESH-DATABASE-REPRODUCTION	DATABASE_DIAGNOSTIC_CAPTURE_REPOSITORY_PATH_TYPO	The first reissued diagnostic capture used higher_order-association-closure-round16b in both script and output roots, exited 2 because the script path did not exist, and wrote no diagnostic receipt.	Repeat the capture with the exact higher_order_association_closure_round16b repository root and require the diagnostic receipt to self-label SUPERSEDED_DIAGNOSTIC_ONLY.	PASS_SUPERSEDED_DIAGNOSTIC_RECEIPT_CAPTURED	PRESERVED_PATH_TYPO_AND_CORRECTED
R16B-CP015-DIAG-017	2026-08-28T18:47:59Z	CHECKPOINT-015-FRESH-DATABASE-REPRODUCTION	HYBRID_SOURCE_DATABASE_DIAGNOSTIC_SUPERSEDED	The compatibility launcher combined the corrected verifier and long-lived command provenance with SQL from the clean Checkpoint 014 checkout. Both fresh observational databases produced the expected metrics and identical normalized schema hash 1152a494e6b64595c9f9291c1d314a9434cb763c7f2a02512d2768e286f571b4, but the source was hybrid and therefore cannot establish clean self-contained reproduction.	Capture and independently verify the run only as SUPERSEDED_DIAGNOSTIC_ONLY with cleanSelfContainedReproduction=false, sourceNativeManifestPreflight=false, and reproductionPassClaimed=false; drop both target databases and all race databases, stop the cluster, remove its exact root, and require a new native run from the published correction SHA.	PASS_35_OF_35_DIAGNOSTIC_DISCLOSURE_CHECKS_AND_COMPLETE_TEARDOWN_NO_REPRODUCTION_PASS	PRESERVED_OBSERVATIONAL_RESULT_EXCLUDED_FROM_CLOSURE_AND_REPRODUCTION_EVIDENCE
R16B-CP015-DIAG-018	2026-08-28T18:50:00Z	CHECKPOINT-015-TOOL-ORCHESTRATION	UNLOGGED_ROOT_WORKDIR_TYPOS	At least two read-only root-agent tool calls supplied misspelled or nonexistent worktree directories and were rejected before process creation. Their exact occurrence timestamps were not captured; this row's timestamp is the provenance-disclosure time, and no command IDs or outputs are invented.	Repeat the inspections from /private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b and treat only successfully launched, recorded commands as verification evidence.	PASS_CORRECT_WORKTREE_INSPECTIONS_COMPLETED	PRESERVED_PRELAUNCH_TOOL_ORCHESTRATION_FAILURES_DISCLOSED_WITHOUT_SYNTHETIC_LOGS
R16B-CP015-DIAG-019	2026-08-28T18:50:01Z	CHECKPOINT-015-FRESH-DATABASE-REPRODUCTION	POST_RUN_DIAGNOSTIC_VERIFIER_NONBEHAVIORAL_CLEANUP_AND_TRUST_GAPS	The independent diagnostic ran verify_cp015_database_diagnostic.py at SHA-256 60a3393009205eef0279b454f66a98232a75271b03de8dd38ef2f70bc12c2d66. The current SHA-256 fb0a2aa47de9247f09e4ff1feddaf77f5a27f3ff52e916be9a7cb9d115e2e79e differs only because one unused import re line was removed; reinserting it in memory reproduces the executed hash exactly, so behavior and trust boundaries are unchanged. The adapter was deleted with the exact cluster root, no executed-byte copy remains, and the diagnostic cannot now be rerun. The executed and current verifier behavior both retain gaps in independently pinning the adapter hash, checking repository HEAD, and fully validating the race map/checksum exact set and path boundary.	Disclose the executed and current script hashes and exact nonbehavioral delta separately, retain the shared trust gaps only within the SUPERSEDED_DIAGNOSTIC_ONLY boundary, and require the post-correction native clean reproduction and its independent verifier to close every listed gap without an adapter.	PASS_EXACT_NONBEHAVIORAL_DELTA_AND_TRUST_GAPS_EXPLICIT	PRESERVED_POST_RUN_UNUSED_IMPORT_CLEANUP_NO_RETROACTIVE_VERIFICATION_OR_BEHAVIOR_CHANGE_CLAIM
R16B-CP015-DIAG-020	2026-08-28T19:09:05Z	CHECKPOINT015_V50_MANIFEST_PORTABILITY_CORRECTION	SANDBOX_GIT_LFS_STATUS_INDEX_REFRESH_BLOCKED	The post-staging git lfs status inspection could not run git update-index --refresh in the restricted sandbox and returned a nonzero result before reporting staged LFS state.	Repeat the identical read-only LFS inspection with narrowly escalated permission for Git index refresh; require zero exit and verify that staged command logs use LFS pointers while no unstaged objects remain.	PASS_ESCALATED_GIT_LFS_STATUS_REPORTED_STAGED_OBJECTS_AND_ZERO_UNSTAGED_OBJECTS	PRESERVED_SANDBOX_ONLY_INDEX_REFRESH_FAILURE_AND_NARROW_CORRECTION
R16B-CP015-DIAG-021	2026-08-28T19:09:06Z	CHECKPOINT015_V50_MANIFEST_PORTABILITY_CORRECTION	STALE_PATCH_CONTEXT_REJECTED	The first attempt to append the post-staging LFS diagnostic used the pre-final wording of diagnostic row 019; apply_patch rejected the stale context and made no file change.	Read the final row 019 bytes, reissue the narrow append against that exact context, and retain this disclosure without inventing a shell command record.	PASS_EXACT_FINAL_CONTEXT_USED_AND_APPEND_COMPLETED	PRESERVED_TOOL_PATCH_REJECTION_WITH_ZERO_PARTIAL_MUTATION
R16B-CP015-DIAG-022	2026-08-28T19:14:16Z	CHECKPOINT015_V50_MANIFEST_PORTABILITY_CORRECTION	AUDIT_PACKAGE_IGNORED_RUNTIME_LOCK_BLOCKED_SEAL	The first direct generic audit-manifest build exited with AUDIT_ARTIFACT_IGNORED and wrote no new seal because raw/.execution-log.lock, an ignored zero-byte runtime mutex left from earlier logger use, was still present inside the package.	Enumerate ignored package files, prove the lock is the sole ignored artifact, remove only that exact regenerable runtime mutex, refresh every affected receipt and policy proof, and rerun the generic manifest and self-contained verifier.	PASS_SOLE_IGNORED_RUNTIME_LOCK_IDENTIFIED_AND_REMOVED_BEFORE_RESEAL	PRESERVED_FAIL_CLOSED_AUDIT_SEAL_ATTEMPT_WITH_NO_PARTIAL_MANIFEST_CLAIM
