membership_id	surface_id	round	source_path	source_record_id	canonical_source_id	canonical_identity_kind	canonical_identity_value	membership_role	representative_source_record_id	authors	year	title	venue	doi_isbn_or_identifier	stable_url	rights_review_status	evidence_use_status	source_record_sha256	record_sha256
R16B-SOURCE-MEMBERSHIP:e30427ec6106320129e7542fd222f6b8df2361bb97f891090030a2ce3e2330ab	SURF-R13-001	ROUND13	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-020	R16B-SOURCE:1752fcde91a8d5c80af2c4971ac839f0f93a62ac08586547ccc7725abe4b7619	DOI	10.1080/18626033.2013.798922	CANONICAL_REPRESENTATIVE	COMP-SRC-020	Jane Hutton	2013	Reciprocal Landscapes: Material Portraits in New York City and Elsewhere	Journal of Landscape Architecture 8.1	10.1080/18626033.2013.798922	https://www.tandfonline.com/doi/abs/10.1080/18626033.2013.798922	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	04f8abcd8da3449bfc6688844a07f99e643739458e5706cdfc404a916ea0df5a	f72480f2d96344948e446d1f8661d76db286b4a675348b58348353d6da9ffecf
R16B-SOURCE-MEMBERSHIP:7fc364cfa474549e44fe4fd9b2a0df40d414767f7e3c6542813d72ab8aa59250	SURF-R09-001	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0029	R16B-SOURCE:21f5bf1145bcd7e6ea6300e64efb27b57fa805ef2595db4918593fd74cead7fa	DOI	10.1093/jdh/epw003	CANONICAL_REPRESENTATIVE	SRC-0029	Fedja Vukić	2017	Rethinking the Environment: An Introduction to Matko Meštrović's 'Dizajn i okolina' from 1980	Journal of Design History	10.1093/jdh/epw003	https://doi.org/10.1093/jdh/epw003	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	cfbcb746f7ec59d0f01cac044a7e2839425571ffe324690b65750c5b112cc085	3c3a475150870c2d1ec3dcc0273fb671cd195ff20212e830a5f672b05304b8b6
R16B-SOURCE-MEMBERSHIP:c1d9499a59c5a2d11bba446790ce7f1152dc612ba7ee5c87ff71d0eb233e4f2b	SURF-R10-001	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-014	R16B-SOURCE:243d4cc2d34ac8278bb1e05be705790bea876262385649195b9a49099af51b55	DOI	10.1179/174329511x13123634653820	CANONICAL_REPRESENTATIVE	GRAM-SRC-014	Annebella Pollen	2011	Performing Spectacular Girlhood: Mass-Produced Dressing-Up Costumes and the Commodification of Imagination	Textile History	10.1179/174329511X13123634653820	https://www.tandfonline.com/doi/full/10.1179/174329511X13123634653820	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	092585daeb9a70e3e834487531b2f49753615134825f44e3eff5fc94d3f04e7c	1df25b4e529e3203e7073b0d9c5fd6949b72fb57cbbde775cff10e5aba4c19c7
R16B-SOURCE-MEMBERSHIP:a9e1a3d40ce338765567525657844aa0bbae6809db03bebd6dacf2c139dc1ba8	SURF-R09-001	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0048	R16B-SOURCE:25fe7267411241128cec77566ce1eaeaff5f74eefaa0abb19c56bd5fc34f0036	DOI	10.1093/jdh/epac017	CANONICAL_REPRESENTATIVE	SRC-0048	Sheilagh Quaile	2023	Imitation and Piracy in Paisley Shawl Design, 1805-1870	Journal of Design History	10.1093/jdh/epac017	https://academic.oup.com/jdh/article-abstract/36/1/1/6583348	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	6ab2ae9b03ad242f4a415194cf39a988cb4555366085d9dfd268aa1f310af3a0	d6e478a24c1000a8ed35853519ccd759ca0ffc55539dc9d1bd9a9f2cf6781da9
R16B-SOURCE-MEMBERSHIP:6ca47051486a1f84e020cdb3bb2c9a609e963e88fe41ce5b84f5a6f9005f84bf	SURF-R09-001	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0023	R16B-SOURCE:286ff9bdec25b954ad305aa1feca804d2623bd9d50adaa7581c30023cec4d33c	DOI	10.1093/jdh/epr023	CANONICAL_REPRESENTATIVE	SRC-0023	Julia Moszkowicz	2011	Lost in Translation: The Emergence and Erasure of 'New Thinking' within Graphic Design Criticism in the 1990s	Journal of Design History	10.1093/jdh/epr023	https://academic.oup.com/jdh/article-abstract/24/3/241/405134	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	3ec0e997f23a29095adac77536a6589a8ed1b3dbe10c3786a305af9584e0148e	f777b288d089d633131060c85ecabf66a336183e589bc4fd97cf85304ec58ef9
R16B-SOURCE-MEMBERSHIP:c0bc430f6ab334d0b1c8fa9c43a1ea09f11646775acf80952ced78067ebfd2bf	SURF-R09-001	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0047	R16B-SOURCE:2a0e8a5870d44c9986e4af9f6ffabf9b1691f7c2cb6a5b8dcbc5cedd284d873c	DOI	10.15187/adr.2021.02.34.1.201	CANONICAL_REPRESENTATIVE	SRC-0047	Jongkyun Kim	2021	Transnational Design History Based on Designer Han Do-ryong's Life and Works	Archives of Design Research	10.15187/adr.2021.02.34.1.201	https://doi.org/10.15187/adr.2021.02.34.1.201	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	cbcf4811b2f09100d98776806dab0b866ae1994e0940b29bfe039ec6cd14d896	a1957cf6bc2389d24d3d40ad4fe3e027ec2c13b5e5bc75440f82de905821d570
R16B-SOURCE-MEMBERSHIP:aa039de2b9e24c969539075371ba898f9bf064f2825a9a0114024bc27ccf78bd	SURF-R10-001	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-021	R16B-SOURCE:2a36b972c2df052417ef3750f91556c2abb05dcab07df42239eef2e1b45eb6d8	DOI	10.4324/9781003376033-2	CANONICAL_REPRESENTATIVE	GRAM-SRC-021	Marlena Jankowska	2023	House of sartorial genius? History of imitation in the modern fashion industry	Intellectual Property Rights, Copynorm and the Fashion Industry	10.4324/9781003376033-2	https://www.taylorfrancis.com/chapters/oa-mono/10.4324/9781003376033-2/house-sartorial-genius-history-imitation-modern-fashion-industry-marlena-jankowska	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	2367f59d2834e9c9d3dc0e8fd5cd13f9785e007e3ffeb6e293798eb688aa4fa4	53845ff3ae4a869c355932cc3138116221efefbdb4e5a9815eb32540f6f15d2c
R16B-SOURCE-MEMBERSHIP:239843ffedb0634a0c641e1c59caee0411e94a3ca9816f15723a3adf7d004d80	SURF-R10-001	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-019	R16B-SOURCE:2d5d3290c5f700ab1d7dcdb7ea103dbd8726600a12d64b9c912d87cf3f93a39b	DOI	10.1080/17569370.2015.1045348	CANONICAL_REPRESENTATIVE	GRAM-SRC-019	Yoo Jin Kwon; Yhe-Young Lee	2015	Traditional Aesthetic Characteristics Traced in South Korean Contemporary Fashion Practice	Fashion Practice	10.1080/17569370.2015.1045348	https://www.tandfonline.com/doi/abs/10.1080/17569370.2015.1045348	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	5b98cc6465bc8f45314e63ca6f24917d485d3dbe27aacb9b82bab09a9c493e16	5676772f980f1eccb67082b0ae6433665f8e994155a26c4a9ca75fa7bfffc179
R16B-SOURCE-MEMBERSHIP:d7abf304da5a99d156d4d433f081267e417b20915fe9a4833a2db0cb0e7f8c2b	SURF-R10-001	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-009	R16B-SOURCE:2f69dcdb257a4afefd3a4b46bdc833fe34c637fe89bc76b38f5aa4ab5eaa8e04	DOI	10.1080/17547075.2017.1326231	CANONICAL_REPRESENTATIVE	GRAM-SRC-009	Katarina Serulus	2017	Well-Designed Relations: Cold War Design Exchanges between Brussels and Moscow in the Early 1970s	Design and Culture	10.1080/17547075.2017.1326231	https://www.tandfonline.com/doi/abs/10.1080/17547075.2017.1326231	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	16f91fa523d1318a4deef6cd2cb25ee0c1d74c5e47010ff69cec393c25102f63	6047fb728518413ee7d70abad7f5cd9989c69711276196c363819d8bad553db9
R16B-SOURCE-MEMBERSHIP:63ed07a4de0deaa01f8f452a6fd1eb486257c4cdd1bd6b56e22fb9f541df0486	SURF-R09-001	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0024	R16B-SOURCE:31cc56a4398e3a7a2cdf6d0e390aa18b480d0cc36959fa3e8a70e43e80801855	DOI	10.1093/jdh/epag007	CANONICAL_REPRESENTATIVE	SRC-0024	Virginia Marano	2026	Decoding Desire: Access and Intimacy in Sexual Objects	Journal of Design History	10.1093/jdh/epag007	https://academic.oup.com/jdh/advance-article/doi/10.1093/jdh/epag007/8713764	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	48be4eedf4133bcdc2ea4a0168cc2a5a70bb526c8b6728e9a46bab8e6b533e71	6ddd62b12caee94ee0f4f78bed10ad24ebe4bc7fa2a422737a5a4bff18ca823d
R16B-SOURCE-MEMBERSHIP:258a3aade61f5792e5a3c65e780717f1cfe7a4b25c405be13876d28cfd8319b3	SURF-R09-001	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0009	R16B-SOURCE:32fea0fc08f5e325cad64014d79fcfbff8ac1647dfbcf1867f21a71d6d7f67b3	DOI	10.1093/jdh/epn007	CROSS_ROUND_ALIAS	COMP-SRC-001	Grace Lees-Maffei	2008	Introduction: Professionalization as a Focus in Interior Design History	Journal of Design History	10.1093/jdh/epn007	https://academic.oup.com/jdh/article/21/1/1/361205	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	be36e94efeec42d413898a8a2a189b392268dbc3dd7c55fb22c0ffbd703da6d0	5eb656118f319569d7d73cf60989cdfd190cb6cb8129614b7bae34f6c3f73a2e
R16B-SOURCE-MEMBERSHIP:c53706a5492e1bbb9e6cdd5b0f201fd08799e4aa1cf2355751791b87a2bc52fd	SURF-R13-001	ROUND13	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-001	R16B-SOURCE:32fea0fc08f5e325cad64014d79fcfbff8ac1647dfbcf1867f21a71d6d7f67b3	DOI	10.1093/jdh/epn007	CANONICAL_REPRESENTATIVE	COMP-SRC-001	Grace Lees-Maffei	2008	Introduction: Professionalization as a Focus in Interior Design History	Journal of Design History 21.1	10.1093/jdh/epn007	https://academic.oup.com/jdh/article/21/1/1/361205	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	5c1e7a645cf364f50ef26e17ec24df480bfa98490c396e17a7536b194c023843	03a55cb86a5756a33e3fcd5341496fa1796973fa55ed1e2aca1936074b4dcfbe
R16B-SOURCE-MEMBERSHIP:a657e66bda605e0b904c4feb09c7e42cc04915b97825f46708bc1b73728b4340	SURF-R10-001	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-022	R16B-SOURCE:344d06e3195edcc35feb0eb9943e907bca58dfbf41e76458c4a306126ecf39bc	DOI	10.1080/00233609.2013.809017	CANONICAL_REPRESENTATIVE	GRAM-SRC-022	Audrey Millet	2013	Dessiner La Mode En Régime De Fabrique: L'imitation Au Cœur Du Processus Créatif	Konsthistorisk tidskrift / Journal of Art History	10.1080/00233609.2013.809017	https://www.tandfonline.com/doi/full/10.1080/00233609.2013.809017	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	9b115b98c759f9008e4c76aa895fe46d0426ef99444958d4dcfd210b9e70d25d	469d48bed4697fa8a389750c249d6b5103f17893960b4075785ef1b87b1dba99
R16B-SOURCE-MEMBERSHIP:32d3994ee31c16bfd73533e28b1b174fd78d350809c40d748f938607fd623bd3	SURF-R10-001	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-027	R16B-SOURCE:35910c1de3b938bb64faa7a79dd21ba54d5690820638bfe60ba024ad43742fd7	DOI	10.1016/j.jbusres.2023.113946	CANONICAL_REPRESENTATIVE	GRAM-SRC-027	Areti T. Vogel; Jacob Vogel; Kittichai Watchravesringkan; Sasikarn Chatvijit Cook; James Beasley; Randall Croom; Dale Peterson; Joshua Finkelstein	2023	Design piracy: an interdisciplinary investigation into competitive industrial behavior	Journal of Business Research	10.1016/j.jbusres.2023.113946	https://www.sciencedirect.com/science/article/pii/S0148296323003041	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	350ae3b58e9464b2ec246cec772412379ea599bf7be4dd474a3a72ddcb5f3f7e	a7633d44635d7e485249c659aa414867b18946eb76be74bb92117a32b186cfac
R16B-SOURCE-MEMBERSHIP:5d20c996592c8c1ea591a5150db9c1012b1b95e3f8af0c2bc86aaae94288359c	SURF-R13-001	ROUND13	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-008	R16B-SOURCE:35910c1de3b938bb64faa7a79dd21ba54d5690820638bfe60ba024ad43742fd7	DOI	10.1016/j.jbusres.2023.113946	CROSS_ROUND_ALIAS	GRAM-SRC-027	Areti T. Vogel;Jacob Vogel;Kittichai Watchravesringkan;Sasikarn Chatvijit Cook;James Beasley;Randall Croom;Dale Peterson;Joshua Finkelstein	2023	Design Piracy: An Interdisciplinary Investigation into Competitive Industrial Behavior	Journal of Business Research 164	10.1016/j.jbusres.2023.113946	https://www.sciencedirect.com/science/article/pii/S0148296323003041	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	df89046936f3af77829a77306350636f2d21445314a569cb4658ce5a032987c9	e06ef404d64e7985e56d9a51f73d9e58b94f6f43400a8dcb96bb1fa34453f14b
R16B-SOURCE-MEMBERSHIP:05492fea2deda80cd45c25944565a112dd545b1647024196289812569a66cc5a	SURF-R13-001	ROUND13	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-012	R16B-SOURCE:36f8bdee1ef2eca5af6cb410d72c1ddb70b1764095869c82d0a05096e5955f62	DOI	10.1093/oxartj/kcad007	CANONICAL_REPRESENTATIVE	COMP-SRC-012	Todd P. Olson	2023	Cultural Transfer and Its Discontents: Recent Scholarship on the Mobility of Early Modern Prints	Oxford Art Journal 46.1	10.1093/oxartj/kcad007	https://doi.org/10.1093/oxartj/kcad007	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	9bc2a6b15fb9786cc20482772c49661d661d0adb36b4353a0ee013703d2a0e46	f9f2a330b5d8ce656b84563c8fd911279224ece04c998625282b41bba3b841e3
