event_id	timestamp_utc	phase	operation	observed_status	command_or_probe	error_or_result	filesystem_or_ref_effect	corrective_action	evidence_boundary
R16B-PARALLEL-DIAG-007-011	NOT_CAPTURED_PARALLEL_AGENT	ROUND16A_GLOBAL_RECONCILIATION_BLUEPRINT	CROSS_COMPOSITION_TRANSITION_SUBTOTAL	CORRECTED	manual subtotal of transition action partitions	Initial 688960 subtotal omitted 5712 cross-composition RESET_CATEGORY transitions	NONE	Corrected total to 694672 = 22992 SELECT_CATEGORY + 665968 SELECT_COMPOSITION + 5712 RESET_CATEGORY	The correction affects only the read-only blueprint; no committed metric had been written
R16B-PARALLEL-DIAG-007-012	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-007-HYGIENE-PREFLIGHT	ROOT_ALLOWLIST_PATH_PROBE	FAIL	read-only rg and tail against a guessed Round16B-local repository-hygiene-script-allowlist.txt path	No such file; the governed allowlist is docs/maintenance/V49_ACTIVE_SCRIPT_ALLOWLIST.json	NONE	Located the active allowlist through the hygiene gate source and updated the exact JSON with apply_patch	The failed read probe changed no files or refs; the later governed allowlist edit is a separate authorized checkpoint change
R16B-PARALLEL-DIAG-007-013	NOT_CAPTURED_PARALLEL_AGENT	ADAPTIVE_SOURCE_REVIEW_SHARD_001	SOURCE_BUILDER_PATCH_CONTEXT	FAIL	apply_patch context verification while adding citation and timestamp fields	Patch context did not match and the patch was rejected	NONE	Split the intended edit into narrow patches with exact context; PASS	Rejected patch changed no file, staging state, or ref
R16B-PARALLEL-DIAG-007-014	NOT_CAPTURED_PARALLEL_AGENT	ADAPTIVE_SOURCE_REVIEW_SHARD_001	FIRST_CROSS_ARTIFACT_SOURCE_BUILD	FAIL	python3 scripts/trace_round16b/build_adaptive_source_review_shard_1.py	KeyError record_kind because the tranche-C authority column is queue_record_kind	NONE; FAILURE_BEFORE_ARTIFACT_WRITE	Corrected every queue field reference and reran deterministic materialization; PASS	No partial governed artifact was written by the failed run
R16B-PARALLEL-DIAG-007-015	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-007-CROSS-ARTIFACT-QA	SCOPED_ASSOCIATION_IDENTITY_RECONCILIATION	DEFECT_FOUND	cross-ledger comparison of tranche-C queue and adaptive-source hypothesis ledger	Source shard initially assigned a second Sweden association ID and omitted the tranche-C Hutton inquiry identity	REGENERATED_ONLY_UNCOMMITTED_SOURCE_SHARD_ARTIFACTS	Bound both source rows to the tranche-C semantic identity formula and exact Sweden/Hutton association and revision IDs; source verifier now checks the cross-ledger references	The defect was found before staging or publication; final identities exclude shard-local metadata and remain INQUIRY_ONLY, INELIGIBLE, and projection-free
R16B-PARALLEL-DIAG-007-016	NOT_CAPTURED_PARALLEL_AGENT	LOCAL_EVIDENCE_DISPOSITION_TRANCHE_003	FIRST_INDEPENDENT_TRANCHE_C_CALIBRATION	FAIL	python3 scripts/trace_round16b/verify_evidence_disposition_tranche_c.py	Independent reconstruction found five hard-negative internal pairs in family 3d978cc2, not the four stated by the first rationale and queue: R14-024 plus R14-032, R14-033, R14-034, and R14-035	NO_VERIFIER_RECEIPT_WRITTEN; UNCOMMITTED_TRANCHE_C_ARTIFACTS_REGENERATED	Corrected the builder rationale, queue, recursive-gap record, census total to 14, and verifier expectation; regenerated deterministically	Canonical Sweden/Hutton identities were unchanged; the correction was propagated to every queue-hash-dependent source artifact before verification
R16B-PARALLEL-DIAG-007-017	NOT_CAPTURED_PARALLEL_AGENT	LOCAL_EVIDENCE_DISPOSITION_TRANCHE_003	VERIFIER_CLIQUE_CONTROL_HASH_CALIBRATION	CORRECTED_BEFORE_EXECUTION	static independent-verifier source calibration	two guessed abbreviated clique-control hashes did not match the full governed keys	UNCOMMITTED_VERIFIER_SOURCE_ONLY	Reconstructed and inserted the exact full keys before executing the final verifier	No false PASS receipt existed; final verifier executes against exact keys
R16B-PARALLEL-DIAG-007-018	NOT_CAPTURED_PARALLEL_AGENT	ADAPTIVE_SOURCE_REVIEW_SHARD_001	STALE_TRANCHE_C_QUEUE_BINDING	DISCARDED	adaptive source artifacts generated before the five-hard-negative correction	The source shard was bound to the earlier tranche-C queue hash	REGENERATED_ONLY_UNCOMMITTED_SOURCE_SHARD_ARTIFACTS	Regenerated all eight source artifacts and the independent receipt against final queue SHA d7ff7c13d75ad0ba14c1f84490b021956a23137d6e926f655057f2ea2009e22e	No stale source artifact was staged, committed, or published
R16B-PARALLEL-DIAG-007-019	NOT_CAPTURED_PARALLEL_AGENT	LOCAL_EVIDENCE_DISPOSITION_TRANCHE_003	OVERSCOPED_READ_ONLY_RG_DIAGNOSTIC	PASS_WITH_OUTPUT_WARNING	read-only rg diagnostic that unintentionally traversed very large Round16A generated files	The command succeeded but emitted and tool-truncated approximately 183 MB of output	NONE	Subsequent probes used exact bounded files and patterns	No repository artifact, staging state, ref, commit, or remote changed
R16B-PARALLEL-DIAG-007-020	NOT_CAPTURED_PARALLEL_AGENT	LOCAL_EVIDENCE_DISPOSITION_TRANCHE_003	FRESH_PROCESS_VERIFIER_DETERMINISM_CHECK	FAIL	python3 scripts/trace_round16b/verify_evidence_disposition_tranche_c.py --check	Receipt mismatch across fresh processes because one verifier check loop iterated over a Python set in process-dependent order	UNCOMMITTED_VERIFIER_SOURCE_AND_RECEIPT_REGENERATED	Changed the verifier-only loop to sorted iteration, regenerated the receipt, and passed two fresh-process checks	Governed builder artifacts and semantic decisions did not change; no false final receipt was staged or published
R16B-PARALLEL-DIAG-007-021	NOT_CAPTURED_PARALLEL_AGENT	CHECKPOINT-007-CROSS-ARTIFACT-QA	FIRST_CUSTOM_CROSS_ARTIFACT_AUDIT	FAIL	independent 91-probe tranche-C and adaptive-source cross-artifact audit	The first audit incorrectly expected parent_checkpoint_sha on the recursive-gap schema, which governs the equivalent boundary as last_reviewed_checkpoint	NONE	Restricted parent_checkpoint_sha assertions to family, occurrence, and queue schemas; retained independent recursive-gap record-hash validation; corrected audit passed 91/91	The failure was an audit-oracle schema assumption, not a governed artifact defect; no files or refs changed
R16B-PARALLEL-DIAG-007-022	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-007-EXECUTION-LOG-RECONCILIATION	EXECUTION_OUTPUT_PATH_SEARCH_WORKTREE_PROBE	FAIL_BEFORE_LAUNCH	read-only rg search launched with a mistyped worktree path containing exploration-higher instead of exploration_higher	CreateProcess ENOENT because the supplied worktree path did not exist	NONE	Reran the identical bounded search from the exact isolated-worktree path; PASS	No process launched and no file, staging, ref, commit, or remote changed
