canonical_source_id	canonical_identity_kind	canonical_identity_value	representative_surface_id	representative_source_path	representative_source_record_id	member_count	member_ids_json	authors	year	title	venue	doi_isbn_or_identifier	stable_url	rights_review_status	text_access_status	locator_review_status	association_evidence_status	required_next_action	record_sha256
R16B-SOURCE:25fe7267411241128cec77566ce1eaeaff5f74eefaa0abb19c56bd5fc34f0036	DOI	10.1093/jdh/epac017	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0048	1	"[""SURF-R09-001:SRC-0048""]"	Sheilagh Quaile	2023	Imitation and Piracy in Paisley Shawl Design, 1805-1870	Journal of Design History	10.1093/jdh/epac017	https://academic.oup.com/jdh/article-abstract/36/1/1/6583348	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	283e9a6a2888b6977d98d4269ee056cd5619db2970a7e47cce0801ea7c2ae63b
R16B-SOURCE:286ff9bdec25b954ad305aa1feca804d2623bd9d50adaa7581c30023cec4d33c	DOI	10.1093/jdh/epr023	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0023	1	"[""SURF-R09-001:SRC-0023""]"	Julia Moszkowicz	2011	Lost in Translation: The Emergence and Erasure of 'New Thinking' within Graphic Design Criticism in the 1990s	Journal of Design History	10.1093/jdh/epr023	https://academic.oup.com/jdh/article-abstract/24/3/241/405134	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	56d412e7e677359fe22457572c694051a43a0d584dd8dfd70cf811f3dc2b96c2
R16B-SOURCE:2a0e8a5870d44c9986e4af9f6ffabf9b1691f7c2cb6a5b8dcbc5cedd284d873c	DOI	10.15187/adr.2021.02.34.1.201	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0047	1	"[""SURF-R09-001:SRC-0047""]"	Jongkyun Kim	2021	Transnational Design History Based on Designer Han Do-ryong's Life and Works	Archives of Design Research	10.15187/adr.2021.02.34.1.201	https://doi.org/10.15187/adr.2021.02.34.1.201	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	25ff209fb5116b7b7dc32f5755cec20040353e29cd01a753d3a460858a683697
R16B-SOURCE:2a36b972c2df052417ef3750f91556c2abb05dcab07df42239eef2e1b45eb6d8	DOI	10.4324/9781003376033-2	SURF-R10-001	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-021	1	"[""SURF-R10-001:GRAM-SRC-021""]"	Marlena Jankowska	2023	House of sartorial genius? History of imitation in the modern fashion industry	Intellectual Property Rights, Copynorm and the Fashion Industry	10.4324/9781003376033-2	https://www.taylorfrancis.com/chapters/oa-mono/10.4324/9781003376033-2/house-sartorial-genius-history-imitation-modern-fashion-industry-marlena-jankowska	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	f7d0c94af5582e7edb71c0f9afcd681b9695711942f502bab24484371e9ab022
R16B-SOURCE:2d5d3290c5f700ab1d7dcdb7ea103dbd8726600a12d64b9c912d87cf3f93a39b	DOI	10.1080/17569370.2015.1045348	SURF-R10-001	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-019	1	"[""SURF-R10-001:GRAM-SRC-019""]"	Yoo Jin Kwon; Yhe-Young Lee	2015	Traditional Aesthetic Characteristics Traced in South Korean Contemporary Fashion Practice	Fashion Practice	10.1080/17569370.2015.1045348	https://www.tandfonline.com/doi/abs/10.1080/17569370.2015.1045348	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	de0af8a74be615286cceb3fc6d687012100e5b6faa3f399772c491a1f0c426ca
R16B-SOURCE:2f69dcdb257a4afefd3a4b46bdc833fe34c637fe89bc76b38f5aa4ab5eaa8e04	DOI	10.1080/17547075.2017.1326231	SURF-R10-001	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-009	1	"[""SURF-R10-001:GRAM-SRC-009""]"	Katarina Serulus	2017	Well-Designed Relations: Cold War Design Exchanges between Brussels and Moscow in the Early 1970s	Design and Culture	10.1080/17547075.2017.1326231	https://www.tandfonline.com/doi/abs/10.1080/17547075.2017.1326231	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	fce201f6fbfc30a5cf47bfe0d2deb45d2dce01535985a908df66203e18f575ea
R16B-SOURCE:31cc56a4398e3a7a2cdf6d0e390aa18b480d0cc36959fa3e8a70e43e80801855	DOI	10.1093/jdh/epag007	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0024	1	"[""SURF-R09-001:SRC-0024""]"	Virginia Marano	2026	Decoding Desire: Access and Intimacy in Sexual Objects	Journal of Design History	10.1093/jdh/epag007	https://academic.oup.com/jdh/advance-article/doi/10.1093/jdh/epag007/8713764	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	50a617906f73e82d895b693cf573b1a70079183a85aecd8b75e90b2dcf4a9a33
R16B-SOURCE:32fea0fc08f5e325cad64014d79fcfbff8ac1647dfbcf1867f21a71d6d7f67b3	DOI	10.1093/jdh/epn007	SURF-R13-001	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-001	2	"[""SURF-R13-001:COMP-SRC-001"",""SURF-R09-001:SRC-0009""]"	Grace Lees-Maffei	2008	Introduction: Professionalization as a Focus in Interior Design History	Journal of Design History 21.1	10.1093/jdh/epn007	https://academic.oup.com/jdh/article/21/1/1/361205	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	eb7eaa79e10c40ac58deb1b0b9b10968831100c17c682ce01a733c4cacd7afd7
R16B-SOURCE:344d06e3195edcc35feb0eb9943e907bca58dfbf41e76458c4a306126ecf39bc	DOI	10.1080/00233609.2013.809017	SURF-R10-001	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-022	1	"[""SURF-R10-001:GRAM-SRC-022""]"	Audrey Millet	2013	Dessiner La Mode En Régime De Fabrique: L'imitation Au Cœur Du Processus Créatif	Konsthistorisk tidskrift / Journal of Art History	10.1080/00233609.2013.809017	https://www.tandfonline.com/doi/full/10.1080/00233609.2013.809017	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	ecd7ac7505172269a05ae5098b4a77fd433ff7fbec52f520b2cc56b202db7a1b
R16B-SOURCE:35910c1de3b938bb64faa7a79dd21ba54d5690820638bfe60ba024ad43742fd7	DOI	10.1016/j.jbusres.2023.113946	SURF-R10-001	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-027	2	"[""SURF-R10-001:GRAM-SRC-027"",""SURF-R13-001:COMP-SRC-008""]"	Areti T. Vogel; Jacob Vogel; Kittichai Watchravesringkan; Sasikarn Chatvijit Cook; James Beasley; Randall Croom; Dale Peterson; Joshua Finkelstein	2023	Design piracy: an interdisciplinary investigation into competitive industrial behavior	Journal of Business Research	10.1016/j.jbusres.2023.113946	https://www.sciencedirect.com/science/article/pii/S0148296323003041	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	dd7ec22ee6e3b6cb7e8cf03deb2d561c4f5bf1105de29d7062c324f14c59bf06
R16B-SOURCE:36f8bdee1ef2eca5af6cb410d72c1ddb70b1764095869c82d0a05096e5955f62	DOI	10.1093/oxartj/kcad007	SURF-R13-001	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-012	1	"[""SURF-R13-001:COMP-SRC-012""]"	Todd P. Olson	2023	Cultural Transfer and Its Discontents: Recent Scholarship on the Mobility of Early Modern Prints	Oxford Art Journal 46.1	10.1093/oxartj/kcad007	https://doi.org/10.1093/oxartj/kcad007	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	f0478e4e62b7a2c1ab2918c7daf58f48bab34a0d90c5b695c582983d4291668f
R16B-SOURCE:3a59bbd7d928188410254f0adcdbb21326cdaa8e8d91bf5e0f89a422245760c2	DOI	10.1093/jdh/epz045	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0002	1	"[""SURF-R09-001:SRC-0002""]"	Jessica Kelly; Claire Jamieson	2020	Practice, Discourse and Experience: The Relationship Between Design History and Architectural History	Journal of Design History	10.1093/jdh/epz045	https://academic.oup.com/jdh/article/33/1/1/5678647	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	0ebf067ee19190f3a3d0b6825c8aa4e22ad7d5153b531e7b03a13131a98700cf
R16B-SOURCE:4600bf60cf9ef6cc2155bf938b57226df10b57c94a4409f21682f76cf70ecb3f	DOI	10.1093/jdh/ept046	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0026	1	"[""SURF-R09-001:SRC-0026""]"	Siv Ringdal; translator Kjetil Fallan	2014	110 Volts at Home: the American Lista	Journal of Design History	10.1093/jdh/ept046	https://academic.oup.com/jdh/article/27/1/79/474250	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	a6bff8ac07c197aa3ae9afa64e6e3b01b21c2bceb60802a61f936f7ce840ff61
R16B-SOURCE:48096af6b4c8298e0d0d1fc59e4a88db4513bb1d7467f511fefe737b05cfd717	DOI	10.1093/jpo/joab010	SURF-R10-001	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-005	2	"[""SURF-R10-001:GRAM-SRC-005"",""SURF-R13-001:COMP-SRC-002""]"	Turid Moldenæs; Hilde Marie Pettersen	2021	The professional project of graphic designers and universities' visual identities	Journal of Professions and Organization	10.1093/jpo/joab010	https://academic.oup.com/jpo/article/8/2/184/6324046	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	6d2841dc43b8bf1deb008b68b430932a15b1015b02f8f939b4061ce599b0468b
R16B-SOURCE:4e0ae75c3628da42b43e1a46726c645afb41bf622108ce4510784739ab28c997	DOI	10.1093/jdh/epac035	SURF-R13-001	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-026	2	"[""SURF-R13-001:COMP-SRC-026"",""SURF-R09-001:SRC-0006""]"	Daniele Burlando	2023	'Moroccan' Artek: Colonized Textiles within 1930s Modernist Interiors	Journal of Design History 36.1	10.1093/jdh/epac035	https://academic.oup.com/jdh/article/36/1/35/6691352	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	0cdb3de592b0aca3a487cc606b626d9db990b4458cd70dbbcbe395991f04bc48
R16B-SOURCE:4f7e4a2df6dde72a8ac903bd0a15568b252ea157e3b1ab633091a9ab182e1488	DOI	10.1093/jdh/epaa058	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0021	1	"[""SURF-R09-001:SRC-0021""]"	Paul Atkinson	2021	Born in the USA: The Cigar Box Guitar, Object Displacement and Performative DIY	Journal of Design History	10.1093/jdh/epaa058	https://academic.oup.com/jdh/article/34/3/260/6038974	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	63002d337a578760946271413ef6cf5019ba52ed6dbd4132c2996552f6b44d30
R16B-SOURCE:505090d90266ff232b4fc63c36533b75cff8cc2625ca86898817629403440f82	DOI	10.1515/9781785334467-016	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0036	1	"[""SURF-R09-001:SRC-0036""]"	Patricia Lara-Betancourt	2016	The Quest for Modernity: A Global/National Approach to a History of Design in Latin America	Designing Worlds	10.1515/9781785334467-016	https://doi.org/10.1515/9781785334467-016	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	f3174b035f92c45efc38b004db45952bed9a9eab9c58f9ef9b97b8af8ae1c163
R16B-SOURCE:515fe8763710342f982724acbe94d7b48d2dcc6672f6ee111d2390b8bd6af1db	DOI	10.1017/s0007680511000407	SURF-R13-001	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-029	1	"[""SURF-R13-001:COMP-SRC-029""]"	Véronique Pouillard	2011	Design Piracy in the Fashion Industries of Paris and New York	Business History Review 85.2	10.1017/S0007680511000407	https://www.cambridge.org/core/journals/business-history-review/article/abs/design-piracy-in-the-fashion-industries-of-paris-and-new-york-in-the-interwar-years/AB3FC3E1B56C0798123ABDF06BD62486	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	f5d8599a29623a5cb5a3c2ccd928e1ad138bfde8549bfd32ed0a7253098680e8
R16B-SOURCE:524a429d0381d267c1dfa8f193ac2e198b4e5b446435d16c0951a4eeffb7483b	DOI	10.1080/20419112.2025.2551445	SURF-R10-001	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-007	1	"[""SURF-R10-001:GRAM-SRC-007""]"	Grace Lees-Maffei	2025	Recent histories of the professionalization of interior design: from gatekeeping to inclusion	Interiors	10.1080/20419112.2025.2551445	https://www.tandfonline.com/doi/full/10.1080/20419112.2025.2551445	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	e49dafa50eeca4eb0ba0e74676d7571f8869743834272e0e70fb99f1797f4d44
R16B-SOURCE:534ddd1ab4c72183b6146a69dff317fe530b56788e1efc3a0c0daf6587eb0c45	DOI	10.1093/jdh/epu035	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0013	1	"[""SURF-R09-001:SRC-0013""]"	Yuko Kikuchi; Yunah Lee	2014	Transnational Modern Design Histories in East Asia: An Introduction	Journal of Design History	10.1093/jdh/epu035	https://doi.org/10.1093/jdh/epu035	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	9447848bcd510c616000c4b3be113f7c20eda4281261b7aae630d43c0a713355
R16B-SOURCE:564db5875c0a65ed3b45ac8629f4a895316e7ef4f60ac3cf10925b276d17c757	DOI	10.1093/jdh/epy038	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0011	1	"[""SURF-R09-001:SRC-0011""]"	Dora Souza Dias	2019	International Design Organizations and the Study of Transnational Interactions: The Case of Icogradalatinoamérica80	Journal of Design History	10.1093/jdh/epy038	https://academic.oup.com/jdh/article-abstract/32/2/188/5115654	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	61489468343dcead4ac80f5e1dd38f7103b42994df20c49ff7c8359de5bd0194
