surface_id	round	source_path	source_sha256	record_selector	input_record_count	selector_rule	selector_version	control_record_count	alias_record_count	metadata_lead_count	new_trigger_occurrence_count	new_candidate_family_count	execution_disposition	authority_dependency	required_next_action	record_sha256
SURF-R12-002	ROUND12	docs/research/trace-v49-exploration-inquiry-flow-round1/05_PAIR_QUESTION_EVIDENCE_COVERAGE.tsv	0d3bb19335f0d82c85956e92d19432e6955bc8a12acb5c71f9c304d9870a1454	tsv_rows	3	PAIR_DECISION_CANNOT_EMIT_GROUP	trace-round16b-deferred-surface-selector-v2	3	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	072206ed342f882e9b13d7d1b2691b05d3cca48048a0ddcc358e20e15bf0c261
SURF-R12-003	ROUND12	docs/research/trace-v49-exploration-inquiry-flow-round1/08_INQUIRY_SEED_REGISTRY.tsv	e95ead62d4d34e6b9af9f2137066d71b36174c3482dab7e38647f78857e14394	tsv_rows	5	HISTORICAL_CLAIM_FALSE_AND_PUBLIC_EXPORTABLE_FALSE	trace-round16b-deferred-surface-selector-v2	5	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	a4d4799a678ca1445b2a629dceda789980444d710aa1725269666bcf982f51fb
SURF-R12-004	ROUND12	docs/research/trace-v49-exploration-inquiry-flow-round1/11_RESEARCH_INSTANCE_REGISTRY.tsv	9285600b88b19952f06570adf7ad5048f39d08c619c0559937be3c3fad074230	tsv_rows	5	RESEARCH_PREVIEW_ONLY_TRUE	trace-round16b-deferred-surface-selector-v2	5	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	0b65bd37c9523d2c93163078f3c70f4153d7db962fe37dbad3b603b209497ebe
SURF-R13-001	ROUND13	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	1f54c0956ca12dfaad472a6644c6102ee13b2e9a46f6c1794e21e1a2d7097dca	tsv_rows	30	CANONICALIZE_DOI_THEN_ISBN_THEN_STABLE_URL_THEN_AUTHOR_YEAR_TITLE	trace-round16b-deferred-surface-selector-v2	30	7	0	0	0	SELECTOR_ACCOUNTED_RIGHTS_BLOCKED	RIGHTS_TEXT_ACCESS_LOCATOR_AND_BOUNDED_GROUP_REVIEW	Resolve the canonical rights queue and review lawful locator-bearing source text.	b72cf0e96e059c044861d022a51c2350d1322d5f7ca0190947a7014fca7c85af
SURF-R13-003	ROUND13	docs/research/trace-v49-exploration-composition-review-round1/05_PAIR_DECISION_REGISTRY.tsv	eb8857757aa0daca1a827a224133962fc3e22b296d4a71e80a81f9d281c9b012	tsv_rows	3	ACTIVATION_CANDIDATE_FALSE_AND_NO_GROUP_LIFT	trace-round16b-deferred-surface-selector-v2	3	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	13685510b04e53a11adce003fcc4d65ba09839f3b78f21bcddafc2aa2ca45746
SURF-R13-005	ROUND13	docs/research/trace-v49-exploration-composition-review-round1/14_ACTIVATION_CANDIDATE_PACKAGE.json	0b467800163e9a44481ced527e7a0b52c11b843b3fe0efa15912ae981eb836db	json:file	1	PACKAGE_ACTIVE_FALSE_REQUIRES_HUMAN_AND_SEPARATE_DECISION	trace-round16b-deferred-surface-selector-v2	14	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	0ab5a570a94c1256bb6b117906d96b5cc0254c7da28021397f07ee2b0c969451
SURF-R13-006	ROUND13	docs/research/trace-v49-exploration-composition-review-round1/16_EXTERNAL_DOMAIN_REVIEW_REGISTRY.tsv	903369afab8486b9a7553898ef0cf1bcf858d87bea99bd96887e62aa17a478b6	tsv_rows	36	REVIEWER_ANSWER_STATUS_EXACT_NOT_COMPLETED	trace-round16b-deferred-surface-selector-v2	36	0	0	0	0	SELECTOR_ACCOUNTED_HUMAN_REVIEW_BLOCKED	EXTERNAL_DOMAIN_REVIEWER_AUTHORITY	Complete all 36 external domain-review units before any activation decision.	b668aecd028da7a650af47b84f409075be7d05d384f169e1d2be89cb31de534e
SURF-R14-004	ROUND14	docs/audits/v49-exploration-association-calibration-round1/raw/nary-validation.tsv	13dff659bc55003f49c78211149bd504cffae4bc6abda27098e2c69a0179c4d7	tsv_rows	6	EXACT_FIXTURE_ALIAS_EXPECTED_EQUALS_ACTUAL_PASS_PRODUCTION_FALSE	trace-round16b-deferred-surface-selector-v2	6	6	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	8ea699a26ffb78c28496a8a1d350b59b1749d17a9bb7ee3a6b63a923ebcc9bef
SURF-R16A-003	ROUND16A	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	98f34158976b6f0b08c00d23047a667acecaee3e7daf8d47023564363d14230a	tsv_rows	2386	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	trace-round16b-deferred-surface-selector-v2	2386	2386	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	e0771407ec8a1bddd0073f8331815199d2a1e887a252df0d0b667c4fcff6ef79
SURF-R16A-005	ROUND16A	docs/audits/v49-exploration-full-space-closure-round1/raw/exploration-parameter-universe-v2.json	6576b9d28ade5dbf95e8c067c44758a2022ca38640aa1ed99efe08fa3a26de2b	json:parameters	18	SEMANTIC_IDENTITY_FLAG_DETERMINES_HIGHER_ORDER_OBLIGATION	trace-round16b-deferred-surface-selector-v2	18	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	963bddd0b473ae062c52957192ed8218a41c60a87f6ec918d2cbdabba766c1ab
SURF-R16A-010	ROUND16A	docs/audits/v49-exploration-full-space-closure-round1/raw/association-query-log-v2.jsonl	505f1d4c9a63f6d281dd09f5b6e8b51f4b49d2b97ab9c5c8d43c5615395c08f0	jsonl_rows	465	FIVE_RESULTS_PER_QUERY_EXACT_ALIAS_AND_ZERO_ACCEPTED	trace-round16b-deferred-surface-selector-v2	465	2325	101	0	0	SELECTOR_ACCOUNTED_METADATA_SEARCH_BLOCKED	LAWFUL_SOURCE_TEXT_AND_LOCATOR_REVIEW	Review the 101 deduplicated DOI leads adaptively; metadata remains non-supporting.	43b1d4923188aefa09e8a027ec50b171862aadbf961659ae862a253665264d0c
