input_id	input_surface_id	path	record_selector	record_count	bytes	sha256	use_boundary
R16B-LOCAL-INPUT-011	R16B-LOCAL-SURF-R14-ASSESSMENTS	scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json	json:assessments	35	49354	1108b7fbea167d79ca8c96633e41ac6d565ed63641893c77211b5e9356e747bb	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-012	R16B-LOCAL-SURF-R14-PROVENANCE	docs/audits/v49-exploration-association-calibration-round1/raw/evidence-provenance.tsv	tsv_rows	69	34999	3bfc526c160909838da90db700a72c987e1b9ea80fb605358a400951c64c2d8c	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-013	R16B-LOCAL-SURF-R14-NARY	scripts/trace-v49-exploration-association-calibration/fixtures/nary-local-coherence-v1.json	json:fixtures	6	4327	32c8fa359e6bd14d3d2e4d62c4a276a1bcfa6daee1c29e9b18bffb427f6e0e56	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-014	R16B-LOCAL-SURF-R15-FIXTURES	scripts/trace-v49-exploration-composition-engine/fixtures/composition-fixtures-v1.json	json:fixtures	25	17617	0322c715166f4ed8cb4603a5a1f10db69512ef3f41386cec6450c6d52813badb	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-015	R16B-LOCAL-SURF-R15-DECISIONS	docs/audits/v49-exploration-composition-engine-round1/raw/composition-decision-audit.json	json:images	25	219674	3fe07f1d8f39d83e54046fc1ab35a5fa86597360d6db990cba5346012b6e80d5	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-016	R16B-LOCAL-SURF-R15-RESULTS	docs/audits/v49-exploration-composition-engine-round1/raw/composition-fixture-results.tsv	tsv_rows	25	5851	ea4199739530788a630f068635b4cccffd9c2f6885c3cd40b074741dc1ed63f1	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-017	R16B-LOCAL-SURF-R16-COMPOSITIONS	scripts/trace-v49-exploration-real-database/real-composition-registry-v1.json	json:compositions	11	7371	cad6669c93a52924a17d31d07a16b1e1e5b0ffa06917f3cd467a5f2db003393f	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-018	R16B-LOCAL-SURF-R16-SOURCES	scripts/trace-v49-exploration-real-database/scholarly-source-additions-v1.tsv	tsv_rows	6	2605	473eb44a3b43d3f63261076b13c05e09a1e8b2abb10de8cf73765b0aea597752	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-019	R16B-LOCAL-SURF-R16-READ-MODEL	frontend/generated/trace-exploration-v1/read-model.json	json:file	1	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-020	R16B-LOCAL-SURF-R16A-PAIR-CENSUS	docs/audits/v49-exploration-full-space-closure-round1/raw/association-census-v2.tsv	tsv_rows	465	547848	7cbf14494b9862401c4cea03757dee9f2f2402612b9fb629b60fac9db9196ab3	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-021	R16B-LOCAL-SURF-R16A-GRAPH-NODES	docs/audits/v49-exploration-full-space-closure-round1/raw/validated-association-graph-v2.json	json:nodes	31	20163	1dee15d7cc0a9aa25f2a4a0fd7a352d2df5e7eacf88bd71badec5ebd476063bd	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-022	R16B-LOCAL-SURF-R16A-GRAPH-EDGES	docs/audits/v49-exploration-full-space-closure-round1/raw/validated-association-graph-v2.json	json:edges	21	20163	1dee15d7cc0a9aa25f2a4a0fd7a352d2df5e7eacf88bd71badec5ebd476063bd	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-023	R16B-LOCAL-SURF-R16A-SUBGRAPHS	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	json:association_subgraphs	58	276045	51c3e29909a8aa5226a7d18ebaef896aa52c48be6725d722c869515874c6c24d	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-024	R16B-LOCAL-SURF-R16A-TOPOLOGIES	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	json:topology_compositions	81	276045	51c3e29909a8aa5226a7d18ebaef896aa52c48be6725d722c869515874c6c24d	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-025	R16B-LOCAL-SURF-R16A-CATEGORIES	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	json:category_entries	81	276045	51c3e29909a8aa5226a7d18ebaef896aa52c48be6725d722c869515874c6c24d	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-026	R16B-LOCAL-SURF-R16A-ADAPTERS	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	json:round15_adapter_records	58	276045	51c3e29909a8aa5226a7d18ebaef896aa52c48be6725d722c869515874c6c24d	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-027	R16B-LOCAL-SURF-R16A-ENUMERATION	docs/audits/v49-exploration-full-space-closure-round1/raw/composition-enumeration-v2.tsv	tsv_rows	348	250130	75efbe8f0e5d18d431b1e525900da6eb30ff6abe1a97d407058e637680ada2cd	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-028	R16B-LOCAL-SURF-R16A-REJECTIONS	docs/audits/v49-exploration-full-space-closure-round1/raw/composition-rejection-ledger-v2.tsv	tsv_rows	277	74025	dc10dbb41a9e4492ca682507bfa9b46df318039f83f022e16b7b3f3d8d485951	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-029	R16B-LOCAL-SURF-R16A-PRODUCTION	frontend/generated/trace-exploration-v2/production-read-model.json	json:compositions	228	8802929	53eaf59c95446eeb3781a7153183c54b3ff59fd52f21744cc917053959dfdcc9	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-030	R16B-LOCAL-SURF-R16A-STATES	docs/audits/v49-exploration-full-space-closure-round1/raw/state-census-v2.tsv	tsv_rows	5760	6468438	35bf2057b0e24bdd951988361eea152c173ba0b69fefc10c656b402f4ee630a5	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-031	R16B-LOCAL-SURF-R16A-TRANSITIONS	docs/audits/v49-exploration-full-space-closure-round1/raw/transition-census-v2.tsv	tsv_rows	749944	284522777	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-032	R16B-LOCAL-SURF-R16A-WORKFLOWS	docs/audits/v49-exploration-full-space-closure-round1/raw/workflow-census-v2.tsv	tsv_rows	5760	3631567	66a70a7f4d67a2f7052bb6a7f6da10004de8218faec4b05fb8d8a52904131b28	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-033	R16B-LOCAL-SURF-R16A-EXPORTS	docs/audits/v49-exploration-full-space-closure-round1/raw/export-census-v2.tsv	tsv_rows	11520	5581688	7e0e97e0c5848c34438705818fcb78bd1fc87bd705d238ea45e4cc4791f7f009	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-034	R16B-LOCAL-METHOD-SURFACE-INVENTORY	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/evidence-surface-inventory.tsv	tsv_rows	44	13834	cd7286cecc45fc27b8b6e45457ad210a59c44ecb64ce47e9af60262d87c2427a	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
