control_record_id	surface_id	source_path	source_record_ref	source_record_locator	selector_rule	record_class	emission_decision	net_trigger_occurrence_count	alias_or_blocker_ref	authority_dependency	notes	source_record_sha256	record_sha256
R16B-DEFERRED-CONTROL:012cd3fee8005da3afb6163980d59c990a46109e1cfb24b7e8594555b19107da	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:c3d2d988d9bbc2537272c1823011f2d7fa7792875800837b87c696d322a3bd78-XREF-02	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:c3d2d988d9bbc2537272c1823011f2d7fa7792875800837b87c696d322a3bd78-XREF-02	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:c984a669d71f0e64d035fb8e55c3d543837f21e659440ecef7d827beccbc538a	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	43cd0e5d1fc91b383219913ef28fcf08fb860a6c4e04039d3ce87389d98c58d0	8178fc6bb641bf1469c2f73bf0a8e9a55bb81174d988ab0b436282aeb02c7e5d
R16B-DEFERRED-CONTROL:01406bfe0f7479deeb4b03433c079fa048dac49a5d583aca9d042d586b9e5779	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:35a75e0f134a6046b020957c4624c4d67301514e7835b746eb4442885334a6e6-XREF-03	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:35a75e0f134a6046b020957c4624c4d67301514e7835b746eb4442885334a6e6-XREF-03	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:22f664b59af672c8fb60619e7d96c2b9cf224fe1f617a79ed3e0f670c2114fd9	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	16d8574bd7d3715d289c13ea8f890789d527219b1d98298e59d508377f09d6d4	935bbe16653044981b8ab8f40cd7cfb93444e3ba3e9ce54c032d257422435fba
R16B-DEFERRED-CONTROL:0158fc86d669d0d034b8f8f0f4e886787d17749f226103b777d3339158fefc1e	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:eebc639beb212f19d583fc38338d8c51f48d51840f0cfaf625984f0342584a69-XREF-02	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:eebc639beb212f19d583fc38338d8c51f48d51840f0cfaf625984f0342584a69-XREF-02	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:38ba754f39302402c40d2bffcea18f190cdc00a3f6669d22274f1141a27dc9db	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	dfe8413feee06ebda3ca3f63bbc58f978db649a7035cc04056f0c212286eeb4c	d12ce6032a78c21ad931a795ed2101793965c3615811db706fbd1ae95e260f03
R16B-DEFERRED-CONTROL:017d8e93474dd67b9d7f8a5ee32fc59d346543ada38d6ea2f5f2f9000403ab02	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:204f8f05142e8204e4762471d527bc071f6236cd088a3cad10f04514d8be0247-XREF-05	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:204f8f05142e8204e4762471d527bc071f6236cd088a3cad10f04514d8be0247-XREF-05	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:0c5a8289c707858b806cc0f88f847c510639dc329354a4cbe5988086932bd2e5	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	dd30628f2f07fb36314be101404d6e5e277425e591f2d41775f98ac6519554d6	5f4dc086a03b2aacc3e88f53ba59ab47e8231b6da51037a947748ae7b8c47c41
R16B-DEFERRED-CONTROL:01d72e4f80d5a248a3a1eb68342582f19ab542ed96a15e6122185d97b5e82c61	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:7a59ff62b06ca5b4f296dde7224aa0869e725db70750c14964d541cdaf0e196e-XREF-04	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:7a59ff62b06ca5b4f296dde7224aa0869e725db70750c14964d541cdaf0e196e-XREF-04	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:cf7623c0b9accf26d277182b359dacefcf7dde0567d7f7d5b3de7b4cf567f606	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	47a93d0b1b24fbc3e134efb8c9591e98526e9f1279c8688f82d699ec8914dcfa	91654d9f9ef6d232a019f4112ce0823c76d683660badc669dfc5d6d02d30a529
R16B-DEFERRED-CONTROL:01df15260fa408716e5947b52733f237d72333c9e12b308f06a633ca76866e4a	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:8a748b2d2d0dd5ca1d4098148c55fd8d501aa7619605e61e37fc14be83159258-XREF-02	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:8a748b2d2d0dd5ca1d4098148c55fd8d501aa7619605e61e37fc14be83159258-XREF-02	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:ce3d6a53d785a62906258c0fd606040f3039860c2d49e4b6a10ab14e15448715	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	db596d08c46c35d6378690530337648af3ee683e35df23e39d9aa4c4c5d6193c	c2f9ff45ab0bb61aab41784a4977c8dc416a8e5486d82da9598870dbae4c4ab1
R16B-DEFERRED-CONTROL:01f809cfdbd80f50c921ba90ec52ee61788a892103c9ef6eda1aa562fecf80ee	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:fd9643e1f8821e2a25a1e2ad8780ad5a827894d4567038ccbb50db86ff921d78-XREF-03	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:fd9643e1f8821e2a25a1e2ad8780ad5a827894d4567038ccbb50db86ff921d78-XREF-03	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:e7120f86f53b5a8e229420bfdc703bd053f756cbc60762a20fd6293d489a79c7	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	a9652635c7f7e8d8b916729f9c608ad6a2eb83c5927bef3a52b3a9ef776f78ea	72ea5f8c1e549ab161202aaedd0062151da323117605682a0866d31ba1345117
R16B-DEFERRED-CONTROL:02057fb2cfb1a5c96947d409ff3793122c4218b925fcad624d623f8c54298643	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:71a6920528a60921ea9c9e0cb594eeb56415d566cc318d9b5b8f88a06824a6fe-XREF-01	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:71a6920528a60921ea9c9e0cb594eeb56415d566cc318d9b5b8f88a06824a6fe-XREF-01	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:44350ee17d925e2a037b58ac178ff7da113fdbc010aba746db8bed9a521f444b	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	76dd653ef5a64a044c70797ed58ac9fa81cf293f0f73b5733336b09255a5ad02	378ee119f56047f58657bc25285dcaf3fda6aba715cd677cdd2bae6d52964c82
R16B-DEFERRED-CONTROL:0205da9e9a8167e7a4258dee9fbf3899bfad22ba3a3a65ceb46b3d1e0b39c6a4	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:b58d236a197dce9756cd3066684e1e36b6ed1aca92cc83a47b024b9440022cce-XREF-05	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:b58d236a197dce9756cd3066684e1e36b6ed1aca92cc83a47b024b9440022cce-XREF-05	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:a0adb81adb260bd5cdc86cdee26b47cc249a5fa267f556a0672bd504b44d9d28	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	e748d9ee1e909c2a73740fbffe903724d592962b42801341ba93822ed430579b	f182bf02b0ea54384aecda4dca675edb988ccaa6ae6a00a0db1d9ea5066cd2b7
R16B-DEFERRED-CONTROL:021fd079b8648957a3ffa273502a966285cf89481a9dbd14111e6ae737f0bc1a	SURF-R16A-010	docs/audits/v49-exploration-full-space-closure-round1/raw/association-query-log-v2.jsonl	R16A-CROSSREF-QUERY:7ee3be6fa17dc9a75b390cdaedc6d19d4e69efc2d3b0a8ba188a3c5bcddd89be	docs/audits/v49-exploration-full-space-closure-round1/raw/association-query-log-v2.jsonl#query_id=R16A-CROSSREF-QUERY:7ee3be6fa17dc9a75b390cdaedc6d19d4e69efc2d3b0a8ba188a3c5bcddd89be	FIVE_RESULTS_PER_QUERY_EXACT_ALIAS_AND_ZERO_ACCEPTED	METADATA_QUERY_CONTROL	ZERO_EMISSION_METADATA_ONLY	0	"[""R16B-R16A-QUERY-ALIAS:4f6a9976715910dfa4e82de4024e5d359585f1fa6e9d00003ca7c8d507ae12f7"",""R16B-R16A-QUERY-ALIAS:642d3e63b246052edd6b9cc319987570701b945f335466c4b29bf72272b96a45"",""R16B-R16A-QUERY-ALIAS:8e893e2abb979e9c5f7ef0cb53ce918e88cc7fd94f716ed7dfefd15169830d5c"",""R16B-R16A-QUERY-ALIAS:976b9006f179c047adbf96c143ce716fd01a6708fce1af6313c623978b673437"",""R16B-R16A-QUERY-ALIAS:c0e2b798946e29884fd3477e4302e23a16c3e3d280f886396cd480230bfb8897""]"	LAWFUL_SOURCE_TEXT_AND_LOCATOR_REVIEW	Five Crossref results are exact aliases to metadata-only evidence rows; no result was accepted.	a96557faffe54cffb00d85457838bc9828c45f58962ccda7b4bc3289d178ff3e	da868d417993b7c13cf537a30ad335ab993028afb3bb3b7dc95c111866457401
R16B-DEFERRED-CONTROL:0224a152aabb475b02a7a80349cb4817b8db4a2dc8c8405a1a0a8ce98c2b3ec7	SURF-R16A-010	docs/audits/v49-exploration-full-space-closure-round1/raw/association-query-log-v2.jsonl	R16A-CROSSREF-QUERY:39eea7a7e32d3b85af49ebe8220d2957180ed35998c1800677e74c6e190a5114	docs/audits/v49-exploration-full-space-closure-round1/raw/association-query-log-v2.jsonl#query_id=R16A-CROSSREF-QUERY:39eea7a7e32d3b85af49ebe8220d2957180ed35998c1800677e74c6e190a5114	FIVE_RESULTS_PER_QUERY_EXACT_ALIAS_AND_ZERO_ACCEPTED	METADATA_QUERY_CONTROL	ZERO_EMISSION_METADATA_ONLY	0	"[""R16B-R16A-QUERY-ALIAS:41f1900778a0d4c154633626055d3037fcdd86ec92f0317c3eaf23b3bf6a89ae"",""R16B-R16A-QUERY-ALIAS:42f9234f18a8f1a4554176050ee4434a5bbecc15c3caeac9aaa54cd5b57b5a9c"",""R16B-R16A-QUERY-ALIAS:958d775cbf9f797bae09472b508cee7d1d90e2819c10d8c9c9a680d0099988f2"",""R16B-R16A-QUERY-ALIAS:9aa9d94766a70c2beb52382b345adfa31fd521bb7b3fd36cde60b904db1a190c"",""R16B-R16A-QUERY-ALIAS:e58abdc8555d8cf9ab3997b01618f9e5b5c6b2bbeab8f9eb040adc1ad5444449""]"	LAWFUL_SOURCE_TEXT_AND_LOCATOR_REVIEW	Five Crossref results are exact aliases to metadata-only evidence rows; no result was accepted.	9fb6ec022e94502fe1829ab976b3ef1850ec985ec50c74e89bc1b9f3566114da	80aa7e0093e63138d3481ad2f50c27316189a28a3dcc326aea8cedc24961e052
R16B-DEFERRED-CONTROL:02591654dc5d7cc48cee0cbee59514d11d9daa78de40a1c83f8e4493f14bf1e5	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:81ed51c947cde42c0a5e2523e4553eb1c0637fca0a348baa56ab29c54db933e1-XREF-03	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:81ed51c947cde42c0a5e2523e4553eb1c0637fca0a348baa56ab29c54db933e1-XREF-03	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:a59fa954104333e7e6c0fc4e5d7759eefb2e1f0758d95e66b66b842ffc3149a2	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	fc05c216128d186cdcea52a42702e7847e378c9f816eaf3db3850d91ef48675a	128a49b440132b35ca69fce044d92b9c6c703a808b68a8f002c85f2ad20add20
