event_id	timestamp_utc	phase	event_class	observed_condition	corrective_action	verification_status	disposition
R16B-CP012-DIAG-011	2026-08-28T17:23:17Z	CHECKPOINT-012-ADVERSARIAL-SEMANTIC-REVIEW	RIGHTS_PRIOR_STATUS_AND_AUTHORITY_BOUNDARY_NOT_FULLY_VERIFIED	The first supersession builder projected all 94 canonical rights rows as UNSPECIFIED because generic prior-status selection omitted rights, text-access, and locator fields; the first independent input-manifest verifier also omitted the authority_boundary column from its exact contract.	Project deterministic canonical rights/text/locator status for every baseline row, require zero UNSPECIFIED rights statuses, and independently verify every input authority boundary.	PASS_414_STATUS_PROJECTIONS_94_RIGHTS_EXPLICIT_AND_36_AUTHORITY_BOUNDARIES	PRESERVED_ADVERSARIAL_FINDING_AND_CORRECTED_BEFORE_COMMIT
R16B-CP012-DIAG-012	2026-08-28T17:23:17Z	CHECKPOINT-012-WORKTREE-INSPECTION	SANDBOX_BLOCKED_GIT_LFS_TEMP_WRITE	A read-only git status after deterministic reconciliation hydration caused the Git LFS clean filter to request its repository temp area, which the initial filesystem sandbox denied; status aborted without changing tracked content, index, or refs.	Rerun the identical read-only status with narrowly escalated repository access so Git LFS could use its own temp area; verify the expected tracked and untracked checkpoint files only.	PASS_ESCALATED_READ_ONLY_GIT_STATUS	PRESERVED_ENVIRONMENT_FAILURE_AND_CORRECTED
R16B-CP012-DIAG-013	2026-08-28T17:23:17Z	CHECKPOINT-012-READ-ONLY-DIAGNOSIS	TOOL_ORCHESTRATION_LOCAL_VARIABLE_SCOPE	One read-only diagnostic tool cell referenced a JavaScript workdir variable from a prior isolate; the cell failed before invoking its intended repository command and changed no file or state.	Repeat the command with the absolute worktree path declared in the current isolate.	PASS_CORRECTED_ABSOLUTE_WORKDIR_DIAGNOSTIC	PRESERVED_TOOL_ORCHESTRATION_FAILURE
R16B-CP012-DIAG-014	2026-08-28T17:23:17Z	CHECKPOINT-012-FINAL-REGRESSION-GATES	STALE_RUNTIME_INPUT_BINDINGS_AFTER_PREREQUISITE_CORRECTION	The first final v3 runtime primary and independent checks rejected the committed runtime manifest because it still bound the pre-correction Round 16A reconciliation census; the runtime read-model semantics and SHA remained unchanged.	Regenerate the manifest and checksum ledger from the corrected Round 16A census, require the read-model SHA to remain f1ae8a35895b27c15fb3d9b42828b8611633ee8ee7e2cbc825772b590304351b, then independently verify the refreshed bindings.	PASS_RUNTIME_MODEL_UNCHANGED_MANIFEST_AND_CHECKSUM_BINDINGS_REFRESHED	PRESERVED_REGRESSION_FAILURE_AND_CORRECTED
R16B-CP012-DIAG-015	2026-08-28T17:23:17Z	CHECKPOINT-012-CORRECTIVE-RUNTIME-BINDING	STALE_INDEPENDENT_RUNTIME_MANIFEST_TRUST_ANCHOR	After the primary runtime manifest was correctly regenerated, the first independent write failed closed on its frozen old manifest trust anchor before emitting a receipt.	Review the exact manifest-only dependency change, advance the independent verifier to v4 with the new manifest and checksum hashes together, rerun 15 checks and 84 corruptions, and bind the resulting receipt into the recursive-gap input manifest.	PASS_V4_15_CHECKS_84_CORRUPTIONS_RECEIPT_REBOUND	PRESERVED_TRUST_ANCHOR_FAILURE_AND_CORRECTED
R16B-CP012-DIAG-016	2026-08-28T17:23:17Z	CHECKPOINT-012-FINAL-CORRECTED-GATES	STALE_RUNTIME_CONSUMER_TRUST_PINS	The first API regression after runtime-manifest refresh rejected the new manifest hash because the TypeScript loader, API test, and production HTTP verifier still carried the reviewed Checkpoint 011 manifest and checksum pins.	Advance all three runtime consumers to the jointly reviewed manifest and checksum hashes, then rerun API tests, runtime typecheck, Python compilation, production build, and HTTP artifact validation.	PASS_API_408_TYPECHECK_BUILD_AND_HTTP_ARTIFACT_CHECK	PRESERVED_REGRESSION_FAILURE_AND_CORRECTED
R16B-CP012-DIAG-017	2026-08-28T17:23:17Z	CHECKPOINT-012-FINAL-CORRECTED-GATES	SANDBOX_DNS_BLOCKED_NEXT_FONT_FETCH	The first production build compiled until next/font attempted to fetch IBM Plex Sans and Mono from fonts.googleapis.com; sandbox DNS returned ENOTFOUND and the governed build failed without changing source artifacts.	Rerun the same logged build with narrowly approved network access; require compilation, type validation, static generation, and build-trace collection to pass.	PASS_NETWORK_RETRY_PRODUCTION_BUILD	PRESERVED_ENVIRONMENT_FAILURE_AND_CORRECTED
R16B-CP012-DIAG-018	2026-08-28T17:38:14Z	CHECKPOINT-012-REPOSITORY-HYGIENE-PREFLIGHT	SANDBOX_BLOCKED_GIT_INDEX_LOCK	The first logged staging attempt could not create the isolated worktree Git index lock under the sandbox policy and exited before changing the index, tracked content, refs, or remotes.	Rerun the same narrowly scoped staging command with repository-metadata access, then verify the staged checkpoint surface with repository hygiene and new-blob policy checks.	PASS_NARROW_ESCALATED_STAGING_HYGIENE_AND_BLOB_POLICY	PRESERVED_ENVIRONMENT_FAILURE_AND_CORRECTED
R16B-CP012-DIAG-019	2026-08-28T17:40:51Z	CHECKPOINT-012-STAGED-WHITESPACE-GATE	NONCANONICAL_HTTP_CASE_LEDGER_TERMINATORS	The staged whitespace gate first identified CRLF record terminators and then the empty terminal error field's trailing tab in the generated HTTP case TSV, even though the artifact verification itself passed.	Set the self-contained HTTP verifier's TSV writer to an explicit LF terminator and serialize a successful empty error as the explicit NONE sentinel; regenerate the three bound artifact-check files, rerun artifact verification and Python compilation, and require a clean staged whitespace check.	PASS_LF_NONEMPTY_TERMINAL_FIELD_ARTIFACT_LEDGER_VERIFICATION_AND_COMPILE	PRESERVED_HYGIENE_FINDING_AND_CORRECTED_BEFORE_COMMIT
R16B-CP012-DIAG-020	2026-08-28T17:40:51Z	CHECKPOINT-012-READ-ONLY-DIAGNOSIS	TOOL_ORCHESTRATION_WORKDIR_TYPO	One read-only inspection command used a misspelled isolated-worktree path and failed before process creation, changing no repository file, index, ref, or remote.	Repeat the same receipt and source inspection from the exact isolated-worktree path.	PASS_CORRECTED_WORKTREE_PATH_INSPECTION	PRESERVED_TOOL_ORCHESTRATION_FAILURE
