validation_sample_id,surface_id,capture_id,sample_target_marker,year,period,region,theme,medium,image_state,source_name,source_family,title,descriptive_unit,recommended_role,parent_candidate,relation_type,text_need_level,blocker_class,review_result,review_confidence,generalizable_rule,method_risk_flags,role_rationale,review_status,reviewer_notes,calibration_priority,calibration_group,calibration_question
MSTV0003,SURF-PUL1970R003,PUL1970R003,anchor_if_editorial_text_added,1900,1900_1913,United States,Midcentury modern graphic communication,; 1 item ; sheet 21 3/4 x 28 in..; Visual material,IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,Ringling Bros and Barnum & Bailey. Key to Circus Interior poster.,work_or_packet_anchor_candidate,main_needs_text,SURF-PUL1970R003,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,40,main_sensitive:anchor_if_editorial_text_added:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0007,SURF-GSU1970R002,GSU1970R002,anchor_if_editorial_text_added,1932,1914_1945,Georgia,Midcentury modern graphic communication,application/pdf; application/pdf; Text,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"Georgia Education Journal, 1932-02",periodical_or_issue,main_needs_text,SURF-GSU1970R002,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,40,main_sensitive:anchor_if_editorial_text_added:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0008,SURF-GSU1970R009,GSU1970R009,anchor_if_editorial_text_added,1942,1914_1945,United States,Midcentury modern graphic communication,application/pdf; application/pdf; Text,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"Aero Mechanic, 1942-10-15",work_or_packet_anchor_candidate,main_needs_text,SURF-GSU1970R009,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,40,main_sensitive:anchor_if_editorial_text_added:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0009,SURF-MX1970R043,MX1970R043,anchor_if_editorial_text_added,1939,1914_1945,United States,Modern typography and layout,digitized text / periodical,IMG02,Internet Archive / text and periodical collections,Internet Archive,Commercial art,periodical_or_issue,main_needs_text,SURF-MX1970R043,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,40,main_sensitive:anchor_if_editorial_text_added:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0010,SURF-PUL1970R040,PUL1970R040,anchor_if_editorial_text_added,1945,1914_1945,United States,Midcentury modern graphic communication,; 1 item ; sheet 21 x 28 in..; Visual material,IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,Ringling Bros and Barnum & Bailey. Key to Menagerie poster.,work_or_packet_anchor_candidate,main_needs_text,SURF-PUL1970R040,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,40,main_sensitive:anchor_if_editorial_text_added:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0039,SURF-GAX1970R051,GAX1970R051,packet_anchor_or_member_review,1874,1850_1899,France,Midcentury modern graphic communication,3 p. ; in-8; Nombre total de vues : 12,IMG03,Gallica / BnF APIs,Gallica / BnF APIs,A tous mes confrères de la littérature et de la typographie / [signé Joseph Boulmier],source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1870s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,40,main_sensitive:packet_anchor_or_member_review:sub_under_packet,Is the parent packet and relation type explicit enough for sub status?
MSTV0040,SURF-GA1970R012,GA1970R012,packet_anchor_or_member_review,1872,1850_1899,France,Midcentury modern graphic communication,19 p. : pl. ; in-8; Nombre total de vues : 184,IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"Patrons de broderie et de lingerie du XVIe siècle, reproduits par le procédé Lefman et Lourdel et publiés d'après les éditions conservées à la Bibliothèque Mazarine : recueil de documents graphiques pour servir à l'histoire des arts industr",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1870s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,40,main_sensitive:packet_anchor_or_member_review:sub_under_packet,Is the parent packet and relation type explicit enough for sub status?
MSTV0045,SURF-MC1930R025,MC1930R025,packet_anchor_or_member_review,1936,1914_1945,United States,New Deal and civic poster programs,"1 print on board (poster) : silkscreen, color.",IMG01,Library of Congress loc.gov API,Library of Congress,[WPA poster design showing the head and hands of a woman holding flowers and wheat above a blank banner],source_cluster_member,sub_under_packet,United States|New Deal and civic poster programs|Library of Congress loc.gov API|1930s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,40,main_sensitive:packet_anchor_or_member_review:sub_under_packet,Is the parent packet and relation type explicit enough for sub status?
MSTV0046,SURF-GAPIT2026R005,GAPIT2026R005,packet_anchor_or_member_review,1940,1914_1945,Aotearoa New Zealand,Postwar exhibition and cultural posters,poster / printed public communication,IMG02,Te Papa Collections Online,Te Papa,"Poster, 'Giant of the Air'",packet_member_or_anchor_candidate,sub_under_packet,Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa Collections Online|1940s,member_of_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,40,main_sensitive:packet_anchor_or_member_review:sub_under_packet,Is the parent packet and relation type explicit enough for sub status?
MSTV0048,SURF-GA1970R118,GA1970R118,packet_anchor_or_member_review,1966,1946_1969,France,Midcentury modern graphic communication,"1 estampe : lithographie ; 0,600 x 0,390 m; image/jpeg; Nombre total de vues : 1",IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"Bal de l'X, le 1er décembre [1966] à l'Opéra... : [affiche] / [non signé]",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1960s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,40,main_sensitive:packet_anchor_or_member_review:sub_under_packet,Is the parent packet and relation type explicit enough for sub status?
MSTV0049,SURF-GA1970R113,GA1970R113,packet_anchor_or_member_review,1957,1946_1969,France,Midcentury modern graphic communication,"1 estampe : lithographie ; 0,400 x 0,300 m; image/jpeg; Nombre total de vues : 1",IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"68e Bal de l'X, 9 mai 1957à lOpéra... : [affiche] / [non signé]",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1950s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,40,main_sensitive:packet_anchor_or_member_review:sub_under_packet,Is the parent packet and relation type explicit enough for sub status?
MSTV0050,SURF-GA1970R114,GA1970R114,packet_anchor_or_member_review,1961,1946_1969,France,Midcentury modern graphic communication,"1 estampe : lithographie ; 0,620 x 0,400 m; image/jpeg; Nombre total de vues : 1",IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"72e Bal de l'X, à l'Opéra, 30 novembre 1961... : [affiche] / lithographie de M.-L. Lorin",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1960s,member_of_source_cluster_packet,low,none,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,40,main_sensitive:packet_anchor_or_member_review:sub_under_packet,Is the parent packet and relation type explicit enough for sub status?
MSTV0081,SURF-CAW2026R00428,CAW2026R00428,soft_anchor_review,1882,1850_1899,China / Hong Kong,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / The Chinese Must Go - Magic Washer - 1886 anti-Chinese US cartoon.jpg / page 3112245,Wikimedia Commons,The Chinese Must Go - Magic Washer - 1886 anti-Chinese US cartoon.jpg,image_file_source_witness,main_needs_text,SURF-CAW2026R00428,packet_anchor_requires_text,medium,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,,25,main_sensitive:soft_anchor_review:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0084,SURF-CAW2026R00314,CAW2026R00314,soft_anchor_review,1870,1850_1899,Seychelles,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Udaipur from island of Jagmandir. '1st Janr. 1879'.jpg / page 8758685,Wikimedia Commons,Udaipur from island of Jagmandir. '1st Janr. 1879'.jpg,image_file_source_witness,main_needs_text,SURF-CAW2026R00314,packet_anchor_requires_text,medium,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,,25,main_sensitive:soft_anchor_review:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0089,SURF-CAW2026R00787,CAW2026R00787,soft_anchor_review,1900,1900_1913,Ghana,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Light yellow-white human figures over early X-ray paintings - Google Art Project.jpg / page 21881631,Wikimedia Commons,Light yellow-white human figures over early X-ray paintings - Google Art Project.jpg,image_file_source_witness,main_needs_text,SURF-CAW2026R00787,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,,25,main_sensitive:soft_anchor_review:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0091,SURF-CAW2026R01038,CAW2026R01038,soft_anchor_review,1906,1900_1913,Lebanon,Travel and transport poster culture,source-hosted open image; graphic design / visual communication candidate,IMG03,"Wikimedia Commons file source / How to ""make good"" in the ice cream pyramid and cone business - DPLA - f714cd3739109437fb3b9d4255a1e7dc (page 45).jpg / page 161891518",Wikimedia Commons,"How to ""make good"" in the ice cream pyramid and cone business - DPLA - f714cd3739109437fb3b9d4255a1e7dc (page 45).jpg",image_file_source_witness,main_needs_text,SURF-CAW2026R01038,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,,25,main_sensitive:soft_anchor_review:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0092,SURF-COM1970R017,COM1970R017,soft_anchor_review,1913,1900_1913,United Kingdom,Travel and transport poster culture,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,At the R.A. by the Underground.jpg,image_file_source_witness,main_needs_text,SURF-COM1970R017,packet_anchor_requires_text,low,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,,25,main_sensitive:soft_anchor_review:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0094,SURF-CRG2026R0370,CRG2026R0370,soft_anchor_review,1919,1914_1945,Australia / Indigenous,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / The Fremantle Wharf Crisis of 1919—Disputes Committee.png / page 5130411,Wikimedia Commons,The Fremantle Wharf Crisis of 1919—Disputes Committee.png,image_file_source_witness,main_needs_text,SURF-CRG2026R0370,packet_anchor_requires_text,medium,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,,25,main_sensitive:soft_anchor_review:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0095,SURF-COM1970R048,COM1970R048,soft_anchor_review,1931,1914_1945,France,Midcentury modern graphic communication,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Enfants ne jouez pas à la guerre.jpg,image_file_source_witness,main_needs_text,SURF-COM1970R048,packet_anchor_requires_text,medium,none,pass,medium,soft_anchor_with_source_depth_can_be_main_needs_text,commons_file_source; no_subsheet_relation,"Source depth supports anchor potential, but the main claim needs interpretive text.",pending,,25,main_sensitive:soft_anchor_review:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0082,SURF-CCT2026R02419,CCT2026R02419,soft_anchor_review,1891,1850_1899,Latin America,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Cumanda (second edition cover).jpg / page 58707775,Wikimedia Commons,Cumanda (second edition cover).jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,,33,main_sensitive:soft_anchor_review:manual_hold,Is the recommended role reproducible from the available evidence?
MSTV0083,SURF-CGS2026R1140,CGS2026R1140,soft_anchor_review,1895,1850_1899,Mexico,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / El-Mundo-17-marzo-1895-Carnaval en Merida.jpg / page 100233662,Wikimedia Commons,El-Mundo-17-marzo-1895-Carnaval en Merida.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,,33,main_sensitive:soft_anchor_review:manual_hold,Is the recommended role reproducible from the available evidence?
MSTV0087,SURF-CAW2026R01089,CAW2026R01089,soft_anchor_review,1909,1900_1913,Aotearoa New Zealand,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / MA I291872 TePapa Odontria-rufescens-Given full.jpg / page 101551997,Wikimedia Commons,MA I291872 TePapa Odontria-rufescens-Given full.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,,33,main_sensitive:soft_anchor_review:manual_hold,Is the recommended role reproducible from the available evidence?
MSTV0088,SURF-CAW2026R00885,CAW2026R00885,soft_anchor_review,1901,1900_1913,China / Hong Kong,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / A troublesome egg to hatch - J.S. Pughe. LCCN2010651397.tif / page 67806973,Wikimedia Commons,A troublesome egg to hatch - J.S. Pughe. LCCN2010651397.tif,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,,33,main_sensitive:soft_anchor_review:manual_hold,Is the recommended role reproducible from the available evidence?
MSTV0090,SURF-CCE2026R00151,CCE2026R00151,soft_anchor_review,1907,1900_1913,India,Modern typography and layout,source-hosted open image; graphic design / visual communication candidate,IMG03,Wikimedia Commons file source / Grimaults cigarette ad.jpg / page 26819367,Wikimedia Commons,Grimaults cigarette ad.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,,33,main_sensitive:soft_anchor_review:manual_hold,Is the recommended role reproducible from the available evidence?
MSTV0093,SURF-COM1970R018,COM1970R018,soft_anchor_review,1913,1900_1913,United Kingdom,Travel and transport poster culture,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Up River by the Underground.jpg,image_file_source_witness,manual_hold,,manual_relation_review,low,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,,33,main_sensitive:soft_anchor_review:manual_hold,Is the recommended role reproducible from the available evidence?
MSTV0096,SURF-COM1970R055,COM1970R055,soft_anchor_review,1938,1914_1945,France,Midcentury modern graphic communication,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Affiche Teatro Pacini.png,image_file_source_witness,manual_hold,,manual_relation_review,medium,none,revise,low,soft_anchor_without_depth_or_parent_stays_manual,commons_file_source; no_subsheet_relation,The row lacks enough source depth or parent relation for safe assignment.,pending,,33,main_sensitive:soft_anchor_review:manual_hold,Is the recommended role reproducible from the available evidence?
MSTV0099,SURF-COM1970R041,COM1970R041,soft_anchor_review,1930,1914_1945,Germany,Midcentury modern graphic communication,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Rolf Niczky - Garmisch-Partenkirchen. Heilklimatischer Kurort.png,source_cluster_member,sub_under_packet,Germany|Midcentury modern graphic communication|Wikimedia Commons|1930s,member_of_source_cluster_packet,medium,none,revise,medium,soft_anchor_in_large_cluster_needs_parent_review,commons_file_source; large_cluster; no_subsheet_relation,"Large cluster membership suggests packet relation, but parent selection remains unresolved.",pending,,30,main_sensitive:soft_anchor_review:sub_under_packet,Is the parent packet and relation type explicit enough for sub status?
MSTV0100,SURF-COM1970R035,COM1970R035,soft_anchor_review,1930,1914_1945,Germany,Midcentury modern graphic communication,poster / print / graphic record,IMG03,Wikimedia Commons,Wikimedia Commons,Jupp Wiertz Köln.jpg,source_cluster_member,sub_under_packet,Germany|Midcentury modern graphic communication|Wikimedia Commons|1930s,member_of_source_cluster_packet,medium,none,revise,medium,soft_anchor_in_large_cluster_needs_parent_review,commons_file_source; large_cluster; no_subsheet_relation,"Large cluster membership suggests packet relation, but parent selection remains unresolved.",pending,,30,main_sensitive:soft_anchor_review:sub_under_packet,Is the parent packet and relation type explicit enough for sub status?
MSTV0161,SURF-ER1830R025,ER1830R025,strong_soft_anchor,1885,1850_1899,United Kingdom,Midcentury modern graphic communication,1 print : chromolithograph ; sheet 11.4 x 7.7 cm.,IMG03,Library of Congress loc.gov API,Library of Congress,"Cadbury's almanack for 2,000 years - a literary & useful curiosity",work_or_packet_anchor_candidate,keep_main,,packet_anchor,low,none,pass,medium,strong_soft_anchor_can_remain_main_after_review,no_subsheet_relation,The row has strong anchor marker and enough source text for provisional main status.,pending,,40,main_sensitive:strong_soft_anchor:keep_main,"Does this row truly anchor a research packet, or is it only an object page?"
MSTV0162,SURF-PUL1970R001,PUL1970R001,strong_soft_anchor,1892,1850_1899,United States,Midcentury modern graphic communication,"; 1 Broadside, 1 banner ; 59 cm.; Book",IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,Herr Cohen : [poster and banner advertising phrenology lecture],work_or_packet_anchor_candidate,keep_main,,packet_anchor,low,none,pass,medium,strong_soft_anchor_can_remain_main_after_review,no_subsheet_relation,The row has strong anchor marker and enough source text for provisional main status.,pending,,40,main_sensitive:strong_soft_anchor:keep_main,"Does this row truly anchor a research packet, or is it only an object page?"
MSTV0163,SURF-SI1970R006,SI1970R006,strong_soft_anchor,1862,1850_1899,United States,Postwar exhibition and cultural posters,paper; ink; Height x Width: 3 x 3 in. (7.62 x 7.62 cm),IMG03,Smithsonian Open Access,Smithsonian Open Access,Hunt's Remedy trade card,work_or_packet_anchor_candidate,keep_main,,packet_anchor,low,none,pass,medium,strong_soft_anchor_can_remain_main_after_review,no_subsheet_relation,The row has strong anchor marker and enough source text for provisional main status.,pending,,40,main_sensitive:strong_soft_anchor:keep_main,"Does this row truly anchor a research packet, or is it only an object page?"
