metric,value,notes
image_policy:IMG00/IMG02 until terms reviewed,9,Recommended initial image policy before item-level rights review.
image_policy:IMG00 discovery only,4,Recommended initial image policy before item-level rights review.
image_policy:IMG00 until source terms reviewed,4,Recommended initial image policy before item-level rights review.
image_policy:IMG04,4,Recommended initial image policy before item-level rights review.
image_policy:IMG00 until rights reviewed,3,Recommended initial image policy before item-level rights review.
image_policy:IMG00 until source terms clear,2,Recommended initial image policy before item-level rights review.
image_policy:IMG00/IMG04 until terms reviewed,2,Recommended initial image policy before item-level rights review.
image_policy:IMG02/IMG00 until rights reviewed,2,Recommended initial image policy before item-level rights review.
image_policy:IMG02/IMG04 until viewer terms reviewed,2,Recommended initial image policy before item-level rights review.
image_policy:IMG04/IMG02 if viewer available,2,Recommended initial image policy before item-level rights review.
image_policy:IMG00 unless creator/source terms explicitly reviewed,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00 unless formal source terms supplied,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00 unless site-level terms reviewed,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00 unless source grants viewer/open license,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00 until cultural and rights review,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00 until item rights verified; IMG02 if source viewer exists,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00 until rights terms reviewed,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00 until rights verified,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00 until terms reviewed,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00/IMG02 until explicit terms,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00/IMG04 unless image rights clear,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00/IMG04 until cultural and rights review,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00/IMG04 until digitization terms clear,1,Recommended initial image policy before item-level rights review.
image_policy:IMG00/IMG04 until item rights clear,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02 for viewer; IMG03 only if explicit license,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02 if IIIF; IMG03 only explicit open,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02 if viewer; IMG04 for OCR/catalog,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02 if viewer; IMG04 for bibliographic records,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02/IMG00 until terms reviewed,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02/IMG03 only if explicit open,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02/IMG03 only if item rights explicit,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02/IMG03 only with item rights,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02/IMG04 depending on viewer,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02/IMG04 until item rights verified,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02/IMG04 until item terms reviewed,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02/IMG04 until rights reviewed,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02/source-viewer unless open evidence,1,Recommended initial image policy before item-level rights review.
image_policy:IMG02; IMG03 only explicit open,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04 by default,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04 for text-led records,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04 metadata-only unless source terms permit,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04 or IMG00 for collection leads,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04 or IMG00 until item review,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04 or IMG02 depending on record type,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04 source context,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04 source registry,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04 source registry only,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04 unless record image terms are clear,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04 unless source terms permit images,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04/IMG00 discovery only,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04/IMG00 unless licensed access permits,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04/IMG00 unless linked item rights clear,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04/IMG00 unless source page rights clear,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04/IMG00 until object rights reviewed,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04/IMG00 until source terms verified,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04/IMG02 depending on digital viewer,1,Recommended initial image policy before item-level rights review.
image_policy:IMG04/IMG02 depending on page,1,Recommended initial image policy before item-level rights review.
rights_posture:rights-sensitive,22,Rights and review posture.
rights_posture:source-hosted review,19,Rights and review posture.
rights_posture:community-review,7,Rights and review posture.
rights_posture:discovery-only,6,Rights and review posture.
rights_posture:text-only,4,Rights and review posture.
rights_posture:access-restricted,3,Rights and review posture.
rights_posture:context-source,3,Rights and review posture.
rights_posture:manual-review,3,Rights and review posture.
rights_posture:protocol-sensitive,3,Rights and review posture.
rights_posture:text-first,3,Rights and review posture.
rights_posture:link-only default,2,Rights and review posture.
rights_posture:text-rich review,2,Rights and review posture.
rights_posture:collection-level,1,Rights and review posture.
rights_posture:manual-cooperation,1,Rights and review posture.
rights_posture:text/source-hosted,1,Rights and review posture.
rights_posture:viewer-first,1,Rights and review posture.
adapter:html_metadata_adapter,27,Suggested adapter family.
adapter:bibliographic_adapter,4,Suggested adapter family.
adapter:social_discovery_adapter,4,Suggested adapter family.
adapter:manual_source_adapter,3,Suggested adapter family.
adapter:source_registry_context_adapter,3,Suggested adapter family.
adapter:bibliography_adapter,2,Suggested adapter family.
adapter:manual_database_adapter,2,Suggested adapter family.
adapter:manual_social_source_adapter,2,Suggested adapter family.
adapter:newspaper_ocr_adapter,2,Suggested adapter family.
adapter:text_enrichment_adapter,2,Suggested adapter family.
adapter:wordpress_adapter,2,Suggested adapter family.
adapter:academic_graph_adapter,1,Suggested adapter family.
adapter:catalog_adapter,1,Suggested adapter family.
adapter:collectiveaccess_adapter,1,Suggested adapter family.
adapter:digitalnz_adapter,1,Suggested adapter family.
adapter:figgy_iiif_adapter,1,Suggested adapter family.
adapter:finding_aid_adapter,1,Suggested adapter family.
adapter:global_router_adapter,1,Suggested adapter family.
adapter:iiif_or_bibliographic_adapter,1,Suggested adapter family.
adapter:iiif_or_catalog_adapter,1,Suggested adapter family.
adapter:iiif_or_html_adapter,1,Suggested adapter family.
adapter:internet_archive_adapter,1,Suggested adapter family.
adapter:kramerius_adapter,1,Suggested adapter family.
adapter:library_api_adapter,1,Suggested adapter family.
adapter:manual_bibliographic_adapter,1,Suggested adapter family.
adapter:manual_bibliography_adapter,1,Suggested adapter family.
adapter:manual_network_adapter,1,Suggested adapter family.
adapter:manual_or_oai_adapter,1,Suggested adapter family.
adapter:museum_api_adapter,1,Suggested adapter family.
adapter:ndl_adapter,1,Suggested adapter family.
adapter:network_map_adapter,1,Suggested adapter family.
adapter:oai_or_bibliographic_adapter,1,Suggested adapter family.
adapter:oai_router_adapter,1,Suggested adapter family.
adapter:platform_metadata_adapter,1,Suggested adapter family.
adapter:polona_adapter,1,Suggested adapter family.
adapter:rdf_api_adapter,1,Suggested adapter family.
adapter:regional_library_adapter,1,Suggested adapter family.
adapter:source_hosted_adapter,1,Suggested adapter family.
adapter:trove_adapter,1,Suggested adapter family.
status:candidate,81,Inclusion state.
