surface_id,title,period_band,macro_region,source_name,template_id,publication_role,image_state,source_text_chars,generated_text_chars,total_reading_chars,impact_score,impact_rating,impact_basis,group_candidate_count,max_group_member_count,strong_group_candidate,research_value_score,recommended_action,action_reason
SURF-SI1970R001,"Trade Card of John Williams, Clothier",pre_1930,Unresolved region,Smithsonian Open Access,sheet.main.v0,main_sheet,IMG03,381,2147,2528,40,D,heuristic baseline; verified open image,0,0,false,53,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-ER1830R001-GROUP,"Trade card grouped records, 1830-1922",pre_1930,United Kingdom,V&A Collections API,sheet.compound.v0,thin_visual_support_packet,IMG02,181,1110,1291,35,D,heuristic baseline,0,0,false,35,keep_non_main,Already not a main sheet; tracked for topology context.
SURF-CHW2026R001,Die Thierwelt (The Animal Kinggom),pre_1930,Unresolved region,Cooper Hewitt Collection GraphQL API,sheet.main.v0,main_sheet,IMG02,156,2032,2188,39,D,heuristic baseline; design-term hits=1,0,0,false,39,demote_to_card,Very thin source-derived text and no strong impact/grouping basis.
SURF-CRB2026V2R0256,"Poster; theatre performance at Rotunda, London, 1831 Wellcome L0039148.jpg",pre_1930,Georgia,"Wikimedia Commons file source / Poster; theatre performance at Rotunda, London, 1831 Wellcome L0039148.jpg / page 33925694",sheet.main.v0,main_sheet,IMG03,1278,2767,4045,60,C,heuristic baseline; design-term hits=5; verified open image,0,0,false,82,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-CRG2026R0002,Putzmühle im Pöbeltal 002.JPG,pre_1930,Unresolved region,Wikimedia Commons file source / Putzmühle im Pöbeltal 002.JPG / page 25370103,sheet.main.v0,main_sheet,IMG03,659,2643,3302,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,65,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01860,Stamp of Bolivia - 1901 - Colnect 226923 - Adolfo Ballivian.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1901 - Colnect 226923 - Adolfo Ballivian.jpeg / page 115575993,sheet.main.v0,main_sheet,IMG03,642,2848,3490,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,67,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01861,Stamp of Bolivia - 1901 - Colnect 226924 - Eliodoro Camacho.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1901 - Colnect 226924 - Eliodoro Camacho.jpeg / page 115576012,sheet.main.v0,main_sheet,IMG03,513,2841,3354,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,63,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01862,Stamp of Bolivia - 1911 - Colnect 226946 - Eliodoro Camacho.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1911 - Colnect 226946 - Eliodoro Camacho.jpeg / page 115576673,sheet.main.v0,main_sheet,IMG03,713,2848,3561,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,68,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01863,Stamp of Bolivia - 1911 - Colnect 226947 - Eliodoro Camacho.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1911 - Colnect 226947 - Eliodoro Camacho.jpeg / page 115576700,sheet.main.v0,main_sheet,IMG03,712,2845,3557,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,68,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01864,Stamp of Bolivia - 1911 - Colnect 226948 - Eliodoro Camacho.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1911 - Colnect 226948 - Eliodoro Camacho.jpeg / page 115576736,sheet.main.v0,main_sheet,IMG03,718,2846,3564,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,68,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01865,Stamp of Bolivia - 1913 - Colnect 226956 - Adolfo Ballivian.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1913 - Colnect 226956 - Adolfo Ballivian.jpeg / page 115577195,sheet.main.v0,main_sheet,IMG03,515,2843,3358,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,63,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01866,Stamp of Bolivia - 1913 - Colnect 226957 - Eliodoro Camacho.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1913 - Colnect 226957 - Eliodoro Camacho.jpeg / page 115577225,sheet.main.v0,main_sheet,IMG03,666,2843,3509,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,67,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01867,Stamp of Bolivia - 1930 - Colnect 227036 - Eliodoro Camacho.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1930 - Colnect 227036 - Eliodoro Camacho.jpeg / page 115591749,sheet.main.v0,main_sheet,IMG03,770,2843,3613,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,70,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-GAX1970R002,La typographie : poëme / par M. L. Pelletier,pre_1930,France,Gallica / BnF APIs,sheet.main.v0,main_sheet,IMG03,192,1715,1907,40,D,heuristic baseline; verified open image,2,5,true,61,demote_to_sub,Thin source-derived text and insufficient impact basis for standalone main.
SURF-CCT2026R01620,Regulamentul organic 1832.png,pre_1930,Romania,Wikimedia Commons file source / Regulamentul organic 1832.png / page 3138247,sheet.main.v0,main_sheet,IMG03,1222,2418,3640,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,78,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-CCT2026R01868,Stamp of Bolivia - 1935 - Colnect 227724 - Mariano Baptista.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1935 - Colnect 227724 - Mariano Baptista.jpeg / page 115592332,sheet.main.v0,main_sheet,IMG03,625,2846,3471,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,66,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01869,Stamp of Bolivia - 1943 - Colnect 228276 - Entrance to Pulacayo Mine.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1943 - Colnect 228276 - Entrance to Pulacayo Mine.jpeg / page 115594085,sheet.main.v0,main_sheet,IMG03,605,2863,3468,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,66,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CRG2026R0003,Stamp of Umm al-Quwain-1967-The-Irones--by-Edgar-Degas-1834-multi-1riyal-perfin.jpg,pre_1930,Unresolved region,Wikimedia Commons file source / Stamp of Umm al-Quwain-1967-The-Irones--by-Edgar-Degas-1834-multi-1riyal-perfin.jpg / page 165867587,sheet.main.v0,main_sheet,IMG03,610,2706,3316,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,65,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CRG2026R0004,"The Town Hall, Market Place, Tamworth - geograph.org.uk - 1741283.jpg",pre_1930,Unresolved region,"Wikimedia Commons file source / The Town Hall, Market Place, Tamworth - geograph.org.uk - 1741283.jpg / page 14476689",sheet.main.v0,main_sheet,IMG03,1543,2710,4253,48,D,heuristic baseline; design-term hits=2; verified open image,0,0,false,79,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-GA1970R001,"Théâtre dirigé par M. Dorsay ci-devant Mad.e Saqui Boulevard du Temple en face le jardin turc tous les jours, excepté le Dimanche, Jane Gray Drame historique en 3 actes et 5 tableaux de M. Leblanc, musique de M. Bellon, décors de M. Rascalon mise en scène de M. Dupuis : [estampe]",pre_1930,France,Gallica / BnF APIs,sheet.main.v0,main_sheet,IMG03,283,2169,2452,44,D,heuristic baseline; design-term hits=1; verified open image,2,5,true,67,demote_to_sub,Thin source-derived text and insufficient impact basis for standalone main.
SURF-GAX1970R003,"Manuel nouveau de typographie, imprimerie,... par A. Frey. Partie 1",pre_1930,France,Gallica / BnF APIs,sheet.main.v0,main_sheet,IMG03,229,1820,2049,40,D,heuristic baseline; verified open image,2,5,true,63,demote_to_sub,Thin source-derived text and insufficient impact basis for standalone main.
SURF-CRB2026V2R0435,"Qajar lacquer book cover, attributable to Muhammad Ismail, Qajar Iran, circa 1865, depicting the taking of Turkman prisoners following a victorious battle along the frontier.jpg",pre_1930,Iran,"Wikimedia Commons file source / Qajar lacquer book cover, attributable to Muhammad Ismail, Qajar Iran, circa 1865, depicting the taking of Turkman prisoners following a victorious battle along the frontier.jpg / page...",sheet.main.v0,main_sheet,IMG03,1246,2923,4169,44,D,heuristic baseline; design-term hits=1; verified open image,0,0,false,78,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-CCT2026R01870,Stamp of Bolivia - 1901 - Colnect 226927 - Andres Santa Cruz.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1901 - Colnect 226927 - Andres Santa Cruz.jpeg / page 115576078,sheet.main.v0,main_sheet,IMG03,714,2846,3560,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,68,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01871,Stamp of Bolivia - 1911 - Colnect 226949 - Andres Santa Cruz.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1911 - Colnect 226949 - Andres Santa Cruz.jpeg / page 115576787,sheet.main.v0,main_sheet,IMG03,873,2848,3721,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,72,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-CCT2026R01872,Stamp of Bolivia - 1913 - Colnect 226961 - Andres Santa Cruz.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1913 - Colnect 226961 - Andres Santa Cruz.jpeg / page 115577363,sheet.main.v0,main_sheet,IMG03,730,2847,3577,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,69,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CGS2026R0681,Diego Portales-D S No 20.JPG,pre_1930,Chile,Wikimedia Commons file source / Diego Portales-D S No 20.JPG / page 7016695,sheet.main.v0,main_sheet,IMG03,653,2616,3269,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,66,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R00698,Stamp of Tanzania - 1967 - Colnect 264718 - Barred Mudskipper Periophthalmus sobrinus.jpeg,pre_1930,Tanzania,Wikimedia Commons file source / Stamp of Tanzania - 1967 - Colnect 264718 - Barred Mudskipper Periophthalmus sobrinus.jpeg / page 115890427,sheet.main.v0,main_sheet,IMG03,669,2842,3511,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,66,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R00699,Stamp of Tanzania - 1967 - Colnect 285660 - Barred Mudskipper Periophthalmus sobrinus.jpeg,pre_1930,Tanzania,Wikimedia Commons file source / Stamp of Tanzania - 1967 - Colnect 285660 - Barred Mudskipper Periophthalmus sobrinus.jpeg / page 115890558,sheet.main.v0,main_sheet,IMG03,372,2811,3183,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,59,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01873,Stamp of Bolivia - 1930 - Colnect 223082 - Eduardo Abaroa.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1930 - Colnect 223082 - Eduardo Abaroa.jpeg / page 115591654,sheet.main.v0,main_sheet,IMG03,718,2839,3557,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,68,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R03295,"Stamp of the HMS Britomart & Union Jack at Akaroa, 11 August 1840 (16755311366).jpg",pre_1930,Aotearoa New Zealand,"Wikimedia Commons file source / Stamp of the HMS Britomart & Union Jack at Akaroa, 11 August 1840 (16755311366).jpg / page 51249470",sheet.main.v0,main_sheet,IMG03,1141,2879,4020,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,78,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-GAX1970R004,"Journal spécial de la typographie, imprimerie, gravure, fonderie, papeterie et librairie",pre_1930,France,Gallica / BnF APIs,sheet.main.v0,main_sheet,IMG02,541,2206,2747,35,D,heuristic baseline,2,5,true,65,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R03606,Aden postal composite.jpg,pre_1930,India,Wikimedia Commons file source / Aden postal composite.jpg / page 34631665,sheet.main.v0,main_sheet,IMG03,1003,2742,3745,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,76,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-CGS2026R0328,El restaurador de las leyes.jpg,pre_1930,Argentina,Wikimedia Commons file source / El restaurador de las leyes.jpg / page 10603704,sheet.main.v0,main_sheet,IMG03,547,2530,3077,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,63,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R03607,Gwalior Re one Queen Victoria service error 1896.jpg,pre_1930,India,Wikimedia Commons file source / Gwalior Re one Queen Victoria service error 1896.jpg / page 9400400,sheet.main.v0,main_sheet,IMG03,647,2797,3444,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,67,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R03608,Gwalior Twelve Annas King George VI SG137.jpg,pre_1930,India,Wikimedia Commons file source / Gwalior Twelve Annas King George VI SG137.jpg / page 9400133,sheet.main.v0,main_sheet,IMG03,583,2786,3369,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,65,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-GAX1970R005,"Imprimerie lithographique, Autographique, E. Simon Fils, Strasbourg",pre_1930,France,Gallica / BnF APIs,sheet.main.v0,main_sheet,IMG03,328,1986,2314,40,D,heuristic baseline; verified open image,1,10,true,67,demote_to_sub,Likely belongs under a stronger grouped parent rather than standalone main.
SURF-CCT2026R03609,Nabha Five Rupees King George V 1932 used.jpg,pre_1930,India,Wikimedia Commons file source / Nabha Five Rupees King George V 1932 used.jpg / page 9400586,sheet.main.v0,main_sheet,IMG03,552,2791,3343,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,64,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CRB2026V2R0036,Stamp of Indonesia - 1961 - Colnect 260754 - Teuku Umar 1840-1899.jpeg,pre_1930,Nigeria,Wikimedia Commons file source / Stamp of Indonesia - 1961 - Colnect 260754 - Teuku Umar 1840-1899.jpeg / page 114669263,sheet.main.v0,main_sheet,IMG03,664,2662,3326,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,65,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R03296,"Stamp of NZ Company settlers arriving in Pito-one (Petone), 1840 (16321061201).jpg",pre_1930,Aotearoa New Zealand,"Wikimedia Commons file source / Stamp of NZ Company settlers arriving in Pito-one (Petone), 1840 (16321061201).jpg / page 51249713",sheet.main.v0,main_sheet,IMG03,1141,2878,4019,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,78,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-CRG2026R0005,"The authentic and genuine history of the signing of the Treaty of Waitangi, New Zealand, February 5 and 6, 1840 - Cover.jpg",pre_1930,Unresolved region,"Wikimedia Commons file source / The authentic and genuine history of the signing of the Treaty of Waitangi, New Zealand, February 5 and 6, 1840 - Cover.jpg / page 152593751",sheet.main.v0,main_sheet,IMG03,399,2769,3168,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,59,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-SI1970R002,Trade Card for The Liverpool Cloth Establishment,pre_1930,United Kingdom,Smithsonian Open Access,sheet.main.v0,main_sheet,IMG03,797,2144,2941,44,D,heuristic baseline; design-term hits=1; verified open image,0,0,false,63,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-ER1830R002,"Trade card for C. & J. Lintelo Brothers, Gold and Silversmiths",pre_1930,Belgium,V&A Collections API,sheet.main.v0,main_sheet,IMG02,258,1808,2066,43,D,heuristic baseline; design-term hits=2,0,0,false,42,demote_to_sub,Thin source-derived text and insufficient impact basis for standalone main.
SURF-CRG2026R0007,Stamp 1970 UAE-FU MiNr0651A pm B002.jpg,pre_1930,Unresolved region,Wikimedia Commons file source / Stamp 1970 UAE-FU MiNr0651A pm B002.jpg / page 117870240,sheet.main.v0,main_sheet,IMG03,1027,2646,3673,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,74,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-CRG2026R0006,Stamp 1974 Romania MiNr3179 pm B002a.jpg,pre_1930,Romania,Wikimedia Commons file source / Stamp 1974 Romania MiNr3179 pm B002a.jpg / page 117737469,sheet.main.v0,main_sheet,IMG03,1022,2645,3667,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,74,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-CCT2026R01874,Stamp of Bolivia - 1897 - Colnect 226907 - José Ballivian.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1897 - Colnect 226907 - José Ballivian.jpeg / page 115575581,sheet.main.v0,main_sheet,IMG03,511,2847,3358,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,63,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01875,Stamp of Bolivia - 1913 - Colnect 226960 - Jose Ballivian.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1913 - Colnect 226960 - Jose Ballivian.jpeg / page 115577330,sheet.main.v0,main_sheet,IMG03,449,2843,3292,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,62,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01876,Stamp of Bolivia - 1943 - Colnect 228277 - Gen Ballivian leading cavalry charge.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1943 - Colnect 228277 - Gen Ballivian leading cavalry charge.jpeg / page 115594092,sheet.main.v0,main_sheet,IMG03,676,2888,3564,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,67,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01877,Stamp of Bolivia - 1943 - Colnect 228278 - Gen Ballivian leading cavalry charge.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1943 - Colnect 228278 - Gen Ballivian leading cavalry charge.jpeg / page 115594107,sheet.main.v0,main_sheet,IMG03,555,2888,3443,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,64,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01878,Stamp of Bolivia - 1943 - Colnect 228279 - Gen Ballivian leading cavalry charge.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1943 - Colnect 228279 - Gen Ballivian leading cavalry charge.jpeg / page 115594134,sheet.main.v0,main_sheet,IMG03,555,2886,3441,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,64,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01879,Stamp of Bolivia - 1943 - Colnect 228303 - Gen Ballivian leading cavalry charge.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1943 - Colnect 228303 - Gen Ballivian leading cavalry charge.jpeg / page 115594193,sheet.main.v0,main_sheet,IMG03,555,2888,3443,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,64,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01880,Stamp of Bolivia - 1943 - Colnect 228304 - Gen Ballivian leading cavalry charge.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1943 - Colnect 228304 - Gen Ballivian leading cavalry charge.jpeg / page 115594207,sheet.main.v0,main_sheet,IMG03,555,2888,3443,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,64,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01881,Stamp of Bolivia - 1943 - Colnect 228305 - Gen Ballivian leading cavalry charge.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1943 - Colnect 228305 - Gen Ballivian leading cavalry charge.jpeg / page 115594220,sheet.main.v0,main_sheet,IMG03,555,2886,3441,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,64,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01882,Stamp of Bolivia - 1943 - Colnect 228306 - Gen Ballivian leading cavalry charge.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1943 - Colnect 228306 - Gen Ballivian leading cavalry charge.jpeg / page 115594235,sheet.main.v0,main_sheet,IMG03,555,2888,3443,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,64,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-GA1970R002,Agence de Publicité-Dollingen,pre_1930,France,Gallica / BnF APIs,sheet.main.v0,main_sheet,IMG03,131,1515,1646,40,D,heuristic baseline; verified open image,2,10,true,59,demote_to_sub,Thin source-derived text and insufficient impact basis for standalone main.
SURF-CRB2026V2R0657,Military despotism! Arbitrary arrest of a judge.jpg,pre_1930,Indonesia,Wikimedia Commons file source / Military despotism! Arbitrary arrest of a judge.jpg / page 3355123,sheet.main.v0,main_sheet,IMG03,1209,2711,3920,48,D,heuristic baseline; design-term hits=2; verified open image,0,0,false,79,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-CRG2026R0008,Neuruppiner Bilderbogen 1493.jpg,pre_1930,Unresolved region,Wikimedia Commons file source / Neuruppiner Bilderbogen 1493.jpg / page 3458532,sheet.main.v0,main_sheet,IMG03,722,2575,3297,48,D,heuristic baseline; design-term hits=2; verified open image,0,0,false,66,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01506,Sedim sinov 66.jpg,pre_1930,Unresolved region,Wikimedia Commons file source / Sedim sinov 66.jpg / page 7545815,sheet.main.v0,main_sheet,IMG03,493,2699,3192,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,61,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-GAX1970R006,Spécimen typographique de l'Imprimerie royale,pre_1930,France,Gallica / BnF APIs,sheet.main.v0,main_sheet,IMG03,178,1709,1887,40,D,heuristic baseline; verified open image,4,10,true,61,demote_to_sub,Thin source-derived text and insufficient impact basis for standalone main.
SURF-CGS2026R0030,Stamp commemorating the centenary of the birth of José Manuel Estrada.jpg,pre_1930,Argentina,Wikimedia Commons file source / Stamp commemorating the centenary of the birth of José Manuel Estrada.jpg / page 30060076,sheet.main.v0,main_sheet,IMG03,894,2712,3606,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,73,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
