candidate_id,source_name,macro_region,country_or_region,locality,source_kind,institutional_level,institution_class,access_family,url,expected_record_types,period_strength,image_strategy,text_strategy,rights_risk,automation_priority,verification_status,current_ingest_status,notes
SEM011,Delpher Newspapers dataset,Western/Central Europe,,,Dataset,institutional,independent,OAI+API,https://www.kb.nl/en/research-find/datasets/delpher-newspapers,periodical_newspaper;poster_print_object,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,High-value ad and printed communication corpus
SEM012,Delpher Magazines dataset,Western/Central Europe,,,Dataset,institutional,independent,manual,https://www.kb.nl/en/research-find/datasets/delpher-magazines,periodical_newspaper,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,Strong for editorial and layout history
SEM013,bavarikon,Western/Central Europe,,,Regional aggregator,institutional,aggregator,HTML,https://www.bavarikon.de/,poster_print_object;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,metadata-plus-context,Med,P2 source probe,deep_research_seed,candidate_from_matrix,"Good for print, graphics, local poster/ephemera trails"
SEM014,e-rara,Western/Central Europe,,,Swiss digital library,institutional,library,OAI+HTML,https://www.e-rara.ch/,poster_print_object;book_catalogue_text,1830-1930=strong; 1931-1970=secondary; 1971-2000=strong; 2001-2026=secondary,prefer_open_image,text-rich,High,P4 later period support,deep_research_seed,candidate_from_matrix,"Excellent for type specimens, illustrated print, book design prehistories"
SEM015,e-manuscripta,Western/Central Europe,,,Swiss digital library,institutional,library,IIIF+OAI+HTML,https://www.e-manuscripta.ch/,book_catalogue_text;archive_finding_aid,1830-1930=secondary; 1931-1970=secondary; 1971-2000=strong; 2001-2026=secondary,prefer_open_image,text-rich,High,P4 later period support,deep_research_seed,candidate_from_matrix,"Good for design context, sketchbooks, archives"
SEM016,Wellcome Collection Catalogue API,Western/Central Europe,,,Museum/library API,institutional,museum,IIIF+API,https://developers.wellcomecollection.org/docs/catalogue,poster_print_object;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,prefer_open_image,metadata-plus-context,High,P1 object/image crawl,deep_research_seed,active_in_public_payload,"Strong for posters, printed health graphics, public communication design"
SEM017,Wellcome IIIF,Western/Central Europe,,,Image infrastructure,institutional,independent,IIIF+API,https://developers.wellcomecollection.org/docs/iiif,poster_print_object,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,text_only,metadata-plus-context,High,P4 later period support,deep_research_seed,candidate_from_matrix,Excellent image-service layer once rights pass
SEM018,ETH E-Pics,Western/Central Europe,,,University image archive,university,university,HTML,https://e-pics.ethz.ch/,poster_print_object;book_catalogue_text;authority_context;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P2 source probe,deep_research_seed,candidate_from_matrix,Useful for Swiss graphic/print and visual culture context
SEM019,ÖNB Digital,Western/Central Europe,,,National library portal,national,government,HTML,https://www.onb.ac.at/en/digital-offers,poster_print_object;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,metadata-plus-context,Med,P2 source probe,deep_research_seed,candidate_from_matrix,"Good for print, image archive, posters, postcards"
SEM020,ANNO,Western/Central Europe,,,Newspaper portal,institutional,independent,HTML,https://anno.onb.ac.at/,periodical_newspaper;poster_print_object,1830-1930=strong; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P2 source probe,deep_research_seed,candidate_from_matrix,Strong for print culture and ads in Central Europe
SEM021,POLONA,Eastern Europe,,,National library portal,national,government,IIIF+HTML,https://polona.pl/,periodical_newspaper;poster_print_object;book_catalogue_text,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,prefer_open_image,text-rich,Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,Major Polish print and poster corpus
SEM022,POLONA Labs,Eastern Europe,,,Labs/docs layer,institutional,independent,IIIF+API+HTML,https://labs.polona.pl/,mixed_discovery,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,link_only_until_rights_verified,metadata-plus-context,Med,P4 later period support,deep_research_seed,candidate_from_matrix,Helpful for implementation certainty
SEM023,Szukaj w Archiwach,Eastern Europe,,,National archives portal,national,government,HTML,https://www.szukajwarchiwach.gov.pl/,poster_print_object;book_catalogue_text;authority_context;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P2 source probe,deep_research_seed,candidate_from_matrix,"High for institutional, propaganda, poster, leaflet context"
SEM024,Czech Digital Library,Eastern Europe,,,National portal,national,government,KRAMERIUS+HTML,https://ceskadigitalniknihovna.cz/,periodical_newspaper;poster_print_object;book_catalogue_text,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P2 source probe,deep_research_seed,candidate_from_matrix,Strong for periodicals and print culture
SEM025,Kramerius,Eastern Europe,,,Open-source digital library platform,institutional,library,OAI+API+HTML,https://system-kramerius.cz/en/,periodical_newspaper;poster_print_object,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=strong,source_viewer_or_iiif,text-rich,Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,Important because many Czech/Slovak portals run on it
SEM026,dLib.si,Eastern Europe,,,National digital library,national,government,OAI+HTML,https://www.dlib.si/,periodical_newspaper;poster_print_object;book_catalogue_text,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,Strong for Slovene periodical and print studies
SEM027,DIGAR,Eastern Europe,,,National digital archive/library,national,government,HTML,https://www.digar.ee/,periodical_newspaper;poster_print_object;book_catalogue_text;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Low-Med,P2 source probe,deep_research_seed,candidate_from_matrix,Useful for Estonian print and poster context
SEM028,Periodika.lv,Eastern Europe,,,Periodical portal,institutional,independent,HTML,https://periodika.lv/,periodical_newspaper;poster_print_object,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,thumbnail_only,text-rich,Low,P3 manual/link-only,deep_research_seed,candidate_from_matrix,Valuable for Baltic print and ad history
SEM029,Slovakiana,Eastern Europe,,,National cultural portal,national,government,HTML,https://www.slovakiana.sk/,periodical_newspaper;poster_print_object,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,source_viewer_or_iiif,text-rich,High,P2 source probe,deep_research_seed,candidate_from_matrix,Very useful for object-level rights and identifiers
SEM030,Arcanum Digitheca,Eastern Europe,,,Commercial portal,institutional,independent,HTML,https://adt.arcanum.com/,periodical_newspaper;book_catalogue_text,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,thumbnail_only,text-rich,Low,P5 do not crawl now,deep_research_seed,candidate_from_matrix,"Huge periodical value, but subscription friction"
SEM031,ePaveldas,Eastern Europe,,,National digital heritage portal,national,government,HTML,https://www.epaveldas.lt/,periodical_newspaper;poster_print_object,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,prefer_open_image,text-rich,Med-High,P2 source probe,deep_research_seed,candidate_from_matrix,Good for Baltic print/design history where item rights are exposed
SEM032,DPLA,North America,,,Metadata aggregator,institutional,aggregator,API,https://dp.la/,poster_print_object;authority_context,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,link_only_until_rights_verified,metadata-plus-context,High for metadata; item rights vary,P1 object/image crawl,deep_research_seed,candidate_from_matrix,Excellent discovery layer; not for image hosting
SEM033,Library of Congress,North America,,,National library portal,national,government,API+HTML,https://www.loc.gov/,periodical_newspaper;poster_print_object;book_catalogue_text;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,link_only_until_rights_verified,text-rich,Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,"Massive print, poster, book, periodical relevance"
SEM034,LoC Prints & Photographs API,North America,,,Specialized API,institutional,independent,API,https://www.loc.gov/pictures/api,poster_print_object,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,prefer_open_image,metadata-plus-context,Med,P1 object/image crawl,deep_research_seed,candidate_from_matrix,Very strong poster/print source
SEM035,Smithsonian Open Access,North America,,,Open collection platform,institutional,independent,API+HTML,https://www.si.edu/openaccess,poster_print_object;archive_finding_aid,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=strong,text_only,metadata-plus-context,High,P4 later period support,deep_research_seed,candidate_from_matrix,"Strong design, advertising, print, industrial and cultural history"
SEM036,NYPL Digital Collections,North America,,,Library portal,institutional,library,IIIF+HTML,https://digitalcollections.nypl.org/,periodical_newspaper;poster_print_object,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,"Core source for posters, menus, ephemera, magazines"
SEM037,NYPL API,North America,,,API,institutional,independent,API,https://api.repo.nypl.org/,mixed_discovery,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,source_viewer_or_iiif,metadata-plus-context,High,P4 later period support,deep_research_seed,candidate_from_matrix,Excellent metadata-first ingest
SEM038,Cooper Hewitt Collection,North America,,,Museum collection/API,institutional,museum,API+HTML,https://collection.cooperhewitt.org/,poster_print_object;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,link_only_until_rights_verified,metadata-plus-context,High for metadata; images mixed,P1 object/image crawl,deep_research_seed,candidate_from_matrix,One of the best design-specific sources
SEM039,Art Institute of Chicago API,North America,,,Museum API,institutional,museum,IIIF+API,https://api.artic.edu/,poster_print_object,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,text_only,metadata-plus-context,High,P3 already sampled; use for targeted gap fill only,deep_research_seed,active_in_public_payload,Strong for poster and print history
SEM040,Getty Museum Collection API,North America,,,Museum API,institutional,museum,API,https://data.getty.edu/museum/collection/docs/,mixed_discovery,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,prefer_open_image,metadata-plus-context,High,P4 later period support,deep_research_seed,candidate_from_matrix,Good for design-adjacent material and linked-data modeling
SEM041,Harvard Art Museums API,North America,,,Museum API,institutional,museum,IIIF+API,https://harvardartmuseums.org/collections/api,poster_print_object;book_catalogue_text;authority_context,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,"Strong for posters, prints, books, object relations"
SEM042,Yale LUX,North America,,,Cross-collection linked-data portal,institutional,independent,HTML,https://lux.collections.yale.edu/,authority_context;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,link_only_until_rights_verified,metadata-plus-context,High for metadata,P3 manual/link-only,deep_research_seed,candidate_from_matrix,Excellent graph backbone for people/works/institutions relations
SEM043,Internet Archive Metadata API,North America / Global digital,,,Repository,institutional,aggregator,API+HTML,https://archive.org/,periodical_newspaper;poster_print_object;book_catalogue_text;web_born_digital,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=strong,thumbnail_only,text-rich,Low-Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,Huge periodical and digitized print reservoir; rights highly mixed
SEM044,The Met Collection API,North America,,,Museum API,institutional,museum,API,https://metmuseum.github.io/,poster_print_object,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,text_only,metadata-plus-context,High,P4 later period support,deep_research_seed,candidate_from_matrix,Good for design-adjacent objects and prints
SEM045,National Gallery of Art Open Data,North America,,,Museum data portal,national,government,HTML,https://www.nga.gov/artworks/free-images-and-open-access,poster_print_object,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=strong,text_only,metadata-plus-context,High,P4 later period support,deep_research_seed,candidate_from_matrix,Good for prints and open-image enrichment
SEM046,Digital Commonwealth API,North America,,,Regional aggregator,institutional,aggregator,API,https://www.digitalcommonwealth.org/api,poster_print_object,1830-1930=secondary; 1931-1970=secondary; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,metadata-plus-context,Med,P4 later period support,deep_research_seed,candidate_from_matrix,Useful backup for local print/ephemera connections
SEM047,BNDigital,Latin America,,,National library portal,national,government,HTML,https://bndigital.bn.gov.br/,periodical_newspaper;poster_print_object;book_catalogue_text,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,prefer_open_image,text-rich,Med,P2 source probe,deep_research_seed,candidate_from_matrix,High relevance for Brazilian print culture and visual communication
SEM048,Hemeroteca Digital Brasileira,Latin America,,,Newspaper portal,institutional,independent,HTML,https://bndigital.bn.gov.br/hemeroteca-digital/,periodical_newspaper,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,thumbnail_only,text-rich,Low,P5 do not crawl now,deep_research_seed,candidate_from_matrix,High historical value; fragile current access
SEM049,Memoria Chilena,Latin America,,,Digital resource center,institutional,independent,OAI+HTML,https://www.memoriachilena.gob.cl/,periodical_newspaper;poster_print_object;book_catalogue_text,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med-High,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,"Strong for Chilean print, visual arts, periodicals"
SEM050,Biblioteca Nacional Digital de Chile,Latin America,,,National digital portal,national,government,HTML,https://www.bibliotecanacionaldigital.gob.cl/,periodical_newspaper;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P2 source probe,deep_research_seed,candidate_from_matrix,"Strong for magazines, graphics, photo and music archives"
SEM051,Archivo de la Gráfica Chilena,Latin America,,,Specialized subcollection,institutional,independent,HTML,https://www.bibliotecanacionaldigital.gob.cl/bnd/612/w3-propertyname-672.html,archive_finding_aid,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,source_viewer_or_iiif,metadata-plus-context,Med,P4 later period support,deep_research_seed,candidate_from_matrix,Directly relevant to graphic design history
SEM052,BNd Periódicos,Latin America,,,Specialized subcollection,institutional,independent,HTML,https://www.bibliotecanacionaldigital.gob.cl/bnd/633/w3-channel.html,periodical_newspaper;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P2 source probe,deep_research_seed,candidate_from_matrix,Strong for editorial design and advertising
SEM053,Memórica México,Latin America,,,National memory repository,national,government,HTML,https://memoricamexico.gob.mx/,book_catalogue_text;archive_finding_aid,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P4 later period support,deep_research_seed,candidate_from_matrix,Strong for modern Mexican visual culture context
SEM054,Biblioteca Digital Mexicana,Latin America,,,Multi-institutional portal,institutional,independent,HTML,https://bdmx.mx/,poster_print_object;book_catalogue_text;authority_context,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P2 source probe,deep_research_seed,candidate_from_matrix,Good contextual and bibliographic layer
SEM055,Biblioteca Nacional de Colombia Digital,Latin America,,,National digital library,national,government,HTML,https://www.bibliotecanacional.gov.co/es-co/colecciones/biblioteca-digital/,poster_print_object;book_catalogue_text,1830-1930=secondary; 1931-1970=secondary; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Low-Med,P4 later period support,deep_research_seed,candidate_from_matrix,"Useful for Colombian print, books, editorial history"
SEM056,Biblioteca Pública Piloto Archivo Fotográfico,Latin America,,,Public library photographic archive,institutional,library,HTML,https://bibliotecapiloto.gov.co/archivo-fotografico,poster_print_object;book_catalogue_text;archive_finding_aid,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,thumbnail_only,text-rich,Low-Med,P4 later period support,deep_research_seed,candidate_from_matrix,Important for Medellín visual culture and publishing context
SEM057,Instituto Moreira Salles Acervo,Latin America,,,Cultural institute collection,institutional,independent,HTML,https://ims.com.br/acervo/,poster_print_object;archive_finding_aid,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,source_viewer_or_iiif,metadata-plus-context,Med,P4 later period support,deep_research_seed,candidate_from_matrix,High value for Brazilian photography and visual culture
SEM058,Biblioteca Digital del Patrimonio Iberoamericano,Latin America / Transregional,,,Aggregator,institutional,aggregator,HTML,https://www.iberoamericadigital.net/,periodical_newspaper;book_catalogue_text,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,link_only_until_rights_verified,text-rich,Low-Med,P3 authority enrichment,deep_research_seed,candidate_from_matrix,Useful non-Anglophone discovery layer
SEM059,Biblioteca Nacional Mariano Moreno,Latin America,,,National library portal,national,government,HTML,https://www.bn.gob.ar/,book_catalogue_text;archive_finding_aid,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,thumbnail_only,text-rich,Low,P4 later period support,deep_research_seed,candidate_from_matrix,High value but low-friction online ingest still limited
SEM060,Archivo de Historieta y Humor Gráfico Argentinos,Latin America,,,Specialized collection,institutional,independent,HTML,https://www.bn.gob.ar/horarios,archive_finding_aid,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,link_only_until_rights_verified,metadata-plus-context,Low,P4 later period support,deep_research_seed,candidate_from_matrix,"Directly relevant, but not yet machine-friendly in this sweep"
SEM061,Japan Search,East Asia,,,National aggregator,national,government,API+HTML,https://jpsearch.go.jp/,poster_print_object;archive_finding_aid,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,link_only_until_rights_verified,metadata-plus-context,Med,P4 later period support,deep_research_seed,candidate_from_matrix,Strong discovery layer for Japanese print and design sources
SEM062,NDL Digital Collections,East Asia,,,National library digital portal,national,government,IIIF+API+HTML,https://dl.ndl.go.jp/,periodical_newspaper;poster_print_object;book_catalogue_text,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,prefer_open_image,text-rich,Med-High,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,Core Japanese print culture source
SEM063,NDL Search,East Asia,,,National discovery service,national,government,OAI+API+HTML,https://iss.ndl.go.jp/,authority_context,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,link_only_until_rights_verified,metadata-plus-context,High,P3 manual/link-only,deep_research_seed,candidate_from_matrix,Excellent metadata-first backbone
SEM064,Web NDL Authorities,East Asia,,,Authority service,institutional,independent,API+HTML,https://id.ndl.go.jp/auth/ndlna/,authority_context,1830-1930=secondary; 1931-1970=secondary; 1971-2000=strong; 2001-2026=strong,link_only_until_rights_verified,metadata-plus-context,High,P4 later period support,deep_research_seed,candidate_from_matrix,Valuable authority layer for names/subjects/media
SEM065,NDL Image Bank,East Asia,,,Visual subset,institutional,independent,HTML,https://www.ndl.go.jp/en/imagebank,periodical_newspaper;poster_print_object;book_catalogue_text,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,prefer_open_image,text-rich,Med,P2 source probe,deep_research_seed,candidate_from_matrix,Good starter set for visual culture and exhibition-context ingest
SEM066,National Palace Museum Open Data,East Asia,,,Museum open-data portal,national,government,HTML,https://theme.npm.edu.tw/opendata,poster_print_object,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=strong,text_only,metadata-plus-context,High,P4 later period support,deep_research_seed,candidate_from_matrix,Better as model for Asian open image policy than as design-history core
SEM067,Taiwan Cultural Memory Bank,East Asia,,,National cultural aggregator,national,government,HTML,https://tcmb.culture.tw/,book_catalogue_text;archive_finding_aid,1830-1930=secondary; 1931-1970=secondary; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P4 later period support,deep_research_seed,candidate_from_matrix,Strong for Taiwanese regional design and visual culture context
SEM068,M+ Collections Open Data/API,East Asia,,,Museum metadata platform,institutional,museum,API+HTML,https://www.mplus.org.hk/en/about-the-collection/,mixed_discovery,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=strong,link_only_until_rights_verified,metadata-plus-context,High for metadata,P4 later period support,deep_research_seed,candidate_from_matrix,One of the best non-Western design-history metadata sources
SEM069,Hong Kong Memory,East Asia,,,Public heritage portal,institutional,independent,HTML,https://www.hkmemory.hk/,poster_print_object,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,thumbnail_only,metadata-plus-context,Low-Med,P4 later period support,deep_research_seed,candidate_from_matrix,"High local value for print, publishing, public culture"
SEM070,National Library of Korea Open API,East Asia,,,National library API,national,government,API+HTML,https://www.nl.go.kr/,periodical_newspaper;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,link_only_until_rights_verified,text-rich,Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,Useful for Korean publishing and periodical metadata
SEM071,Korean Newspaper Archive,East Asia,,,Newspaper portal,institutional,independent,HTML,https://www.nl.go.kr/EN/contents/EN35200000000.do,periodical_newspaper,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P2 source probe,deep_research_seed,candidate_from_matrix,Strong for Korean ad/layout history
SEM072,Shanghai Library Open Data,East Asia,,,Linked open data platform,institutional,library,API,https://data.library.sh.cn/,book_catalogue_text;authority_context,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=strong,link_only_until_rights_verified,text-rich,High,P4 later period support,deep_research_seed,candidate_from_matrix,Excellent for linked-data authority enrichment
SEM073,National Library of China,East Asia,,,National library portal,national,government,HTML,https://www.nlc.cn/enweb/,periodical_newspaper;book_catalogue_text,1830-1930=strong; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,thumbnail_only,text-rich,Low-Med,P3 manual/link-only,deep_research_seed,candidate_from_matrix,High cultural value; mixed remote access and rights
SEM074,NLB Labs,Southeast Asia,,,Library API hub,institutional,library,API,https://www.nlb.gov.sg/main/partner-us/contribute-and-create-with-us/NLBLabs,mixed_discovery,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,link_only_until_rights_verified,metadata-plus-context,Med,P4 later period support,deep_research_seed,candidate_from_matrix,Strong Singapore launch layer
SEM075,NewspaperSG,Southeast Asia,,,Newspaper portal,institutional,independent,HTML,https://eresources.nlb.gov.sg/newspapers/,periodical_newspaper;poster_print_object,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Low-Med,P2 source probe,deep_research_seed,candidate_from_matrix,Excellent for Singapore/Malaya advertising and print culture
