surface_id,source_record_id,source_record_url,item_json_url,title,repair_family,weighted_gap_points,local_image_state,fetch_status,http_status,rights_signal,rights_text_excerpt,image_url_count,first_image_url_excerpt,recommendation,automatic_upgrade_allowed,notes
SURF-ER1830R011,2008677258,https://www.loc.gov/pictures/item/2008677258/,https://www.loc.gov/pictures/item/2008677258/?fo=json,"Use Getz cockroach and bed bug exterminators, sold by all druggists I sink I tan hit it.",img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,7,https://cdn.loc.gov/service/pnp/ppmsca/18400/18408r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R014,98513156,https://www.loc.gov/pictures/item/98513156/,https://www.loc.gov/pictures/item/98513156/?fo=json,WPA Federal Art Project exhibition - mural studies,img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,3,https://cdn.loc.gov/service/pnp/cph/3b40000/3b48000/3b48800/3b48889r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R031,92510123,https://www.loc.gov/pictures/item/92510123/,https://www.loc.gov/pictures/item/92510123/?fo=json,"WPA Federal Art Project exhibition, 77 Newbury St., Boston, Nov. 28, Dec. 10, 1938",img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,6,https://cdn.loc.gov/service/pnp/cph/3b40000/3b48000/3b48700/3b48728r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R015,2001695223,https://www.loc.gov/pictures/item/2001695223/,https://www.loc.gov/pictures/item/2001695223/?fo=json,WPA Federal Theatre [presents] If ye break faith,img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,3,https://cdn.loc.gov/service/pnp/cph/3b40000/3b49000/3b49000/3b49035r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R034,98513244,https://www.loc.gov/pictures/item/98513244/,https://www.loc.gov/pictures/item/98513244/?fo=json,"WPA exhibition [of] Dorothy Loeb [and] Blanche Lazzell Federal Art Gallery, 77 Newbury St. Boston /",img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,4,https://cdn.loc.gov/service/pnp/cph/3f00000/3f05000/3f05200/3f05286r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R035,98513249,https://www.loc.gov/pictures/item/98513249/,https://www.loc.gov/pictures/item/98513249/?fo=json,"WPA exhibition [of] Dorothy Loeb [and] Blanche Lazzell Federal Art Gallery, 77 Newbury St. Boston /",img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,4,https://cdn.loc.gov/service/pnp/cph/3f00000/3f05000/3f05200/3f05287r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R016,98518022,https://www.loc.gov/pictures/item/98518022/,https://www.loc.gov/pictures/item/98518022/?fo=json,"WPA exhibition water colors [and] prints, Federal Art Gallery /",img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R017,98513298,https://www.loc.gov/pictures/item/98513298/,https://www.loc.gov/pictures/item/98513298/?fo=json,"WPA federal art regional exhibit, Montclair Museum Easel painting, graphic arts, poster display, index of design.",img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R036,93511160,https://www.loc.gov/pictures/item/93511160/,https://www.loc.gov/pictures/item/93511160/?fo=json,WPA rumor,img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R018,98513183,https://www.loc.gov/pictures/item/98513183/,https://www.loc.gov/pictures/item/98513183/?fo=json,"WPA water colors, prints exhibition, Federal Art Gallery",img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R019,98513191,https://www.loc.gov/pictures/item/98513191/,https://www.loc.gov/pictures/item/98513191/?fo=json,"WPA women painters, Federal Art Gallery, 50 Beacon St., Boston",img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R037,2017700651,https://www.loc.gov/pictures/item/2017700651/,https://www.loc.gov/pictures/item/2017700651/?fo=json,"WPB (War Production Board) poster. This is the official poster which may be displayed on all construction work costing over five hundred thousand dollars with certain exceptions, to show that the work has been authorized by the WPA (Work Projects Administration)",img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R020,98514973,https://www.loc.gov/pictures/item/98514973/,https://www.loc.gov/pictures/item/98514973/?fo=json,"Who's who in the zoo Illustrated natural history prepared by the WPA Federal Writers Project : On sale at all book stores, zoos, and museums.",img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R021,2005682800,https://www.loc.gov/pictures/item/2005682800/,https://www.loc.gov/pictures/item/2005682800/?fo=json,Work Projects Administration poster collection (Library of Congress),img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R017,2014646356,https://www.loc.gov/pictures/item/2014646356/,https://www.loc.gov/pictures/item/2014646356/?fo=json,"[Advertising card for play ""Deacon Crankett""]",img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R019,2015651615,https://www.loc.gov/pictures/item/2015651615/,https://www.loc.gov/pictures/item/2015651615/?fo=json,"[Santa with toys in a sleigh, drawn by reindeer, with a church on the right and another in the distance]",img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R020,2015651614,https://www.loc.gov/pictures/item/2015651614/,https://www.loc.gov/pictures/item/2015651614/?fo=json,"[Ship at sea, under full sail, with five men in a rowboat under a partially obscured full moon]",img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R023,98515024,https://www.loc.gov/pictures/item/98515024/,https://www.loc.gov/pictures/item/98515024/?fo=json,[WPA poster design on blue background showing the head and hands of a woman holding flowers and wheat above a blank banner],img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R024,98515025,https://www.loc.gov/pictures/item/98515025/,https://www.loc.gov/pictures/item/98515025/?fo=json,[WPA poster design on red background showing the head and hands of a woman holding flowers and wheat above a blank banner],img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R025,98515019,https://www.loc.gov/pictures/item/98515019/,https://www.loc.gov/pictures/item/98515019/?fo=json,[WPA poster design showing the head and hands of a woman holding flowers and wheat above a blank banner],img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R021,2015651618,https://www.loc.gov/pictures/item/2015651618/,https://www.loc.gov/pictures/item/2015651618/?fo=json,[Winter outing with people riding in horse-drawn sleighs across a snow covered landscape toward a church in the distance],img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R022,2015651616,https://www.loc.gov/pictures/item/2015651616/,https://www.loc.gov/pictures/item/2015651616/?fo=json,"[Winter scene with frozen waterwheel, a man with horse team and load of logs, and a church in the distance, under a full moon]",img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R023,2015651617,https://www.loc.gov/pictures/item/2015651617/,https://www.loc.gov/pictures/item/2015651617/?fo=json,"[Winter scene with horse team hauling logs on a sledge past a windmill, with snow covered landscape, under a full moon]",img01_item_image_and_rights_review,0.70,IMG01,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R008,2007675841,https://www.loc.gov/pictures/item/2007675841/,https://www.loc.gov/pictures/item/2007675841/?fo=json,Gardner's photographic advertising card,img04_text_state_review,1.00,IMG04,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R062,2010645616,https://www.loc.gov/pictures/item/2010645616/,https://www.loc.gov/pictures/item/2010645616/?fo=json,"Moore, crayon artist and photographer",img04_text_state_review,1.00,IMG04,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R024,2010645617,https://www.loc.gov/pictures/item/2010645617/,https://www.loc.gov/pictures/item/2010645617/?fo=json,Pluto,img04_text_state_review,1.00,IMG04,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R013,2010634800,https://www.loc.gov/pictures/item/2010634800/,https://www.loc.gov/pictures/item/2010634800/?fo=json,Preliminary drawings for See American WPA poster,img04_text_state_review,1.00,IMG04,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R040,2010633532,https://www.loc.gov/pictures/item/2010633532/,https://www.loc.gov/pictures/item/2010633532/?fo=json,"To speak up for democracy read up on democracy; 1791/1941 Freedom of expression and religion, Freedom from want & fear everywhere in the world-FDR; All out for defense of democracy; Strengthen good neighbor policy [WPA posters]",img04_text_state_review,1.00,IMG04,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R063,2020633675,https://www.loc.gov/pictures/item/2020633675/,https://www.loc.gov/pictures/item/2020633675/?fo=json,[Liebig Company trade cards],img04_text_state_review,1.00,IMG04,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R029,2010646974,https://www.loc.gov/pictures/item/2010646974/,https://www.loc.gov/pictures/item/2010646974/?fo=json,[Liebig's Extract of Meat Company trade card sets],img04_text_state_review,1.00,IMG04,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R018,2010635174,https://www.loc.gov/pictures/item/2010635174/,https://www.loc.gov/pictures/item/2010635174/?fo=json,[Pearsall Photography Studio trade card],img04_text_state_review,1.00,IMG04,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R008,2010633924,https://www.loc.gov/pictures/item/2010633924/,https://www.loc.gov/pictures/item/2010633924/?fo=json,"[Poster designs for WPA, Army, Air Force, Fitzsimmons General Hospital Reconditioning Service]",img04_text_state_review,1.00,IMG04,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R004,2010646699,https://www.loc.gov/pictures/item/2010646699/,https://www.loc.gov/pictures/item/2010646699/?fo=json,[Trade card for McKay Iron and Locomotive Works and an Arkansas railroad],img04_text_state_review,1.00,IMG04,ok,200,item_level_open_rights_text,"Served by appointment (Unprocessed). To make a request, see ""Access to Unprocessed Materials,"" http://www.loc.gov/rr/print/info/022_unpr.html; No known restrictions on publication.",0,,keep_img04_or_text_until_visual_source_found,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R041,2010632762,https://www.loc.gov/pictures/item/2010632762/,https://www.loc.gov/pictures/item/2010632762/?fo=json,[WPA  posters for American Guide Week and Hoosier Folklore],img04_text_state_review,1.00,IMG04,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R022,2010651945,https://www.loc.gov/pictures/item/2010651945/,https://www.loc.gov/pictures/item/2010651945/?fo=json,[WPA Federal Music Project posters announcing Ernst Bacon musical events],img04_text_state_review,1.00,IMG04,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R026,2010646678,https://www.loc.gov/pictures/item/2010646678/,https://www.loc.gov/pictures/item/2010646678/?fo=json,[WPA posters],img04_text_state_review,1.00,IMG04,rate_limited,429,no_item_rights_text,,0,,retry_later_rate_limited,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
