media_id,term,term_type,definition,date_start,date_end,date_text,relation_to_graphic_design,associated_source_types,required_metadata_fields,search_keywords,rights_display_issues,authority_scheme,authority_id
MT012,Dry transfer,technology/material,Rub-down transfer lettering,1960,1999,1960s-1990s,paste-up-era design labor,studio archives; product ephemera,brand; sheet; size,dry transfer; Letraset,product imagery and scans may be restricted,,
MT013,Letraset,brand/system,Dry-transfer brand/system,1960,1999,1960s-1990s,material culture of layout and comps,type archives; private collections,brand; set number; font,Letraset,trademark and scan reuse issues,,
MT014,Paste-up,production method,Manual page assembly,1900,1999,20th c.,production method for editorial and advertising,studio archives; mechanicals,board size; overlays; proofs,paste-up; mechanical art,often unique working documents,,
MT015,Mechanical artwork,production artifact,Camera-ready production art,1900,1999,20th c.,key prepress artifact,studio archives,proof stage; crop marks; instructions,mechanical; comp; stat,often unpublished and high-risk,,
MT016,Type specimen,format,Sample publication for typefaces,1500,,16th c.-present,central evidence for type history,type archives; libraries,foundry; font; issue_date,type specimen; foundry specimen,older specimens low-risk; recent PDFs high-risk,,
MT017,Magazine,format,Serial periodical issue,1700,,18th c.-present,"editorial systems, art direction, typography",periodical archives,title; issue; volume; date; page span,magazine; periodical; issue,issue-level rights vary strongly,,
MT018,Newspaper,format,Serial news publication,1600,,17th c.-present,"grids, public communication, ads",newspaper archives,title; issue_date; edition; page,newspaper; daily; gazette,public-domain status depends on date/jurisdiction,,
MT019,Poster,format,Single-sheet public print,1800,,19th c.-present,canonical graphic design object,poster archives; museum collections,dimensions; edition; venue; event,poster; affiche; placard,often high-risk after 20th c.,,
MT020,Book jacket,format,Printed book wrapper,1890,,late 19th c.-present,publishing and retail graphics,library jackets; publisher archives,book_id; jacket_designer; edition,dust jacket; book jacket,modern jackets usually copyrighted,,
MT021,Exhibition catalogue,format,Exhibition publication,1800,,19th c.-present,exhibition graphics and canon formation,museum libraries; IA; HathiTrust,exhibition; venue; dates; ISBN,exhibition catalogue,often text rights and image rights mixed,,
MT022,Corporate identity manual,format,Standards document for identity program,1950,,1950s-present,primary evidence for systems design,company archives; design archives,client; version; section,identity manual; standards manual,typically high-risk; link-only safest,,
MT023,Packaging,format/object type,Container / wrapper graphics,,,long duration,branding and commodity culture,museum collections; trade ephemera,product; brand; material; market,packaging; wrapper; carton; label,trademarks and trade dress complicate reuse,,
MT024,Signage,format/system,Environmental sign object/system,1900,,20th c.-present,public visual communication,museum collections; transit archives,site; system; component,sign; signage system,modern public-sign imagery may be fine; manuals less so,,
MT025,Wayfinding,system,Navigational graphic system,1900,,20th c.-present,systems and information design,transit/civic archives,site; phase; pictogram set,wayfinding; orientation system,usually high-risk if manual drawings reused,,
MT026,Map,format,Spatial graphic representation,,,long duration,information design and public communication,libraries; government archives,scale; projection; place,map; transit map; route map,rights vary by date and jurisdiction,,
MT027,Information graphic,format,Diagram/chart/visual explanation,1800,,19th c.-present,data visualization lineage,magazines; books; public agencies,data_source; chart_type,infographic; chart; diagram,often embedded within copyrighted page layouts,,
MT028,Zine,format,Small-circulation DIY publication,1900,,20th c.-present,subculture and counterpublic print,QZAP; community archives,issue; collective; scene; copier,zine; fanzine; minicomic,high rights/privacy sensitivity,,
MT029,Website,format,Networked page/site,1990,,1990s-present,core born-digital design format,web archives,url; capture_date; platform,website; homepage; microsite,"copyright, privacy, scripts, dynamic capture issues",,
MT030,Interface,format/system,Screen-based user interface,1980,,1980s-present,graphic design in software context,design-system docs; screenshots,version; viewport; OS; state,interface; ui; screen,screenshots may implicate software trademarks/IP,,
MT031,Digital font,software/format,Font software file and release,1980,,1980s-present,central to digital typography,foundry sites; type archives,font_name; version; format; foundry,otf; ttf; variable font,fonts are licensed software; never ingest binaries without permission,,
MT032,Template,format,Reusable layout or asset package,2000,,2000s-present,platformized design labor,marketplaces; brand systems,template_name; platform; dimensions,template; pack; social template,usually not safe to copy; metadata-only,,
MT033,Social media graphic,format,Post/story/feed asset,2010,,2010s-present,platform-native visual communication,web/social archives,platform; post_date; aspect_ratio,post graphic; story graphic,high risk; often link/screenshot only with context,,
MT034,Motion graphic,format,Animated visual communication asset,1980,,late 20th c.-present,extension of graphic design into time,video archives; studio reels,duration; codec; soundtrack,motion graphic; title sequence,rights often layered and complex,,
MT035,Generative visual system,system,Rule-based or code-based visual output,1960,,1960s experiments; current mainstream,procedural design and adaptive systems,repositories; exhibitions,algorithm; seed; runtime; output_type,generative system; algorithmic poster,"document code, model, prompt, version; do not treat outputs as self-authenticating evidence",,
