query_index,macro,country,object_term,query,status,added,rows_after,rejects_delta,failures_delta,elapsed_seconds
49,_infer,_infer,film poster,"""2023"" ""film poster""",completed,1,92,99,0,572.1
50,_infer,_infer,travel poster,"""2023"" ""travel poster""",completed,0,92,100,0,576.4
51,_infer,_infer,advertising poster,"""2023"" ""advertising poster""",completed,0,92,100,0,581.9
52,_infer,_infer,advertisement,"""2023"" ""advertisement""",completed,1,93,99,0,605.0
53,_infer,_infer,book cover,"""2023"" ""book cover""",completed,2,95,98,0,612.2
54,_infer,_infer,magazine cover,"""2023"" ""magazine cover""",completed,2,97,98,0,643.9
55,_infer,_infer,trade card,"""2023"" ""trade card""",completed,2,99,44,0,650.8
56,_infer,_infer,label,"""2023"" ""label""",completed,0,99,100,0,672.7
57,_infer,_infer,packaging,"""2023"" ""packaging""",completed,0,99,50,0,679.7
58,_infer,_infer,brochure,"""2023"" ""brochure""",completed,2,101,98,0,698.2
59,_infer,_infer,pamphlet,"""2023"" ""pamphlet""",completed,5,106,95,0,717.0
60,_infer,_infer,type specimen,"""2023"" ""type specimen""",completed,1,107,63,0,724.4
61,_infer,_infer,poster,"""2022"" ""poster""",completed,1,108,99,0,733.9
62,_infer,_infer,political poster,"""2022"" ""political poster""",completed,1,109,99,0,738.7
63,_infer,_infer,propaganda poster,"""2022"" ""propaganda poster""",completed,1,110,99,0,744.1
64,_infer,_infer,film poster,"""2022"" ""film poster""",completed,1,111,99,0,756.2
65,_infer,_infer,travel poster,"""2022"" ""travel poster""",completed,0,111,100,0,760.8
66,_infer,_infer,advertising poster,"""2022"" ""advertising poster""",completed,0,111,100,0,765.8
67,_infer,_infer,advertisement,"""2022"" ""advertisement""",failed,0,111,0,1,796.1
68,_infer,_infer,book cover,"""2022"" ""book cover""",completed,1,112,99,0,804.0
69,_infer,_infer,magazine cover,"""2022"" ""magazine cover""",completed,2,114,98,0,812.4
70,_infer,_infer,trade card,"""2022"" ""trade card""",completed,0,114,24,0,819.8
71,_infer,_infer,label,"""2022"" ""label""",completed,3,117,97,0,834.3
72,_infer,_infer,packaging,"""2022"" ""packaging""",completed,2,119,98,0,843.8
73,_infer,_infer,brochure,"""2022"" ""brochure""",completed,1,120,99,0,857.7
74,_infer,_infer,pamphlet,"""2022"" ""pamphlet""",completed,1,121,99,0,889.7
75,_infer,_infer,type specimen,"""2022"" ""type specimen""",completed,0,121,100,0,900.8
76,_infer,_infer,poster,"""2021"" ""poster""",completed,2,123,98,0,908.6
77,_infer,_infer,political poster,"""2021"" ""political poster""",completed,0,123,100,0,912.9
78,_infer,_infer,propaganda poster,"""2021"" ""propaganda poster""",completed,0,123,100,0,918.1
79,_infer,_infer,film poster,"""2021"" ""film poster""",completed,1,124,99,0,941.5
80,_infer,_infer,travel poster,"""2021"" ""travel poster""",completed,0,124,100,0,946.1
81,_infer,_infer,advertising poster,"""2021"" ""advertising poster""",completed,3,127,97,0,951.3
82,_infer,_infer,advertisement,"""2021"" ""advertisement""",completed,1,128,99,0,961.3
83,_infer,_infer,book cover,"""2021"" ""book cover""",completed,2,130,98,0,967.9
84,_infer,_infer,magazine cover,"""2021"" ""magazine cover""",failed,2,132,48,1,987.6
85,_infer,_infer,trade card,"""2021"" ""trade card""",completed,0,132,15,0,996.5
86,_infer,_infer,label,"""2021"" ""label""",completed,33,165,67,0,1010.3
87,_infer,_infer,packaging,"""2021"" ""packaging""",completed,3,168,97,0,1019.7
88,_infer,_infer,brochure,"""2021"" ""brochure""",completed,1,169,99,0,1029.1
89,_infer,_infer,pamphlet,"""2021"" ""pamphlet""",completed,1,170,99,0,1041.2
90,_infer,_infer,type specimen,"""2021"" ""type specimen""",completed,2,172,83,0,1065.0
91,_infer,_infer,poster,"""2020"" ""poster""",completed,0,172,100,0,1074.0
92,_infer,_infer,political poster,"""2020"" ""political poster""",completed,0,172,100,0,1078.5
93,_infer,_infer,propaganda poster,"""2020"" ""propaganda poster""",completed,0,172,100,0,1083.2
94,_infer,_infer,film poster,"""2020"" ""film poster""",completed,0,172,76,0,1089.0
95,_infer,_infer,travel poster,"""2020"" ""travel poster""",failed,0,172,0,1,1105.8
96,_infer,_infer,advertising poster,"""2020"" ""advertising poster""",completed,0,172,100,0,1116.7
97,_infer,_infer,advertisement,"""2020"" ""advertisement""",completed,1,173,99,0,1145.4
98,_infer,_infer,book cover,"""2020"" ""book cover""",completed,2,175,98,0,1151.8
99,_infer,_infer,magazine cover,"""2020"" ""magazine cover""",completed,1,176,99,0,1158.5
100,_infer,_infer,trade card,"""2020"" ""trade card""",completed,0,176,14,0,1161.6
101,_infer,_infer,label,"""2020"" ""label""",completed,0,176,100,0,1196.1
102,_infer,_infer,packaging,"""2020"" ""packaging""",completed,4,180,96,0,1205.9
103,_infer,_infer,brochure,"""2020"" ""brochure""",empty,0,180,0,0,1208.3
104,_infer,_infer,pamphlet,"""2020"" ""pamphlet""",completed,2,182,98,0,1219.2
105,_infer,_infer,type specimen,"""2020"" ""type specimen""",completed,27,209,73,0,1230.7
106,_infer,_infer,poster,"""2019"" ""poster""",completed,2,211,98,0,1236.8
107,_infer,_infer,political poster,"""2019"" ""political poster""",completed,0,211,100,0,1241.1
108,_infer,_infer,propaganda poster,"""2019"" ""propaganda poster""",completed,0,211,100,0,1245.3
109,_infer,_infer,film poster,"""2019"" ""film poster""",completed,2,213,83,0,1251.2
110,_infer,_infer,travel poster,"""2019"" ""travel poster""",completed,0,213,100,0,1255.8
111,_infer,_infer,advertising poster,"""2019"" ""advertising poster""",failed,0,213,0,1,1272.6
112,_infer,_infer,advertisement,"""2019"" ""advertisement""",completed,2,215,98,0,1299.9
113,_infer,_infer,book cover,"""2019"" ""book cover""",completed,3,218,97,0,1306.1
114,_infer,_infer,magazine cover,"""2019"" ""magazine cover""",completed,0,218,100,0,1312.4
115,_infer,_infer,trade card,"""2019"" ""trade card""",completed,0,218,9,0,1315.3
116,_infer,_infer,label,"""2019"" ""label""",completed,0,218,100,0,1323.2
117,_infer,_infer,packaging,"""2019"" ""packaging""",failed,0,218,0,1,1340.2
118,_infer,_infer,brochure,"""2019"" ""brochure""",empty,0,218,0,0,1358.7
119,_infer,_infer,pamphlet,"""2019"" ""pamphlet""",completed,0,218,100,0,1370.1
120,_infer,_infer,type specimen,"""2019"" ""type specimen""",completed,1,219,93,0,1380.2
121,_infer,_infer,poster,"""2018"" ""poster""",completed,0,219,100,0,1388.7
122,_infer,_infer,political poster,"""2018"" ""political poster""",completed,0,219,100,0,1393.6
123,_infer,_infer,propaganda poster,"""2018"" ""propaganda poster""",completed,0,219,100,0,1415.0
124,_infer,_infer,film poster,"""2018"" ""film poster""",completed,0,219,95,0,1421.9
125,_infer,_infer,travel poster,"""2018"" ""travel poster""",completed,0,219,100,0,1427.0
126,_infer,_infer,advertising poster,"""2018"" ""advertising poster""",completed,0,219,100,0,1431.9
127,_infer,_infer,advertisement,"""2018"" ""advertisement""",completed,1,220,99,0,1454.9
128,_infer,_infer,book cover,"""2018"" ""book cover""",completed,1,221,99,0,1477.9
129,_infer,_infer,magazine cover,"""2018"" ""magazine cover""",completed,2,223,68,0,1483.7
130,_infer,_infer,trade card,"""2018"" ""trade card""",completed,0,223,100,0,1492.3
131,_infer,_infer,label,"""2018"" ""label""",completed,0,223,100,0,1504.5
132,_infer,_infer,packaging,"""2018"" ""packaging""",completed,3,226,97,0,1513.0
133,_infer,_infer,brochure,"""2018"" ""brochure""",completed,1,227,99,0,1538.9
134,_infer,_infer,pamphlet,"""2018"" ""pamphlet""",completed,4,231,96,0,1551.8
135,_infer,_infer,type specimen,"""2018"" ""type specimen""",completed,0,231,100,0,1559.7
136,_infer,_infer,poster,"""2017"" ""poster""",completed,0,231,100,0,1569.5
137,_infer,_infer,political poster,"""2017"" ""political poster""",completed,1,232,99,0,1576.0
138,_infer,_infer,propaganda poster,"""2017"" ""propaganda poster""",completed,0,232,100,0,1597.4
139,_infer,_infer,film poster,"""2017"" ""film poster""",completed,0,232,100,0,1604.1
140,_infer,_infer,travel poster,"""2017"" ""travel poster""",completed,0,232,100,0,1608.8
141,_infer,_infer,advertising poster,"""2017"" ""advertising poster""",completed,0,232,100,0,1613.4
142,_infer,_infer,advertisement,"""2017"" ""advertisement""",completed,1,233,99,0,1625.5
143,_infer,_infer,book cover,"""2017"" ""book cover""",failed,0,233,50,1,1644.8
144,_infer,_infer,magazine cover,"""2017"" ""magazine cover""",completed,5,238,84,0,1656.7
145,_infer,_infer,trade card,"""2017"" ""trade card""",completed,0,238,45,0,1663.4
146,_infer,_infer,label,"""2017"" ""label""",completed,6,244,94,0,1673.0
147,_infer,_infer,packaging,"""2017"" ""packaging""",completed,0,244,50,0,1681.4
148,_infer,_infer,brochure,"""2017"" ""brochure""",empty,0,244,0,0,1683.2
149,_infer,_infer,pamphlet,"""2017"" ""pamphlet""",failed,0,244,50,1,1704.3
150,_infer,_infer,type specimen,"""2017"" ""type specimen""",completed,10,254,90,0,1718.6
151,_infer,_infer,poster,"""2016"" ""poster""",completed,3,257,97,0,1726.1
152,_infer,_infer,political poster,"""2016"" ""political poster""",completed,0,257,100,0,1731.0
153,_infer,_infer,propaganda poster,"""2016"" ""propaganda poster""",completed,0,257,100,0,1736.2
154,_infer,_infer,film poster,"""2016"" ""film poster""",completed,2,259,98,0,1742.9
155,_infer,_infer,travel poster,"""2016"" ""travel poster""",failed,0,259,0,1,1759.7
156,_infer,_infer,advertising poster,"""2016"" ""advertising poster""",completed,0,259,100,0,1780.8
157,_infer,_infer,advertisement,"""2016"" ""advertisement""",completed,1,260,99,0,1800.4
158,_infer,_infer,book cover,"""2016"" ""book cover""",completed,2,262,98,0,1806.4
159,_infer,_infer,magazine cover,"""2016"" ""magazine cover""",completed,1,263,99,0,1812.9
160,_infer,_infer,trade card,"""2016"" ""trade card""",completed,0,263,30,0,1818.2
161,_infer,_infer,label,"""2016"" ""label""",completed,2,265,98,0,1843.3
162,_infer,_infer,packaging,"""2016"" ""packaging""",completed,2,267,48,0,1848.5
163,_infer,_infer,brochure,"""2016"" ""brochure""",empty,0,267,0,0,1850.7
164,_infer,_infer,pamphlet,"""2016"" ""pamphlet""",completed,1,268,99,0,1861.3
165,_infer,_infer,type specimen,"""2016"" ""type specimen""",completed,0,268,100,0,1868.9
166,_infer,_infer,poster,"""2015"" ""poster""",completed,1,269,99,0,1895.1
167,_infer,_infer,political poster,"""2015"" ""political poster""",completed,0,269,100,0,1901.5
168,_infer,_infer,propaganda poster,"""2015"" ""propaganda poster""",completed,1,270,99,0,1907.3
169,_infer,_infer,film poster,"""2015"" ""film poster""",completed,0,270,100,0,1914.3
170,_infer,_infer,travel poster,"""2015"" ""travel poster""",completed,0,270,100,0,1919.5
171,_infer,_infer,advertising poster,"""2015"" ""advertising poster""",failed,0,270,50,1,1938.9
172,_infer,_infer,advertisement,"""2015"" ""advertisement""",completed,0,270,100,0,1967.3
173,_infer,_infer,book cover,"""2015"" ""book cover""",completed,0,270,100,0,1974.4
174,_infer,_infer,magazine cover,"""2015"" ""magazine cover""",empty,0,270,0,0,1976.0
175,_infer,_infer,trade card,"""2015"" ""trade card""",completed,1,271,46,0,1981.8
176,_infer,_infer,label,"""2015"" ""label""",completed,5,276,95,0,2006.4
177,_infer,_infer,packaging,"""2015"" ""packaging""",completed,0,276,100,0,2015.4
178,_infer,_infer,brochure,"""2015"" ""brochure""",completed,1,277,49,0,2020.9
179,_infer,_infer,pamphlet,"""2015"" ""pamphlet""",completed,0,277,100,0,2030.7
180,_infer,_infer,type specimen,"""2015"" ""type specimen""",completed,0,277,100,0,2037.7
181,_infer,_infer,poster,"""2014"" ""poster""",completed,0,277,100,0,2046.3
182,_infer,_infer,political poster,"""2014"" ""political poster""",failed,0,277,50,1,2065.4
183,_infer,_infer,propaganda poster,"""2014"" ""propaganda poster""",completed,0,277,100,0,2076.8
184,_infer,_infer,film poster,"""2014"" ""film poster""",completed,2,279,98,0,2083.6
185,_infer,_infer,travel poster,"""2014"" ""travel poster""",completed,0,279,100,0,2088.6
186,_infer,_infer,advertising poster,"""2014"" ""advertising poster""",completed,0,279,100,0,2094.1
187,_infer,_infer,advertisement,"""2014"" ""advertisement""",completed,0,279,100,0,2112.6
188,_infer,_infer,book cover,"""2014"" ""book cover""",completed,4,283,96,0,2135.4
189,_infer,_infer,magazine cover,"""2014"" ""magazine cover""",completed,0,283,100,0,2142.8
190,_infer,_infer,trade card,"""2014"" ""trade card""",completed,0,283,19,0,2145.9
191,_infer,_infer,label,"""2014"" ""label""",completed,6,289,94,0,2159.4
192,_infer,_infer,packaging,"""2014"" ""packaging""",completed,0,289,50,0,2164.2
193,_infer,_infer,brochure,"""2014"" ""brochure""",failed,0,289,0,1,2180.9
194,_infer,_infer,pamphlet,"""2014"" ""pamphlet""",completed,2,291,98,0,2206.3
195,_infer,_infer,type specimen,"""2014"" ""type specimen""",completed,0,291,100,0,2217.9
196,_infer,_infer,poster,"""2013"" ""poster""",completed,0,291,100,0,2226.1
197,_infer,_infer,political poster,"""2013"" ""political poster""",completed,0,291,100,0,2231.1
198,_infer,_infer,propaganda poster,"""2013"" ""propaganda poster""",completed,0,291,100,0,2235.4
199,_infer,_infer,film poster,"""2013"" ""film poster""",completed,0,291,100,0,2258.1
200,_infer,_infer,travel poster,"""2013"" ""travel poster""",completed,0,291,100,0,2262.5
201,_infer,_infer,advertising poster,"""2013"" ""advertising poster""",completed,0,291,100,0,2267.1
202,_infer,_infer,advertisement,"""2013"" ""advertisement""",completed,0,291,100,0,2281.4
203,_infer,_infer,book cover,"""2013"" ""book cover""",completed,4,295,96,0,2288.1
204,_infer,_infer,magazine cover,"""2013"" ""magazine cover""",failed,0,295,0,1,2305.0
205,_infer,_infer,trade card,"""2013"" ""trade card""",completed,1,296,36,0,2314.8
206,_infer,_infer,label,"""2013"" ""label""",completed,2,298,98,0,2334.5
207,_infer,_infer,packaging,"""2013"" ""packaging""",completed,3,301,97,0,2341.0
208,_infer,_infer,brochure,"""2013"" ""brochure""",empty,0,301,0,0,2344.4
209,_infer,_infer,pamphlet,"""2013"" ""pamphlet""",completed,1,302,99,0,2355.2
210,_infer,_infer,type specimen,"""2013"" ""type specimen""",completed,0,302,100,0,2377.1
211,_infer,_infer,poster,"""2012"" ""poster""",completed,2,304,98,0,2384.0
212,_infer,_infer,political poster,"""2012"" ""political poster""",completed,0,304,100,0,2389.1
213,_infer,_infer,propaganda poster,"""2012"" ""propaganda poster""",completed,0,304,100,0,2394.2
214,_infer,_infer,film poster,"""2012"" ""film poster""",completed,0,304,100,0,2399.1
215,_infer,_infer,travel poster,"""2012"" ""travel poster""",failed,0,304,50,1,2418.3
216,_infer,_infer,advertising poster,"""2012"" ""advertising poster""",completed,0,304,100,0,2439.1
217,_infer,_infer,advertisement,"""2012"" ""advertisement""",completed,0,304,100,0,2446.8
218,_infer,_infer,book cover,"""2012"" ""book cover""",completed,2,306,98,0,2454.2
219,_infer,_infer,magazine cover,"""2012"" ""magazine cover""",completed,1,307,79,0,2459.6
220,_infer,_infer,trade card,"""2012"" ""trade card""",completed,0,307,42,0,2463.4
221,_infer,_infer,label,"""2012"" ""label""",failed,0,307,0,1,2480.2
222,_infer,_infer,packaging,"""2012"" ""packaging""",completed,0,307,100,0,2503.0
223,_infer,_infer,brochure,"""2012"" ""brochure""",completed,1,308,49,0,2509.1
224,_infer,_infer,pamphlet,"""2012"" ""pamphlet""",completed,2,310,98,0,2519.6
225,_infer,_infer,type specimen,"""2012"" ""type specimen""",completed,1,311,99,0,2526.9
226,_infer,_infer,poster,"""2011"" ""poster""",completed,0,311,100,0,2534.2
