surface_id,capture_id,year,period_band,region,theme,source_family,source_name,title,image_state,recommended_next_action,calibrated_action,calibration_status,calibration_confidence,calibration_reason,role_family,source_text_chars,overall_research_anchor_score,source_depth_score,relation_density_score,text_depth_score,design_object_confidence_score,risk_pressure_score,editorial_need_score,risk_flags,positive_flags
SURF-CAW2026R02569,CAW2026R02569,1960,1930_1970,Democratic Republic of the Congo,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Unstamp au congo 11.jpg / page 14851080,Unstamp au congo 11.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,1330,56,80,47,100,66,62,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R01175,CCT2026R01175,1949,1930_1970,East Asia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / China 1949 - Non-Denominated Airmail stamp.jpg / page 68004882,China 1949 - Non-Denominated Airmail stamp.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,166,32,16,47,58,66,62,42,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R01629,CCT2026R01629,1958,1930_1970,"Eastern Europe, Balkans, and Central/Eastern socialist contexts",Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Foaie cap de bour 1958.jpg / page 19748316,Foaie cap de bour 1958.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,178,27,17,30,59,66,62,41,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02091,CAW2026R02091,1941,1930_1970,Estonia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / StampTartu(Estonia)1941Michel8.jpg / page 33416921,StampTartu(Estonia)1941Michel8.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,183,33,18,17,60,66,44,40,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
SURF-CCT2026R03560,CCT2026R03560,1950,1930_1970,Fiji,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp Fiji 1959 2 6 Nadi Airport.jpg / page 16187525,Stamp Fiji 1959 2 6 Nadi Airport.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,927,49,80,12,100,66,80,0,stamp_or_philatelic:philatelic; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CRG2026R1653,CRG2026R1653,1963,1930_1970,Global / transnational,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Israeli stamps 1963 - series of wall and tower - 1.jpg / page 33595268,Israeli stamps 1963 - series of wall and tower - 1.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,205,29,20,35,62,66,62,38,stamp_or_philatelic:philatelic; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R03102,CCT2026R03102,1963,1930_1970,Jordan,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / The East Ghor Canal Project.jpg / page 32432690,The East Ghor Canal Project.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,505,40,50,0,87,66,62,13,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R04246,CCT2026R04246,1962,1930_1970,Laos,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Laos (1962) - Savang Vatthana.jpg / page 125441210,Stamp of Laos (1962) - Savang Vatthana.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,232,32,23,17,64,66,62,36,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R02529,CCT2026R02529,1936,1930_1970,Latin America and the Caribbean,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Peru - 1936 - Colnect 437914 - Mines.jpeg / page 114987600,Stamp of Peru - 1936 - Colnect 437914 - Mines.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,237,32,23,47,64,66,62,36,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02303,CAW2026R02303,1950,1930_1970,Latvia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Riga 1950 60kop USSR.jpg / page 8458163,Riga 1950 60kop USSR.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,224,31,22,0,63,66,44,37,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
SURF-CAW2026R01736,CAW2026R01736,1933,1930_1970,Lithuania,Modern typography and layout,Wikimedia Commons,"Wikimedia Commons file source / Lithuanian postage stamps with Žemaitė, 1933.jpg / page 125378328","Lithuanian postage stamps with Žemaitė, 1933.jpg",IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,196,35,19,47,61,66,62,39,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R00503,CCT2026R00503,1950,1930_1970,Middle East and North Africa,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp MA 1950 15+10 Fr.jpg / page 158873186,Stamp MA 1950 15+10 Fr.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,143,28,14,47,56,66,62,44,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02114,CAW2026R02114,1942,1930_1970,Moldova,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Moldova - 2012 - Colnect 272865 - Mihai Dolgan 1942-2008 Singer and Composer.jpeg / page 115752134,Stamp of Moldova - 2012 - Colnect 272865 - Mihai Dolgan 1942-2008 Singer and Composer.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,776,47,80,0,100,66,74,0,weak_context:anniversary; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02242,CAW2026R02242,1948,1930_1970,Mongolia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / USSR-communicationmeeting-1958.jpg / page 2834140,USSR-communicationmeeting-1958.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,1782,50,80,0,100,66,62,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R01710,CAW2026R01710,1932,1930_1970,Mozambique,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Peru - 1932 - Colnect 846134 - Number 2.jpeg / page 114985153,Stamp of Peru - 1932 - Colnect 846134 - Number 2.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,297,35,29,5,69,78,62,31,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,advertisement; design; graphic; visual communication
SURF-CAW2026R02336,CAW2026R02336,1951,1930_1970,North America,Modern typography and layout,Wikimedia Commons,"Wikimedia Commons file source / Myanmar in 1951 art, from- Burma Civil Liberties Poster - NARA - 5729921 (cropped).jpg / page 84930875","Myanmar in 1951 art, from- Burma Civil Liberties Poster - NARA - 5729921 (cropped).jpg",IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,221,31,22,5,63,78,44,37,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; poster; visual communication
SURF-CCT2026R03487,CCT2026R03487,1937,1930_1970,Oceania and Pacific,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Australianstamp 1442.jpg / page 12597156,Australianstamp 1442.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,167,29,16,47,58,66,62,42,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02166,CAW2026R02166,1944,1930_1970,Oman,Travel and transport poster culture,Wikimedia Commons,Wikimedia Commons file source / Zanzibaralbusaid1944.jpg / page 6525200,Zanzibaralbusaid1944.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,584,43,58,0,93,66,62,7,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02169,CAW2026R02169,1944,1930_1970,Papua New Guinea,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Aegean Islands - 1944 - Colnect 413750 - Pro sinistrati di guerra.jpeg / page 115644899,Stamp of Aegean Islands - 1944 - Colnect 413750 - Pro sinistrati di guerra.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,749,54,80,30,100,66,62,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02768,CAW2026R02768,1969,1930_1970,Rwanda,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Rwanda - 1969 - Colnect 988101 - The Moneylender and his Wife by Quentin Matsys.jpeg / page 115808898,Stamp of Rwanda - 1969 - Colnect 988101 - The Moneylender and his Wife by Quentin Matsys.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,325,33,32,0,72,66,62,28,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02697,CAW2026R02697,1966,1930_1970,Serbia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Zanzibar - 1966 - Colnect 465791 - Education.jpeg / page 115889903,Stamp of Zanzibar - 1966 - Colnect 465791 - Education.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,703,49,80,17,100,66,62,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02548,CAW2026R02548,1958,1930_1970,Slovenia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Ironworks-in-Sisak.jpg / page 147140712,Ironworks-in-Sisak.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,381,36,38,5,76,66,62,24,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02711,CAW2026R02711,1966,1930_1970,Solomon Islands,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / FrankLloydWright1966USstamp.jpg / page 698792,FrankLloydWright1966USstamp.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,1645,50,80,5,100,66,62,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R03741,CCT2026R03741,1950,1930_1970,South Asia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of India - 1950 - Colnect 986625 - 1 - Quill ink well and verse.jpeg / page 98491515,Stamp of India - 1950 - Colnect 986625 - 1 - Quill ink well and verse.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,318,34,31,47,71,66,74,29,weak_context:inauguration; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R04325,CCT2026R04325,1969,1930_1970,Southeast Asia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Dinopium everetti 1969 stamp of the Philippines.jpg / page 49655801,Dinopium everetti 1969 stamp of the Philippines.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,177,28,17,35,59,66,62,41,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R03193,CCT2026R03193,1938,1930_1970,Syria,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp Alexandretta 4pi.jpg / page 1561433,Stamp Alexandretta 4pi.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,463,38,46,0,83,66,62,17,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R01740,CAW2026R01740,1933,1930_1970,Tunisia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Aegean Islands - 1933 - Colnect 177601 - Rodi - Symbolical of Flight.jpeg / page 115644051,Stamp of Aegean Islands - 1933 - Colnect 177601 - Rodi - Symbolical of Flight.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,340,33,34,0,73,66,62,27,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02729,CAW2026R02729,1967,1930_1970,United Arab Emirates,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Sheik-Rashid-bin-Said 1967 stamps of Dubai.jpg / page 169092346,Sheik-Rashid-bin-Said 1967 stamps of Dubai.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,789,50,80,5,100,66,62,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-IR1970R016,IR1970R016,1940,1930_1970,Unresolved region,Midcentury modern graphic communication,Wellcome Collection,Wellcome Collection Catalogue API,"A tuberculosis stamp showing children singing Christmas carols; advertising the sale of tuberculosis stamps. Colour lithograph (?), 1940.",IMG02,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,321,36,47,5,71,50,36,29,stamp_or_philatelic:stamp; stamp_or_philatelic:stamps,advertising; catalogue; poster
SURF-IR1970R034,IR1970R034,1949,1930_1970,Western and Central Europe,Midcentury modern graphic communication,Wellcome Collection,Wellcome Collection Catalogue API,"A radiologist conducting a chest x-ray of a young man in order to detect early signs of tuberculosis. Colour lithograph after A. Wilquin, 1949.",IMG02,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,812,47,95,0,100,50,36,0,stamp_or_philatelic:stamp; stamp_or_philatelic:stamps,campaign; catalogue; poster
SURF-CAW2026R01681,CAW2026R01681,1931,1930_1970,Western and Central Europe,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Belgian Congo - 1931 - Colnect 156572 - Sir Henry Morton Stanley.jpeg / page 115853451,Stamp of Belgian Congo - 1931 - Colnect 156572 - Sir Henry Morton Stanley.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,297,34,29,47,69,66,62,31,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02733,CAW2026R02733,1967,1930_1970,Yemen,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamps Mahra state 1967 world scout meeting 03.jpg / page 174228778,Stamps Mahra state 1967 world scout meeting 03.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,327,37,32,25,72,66,62,28,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R00644,CCT2026R00644,1986,1970_2000,Africa,Modern typography and layout,Wikimedia Commons,"Wikimedia Commons file source / South Africa 1986 variable value stamp 00,14 Mi 1.2.jpg / page 98255414","South Africa 1986 variable value stamp 00,14 Mi 1.2.jpg",IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,281,29,28,0,68,66,62,32,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R03268,CAW2026R03268,1993,1970_2000,Albania,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Albania - 1993 - Colnect 369475 - The green stone painting by Edi Hila.jpeg / page 98410847,Stamp of Albania - 1993 - Colnect 369475 - The green stone painting by Edi Hila.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,301,34,30,10,70,66,62,30,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02867,CAW2026R02867,1974,1970_2000,Angola,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Ford A5264 NLGRF photo contact sheet (1975-06-27)(Gerald Ford Library).jpg / page 23393482,Ford A5264 NLGRF photo contact sheet (1975-06-27)(Gerald Ford Library).jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,962,56,95,0,100,66,44,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
SURF-CAW2026R03041,CAW2026R03041,1983,1970_2000,Bosnia and Herzegovina,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Ivo Andrić 1983 Yugoslavia stamp.jpg / page 34326448,Ivo Andrić 1983 Yugoslavia stamp.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,644,50,74,0,98,66,44,2,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
SURF-CCT2026R00320,CCT2026R00320,1972,1970_2000,Cameroon,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp CAM 1972 40f.jpg / page 146814459,Stamp CAM 1972 40f.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,592,44,59,0,94,66,62,6,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R03380,CAW2026R03380,1998,1970_2000,Croatia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Indonesia - 1998 - Colnect 254744 - Folk Tales.jpeg / page 114799444,Stamp of Indonesia - 1998 - Colnect 254744 - Folk Tales.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,272,32,27,5,67,66,62,33,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
