hardening_id,suggestion_id,surface_id,source_record_id,current_label,suggested_label,suggested_region_id,suggested_geo_id,action_status,sample_required_before_mutation,automatic_archive_mutation,blocking_flags,advisory_flags,primary_country_labels,secondary_country_labels,suggested_in_primary_evidence,suggested_in_secondary_evidence,current_in_primary_evidence,years_found,source_family,source_family_cluster_size,title,source_name,place_text,source_subjects,evidence
RG-HARDEN-0013,RGE-SCORE-00238,SURF-CGS2026R0327,CGS2026R0327,France,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,,Argentina,false,true,false,1901,wikimedia_commons,84,El perfume... La rose Jacqueminot Coty - affiche - Leonetto Cappiello - btv1b9003913z.jpg,Wikimedia Commons file source / El perfume... La rose Jacqueminot Coty - affiche - Leonetto Cappiello - btv1b9003913z.jpg / page 154283053,Latin America / Argentina,Latin America; Argentina; poster;,Latin America / Argentina Latin America; Argentina; poster;
RG-HARDEN-0014,RGE-SCORE-00246,SURF-CGS2026R0330,CGS2026R0330,France,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,,Argentina,false,true,false,1927,wikimedia_commons,84,Establ. Musical Neumann florida 415... - affiche - Achille Mauzan - btv1b9005159t (cropped).jpg,Wikimedia Commons file source / Establ. Musical Neumann florida 415... - affiche - Achille Mauzan - btv1b9005159t (cropped).jpg / page 185590994,Latin America / Argentina,Latin America; Argentina; advertising;,Latin America / Argentina Latin America; Argentina; advertising;
RG-HARDEN-0015,RGE-SCORE-00247,SURF-CGS2026R0331,CGS2026R0331,France,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,,Argentina,false,true,false,1927,wikimedia_commons,84,Establ. Musical Neumann florida 415... - affiche - Achille Mauzan - btv1b9005159t.jpg,Wikimedia Commons file source / Establ. Musical Neumann florida 415... - affiche - Achille Mauzan - btv1b9005159t.jpg / page 154650570,Latin America / Argentina,Latin America; Argentina; advertising;,Latin America / Argentina Latin America; Argentina; advertising;
RG-HARDEN-0016,RGE-SCORE-00231,SURF-CGS2026R0341,CGS2026R0341,France,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,,Argentina,false,true,false,1885,wikimedia_commons,84,Je ne fume que le Nil - affiche - non identifié - btv1b9013845v.jpg,Wikimedia Commons file source / Je ne fume que le Nil - affiche - non identifié - btv1b9013845v.jpg / page 154363799,Latin America / Argentina,Latin America; Argentina; advertising;,Latin America / Argentina Latin America; Argentina; advertising;
RG-HARDEN-0017,RGE-SCORE-00342,SURF-NMIIC2026R0262,NMIIC2026R0262,United States,Argentina,REG004,GEO031,quarantine_manual_review,true,false,current_label_present_in_title_source_url,missing_year,Argentina; United States,Argentina,true,true,true,,museum_or_collection,1,Museo de Arte Latinoamericano de Buenos Aires Malba,Museum of Latin American Art of Buenos Aires,Latin America / Caribbean / Argentina,Latin America / Caribbean; Argentina; museum; RSS/Atom;JSON-LD;WordPress REST,Latin America / Caribbean / Argentina Latin America / Caribbean; Argentina; museum; RSS/Atom;JSON-LD;WordPress REST
RG-HARDEN-0019,RGE-SCORE-00229,SURF-CGS2026R0386,CGS2026R0386,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,commons_metadata_sample_required,Germany,Brazil,false,true,true,1883; 2021,wikimedia_commons,84,"Das Programm der NSDAP und seine weltanschaulichen Grundgedanken Gottfried Feder Verlag Frz. Eher Nachf München 1930s German Nazi Party program book cover swastika (HL-senteret Holocaust exhibition Oslo, Norway 2021) A.jpg",Wikimedia Commons file source / Das Programm der NSDAP und seine weltanschaulichen Grundgedanken Gottfried Feder Verlag Frz. Eher Nachf München 1930s German Nazi Party program book cover swastika (HL-senteret Holocaust e,Latin America / Brazil,Latin America; Brazil; book cover;,Latin America / Brazil Latin America; Brazil; book cover;
RG-HARDEN-0020,RGE-SCORE-00230,SURF-CGS2026R0387,CGS2026R0387,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,commons_metadata_sample_required,Germany,Brazil,false,true,true,1883; 2021,wikimedia_commons,84,"Das Programm der NSDAP und seine weltanschaulichen Grundgedanken Gottfried Feder Verlag Frz. Eher Nachf München 1930s German Nazi Party program book cover swastika (HL-senteret Holocaust exhibition Oslo, Norway 2021).jpg",Wikimedia Commons file source / Das Programm der NSDAP und seine weltanschaulichen Grundgedanken Gottfried Feder Verlag Frz. Eher Nachf München 1930s German Nazi Party program book cover swastika (HL-senteret Holocaust e,Latin America / Brazil,Latin America; Brazil; book cover;,Latin America / Brazil Latin America; Brazil; book cover;
RG-HARDEN-0021,RGE-SCORE-00239,SURF-CGS2026R0393,CGS2026R0393,France,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,France,Brazil,false,true,true,1905,wikimedia_commons,84,Cândido de Faria - Les apaches de Paris.jpg,Wikimedia Commons file source / Cândido de Faria - Les apaches de Paris.jpg / page 164936203,Latin America / Brazil,Latin America; Brazil; poster;,Latin America / Brazil Latin America; Brazil; poster;
RG-HARDEN-0022,RGE-SCORE-00240,SURF-CGS2026R0397,CGS2026R0397,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1907; 1935,wikimedia_commons,84,KRIEGSKUNST im Wort und Bild Heft 8 Mai 1935 Sturmfuhrer Horst Wessel SA-Manner marschieren Wehrmacht magazine cover Nazi Germany Propaganda watercolour illustration Sturmabteilung brownshirts Unidentified artist No known copyright.jpg,Wikimedia Commons file source / KRIEGSKUNST im Wort und Bild Heft 8 Mai 1935 Sturmfuhrer Horst Wessel SA-Manner marschieren Wehrmacht magazine cover Nazi Germany Propaganda watercolour illustration Sturmabteilung brownsh,Latin America / Brazil,Latin America; Brazil; magazine cover;,Latin America / Brazil Latin America; Brazil; magazine cover;
RG-HARDEN-0023,RGE-SCORE-00245,SURF-CGS2026R0404,CGS2026R0404,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1918; 1933,wikimedia_commons,84,1933 Unser der Sieg! Heil Hitler! Sturmabteilung SA Braunhemden SA-Mann Plakat Postkarte Nazi Germany propaganda poster postcard Color drawing of brownshirts uniforms 1918-33 Swastika flag salute Unidentified artist No known copyright.jpg,Wikimedia Commons file source / 1933 Unser der Sieg! Heil Hitler! Sturmabteilung SA Braunhemden SA-Mann Plakat Postkarte Nazi Germany propaganda poster postcard Color drawing of brownshirts uniforms 1918-33 Swastika flag,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0024,RGE-SCORE-00252,SURF-CGS2026R0417,CGS2026R0417,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1930; 1933,wikimedia_commons,84,Ludwig HOHLWEIN Studenten seid Propgandisten des Führers Hoch- u. Fachschulen bekennen sich am 29. März zur deutschen Freiheitsbewegung Plakat NSDAP Propaganda Poster Student organisation Nazi Germany 1933 No known copyright restric.jpg,Wikimedia Commons file source / Ludwig HOHLWEIN Studenten seid Propgandisten des Führers Hoch- u. Fachschulen bekennen sich am 29. März zur deutschen Freiheitsbewegung Plakat NSDAP Propaganda Poster Student organisation,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0025,RGE-SCORE-00253,SURF-CGS2026R0418,CGS2026R0418,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1930; 1933,wikimedia_commons,84,Ludwig HOHLWEIN Studenten seid Propgandisten des Führers Hoch- u. Fachschulen bekennen sich am 29. März zur deutschen Freiheitsbewegung Plakat NSDAP Propaganda Poster Student organisation Nazi Germany 1933 Public domain.jpg,Wikimedia Commons file source / Ludwig HOHLWEIN Studenten seid Propgandisten des Führers Hoch- u. Fachschulen bekennen sich am 29. März zur deutschen Freiheitsbewegung Plakat NSDAP Propaganda Poster Student organisation,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0026,RGE-SCORE-00256,SURF-CGS2026R0422,CGS2026R0422,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1932,wikimedia_commons,84,Das dritte Reich? Nein! (The Third Reich? No!) Rx Mar Political Anti-Nazi poster Germany Reichspräsidentenwahl 1932 SPD Skeleton Swastika cap Hitler salute Library of Congress Public domain.jpg,Wikimedia Commons file source / Das dritte Reich? Nein! (The Third Reich? No!) Rx Mar Political Anti-Nazi poster Germany Reichspräsidentenwahl 1932 SPD Skeleton Swastika cap Hitler salute Library of Congress Public domai,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0027,RGE-SCORE-00257,SURF-CGS2026R0423,CGS2026R0423,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1932,wikimedia_commons,84,Ludwig Hohlwein München ARBEIT BROT DRUM LISTE 1 NSDAP Bayern SA-Mann 1932 Propganda Plakat Election poster Bavaria Germany No known copyright restrictions p01g3tkv.jpg,Wikimedia Commons file source / Ludwig Hohlwein München ARBEIT BROT DRUM LISTE 1 NSDAP Bayern SA-Mann 1932 Propganda Plakat Election poster Bavaria Germany No known copyright restrictions p01g3tkv.jpg / page 98071251,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0028,RGE-SCORE-00258,SURF-CGS2026R0428,CGS2026R0428,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1933; 1936,wikimedia_commons,84,Die Wehrmacht - Fahnen Flaggen u Standarten der deutschen Wehrmacht - Reichskriegsflagge Infanterie Kavalerie Kriegsmarine Luftwaffe Soldatenbund - Nazi Germany Armed forces Flags Colours swastika poster ca. 1936-38 No known copyright.jpg,Wikimedia Commons file source / Die Wehrmacht - Fahnen Flaggen u Standarten der deutschen Wehrmacht - Reichskriegsflagge Infanterie Kavalerie Kriegsmarine Luftwaffe Soldatenbund - Nazi Germany Armed forces Flags Colours,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0029,RGE-SCORE-00259,SURF-CGS2026R0429,CGS2026R0429,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,,Brazil,false,true,false,1933; 1934,wikimedia_commons,84,Ludwig HOHLWEIN Reichsberufs-Wettkampf der deutschen Jugend vom 9. bis 15. April 1934 Plakat Hitlerjugend HJ NSDAP Propaganda München Chromo Kunstanstalt Aquarell Hitler Youth Sports Nazi Poster No copyright restrictions galleria.thul.jpg,Wikimedia Commons file source / Ludwig HOHLWEIN Reichsberufs-Wettkampf der deutschen Jugend vom 9. bis 15. April 1934 Plakat Hitlerjugend HJ NSDAP Propaganda München Chromo Kunstanstalt Aquarell Hitler Youth Sports Nazi,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0030,RGE-SCORE-00260,SURF-CGS2026R0430,CGS2026R0430,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,,Brazil,false,true,false,1933; 1934,wikimedia_commons,84,Ludwig HOHLWEIN Reichsberufs-Wettkampf der deutschen Jugend vom 9. bis 15. April 1934 Plakat Hitlerjugend HJ NSDAP Propaganda Stadtarchiv München Chromo Kunstanstalt Aquarell Poster Hitler Youth No known copyright boy restriction DE-1.jpg,Wikimedia Commons file source / Ludwig HOHLWEIN Reichsberufs-Wettkampf der deutschen Jugend vom 9. bis 15. April 1934 Plakat Hitlerjugend HJ NSDAP Propaganda Stadtarchiv München Chromo Kunstanstalt Aquarell Poster Hitler,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0031,RGE-SCORE-00261,SURF-CGS2026R0432,CGS2026R0432,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1934,wikimedia_commons,84,"Ludwig HOHLWEIN Nicht spenden, opfern! (Don’t Give, Sacrifice) Herm. Sonntag & Co. München NSDAP Propaganda Plakat Kleinplakat Color Lithograph Poster ca 1934 42 x 30 cm Nazi Germany art.famsf.org 0306201809210037. No known copyrig.jpg","Wikimedia Commons file source / Ludwig HOHLWEIN Nicht spenden, opfern! (Don’t Give, Sacrifice) Herm. Sonntag & Co. München NSDAP Propaganda Plakat Kleinplakat Color Lithograph Poster ca 1934 42 x 30 cm Nazi Germany art.f",Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0032,RGE-SCORE-00263,SURF-CGS2026R0433,CGS2026R0433,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1935; 1936,wikimedia_commons,84,Die Wehrmacht - Uniformen der deutschen Luftwaffe Dienstgradabzeichen - Tafel I Buchstaben Schulterklappen Kragenspiegel Waffenfarben - Nazi Germany Air force rank insignia Letters Corps colours poster ca. 1936-38 No known copyright.jpg,Wikimedia Commons file source / Die Wehrmacht - Uniformen der deutschen Luftwaffe Dienstgradabzeichen - Tafel I Buchstaben Schulterklappen Kragenspiegel Waffenfarben - Nazi Germany Air force rank insignia Letters Corps c,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0033,RGE-SCORE-00264,SURF-CGS2026R0434,CGS2026R0434,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1935; 1936,wikimedia_commons,84,Die Wehrmacht - Uniformen der deutschen Luftwaffe Dienstgradabzeichen usw. Tafel II - Schulterklappen Kragenspiegel Besondere Dienststellungen Tatigkeitsabz. - Nazi Germany Air force rank insignia chart poster ca. 1936-38 No known copyr.jpg,Wikimedia Commons file source / Die Wehrmacht - Uniformen der deutschen Luftwaffe Dienstgradabzeichen usw. Tafel II - Schulterklappen Kragenspiegel Besondere Dienststellungen Tatigkeitsabz. - Nazi Germany Air force rank,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0034,RGE-SCORE-00265,SURF-CGS2026R0435,CGS2026R0435,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1935; 1936,wikimedia_commons,84,Die Wehrmacht - Uniformen des deutschen Heeres Dienstgradabzeichen usw. Tafel 2 - Schulterklappen Kragenpatten Dienststellungs-Abzeichen Achselband Schutzenabz. - Nazi Germany army rank insignia poster ca. 1936-38 No known copyright.jpg,Wikimedia Commons file source / Die Wehrmacht - Uniformen des deutschen Heeres Dienstgradabzeichen usw. Tafel 2 - Schulterklappen Kragenpatten Dienststellungs-Abzeichen Achselband Schutzenabz. - Nazi Germany army rank in,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0035,RGE-SCORE-00266,SURF-CGS2026R0436,CGS2026R0436,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1935; 1936,wikimedia_commons,84,Die Wehrmacht - Uniformen des deutschen Heeres Dienstgradabzeichen usw. Tafel I - Kragenpatten Schulterstucke Buchstaben Waffenfarben - Nazi Germany Army Rank insignia Letters Corps colours Poster ca. 1936-38 No known copyright.jpg,Wikimedia Commons file source / Die Wehrmacht - Uniformen des deutschen Heeres Dienstgradabzeichen usw. Tafel I - Kragenpatten Schulterstucke Buchstaben Waffenfarben - Nazi Germany Army Rank insignia Letters Corps colour,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
RG-HARDEN-0036,RGE-SCORE-00267,SURF-CGS2026R0438,CGS2026R0438,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,commons_metadata_sample_required,Germany,Brazil,false,true,true,1935; 2021,wikimedia_commons,84,Volk und Rasse Heft 7 Heuert Juli 1935 illustrierte Monatsschrift. People and Race Nazi Germany Third Reich propaganda magazine cover photo Reichsarbeitsdienst RAD Labour Service members (Holocaust exhibition HL-senteret Oslo 2021 A.jpg,Wikimedia Commons file source / Volk und Rasse Heft 7 Heuert Juli 1935 illustrierte Monatsschrift. People and Race Nazi Germany Third Reich propaganda magazine cover photo Reichsarbeitsdienst RAD Labour Service members (,Latin America / Brazil,Latin America; Brazil; magazine cover;,Latin America / Brazil Latin America; Brazil; magazine cover;
RG-HARDEN-0037,RGE-SCORE-00268,SURF-CGS2026R0439,CGS2026R0439,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,commons_metadata_sample_required,Germany,Brazil,false,true,true,1935; 2021,wikimedia_commons,84,Volk und Rasse Heft 7 Heuert Juli 1935 illustrierte Monatsschrift. People and Race Nazi Germany Third Reich propaganda magazine cover photo Reichsarbeitsdienst RAD Labour Service members (Holocaust exhibition HL-senteret Oslo 2021 B.jpg,Wikimedia Commons file source / Volk und Rasse Heft 7 Heuert Juli 1935 illustrierte Monatsschrift. People and Race Nazi Germany Third Reich propaganda magazine cover photo Reichsarbeitsdienst RAD Labour Service members (,Latin America / Brazil,Latin America; Brazil; magazine cover;,Latin America / Brazil Latin America; Brazil; magazine cover;
RG-HARDEN-0038,RGE-SCORE-00269,SURF-CGS2026R0441,CGS2026R0441,Germany,Brazil,REG004,GEO030,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,Germany,Brazil,false,true,true,1936,wikimedia_commons,84,Die Wehrmacht - Uniformen der deutschen Kriegsmarine Dienstgradabzeichen usw. - Epauletten Schulterstucke Armelstreifen Laufbahnabzeichen - Nazi Germany navy rank insignia shoulder boards stripes chart poster ca. 1936-38 No known copyri.jpg,Wikimedia Commons file source / Die Wehrmacht - Uniformen der deutschen Kriegsmarine Dienstgradabzeichen usw. - Epauletten Schulterstucke Armelstreifen Laufbahnabzeichen - Nazi Germany navy rank insignia shoulder boards,Latin America / Brazil,Latin America; Brazil; propaganda poster;,Latin America / Brazil Latin America; Brazil; propaganda poster;
