cluster_key,cluster_size,region,theme,source_name,decade,dominant_lane,sample_titles
Australia / Indigenous|Postwar exhibition and cultural posters|NAIDOC Poster Gallery|2000s,8,Australia / Indigenous,Postwar exhibition and cultural posters,NAIDOC Poster Gallery,2000s,keep_main_anchor_candidate,NAIDOC 2000 Poster | NAIDOC 2001 Poster | NAIDOC 2002 Poster | NAIDOC 2003 Poster | NAIDOC 2004 Poster
France|Midcentury modern graphic communication|Gallica / BnF APIs|1940s,8,France,Midcentury modern graphic communication,Gallica / BnF APIs,1940s,keep_main_anchor_candidate,"Théâtre National de l'Opéra. Vendredi 20 décembre 1940... Grand gala organisé par Paris-soir, au bénéfice du Secours National d'hiver et des enfants victimes de l'exode avec le concours de toutes les vedettes... : [affiche] / [non identifié | [Nouvel opéra : projet de typographie] | Semaine du livre français, demandez les livres ""Hachette"" pour les enfants : [affiche] / A. Pécoud | Assemblée dans un parc / A. Watteau ; [photogr. des] Arts Graphiques de la Cité | Assemblée dans un parc : [détail] / A. Watteau ; [photogr. des] Arts Graphiques de la Cité"
United States|New Deal and civic poster programs|Library of Congress loc.gov API|1930s,8,United States,New Deal and civic poster programs,Library of Congress loc.gov API,1930s,keep_main_anchor_candidate,"Exhibition - WPA Federal Art Project | WPA Federal Art Project exhibition - mural studies | WPA federal art regional exhibit, Montclair Museum Easel painting, graphic arts, poster display, index of design. | WPA water colors, prints exhibition, Federal Art Gallery | WPA women painters, Federal Art Gallery, 50 Beacon St., Boston"
Germany|World War and public-information graphics|Wikimedia Commons|1970s,8,Germany,World War and public-information graphics,Wikimedia Commons,1970s,main_anchor_manual_review,Olympic games 1972 basketball 0501.JPG | Olympic games 1972 cycling 0533.JPG | Olympic games 1972 gymnastics 0532.JPG | Olympic games 1972 pictogramms olympic station 0877 a.jpg | Olympic games 1972 pictogramms olympic station 0877.JPG
United States|World War and public-information graphics|Wikimedia Commons|1940s,8,United States,World War and public-information graphics,Wikimedia Commons,1940s,main_anchor_manual_review,"""For Liberty and Peace on Earth Give War Bonds"" - NARA - 514290.jpg | Jugoslavia's merchant seamen fight - DPLA - ede392cde2103cae518df99095c3d962.jpg | Jugoslavia's merchant seamen fight….jpg | OCIAA-Como-Un-Solo-Hombre-Poster.jpg | OCIAA-Poster-Luchamos.jpg"
Global / transnational|World War and public-information graphics|Internet Archive / text and periodical collections|2010s,8,Global / transnational,World War and public-information graphics,Internet Archive / text and periodical collections,2010s,support_or_card_review,Compute! Magazine Issue 132 | Compute! Magazine Issue 139 | Compute! Magazine Issue 148 | Compute! Magazine Issue 151 | Compute! Magazine Issue 158
France|Midcentury modern graphic communication|Gallica / BnF APIs|1870s,7,France,Midcentury modern graphic communication,Gallica / BnF APIs,1870s,keep_main_anchor_candidate,"Traité de la typographie (3e édition corrigée et augmentée) / par Henri Fournier,... | Patrons de broderie et de lingerie du XVIe siècle, reproduits par le procédé Lefman et Lourdel et publiés d'après les éditions conservées à la Bibliothèque Mazarine : recueil de documents graphiques pour servir à l'histoire des arts industr | A tous mes confrères de la littérature et de la typographie / [signé Joseph Boulmier] | Bouffes-Parisiens. Bagatelle. Opéra-comique en un acte de H. Crémieux et E. Blum. Musique de J. Offenbach : [affiche] / lithographie de Stop | Manuel de l'apprenti compositeur : typographie (2e édition revue, corrigée et augmentée) / par Jules Claye,..."
France|Midcentury modern graphic communication|Gallica / BnF APIs|1950s,7,France,Midcentury modern graphic communication,Gallica / BnF APIs,1950s,keep_main_anchor_candidate,"Bal de l'X, le 11 mai 1950, à l'Opéra sous la présidence de Monsieur Vincent Auriol : [affiche] / lithographie de Louis Touchagues | Sécurité Sociale. Air pur - Lumière. Joie et santé de l'enfance. : [affiche] / A. Pécoud | La nuit des Centraux. Palais de Chaillot, vendredi 7 mai 1954... avec les ballets de l'Opéra... Bal... : [affiche] / lithographie de C.D. | CELLE QUE JE RECLAME / Louis AMADE - Jack FULTEN - L. STEELE. LA FONTAINE DES AMOURS : du film ""La fontaine des amours"" / René ROUZAUD - J. STYNE ; John WILLIAM - orch. dir. WAL-BERG | [Marcel Maillard à côté d'une bouteille, réclame de cognac Brugerolle]"
United States|Travel and transport poster culture|Georgia State University Library Digital Collections / CONTENTdm|1960s,7,United States,Travel and transport poster culture,Georgia State University Library Digital Collections / CONTENTdm,1960s,keep_main_anchor_candidate,"Georgia State Signal, 1960-02-02 | The Georgia State College Signal, 1966-04-28 | Georgia State College Signal, 1968-10-10 | Great Speckled Bird v. 1 no. 4 (April 26, 1968) | Great Speckled Bird v. 1 no. 32 [33] (February 7, 1969)"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1960s,7,France,Midcentury modern graphic communication,Gallica / BnF APIs,1960s,needs_packet_subsheet_assignment,"72e Bal de l'X, à l'Opéra, 30 novembre 1961... : [affiche] / lithographie de M.-L. Lorin | La danse dans l'art, de l'impressionnisme à nos jours. Galerie André Weil, 26 Avenue Matignon, Paris VIII, 15 juin-22 juillet 1961 : [affiche] / [non signé] | 74e Bal de l'X, à l'Opéra, 14 novembre 63... : [affiche] / lithographie de Gîre | 75e Bal de l'X, à l'Opéra, 26 novembre 1964... : [affiche] / [non signé] | Bal de l'X, le 1er décembre [1966] à l'Opéra... : [affiche] / [non signé]"
Global / transnational|Modern typography and layout|Another Graphic|2020s,7,Global / transnational,Modern typography and layout,Another Graphic,2020s,support_or_card_review,Darius Ou - Another Graphic | Elena Byalaya - Another Graphic | Flóki Sigurjónsson - Another Graphic | Hans Frauchiger - Another Graphic | Juhyeok Kim - Another Graphic
Unresolved region|Midcentury modern graphic communication|Wikimedia Commons|1930s,7,Unresolved region,Midcentury modern graphic communication,Wikimedia Commons,1930s,support_or_card_review,CH-000957-X-4455 Plattner.tif | HumoristernasSalong.JPG | Molly Picon.jpg | Ms-alle Systeme.jpg | Vi bygger landet.jpg
Unresolved region|Public health and social communication|Wellcome Collection Catalogue API|1960s,7,Unresolved region,Public health and social communication,Wellcome Collection Catalogue API,1960s,support_or_card_review,"People on a skiing holiday with safe equipment; promoting use of iron-reinforced safety boots in the industrial workplace. Coloured lithograph by Atelier Börmel, 196- (?). | People on motorbicycles and bicycles, shown against the grid of a radar screen, homing in on the centre, returning home in the traffic; representing the need for safe driving. Colour lithograph by Atelier Börmel, 196-. | Diaphragms/caps | Correspondence with LJ Witts (Chairman of the Sub-committee on Adverse Reactions of the Committee on Safety of Drugs), C Morgan Hall and others about the possible risks of antidepressant drugs | Services and products - marketing"
Australia / Indigenous|Postwar exhibition and cultural posters|NAIDOC Poster Gallery|1990s,6,Australia / Indigenous,Postwar exhibition and cultural posters,NAIDOC Poster Gallery,1990s,keep_main_anchor_candidate,NAIDOC 1990 Poster | NAIDOC 1991 Poster | NAIDOC 1993 Poster | NAIDOC 1994 Poster | NAIDOC 1996 Poster
France|Midcentury modern graphic communication|Gallica / BnF APIs|1890s,6,France,Midcentury modern graphic communication,Gallica / BnF APIs,1890s,keep_main_anchor_candidate,"Théâtre des Bouffes-Parisiens. Cercle funambulesque. Coeur brisé. Pantomime en un acte de M. Arbel. Musique de Georges Hüe : [affiche] / lithographie de Lucien Lefèvre | De Pompéi à Tours : [chanson réclame] / [signé : J. R [J. Rogeron?]] | ""Le pays vous réclame / Allez, jeunes conscrits..."" : [billet de conscription] : [estampe] | Lise Fleuron. Athénée-Comique. Cocher, rue Boudreau ! Rôle de la Réclame. Décembre 1897 : [photographie] | Lise Fleuron. Athénée. Cocher, rue Boudreau ! Rôle de la Réclame. Décembre 1897 : [photographie]"
United States|Travel and transport poster culture|Georgia State University Library Digital Collections / CONTENTdm|1970s,6,United States,Travel and transport poster culture,Georgia State University Library Digital Collections / CONTENTdm,1970s,keep_main_anchor_candidate,"Great Speckled Bird v. 3 no. 18 (May 4, 1970) | Executive Board Memoranda, 1971-1972 | Great Speckled Bird v. 5 no. 26 (July 3, 1972) | PATCO Safety Committee, Correspondence, News Clippings, 1975-1976 [2 of 2] | Eastern Region Public Relations Program Facility Manual, 1979"
Global / transnational|Midcentury modern graphic communication|Internet Archive / text and periodical collections|2020s,6,Global / transnational,Midcentury modern graphic communication,Internet Archive / text and periodical collections,2020s,support_or_card_review,"Create Graphical User Interfaces with Python | Shadis Magazine | Don't make me think, revisited : a common sense approach to Web usability | The HTML Handbook | KROTCH Zine (Issue 7)"
Aotearoa New Zealand|Postwar exhibition and cultural posters|DigitalNZ|2010s,5,Aotearoa New Zealand,Postwar exhibition and cultural posters,DigitalNZ,2010s,keep_main_anchor_candidate,"Gardensity poster | Exhibition Poster 2012 | Over 200 shows, exhibitions and festivals open here every year. It's an art keeping up. | Poster advertising Ian Scott exhibition, 1978 | Exhibition poster on museum"
Australia / Indigenous|Postwar exhibition and cultural posters|NAIDOC Poster Gallery|2010s,5,Australia / Indigenous,Postwar exhibition and cultural posters,NAIDOC Poster Gallery,2010s,keep_main_anchor_candidate,NAIDOC 2011 Poster | NAIDOC 2013 Poster | NAIDOC 2014 Poster | NAIDOC 2016 Poster | NAIDOC 2018 poster
Georgia|Midcentury modern graphic communication|Georgia State University Library Digital Collections / CONTENTdm|1970s,5,Georgia,Midcentury modern graphic communication,Georgia State University Library Digital Collections / CONTENTdm,1970s,keep_main_anchor_candidate,"Pipestem, [folder 1 of 2], ca 1950s-1970s | News articles (New York Times, New Yorker), 1967-1971 | Equal Employment Opportunity Commission | Southwest - general [Mexico maps and tourist information and Gulf of Mexico industry], 1972-1974, undated | Career Counseling, undated"
Germany|Midcentury modern graphic communication|Wikimedia Commons|1930s,5,Germany,Midcentury modern graphic communication,Wikimedia Commons,1930s,main_anchor_manual_review,"Jupp Wiertz Köln.jpg | Ludwig Hohlwein - Stay young playing Golf in Germany.jpg | Rolf Niczky - Garmisch-Partenkirchen. Heilklimatischer Kurort.png | Welchen Gefahren sind Berufsarbeiter in ihren bisherigen Arbeitsanzügen ausgesetzt.jpg | Hermann Keimel - Münchner Plakatkunst, 1931.jpg"
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|2010s,4,Aotearoa New Zealand,Midcentury modern graphic communication,DigitalNZ,2010s,keep_main_anchor_candidate,"Poster grouped records, 1970-2010 | Tourist Bureau poster | Posters grouped records, 2012 | School Strike 4 Climate march"
Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa Collections Online|1940s,4,Aotearoa New Zealand,Postwar exhibition and cultural posters,Te Papa Collections Online,1940s,keep_main_anchor_candidate,"Poster, 'A British Anti-aircraft Battery in action' | Poster, 'British Troops in Battle Manoeuvres' | Poster, 'Giant of the Air' | Poster, 'The Historic Meeting Between Winston Churchill And President Roosevelt'"
Australia / Indigenous|Postwar exhibition and cultural posters|NAIDOC Poster Gallery|2020s,4,Australia / Indigenous,Postwar exhibition and cultural posters,NAIDOC Poster Gallery,2020s,keep_main_anchor_candidate,NAIDOC 2020 poster | NAIDOC 2021 Poster | NAIDOC 2022 Poster | 2025 National NAIDOC Week Poster
France|Midcentury modern graphic communication|Gallica / BnF APIs|1840s,4,France,Midcentury modern graphic communication,Gallica / BnF APIs,1840s,keep_main_anchor_candidate,"Spécimen typographique de l'Imprimerie royale | Annuaire de la typographie parisienne et départementale / par E. M. Prétod | Spécimen typographique de l'Imprimerie royale | (25 Juin) République Française [...] Pouvoir exécutif Soldats, Le salut de la Patrie vous réclame ! [...]"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1860s,4,France,Midcentury modern graphic communication,Gallica / BnF APIs,1860s,keep_main_anchor_candidate,"Paris, quartier de la Bastille : [placard d'annonces publicitaires pour différents commerces] : [femme en rouge] : [affiche] ([Variante d'image : femme en rouge]) / [non identifié] | Industrie du batiment...[placard d'annonces publicitaires pour différents commerces] : [affiche] / [non identifié] | Théâtre des Champs-Élysées. Les trois Normandes. Opérette-bouffe en un acte.... Paroles de Pol Mercier, musique de Fédéric Barbier... : [affiche] / signature illsible | Théâtre des Bouffes-Parisiens. Didon. Opéra-bouffe en deux actes et un prologue... Paroles de M. Ad. Belot. Musique de Blangini fils : [affiche] / lithographie de Henry-Alfred Darjou"
United Kingdom|Travel and transport poster culture|Design Reviewed|2020s,4,United Kingdom,Travel and transport poster culture,Design Reviewed,2020s,keep_main_anchor_candidate,"40 Examples of Czech Typography from 1907, Typografia | 60 Examples of Czech Typography from 1909, Typografia | 60 Examples of Czech Typography from 1911, Typografia | Art Nouveau and the Magazine Cover"
United States|Travel and transport poster culture|Georgia State University Library Digital Collections / CONTENTdm|1980s,4,United States,Travel and transport poster culture,Georgia State University Library Digital Collections / CONTENTdm,1980s,keep_main_anchor_candidate,"Fair Labor Standards Act, General Correspondence, 1977-1980 | News clippings re: Eastern Airlines [folder 11 of 11], 1981 | The Georgia State University Signal, 1981-04-28 | Rampway, 1986"
Algeria|World War and public-information graphics|Wikimedia Commons file source / Felduniformen des französischen Heeres 1939 OKH Tafel Plakat Illustrator Herbert Rothgaengel (-1945) WWII uniforms of Army of France (Nazi Germany Wehrmacht chart poster)...|1930s,4,Algeria,World War and public-information graphics,Wikimedia Commons file source / Felduniformen des französischen Heeres 1939 OKH Tafel Plakat Illustrator Herbert Rothgaengel (-1945) WWII uniforms of Army of France (Nazi Germany Wehrmacht chart poster)...,1930s,main_anchor_manual_review,Felduniformen des französischen Heeres 1939 OKH Tafel Plakat Illustrator Herbert Rothgaengel (-1945) WWII uniforms of Army of France (Nazi Germany Wehrmacht chart poster) Hauptstaatsarchiv Stuttgart (cropped) - 11.jpg | Felduniformen des französischen Heeres 1939 OKH Tafel Plakat Illustrator Herbert Rothgaengel (-1945) WWII uniforms of Army of France (Nazi Germany Wehrmacht chart poster) Hauptstaatsarchiv Stuttgart (cropped) - 13.jpg | Felduniformen des französischen Heeres 1939 OKH Tafel Plakat Illustrator Herbert Rothgaengel (-1945) WWII uniforms of Army of France (Nazi Germany Wehrmacht chart poster) Hauptstaatsarchiv Stuttgart (cropped) - 14.jpg | Felduniformen des französischen Heeres 1
France|Midcentury modern graphic communication|Wikimedia Commons|1930s,4,France,Midcentury modern graphic communication,Wikimedia Commons,1930s,main_anchor_manual_review,109 Saint-Herbot Affiche publicitaire.jpg | Promesses et réalités - Travailleur contre les démagogues socialo-bourgeois.jpg | Enfants ne jouez pas à la guerre.jpg | Affiche Teatro Pacini.png
France|World War and public-information graphics|Wikimedia Commons|1940s,4,France,World War and public-information graphics,Wikimedia Commons,1940s,main_anchor_manual_review,Plougonvelin - Musée Mémoires 39-45 22.jpg | Propagande allemande utilisant l'attaque de Mers el-Kébir.jpg | Reims - musée de la Reddition (08).JPG | Reims - musée de la Reddition (09).JPG
United States|Travel and transport poster culture|Wikimedia Commons|1930s,4,United States,Travel and transport poster culture,Wikimedia Commons,1930s,main_anchor_manual_review,"Flickr - …trialsanderrors - Marseille, travel poster for PLM, ca. 1930.jpg | Flickr - …trialsanderrors - Monte-Carlo, travel poster for PLM, ca. 1930.jpg | Flickr - …trialsanderrors - Visit India, travel poster, ca. 1935 (cropped).jpg | Flickr - …trialsanderrors - Visit India, travel poster, ca. 1935.jpg"
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|1990s,4,Aotearoa New Zealand,Midcentury modern graphic communication,DigitalNZ,1990s,needs_packet_subsheet_assignment,"Summer City poster (main) | People examining posters on desk grouped records, 1993 | Papakura Valley poster, ca 1994 | Summer City poster (main)"
United States|Midcentury modern graphic communication|Georgia State University Library Digital Collections / CONTENTdm|1970s,4,United States,Midcentury modern graphic communication,Georgia State University Library Digital Collections / CONTENTdm,1970s,needs_packet_subsheet_assignment,"Open Door, 1971-03 | Creative Loafing, 1975-07-12 | The 751 Aero Mechanic, 1975-09-04 | Focus, 1977-03-03"
United States|Midcentury modern graphic communication|University of Miami Libraries Digital Collections / CONTENTdm|1970s,4,United States,Midcentury modern graphic communication,University of Miami Libraries Digital Collections / CONTENTdm,1970s,needs_packet_subsheet_assignment,"A Cuba, con el fusil en la mano | 2do Congreso Nacional Abdala, Agosto 3-6. | 3er Congreso Nacional, Agosto 2-5, 1973 | 28 de Enero, 1970, acto conmemorativo: natalicio de Martí, X aniversario de la Agrupación Abdala."
Global / transnational|Midcentury modern graphic communication|Smithsonian Open Access|1880s,4,Global / transnational,Midcentury modern graphic communication,Smithsonian Open Access,1880s,support_or_card_review,Advertisement for Hudson Clothier | Advertisement for Patented Medicine | Advertisement for Patented Medicine | Advertisement for Sewing Equipment
Global / transnational|Modern typography and layout|Internet Archive / text and periodical collections|2010s,4,Global / transnational,Modern typography and layout,Internet Archive / text and periodical collections,2010s,support_or_card_review,The Art Of Computer Designing: A Black and White Approach | Design Plex Magazine No. 12 - Feature: Graphics Go Around The World (Wide Web) (December 1999) | Graphic design solutions | The D&D Rules Cyclopedia
Unresolved region|Midcentury modern graphic communication|Library of Congress loc.gov API|1880s,4,Unresolved region,Midcentury modern graphic communication,Library of Congress loc.gov API,1880s,support_or_card_review,"[Pearsall Photography Studio trade card] | [Santa with toys in a sleigh, drawn by reindeer, with a church on the right and another in the distance] | [Winter scene with frozen waterwheel, a man with horse team and load of logs, and a church in the distance, under a full moon] | [Winter scene with horse team hauling logs on a sledge past a windmill, with snow covered landscape, under a full moon]"
Unresolved region|Midcentury modern graphic communication|Wellcome Collection Catalogue API|1940s,4,Unresolved region,Midcentury modern graphic communication,Wellcome Collection Catalogue API,1940s,support_or_card_review,"A tuberculosis stamp showing children singing Christmas carols; advertising the sale of tuberculosis stamps. Colour lithograph (?), 1940. | Ten people at a swimming pool, one of whom will be infected with syphilis before the age of fifty. Lithograph after D. Fellnagel, 1940. | A man and wife and their two children and dog climbing up a grassy knoll as exercise in the fresh air. Colour lithograph by Hulls. | An electric fire protected by a guard, in front of which a little girl reads a picture book and a woman does some knitting. Colour process print after Jake and Joyce Jacobs."
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|1980s,3,Aotearoa New Zealand,Midcentury modern graphic communication,DigitalNZ,1980s,keep_main_anchor_candidate,"Turakina Maori Girls' College poster | Coalition Against The Tour poster | Copy: Abortion, Apartheid, Unions, Nuclear (posters, handouts, protests) grouped records, 1985"
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|2020s,3,Aotearoa New Zealand,Midcentury modern graphic communication,DigitalNZ,2020s,keep_main_anchor_candidate,"Covid-19 anti-lockdown protest sticker, Timaru grouped records, 2021 | Covid-19 anti-vaccination protest sticker, Timaru grouped records, 2021-2022 | Claire Beach: Qualmark Certified, SDG Aligned?"
Aotearoa New Zealand|Travel and transport poster culture|DigitalNZ|1950s,3,Aotearoa New Zealand,Travel and transport poster culture,DigitalNZ,1950s,keep_main_anchor_candidate,"""Air-conomy Tours of New Zealand New Zealand's International Airline"" | Bus advertising photographers Belwood Studio, 1952 | Advertising poster for Tasman Empire Airways"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1850s,3,France,Midcentury modern graphic communication,Gallica / BnF APIs,1850s,keep_main_anchor_candidate,"Typographie : exemples (TR) | Orfèvrerie et couverts de la Fabrique de Ch.s Christofle & C.ie de Paris : [estampe, affiche publicitaire] / H. Walter Lith. | Les pantins de Violette. Bouffes-Parisiens. Opérette-bouffe en un acte. Paroles de M. Léon Battu. Musique de Ad. Adam : [affiche] / lithographie de Léon Loire"
Singapore|Midcentury modern graphic communication|Asian Film Archive|2020s,3,Singapore,Midcentury modern graphic communication,Asian Film Archive,2020s,keep_main_anchor_candidate,Asian Cinema Digest #44 | Matter Matters | Interview with Elsa Wong about “A Secret Portrait of Wan Hoi-Ling” | Asian Cinema Digest #67
United States|Midcentury modern graphic communication|Georgia State University Library Digital Collections / CONTENTdm|2000s,3,United States,Midcentury modern graphic communication,Georgia State University Library Digital Collections / CONTENTdm,2000s,keep_main_anchor_candidate,"The Collegian, 2003-12-08 | IAM Journal, 2008, Summer | The IAM District 190 Sparkplug, 2009-06/2009-07"
United States|Modern typography and layout|Georgia State University Library Digital Collections / CONTENTdm|1980s,3,United States,Modern typography and layout,Georgia State University Library Digital Collections / CONTENTdm,1980s,keep_main_anchor_candidate,"People Concerned for the Unborn Child Newsletter, 1981-12 | MCCL Newsletter, 1984-08 | Unitarian Universalist Lesbian and Gay Community Newsletters, 1986"
United States|Modern typography and layout|Letterform Archive|2020s,3,United States,Modern typography and layout,Letterform Archive,2020s,keep_main_anchor_candidate,"From the Collection: Emigre Font Development Files | Inside Lettres Décoratives: A Century of French Sign Painters’ Alphabets | This Just In: Chinese Lettering Manuals, 1930⁠–⁠1971"
United States|World War and public-information graphics|Wikimedia Commons|2010s,3,United States,World War and public-information graphics,Wikimedia Commons,2010s,main_anchor_manual_review,"A middle-aged woman in glasses with her arms crossed, a Wellcome L0052365.jpg | A pregnant black woman with a warning about the dangers of Wellcome L0052322.jpg | Two blurred figures with a warning about the risk of drug Wellcome L0052370.jpg"
Aotearoa New Zealand|Midcentury modern graphic communication|Auckland Libraries Heritage Collections / CONTENTdm|2010s,3,Aotearoa New Zealand,Midcentury modern graphic communication,Auckland Libraries Heritage Collections / CONTENTdm,2010s,needs_packet_subsheet_assignment,"Washing machine repair shop, Dominion Road, 2013 | Civic Theatre, Queen Street, Auckland Central, 2015 | Civic Theatre, Queen Street, Auckland Central, 2016"
United Kingdom|Travel and transport poster culture|V&A Collections API|1950s,3,United Kingdom,Travel and transport poster culture,V&A Collections API,1950s,needs_packet_subsheet_assignment,Out and About by London Transport. The Farms. | Out and About by London Transport. The Farms. | Be First Not Last. Travel Early Shop Early Post Early
Global / transnational|Travel and transport poster culture|Internet Archive / text and periodical collections|2000s,3,Global / transnational,Travel and transport poster culture,Internet Archive / text and periodical collections,2000s,support_or_card_review,REVOLUTIONART issue 2 - international pdf magazine of graphics arts | REVOLUTIONART issue 3 - international pdf magazine of graphics arts | REVOLUTIONART issue 4 (DIRT) - international pdf magazine of graphics arts
