surface_id,capture_id,year,period_band,five_year_bucket,region,theme,source_family,source_name,title,image_state,source_text_chars,generated_text_chars,total_text_chars,cluster_key,cluster_size,dossier_text_pages,dossier_support_pages,compound_children,anchor_strength_score,source_depth_score,relation_density_score,text_depth_score,design_object_confidence_score,risk_pressure_score,region_scarcity_score,period_value_score,editorial_need_score,overall_research_anchor_score,risk_flags,positive_flags,recommended_next_action,action_confidence,action_reason,sample_priority,calibration_question,review_status,reviewer_notes
SURF-ER1830R018,ER1830R018,1880,pre_1930,1880-1884,Unresolved region,Midcentury modern graphic communication,Library of Congress,Library of Congress loc.gov API,[Pearsall Photography Studio trade card],IMG04,593,2045,2638,Unresolved region|Midcentury modern graphic communication|Library of Congress|1880-1884,4,1,1,0,42,74,27,94,0,12,70,0,6,42,source_register:catalog record,,convert_to_text_or_appendix,medium,Source/register evidence should become text or appendix rather than object main.,53,"Should this evidence become text, appendix, or source register?",pending,
SURF-CCT2026R01175,CCT2026R01175,1949,1930_1970,1945-1949,East Asia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / China 1949 - Non-Denominated Airmail stamp.jpg / page 68004882,China 1949 - Non-Denominated Airmail stamp.jpg,IMG03,166,2669,2835,China / Hong Kong|Modern typography and layout|Wikimedia Commons|1945-1949,14,1,1,0,32,16,47,58,66,62,48,0,42,32,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,164,Would moving this to card hide any meaningful research path?,pending,
SURF-CCT2026R01629,CCT2026R01629,1958,1930_1970,1955-1959,"Eastern Europe, Balkans, and Central/Eastern socialist contexts",Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Foaie cap de bour 1958.jpg / page 19748316,Foaie cap de bour 1958.jpg,IMG03,178,2718,2896,Romania|Modern typography and layout|Wikimedia Commons|1955-1959,7,1,0,0,27,17,30,59,66,62,0,0,41,27,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,148,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02091,CAW2026R02091,1941,1930_1970,1940-1944,Estonia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / StampTartu(Estonia)1941Michel8.jpg / page 33416921,StampTartu(Estonia)1941Michel8.jpg,IMG03,183,2545,2728,Estonia|Modern typography and layout|Wikimedia Commons|1940-1944,2,1,1,0,33,18,17,60,66,44,95,0,40,33,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,129,Would moving this to card hide any meaningful research path?,pending,
SURF-CCT2026R03560,CCT2026R03560,1950,1930_1970,1950-1954,Fiji,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp Fiji 1959 2 6 Nadi Airport.jpg / page 16187525,Stamp Fiji 1959 2 6 Nadi Airport.jpg,IMG03,927,2586,3513,Fiji|Modern typography and layout|Wikimedia Commons|1950-1954,1,1,1,0,49,80,12,100,66,80,98,0,0,49,stamp_or_philatelic:philatelic; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,115,Would moving this to card hide any meaningful research path?,pending,
SURF-CRG2026R1653,CRG2026R1653,1963,1930_1970,1960-1964,Global / transnational,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Israeli stamps 1963 - series of wall and tower - 1.jpg / page 33595268,Israeli stamps 1963 - series of wall and tower - 1.jpg,IMG03,205,2685,2890,Global / transnational|Modern typography and layout|Wikimedia Commons|1960-1964,56,1,0,0,29,20,35,62,66,62,0,0,38,29,stamp_or_philatelic:philatelic; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,145,Would moving this to card hide any meaningful research path?,pending,
SURF-CCT2026R03102,CCT2026R03102,1963,1930_1970,1960-1964,Jordan,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / The East Ghor Canal Project.jpg / page 32432690,The East Ghor Canal Project.jpg,IMG03,505,2813,3318,Jordan|Modern typography and layout|Wikimedia Commons|1960-1964,1,1,0,0,40,50,0,87,66,62,92,0,13,40,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,110,Would moving this to card hide any meaningful research path?,pending,
SURF-CCT2026R04246,CCT2026R04246,1962,1930_1970,1960-1964,Laos,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Laos (1962) - Savang Vatthana.jpg / page 125441210,Stamp of Laos (1962) - Savang Vatthana.jpg,IMG03,232,2806,3038,Laos|Modern typography and layout|Wikimedia Commons|1960-1964,2,1,1,0,32,23,17,64,66,62,94,0,36,32,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,143,Would moving this to card hide any meaningful research path?,pending,
SURF-CCT2026R02529,CCT2026R02529,1936,1930_1970,1935-1939,Latin America and the Caribbean,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Peru - 1936 - Colnect 437914 - Mines.jpeg / page 114987600,Stamp of Peru - 1936 - Colnect 437914 - Mines.jpeg,IMG03,237,2765,3002,Peru|Modern typography and layout|Wikimedia Commons|1935-1939,71,1,1,0,32,23,47,64,66,62,0,0,36,32,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,158,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02303,CAW2026R02303,1950,1930_1970,1950-1954,Latvia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Riga 1950 60kop USSR.jpg / page 8458163,Riga 1950 60kop USSR.jpg,IMG03,224,2566,2790,Latvia|Modern typography and layout|Wikimedia Commons|1950-1954,1,1,0,0,31,22,0,63,66,44,86,0,37,31,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,126,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R01736,CAW2026R01736,1933,1930_1970,1930-1934,Lithuania,Modern typography and layout,Wikimedia Commons,"Wikimedia Commons file source / Lithuanian postage stamps with Žemaitė, 1933.jpg / page 125378328","Lithuanian postage stamps with Žemaitė, 1933.jpg",IMG03,196,2590,2786,Lithuania|Modern typography and layout|Wikimedia Commons|1930-1934,14,1,1,0,35,19,47,61,66,62,74,0,39,35,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,161,Would moving this to card hide any meaningful research path?,pending,
SURF-CCT2026R00503,CCT2026R00503,1950,1930_1970,1950-1954,Middle East and North Africa,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp MA 1950 15+10 Fr.jpg / page 158873186,Stamp MA 1950 15+10 Fr.jpg,IMG03,143,2570,2713,Morocco|Modern typography and layout|Wikimedia Commons|1950-1954,8,1,1,0,28,14,47,56,66,62,0,0,44,28,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,166,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02114,CAW2026R02114,1942,1930_1970,1940-1944,Moldova,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Moldova - 2012 - Colnect 272865 - Mihai Dolgan 1942-2008 Singer and Composer.jpeg / page 115752134,Stamp of Moldova - 2012 - Colnect 272865 - Mihai Dolgan 1942-2008 Singer and Composer.jpeg,IMG03,776,2664,3440,Moldova|Modern typography and layout|Wikimedia Commons|1940-1944,1,1,0,0,47,80,0,100,66,74,84,0,0,47,weak_context:anniversary; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,109,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02242,CAW2026R02242,1948,1930_1970,1945-1949,Mongolia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / USSR-communicationmeeting-1958.jpg / page 2834140,USSR-communicationmeeting-1958.jpg,IMG03,1782,2504,4286,Mongolia|Modern typography and layout|Wikimedia Commons|1945-1949,1,1,0,0,50,80,0,100,66,62,96,0,0,50,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,97,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R01710,CAW2026R01710,1932,1930_1970,1930-1934,Mozambique,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Peru - 1932 - Colnect 846134 - Number 2.jpeg / page 114985153,Stamp of Peru - 1932 - Colnect 846134 - Number 2.jpeg,IMG03,297,2577,2874,Mozambique|Modern typography and layout|Wikimedia Commons|1930-1934,2,1,0,0,35,29,5,69,78,62,94,0,31,35,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,advertisement; design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,128,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02336,CAW2026R02336,1951,1930_1970,1950-1954,North America,Modern typography and layout,Wikimedia Commons,"Wikimedia Commons file source / Myanmar in 1951 art, from- Burma Civil Liberties Poster - NARA - 5729921 (cropped).jpg / page 84930875","Myanmar in 1951 art, from- Burma Civil Liberties Poster - NARA - 5729921 (cropped).jpg",IMG03,221,2552,2773,United States|Modern typography and layout|Wikimedia Commons|1950-1954,2,1,0,0,31,22,5,63,78,44,31,0,37,31,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; poster; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,126,Would moving this to card hide any meaningful research path?,pending,
SURF-CCT2026R03487,CCT2026R03487,1937,1930_1970,1935-1939,Oceania and Pacific,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Australianstamp 1442.jpg / page 12597156,Australianstamp 1442.jpg,IMG03,167,2636,2803,Australia / Indigenous|Modern typography and layout|Wikimedia Commons|1935-1939,10,1,1,0,29,16,47,58,66,62,0,0,42,29,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,164,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02166,CAW2026R02166,1944,1930_1970,1940-1944,Oman,Travel and transport poster culture,Wikimedia Commons,Wikimedia Commons file source / Zanzibaralbusaid1944.jpg / page 6525200,Zanzibaralbusaid1944.jpg,IMG03,584,2529,3113,Oman|Travel and transport poster culture|Wikimedia Commons|1940-1944,1,1,0,0,43,58,0,93,66,62,98,0,7,43,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,104,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02169,CAW2026R02169,1944,1930_1970,1940-1944,Papua New Guinea,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Aegean Islands - 1944 - Colnect 413750 - Pro sinistrati di guerra.jpeg / page 115644899,Stamp of Aegean Islands - 1944 - Colnect 413750 - Pro sinistrati di guerra.jpeg,IMG03,749,2613,3362,Papua New Guinea|Modern typography and layout|Wikimedia Commons|1940-1944,7,1,0,0,54,80,30,100,66,62,89,0,0,54,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,97,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02768,CAW2026R02768,1969,1930_1970,1965-1969,Rwanda,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Rwanda - 1969 - Colnect 988101 - The Moneylender and his Wife by Quentin Matsys.jpeg / page 115808898,Stamp of Rwanda - 1969 - Colnect 988101 - The Moneylender and his Wife by Quentin Matsys.jpeg,IMG03,325,2686,3011,Rwanda|Modern typography and layout|Wikimedia Commons|1965-1969,1,1,0,0,33,32,0,72,66,62,99,0,28,33,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,125,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02697,CAW2026R02697,1966,1930_1970,1965-1969,Serbia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Zanzibar - 1966 - Colnect 465791 - Education.jpeg / page 115889903,Stamp of Zanzibar - 1966 - Colnect 465791 - Education.jpeg,IMG03,703,2495,3198,Serbia|Modern typography and layout|Wikimedia Commons|1965-1969,2,1,1,0,49,80,17,100,66,62,30,0,0,49,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,97,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02548,CAW2026R02548,1958,1930_1970,1955-1959,Slovenia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Ironworks-in-Sisak.jpg / page 147140712,Ironworks-in-Sisak.jpg,IMG03,381,2469,2850,Slovenia|Modern typography and layout|Wikimedia Commons|1955-1959,2,1,0,0,36,38,5,76,66,62,90,0,24,36,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,121,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02711,CAW2026R02711,1966,1930_1970,1965-1969,Solomon Islands,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / FrankLloydWright1966USstamp.jpg / page 698792,FrankLloydWright1966USstamp.jpg,IMG03,1645,2337,3982,Solomon Islands|Modern typography and layout|Wikimedia Commons|1965-1969,2,1,0,0,50,80,5,100,66,62,96,0,0,50,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,97,Would moving this to card hide any meaningful research path?,pending,
SURF-CCT2026R03741,CCT2026R03741,1950,1930_1970,1950-1954,South Asia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of India - 1950 - Colnect 986625 - 1 - Quill ink well and verse.jpeg / page 98491515,Stamp of India - 1950 - Colnect 986625 - 1 - Quill ink well and verse.jpeg,IMG03,318,2851,3169,India|Modern typography and layout|Wikimedia Commons|1950-1954,30,1,1,0,34,31,47,71,66,74,14,0,29,34,weak_context:inauguration; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,153,Would moving this to card hide any meaningful research path?,pending,
SURF-CCT2026R04325,CCT2026R04325,1969,1930_1970,1965-1969,Southeast Asia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Dinopium everetti 1969 stamp of the Philippines.jpg / page 49655801,Dinopium everetti 1969 stamp of the Philippines.jpg,IMG03,177,2854,3031,Philippines|Modern typography and layout|Wikimedia Commons|1965-1969,9,1,0,0,28,17,35,59,66,62,0,0,41,28,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,148,Would moving this to card hide any meaningful research path?,pending,
SURF-CCT2026R03193,CCT2026R03193,1938,1930_1970,1935-1939,Syria,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp Alexandretta 4pi.jpg / page 1561433,Stamp Alexandretta 4pi.jpg,IMG03,463,2754,3217,Syria|Modern typography and layout|Wikimedia Commons|1935-1939,1,1,0,0,38,46,0,83,66,62,84,0,17,38,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,114,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R01740,CAW2026R01740,1933,1930_1970,1930-1934,Tunisia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Aegean Islands - 1933 - Colnect 177601 - Rodi - Symbolical of Flight.jpeg / page 115644051,Stamp of Aegean Islands - 1933 - Colnect 177601 - Rodi - Symbolical of Flight.jpeg,IMG03,340,2630,2970,Tunisia|Modern typography and layout|Wikimedia Commons|1930-1934,1,1,0,0,33,34,0,73,66,62,87,0,27,33,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,124,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02729,CAW2026R02729,1967,1930_1970,1965-1969,United Arab Emirates,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Sheik-Rashid-bin-Said 1967 stamps of Dubai.jpg / page 169092346,Sheik-Rashid-bin-Said 1967 stamps of Dubai.jpg,IMG03,789,2541,3330,United Arab Emirates|Modern typography and layout|Wikimedia Commons|1965-1969,2,1,0,0,50,80,5,100,66,62,92,0,0,50,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,97,Would moving this to card hide any meaningful research path?,pending,
SURF-IR1970R016,IR1970R016,1940,1930_1970,1940-1944,Unresolved region,Midcentury modern graphic communication,Wellcome Collection,Wellcome Collection Catalogue API,"A tuberculosis stamp showing children singing Christmas carols; advertising the sale of tuberculosis stamps. Colour lithograph (?), 1940.",IMG02,321,2035,2356,Unresolved region|Midcentury modern graphic communication|Wellcome Collection|1940-1944,2,1,0,0,36,47,5,71,50,36,70,0,29,36,stamp_or_philatelic:stamp; stamp_or_philatelic:stamps,advertising; catalogue; poster,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,100,Would moving this to card hide any meaningful research path?,pending,
