sample_id,sample_lane,surface_id,source_record_id,title,date_start,region,source_name,authority_state,trace_state,trace_tier,source_url_gate,title_gate,date_gate,region_gate,image_route_gate,authority_gate,trace_gate,influence_gate,six_tables_gate,audit_status,audit_note
PF46S030,loc_refresh_append,SURF-LOCTRACE2026I462BBF342EBDF2,LOCTRACE2026I462BBF342EBDF2,The 10th anniversary of immortal 17-30 July revolution,1968,Iraq,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S031,loc_refresh_append,SURF-LOCTRACE2026I48FA72F52F99C9,LOCTRACE2026I48FA72F52F99C9,Internationale,1965,United Kingdom,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S032,loc_refresh_append,SURF-LOCTRACE2026I4BDD00ADA7F816,LOCTRACE2026I4BDD00ADA7F816,No funds for death Vote funds for life.,1972,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S033,loc_refresh_append,SURF-LOCTRACE2026I4E3F0FED5D098B,LOCTRACE2026I4E3F0FED5D098B,Chicago Temple by the Chicago Rapid Transit,1925,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S034,loc_refresh_append,SURF-LOCTRACE2026I5043578FD1A208,LOCTRACE2026I5043578FD1A208,"March to Wounded Knee, Earth Day World pilgrimage : Wounded Knee, S.D., April 20-22.",1965,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S035,loc_refresh_append,SURF-LOCTRACE2026I550B05F93EAA75,LOCTRACE2026I550B05F93EAA75,Italy this winter,1935,Italy,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S036,loc_refresh_append,SURF-LOCTRACE2026I5878E693FD8585,LOCTRACE2026I5878E693FD8585,"Women's edition - The Press Thanksgiving eve, Nov. 27th 1895 /",1895,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S037,loc_refresh_append,SURF-LOCTRACE2026I5B8A007C8BDDFD,LOCTRACE2026I5B8A007C8BDDFD,"Rabotnitsy i krest'ianki, vse na vybory : pod krasnyi stiag, v riady s muzhchinoi! -- burzhuazii strakh nesem!",1965,Russia,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S038,loc_refresh_append,SURF-LOCTRACE2026I5F48D448A80252,LOCTRACE2026I5F48D448A80252,[Modern Yu-kung draws a new map] [Selected from the Hu County farmers' painting exhibition],1975,China / Hong Kong,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S039,loc_refresh_append,SURF-LOCTRACE2026I618767B04CB5AC,LOCTRACE2026I618767B04CB5AC,"Vota, mais um voto, CDS",1976,Portugal,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S040,loc_refresh_append,SURF-LOCTRACE2026I641BE7303CE108,LOCTRACE2026I641BE7303CE108,"Hungria, Cuba '78",1978,Cuba / transnational,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S041,loc_refresh_append,SURF-LOCTRACE2026I66A545258C1B33,LOCTRACE2026I66A545258C1B33,Alles Gute : Volkspartei,1976,Austria,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S042,loc_refresh_append,SURF-LOCTRACE2026I67E06C227BBF6F,LOCTRACE2026I67E06C227BBF6F,Telling Chairman Mao about our harvest,1970,China / Hong Kong,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S043,loc_refresh_append,SURF-LOCTRACE2026I6AD7CD84FD6F62,LOCTRACE2026I6AD7CD84FD6F62,Demonstrate against government attacks on abortion rights!,1977,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S044,loc_refresh_append,SURF-LOCTRACE2026I6DE2F63612AB02,LOCTRACE2026I6DE2F63612AB02,Zimbabwe,1965,Zimbabwe,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S045,loc_refresh_append,SURF-LOCTRACE2026I7100E7DCBEB708,LOCTRACE2026I7100E7DCBEB708,Der osterreichische Weg : Sichere Arbeitsplatze,1978,Austria,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S046,loc_refresh_append,SURF-LOCTRACE2026I740FEB77FDCA47,LOCTRACE2026I740FEB77FDCA47,"Zdes' l'etsia vnov' i neft', i krov'",1979,Global / transnational,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S047,loc_refresh_append,SURF-LOCTRACE2026I7625FFC47B6FCC,LOCTRACE2026I7625FFC47B6FCC,"Dafur sind wir aber sehr tierlieb : die elterliche Gewalt fordert jahrlich ihre Opfer : 600,000 Bundesburger sind in Tierschutzvereinen, aber nur 20,000 kampfen gegen Kindesmisshandlung",1978,Germany,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S048,loc_refresh_append,SURF-LOCTRACE2026I777BB133865E42,LOCTRACE2026I777BB133865E42,"NICH [and] MASA present, Daniel Viglietti : canto libre = songs of freedom",1973,Chile,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S049,loc_refresh_append,SURF-LOCTRACE2026I7987122404001E,LOCTRACE2026I7987122404001E,Montana Northern Pacific North Coast Limited.,1920,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S050,loc_refresh_append,SURF-LOCTRACE2026I7CD35A428E0734,LOCTRACE2026I7CD35A428E0734,Fêtes de Cracovie 10-14 Juin 1936,1936,Poland,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S051,loc_refresh_append,SURF-LOCTRACE2026I7EA78001ACC30F,LOCTRACE2026I7EA78001ACC30F,"[Vote truth : The coalition is Labour Party, United Workers' Party, and not the other parties]",1969,Israel / Palestine,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S052,loc_refresh_append,SURF-LOCTRACE2026I82BEE012C9F83F,LOCTRACE2026I82BEE012C9F83F,Dia de solidaridad con el pueblo de Guatemala,1965,Guatemala,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S053,loc_refresh_append,SURF-LOCTRACE2026I85A6C98BFEB88C,LOCTRACE2026I85A6C98BFEB88C,[Special rescue operation for a nation under siege - shoulder to shoulder to help the nation],1949,Israel / Palestine,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S054,loc_refresh_append,SURF-LOCTRACE2026I86C42AA2B516E3,LOCTRACE2026I86C42AA2B516E3,[Soviet cavalry],1977,Russia,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S055,loc_refresh_append,SURF-LOCTRACE2026I8887E3DEFF571E,LOCTRACE2026I8887E3DEFF571E,Sinn Fein,1965,Ireland,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S056,loc_refresh_append,SURF-LOCTRACE2026I8B709971505659,LOCTRACE2026I8B709971505659,Irish freedom concert,1971,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S057,loc_refresh_append,SURF-LOCTRACE2026I8FE5C74C1AC21C,LOCTRACE2026I8FE5C74C1AC21C,"Svenskar upp till val, 20-21 mars : Svenska folkpartiet",1965,Finland,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S058,loc_refresh_append,SURF-LOCTRACE2026I93FEC0F55ACA8A,LOCTRACE2026I93FEC0F55ACA8A,"Nihon Bankoku Haku Ōsaka, Shōwa 45-nen, 3-gatsu 15-nichi kaikai. Jinrui no shinpo to chōwa, Expo '70.",1970,Japan,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S059,loc_refresh_append,SURF-LOCTRACE2026I97779E3CC8F84C,LOCTRACE2026I97779E3CC8F84C,Together with McGovern,1972,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S060,loc_refresh_append,SURF-LOCTRACE2026I9A0E37CE6100E3,LOCTRACE2026I9A0E37CE6100E3,Justice demands the vote,1909,United Kingdom,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S061,loc_refresh_append,SURF-LOCTRACE2026I9C6425222950E8,LOCTRACE2026I9C6425222950E8,"It's his oil : So why are 40,000 Scots kids on part-time education?...",1965,United Kingdom,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S062,loc_refresh_append,SURF-LOCTRACE2026I9FB35B0AB48133,LOCTRACE2026I9FB35B0AB48133,The Spirit of the past will rise to clAIM the future : Wounded Knee,1973,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S063,loc_refresh_append,SURF-LOCTRACE2026IA0EA94D89DFB2E,LOCTRACE2026IA0EA94D89DFB2E,"Be counted this time : March to end the war : Washington, April 24",1971,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S064,loc_refresh_append,SURF-LOCTRACE2026IA38ABEF1998B86,LOCTRACE2026IA38ABEF1998B86,"William King recent sculpture, December 1 to January 2, 1965. Terry Dintenfass, Inc., 18 E. 67 St. N.Y.C.",1965,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S065,loc_refresh_append,SURF-LOCTRACE2026IA569612C8BD5E6,LOCTRACE2026IA569612C8BD5E6,"Oui à une France libre : Pour la France que nous aimons, Jacques Chirac et le RPR",1965,France,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S066,loc_refresh_append,SURF-LOCTRACE2026IA8025AC376E5FA,LOCTRACE2026IA8025AC376E5FA,XVIII bal--5 luty 38--Warszawa swej Politechnice,1938,Poland,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S067,loc_refresh_append,SURF-LOCTRACE2026IAA8691BE0F68BB,LOCTRACE2026IAA8691BE0F68BB,"Kreisky, wer sonst? : SPÖ, sicherheit und eine gute Zukunft",1980,Austria,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S068,loc_refresh_append,SURF-LOCTRACE2026IADF42D6B7E8C44,LOCTRACE2026IADF42D6B7E8C44,"Festival '72, Seattle Center, July 21-22-23",1972,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S069,loc_refresh_append,SURF-LOCTRACE2026IB09230B8F985A1,LOCTRACE2026IB09230B8F985A1,"Vivere a Milano : dopo lo sgombero al Gallaratese, 27.10.1974",1976,Italy,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S070,loc_refresh_append,SURF-LOCTRACE2026IB3479D179017EC,LOCTRACE2026IB3479D179017EC,Netuain mapu : we shall recover the land : the Mapuches of Chile,1975,Chile,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S071,loc_refresh_append,SURF-LOCTRACE2026IB52ED38A5CC084,LOCTRACE2026IB52ED38A5CC084,Der Tod hat viele Gesichter : Verhindert das einheitliche Polizeigesetz,1977,Germany,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S072,loc_refresh_append,SURF-LOCTRACE2026IB716F2B85077E7,LOCTRACE2026IB716F2B85077E7,"McClure, U.S. Senator",1965,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S073,loc_refresh_append,SURF-LOCTRACE2026IBA5FE994AAFA45,LOCTRACE2026IBA5FE994AAFA45,Mechanizing the agriculture is our hope,1954,China / Hong Kong,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S074,loc_refresh_append,SURF-LOCTRACE2026IBFA9A3FBCFB833,LOCTRACE2026IBFA9A3FBCFB833,Die Storströmbrücke,1937,Denmark,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S075,loc_refresh_append,SURF-LOCTRACE2026IC331D7A04EC49E,LOCTRACE2026IC331D7A04EC49E,"Things look better Rural Electrification Administration, U.S. Department of Agriculture /",1930,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S076,loc_refresh_append,SURF-LOCTRACE2026IC56339CA74EE1D,LOCTRACE2026IC56339CA74EE1D,"Elect the conservative team! Duryea for governor, Caputo for Lt. Governor : vote Conservative, row C",1965,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S077,loc_refresh_append,SURF-LOCTRACE2026IC6A3ADBE674F0E,LOCTRACE2026IC6A3ADBE674F0E,Gaufest ... 1935 ... Leipzig,1935,Germany,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S078,loc_refresh_append,SURF-LOCTRACE2026IC8DF782CC3D71C,LOCTRACE2026IC8DF782CC3D71C,Wie sich die Bilder gleichen,1972,Global / transnational,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S079,loc_refresh_append,SURF-LOCTRACE2026ICABDAF54D4F13A,LOCTRACE2026ICABDAF54D4F13A,"Benefit night and rally : Sat., January 15th, 8 PM for the Northern Ireland Civil Rights Assoc. ...",1972,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S080,loc_refresh_append,SURF-LOCTRACE2026ICD927D6A252C36,LOCTRACE2026ICD927D6A252C36,"[Coalition for local authority : Labour and United-Workers' Party, not the other parties]",1969,Israel / Palestine,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
