queue_id,candidate_id,source_name,macro_region,country_or_region,institution_class,adapter_hint,queue_priority,capture_phase,target_record_count,target_period,first_query_terms,image_policy,text_policy,rights_gate,source_url,next_action,notes
ICQ011,SEM024,Czech Digital Library,Eastern Europe,,government,kramerius_adapter,Q1,protocol:kramerius,12,1931-1970 first; keep later records if discovered,poster; plakát; typography; magazine; propaganda; print culture,IMG02_source_viewer_or_iiif_candidate,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://ceskadigitalniknihovna.cz/,"Use Kramerius API search for title/keyword, then inspect item policy and IIIF/viewer support.",Strong for periodicals and print culture
ICQ012,ESC017,University of Cape Town Digital Collections,Africa,South Africa,university,omeka_api_adapter,Q1,protocol:omeka,8,1931-1970 first; keep later records if discovered,poster; pamphlet; anti-apartheid; public campaign; magazine; print culture,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://digitalcollections.lib.uct.ac.za/,Probe /api/items and media endpoints; keep images source-hosted unless license is explicit.,High value for southern African political print.
ICQ013,ESC002,Fundacion IDA Investigacion en Diseno Argentino,Latin America,Argentina,community,html_jsonld_adapter,Q1,protocol:html_jsonld,8,1931-1970 first; keep later records if discovered,poster; revista; diseño gráfico; tipografía; propaganda; publicidad,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.fundacionida.org/,Extract JSON-LD/schema metadata and source text; only link images unless record-level rights are explicit.,Important non-Anglophone design-history authority.
ICQ014,ESC005,CeDInCI Archivo,Latin America,Argentina,community,html_jsonld_adapter,Q1,protocol:html_jsonld,8,1931-1970 first; keep later records if discovered,poster; revista; diseño gráfico; tipografía; propaganda; publicidad,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://cedinci.org/,Extract JSON-LD/schema metadata and source text; only link images unless record-level rights are explicit.,Important political graphics and print-culture source.
ICQ015,ESC018,Mayibuye Archives,Africa,South Africa,university,html_jsonld_adapter,Q1,protocol:html_jsonld,8,1931-1970 first; keep later records if discovered,poster; pamphlet; anti-apartheid; public campaign; magazine; print culture,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.uwc.ac.za/,Extract JSON-LD/schema metadata and source text; only link images unless record-level rights are explicit.,Core source for political visual culture.
ICQ016,ESC034,Ataturk Library Digital Archive,Middle East and North Africa,Turkey,municipal,html_jsonld_adapter,Q1,protocol:html_jsonld,8,1931-1970 first; keep later records if discovered,poster; advertisement; typography; magazine; public campaign,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://ataturkkitapligi.ibb.gov.tr/,Extract JSON-LD/schema metadata and source text; only link images unless record-level rights are explicit.,Municipal source for Istanbul print culture.
ICQ017,ESC070,Ateneo Rizal Library Digital Archives,Southeast Asia,Philippines,university,html_jsonld_adapter,Q1,protocol:html_jsonld,8,1931-1970 first; keep later records if discovered,poster; advertisement; public campaign; magazine; print culture,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://rizal.library.ateneo.edu/,Extract JSON-LD/schema metadata and source text; only link images unless record-level rights are explicit.,University source for Manila print culture.
ICQ018,ESC083,DIGAR Estonian Articles and Digital Archive,Eastern Europe,Estonia,government,html_jsonld_adapter,Q1,protocol:html_jsonld,8,1931-1970 first; keep later records if discovered,poster; plakát; typography; magazine; propaganda; print culture,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.digar.ee/,Extract JSON-LD/schema metadata and source text; only link images unless record-level rights are explicit.,Baltic periodical source.
ICQ019,SEM027,DIGAR,Eastern Europe,,government,html_jsonld_adapter,Q1,protocol:html_jsonld,8,1931-1970 first; keep later records if discovered,poster; plakát; typography; magazine; propaganda; print culture,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.digar.ee/,Extract JSON-LD/schema metadata and source text; only link images unless record-level rights are explicit.,Useful for Estonian print and poster context
ICQ020,SEM086,National Digital Library of India,South Asia,,government,html_jsonld_adapter,Q1,protocol:html_jsonld,8,1931-1970 first; keep later records if discovered,poster; commercial art; typography; public communication; design education,IMG04_text_only_until_object_images_found,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://ndl.iitkgp.ac.in/,Extract JSON-LD/schema metadata and source text; only link images unless record-level rights are explicit.,"design education, NID-related texts, public communication references"
ICQ021,ESC001,AHIRA Archivo Historico de Revistas Argentinas,Latin America,Argentina,university,pdf_text_or_link_adapter,Q1,protocol:pdf_text,5,1931-1970 first; keep later records if discovered,poster; revista; diseño gráfico; tipografía; propaganda; publicidad,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://ahira.com.ar/,Capture PDF/text record as IMG04 or IMG02 source-viewer; use text page as reading appendix.,Strong for magazine design outside museum object logic.
ICQ022,ESC011,Biblioteca Nacional del Peru Digital,Latin America,Peru,government,pdf_text_or_link_adapter,Q1,protocol:pdf_text,5,1931-1970 first; keep later records if discovered,poster; revista; diseño gráfico; tipografía; propaganda; publicidad,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.bnp.gob.pe/,Capture PDF/text record as IMG04 or IMG02 source-viewer; use text page as reading appendix.,Andean print-culture gap filler.
ICQ023,ESC030,Arab Image Foundation,Middle East and North Africa,Lebanon / regional,community,pdf_text_or_link_adapter,Q1,protocol:pdf_text,5,1931-1970 first; keep later records if discovered,poster; advertisement; typography; magazine; public campaign,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://arabimagefoundation.org/,Capture PDF/text record as IMG04 or IMG02 source-viewer; use text page as reading appendix.,Important regional visual archive; rights-sensitive.
ICQ024,ESC061,National Central Library Taiwan,East Asia,Taiwan,government,pdf_text_or_link_adapter,Q1,protocol:pdf_text,5,1931-1970 first; keep later records if discovered,poster; graphic design; typography; advertisement; magazine; propaganda,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.ncl.edu.tw/,Capture PDF/text record as IMG04 or IMG02 source-viewer; use text page as reading appendix.,Core Taiwan print source.
ICQ025,SEM085,National Library of India,South Asia,,government,pdf_text_or_link_adapter,Q1,protocol:pdf_text,5,1931-1970 first; keep later records if discovered,poster; commercial art; typography; public communication; design education,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.nationallibrary.gov.in/,Capture PDF/text record as IMG04 or IMG02 source-viewer; use text page as reading appendix.,"Indian publishing, multilingual typography, public communication context"
ICQ026,SEM087,NID Archives and institutional publications,South Asia,,university,pdf_text_or_link_adapter,Q1,protocol:pdf_text,5,1931-1970 first; keep later records if discovered,poster; commercial art; typography; public communication; design education,IMG04_text_only_until_object_images_found,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.nid.edu/,Capture PDF/text record as IMG04 or IMG02 source-viewer; use text page as reading appendix.,postcolonial design education and development communication
ICQ027,ESC059,HKUL Digital Initiatives,East Asia,Hong Kong,university,html_text_source_adapter,Q1,protocol:html_text,5,1931-1970 first; keep later records if discovered,poster; graphic design; typography; advertisement; magazine; propaganda,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://digitalrepository.lib.hku.hk/,Create HTML parser with conservative link-only image policy.,University source for China/Hong Kong records.
ICQ028,ESC010,Banco de la Republica Biblioteca Virtual,Latin America,Colombia,government,html_text_source_adapter,Q2,protocol:html_text,5,1931-1970 first; keep later records if discovered,poster; revista; diseño gráfico; tipografía; propaganda; publicidad,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.banrepcultural.org/,Create HTML parser with conservative link-only image policy.,Public institutional source with reading value.
ICQ029,ESC055,National Library of Korea Digital Collection,East Asia,Korea,government,html_text_source_adapter,Q2,protocol:html_text,5,1931-1970 first; keep later records if discovered,poster; graphic design; typography; advertisement; magazine; propaganda,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.nl.go.kr/,Create HTML parser with conservative link-only image policy.,Korean print source.
ICQ030,ESC066,Khastara Perpusnas Indonesia,Southeast Asia,Indonesia,government,html_text_source_adapter,Q2,protocol:html_text,5,1931-1970 first; keep later records if discovered,poster; advertisement; public campaign; magazine; print culture,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://khastara.perpusnas.go.id/,Create HTML parser with conservative link-only image policy.,Indonesian print-culture source.
ICQ031,ESC087,Ukrainian Liberation Movement Archive,Eastern Europe,Ukraine,community,html_text_source_adapter,Q2,protocol:html_text,5,1931-1970 first; keep later records if discovered,poster; plakát; typography; magazine; propaganda; print culture,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://avr.org.ua/,Create HTML parser with conservative link-only image policy.,Non-state political print source.
ICQ032,ESC091,State Library Victoria,Oceania and Pacific,Australia,government,html_text_source_adapter,Q2,protocol:html_text,5,1931-1970 first; keep later records if discovered,poster; ephemera; public campaign; Indigenous; magazine,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.slv.vic.gov.au/,Create HTML parser with conservative link-only image policy.,State-level non-national source.
ICQ033,SEM026,dLib.si,Eastern Europe,,government,html_text_source_adapter,Q2,protocol:html_text,5,1931-1970 first; keep later records if discovered,poster; plakát; typography; magazine; propaganda; print culture,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.dlib.si/,Create HTML parser with conservative link-only image policy.,Strong for Slovene periodical and print studies
ICQ034,SEM047,BNDigital,Latin America,,government,html_text_source_adapter,Q2,protocol:html_text,5,1931-1970 first; keep later records if discovered,poster; revista; diseño gráfico; tipografía; propaganda; publicidad,IMG03_only_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://bndigital.bn.gov.br/,Create HTML parser with conservative link-only image policy.,High relevance for Brazilian print culture and visual communication
ICQ035,SEM070,National Library of Korea Open API,East Asia,,government,html_text_source_adapter,Q2,protocol:html_text,5,1931-1970 first; keep later records if discovered,poster; graphic design; typography; advertisement; magazine; propaganda,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.nl.go.kr/,Create HTML parser with conservative link-only image policy.,Useful for Korean publishing and periodical metadata
ICQ036,SEM097,Wits Historical Papers / Medu Art Ensemble resources,Africa,,university,html_text_source_adapter,Q2,protocol:html_text,5,1931-1970 first; keep later records if discovered,poster; pamphlet; anti-apartheid; public campaign; magazine; print culture,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.wits.ac.za/,Create HTML parser with conservative link-only image policy.,Medu and anti-apartheid design context
ICQ037,SEM099,Trove,Oceania and Pacific,,government,html_text_source_adapter,Q2,protocol:html_text,5,1931-1970 first; keep later records if discovered,poster; ephemera; public campaign; Indigenous; magazine,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://trove.nla.gov.au/,Create HTML parser with conservative link-only image policy.,"Australian print, advertising, public information and web culture"
ICQ038,SEM115,African Activist Archive,Africa,,community,html_text_source_adapter,Q2,protocol:html_text,5,1931-1970 first; keep later records if discovered,poster; pamphlet; anti-apartheid; public campaign; magazine; print culture,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://africanactivist.msu.edu/,Create HTML parser with conservative link-only image policy.,"anti-apartheid and liberation solidarity graphics, newsletters, campaign materials"
ICQ039,ESC057,Korean Film Archive,East Asia,Korea,government,html_source_probe_then_manual_rules,Q2,protocol:html_manual,5,1931-1970 first; keep later records if discovered,poster; graphic design; typography; advertisement; magazine; propaganda,IMG00_or_IMG02_after_record_level_rights,metadata_plus_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.koreafilm.or.kr/,Create HTML parser with conservative link-only image policy.,Strong poster graphics source outside design museums.
