surface_id,source_record_id,source_record_url,title,best_image_state,repair_family,weighted_gap_points,local_record_found,local_capture_id,local_record_file,local_image_state,local_rights_review_required,raw_record_found,raw_is_public_domain,raw_image_id_present,raw_rights_signal,rights_signal,future_action,upgrade_recommendation,automatic_upgrade_allowed,image_url_detected_excerpt,rights_basis_excerpt,review_note_excerpt
SURF-MC1930R053,182958,https://www.artic.edu/artworks/182958,You Reap What You Sow,IMG00,img00_source_visible_repair,1.00,true,MC1930R053,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/16f29d9b-fc95-49f3-cf11-f0ab6dc1bf81/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-ER1830R048,10429,https://www.artic.edu/artworks/10429,La Gismonda (Sarah Bernhardt),IMG04,img04_text_state_review,1.00,true,ECAP002,data/capture_batch_001_records.csv,IMG03,true,true,true,false,raw_no_image_identifier,no_public_domain_image_evidence,aic_item_api_probe_required,no_upgrade,false,,AIC search API reports is_public_domain=true.,Open image display candidate; final publication still needs item-page rights capture.
SURF-MC1930R089,229987,https://www.artic.edu/artworks/229987,50 Years Bauhaus Exhibition Poster,IMG00,img00_source_visible_repair,1.00,true,MC1930R089,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,false,,false,raw_record_missing,no_public_domain_image_evidence,aic_item_api_probe_required,no_upgrade,false,"https://www.artic.edu/iiif/2/68dd42d0-540b-ae57-8365-bd3476a655f7/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R064,249244,https://www.artic.edu/artworks/249244,Dada 1916-1923,IMG00,img00_source_visible_repair,1.00,true,MC1930R064,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,false,,false,raw_record_missing,no_public_domain_image_evidence,aic_item_api_probe_required,no_upgrade,false,"https://www.artic.edu/iiif/2/bfe8693c-80e2-3b43-cbe8-3a781e16d136/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R063,79465,https://www.artic.edu/artworks/79465,Exhibition Villauris,IMG00,img00_source_visible_repair,1.00,true,MC1930R063,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,false,,false,raw_record_missing,no_public_domain_image_evidence,aic_item_api_probe_required,no_upgrade,false,"https://www.artic.edu/iiif/2/51fe3274-c280-cf75-5da6-f5cd26ce5cdd/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R056,120015,https://www.artic.edu/artworks/120015,"The Kiss (Poster for Man Ray exhibition, Julien Levy Gallery)",IMG00,img00_source_visible_repair,1.00,true,MC1930R056,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,false,,false,raw_record_missing,no_public_domain_image_evidence,aic_item_api_probe_required,no_upgrade,false,"https://www.artic.edu/iiif/2/9a2c89ab-778f-4d5f-8160-f138ccdddd22/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R051,159645,https://www.artic.edu/artworks/159645,The Search for Human Resources in Germany,IMG00,img00_source_visible_repair,1.00,true,MC1930R051,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,false,,false,raw_record_missing,no_public_domain_image_evidence,aic_item_api_probe_required,no_upgrade,false,"https://www.artic.edu/iiif/2/998b77ca-e117-a612-f212-895a388709b9/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R042,159595,https://www.artic.edu/artworks/159595,The Time for Vengeance is Approaching,IMG00,img00_source_visible_repair,1.00,true,MC1930R042,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,false,,false,raw_record_missing,no_public_domain_image_evidence,aic_item_api_probe_required,no_upgrade,false,"https://www.artic.edu/iiif/2/f001f4c7-d60c-dff9-6b22-16b61c9da356/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R043,159596,https://www.artic.edu/artworks/159596,The Wedding Present,IMG00,img00_source_visible_repair,1.00,true,MC1930R043,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,false,,false,raw_record_missing,no_public_domain_image_evidence,aic_item_api_probe_required,no_upgrade,false,"https://www.artic.edu/iiif/2/9abaa244-0a10-2f36-a13b-cef0d8256a5d/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R045,184353,https://www.artic.edu/artworks/184353,"Thrill to the Heroic Struggle on ""Our Russian Front""",IMG00,img00_source_visible_repair,1.00,true,MC1930R045,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,false,,false,raw_record_missing,no_public_domain_image_evidence,aic_item_api_probe_required,no_upgrade,false,"https://www.artic.edu/iiif/2/7f7d69fd-df35-8c25-1d12-7de8a8b68fc5/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R046,159594,https://www.artic.edu/artworks/159594,Thunderous Blow,IMG00,img00_source_visible_repair,1.00,true,MC1930R046,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,false,,false,raw_record_missing,no_public_domain_image_evidence,aic_item_api_probe_required,no_upgrade,false,"https://www.artic.edu/iiif/2/47e47d85-6c55-c47b-168d-2591e7024d53/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
