rank,source_name,candidate_objects,weighted_gap_points,source_visible_gap_objects,verified_open_gap_objects,img03_unreviewed_objects,img02_objects,img01_objects,img00_objects,img04_objects,top_required_action,example_surface_ids
41,Afghanistan Centre at Kabul University,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0092
42,Afghanistan Digital Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0091
43,African Activist Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R001
44,Aga Khan Documentation Center Collections,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0107
45,Alexander Turnbull Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0069
46,American University of Beirut Libraries,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0041
47,Archives Nationales de Tunisie,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0007
48,Archives Nationales du Benin,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0072
49,Archives Nationales du Cameroun,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0073
50,Archives Nationales du Senegal,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0010
51,Archivo General de Centro America,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0030
52,Archivo General de Puerto Rico,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0088
53,Archivo General de la Nacion Peru,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0021
54,Archivo General de la Nacion Republica Dominicana,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0037
55,Archivo General de la Nacion Venezuela,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0026
56,Archivo Nacional de Asuncion,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0020
57,Archivo Nacional de Chile,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0016
58,Archivo Nacional de Costa Rica,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0031
59,Archivo Nacional de Panama,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0032
60,Arquivo Historico de Mocambique,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0076
61,Arquivo Nacional de Cabo Verde,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0080
62,Ateneo Rizal Library Digital Archives,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R037
63,Bag Factory Artists' Studios Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0106
64,Bahrain Authority for Culture and Antiquities,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0045
65,Biblioteca Digital de Bogota,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0023
66,Biblioteca Nacional de Angola,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0075
67,Biblioteca Nacional de Brasil,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0027
68,Biblioteca Nacional de Colombia,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0022
69,Biblioteca Nacional de Guatemala,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0029
70,Biblioteca Nacional de Mocambique,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0077
71,Biblioteca Nacional de Puerto Rico,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0087
72,Biblioteca Nacional de Venezuela,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0025
73,Biblioteca Nacional del Paraguay,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0019
74,Bibliotheca Alexandrina Memory of Modern Egypt,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0048
75,Bibliotheque Nationale du Cameroun,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0074
76,BookSG / Print Heritage,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R039
77,Bophana Audiovisual Resource Center,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-EW1970R009
78,CCA Lagos Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0101
79,Casa de Cultură Liviu Rebreanu,1,1.00,1,1,0,0,0,1,0,img00_source_visible_repair,SURF-NMIIC2026R0214
80,Casa de Rui Barbosa Acervo,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0082
81,Center for Contemporary Graphic Art,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R003
82,Centre de Documentation Saharienne,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0009
83,Centro de la Imagen Mexico,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0085
84,Chinese Posters,1,1.00,1,1,0,0,0,1,0,img00_source_visible_repair,SURF-MX1970R055-GROUP
85,Citizens Archive of Pakistan,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0051
86,Cook Islands Library and Museum,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0127
87,Czech Design Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0123
88,DDP Seoul,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R004
89,Design Center Philippines,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R041
90,Design in India / India Design Council references,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R031
91,DesignSingapore Council,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R042
92,Digital Library Iverieli,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0062
93,Digital Library of Lao Manuscripts,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R043
94,Estonian Museum of Applied Art and Design,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0124
95,Eswatini National Archives,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0013
96,Fine Arts Department Thailand,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R045
97,Getty Research Portal,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-MX1970R066
98,Ghana Library Authority,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0002
99,Ginza Graphic Gallery,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R007
100,GoDown Arts Centre,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0104
101,Grafis Nusantara,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R046
102,Hong Kong Heritage Project,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R008
103,Indonesian Visual Art Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R047
104,Instituto Moreira Salles Acervos,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0081
105,Iran Data Portal,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0039
106,Iraq National Library and Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0043
107,Jakarta Arts Council Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0117
108,Jamaica Archives and Records Department,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0034
109,Jordan National Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0042
110,Kenya National Library Service,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0004
111,Khastara Perpusnas Indonesia,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R048
112,Korea Democracy Foundation Archives,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0093
113,Korean Film Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R011
114,Kramerius Registry,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R023
115,Kyoto ddd gallery,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R012
116,Latvian Centre for Contemporary Art Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0125
117,Lebanese National Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0040
118,Lesotho National Archives,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0014
119,Liberation War Museum Bangladesh,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0052
120,Lithuanian Design Forum,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0126
121,Lithuanian Integral Museum Information System LIMIS,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0095
122,Macedonian Digital Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0065
123,Madan Puraskar Pustakalaya,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R032
124,Market Photo Workshop,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0105
125,Mediateca INAH,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0028
126,Memoria Chilena,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R028
127,Moldova National Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0067
128,Mongolian National Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0094
129,Moravian Gallery Brno Design Collection,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0122
130,Museo Universitario Arte Contemporaneo MUAC,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0086
131,Museo de Arte Contemporaneo de Monterrey MARCO,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0084
132,Museo de la Memoria y los Derechos Humanos,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0017
133,Museu da Imagem e do Som Sao Paulo,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0083
134,Myanmar Photo Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0118
135,NDL Search / National Diet Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-SBC1970R0014
136,NID Archives and institutional publications,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R033
137,National Archives of Estonia,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0099
138,National Archives of India Abhilekh Patal,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0049
139,National Archives of Malaysia,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0057
140,National Archives of Mauritius,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0078
141,National Archives of Singapore,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R050
142,National Archives of Tanzania,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0005
143,National Archives of The Gambia,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0011
144,National Archives of Trinidad and Tobago,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0035
145,National Archives of Zimbabwe,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0003
146,National Digital Library of India,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R034
147,National Library Service of Belize,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0090
148,National Library and Archives of Ethiopia,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0006
149,National Library of Albania,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0097
150,National Library of India,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R035
151,National Library of Jamaica,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0033
152,National Library of Kosovo,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0098
153,National Library of Malaysia,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0056
154,National Library of Maldives,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0053
155,National Library of Montenegro,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0063
156,National Library of Myanmar,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0054
157,National Library of Nigeria,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0001
158,National Library of Tajikistan,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0060
159,National Library of The Bahamas,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0089
160,National Library of Trinidad and Tobago,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0036
161,National Library of Uzbekistan,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0059
162,National Library of Vietnam,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R052
163,National Library of Vietnam Digital Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0055
164,National Library of the Philippines,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R053
165,National Taiwan Museum of Fine Arts,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R015
166,National and University Library Bosnia and Herzegovina,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0064
167,NewspaperSG,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R054
168,Nsibidi Institute,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0102
169,Nubuke Foundation,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0103
170,Oman National Records and Archives Authority,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0047
171,PARADISEC,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0071
172,Pakistan Chowk Community Centre,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0114
173,Partition Museum Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0113
174,People's Archive of Rural India,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0112
175,Polish Digital Libraries Federation,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0096
176,Qatar National Library Digital Repository,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0108
177,Roja Muthiah Research Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R036
178,Romanian National Digital Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0066
179,Roots.sg,1,1.00,1,1,0,0,0,1,0,img00_source_visible_repair,SURF-ESR1931R055
180,Rwanda Cultural Heritage Academy,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0012
181,Sahapedia,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0111
182,Samoa National Archives and Records Authority,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0100
183,Sarmaya Arts Foundation,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0050
184,Senal Memoria Colombia,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0024
185,Seoul Design Foundation,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R018
186,Shanghai Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R019
187,Sharjah Art Foundation Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0110
188,Slovak Design Museum,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0121
189,State Library Victoria Collections,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0070
190,State Library of Turkmenistan,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0061
191,Sultan Qaboos University Library,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0046
192,Thai Poster Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R057
193,Tokyo ADC,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R021
194,Toše Proeski Memorial,1,1.00,1,1,0,0,0,1,0,img00_source_visible_repair,SURF-NMIIC2026R0205
195,UAE National Library and Archives,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0044
196,UWC Robben Island Mayibuye Archives,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R002
197,Ukrainian Institute of National Memory Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0068
198,Ukrainian Liberation Movement Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R024
199,Vasl Artists' Association Archive,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0115
200,VietGD,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R059
201,Vietnam Fine Arts Museum,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-NMSP2026R0119
202,Vietnam National Archives,1,1.00,1,1,0,0,0,0,1,img04_text_state_review,SURF-ESR1931R060
203,Roots.sg / National Heritage Board Singapore,2,0.90,0,2,0,2,0,0,0,img02_open_rights_review,SURF-NXS2026R002;SURF-NXS2026R003
204,!Khwa ttu,1,0.45,0,1,0,1,0,0,0,img02_open_rights_review,SURF-NMIIC2026R0122
