category,macro,country,object_term,depth,status,added,failures_delta,rejects_delta,rows_after,elapsed_seconds
Category:Political posters of Brazil,Latin America / Caribbean,Brazil,political poster,1,completed,0,0,0,219,647.1
Category:Political posters of Chile,Latin America / Caribbean,Chile,political poster,1,completed,0,0,1,219,648.5
Category:Political posters of China,East Asia,China,political poster,1,completed,0,1,0,219,666.2
Category:Political posters of Cuba,Latin America / Caribbean,Cuba,political poster,1,completed,1,1,1,220,700.4
Category:Political posters of India,South Asia,India,political poster,1,completed,6,0,4,226,702.3
Category:Political posters of Peru,Latin America / Caribbean,Peru,political poster,1,completed,0,0,2,226,703.9
Category:Political posters of the Philippines,Southeast Asia,Philippines,political poster,1,completed,2,0,0,228,705.5
Category:Political posters of Poland,Eastern Europe / Caucasus,Poland,political poster,1,completed,7,0,22,235,708.4
Category:Political posters of Iran,Middle East and North Africa,Iran,political poster,1,completed,0,1,0,235,725.9
Category:Political posters of Turkey,Middle East and North Africa,Turkey,political poster,1,completed,3,1,0,238,759.7
Category:Political posters of Ukraine,Eastern Europe / Caucasus,Ukraine,political poster,1,completed,0,0,18,238,762.2
Category:Political posters of Uruguay,Latin America / Caribbean,Uruguay,political poster,1,completed,3,0,1,241,763.9
Category:Chinese propaganda posters,East Asia,China,propaganda poster,1,completed,0,0,37,241,767.6
Category:Propaganda posters of Peru,Latin America / Caribbean,Peru,propaganda poster,1,completed,0,0,7,241,770.9
Category:Propaganda posters of Poland,Eastern Europe / Caucasus,Poland,propaganda poster,1,completed,3,0,12,244,408.1
Category:Propaganda posters in Vietnam,Southeast Asia,Vietnam,propaganda poster,1,completed,4,0,3,248,410.3
Category:Film posters by century by country,,,film poster,1,completed,0,0,0,248,411.1
Category:Film posters by decade by country,,,film poster,1,completed,0,1,0,248,427.9
Category:Film posters by year by country,,,film poster,1,completed,0,1,0,248,444.6
Category:Film posters of Algeria,Africa,Algeria,film poster,1,completed,11,1,38,259,463.9
Category:Film posters of Argentina,Latin America / Caribbean,Argentina,film poster,1,completed,0,0,22,259,466.5
Category:Film posters of Australia,Oceania / Pacific,Australia / Indigenous,film poster,1,completed,12,0,24,271,470.7
Category:Film posters of Bangladesh,South Asia,Bangladesh,film poster,1,completed,0,0,5,271,472.5
Category:Film posters of Brazil,Latin America / Caribbean,Brazil,film poster,1,completed,0,0,27,271,476.1
Category:Film posters of Bulgaria,Eastern Europe / Caucasus,Bulgaria,film poster,1,completed,0,1,0,271,493.5
Category:Film posters of Cameroon,Africa,Cameroon,film poster,1,completed,2,1,0,273,527.6
Category:Film posters of China,East Asia,China,film poster,1,completed,12,0,12,285,530.1
Category:Film posters of Colombia,Latin America / Caribbean,Colombia,film poster,1,completed,0,0,1,285,531.6
Category:Film posters of Croatia,Eastern Europe / Caucasus,Croatia,film poster,1,completed,3,0,2,288,533.3
Category:Film posters of Egypt,Africa,Egypt,film poster,1,completed,11,0,39,299,537.3
Category:Film posters of Hong Kong,East Asia,Hong Kong,film poster,1,completed,0,1,0,299,554.9
Category:Film posters of India,South Asia,India,film poster,1,completed,39,1,8,338,591.1
Category:Film posters of Indonesia,Southeast Asia,Indonesia,film poster,1,completed,0,0,50,338,593.8
Category:Film posters of Iran,Middle East and North Africa,Iran,film poster,1,completed,0,0,46,338,596.6
Category:Film posters of Iraq,Middle East and North Africa,Iraq,film poster,1,completed,3,0,0,341,598.1
Category:Film posters of Kazakhstan,Central Asia,Kazakhstan,film poster,1,completed,0,0,2,341,599.8
Category:Film posters of Kenya,Africa,Kenya,film poster,1,completed,0,1,0,341,617.5
Category:Film posters of Mexico,Latin America / Caribbean,Mexico,film poster,1,completed,0,1,8,341,651.6
Category:Film posters of Morocco,Africa,Morocco,film poster,1,completed,1,0,0,342,653.1
Category:Film posters of Mozambique,Africa,Mozambique,film poster,1,completed,0,0,1,342,654.6
Category:Film posters of Nepal,South Asia,Nepal,film poster,1,completed,0,0,0,342,656.1
Category:Film posters of New Zealand,Oceania / Pacific,Aotearoa New Zealand,film poster,1,completed,2,0,0,344,657.8
Category:Film posters of Nigeria,Africa,Nigeria,film poster,1,completed,0,1,0,344,675.3
Category:Film posters of North Korea,East Asia,Korea,film poster,1,completed,3,1,0,347,709.6
Category:Film posters of Peru,Latin America / Caribbean,Peru,film poster,1,completed,0,0,16,347,712.2
Category:Film posters of Poland,Eastern Europe / Caucasus,Poland,film poster,1,completed,17,0,22,364,716.5
Category:Film posters of Romania,Eastern Europe / Caucasus,Romania,film poster,1,completed,4,0,0,368,718.6
Category:Film posters of Serbia,Eastern Europe / Caucasus,Serbia,film poster,1,completed,4,0,1,372,720.6
Category:Film posters of South Korea,East Asia,Korea,film poster,1,completed,0,1,0,372,738.2
Category:Film posters of Syria,Middle East and North Africa,Syria,film poster,1,completed,3,1,0,375,772.4
Category:Film posters of Taiwan,East Asia,Taiwan,film poster,1,completed,3,0,4,378,774.5
Category:Film posters of Thailand,Southeast Asia,Thailand,film poster,1,completed,0,0,0,378,776.3
Category:Film posters of Turkey,Middle East and North Africa,Turkey,film poster,1,completed,8,0,2,386,778.8
Category:Film posters of Ukraine,Eastern Europe / Caucasus,Ukraine,film poster,1,completed,16,0,21,402,782.8
Category:Film posters of Uruguay,Latin America / Caribbean,Uruguay,film poster,1,completed,0,1,0,402,800.5
Category:Film posters of Venezuela,Latin America / Caribbean,Venezuela,film poster,1,completed,0,1,0,402,824.0
Category:Postage stamps by country by year,,,postage stamp,1,completed,0,0,0,402,824.7
Category:Postage stamps by year by country,,,postage stamp,1,completed,0,0,0,402,825.5
Category:Definitive stamps by country,,,postage stamp,1,completed,0,0,0,402,826.3
Category:Imperforate postage stamps by country,,,postage stamp,1,completed,0,0,0,402,827.0
Category:Joint issues of postage stamps by country,,,postage stamp,1,completed,0,0,0,402,827.9
Category:Postage stamp sheets by country,,,postage stamp,1,completed,0,0,0,402,828.7
Category:Airmail stamps by country,,,postage stamp,1,completed,0,0,0,402,829.4
Category:Meter stamps by country,,,postage stamp,1,completed,0,0,0,402,830.6
Category:Miniature sheets by country,,,postage stamp,1,completed,0,0,0,402,831.5
Category:Postage due stamps by country,,,postage stamp,1,completed,0,1,0,402,848.6
Category:Self-adhesive postage stamps by country,,,postage stamp,1,completed,0,1,0,402,865.5
Category:Semi-postal stamps by country,,,postage stamp,1,completed,0,0,0,402,882.6
Category:Souvenir sheets by country,,,postage stamp,1,completed,0,0,0,402,883.3
Category:Postage stamps of Algeria,Africa,Algeria,postage stamp,1,completed,0,0,0,402,884.8
Category:Postage stamps of Argentina,Latin America / Caribbean,Argentina,postage stamp,1,completed,0,0,2,402,886.3
Category:Stamps of Argentina,Latin America / Caribbean,Argentina,postage stamp,1,completed,0,0,16,402,888.9
Category:Postage stamps of Armenia,Eastern Europe / Caucasus,Armenia,postage stamp,1,completed,0,0,0,402,890.3
Category:Postage stamps of Azerbaijan,Eastern Europe / Caucasus,Azerbaijan,postage stamp,1,completed,0,2,0,402,924.0
Category:Stamps of Azerbaijan,Eastern Europe / Caucasus,Azerbaijan,postage stamp,1,completed,1,1,0,403,947.4
Category:Postage stamps of Bangladesh,South Asia,Bangladesh,postage stamp,1,completed,0,0,0,403,949.0
Category:Postage stamps of Bolivia,Latin America / Caribbean,Bolivia,postage stamp,1,completed,3,0,1,406,950.8
Category:Postage stamps of Brazil,Latin America / Caribbean,Brazil,postage stamp,1,completed,0,0,1,406,952.5
Category:Stamps of Brazil,Latin America / Caribbean,Brazil,postage stamp,1,completed,0,0,29,406,957.8
Category:Postage stamps of Bulgaria,Eastern Europe / Caucasus,Bulgaria,postage stamp,1,completed,0,1,0,406,975.3
Category:Stamps of Cambodia,Southeast Asia,Cambodia,postage stamp,1,completed,0,1,0,406,1009.4
Category:Stamps of Cameroon,Africa,Cameroon,postage stamp,1,completed,6,0,8,412,1011.9
Category:Postage stamps of Chile,Latin America / Caribbean,Chile,postage stamp,1,completed,0,0,6,412,1014.0
Category:Stamps of China,East Asia,China,postage stamp,1,completed,5,0,14,417,1017.4
Category:Stamps of Colombia,Latin America / Caribbean,Colombia,postage stamp,1,completed,0,0,12,417,1020.0
Category:Postage stamps of Croatia,Eastern Europe / Caucasus,Croatia,postage stamp,1,completed,0,1,0,417,1037.7
Category:Postage stamps of Cuba,Latin America / Caribbean,Cuba,postage stamp,1,completed,5,1,9,422,1073.6
Category:Postage stamps of the Dominican Republic,Latin America / Caribbean,Dominican Republic,postage stamp,1,completed,3,0,1,425,1075.4
Category:Postage stamps of Ecuador,Latin America / Caribbean,Ecuador,postage stamp,1,completed,3,0,0,428,1076.9
Category:Stamps of Ecuador,Latin America / Caribbean,Ecuador,postage stamp,1,completed,2,0,0,430,1078.5
Category:Postage stamps of Egypt,Africa,Egypt,postage stamp,1,completed,1,0,1,431,1080.7
Category:Stamps of Egypt,Africa,Egypt,postage stamp,1,completed,0,1,0,431,1098.4
Category:Postage stamps of Ethiopia,Africa,Ethiopia,postage stamp,1,completed,6,1,2,437,1133.3
Category:Postage stamps of Fiji,Oceania / Pacific,Fiji,postage stamp,1,completed,3,0,2,440,1135.2
Category:Postage stamps of Ghana,Africa,Ghana,postage stamp,1,completed,1,0,0,441,1136.8
Category:Stamps of Hong Kong,East Asia,Hong Kong,postage stamp,1,completed,0,0,43,441,1140.0
Category:Postage stamps of India,South Asia,India,postage stamp,1,completed,17,0,11,458,1144.2
Category:Postage stamps of Indonesia,Southeast Asia,Indonesia,postage stamp,1,completed,0,1,0,458,1162.0
Category:Stamps of Indonesia,Southeast Asia,Indonesia,postage stamp,1,completed,1,1,5,459,1186.0
Category:Postage stamps of Iran,Middle East and North Africa,Iran,postage stamp,1,completed,2,0,1,461,1187.7
Category:Stamps of Iran,Middle East and North Africa,Iran,postage stamp,1,completed,0,0,1,461,1189.3
Category:Postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,1,completed,0,0,0,461,1191.0
Category:Postage stamps of Jordan,Middle East and North Africa,Jordan,postage stamp,1,completed,4,0,2,465,1193.1
Category:Stamps of Kazakhstan,Central Asia,Kazakhstan,postage stamp,1,completed,0,1,0,465,1210.7
Category:Stamps of Kenya,Africa,Kenya,postage stamp,1,completed,1,1,2,466,1245.3
Category:Postage stamps of Korea,East Asia,Korea,postage stamp,1,completed,1,0,0,467,1246.9
Category:Stamps of Kyrgyzstan,Central Asia,Kyrgyzstan,postage stamp,1,completed,2,0,0,469,1248.5
Category:Stamps of Laos,Southeast Asia,Laos,postage stamp,1,completed,3,0,8,472,1250.8
Category:Stamps of Lebanon,Middle East and North Africa,Lebanon,postage stamp,1,completed,0,0,2,472,1252.4
Category:Stamps of Malaysia,Southeast Asia,Malaysia,postage stamp,1,completed,0,1,0,472,1270.1
Category:Stamps of Mexico,Latin America / Caribbean,Mexico,postage stamp,1,completed,0,1,10,472,1304.7
Category:Postage stamps of Morocco,Africa,Morocco,postage stamp,1,completed,3,0,6,475,1307.1
Category:Stamps of Mozambique,Africa,Mozambique,postage stamp,1,completed,0,0,0,475,1308.6
Category:Stamps of Myanmar,Southeast Asia,Myanmar,postage stamp,1,completed,1,0,1,476,1310.2
Category:Postage stamps of Nepal,South Asia,Nepal,postage stamp,1,completed,3,0,0,479,1312.0
Category:Postage stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,1,completed,0,1,0,479,1329.6
Category:Postage stamps of Nigeria,Africa,Nigeria,postage stamp,1,completed,0,1,7,479,1363.9
Category:Postage stamps of North Korea,East Asia,Korea,postage stamp,1,completed,3,0,0,482,1365.5
Category:Postage stamps of Pakistan,South Asia,Pakistan,postage stamp,1,completed,5,0,0,487,1367.1
Category:Stamps of Pakistan,South Asia,Pakistan,postage stamp,1,completed,0,0,7,487,1369.1
Category:Stamps of Palestine,Middle East and North Africa,Palestine,postage stamp,1,completed,1,0,4,488,1371.0
Category:Postage stamps of Papua New Guinea,Oceania / Pacific,Papua New Guinea,postage stamp,1,completed,0,1,0,488,1388.6
Category:Postage stamps of the Philippines,Southeast Asia,Philippines,postage stamp,1,completed,0,1,0,488,1422.6
Category:Stamps of the Philippines,Southeast Asia,Philippines,postage stamp,1,completed,1,0,1,489,1424.3
Category:Stamps of Poland,Eastern Europe / Caucasus,Poland,postage stamp,1,completed,9,0,21,498,1428.6
Category:Postage stamps of Peru,Latin America / Caribbean,Peru,postage stamp,1,completed,0,0,0,498,1430.2
Category:Stamps of Puerto Rico,Latin America / Caribbean,Puerto Rico,postage stamp,1,completed,1,0,0,499,1431.7
Category:Postage stamps of Romania,Eastern Europe / Caucasus,Romania,postage stamp,1,completed,0,1,0,499,1449.4
Category:Postage stamps of Samoa,Oceania / Pacific,Samoa,postage stamp,1,completed,3,1,0,502,1483.4
Category:Stamps of Senegal,Africa,Senegal,postage stamp,1,completed,0,0,2,502,1485.0
Category:Stamps of Serbia,Eastern Europe / Caucasus,Serbia,postage stamp,1,completed,2,0,4,504,1486.9
Category:Postage stamps of South Africa,Africa,South Africa,postage stamp,1,completed,8,0,8,512,1489.8
Category:Stamps of South Africa,Africa,South Africa,postage stamp,1,completed,3,0,3,515,1491.6
Category:Stamps of South Korea,East Asia,Korea,postage stamp,1,completed,0,1,0,515,1509.4
Category:Postage stamps of Sri Lanka,South Asia,Sri Lanka,postage stamp,1,completed,2,1,0,517,1543.2
Category:Stamps of Georgia (country),Eastern Europe / Caucasus,Georgia,postage stamp,1,completed,0,0,0,517,1544.8
Category:Stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,1,completed,0,0,5,517,1546.9
Category:Postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,1,completed,4,0,1,521,1548.7
Category:Stamps of Taiwan,East Asia,Taiwan,postage stamp,1,completed,2,0,17,523,1550.9
Category:Stamps of Tajikistan,Central Asia,Tajikistan,postage stamp,1,completed,0,1,0,523,1568.7
Category:Postage stamps of Tanzania,Africa,Tanzania,postage stamp,1,completed,0,1,0,523,1602.5
Category:Stamps of Tanzania,Africa,Tanzania,postage stamp,1,completed,0,0,1,523,1604.1
Category:Stamps of Thailand,Southeast Asia,Thailand,postage stamp,1,completed,3,0,1,526,1605.9
Category:Stamps of Tunisia,Africa,Tunisia,postage stamp,1,completed,0,0,7,526,1607.9
Category:Postage stamps of Turkey,Middle East and North Africa,Turkey,postage stamp,1,completed,16,0,3,542,1610.9
Category:Stamps of Turkey,Middle East and North Africa,Turkey,postage stamp,1,completed,0,1,0,542,1628.5
Category:Stamps of Turkmenistan,Central Asia,Turkmenistan,postage stamp,1,completed,0,2,0,542,1662.1
Category:Stamps of Ukraine,Eastern Europe / Caucasus,Ukraine,postage stamp,1,completed,0,0,17,542,1663.9
Category:Postage stamps of Uruguay,Latin America / Caribbean,Uruguay,postage stamp,1,completed,2,0,0,544,1665.4
Category:Stamps of Uzbekistan,Central Asia,Uzbekistan,postage stamp,1,completed,0,0,0,544,1666.9
Category:Stamps of Venezuela,Latin America / Caribbean,Venezuela,postage stamp,1,completed,3,0,31,547,1670.7
Category:Postage stamps of Vietnam,Southeast Asia,Vietnam,postage stamp,1,completed,1,0,0,548,1672.4
Category:Stamps of Zimbabwe,Africa,Zimbabwe,postage stamp,1,completed,0,2,0,548,1706.1
Category:Book covers from Argentina,Latin America / Caribbean,Argentina,book cover,1,completed,1,0,49,549,1726.7
Category:Book covers from Armenia,Eastern Europe / Caucasus,Armenia,book cover,1,completed,2,0,14,551,1729.4
Category:Book covers from Australia,Oceania / Pacific,Australia / Indigenous,book cover,1,completed,6,0,22,557,1732.4
Category:Book covers from Azerbaijan,Eastern Europe / Caucasus,Azerbaijan,book cover,1,completed,5,0,7,562,1734.6
Category:Book covers from Bangladesh,South Asia,Bangladesh,book cover,1,completed,3,0,6,565,1736.8
Category:Book covers from Bolivia,Latin America / Caribbean,Bolivia,book cover,1,completed,0,2,0,565,1770.6
Category:Book covers from Algeria,Africa,Algeria,book cover,1,completed,0,0,2,565,1788.7
Category:Book covers from Palestine,Middle East and North Africa,Palestine,book cover,1,completed,8,0,3,573,1794.5
Category:Book covers from Brazil,Latin America / Caribbean,Brazil,book cover,1,completed,1,0,48,574,1799.4
Category:Book covers from Bulgaria,Eastern Europe / Caucasus,Bulgaria,book cover,1,completed,9,0,40,583,1804.4
Category:Book covers from Chile,Latin America / Caribbean,Chile,book cover,1,completed,5,0,44,588,1809.9
Category:Book covers from China,East Asia,China,book cover,1,completed,3,1,43,591,1847.5
Category:Book covers from Colombia,Latin America / Caribbean,Colombia,book cover,1,completed,4,0,13,595,1850.2
Category:Book covers from Croatia,Eastern Europe / Caucasus,Croatia,book cover,1,completed,5,0,17,600,1853.4
Category:Book covers from Cuba,Latin America / Caribbean,Cuba,book cover,1,completed,4,0,1,604,1855.1
Category:Book covers from Ecuador,Latin America / Caribbean,Ecuador,book cover,1,completed,7,0,1,611,1857.1
Category:Book covers from Egypt,Africa,Egypt,book cover,1,completed,0,1,0,611,1874.9
Category:Book covers from Georgia,Eastern Europe / Caucasus,Georgia,book cover,1,completed,12,1,33,623,1910.6
Category:Book covers from India,South Asia,India,book cover,1,completed,4,0,36,627,1915.8
Category:Book covers from Indonesia,Southeast Asia,Indonesia,book cover,1,completed,5,0,8,632,1918.1
Category:Book covers from Iran,Middle East and North Africa,Iran,book cover,1,completed,7,0,43,639,1932.7
Category:Book covers from Iraq,Middle East and North Africa,Iraq,book cover,1,completed,0,0,5,639,1935.2
Category:Book covers from Kyrgyz Republic,Central Asia,Kyrgyzstan,book cover,1,completed,0,1,0,639,1952.7
Category:Book covers from Lebanon,Middle East and North Africa,Lebanon,book cover,1,completed,3,0,1,642,1972.0
Category:Book covers from Mexico,Latin America / Caribbean,Mexico,book cover,1,completed,1,0,33,643,1975.9
Category:Book covers from Morocco,Africa,Morocco,book cover,1,completed,2,0,0,645,1977.4
Category:Book covers from New Zealand,Oceania / Pacific,Aotearoa New Zealand,book cover,1,completed,2,0,9,647,1979.9
Category:Book covers from Nigeria,Africa,Nigeria,book cover,1,completed,0,0,0,647,1981.4
Category:Book covers from Peru,Latin America / Caribbean,Peru,book cover,1,completed,0,2,0,647,2015.0
Category:Book covers from Poland,Eastern Europe / Caucasus,Poland,book cover,1,completed,5,0,44,652,2035.2
Category:Book covers from Romania,Eastern Europe / Caucasus,Romania,book cover,1,completed,2,0,44,654,2039.9
Category:Book covers from Serbia,Eastern Europe / Caucasus,Serbia,book cover,1,completed,17,0,32,671,2044.8
Category:Book covers from South Africa,Africa,South Africa,book cover,1,completed,3,0,1,674,2046.4
Category:Book covers from Sri Lanka,South Asia,Sri Lanka,book cover,1,completed,1,0,0,675,2047.9
Category:Book covers from Syria,Middle East and North Africa,Syria,book cover,1,completed,0,2,0,675,2082.0
Category:Book covers from Taiwan,East Asia,Taiwan,book cover,1,completed,1,0,49,676,2086.8
Category:Book covers from Thailand,Southeast Asia,Thailand,book cover,1,completed,5,0,40,681,2092.5
Category:Book covers from Tunisia,Africa,Tunisia,book cover,1,completed,2,0,23,683,2096.6
Category:Book covers from Turkey,Middle East and North Africa,Turkey,book cover,1,completed,4,0,17,687,2099.8
Category:Book covers from Uruguay,Latin America / Caribbean,Uruguay,book cover,1,completed,3,0,47,690,2103.7
Category:Book covers from Ukraine,Eastern Europe / Caucasus,Ukraine,book cover,1,completed,0,2,0,690,2137.6
Category:Book covers from Venezuela,Latin America / Caribbean,Venezuela,book cover,1,completed,4,0,5,694,2145.4
Category:Book covers from Vietnam,Southeast Asia,Vietnam,book cover,1,completed,3,0,26,697,2150.2
Category:Magazine covers of Argentina,Latin America / Caribbean,Argentina,magazine cover,1,completed,0,0,20,697,2153.8
Category:Magazine covers of Australia,Oceania / Pacific,Australia / Indigenous,magazine cover,1,completed,3,0,17,700,2157.0
Category:Magazine covers of Azerbaijan,Eastern Europe / Caucasus,Azerbaijan,magazine cover,1,completed,2,0,15,702,2160.1
Category:Magazine covers of Bangladesh,South Asia,Bangladesh,magazine cover,1,completed,0,2,0,702,2193.7
Category:Magazine covers of Bolivia,Latin America / Caribbean,Bolivia,magazine cover,1,completed,1,0,0,703,2211.5
Category:Magazine covers of Brazil,Latin America / Caribbean,Brazil,magazine cover,1,completed,0,0,16,703,2215.2
Category:Magazine covers of China,East Asia,China,magazine cover,1,completed,2,0,15,705,2218.1
Category:Magazine covers of Cuba,Latin America / Caribbean,Cuba,magazine cover,1,completed,0,0,1,705,2219.9
Category:Magazine covers of Egypt,Africa,Egypt,magazine cover,1,completed,4,0,0,709,2221.7
Category:Magazine covers of India,South Asia,India,magazine cover,1,completed,0,2,0,709,2255.5
Category:Magazine covers of Iran,Middle East and North Africa,Iran,magazine cover,1,completed,0,0,9,709,2273.7
Category:Magazine covers of Iraq,Middle East and North Africa,Iraq,magazine cover,1,completed,2,0,2,711,2275.3
Category:Magazine covers of Lebanon,Middle East and North Africa,Lebanon,magazine cover,1,completed,2,0,9,713,2277.4
Category:Magazine covers of Mexico,Latin America / Caribbean,Mexico,magazine cover,1,completed,0,0,7,713,2279.2
