candidate_id,source_name,macro_region,country_or_region,source_class,period_intent,url,http_status,final_url,content_type,response_bytes,page_title,meta_description,detected_protocols,protocol_evidence,capture_priority,capture_intent,recommended_image_policy,recommended_text_policy,rights_risk,probe_status,failure_reason,raw_probe_path,access_date,notes
ESV211,Printing Museum Tokyo,East Asia,Japan,museum/library,pre-modern-present,https://www.printing-museum.org/,200,https://www.printing-museum.org/,text/html; charset=UTF-8,180000,"印刷博物館 Printing Museum, Tokyo",印刷博物館では、印刷の起源から最新の印刷技術まで、コミュニケーション・メディアとしての印刷の価値や可能性を紹介し、幅広い方々に印刷への理解と関心を深める活動をおこなっています。,,,P2_source_registry_then_adapter,"printing, typography, book, poster history context",IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV211.html.txt,2026-06-01,Important for printing-history bridge.
ESV212,Tokyo TDC,East Asia,Japan,professional design organization,1987-present,https://tokyotypedirectorsclub.org/,200,https://tokyotypedirectorsclub.org/,text/html; charset=UTF-8,55476,Tokyo TDC,東京タイプディレクターズクラブ,WordPress REST/RSS;JSON-LD,WordPress REST/RSS:wp-json;JSON-LD:schema.org,P1_adapter_candidate,typography and type-direction source context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV212.html.txt,2026-06-01,Professional/award source; image rights restricted.
ESV213,Tokyo ADC,East Asia,Japan,professional design organization,1952-present,https://www.tokyoadc.com/,200,https://www.tokyoadc.com/new/,text/html,5290,ADC,,,,P2_source_registry_then_adapter,Japanese advertising and graphic award context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV213.html.txt,2026-06-01,Professional organization; link-first.
ESV214,Nippon Design Center,East Asia,Japan,design institution/studio,1959-present,https://www.ndc.co.jp/,200,https://www.ndc.co.jp/,text/html,180000,日本デザインセンター,日本デザインセンターは、東京・名古屋・北京・ロサンゼルスに拠点を持つグローバルなデザイン会社です。,,,P2_source_registry_then_adapter,Japanese postwar corporate/design institution context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV214.html.txt,2026-06-01,Corporate source; link-first.
ESV215,Seoul Design Foundation,East Asia,Korea,municipal design institution,post-2000-present,https://www.seouldesign.or.kr/,200,https://seouldesign.or.kr/?menuno=150,text/html; charset=utf-8,180000,서울디자인재단 - 메인페이지 | 서울디자인재단,,,,P1_underrepresented_region,Seoul design archive and public-design context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV215.html.txt,2026-06-01,May route to DDP/Seoul design archive.
ESV216,DDP Seoul,East Asia,Korea,design museum/institution,post-2000-present,https://www.ddp.or.kr/,200,https://ddp.or.kr/?menuno=228,text/html;charset=utf-8,116415,DDP - 메인페이지 > DDP(KOR),,,,P1_underrepresented_region,Korean contemporary design exhibition context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV216.html.txt,2026-06-01,Institutional source; image review required.
ESV217,Design Korea,East Asia,Korea,government/professional design portal,post-2000-present,https://dkfestival.or.kr/,,,,,,,,,P4_hold_or_manual,Korean design festival and award context,IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-01,Event/source context.
ESV218,MMCA Korea,East Asia,Korea,national museum,modern-present,https://www.mmca.go.kr/,,,,,,,,,P4_hold_or_manual,Korean modern visual culture and exhibition context,IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,URLError: <urlopen error [Errno 54] Connection reset by peer>,,2026-06-01,Museum source; item rights vary.
ESV219,Seoul Museum of History,East Asia,Korea,municipal museum/archive,modern-present,https://museum.seoul.go.kr/,,,,,,,,,P4_hold_or_manual,"Seoul public culture, posters, urban graphic evidence",IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)>,,2026-06-01,Previously had SSL issue; retry in v2.
ESV220,National Library of Korea,East Asia,Korea,national library,pre-WWII-present,https://www.nl.go.kr/,200,https://www.nl.go.kr/,text/html;charset=UTF-8,180000,국립중앙도서관,국립중앙도서관에 오신 것을 환영합니다,,,P1_underrepresented_region,"Korean publication, poster, advertising bibliography",IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV220.html.txt,2026-06-01,Bibliographic/context source.
ESV221,DesignSingapore Council,Southeast Asia,Singapore,government design institution,2003-present,https://designsingapore.org/,200,https://designsingapore.org/,text/html; charset=UTF-8,57087,DesignSingapore Council,,WordPress REST/RSS;JSON-LD,WordPress REST/RSS:wp-content;JSON-LD:application/ld+json,P1_underrepresented_region,"Singapore design policy, awards, exhibition context",IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV221.html.txt,2026-06-01,Institutional source; link-first.
ESV222,BiblioAsia,Southeast Asia,Singapore,national library publication,pre-WWII-present,https://biblioasia.nlb.gov.sg/,200,https://biblioasia.nlb.gov.sg/,text/html,180000,Home | BiblioAsia,"BiblioAsia features the history, culture and heritage of Singapore within the larger Asian context. It is produced by the National Library of Singapore.",Next/static JS,Next/static JS:/_next/static,P1_underrepresented_region,Singapore design/print history essays and bibliographic context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV222.html.txt,2026-06-01,Good text enrichment source.
ESV223,Roots.sg,Southeast Asia,Singapore,government cultural portal,pre-WWII-present,https://www.roots.gov.sg/,200,https://www.roots.gov.sg/,text/html; charset=utf-8,48104,Roots,Roots,,,P1_underrepresented_region,Singapore heritage collection and public visual culture,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV223.html.txt,2026-06-01,Already useful; v2 checks source breadth.
ESV224,National Gallery Singapore Collection,Southeast Asia,Singapore,museum collection,modern-present,https://www.nationalgallery.sg/,200,https://www.nationalgallery.sg/,text/html;charset=utf-8,180000,Leading Art Museum in SEA | National Gallery Singapore,"Open daily 10am–7pm, journey through National Gallery Singapore and discover modern and contemporary art from Singapore and Southeast Asia.",JSON-LD;PDF,JSON-LD:application/ld+json;PDF:.pdf,P1_underrepresented_region,Singapore and Southeast Asian modern visual culture context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV224.html.txt,2026-06-01,Museum source; rights vary.
ESV225,Asian Film Archive,Southeast Asia,Singapore / regional,community/institutional archive,postwar-present,https://asianfilmarchive.org/,200,https://asianfilmarchive.org/,text/html; charset=UTF-8,180000,Home | Asian Film Archive,"Click HerePreorder nowAsian Cinema Digest #69Asian Film ArchiveOur mission is to save, share and explore the art of Asian Cinema Upcoming Events A Town Like Alice (1956) 26th Feb 2023 Chinta Kaseh Sayang (Love & Affection, 1965) 1st March 2023 Off the Catalogue: March 2023 1st March 2023 View More Collection The Asian Film Archive’s […]",WordPress REST/RSS;JSON-LD,WordPress REST/RSS:wp-json;JSON-LD:application/ld+json,P1_underrepresented_region,"film poster, title, publicity graphic source context",IMG02_source_hosted_or_IMG00_until_item_rights,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV225.html.txt,2026-06-01,Regional film-publicity source.
ESV226,VietGD,Southeast Asia,Vietnam,independent design-history archive,post-1990-present,https://vietgd.com/,200,https://vietgd.com/,text/html; charset=utf-8,998,Vietnamese Graphic Design,,,,P1_underrepresented_region,Vietnamese graphic design history context,IMG02_source_hosted_or_IMG00_until_item_rights,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV226.html.txt,2026-06-01,Repeat source as P1 adapter candidate.
ESV227,Dogma Collection,Southeast Asia,Vietnam,private poster collection,1945-present,https://www.dogmacollection.com/,200,https://dogmacollection.com/,text/html; charset=utf-8,63250,Dogma Collection,Welcome to the Dogma Collection.,,,P1_underrepresented_region,Vietnamese propaganda poster source context,IMG02_source_hosted_or_IMG00_until_item_rights,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV227.html.txt,2026-06-01,Private collection; link-first.
ESV228,Vietnam National Museum of History,Southeast Asia,Vietnam,national museum,pre-WWII-present,https://baotanglichsu.vn/,200,https://baotanglichsu.vn/vi,text/html; charset=utf-8,105070,Bảo tàng Lịch sử Quốc gia,Vietnam National Museum of History,,,P1_underrepresented_region,"Vietnamese print, poster, visual culture context",IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV228.html.txt,2026-06-01,Museum/context source.
ESV229,Bophana Audiovisual Resource Center,Southeast Asia,Cambodia,community archive,postwar-present,https://bophana.org/,200,https://bophana.org/,text/html; charset=UTF-8,71486,Bophana | Audiovisual Resource Center,"Bophana Center founded by Rithy Panh, aims at restoring, and enhancing the Cambodian audiovisual memory, with archives, production and screening activities.",WordPress REST/RSS;JSON-LD,WordPress REST/RSS:wp-json;JSON-LD:application/ld+json,P1_underrepresented_region,Cambodia audiovisual/poster/publicity context,IMG02_source_hosted_or_IMG00_until_item_rights,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV229.html.txt,2026-06-01,Underrepresented regional archive.
ESV230,Cambodia National Library,Southeast Asia,Cambodia,national library,pre-WWII-present,https://www.nationallibraryofcambodia.org/,,,,,,,,,P4_hold_or_manual,Cambodian print and publication context,IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-01,May be sparse; source registry first.
ESV231,Lao National Library,Southeast Asia,Laos,national library,pre-WWII-present,https://www.nationallibrary.gov.la/,,,,,,,,,P4_hold_or_manual,Lao print and publication context,IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-01,Underrepresented; likely manual/source registry.
ESV232,Thai Film Archive,Southeast Asia,Thailand,government film archive,postwar-present,https://www.fapot.or.th/,,,,,,,,,P4_hold_or_manual,Thai poster/publicity graphic records,IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,RemoteDisconnected: Remote end closed connection without response,,2026-06-01,Film poster route.
ESV233,Museum Siam,Southeast Asia,Thailand,museum,modern-present,https://www.museumsiam.org/,200,https://www.museumsiam.org/,text/html; charset=UTF-8,6542,มิวเซียมสยาม (Museum Siam) : home,มิวเซียมสยาม พิพิธภัณฑ์การเรียนรู้ (Museum Siam: Discovery Museum) ภายใต้ สถาบันพิพิธภัณฑ์ การเรียนรู้แห่งชาติ (สพร.),,,P1_underrepresented_region,"Thai exhibition, public visual culture, typography context",IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV233.html.txt,2026-06-01,Museum/context source.
ESV234,Fine Arts Department Thailand,Southeast Asia,Thailand,government cultural agency,pre-WWII-present,https://www.finearts.go.th/,200,https://www.finearts.go.th/main,text/html; charset=UTF-8,914,๓ มิถุนายน ๒๕๖๙,,,,P1_underrepresented_region,Thai cultural/print-history context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV234.html.txt,2026-06-01,Government source; link-first.
ESV235,Design Center Philippines,Southeast Asia,Philippines,government design institution,1973-present,https://designcenter.gov.ph/,200,https://www.designcenter.gov.ph/,text/html; charset=utf-8,60418,Design Center of the Philippines,,,,P1_underrepresented_region,Philippine design institution and contemporary design context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV235.html.txt,2026-06-01,Institutional source.
ESV236,Cultural Center of the Philippines,Southeast Asia,Philippines,government cultural institution,1969-present,https://culturalcenter.gov.ph/,200,https://culturalcenter.gov.ph/,text/html; charset=UTF-8,180000,Welcome to the Cultural Center of the Philippines - Cultural Center of the Philippines,"The Cultural Center of the Philippines, created in 1966 with the purpose of promoting and preserving the best of Filipino arts and culture.",WordPress REST/RSS;JSON-LD;PDF;RSS/Atom,WordPress REST/RSS:wp-json;JSON-LD:application/ld+json;PDF:.pdf;RSS/Atom:application/rss+xml,P1_underrepresented_region,"Philippine poster, publication, exhibition context",IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV236.html.txt,2026-06-01,Event/publication source.
ESV237,Lopez Museum and Library,Southeast Asia,Philippines,private museum/library,pre-WWII-present,https://www.lopezmuseum.org.ph/,,,,,,,,,P4_hold_or_manual,Philippine print and visual culture context,IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-01,Private museum; rights review required.
ESV238,Grafis Nusantara,Southeast Asia,Indonesia,community graphic archive,1970s-1990s,https://grafisnusantara.com/,200,https://grafisnusantara.com/,text/html; charset=UTF-8,61043,Home - Grafis Nusantara,"is an Indonesian sticker and label archive aiming to demystify Indonesian visual culture. We challenge traditional, institutionalised archiving practices through social curation and collaborative efforts.",WordPress REST/RSS;IIIF;JSON-LD,WordPress REST/RSS:wp-json;IIIF:manifest.json;JSON-LD:application/ld+json,P1_underrepresented_region,"Indonesian labels, stickers, packaging, print ephemera",IMG02_source_hosted_or_IMG00_until_item_rights,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV238.html.txt,2026-06-01,Repeat source as high-priority adapter candidate.
ESV239,Desain Grafis Indonesia,Southeast Asia,Indonesia,independent design-history publication,post-1990-present,https://dgi.or.id/,200,https://dgi.or.id/,text/html; charset=UTF-8,64680,Desain Grafis Indonesia,,WordPress REST/RSS,WordPress REST/RSS:wp-json,P1_underrepresented_region,Indonesian design-history text and source context,IMG02_source_hosted_or_IMG00_until_item_rights,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV239.html.txt,2026-06-01,Text enrichment/source registry.
ESV240,Indonesian Visual Art Archive,Southeast Asia,Indonesia,community visual archive,postwar-present,https://archive.ivaa-online.org/,200,https://archive.ivaa-online.org/,text/html,5286,Situs Sedang Dalam Pengembangan,,WordPress REST/RSS,WordPress REST/RSS:wp-content,P1_underrepresented_region,Indonesian visual archive item/context records,IMG02_source_hosted_or_IMG00_until_item_rights,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV240.html.txt,2026-06-01,Alternative IVAA endpoint.
ESV241,National Library of Indonesia,Southeast Asia,Indonesia,national library,pre-WWII-present,https://www.perpusnas.go.id/,403,https://www.perpusnas.go.id/,,,,,,,P4_hold_or_manual,Indonesian publication and print context,IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,http_error,HTTP 403: Forbidden,,2026-06-01,Government library; source registry.
ESV242,Malaysia Design Archive,Southeast Asia,Malaysia,community design archive,pre-WWII-present,https://search.malaysiadesignarchive.org/,200,https://search.malaysiadesignarchive.org/,text/html; charset=UTF-8,81412,Search - Search Malaysia Design ArchiveSearch Malaysia Design Archive,Malaysia Design Archive's Online Database,WordPress REST/RSS;ArchiveSpace/EAD;JSON-LD,WordPress REST/RSS:wp-json;ArchiveSpace/EAD:finding aid;JSON-LD:application/ld+json,P1_underrepresented_region,Malaysian design item records,IMG02_source_hosted_or_IMG00_until_item_rights,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV242.html.txt,2026-06-01,Already captured; keep as adapter source.
ESV243,Pusat Dokumentasi Seni Malaysia,Southeast Asia,Malaysia,arts documentation archive,modern-present,https://myartsarchive.org/,,,,,,,,,P4_hold_or_manual,Malaysian arts/design documentation context,IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-01,Community/archive source.
ESV244,Another Graphic,Global,post-1990 international,independent curated design archive,1990-2026,https://anothergraphic.org/,200,https://anothergraphic.org/,text/html; charset=UTF-8,180000,Another Graphic | Archive of graphic design focused on typographic treatment,Archive of graphic design focused on typographic treatment. Find your graphic design & typography inspiration.,WordPress REST/RSS;JSON-LD;RSS/Atom,WordPress REST/RSS:wp-json;JSON-LD:application/ld+json;RSS/Atom:application/rss+xml,P1_adapter_candidate,post-1990 independent design link layer,IMG02_source_hosted_or_IMG00_until_item_rights,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV244.html.txt,2026-06-01,Repeat source for contemporary independent context.
ESV245,Fonts In Use,Global,global,typography database,historical-present,https://fontsinuse.com/,200,https://fontsinuse.com/,text/html; charset=UTF-8,180000,Fonts In Use - Fonts In Use,"A searchable archive of typographic design, indexed by typeface, format, and topic.",WordPress REST/RSS;RSS/Atom,WordPress REST/RSS:application/rss+xml;RSS/Atom:application/rss+xml,P1_adapter_candidate,type-in-use relation source,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV245.html.txt,2026-06-01,High relevance but rights-sensitive.
ESV246,People's Graphic Design Archive,Global,global/community,community design archive,historical-present,https://peoplesgdarchive.org/,200,https://peoplesgdarchive.org/,text/html; charset=UTF-8,123745,People’s Graphic Design Archive,A virtual design archive built by everyone about everyone for everyone.,WordPress REST/RSS;IIIF;PDF;RSS/Atom,WordPress REST/RSS:application/rss+xml;IIIF:manifest.json;PDF:.pdf;RSS/Atom:application/rss+xml,P1_adapter_candidate,community-uploaded design source records,IMG02_source_hosted_or_IMG00_until_item_rights,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV246.html.txt,2026-06-01,Noncanonical source; rights review required.
ESV247,Letterform Archive,North America,United States / global,specialist typography archive,modern-present,https://letterformarchive.org/,200,https://letterformarchive.org/,text/html; charset=UTF-8,180000,Letterform Archive,"A nonprofit center for inspiration, education, and community in the graphic arts.",WordPress REST/RSS;JSON-LD;PDF;RSS/Atom,WordPress REST/RSS:wp-json;JSON-LD:application/ld+json;PDF:.pdf;RSS/Atom:/feed/,P1_adapter_candidate,typography/design archive context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV247.html.txt,2026-06-01,Authority/source context.
ESV248,Design Reviewed,Europe,United Kingdom / global,independent design archive,modern-present,https://www.designreviewed.com/,200,https://designreviewed.com/,text/html; charset=UTF-8,180000,Design Reviewed — Graphic Design History Archive,"Over 10,000 scanned artefacts, 500+ designer profiles, 25 countries, 150 years of graphic design history. Free to explore.",WordPress REST/RSS;JSON-LD;RSS/Atom,WordPress REST/RSS:wp-json;JSON-LD:application/ld+json;RSS/Atom:application/rss+xml,P1_adapter_candidate,independent design archive context,IMG02_source_hosted_or_IMG00_until_item_rights,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV248.html.txt,2026-06-01,Rights-sensitive independent source.
ESV249,Digital Archive of Graphic Design,Europe,United Kingdom / global,design-history archive,modern-present,https://digitalarchiveofgraphicdesign.org/,,,,,,,,,P4_hold_or_manual,graphic design archive records/context,IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-01,Probe route; may be educational/source registry.
ESV250,AIGA Design Archives,North America,United States,professional design archive,modern-present,https://designarchives.aiga.org/,,,,,,,,,P4_hold_or_manual,professional design award/source records,IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)>,,2026-06-01,High relevance; rights sensitive.
ESV251,Mexican Design Archive,Latin America,Mexico,independent/community archive,modern-present,https://www.archivomexicanodediseno.com/,,,,,,,,,P4_hold_or_manual,Mexican design archive/source context,IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-01,Underrepresented regional source if reachable.
ESV252,Archivo de la Grafica Chilena,Latin America,Chile,community graphic archive,modern-present,https://www.instagram.com/archivograficachilena/,200,https://www.instagram.com/archivograficachilena/,"text/html; charset=""utf-8""",180000,Archivo de Gráfica Chilena @bnchile (@archivograficachilena) • Instagram photos and videos,"4,999 Followers, 155 Following, 164 Posts - See Instagram photos and videos from Archivo de Gráfica Chilena @bnchile (@archivograficachilena)",IIIF,IIIF:manifest.json,P1_underrepresented_region,Chilean graphic archive discovery source,IMG00_discovery_only_no_platform_image,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV252.html.txt,2026-06-01,Social platform only discovery; original linked sources needed.
ESV253,Memoria Chilena,Latin America,Chile,national library portal,pre-WWII-present,https://www.memoriachilena.gob.cl/,200,https://www.memoriachilena.gob.cl/,text/html; charset=UTF-8,434,Memoria Chilena: Portal,,,,P1_underrepresented_region,"Chilean posters, periodicals, political print context",IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV253.html.txt,2026-06-01,High-value source; item rights vary.
