cluster_key,source_family,region,theme,five_year_bucket,actual_year_span,global_scope_policy,cluster_size,role_rows,packet_scale,packet_readiness,cover_main_requirement,normal_main_policy,normal_main_target_min,sub_target_min,sub_target_max,appendix_policy,card_policy,minimum_text_pages,editorial_page_requirement,reading_note_requirement,folder_directory_mode,content_tree_depth,layout_family,node_explanation_required,reason
Global / transnational|Modern typography and layout|Wikimedia Commons|1970-1974,Wikimedia Commons,Global / transnational,Modern typography and layout,1970-1974,1970-1974,global_host_requires_scope_review,673,673,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,10,10,355,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=355; card_candidates=250; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|2000-2004,Wikimedia Commons,Indonesia,Modern typography and layout,2000-2004,2000-2004,region_specific_or_not_global,115,115,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,0,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=0; card_candidates=114; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1950-1954,Wikimedia Commons,Global / transnational,Modern typography and layout,1950-1954,1950-1954,global_host_requires_scope_review,112,112,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,10,10,44,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=44; card_candidates=13; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|1995-1999,Wikimedia Commons,Indonesia,Modern typography and layout,1995-1999,1995-1999,region_specific_or_not_global,98,98,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,0,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=0; card_candidates=97; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Iran|Modern typography and layout|Wikimedia Commons|1975-1979,Wikimedia Commons,Iran,Modern typography and layout,1975-1979,1975-1979,region_specific_or_not_global,98,98,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,9,10,75,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=75; card_candidates=1; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Algeria|Modern typography and layout|Wikimedia Commons|1940-1944,Wikimedia Commons,Algeria,Modern typography and layout,1940-1944,1940-1944,region_specific_or_not_global,95,95,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,1,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=1; card_candidates=94; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Nigeria|Modern typography and layout|Wikimedia Commons|1955-1959,Wikimedia Commons,Nigeria,Modern typography and layout,1955-1959,1955-1959,region_specific_or_not_global,95,95,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,1,10,70,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=70; card_candidates=17; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|2005-2009,Wikimedia Commons,Indonesia,Modern typography and layout,2005-2009,2005-2009,region_specific_or_not_global,94,94,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,1,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=3; card_candidates=91; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1985-1989,Wikimedia Commons,Global / transnational,Modern typography and layout,1985-1989,1985-1989,global_host_requires_scope_review,87,87,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,1,10,84,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=84; card_candidates=2; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Bolivia|Modern typography and layout|Wikimedia Commons|1935-1939,Wikimedia Commons,Bolivia,Modern typography and layout,1935-1939,1935-1939,region_specific_or_not_global,78,78,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,0,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=0; card_candidates=78; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1990-1994,Wikimedia Commons,Global / transnational,Modern typography and layout,1990-1994,1990-1994,global_host_requires_scope_review,72,72,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,1,10,69,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=69; card_candidates=1; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Peru|Modern typography and layout|Wikimedia Commons|1935-1939,Wikimedia Commons,Peru,Modern typography and layout,1935-1939,1935-1938,region_specific_or_not_global,71,71,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,0,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=0; card_candidates=71; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1945-1949,Wikimedia Commons,Global / transnational,Modern typography and layout,1945-1949,1945-1949,global_host_requires_scope_review,65,65,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,6,10,45,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=45; card_candidates=10; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1925-1929,Wikimedia Commons,Global / transnational,Modern typography and layout,1925-1929,1925-1929,global_host_requires_scope_review,64,64,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,1,10,34,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=34; card_candidates=8; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Iran|Modern typography and layout|Wikimedia Commons|1970-1974,Wikimedia Commons,Iran,Modern typography and layout,1970-1974,1970-1974,region_specific_or_not_global,64,64,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,5,10,44,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=44; card_candidates=2; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|1990-1994,Wikimedia Commons,Indonesia,Modern typography and layout,1990-1994,1990-1994,region_specific_or_not_global,63,63,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,1,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=5; card_candidates=58; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1920-1924,Wikimedia Commons,Global / transnational,Modern typography and layout,1920-1924,1920-1924,global_host_requires_scope_review,61,61,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,4,10,36,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=36; card_candidates=7; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1910-1914,Wikimedia Commons,Global / transnational,Modern typography and layout,1910-1914,1910-1914,global_host_requires_scope_review,60,60,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,2,10,19,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=19; card_candidates=30; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|1945-1949,Wikimedia Commons,Indonesia,Modern typography and layout,1945-1949,1945-1949,region_specific_or_not_global,59,59,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,2,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=2; card_candidates=55; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
India|Modern typography and layout|Wikimedia Commons|1945-1949,Wikimedia Commons,India,Modern typography and layout,1945-1949,1945-1949,region_specific_or_not_global,58,58,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,2,10,18,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=18; card_candidates=36; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Algeria|Modern typography and layout|Wikimedia Commons|1935-1939,Wikimedia Commons,Algeria,Modern typography and layout,1935-1939,1936-1939,region_specific_or_not_global,56,56,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,0,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=0; card_candidates=56; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1960-1964,Wikimedia Commons,Global / transnational,Modern typography and layout,1960-1964,1960-1964,global_host_requires_scope_review,56,56,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,4,10,27,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=27; card_candidates=19; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Turkey|World War and public-information graphics|Wikimedia Commons|1985-1989,Wikimedia Commons,Turkey,World War and public-information graphics,1985-1989,1988-1988,region_specific_or_not_global,53,53,large,card_or_appendix_pool,cover_main_required,normal_main_anchor_selection_needed,0,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=0; card_candidates=53; scope=region_specific_or_not_global; lane=card_context_cluster
Seychelles|Modern typography and layout|Wikimedia Commons|1830-1834,Wikimedia Commons,Seychelles,Modern typography and layout,1830-1834,1830-1830,region_specific_or_not_global,52,52,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,8,10,44,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=44; card_candidates=0; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Kazakhstan|Modern typography and layout|Wikimedia Commons|1990-1994,Wikimedia Commons,Kazakhstan,Modern typography and layout,1990-1994,1990-1994,region_specific_or_not_global,51,51,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,0,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=0; card_candidates=51; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Iraq|Modern typography and layout|Wikimedia Commons|2005-2009,Wikimedia Commons,Iraq,Modern typography and layout,2005-2009,2005-2009,region_specific_or_not_global,50,50,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,1,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=1; card_candidates=48; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Malaysia|Modern typography and layout|Wikimedia Commons|1950-1954,Wikimedia Commons,Malaysia,Modern typography and layout,1950-1954,1951-1953,region_specific_or_not_global,50,50,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,1,10,47,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=47; card_candidates=1; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Serbia|Modern typography and layout|Wikimedia Commons|2015-2019,Wikimedia Commons,Serbia,Modern typography and layout,2015-2019,2015-2019,region_specific_or_not_global,49,49,large,structure_candidate_requires_manual_packet_review,cover_main_required,multiple_normal_mains_allowed_under_cover,4,10,45,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=45; card_candidates=0; scope=region_specific_or_not_global; lane=strong_packet_candidate
Global / transnational|Modern typography and layout|Wikimedia Commons|1915-1919,Wikimedia Commons,Global / transnational,Modern typography and layout,1915-1919,1915-1919,global_host_requires_scope_review,47,47,large,scope_review_before_packet,cover_main_required,single_normal_main_expected,1,10,26,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=26; card_candidates=2; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Serbia|Modern typography and layout|Wikimedia Commons|2020-2024,Wikimedia Commons,Serbia,Modern typography and layout,2020-2024,2020-2024,region_specific_or_not_global,46,46,large,structure_candidate_requires_manual_packet_review,cover_main_required,multiple_normal_mains_allowed_under_cover,4,10,42,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=42; card_candidates=0; scope=region_specific_or_not_global; lane=strong_packet_candidate
Brazil|Modern typography and layout|Wikimedia Commons|1925-1929,Wikimedia Commons,Brazil,Modern typography and layout,1925-1929,1925-1929,region_specific_or_not_global,45,45,large,parentage_signal_needed,cover_main_required,normal_main_anchor_selection_needed,1,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=6; card_candidates=39; scope=region_specific_or_not_global; lane=packet_parentage_review
