decade,region,object_count,source_family_count
1870,Angola,9,1
1870,Mexico,7,2
1870,Peru,6,1
1870,Bolivia,5,1
1870,Bosnia and Herzegovina,5,1
1870,Global / transnational,3,1
1870,Aotearoa New Zealand,2,2
1870,China / Hong Kong,2,2
1870,Slovenia,2,1
1870,Argentina,1,1
1870,Bulgaria,1,1
1870,Egypt,1,1
1870,Georgia,1,1
1870,Ghana,1,1
1870,India,1,1
1870,Netherlands,1,1
1870,South Africa,1,1
1870,Ukraine,1,1
1870,United States,1,1
1870,Uruguay,1,1
1880,Mexico,38,1
1880,United Kingdom,34,2
1880,France,27,5
1880,Colombia,23,2
1880,Peru,22,2
1880,Philippines,16,1
1880,South Africa,10,1
1880,Global / transnational,9,6
1880,Malaysia,8,1
1880,India,7,4
1880,Turkey,7,1
1880,Angola,5,1
1880,Korean Peninsula,4,1
1880,Australia / Indigenous,3,3
1880,Brazil,3,2
1880,Democratic Republic of the Congo,3,1
1880,Egypt,3,2
1880,Norway,3,1
1880,Ukraine,3,1
1880,Aotearoa New Zealand,2,1
1880,Bulgaria,2,2
1880,Latin America,2,1
1880,Nepal,2,1
1880,Thailand,2,1
1880,United States,2,2
1880,Argentina,1,1
1880,Armenia,1,1
1880,Bangladesh,1,1
1880,Bolivia,1,1
1880,Bosnia and Herzegovina,1,1
1880,China / Hong Kong,1,1
1880,Estonia,1,1
1880,Georgia,1,1
1880,Germany,1,1
1880,Indonesia,1,1
1880,Iran,1,1
1880,Netherlands,1,1
1880,Romania,1,1
1880,Tonga,1,1
1880,Uruguay,1,1
1890,United Kingdom,93,4
1890,France,85,7
1890,Peru,50,3
1890,United States,30,8
1890,Latin America,26,4
1890,Colombia,24,2
1890,Belgium,19,6
1890,South Africa,16,1
1890,Bolivia,15,1
1890,Global / transnational,12,6
1890,Angola,11,1
1890,Malaysia,11,1
1890,Norway,9,2
1890,Cuba / transnational,8,1
1890,Democratic Republic of the Congo,8,3
1890,Mexico,8,5
1890,India,6,3
1890,Algeria,5,1
1890,Bosnia and Herzegovina,5,1
1890,Spain,5,1
1890,Germany,4,2
1890,Venezuela,4,1
1890,China / Hong Kong,3,2
1890,Morocco,3,1
1890,Netherlands,3,3
1890,Aotearoa New Zealand,2,2
1890,Argentina,2,2
1890,Czech Republic,2,1
1890,Indonesia,2,1
1890,Kazakhstan,2,1
1890,Latvia,2,1
1890,Turkey,2,1
1890,Australia / Indigenous,1,1
1890,Bangladesh,1,1
1890,Bulgaria,1,1
1890,Croatia,1,1
1890,Denmark,1,1
1890,Egypt,1,1
1890,Iran,1,1
1890,Italy,1,1
1890,Korean Peninsula,1,1
1890,Nigeria,1,1
1890,Palestine / transnational,1,1
1890,Slovenia,1,1
1890,Sri Lanka,1,1
1890,Sweden,1,1
1890,Tonga,1,1
1890,Tunisia,1,1
1890,United Arab Emirates,1,1
1890,Uruguay,1,1
1900,United Kingdom,108,2
1900,India,70,6
1900,Peru,39,2
1900,Indonesia,35,2
1900,Bosnia and Herzegovina,23,1
1900,United States,23,4
1900,France,22,5
1900,Aotearoa New Zealand,17,4
1900,Colombia,17,3
1900,Norway,16,2
1900,South Africa,14,1
1900,Germany,9,7
1900,Angola,8,1
1900,Global / transnational,6,3
1900,Bolivia,5,1
1900,Latin America,5,3
1900,Algeria,4,1
1900,Argentina,4,1
1900,Australia / Indigenous,4,4
1900,Austria,4,1
1900,Korean Peninsula,4,1
1900,China / Hong Kong,3,3
1900,Morocco,3,1
1900,Brazil,2,2
1900,Bulgaria,2,1
1900,Croatia,2,1
1900,Czech Republic,2,1
1900,Italy,2,2
1900,Mexico,2,2
1900,Netherlands,2,2
1900,Nigeria,2,1
1900,Poland,2,2
1900,Samoa,2,1
1900,Uruguay,2,1
1900,Cuba / transnational,1,1
1900,Jordan,1,1
1900,Madagascar,1,1
1900,Malaysia,1,1
1900,Nepal,1,1
1900,Papua New Guinea,1,1
1900,Philippines,1,1
1900,Serbia,1,1
1900,Switzerland,1,1
1900,Thailand,1,1
1900,Zimbabwe,1,1
1910,United Kingdom,100,5
1910,United States,57,6
1910,Bolivia,32,2
1910,India,29,3
1910,Mexico,28,5
1910,Global / transnational,26,7
1910,France,23,5
1910,Norway,23,2
1910,Iraq,22,3
1910,Aotearoa New Zealand,18,3
1910,Peru,17,2
1910,Slovenia,16,1
1910,Russia,13,4
1910,Algeria,11,2
1910,Ukraine,10,3
1910,Bosnia and Herzegovina,8,2
1910,Germany,8,4
1910,Morocco,7,2
1910,Australia / Indigenous,6,5
1910,Korean Peninsula,5,1
1910,Latin America,5,3
1910,Poland,5,4
1910,Serbia,5,3
1910,Armenia,4,2
1910,Lithuania,4,2
1910,Argentina,3,3
1910,Brazil,3,2
1910,Croatia,3,2
1910,Latvia,3,1
1910,South Africa,3,2
1910,Turkey,3,2
1910,Benin,2,1
1910,Chile,2,2
1910,China / Hong Kong,2,2
1910,Fiji,2,1
1910,Netherlands,2,1
1910,Romania,2,1
1910,Angola,1,1
1910,Austria,1,1
1910,Azerbaijan,1,1
1910,Belgium,1,1
1910,Bulgaria,1,1
1910,Cameroon,1,1
1910,Canada,1,1
1910,Colombia,1,1
1910,Czech Republic,1,1
1910,Democratic Republic of the Congo,1,1
1910,Finland,1,1
1910,Georgia,1,1
1910,Indonesia,1,1
1910,Madagascar,1,1
1910,Mozambique,1,1
1910,Nepal,1,1
1910,Palestine / transnational,1,1
1910,Philippines,1,1
1910,Sweden,1,1
1910,Syria,1,1
1910,Taiwan,1,1
1910,Tunisia,1,1
1910,Uruguay,1,1
1910,Venezuela,1,1
1920,United Kingdom,148,5
1920,France,59,4
1920,United States,51,6
1920,Brazil,44,4
1920,Norway,41,2
1920,Bolivia,36,2
1920,India,26,3
1920,Lithuania,19,2
1920,Belgium,17,3
1920,Peru,17,1
1920,Aotearoa New Zealand,16,3
1920,Germany,14,4
1920,Algeria,12,1
1920,Morocco,11,1
1920,Global / transnational,8,4
1920,Italy,8,3
1920,Netherlands,8,2
1920,Russia,7,5
1920,Slovenia,7,1
1920,Switzerland,6,3
1920,Syria,6,2
1920,Argentina,5,4
1920,Bosnia and Herzegovina,5,1
1920,Canada,5,1
1920,China / Hong Kong,5,3
1920,Poland,5,5
1920,Ukraine,5,3
1920,Armenia,4,3
1920,Australia / Indigenous,4,2
1920,Turkey,4,2
1920,Angola,3,2
1920,South Africa,3,3
1920,Uruguay,3,2
1920,Azerbaijan,2,1
1920,Colombia,2,2
1920,Latvia,2,1
1920,Palestine / transnational,2,2
1920,Romania,2,2
1920,Albania,1,1
1920,Austria,1,1
1920,Bulgaria,1,1
1920,Croatia,1,1
1920,Estonia,1,1
1920,Georgia,1,1
1920,Indonesia,1,1
1920,Kenya,1,1
1920,Korean Peninsula,1,1
1920,Latin America,1,1
1920,Madagascar,1,1
1920,Nepal,1,1
1920,Spain,1,1
1920,Taiwan,1,1
1920,Thailand,1,1
1930,Bolivia,119,1
1930,Peru,95,2
1930,United States,76,10
1930,Algeria,65,3
1930,France,63,6
1930,United Kingdom,61,7
1930,Norway,58,1
1930,Belgium,29,2
1930,Brazil,24,11
1930,Germany,24,4
1930,India,22,8
1930,Argentina,20,6
1930,Poland,18,8
1930,China / Hong Kong,15,5
1930,Iraq,15,1
1930,Switzerland,13,2
1930,Australia / Indigenous,12,6
1930,Russia,12,5
1930,Lithuania,11,1
1930,Aotearoa New Zealand,8,5
1930,Armenia,8,1
1930,Japan,8,3
1930,Morocco,8,3
1930,Bosnia and Herzegovina,7,1
1930,Democratic Republic of the Congo,7,1
1930,Indonesia,7,5
1930,Italy,7,1
1930,Netherlands,6,4
1930,South Africa,6,2
1930,Turkey,6,1
1930,Czech Republic,4,1
1930,Georgia,4,1
1930,Mexico,4,3
1930,Palestine / transnational,4,4
1930,Egypt,3,3
1930,Latin America,3,2
1930,Latvia,3,1
1930,Malaysia,3,2
1930,Philippines,3,3
1930,Serbia,3,3
1930,Bulgaria,2,1
1930,Colombia,2,2
1930,Croatia,2,1
1930,Global / transnational,2,2
1930,Portugal,2,1
1930,Romania,2,1
1930,Ukraine,2,2
1930,Vietnam,2,1
1930,Austria,1,1
1930,Bangladesh,1,1
1930,Denmark,1,1
1930,Ecuador,1,1
1930,Iran,1,1
1930,Madagascar,1,1
1930,Myanmar,1,1
1930,Oman,1,1
1930,Singapore,1,1
1930,Solomon Islands,1,1
1930,Taiwan,1,1
1930,Thailand,1,1
1930,Tunisia,1,1
1930,Uruguay,1,1
1940,Algeria,130,1
1940,United Kingdom,62,5
1940,United States,61,10
1940,Bolivia,59,2
1940,Germany,56,6
1940,Norway,46,1
1940,Russia,44,2
1940,India,40,4
1940,Brazil,37,9
1940,Global / transnational,25,3
1940,Indonesia,22,5
1940,Peru,19,1
1940,Aotearoa New Zealand,18,3
1940,France,15,6
1940,Switzerland,13,3
1940,Mexico,11,8
1940,South Africa,11,2
1940,Croatia,9,1
1940,Italy,8,4
1940,Papua New Guinea,8,1
1940,Argentina,7,4
1940,Australia / Indigenous,7,4
1940,Bosnia and Herzegovina,7,1
1940,Malaysia,7,2
1940,China / Hong Kong,6,4
1940,Egypt,6,4
1940,Turkey,6,2
1940,Ukraine,6,3
1940,Jordan,5,1
1940,Ecuador,4,1
1940,Georgia,4,1
1940,Latin America,4,1
1940,Spain,4,2
1940,Belgium,3,2
1940,Chile,3,3
1940,Colombia,3,2
1940,Fiji,3,1
1940,Finland,3,2
1940,Iraq,3,1
1940,Israel / Palestine,3,1
1940,Netherlands,3,3
1940,Pakistan,3,1
1940,Poland,3,3
1940,Romania,3,2
1940,Estonia,2,1
1940,Japan,2,2
1940,Palestine / transnational,2,2
1940,Philippines,2,2
1940,Albania,1,1
1940,Armenia,1,1
1940,Belarus,1,1
1940,Bulgaria,1,1
1940,Denmark,1,1
1940,Ghana,1,1
1940,Korean Peninsula,1,1
1940,Lithuania,1,1
1940,Manchukuo,1,1
1940,Mongolia,1,1
1940,Nigeria,1,1
1940,North Macedonia,1,1
1940,Oman,1,1
1940,Singapore,1,1
1940,Taiwan,1,1
1940,Uruguay,1,1
1940,Yugoslavia,1,1
1950,United Kingdom,233,3
1950,Malaysia,60,4
1950,Indonesia,49,3
1950,Iraq,46,2
1950,United States,38,9
1950,Peru,37,1
1950,Norway,35,3
1950,India,31,4
1950,Algeria,25,2
1950,Germany,25,2
1950,France,21,4
1950,Brazil,15,4
1950,Iran,14,2
1950,Colombia,13,2
1950,Poland,10,3
1950,Russia,10,2
1950,Switzerland,10,3
1950,China / Hong Kong,9,5
1950,Netherlands,9,3
1950,Italy,8,4
1950,Morocco,8,1
1950,Romania,8,2
1950,South Africa,7,2
1950,Aotearoa New Zealand,6,1
1950,Bolivia,6,1
1950,Korean Peninsula,6,5
1950,Belgium,5,2
1950,Georgia,5,3
1950,Argentina,4,3
1950,Egypt,4,2
1950,Ghana,4,2
1950,Angola,3,1
1950,Armenia,3,2
1950,Japan,3,1
1950,Mexico,3,3
1950,Nepal,3,2
1950,Turkey,3,3
1950,Venezuela,3,2
1950,Australia / Indigenous,2,2
1950,Global / transnational,2,2
1950,Laos,2,2
1950,Slovenia,2,1
1950,Spain,2,1
1950,Taiwan,2,2
1950,Vietnam,2,1
1950,Yemen,2,1
1950,Austria,1,1
1950,Bangladesh,1,1
1950,Bosnia and Herzegovina,1,1
1950,Croatia,1,1
1950,Denmark,1,1
1950,Fiji,1,1
1950,Finland,1,1
1950,Jordan,1,1
1950,Kenya,1,1
1950,Latin America,1,1
1950,Latvia,1,1
1950,Pakistan,1,1
1950,Philippines,1,1
1950,Singapore,1,1
1950,Sweden,1,1
1960,United States,191,9
1960,United Kingdom,156,5
1960,Germany,147,4
1960,Russia,86,3
1960,Iraq,85,4
1960,France,79,4
1960,Indonesia,66,5
1960,Peru,55,1
1960,Italy,54,2
1960,Norway,54,2
1960,Austria,51,2
1960,Cuba / transnational,50,5
1960,Netherlands,46,4
1960,Sweden,44,2
1960,Denmark,41,2
1960,Finland,41,1
1960,Global / transnational,37,1
1960,Chile,29,3
1960,China / Hong Kong,29,4
1960,Ireland,29,1
1960,Poland,29,5
1960,Japan,27,3
1960,Latin America,27,2
1960,Aotearoa New Zealand,25,3
1960,Switzerland,24,3
1960,Kenya,22,1
1960,Vietnam,22,4
1960,India,21,6
1960,Tanzania,21,1
1960,Belgium,20,2
1960,Georgia,20,3
1960,Iran,20,4
1960,South Africa,20,1
1960,Romania,19,4
1960,Israel / Palestine,18,1
1960,Algeria,16,2
1960,Rwanda,16,1
1960,Canada,15,2
1960,Mexico,13,3
1960,Brazil,11,2
1960,Australia,10,1
1960,Bolivia,9,2
1960,Korean Peninsula,9,3
1960,Malaysia,9,3
1960,Yemen,9,4
1960,Portugal,7,1
1960,Argentina,6,5
1960,Democratic Republic of the Congo,6,3
1960,Nigeria,5,3
1960,Colombia,4,4
1960,Pakistan,4,3
1960,Palestine / transnational,4,1
1960,Paraguay,4,1
1960,Zimbabwe,4,1
1960,Albania,3,2
1960,Armenia,3,2
1960,Latvia,3,1
1960,Australia / Indigenous,2,1
1960,Cape Verde,2,1
1960,Czech Republic,2,1
1960,Egypt,2,2
1960,Guatemala,2,1
1960,Hungary,2,1
1960,Jordan,2,2
1960,Nicaragua,2,1
1960,Serbia,2,2
1960,Spain,2,1
1960,Ukraine,2,2
1960,Uruguay,2,2
1960,Benin,1,1
1960,Bosnia and Herzegovina,1,1
1960,Ethiopia,1,1
1960,Ghana,1,1
1960,Greece,1,1
1960,Kazakhstan,1,1
1960,Laos,1,1
1960,Lebanon,1,1
1960,Philippines,1,1
1960,Sri Lanka,1,1
1960,Syria,1,1
1960,Thailand,1,1
1960,United Arab Emirates,1,1
1960,Venezuela,1,1
1970,United States,288,12
1970,Indonesia,141,4
1970,Germany,126,5
1970,China / Hong Kong,125,2
1970,Chile,88,6
1970,Global / transnational,68,7
1970,Russia,63,3
1970,Norway,52,3
1970,Italy,43,4
1970,Peru,42,2
1970,Brazil,36,4
1970,France,35,4
1970,Cuba / transnational,31,4
1970,Poland,29,4
1970,Portugal,29,1
1970,Iran,23,8
1970,Iraq,22,3
1970,Switzerland,21,3
1970,United Kingdom,19,2
1970,Aotearoa New Zealand,17,6
1970,Finland,15,1
1970,Japan,15,3
1970,Austria,14,1
1970,Ireland,13,1
1970,Kenya,12,1
1970,Mexico,12,3
1970,Latin America,11,2
1970,Netherlands,11,2
1970,United Arab Emirates,11,2
1970,Vietnam,11,2
1970,Denmark,10,1
1970,Israel / Palestine,10,1
1970,Albania,9,2
1970,Hungary,9,1
1970,Sweden,9,1
1970,Australia / Indigenous,8,3
1970,South Africa,7,3
1970,Algeria,5,2
1970,Argentina,5,3
1970,Malaysia,5,2
1970,Belgium,4,2
1970,Egypt,4,2
1970,Georgia,4,1
1970,Korean Peninsula,4,3
1970,Uruguay,4,1
1970,Greece,3,1
1970,Palestine / transnational,3,2
1970,Republic of the Congo,3,1
1970,Armenia,2,1
1970,Australia,2,1
1970,Bangladesh,2,2
1970,Bulgaria,2,2
1970,Burundi,2,2
1970,Canada,2,2
1970,Cape Verde,2,1
1970,Dominican Republic,2,1
1970,Kazakhstan,2,2
1970,Lebanon,2,1
1970,Rwanda,2,1
1970,Serbia,2,2
1970,Solomon Islands,2,2
1970,Venezuela,2,2
1970,Zimbabwe,2,1
1970,El Salvador,1,1
1970,Estonia,1,1
1970,Ethiopia,1,1
1970,Guatemala,1,1
1970,Jordan,1,1
1970,Kyrgyzstan,1,1
1970,Latvia,1,1
1970,Nicaragua,1,1
1970,Nigeria,1,1
1970,Pakistan,1,1
1970,Papua New Guinea,1,1
1970,Puerto Rico,1,1
1970,Qatar,1,1
1970,Romania,1,1
1970,Taiwan,1,1
1970,Thailand,1,1
1980,United Kingdom,1623,2
1980,Norway,83,2
1980,Indonesia,81,2
1980,United States,64,7
1980,Aotearoa New Zealand,53,6
1980,Brazil,37,3
1980,France,22,2
1980,Germany,22,3
1980,Japan,19,2
1980,Russia,19,3
1980,Iran,15,1
1980,Austria,11,1
1980,Chile,11,5
1980,Australia / Indigenous,10,1
1980,Cuba / transnational,9,3
1980,Kazakhstan,8,2
1980,Georgia,7,2
1980,Italy,7,1
1980,South Africa,6,4
1980,Poland,5,3
1980,Mexico,4,2
1980,Albania,3,1
1980,Finland,3,2
1980,India,3,2
1980,Mongolia,3,1
1980,Nepal,3,2
1980,Romania,3,2
1980,Switzerland,3,1
1980,Turkey,3,2
1980,Uzbekistan,3,2
1980,Belgium,2,1
1980,Colombia,2,1
1980,Global / transnational,2,1
1980,Kyrgyzstan,2,1
1980,Moldova,2,1
1980,Netherlands,2,1
1980,Nicaragua,2,1
1980,Philippines,2,2
1980,Serbia,2,2
1980,Algeria,1,1
1980,Argentina,1,1
1980,Armenia,1,1
1980,Bangladesh,1,1
1980,Botswana,1,1
1980,China / Hong Kong,1,1
1980,Egypt,1,1
1980,El Salvador,1,1
1980,Ethiopia,1,1
1980,Israel / Palestine,1,1
1980,Korean Peninsula,1,1
1980,Latin America,1,1
1980,Latvia,1,1
1980,Malaysia,1,1
1980,Mozambique,1,1
1980,North Korea,1,1
1980,Pakistan,1,1
1980,Palestine / transnational,1,1
1980,Tajikistan,1,1
1980,Tunisia,1,1
1980,Ukraine,1,1
1980,Venezuela,1,1
1980,Vietnam,1,1
1980,Zimbabwe,1,1
1990,Kazakhstan,222,2
1990,United Kingdom,157,2
1990,Indonesia,147,4
1990,United States,136,9
1990,Norway,98,1
1990,Aotearoa New Zealand,20,3
1990,Ukraine,14,4
1990,China / Hong Kong,12,3
1990,Lithuania,12,3
1990,Iran,11,2
1990,Australia / Indigenous,10,1
1990,Tajikistan,10,3
1990,Turkey,10,1
1990,Azerbaijan,9,1
1990,Chile,9,3
1990,Moldova,9,1
1990,Armenia,8,2
1990,Belarus,7,1
1990,Albania,6,1
1990,Japan,6,1
1990,Latvia,6,1
1990,Russia,6,2
1990,Serbia,6,3
1990,Colombia,5,2
1990,Estonia,5,3
1990,India,5,2
1990,Kyrgyzstan,5,1
1990,Switzerland,5,1
1990,Argentina,4,2
1990,Bulgaria,4,1
1990,Latin America,4,2
1990,Malaysia,4,1
1990,Taiwan,4,2
1990,Georgia,3,2
1990,Germany,3,1
1990,Turkmenistan,3,2
1990,France,2,2
1990,Mexico,2,2
1990,Netherlands,2,2
1990,Poland,2,2
1990,Sweden,2,2
1990,Tunisia,2,1
1990,Uzbekistan,2,2
1990,Canada,1,1
1990,China,1,1
1990,Croatia,1,1
1990,Czech Republic,1,1
1990,Greece,1,1
1990,Mongolia,1,1
1990,North Macedonia,1,1
1990,Papua New Guinea,1,1
1990,Philippines,1,1
1990,Romania,1,1
1990,Singapore,1,1
1990,Timor-Leste,1,1
1990,Uruguay,1,1
1990,Venezuela,1,1
2000,United States,278,5
2000,Indonesia,233,3
2000,United Kingdom,197,3
2000,Kazakhstan,39,1
2000,Japan,30,2
2000,Norway,28,1
2000,Ukraine,26,4
2000,South Africa,18,7
2000,Chile,16,4
2000,Australia / Indigenous,15,4
2000,Brazil,15,6
2000,Aotearoa New Zealand,13,3
2000,Argentina,13,3
2000,Georgia,13,4
2000,India,13,5
2000,China / Hong Kong,12,5
2000,Turkey,12,3
2000,Canada,11,2
2000,Ghana,11,1
2000,Azerbaijan,10,1
2000,Global / transnational,9,4
2000,Armenia,8,2
2000,Thailand,8,3
2000,Mexico,7,3
2000,Netherlands,7,1
2000,Poland,7,3
2000,Samoa,7,1
2000,Federated States of Micronesia,6,1
2000,Cook Islands,5,1
2000,Palestine / transnational,5,3
2000,Peru,5,3
2000,Taiwan,5,2
2000,Tunisia,5,3
2000,Albania,4,2
2000,Cuba / transnational,4,1
2000,Korean Peninsula,4,3
2000,Lebanon,4,3
2000,Malaysia,4,1
2000,Uganda,4,3
2000,Uruguay,4,1
2000,Vietnam,4,2
2000,Colombia,3,1
2000,France,3,3
2000,Germany,3,1
2000,Iraq,3,3
2000,Nauru,3,1
2000,Pakistan,3,2
2000,Wallis and Futuna,3,1
2000,Zimbabwe,3,2
2000,Belarus,2,1
2000,Fiji,2,1
2000,Italy,2,1
2000,Latin America,2,2
2000,Marshall Islands,2,1
2000,Nepal,2,1
2000,Papua New Guinea,2,1
2000,Philippines,2,1
2000,Romania,2,2
2000,Senegal,2,1
2000,Switzerland,2,1
2000,Syria,2,2
2000,Tajikistan,2,1
2000,Tonga,2,1
2000,Tuvalu,2,1
2000,Australia,1,1
2000,Austria,1,1
2000,Bangladesh,1,1
2000,Bosnia and Herzegovina,1,1
2000,Croatia,1,1
2000,Denmark,1,1
2000,Egypt,1,1
2000,Estonia,1,1
2000,Ethiopia,1,1
2000,Hungary,1,1
2000,Iran,1,1
2000,Jordan,1,1
2000,Kiribati,1,1
2000,Madagascar,1,1
2000,Moldova,1,1
2000,Morocco,1,1
2000,Nigeria,1,1
2000,Niue,1,1
2000,Palau,1,1
2000,Puerto Rico,1,1
2000,Serbia,1,1
2000,Singapore,1,1
2000,Solomon Islands,1,1
2000,Sri Lanka,1,1
2000,Tokelau,1,1
2000,Uzbekistan,1,1
2000,Vanuatu,1,1
2000,Venezuela,1,1
2000,Zambia,1,1
2010,Indonesia,163,4
2010,United States,123,8
2010,Netherlands,67,2
2010,Turkey,61,1
2010,Azerbaijan,49,2
2010,Vietnam,43,3
2010,Zimbabwe,42,1
2010,Aotearoa New Zealand,37,5
2010,Brazil,37,6
2010,Uruguay,34,3
2010,China / Hong Kong,32,2
2010,Ukraine,32,6
2010,Mexico,31,5
2010,Tunisia,31,2
2010,India,29,3
2010,Cuba / transnational,28,2
2010,Australia / Indigenous,27,6
2010,United Kingdom,26,2
2010,Poland,17,2
2010,South Africa,16,5
2010,Japan,15,2
2010,Korean Peninsula,15,5
2010,Norway,15,2
2010,Germany,14,3
2010,Chile,13,3
2010,Iran,12,2
2010,Madagascar,12,1
2010,Taiwan,12,2
2010,Argentina,11,3
2010,Armenia,11,3
2010,Vanuatu,11,1
2010,Colombia,10,1
2010,Nepal,10,1
2010,Singapore,10,1
2010,Egypt,8,3
2010,Federated States of Micronesia,8,1
2010,Georgia,8,3
2010,Iraq,8,3
2010,Venezuela,8,1
2010,Bangladesh,7,1
2010,Croatia,7,1
2010,Ghana,7,2
2010,Kenya,7,2
2010,Moldova,7,2
2010,New Caledonia,7,1
2010,Peru,7,4
2010,Global / transnational,6,1
2010,Malaysia,6,2
2010,Tanzania,6,1
2010,Wallis and Futuna,6,1
2010,Bahrain,5,2
2010,Kazakhstan,5,3
2010,Kiribati,5,1
2010,Nigeria,5,2
2010,Philippines,5,4
2010,Romania,5,1
2010,Bulgaria,4,2
2010,Latin America,4,3
2010,Serbia,4,2
2010,Solomon Islands,4,1
2010,Thailand,4,1
2010,Belarus,3,1
2010,Cameroon,3,1
2010,Cook Islands,3,1
2010,Democratic Republic of the Congo,3,3
2010,Marshall Islands,3,1
2010,Morocco,3,2
2010,Niue,3,1
2010,Palau,3,1
2010,Palestine / transnational,3,1
2010,Uzbekistan,3,1
2010,Albania,2,1
2010,Bolivia,2,1
2010,Bosnia and Herzegovina,2,1
2010,Canada,2,2
2010,France,2,2
2010,Italy,2,1
2010,Kyrgyzstan,2,1
2010,Namibia,2,1
2010,North Macedonia,2,1
2010,Sri Lanka,2,2
2010,Algeria,1,1
2010,Belgium,1,1
2010,Estonia,1,1
2010,Ethiopia,1,1
2010,Hawaii,1,1
2010,Ireland,1,1
2010,Maldives,1,1
2010,Mauritius,1,1
2010,Pakistan,1,1
2010,Samoa,1,1
2010,Syria,1,1
2010,Zambia,1,1
2020,Brazil,98,2
2020,Malaysia,79,3
2020,Indonesia,61,4
2020,Ukraine,45,3
2020,China / Hong Kong,40,2
2020,Philippines,37,3
2020,Turkey,33,2
2020,Mexico,30,2
2020,Wallis and Futuna,28,1
2020,Bangladesh,26,1
2020,Australia / Indigenous,24,2
2020,Uganda,22,1
2020,Venezuela,22,1
2020,India,21,1
2020,Morocco,20,1
2020,Kuwait,19,2
2020,United States,18,6
2020,Netherlands,16,1
2020,Singapore,16,2
2020,Kenya,15,1
2020,Azerbaijan,14,1
2020,Iran,13,1
2020,Palestine / transnational,13,1
2020,Poland,13,3
2020,Aotearoa New Zealand,12,2
2020,Latin America,12,1
2020,Nigeria,11,3
2020,Romania,10,1
2020,Solomon Islands,10,2
2020,Taiwan,10,1
2020,Bulgaria,9,1
2020,Cameroon,9,1
2020,Peru,9,2
2020,Chile,8,1
2020,Colombia,8,3
2020,Ethiopia,8,2
2020,Federated States of Micronesia,8,1
2020,Armenia,7,1
2020,Georgia,7,2
2020,Ghana,7,1
2020,Senegal,7,1
2020,Ireland,6,1
2020,Kazakhstan,6,3
2020,Madagascar,6,1
2020,Tanzania,6,1
2020,Vanuatu,6,1
2020,Benin,5,1
2020,Pakistan,5,1
2020,Serbia,5,1
2020,Tonga,5,1
2020,Tunisia,5,1
2020,Albania,4,1
2020,Cook Islands,4,1
2020,Fiji,4,1
2020,Nepal,4,1
2020,Argentina,3,1
2020,Cape Verde,3,1
2020,Lebanon,3,1
2020,Nauru,3,1
2020,South Africa,3,2
2020,Thailand,3,1
2020,Uruguay,3,1
2020,Croatia,2,1
2020,Cuba / transnational,2,1
2020,Global / transnational,2,1
2020,Kiribati,2,1
2020,Myanmar,2,1
2020,New Caledonia,2,1
2020,Rwanda,2,1
2020,Slovenia,2,1
2020,Uzbekistan,2,1
2020,Vietnam,2,2
2020,Zambia,2,1
2020,Algeria,1,1
2020,Belarus,1,1
