surface_id,capture_id,packet_id,current_publication_role,current_surface_type,recommended_role,recommendation_confidence,recommendation_reason,anchor_score,relation_density,title,year,region,theme,medium,movement,source_name,image_state,source_reading_text_length,reading_text_length,completeness_score
SURF-CAW2026R00013,CAW2026R00013,PKT00400,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,58,10,Marianne North (1830-1890) - A Brazilian Climbing Shrub and Humming Birds - MN59 - Marianne North Gallery.jpg,1830,Brazil,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - A Brazilian Climbing Shrub and Humming Birds - MN59 - Marianne North Gallery.jpg / page 164781958,IMG03,550,2852,97
SURF-CAW2026R00014,CAW2026R00014,PKT00400,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,54,10,Marianne North (1830-1890) - A Brazilian Epiphytal Orchid - MN808 - Marianne North Gallery.jpg,1830,Brazil,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - A Brazilian Epiphytal Orchid - MN808 - Marianne North Gallery.jpg / page 164417620,IMG03,406,2772,91
SURF-CAW2026R00015,CAW2026R00015,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,71,54,"Marianne North (1830-1890) - A Cycad in Fruit in Mr Hill's Garden, Verulam, Natal - MN366 - Marianne North Gallery.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - A Cycad in Fruit in Mr Hill's Garden, Verulam, Natal - MN366 - Marianne North Gallery.jpg / page 164190176",IMG03,622,2949,97
SURF-CAW2026R00016,CAW2026R00016,PKT00662,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,65,4,Marianne North (1830-1890) - A South African Water-Plant in Flower and Fruit - MN420 - Marianne North Gallery.jpg,1830,South Africa / Botswana,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - A South African Water-Plant in Flower and Fruit - MN420 - Marianne North Gallery.jpg / page 164711083,IMG03,577,2871,97
SURF-CAW2026R00017,CAW2026R00017,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,69,54,Marianne North (1830-1890) - Abyssinian Ensete in a Garden in Teneriffe - MN516 - Marianne North Gallery.jpg,1830,Seychelles,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - Abyssinian Ensete in a Garden in Teneriffe - MN516 - Marianne North Gallery.jpg / page 164627148,IMG03,532,2897,97
SURF-CAW2026R00018,CAW2026R00018,PKT00662,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,65,4,Marianne North (1830-1890) - An Old Friend and Its Associates in South Africa - MN416 - Marianne North Gallery.jpg,1830,South Africa / Botswana,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - An Old Friend and Its Associates in South Africa - MN416 - Marianne North Gallery.jpg / page 164362471,IMG03,586,2875,97
SURF-CAW2026R00006,CAW2026R00006,,main_sheet,sheet,subsheet_or_card_review,medium,Singleton lacks explicit packet relation; main status should not be default.,44,0,Marianne North (1830-1890) - Angraecum and Urania Moth of Madagascar - MN356 - Marianne North Gallery.jpg,1830,Madagascar,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - Angraecum and Urania Moth of Madagascar - MN356 - Marianne North Gallery.jpg / page 164204264,IMG03,505,2866,97
SURF-CAW2026R00019,CAW2026R00019,PKT00663,main_sheet,sheet,main_sheet_manual_review,medium,Packet anchor candidate but needs editorial/source-depth review.,48,4,"Marianne North (1830-1890) - Avenue of Indian Rubber Trees at Peradeniya, Ceylon - MN260 - Marianne North Gallery.jpg",1830,India,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Avenue of Indian Rubber Trees at Peradeniya, Ceylon - MN260 - Marianne North Gallery.jpg / page 164947326",IMG03,613,2887,97
SURF-CAW2026R00020,CAW2026R00020,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,71,54,"Marianne North (1830-1890) - Bamboos, Cocoa Nut Trees and Other Vegetation in the Bath Valley, Jamaica - MN130 - Marianne North Gallery.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Bamboos, Cocoa Nut Trees and Other Vegetation in the Bath Valley, Jamaica - MN130 - Marianne North Gallery.jpg / page 164729673",IMG03,811,3052,97
SURF-CAW2026R00021,CAW2026R00021,PKT00400,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,60,10,"Marianne North (1830-1890) - Bananas and Orange Trees, a Palm and a Bush of Noche Buena in a Garden at Morro Velho, Brazil - MN120 - Marianne North Gallery.jpg",1830,Brazil,Travel and transport poster culture,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Bananas and Orange Trees, a Palm and a Bush of Noche Buena in a Garden at Morro Velho, Brazil - MN120 - Marianne North Gallery.jpg / page 164224345",IMG03,991,3105,97
SURF-CAW2026R00022,CAW2026R00022,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,69,54,"Marianne North (1830-1890) - Banyan Tree at Passu Gulag near Diocio, Java - MN694 - Marianne North Gallery.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Banyan Tree at Passu Gulag near Diocio, Java - MN694 - Marianne North Gallery.jpg / page 164184484",IMG03,550,2894,97
SURF-CAW2026R00023,CAW2026R00023,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,71,54,"Marianne North (1830-1890) - Blue Poppy Growing on Mount Tonglo, Sikkim-Himalaya - MN252 - Marianne North Gallery.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Blue Poppy Growing on Mount Tonglo, Sikkim-Himalaya - MN252 - Marianne North Gallery.jpg / page 164188124",IMG03,613,2940,97
SURF-CAW2026R00024,CAW2026R00024,PKT00400,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,52,10,Marianne North (1830-1890) - Brazilian Wild Flowers - MN55 - Marianne North Gallery.jpg,1830,Brazil,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - Brazilian Wild Flowers - MN55 - Marianne North Gallery.jpg / page 164932693,IMG03,352,2732,91
SURF-CAW2026R00025,CAW2026R00025,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,67,54,"Marianne North (1830-1890) - Cultivated Flowers, Painted in Jamaica - MN147 - Marianne North Gallery.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Cultivated Flowers, Painted in Jamaica - MN147 - Marianne North Gallery.jpg / page 164290552",IMG03,496,2877,91
SURF-CAW2026R00026,CAW2026R00026,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,71,54,"Marianne North (1830-1890) - Cycads, Screw-Pines and Bamboos with Durban in the Distance - MN389 - Marianne North Gallery.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Cycads, Screw-Pines and Bamboos with Durban in the Distance - MN389 - Marianne North Gallery.jpg / page 164752838",IMG03,685,2974,97
SURF-CAW2026R00027,CAW2026R00027,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,69,54,Marianne North (1830-1890) - Exotic Flowering Plant on a Black Background* - MN853 - Marianne North Gallery.jpg,1830,Seychelles,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - Exotic Flowering Plant on a Black Background* - MN853 - Marianne North Gallery.jpg / page 164623483,IMG03,559,2912,97
SURF-CAW2026R00028,CAW2026R00028,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,70,54,"Marianne North (1830-1890) - Fig-Tree Village and Its Big Godfather, Illawarra - MN788 - Marianne North Gallery.jpg",1830,Seychelles,World War and public-information graphics,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Fig-Tree Village and Its Big Godfather, Illawarra - MN788 - Marianne North Gallery.jpg / page 164848642",IMG03,589,2931,97
SURF-CAW2026R00029,CAW2026R00029,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,59,54,"Marianne North (1830-1890) - Fishes - MNS45 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Fishes - MNS45 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg / page 164733100",IMG03,202,2774,85
SURF-CAW2026R00030,CAW2026R00030,PKT00400,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,55,10,Marianne North (1830-1890) - Flowers of a Brazilian Forest Tree - MN88 - Marianne North Gallery.jpg,1830,Brazil,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - Flowers of a Brazilian Forest Tree - MN88 - Marianne North Gallery.jpg / page 164807218,IMG03,460,2802,91
SURF-CAW2026R00031,CAW2026R00031,PKT00400,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,53,10,"Marianne North (1830-1890) - Flowers of a Twiner, Brazil - MN99 - Marianne North Gallery.jpg",1830,Brazil,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Flowers of a Twiner, Brazil - MN99 - Marianne North Gallery.jpg / page 164776238",IMG03,397,2773,91
SURF-CAW2026R00032,CAW2026R00032,PKT00400,main_sheet,sheet,main_sheet_manual_review,medium,Packet anchor candidate but needs editorial/source-depth review.,60,10,"Marianne North (1830-1890) - Foliage and Flowers of a Climbing Plant with Royal Palms and Sugarloaf Mountain in the Background, Brazil - MN65 - Marianne North Gallery.jpg",1830,Brazil,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Foliage and Flowers of a Climbing Plant with Royal Palms and Sugarloaf Mountain in the Background, Brazil - MN65 - Marianne North Gallery.jpg / page 164636460",IMG03,1099,3161,97
SURF-CAW2026R00033,CAW2026R00033,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,71,54,"Marianne North (1830-1890) - Foliage and Flowers of the Blue Gum, and Diamond Birds, Tasmania - MN720 - Marianne North Gallery.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Foliage and Flowers of the Blue Gum, and Diamond Birds, Tasmania - MN720 - Marianne North Gallery.jpg / page 164251594",IMG03,724,3006,97
SURF-CAW2026R00034,CAW2026R00034,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,71,54,"Marianne North (1830-1890) - Foliage, Flowers and Seed-Vessels of a Peruvian Bark Tree - MN587 - Marianne North Gallery.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Foliage, Flowers and Seed-Vessels of a Peruvian Bark Tree - MN587 - Marianne North Gallery.jpg / page 164182942",IMG03,661,2965,97
SURF-CAW2026R00035,CAW2026R00035,,main_sheet,sheet,subsheet_or_card_review,medium,Singleton lacks explicit packet relation; main status should not be default.,40,0,"Marianne North (1830-1890) - Foliage, Flowers and Seed-Vessels of a Rare West Australian Shrub - MN751 - Marianne North Gallery.jpg",1830,Australia / Indigenous,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Foliage, Flowers and Seed-Vessels of a Rare West Australian Shrub - MN751 - Marianne North Gallery.jpg / page 164725585",IMG03,733,2955,97
SURF-CAW2026R00036,CAW2026R00036,,main_sheet,sheet,subsheet_or_card_review,medium,Singleton lacks explicit packet relation; main status should not be default.,51,0,"Marianne North (1830-1890) - Gate of the Temple of Kobe, Japan and Wistaria - MN643 - Marianne North Gallery.jpg",1830,Japan,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Gate of the Temple of Kobe, Japan and Wistaria - MN643 - Marianne North Gallery.jpg / page 164615862",IMG03,568,2870,97
SURF-CAW2026R00037,CAW2026R00037,PKT00400,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,60,10,"Marianne North (1830-1890) - Glimpse of Mr Weilhorn's House at Petropolis, Brazil - MN90 - Marianne North Gallery.jpg",1830,Brazil,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Glimpse of Mr Weilhorn's House at Petropolis, Brazil - MN90 - Marianne North Gallery.jpg / page 164691300",IMG03,622,2898,97
SURF-CAW2026R00038,CAW2026R00038,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,63,54,Marianne North (1830-1890) - Group of Natal Flowers - MN371 - Marianne North Gallery.jpg,1830,Seychelles,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - Group of Natal Flowers - MN371 - Marianne North Gallery.jpg / page 164319284,IMG03,352,2796,91
SURF-CAW2026R00039,CAW2026R00039,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,69,54,Marianne North (1830-1890) - Himalayan Flowers Embedded in Maidenhair Fern - MN274 - Marianne North Gallery.jpg,1830,Seychelles,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - Himalayan Flowers Embedded in Maidenhair Fern - MN274 - Marianne North Gallery.jpg / page 164768423,IMG03,559,2907,97
SURF-CAW2026R00040,CAW2026R00040,PKT00663,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,45,4,"Marianne North (1830-1890) - In the Kylas, Ellora, India, March 1878 - MNS104 - Herbarium Complex, Royal Botanic Gardens, Kew.jpg",1830,India,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - In the Kylas, Ellora, India, March 1878 - MNS104 - Herbarium Complex, Royal Botanic Gardens, Kew.jpg / page 97436721",IMG03,505,2879,97
SURF-CAW2026R00092,CAW2026R00092,PKT01311,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,48,4,Marianne North (1830-1890) - Jamaican Orchids Growing on a Branch of the Calabash Tree - MN111 - Marianne North Gallery.jpg,1830,Latin America,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - Jamaican Orchids Growing on a Branch of the Calabash Tree - MN111 - Marianne North Gallery.jpg / page 164698610,IMG03,667,2938,97
SURF-CAW2026R00041,CAW2026R00041,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,61,54,Marianne North (1830-1890) - Java Flowers - MN664 - Marianne North Gallery.jpg,1830,Seychelles,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - Java Flowers - MN664 - Marianne North Gallery.jpg / page 164307343,IMG03,262,2742,91
SURF-CAW2026R00042,CAW2026R00042,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,66,54,"Marianne North (1830-1890) - Krakatau Volcano, Ngantang, Java - MNS10 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Krakatau Volcano, Ngantang, Java - MNS10 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg / page 164462133",IMG03,442,2903,91
SURF-CAW2026R00043,CAW2026R00043,PKT00662,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,66,4,"Marianne North (1830-1890) - Krippelboom with False Bay in the Distance, South Africa - MN410 - Marianne North Gallery.jpg",1830,South Africa / Botswana,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Krippelboom with False Bay in the Distance, South Africa - MN410 - Marianne North Gallery.jpg / page 164495160",IMG03,658,2899,97
SURF-CAW2026R00044,CAW2026R00044,,main_sheet,sheet,subsheet_or_card_review,medium,Singleton lacks explicit packet relation; main status should not be default.,43,0,"Marianne North (1830-1890) - Lake Biwa, Japan - MNS5 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg",1830,Japan,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Lake Biwa, Japan - MNS5 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg / page 164827258",IMG03,298,2775,91
SURF-CAW2026R00045,CAW2026R00045,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,61,54,Marianne North (1830-1890) - Leaf Insect - MN572 - Marianne North Gallery.jpg,1830,Seychelles,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - Leaf Insect - MN572 - Marianne North Gallery.jpg / page 164419946,IMG03,253,2737,91
SURF-CAW2026R00046,CAW2026R00046,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,71,54,"Marianne North (1830-1890) - Looking Seaward from the Mouth of St John's River, Kaffraria - MN359 - Marianne North Gallery.jpg",1830,Seychelles,World War and public-information graphics,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Looking Seaward from the Mouth of St John's River, Kaffraria - MN359 - Marianne North Gallery.jpg / page 164228874",IMG03,694,2988,97
SURF-CAW2026R00047,CAW2026R00047,PKT00663,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,45,4,"Marianne North (1830-1890) - Looking down the Bazaar and Lake of Nynee Tal, Kumaon, North West India - MN342 - Marianne North Gallery, Royal Botanic Gardens, Kew.jpg",1830,India,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Looking down the Bazaar and Lake of Nynee Tal, Kumaon, North West India - MN342 - Marianne North Gallery, Royal Botanic Gardens, Kew.jpg / page 97542766",IMG03,511,2955,97
SURF-CAW2026R00048,CAW2026R00048,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,71,54,"Marianne North (1830-1890) - Male Inflorescence and Ripe Nuts of the Coco de Mer, Seychelles - MN475 - Marianne North Gallery.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Male Inflorescence and Ripe Nuts of the Coco de Mer, Seychelles - MN475 - Marianne North Gallery.jpg / page 164661978",IMG03,721,3001,97
SURF-CAW2026R00049,CAW2026R00049,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,69,54,"Marianne North (1830-1890) - Moon Reflected in a Turtle Pool, Seychelles - MN481 - Marianne North Gallery.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Moon Reflected in a Turtle Pool, Seychelles - MN481 - Marianne North Gallery.jpg / page 164187053",IMG03,541,2902,97
SURF-CAW2026R00050,CAW2026R00050,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,71,54,Marianne North (1830-1890) - Mosque of Delhi from the Lahore Gate of the Citadel - MN321 - Marianne North Gallery.jpg,1830,Seychelles,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - Mosque of Delhi from the Lahore Gate of the Citadel - MN321 - Marianne North Gallery.jpg / page 164799794,IMG03,613,2941,97
SURF-CAW2026R00051,CAW2026R00051,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,66,54,Marianne North (1830-1890) - Mosque of Lahore from the Palace - MN323 - Marianne North Gallery.jpg,1830,Seychelles,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - Mosque of Lahore from the Palace - MN323 - Marianne North Gallery.jpg / page 164901388,IMG03,442,2846,91
SURF-CAW2026R00052,CAW2026R00052,PKT00400,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,55,10,"Marianne North (1830-1890) - Orchid and Humming Birds, Brazil - MN96 - Marianne North Gallery.jpg",1830,Brazil,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Orchid and Humming Birds, Brazil - MN96 - Marianne North Gallery.jpg / page 164784100",IMG03,442,2798,91
SURF-CAW2026R00053,CAW2026R00053,PKT00250,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,69,54,"Marianne North (1830-1890) - Our Camp on the Bunya Mountains, Queensland - MN768 - Marianne North Gallery.jpg",1830,Seychelles,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - Our Camp on the Bunya Mountains, Queensland - MN768 - Marianne North Gallery.jpg / page 164321903",IMG03,535,2901,97
