capture_uid,capture_id,capture_file,source_name,source_identifier,source_title,period_band,image_state,source_reading_text_length,all_context_text_length,completeness_proxy,group_count,primary_group_id,primary_relation_label,primary_group_action,recommended_disposition,disposition_reason,requires_group_review
capture_batch_001_records.csv:ECAP026,ECAP026,capture_batch_001_records.csv,V&A Collections API,O129280,Piper at the Gates of Dawn,undated_or_unparsed,IMG02,0,0,90,3,SRLG0362,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP027,ECAP027,capture_batch_001_records.csv,V&A Collections API,O117445,Zimbabwe.  One Enemy: Imperialism [verso],undated_or_unparsed,IMG02,0,0,90,0,,,,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP028,ECAP028,capture_batch_001_records.csv,V&A Collections API,O1275009,There flows from Latin America,undated_or_unparsed,IMG02,0,0,90,3,SRLG0361,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP029,ECAP029,capture_batch_001_records.csv,V&A Collections API,O1024553,Picture Posters,undated_or_unparsed,IMG02,0,0,90,3,SRLG0355,same_entity_confirmed,deduplicate_or_merge_source_records,dedupe_child_record,same source record/identifier should attach to canonical source register,true
capture_batch_001_records.csv:ECAP030,ECAP030,capture_batch_001_records.csv,V&A Collections API,O1010317,Political Poster Show 1977,undated_or_unparsed,IMG02,0,0,90,0,,,,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP031,ECAP031,capture_batch_001_records.csv,V&A Collections API,O1275006,A nation that enslaves another cannot itself be free,undated_or_unparsed,IMG02,0,0,90,0,,,,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP032,ECAP032,capture_batch_001_records.csv,V&A Collections API,O554413,Self-Determination For The Irish People,undated_or_unparsed,IMG04,0,0,80,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP033,ECAP033,capture_batch_001_records.csv,V&A Collections API,O555458,Victory to People's War,undated_or_unparsed,IMG02,0,0,90,0,,,,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP034,ECAP034,capture_batch_001_records.csv,V&A Collections API,O554411,Zimbabwe. One Enemy: Imperialism.,undated_or_unparsed,IMG04,0,0,80,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP035,ECAP035,capture_batch_001_records.csv,V&A Collections API,O555461,Free World. Third World. Socialist World.,undated_or_unparsed,IMG04,0,0,80,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP036,ECAP036,capture_batch_001_records.csv,V&A Collections API,O554955,A for africa,undated_or_unparsed,IMG04,0,0,80,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP037,ECAP037,capture_batch_001_records.csv,V&A Collections API,O552869,Supporting An Army Of The People And For The People,undated_or_unparsed,IMG04,0,0,80,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP038,ECAP038,capture_batch_001_records.csv,V&A Collections API,O555459,Support The Struggle Of The United Farm Workers,undated_or_unparsed,IMG04,0,0,80,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP039,ECAP039,capture_batch_001_records.csv,V&A Collections API,O554954,In Support Of The Courageous Stand Made By Hull Prisoners,undated_or_unparsed,IMG04,0,0,80,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP040,ECAP040,capture_batch_001_records.csv,V&A Collections API,O552868,Air India. Immingrant Labour.,undated_or_unparsed,IMG02,0,0,90,0,,,,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP041,ECAP041,capture_batch_001_records.csv,Library of Congress loc.gov API,2010635220,"[Political posters related to issues in Pakistan and Afghanistan, some published in Quetta, Pakistan, including posters issued by the Taliban and Jamiat Ulema-e-Islam, posters in sympathy with the Northern alliance and other anti-Taliban movements in Afghanistan, posters supporting Ossama Bin Laden and Saddam Hussein, and posters about the separatist movement in Balochistan]",undated_or_unparsed,IMG04,0,0,74,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP042,ECAP042,capture_batch_001_records.csv,Library of Congress loc.gov API,2010635024,"[Posters depicting Belize's People's United Party (PUP); Brazil: film posters, cultural issues, reproductive rights; Guyana: political posters, environmental issues; Suriname: bird-watching, environmental issues; French Guyana: environmental issues, Carnival, spaceport; Uruguay: film festival; AIDS awareness; disability awareness; indigenous cultures; cinema; travel; species extinction; cultural events; children's books; IBASE; and Coca-Cola themed posters]",undated_or_unparsed,IMG04,0,0,74,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP043,ECAP043,capture_batch_001_records.csv,Library of Congress loc.gov API,2010633735,[Polish posters: Ramayana exhibition poster by Stasis; Gamelan exhibition poster by Jerzy Czerniawski; Indonesia exhibition poster by Maria Janiga],undated_or_unparsed,IMG04,0,0,74,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP044,ECAP044,capture_batch_001_records.csv,Library of Congress loc.gov API,2017689463,"Production. The first of a series of production posters designed by the Office of Emergency Management for display in defense plants throughout the United States. The poster was designed for the OEM by Jean Carlu, eminent poster artist and graphic design expert. The poster measures 30 x 40 inches in size and was issued June 23, 1941",undated_or_unparsed,IMG04,0,0,80,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP045,ECAP045,capture_batch_001_records.csv,Library of Congress loc.gov API,2017699400,"Poster. Men working together. A defense production poster for display in industrial plants throughout the nation. The poster, which measures 30 x 40 inches was designed and distributed by the Division of Information of the Office of War Information (OWI). The poster was issued November 18, 1941",undated_or_unparsed,IMG04,0,0,80,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_001_records.csv:ECAP046,ECAP046,capture_batch_001_records.csv,Library of Congress loc.gov API,2017700597,"Civilian defense poster. ""Jerry"", the American eagle, which posed for this striking poster, is a resident of the National Zoological Park, Washington, D.C. The poster, in four colors, was issued today to illustrate Civilian Defense Week, observance of which begins Armistice Day, November 11, by proclamation of President Roosevelt. Specific days have been set aside throughout the week to mark special aspects of the Office of Civilian Defense, Office of Emergency Management (OEM). From an actual photograph. It is being distributed by state and local defense throughout the nation. Poster designed by Herbert Matter, distributed by the Office of Civilian Defense. It is printed in four colors. Copies may be obtained from state and local councils",undated_or_unparsed,IMG01,0,0,90,0,,,,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP047,ECAP047,capture_batch_001_records.csv,Library of Congress loc.gov API,2017700598,"Civilian defense poster. There's a place for every American in the Civilian Defense program as proclaimed in the striking poster above, designed by Charles Tudor, and issued today in two colors by the Office of War Information (OWI). The poster emphasizes the basic emblem of the Office of Civilian Defense. It is printed in red and blue, and is being distributed by state and local defense councils throughout the nation. Poster designed by Charles Tudor, distributed by the Office of Civilian Defense. It is printed in red and blue on white. Copies may be obtained from state and local councils",undated_or_unparsed,IMG01,0,0,90,0,,,,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP048,ECAP048,capture_batch_001_records.csv,Library of Congress loc.gov API,2017700659,"United effort poster. The united effort of the American people to match the Axis by fulfilling the production needs of the United Nations is illustrated in this poster issued by the War Production Board (WPB). These posters are being delivered to war factories throughout the nation. The field of the poster is white with printing in red, blue and black. Its measurements are 28 x 40 in.",undated_or_unparsed,IMG01,0,0,90,0,,,,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP049,ECAP049,capture_batch_001_records.csv,Library of Congress loc.gov API,2016871719,"Official Boy Scout poster. Dr. James E. West, Chief Scout Executive of the Boy Scouts (left) and Rep. Sol Bloom of New York with the official poster. This poster was painted and donated to the Boy Scout Jamboree by Howard Chandler Christy. It, the poster, will be distributed all over the world for the coming Boy Scout Jamboree which will be held in Washington from June 30th to July 9th with 30,000 Boy Scouts in attendance. Rep. Bloom has been one of the most active leaders in promoting this Boy Scout Jamboree, 5/21/1937",undated_or_unparsed,IMG01,0,0,90,0,,,,subsheet_visual,strong metadata/image but too little source-reading text for main sheet,false
capture_batch_001_records.csv:ECAP050,ECAP050,capture_batch_001_records.csv,Library of Congress loc.gov API,2018649993,[Lewis Newton collection of African American posters],undated_or_unparsed,IMG04,0,0,74,0,,,,appendix_or_text_sheet,medium completeness; use appendix plus text sheet treatment,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0001,CCR2026R0001,capture_batch_commons_open_contemporary_region_research_2026_records.csv,Wikimedia Commons file source / Your Tin Makes Engine Parts For Army Lorries - Thank You Nigeria! Art.IWMPST8268.jpg / page 30874777,30874777,Your Tin Makes Engine Parts For Army Lorries - Thank You Nigeria! Art.IWMPST8268.jpg,1930_1970,IMG03,1724,2235,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0002,CCR2026R0002,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / ASC Leiden - NSAG - van Es 9 - 021 - Two information posters are standing against a wall on the sand, with texts - From Kano, Nigeria to Jos, Nigeria - January 1962.tif / page 90909110",90909110,"ASC Leiden - NSAG - van Es 9 - 021 - Two information posters are standing against a wall on the sand, with texts - From Kano, Nigeria to Jos, Nigeria - January 1962.tif",1930_1970,IMG03,1796,2391,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0003,CCR2026R0003,capture_batch_commons_open_contemporary_region_research_2026_records.csv,Wikimedia Commons file source / THAMI Mnyele-anc violet hashe 84.jpg / page 15039040,15039040,THAMI Mnyele-anc violet hashe 84.jpg,1930_1970,IMG03,1072,1545,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0004,CCR2026R0004,capture_batch_commons_open_contemporary_region_research_2026_records.csv,Wikimedia Commons file source / Stamp of Negri Sembilan - 1937 - Colnect 872678 - Arms of Territory Missing Period Variety.jpeg / page 115826546,115826546,Stamp of Negri Sembilan - 1937 - Colnect 872678 - Arms of Territory Missing Period Variety.jpeg,1930_1970,IMG03,537,1071,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0005,CCR2026R0005,capture_batch_commons_open_contemporary_region_research_2026_records.csv,Wikimedia Commons file source / Stamp of Negri Sembilan - 1941 - Colnect 872676 - Arms of Territory.jpeg / page 115826659,115826659,Stamp of Negri Sembilan - 1941 - Colnect 872676 - Arms of Territory.jpeg,1930_1970,IMG03,347,858,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0006,CCR2026R0006,capture_batch_commons_open_contemporary_region_research_2026_records.csv,Wikimedia Commons file source / Stamp of Negri Sembilan - 1941 - Colnect 872677 - Arms of Territory.jpeg / page 115826673,115826673,Stamp of Negri Sembilan - 1941 - Colnect 872677 - Arms of Territory.jpeg,1930_1970,IMG03,347,858,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0007,CCR2026R0007,capture_batch_commons_open_contemporary_region_research_2026_records.csv,Wikimedia Commons file source / Stamp of Negri Sembilan - 1953 - Colnect 872680 - Arms of Territory.jpeg / page 115827028,115827028,Stamp of Negri Sembilan - 1953 - Colnect 872680 - Arms of Territory.jpeg,1930_1970,IMG03,320,831,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0008,CCR2026R0008,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Helix, v.4, no.4, Aug. 15, 1968 - DPLA - ed4ee91948fc8a79b182fdeb295370d3 (page 13).jpg / page 135599334",135599334,"Helix, v.4, no.4, Aug. 15, 1968 - DPLA - ed4ee91948fc8a79b182fdeb295370d3 (page 13).jpg",1930_1970,IMG03,2544,3070,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0009,CCR2026R0009,capture_batch_commons_open_contemporary_region_research_2026_records.csv,Wikimedia Commons file source / Stamp of Ajman - 1970 - Colnect 878189 - Azteca Stadium.jpeg / page 115688229,115688229,Stamp of Ajman - 1970 - Colnect 878189 - Azteca Stadium.jpeg,1930_1970,IMG03,231,730,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0010,CCR2026R0010,capture_batch_commons_open_contemporary_region_research_2026_records.csv,Wikimedia Commons file source / Beach camp poster 2009.jpg / page 7438947,7438947,Beach camp poster 2009.jpg,1970_2000,IMG03,598,1061,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0011,CCR2026R0011,capture_batch_commons_open_contemporary_region_research_2026_records.csv,Wikimedia Commons file source / NLCS 50th Anniversary Poster - Continental Divide National Scenic Trail (45684583621).jpg / page 159899288,159899288,NLCS 50th Anniversary Poster - Continental Divide National Scenic Trail (45684583621).jpg,1970_2000,IMG03,2514,3021,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0012,CCR2026R0012,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Marshall Colt ""Lottery"" (1983 ABC press photo).jpg / page 186334149",186334149,"Marshall Colt ""Lottery"" (1983 ABC press photo).jpg",1970_2000,IMG03,447,936,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0013,CCR2026R0013,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Pamela Bellwood ""Dynasty"" 1983 ABC publicity.jpeg / page 180846298",180846298,"Pamela Bellwood ""Dynasty"" 1983 ABC publicity.jpeg",1970_2000,IMG03,329,817,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0014,CCR2026R0014,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Ann Cooper ""Blue Thunder"" (1984 ABC press photo).jpg / page 149290564",149290564,"Ann Cooper ""Blue Thunder"" (1984 ABC press photo).jpg",1970_2000,IMG03,401,892,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0015,CCR2026R0015,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Catherine Oxenberg ""Dynasty"" (1984 ABC press photo).jpg / page 165570901",165570901,"Catherine Oxenberg ""Dynasty"" (1984 ABC press photo).jpg",1970_2000,IMG03,621,1115,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0016,CCR2026R0016,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Dack Rambo ""Paper Dolls"" (1984 ABC press photo) 01 (cropped).jpg / page 183801953",183801953,"Dack Rambo ""Paper Dolls"" (1984 ABC press photo) 01 (cropped).jpg",1970_2000,IMG03,509,1012,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0017,CCR2026R0017,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Dack Rambo ""Paper Dolls"" (1984 ABC press photo) 01.jpg / page 183640506",183640506,"Dack Rambo ""Paper Dolls"" (1984 ABC press photo) 01.jpg",1970_2000,IMG03,499,992,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0018,CCR2026R0018,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Dack Rambo ""Paper Dolls"" (1984 ABC press photo) 02.jpg / page 183640905",183640905,"Dack Rambo ""Paper Dolls"" (1984 ABC press photo) 02.jpg",1970_2000,IMG03,499,992,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0019,CCR2026R0019,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Dack Rambo ""Paper Dolls"" (1984 ABC press photo) 03.jpg / page 183640967",183640967,"Dack Rambo ""Paper Dolls"" (1984 ABC press photo) 03.jpg",1970_2000,IMG03,499,992,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0020,CCR2026R0020,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Terry Farrell ""Paper Dolls"" (1984 ABC press photo) 01.jpg / page 183704482",183704482,"Terry Farrell ""Paper Dolls"" (1984 ABC press photo) 01.jpg",1970_2000,IMG03,517,1013,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0021,CCR2026R0021,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Terry Farrell ""Paper Dolls"" (1984 ABC press photo) 02.jpg / page 183704483",183704483,"Terry Farrell ""Paper Dolls"" (1984 ABC press photo) 02.jpg",1970_2000,IMG03,517,1013,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0022,CCR2026R0022,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Terry Farrell ""Paper Dolls"" (1984 ABC press photo) 03.jpg / page 183704484",183704484,"Terry Farrell ""Paper Dolls"" (1984 ABC press photo) 03.jpg",1970_2000,IMG03,517,1013,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0023,CCR2026R0023,capture_batch_commons_open_contemporary_region_research_2026_records.csv,"Wikimedia Commons file source / Molly Ringwald and Zach Galligan ""Surviving"" (1985 ABC press photo).jpg / page 149289789",149289789,"Molly Ringwald and Zach Galligan ""Surviving"" (1985 ABC press photo).jpg",1970_2000,IMG03,483,993,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0024,CCR2026R0024,capture_batch_commons_open_contemporary_region_research_2026_records.csv,Wikimedia Commons file source / 1. AUFF.jpg / page 54334764,54334764,1. AUFF.jpg,1970_2000,IMG03,210,690,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0025,CCR2026R0025,capture_batch_commons_open_contemporary_region_research_2026_records.csv,Wikimedia Commons file source / 2. AUFF.jpg / page 54335136,54335136,2. AUFF.jpg,1970_2000,IMG03,210,690,100,0,,,,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
capture_batch_commons_open_contemporary_region_research_2026_records.csv:CCR2026R0026,CCR2026R0026,capture_batch_commons_open_contemporary_region_research_2026_records.csv,Wikimedia Commons file source / 3. AUFF.jpg / page 54355671,54355671,3. AUFF.jpg,1970_2000,IMG03,210,690,100,1,SRLG0050,related_but_not_same,canonical_main_with_child_text_appendix,main_sheet_candidate,strong record with image evidence and enough source-reading text,false
