source_prospect_id,source_name,source_url,region_group,subregion,country_or_territory,language_scripts,source_family,source_role,protocol_hints,rights_posture,expected_image_path,expected_text_path,credibility_tier,capture_priority,known_limitations,recommended_adapter,seed_query_or_discovery_route,last_checked,source_status,capture_record_count,img00_count,img01_count,img02_count,img03_count,img04_count,discovered_from,notes
SPV2-0011,NAIDOC / AIATSIS,https://www.naidoc.org.au/posters/poster-gallery,active payload / needs registry mapping,,,English or local language,independent_design_archive_or_publication,source_record_candidate,captured adapter; run_gap_noncanonical_image_text_capture_1930_2000.py; run_noncanonical_exact_source_capture_1970_2000.py,text_only_no_image_expected,no_image_expected_text_page,source_context_text,A_verified_or_captured,P0_active_or_already_captured,Gap capture for noncanonical source-linked image/text records; no local image copies.,captured adapter,source_candidate_registry_v1,,captured_source_summary,79,0,0,75,0,4,source_candidate_registry_v1; source_dependency_ledger; capture_batch_gap_noncanonical_image_text_1930_2000_source_summary.csv; capture_batch_late_period_coverage_1970_2026_source_summary.csv; capture_batch_noncanonical_exact_sources_1970_2000_source_summary.csv,This source appears in generated/public_surfaces_v1.json but was not matched to source_expansion_matrix.csv by name.
SPV2-0012,The Met Open Access,https://www.metmuseum.org/art/collection/search/396097,active payload / needs registry mapping,,,English or local language,independent_design_archive_or_publication,source_record_candidate,captured adapter; run_midcentury_capture_1930_1970.py,text_only_no_image_expected,no_image_expected_text_page,source_context_text,A_verified_or_captured,P0_active_or_already_captured,Midcentury 1930-1970 production candidate batch; not final source record until review.,captured adapter,source_candidate_registry_v1,,captured_source_summary,30,0,0,0,0,30,source_candidate_registry_v1; source_dependency_ledger; capture_batch_midcentury_1930_1970_source_summary.csv,This source appears in generated/public_surfaces_v1.json but was not matched to source_expansion_matrix.csv by name.
SPV2-0013,V&A Collections API,https://collections.vam.ac.uk/item/O693551/,active payload / needs registry mapping,,,English or local language,independent_design_archive_or_publication,source_record_candidate,captured adapter; run_early_region_capture_1830_1930.py; run_midcentury_capture_1930_1970.py,source_hosted_or_viewer_review_required,iiif_or_source_viewer,source_context_text,A_verified_or_captured,P0_active_or_already_captured,Capture-batch production candidate; not final source record until review.,captured adapter,source_candidate_registry_v1,,captured_source_summary,134,0,0,67,0,67,source_candidate_registry_v1; source_dependency_ledger; capture_batch_001_source_summary.csv; capture_batch_early_region_1830_1880_source_summary.csv; capture_batch_early_region_1830_1930_source_summary.csv; capture_batch_image_ready_1931_1970_source_summary.csv; capture_batch_midcentury_1930_1970_source_summary.csv,This source appears in generated/public_surfaces_v1.json but was not matched to source_expansion_matrix.csv by name.
SPV2-0014,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ontario_Immigration_Poster.jpg,active payload / needs registry mapping,,,English or local language,independent_design_archive_or_publication,source_record_candidate,captured adapter; run_wikimedia_commons_image_ready_1830_1970.py,open_candidate_review_required,open_download_or_open_api,source_context_text,A_verified_or_captured,P0_active_or_already_captured,Late-period 1970-2026 coverage-first capture; records are retained as grouping/coverage evidence before final enrichment.,captured adapter,source_candidate_registry_v1,,captured_source_summary,233,0,0,0,233,0,source_candidate_registry_v1; source_dependency_ledger; capture_batch_late_period_coverage_1970_2026_source_summary.csv; capture_batch_noncanonical_movement_commons_1930_2000_source_summary.csv; capture_batch_wikimedia_commons_image_ready_1830_1970_source_summary.csv,This source appears in generated/public_surfaces_v1.json but was not matched to source_expansion_matrix.csv by name.
SPV2-0015,Georgia State University Library Digital Collections / CONTENTdm,https://digitalcollections.library.gsu.edu/digital/collection/lane/id/11520,active payload / needs registry mapping,,,English or local language,university_repository_or_special_collection,source_record_candidate,captured adapter; run_gsu_contentdm_image_ready_1830_1970.py,source_hosted_or_viewer_review_required,iiif_or_source_viewer,metadata_plus_source_return,A_verified_or_captured,P0_active_or_already_captured,Offline raw harvest from GSU CONTENTdm; per-collection caps reduce serial duplicate flooding.,captured adapter,source_candidate_registry_v1,,captured_source_summary,170,0,0,170,0,0,source_candidate_registry_v1; source_dependency_ledger; capture_batch_gsu_contentdm_image_ready_1830_1970_source_summary.csv; capture_batch_gsu_contentdm_image_ready_1971_2026_source_summary.csv,This source appears in generated/public_surfaces_v1.json but was not matched to source_expansion_matrix.csv by name.
SPV2-0016,Princeton University Library Digital Collections / Figgy,https://figgy.princeton.edu/catalog/b14f6ff8-a17a-4af5-a144-1c4d90c4cc9d,active payload / needs registry mapping,,,English or local language,university_repository_or_special_collection,source_record_candidate,captured adapter; run_princeton_figgy_image_ready_1830_1970.py,source_hosted_or_viewer_review_required,iiif_or_source_viewer,metadata_plus_source_return,A_verified_or_captured,P0_active_or_already_captured,University Figgy/IIIF source-hosted image batch; rights remain item/manifest dependent.,captured adapter,source_candidate_registry_v1,,captured_source_summary,82,0,0,82,0,0,source_candidate_registry_v1; source_dependency_ledger; capture_batch_princeton_figgy_image_ready_1830_1970_source_summary.csv,This source appears in generated/public_surfaces_v1.json but was not matched to source_expansion_matrix.csv by name.
SPV2-0017,Auckland Libraries Heritage Collections / CONTENTdm,,captured source / needs mapping,,,English or local language,general_archive_or_collection,source_record_candidate,,open_candidate_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,captured,10,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0018,Korea Democracy Foundation Open Archives,,captured source / needs mapping,,,Korean; English possible,general_archive_or_collection,source_record_candidate,,high_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,Exact source-page capture for noncanonical movement/community archive coverage.,,capture_batch_noncanonical_exact_sources_1970_2000_source_summary.csv,,captured_source_summary,0,0,0,0,0,0,capture_batch_noncanonical_exact_sources_1970_2000_source_summary.csv,Exact source-page capture for noncanonical movement/community archive coverage.
SPV2-0019,SMU Libraries Digital Collections / CONTENTdm,,captured source / needs mapping,,,English or local language,general_archive_or_collection,source_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,captured,3,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0020,VCU Libraries Digital Collections / CONTENTdm,,captured source / needs mapping,,,English or local language,general_archive_or_collection,source_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,no_records_promoted,0,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0021,Wits Historical Papers,,captured source / needs mapping,,,English or local language,general_archive_or_collection,source_record_candidate,,high_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,Exact source-page capture for noncanonical movement/community archive coverage.,,capture_batch_noncanonical_exact_sources_1970_2000_source_summary.csv,,captured_source_summary,0,0,0,0,0,0,capture_batch_noncanonical_exact_sources_1970_2000_source_summary.csv,Exact source-page capture for noncanonical movement/community archive coverage.
SPV2-0022,Denver Public Library Digital Collections / CONTENTdm,,captured source / needs mapping,,,English or local language,library_or_national_library,source_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,no_records_promoted,0,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0023,Iowa Digital Library / CONTENTdm,,captured source / needs mapping,,,English or local language,library_or_national_library,source_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,no_records_promoted,0,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0024,Los Angeles Public Library Tessa / CONTENTdm,,captured source / needs mapping,,,English or local language,library_or_national_library,source_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,captured,5,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0025,NDL Search / National Diet Library,,captured source / needs mapping,,,English or local language,library_or_national_library,source_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,captured,6,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0026,UCSB Library Digital Collections / CONTENTdm,,captured source / needs mapping,,,English or local language,library_or_national_library,source_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,no_records_promoted,0,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0027,Marquette University Digital Collections / CONTENTdm,,captured source / needs mapping,,,English or local language,university_repository_or_special_collection,source_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,no_records_promoted,0,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0028,Temple University Libraries Digital Collections / CONTENTdm,,captured source / needs mapping,,,English or local language,university_repository_or_special_collection,source_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,captured,1,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0029,University of Houston Digital Library / CONTENTdm,,captured source / needs mapping,,,English or local language,university_repository_or_special_collection,source_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,no_records_promoted,0,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0030,University of Kentucky ExploreUK / CONTENTdm,,captured source / needs mapping,,,English or local language,university_repository_or_special_collection,source_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,no_records_promoted,0,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0031,University of Miami Libraries Digital Collections / CONTENTdm,,captured source / needs mapping,,,English or local language,university_repository_or_special_collection,source_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,captured,5,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0032,University of Washington Digital Collections / CONTENTdm,,captured source / needs mapping,,,English or local language,university_repository_or_special_collection,source_record_candidate,,open_candidate_review_required,source_hosted_viewer_or_thumbnail,captured_record_metadata_or_source_context,A_verified_or_captured,P0_active_or_already_captured,source-breadth capture,,capture_batch_source_breadth_1970_2026_source_summary.csv,,captured,6,,,,,,capture_batch_source_breadth_1970_2026_source_summary.csv,source-breadth capture
SPV2-0033,Kenya National Archives,https://archives.go.ke/,Africa,,Kenya,English or local language,government_or_public_cultural_database,source_of_record_candidate,HTML; JSON-LD,link_only_until_rights_verified,source_return_or_img00,metadata_plus_source_return,A_custodial_or_public_institution,P1_next_adapter_or_probe,,html,source_candidate_registry_v1,2026-06-01,new_edge_candidate,,,,,,,source_candidate_registry_v1; source_candidate_probe_v1,East African government visual culture gap.
SPV2-0034,Chimurenga Library,https://chimurengalibrary.co.za/,Africa,,Pan-African,English or local language,library_or_national_library,source_of_record_candidate,HTML,high_review_required,source_return_or_img00,source_context_text,A_custodial_or_public_institution,P1_next_adapter_or_probe,URLError: <urlopen error timed out>,html,source_candidate_registry_v1,2026-06-01,new_edge_candidate,,,,,,,source_candidate_registry_v1; source_candidate_probe_v1,Vital noncanonical editorial/design source.
SPV2-0035,Mayibuye Archives,https://www.uwc.ac.za/,Africa,,South Africa,English or local language,university_repository_or_special_collection,source_of_record_candidate,HTML; JSON-LD,high_review_required,source_return_or_img00,source_context_text,A_custodial_or_public_institution,P1_next_adapter_or_probe,,html,source_candidate_registry_v1,2026-06-01,new_edge_candidate,,,,,,,source_candidate_registry_v1; source_candidate_probe_v1,Core source for political visual culture.
SPV2-0036,National Repository of Nigeria,https://nigeriareposit.nln.gov.ng/,Africa,,,English or local language,university_repository_or_special_collection,source_of_record_candidate,API; PDF; IIIF; OAI-PMH; DSpace; RSS; Atom; dspace_oai_or_rest_adapter,text_only_no_image_expected,no_image_expected_text_page,source_context_text,A_custodial_or_public_institution,P1_next_adapter_or_probe,,api_or_pdf,source_candidate_registry_v1,2026-06-01,captured,2,,,,,,source_candidate_registry_v1; source_candidate_probe_v1; capture_batch_protocol_item_1970_2026_source_summary.csv,"Nigeria Magazine, public communication, ministry print, post-independence visual culture"
SPV2-0037,University of Cape Town Digital Collections,https://digitalcollections.lib.uct.ac.za/,Africa,,South Africa,English or local language,university_repository_or_special_collection,source_of_record_candidate,HTML; Omeka; omeka_api_adapter,source_hosted_or_viewer_review_required,iiif_or_source_viewer,source_context_text,A_custodial_or_public_institution,P1_next_adapter_or_probe,,html,source_candidate_registry_v1,2026-06-01,captured,2,,,,,,source_candidate_registry_v1; source_candidate_probe_v1; capture_batch_protocol_item_1970_2026_source_summary.csv,High value for southern African political print.
SPV2-0038,University of Ghana Digital Collections,https://ugspace.ug.edu.gh/,Africa,,Ghana,English or local language,university_repository_or_special_collection,source_of_record_candidate,DSpace; OAI?; IIIF; RSS; Atom; dspace_oai_or_rest_adapter,text_only_no_image_expected,no_image_expected_text_page,source_context_text,A_custodial_or_public_institution,P1_next_adapter_or_probe,,dspace/oai?,source_candidate_registry_v1,2026-06-01,captured,4,,,,,,source_candidate_registry_v1; source_candidate_probe_v1; capture_batch_protocol_item_1970_2026_source_summary.csv,West African design/communication scholarship source.
SPV2-0039,University of Lagos Institutional Repository,http://ir.unilag.edu.ng/,Africa,,Nigeria,English or local language,university_repository_or_special_collection,source_of_record_candidate,DSpace; OAI?; IIIF; RSS; Atom; dspace_oai_or_rest_adapter,text_only_no_image_expected,no_image_expected_text_page,source_context_text,A_custodial_or_public_institution,P1_next_adapter_or_probe,poster failed:HTTPError | pamphlet failed:HTTPError | anti-apartheid failed:HTTPError | public campaign failed:HTTPError,dspace/oai?,source_candidate_registry_v1,2026-06-01,new_edge_candidate,0,,,,,,source_candidate_registry_v1; source_candidate_probe_v1; capture_batch_protocol_item_1970_2026_source_summary.csv,Lagos-centered academic source.
SPV2-0040,UWC Robben Island Mayibuye Archives,https://mayibuyearchives.org/,Africa,,South Africa,English or local language,university_repository_or_special_collection,source_of_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,metadata_plus_source_return,A_custodial_or_public_institution,P1_next_adapter_or_probe,,manual_or_html_adapter,South African resistance graphic/context records,2026-06-01,probe_ok,,,,,,,source_probe_edge_v2,Alternate endpoint for Mayibuye.
SPV2-0041,M+ Collections Open Data/API,https://www.mplus.org.hk/en/about-the-collection/,East Asia,,Hong Kong,English or local language,aggregator_or_discovery_router,aggregator_router,API; HTML,high_review_required,source_return_or_img00,structured_metadata,B_discovery_router,P1_next_adapter_or_probe,HTTP 404: Not Found,api_or_html,source_candidate_registry_v1,2026-06-01,candidate_from_matrix,,,,,,,source_candidate_registry_v1; source_probe_edge_v2; source_probe_independent_asia_v1,One of the best non-Western design-history metadata sources
SPV2-0042,Hong Kong Heritage Project,https://www.hongkongheritage.org/,East Asia,,Hong Kong,Chinese; English possible,community_activist_diaspora_archive,context_source,,high_review_required,source_hosted_viewer_or_thumbnail,metadata_plus_source_return,B_contextual_or_community_custody,P1_next_adapter_or_probe,,manual_or_html_adapter,Hong Kong social and corporate visual culture context,2026-06-01,probe_ok,,,,,,,source_probe_edge_v2,Context source; image use requires review.
SPV2-0043,DDP Seoul,https://ddp.or.kr/?menuno=228,East Asia,,Korea,Korean; English possible,general_archive_or_collection,source_of_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,metadata_plus_source_return,C_needs_verification,P1_next_adapter_or_probe,,manual_or_html_adapter,Korean contemporary design exhibition context,2026-06-01,probe_ok,,,,,,,source_probe_edge_v2,Institutional source; image review required.
SPV2-0044,JAGDA,https://www.jagda.or.jp/,East Asia,,Japan,Japanese; English possible,general_archive_or_collection,context_source,WordPress REST/RSS,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,metadata_plus_source_return,C_needs_verification,P1_next_adapter_or_probe,,wordpress rest/rss,professional design organization,2026-06-01,probe_ok,,,,,,,source_probe_independent_asia_v1,Useful for authority/event context rather than object images.
SPV2-0045,National Taiwan Museum of Fine Arts,https://www.ntmofa.gov.tw/,East Asia,,Taiwan,Chinese; English possible,general_archive_or_collection,source_of_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,metadata_plus_source_return,C_needs_verification,P1_next_adapter_or_probe,,manual_or_html_adapter,Taiwan modern art/design exhibition and poster context,2026-06-01,probe_ok,,,,,,,source_probe_edge_v2,Museum source; item rights vary.
SPV2-0046,Tokyo TDC,https://tokyotypedirectorsclub.org/,East Asia,,Japan,Japanese; English possible,general_archive_or_collection,source_of_record_candidate,WordPress REST; RSS; JSON-LD,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,structured_metadata,C_needs_verification,P1_next_adapter_or_probe,,wordpress rest/rss;json-ld,typography and type-direction source context,2026-06-01,probe_ok,0,,,,,,source_probe_edge_v2; capture_batch_edge_wordpress_1970_2026_source_summary.csv,Professional/award source; image rights restricted.
SPV2-0047,DesignDB / KIDP,https://www.designdb.com/?menuno=668,East Asia,,Korea,Korean; English possible,government_or_public_cultural_database,source_of_record_candidate,,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,metadata_plus_source_return,A_custodial_or_public_institution,P1_next_adapter_or_probe,,manual_or_html_adapter,professional design portal,2026-06-01,probe_ok,,,,,,,source_probe_independent_asia_v1,Likely HTML; use as citation layer first.
SPV2-0048,Korean Film Archive,https://www.koreafilm.or.kr/,East Asia,,Korea,Korean; English possible,government_or_public_cultural_database,source_of_record_candidate,HTML,source_hosted_or_viewer_review_required,iiif_or_source_viewer,metadata_plus_source_return,A_custodial_or_public_institution,P1_next_adapter_or_probe,,html,source_candidate_registry_v1,2026-06-01,new_edge_candidate,,,,,,,source_candidate_registry_v1; source_candidate_probe_v1; source_probe_independent_asia_v1,Strong poster graphics source outside design museums.
SPV2-0049,National Archives of Japan Digital Archive,https://www.digital.archives.go.jp/,East Asia,,Japan,Japanese; English possible,government_or_public_cultural_database,context_source,HTML; PDF,link_only_until_rights_verified,source_return_or_img00,metadata_plus_source_return,A_custodial_or_public_institution,P1_next_adapter_or_probe,,html,source_candidate_registry_v1,2026-06-01,new_edge_candidate,,,,,,,source_candidate_registry_v1; source_candidate_probe_v1,Public information design context.
SPV2-0050,NDL Search,https://iss.ndl.go.jp/,East Asia,,,English or local language,government_or_public_cultural_database,source_of_record_candidate,OAI; API; HTML; JSON-LD,high_review_required,source_return_or_img00,structured_metadata,A_custodial_or_public_institution,P1_next_adapter_or_probe,,oai_or_api_or_html,source_candidate_registry_v1,2026-06-01,candidate_from_matrix,,,,,,,source_candidate_registry_v1; source_candidate_probe_v1,Excellent metadata-first backbone
SPV2-0051,Taiwan Design Research Institute,https://www.tdri.org.tw/zh-TW,East Asia,,Taiwan,Chinese; English possible,government_or_public_cultural_database,context_source,JSON-LD,source_hosted_or_viewer_review_required,source_hosted_viewer_or_thumbnail,structured_metadata,A_custodial_or_public_institution,P1_next_adapter_or_probe,,json-ld,Taiwan design institution and exhibition context,2026-06-01,probe_ok,,,,,,,source_probe_edge_v2,Institutional context; not open-image by default.
SPV2-0052,National Central Library Taiwan,https://www.ncl.edu.tw/,East Asia,,Taiwan,Chinese; English possible,library_or_national_library,source_of_record_candidate,HTML; PDF,source_hosted_or_viewer_review_required,iiif_or_source_viewer,source_context_text,A_custodial_or_public_institution,P1_next_adapter_or_probe,,html,source_candidate_registry_v1,2026-06-01,new_edge_candidate,,,,,,,source_candidate_registry_v1; source_candidate_probe_v1,Core Taiwan print source.
