validation_sample_id,surface_id,capture_id,sample_target_marker,title,period,region,theme,source_family,image_state,initial_recommended_role,second_pass_role,second_pass_decision,second_pass_confidence,second_pass_fail_pattern,second_pass_reason,parent_candidate,second_pass_parent_status,relation_type,text_need_level,second_pass_text_status,blocker_class,payload_surface_disposition,payload_publication_role,payload_object_type,payload_medium,payload_place_text,payload_source_reading_text_length,payload_reading_text_length,payload_source_url,source_context_excerpt
MSTV0003,SURF-PUL1970R003,PUL1970R003,anchor_if_editorial_text_added,Ringling Bros and Barnum & Bailey. Key to Circus Interior poster.,1900_1913,United States,Midcentury modern graphic communication,Princeton Figgy,IMG02,main_needs_text,main_needs_text,accept_initial,medium,none,"Payload supports anchor potential, but text is required to avoid metadata-only main status.",SURF-PUL1970R003,not_required,packet_anchor_requires_text,low,required_before_main_publication,none,main_sheet,main_sheet,Scanned Resource,; 1 item ; sheet 21 3/4 x 28 in..; Visual material,United States / Princeton,201,2028,https://figgy.princeton.edu/catalog/ef0235b2-0cdd-4137-9d98-d5f48b429913,Ringling Bros and Barnum & Bailey. Key to Circus Interior poster. Princeton University Library Digital Collections / Figgy Unidentified Artist [illustrator] Ringling Bros and Barnum & Bailey. Key to Circus Interior poster. is filed here as a Scanned Resource; 1 item; sheet 21 3/4 x 28 in; Visual material from Princeton University Library Digital Collections / Figgy. The item metadata gives date evidence: 1900-1999; place evidence: United States / Princeton; form/medium: Scanned Resource; 1 item; sheet 21 3/4 x 28 in; Visual material. The source-side description adds this evidence: Unidentified Artist [illustrator]; ark:/88435/dc1257b6397; https://iiif-cloud.princeton.edu/iiif/2/f7%2Fe2%2F59%
MSTV0007,SURF-GSU1970R002,GSU1970R002,anchor_if_editorial_text_added,"Georgia Education Journal, 1932-02",1914_1945,Georgia,Midcentury modern graphic communication,Georgia State CONTENTdm,IMG02,main_needs_text,main_needs_text,accept_initial,medium,none,"Payload supports anchor potential, but text is required to avoid metadata-only main status.",SURF-GSU1970R002,not_required,packet_anchor_requires_text,low,required_before_main_publication,none,main_sheet,main_sheet,Text,application/pdf; application/pdf; Text,Georgia,214,2154,https://digitalcollections.library.gsu.edu/digital/collection/gae/id/18473,"Georgia Education Journal, 1932-02 Georgia State University Library Digital Collections / CONTENTdm Georgia Education Journal, volume 24, number 6 (February 1932). The archive keeps Georgia Education Journal, 1932-02 as a traceable Text; application/pdf; Text connected back to Georgia State University Library Digital Collections / CONTENTdm. The item metadata gives date evidence: 1932-02; creator/attribution: Georgia Association of Educators; place evidence: Georgia; form/medium: Text; application/pdf; Text. The source-side description adds this evidence: Georgia Education Journal, volume 24, number 6 (February 1932). L2015-34_GAEJournal_1932-02; Southern Labor Archives; Georgia State Univer"
MSTV0008,SURF-GSU1970R009,GSU1970R009,anchor_if_editorial_text_added,"Aero Mechanic, 1942-10-15",1914_1945,United States,Midcentury modern graphic communication,Georgia State CONTENTdm,IMG02,main_needs_text,main_needs_text,accept_initial,medium,none,"Payload supports anchor potential, but text is required to avoid metadata-only main status.",SURF-GSU1970R009,not_required,packet_anchor_requires_text,low,required_before_main_publication,none,main_sheet,main_sheet,Text,application/pdf; application/pdf; Text,Washington (State),189,2774,https://digitalcollections.library.gsu.edu/digital/collection/IAM/id/103194,"Aero Mechanic, 1942-10-15 Georgia State University Library Digital Collections / CONTENTdm The source does not provide extended descriptive prose. The item metadata gives date evidence: 1942-10-15; creator/attribution: International Association of Machinists and Aerospace Workers. Aerospace Industrial District Lodge 751; place evidence: Washington (State); form/medium: Text; application/pdf; Text. For this reason the archive treats the page primarily as source-linked evidence rather than as a finished narrative entry. Aero Mechanic, 1942-10-15 is presented as a source-linked Text; application/pdf; Text; the holding evidence remains with Georgia State University Library Digital Collections /"
MSTV0009,SURF-MX1970R043,MX1970R043,anchor_if_editorial_text_added,Commercial art,1914_1945,United States,Modern typography and layout,Internet Archive,IMG02,main_needs_text,main_needs_text,accept_initial,medium,none,"Payload supports anchor potential, but text is required to avoid metadata-only main status.",SURF-MX1970R043,not_required,packet_anchor_requires_text,low,required_before_main_publication,none,main_sheet,main_sheet,book / periodical / text scan,digitized text / periodical,United States,125,1832,https://archive.org/details/commercialart0000wall,"Commercial art Internet Archive / text and periodical collections 2 preliminary leaves, vii-ix, 236 pages 25 cm Commercial art is presented as a source-linked book / periodical / text scan; digitized text / periodical; the holding evidence remains with Internet Archive / text and periodical collections. The item metadata gives date evidence: 1939-01-01T00:00:00Z; creator/attribution: Wallace, Clarence Earl, 1890-; form/medium: book / periodical / text scan; digitized text / periodical. The source-side description adds this evidence: 2 preliminary leaves, vii-ix, 236 pages 25 cm Internet Archive metadata record. Lettering; Commercial art; Drawing; Art and industry; Werbegraphik. The project k"
MSTV0010,SURF-PUL1970R040,PUL1970R040,anchor_if_editorial_text_added,Ringling Bros and Barnum & Bailey. Key to Menagerie poster.,1914_1945,United States,Midcentury modern graphic communication,Princeton Figgy,IMG02,main_needs_text,main_needs_text,accept_initial,medium,none,"Payload supports anchor potential, but text is required to avoid metadata-only main status.",SURF-PUL1970R040,not_required,packet_anchor_requires_text,low,required_before_main_publication,none,main_sheet,main_sheet,Scanned Resource,; 1 item ; sheet 21 x 28 in..; Visual material,United States / Princeton,201,2009,https://figgy.princeton.edu/catalog/71a59a4a-751c-4ebb-9bd6-8dffd1f365be,Ringling Bros and Barnum & Bailey. Key to Menagerie poster. Princeton University Library Digital Collections / Figgy Unidentified Artist [illustrator] This leaf records Ringling Bros and Barnum & Bailey. Key to Menagerie poster. as a Scanned Resource; 1 item; sheet 21 x 28 in; Visual material sourced from Princeton University Library Digital Collections / Figgy. The item metadata gives date evidence: 1945; place evidence: United States / Princeton; form/medium: Scanned Resource; 1 item; sheet 21 x 28 in; Visual material. The source-side description adds this evidence: Unidentified Artist [illustrator]; ark:/88435/dc1c18dv87q; https://iiif-cloud.princeton.edu/iiif/2/a6%2F00%2F82%2Fa600827c176
MSTV0039,SURF-GAX1970R051,GAX1970R051,packet_anchor_or_member_review,A tous mes confrères de la littérature et de la typographie / [signé Joseph Boulmier],1850_1899,France,Midcentury modern graphic communication,Gallica / BnF APIs,IMG03,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",France|Midcentury modern graphic communication|Gallica / BnF APIs|1870s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,low,inherited_from_parent_unless_local_caution,none,main_sheet,main_sheet,Gallica visual/document record,3 p. ; in-8; Nombre total de vues : 12,France,210,1782,https://gallica.bnf.fr/ark:/12148/bpt6k6459263j,"A tous mes confrères de la littérature et de la typographie / [signé Joseph Boulmier] Gallica / BnF APIs Avec mode texte; 3 p.; in-8; Nombre total de vues : 12 A tous mes confrères de la littérature et de la typographie / [signé Joseph Boulmier] is presented as a source-linked Gallica visual/document record; the holding evidence remains with Gallica / BnF APIs. The item metadata gives date evidence: 1874; creator/attribution: Boulmier, Joseph (1821-18..). Auteur du texte; place evidence: France; form/medium: Gallica visual/document record. The source-side description adds this evidence: Avec mode texte; 3 p.; in-8; Nombre total de vues : 12 Notice du catalogue : http://catalogue.bnf.fr/ark:/"
MSTV0040,SURF-GA1970R012,GA1970R012,packet_anchor_or_member_review,"Patrons de broderie et de lingerie du XVIe siècle, reproduits par le procédé Lefman et Lourdel et publiés d'après les éditions conservées à la Bibliothèque Mazarine : recueil de documents graphiques pour servir à l'histoire des arts industr",1850_1899,France,Midcentury modern graphic communication,Gallica / BnF APIs,IMG03,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",France|Midcentury modern graphic communication|Gallica / BnF APIs|1870s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,low,inherited_from_parent_unless_local_caution,none,main_sheet,main_sheet,Gallica visual/document record,19 p. : pl. ; in-8; Nombre total de vues : 184,France,227,2189,https://gallica.bnf.fr/ark:/12148/bpt6k97674333,"Patrons de broderie et de lingerie du XVIe siècle, reproduits par le procédé Lefman et Lourdel et publiés d'après les éditions conservées à la Bibliothèque Mazarine : recueil de documents graphiques pour servir à l'histoire des arts industriels / par Hippolyte Cocheris,... Gallica / BnF APIs Avec mode texte; 19 p. : pl.; in-8; Nombre total de vues : 184 This leaf records Patrons de broderie et de lingerie du XVIe siècle, reproduits par le procédé Lefman et Lourdel et publiés d'après les éditions conservées à la Bibliothèque Mazarine : recueil de documents graphiques pour servir à l'histoire des arts industriels / par… as a Gallica visual/document record sourced from Gallica / BnF APIs. The i"
MSTV0045,SURF-MC1930R025,MC1930R025,packet_anchor_or_member_review,[WPA poster design showing the head and hands of a woman holding flowers and wheat above a blank banner],1914_1945,United States,New Deal and civic poster programs,Library of Congress,IMG01,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",United States|New Deal and civic poster programs|Library of Congress loc.gov API|1930s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,low,inherited_from_parent_unless_local_caution,none,main_sheet,main_sheet,1 print on board (poster) :,"1 print on board (poster) : silkscreen, color.",United States,157,2538,https://www.loc.gov/pictures/item/98515019/,"[WPA poster design showing the head and hands of a woman holding flowers and wheat above a blank banner] Library of Congress loc.gov API The source does not provide extended descriptive prose. The item metadata gives date evidence: between 1936 and 1941]; place evidence: United States; form/medium: 1 print on board (poster); 1 print on board (poster) : silkscreen, color. For this reason the archive treats the page primarily as source-linked evidence rather than as a finished narrative entry. The archive keeps [WPA poster design showing the head and hands of a woman holding flowers and wheat above a blank banner] as a traceable 1 print on board (poster); 1 print on board (poster) : silkscreen"
MSTV0046,SURF-GAPIT2026R005,GAPIT2026R005,packet_anchor_or_member_review,"Poster, 'Giant of the Air'",1914_1945,Aotearoa New Zealand,Postwar exhibition and cultural posters,Te Papa,IMG02,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa Collections Online|1940s,cluster_key_parent_needs_named_anchor,member_of_packet,low,inherited_from_parent_unless_local_caution,none,main_sheet,main_sheet,poster-object / public graphic object,poster / printed public communication,Aotearoa / New Zealand,227,2155,https://collections.tepapa.govt.nz/object/927284,"Poster, 'Giant of the Air' Te Papa Collections Online Find out more about Poster, 'Giant of the Air' at Collections Online - Museum of New Zealand Te Papa Tongarewa This leaf records Poster, 'Giant of the Air' as a poster-object / public graphic object; poster / printed public communication sourced from Te Papa Collections Online. The item metadata gives date evidence: 1940; place evidence: Aotearoa / New Zealand; form/medium: poster-object / public graphic object; poster / printed public communication. The source-side description adds this evidence: Find out more about Poster, 'Giant of the Air' at Collections Online - Museum of New Zealand Te Papa Tongarewa Aotearoa poster culture; protest"
MSTV0048,SURF-GA1970R118,GA1970R118,packet_anchor_or_member_review,"Bal de l'X, le 1er décembre [1966] à l'Opéra... : [affiche] / [non signé]",1946_1969,France,Midcentury modern graphic communication,Gallica / BnF APIs,IMG03,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",France|Midcentury modern graphic communication|Gallica / BnF APIs|1960s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,low,inherited_from_parent_unless_local_caution,none,main_sheet,main_sheet,Gallica visual/document record,"1 estampe : lithographie ; 0,600 x 0,390 m; image/jpeg; Nombre total de vues : 1",France,248,1741,https://gallica.bnf.fr/ark:/12148/btv1b53179045n,"Bal de l'X, le 1er décembre [1966] à l'Opéra... : [affiche] / [non signé] Gallica / BnF APIs Affiche; 1 estampe : lithographie; 0,600 x 0,390 m; image/jpeg; Nombre total de vues : 1 Bal de l'X, le 1er décembre [1966] à l'Opéra... : [affiche] / [non signé] is filed here as a Gallica visual/document record from Gallica / BnF APIs. The item metadata gives date evidence: 1966; place evidence: France; form/medium: Gallica visual/document record. The source-side description adds this evidence: Affiche; 1 estampe : lithographie; 0,600 x 0,390 m; image/jpeg; Nombre total de vues : 1 Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb42293055z. The project keeps this as an index-and-return su"
MSTV0049,SURF-GA1970R113,GA1970R113,packet_anchor_or_member_review,"68e Bal de l'X, 9 mai 1957à lOpéra... : [affiche] / [non signé]",1946_1969,France,Midcentury modern graphic communication,Gallica / BnF APIs,IMG03,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",France|Midcentury modern graphic communication|Gallica / BnF APIs|1950s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,low,inherited_from_parent_unless_local_caution,none,main_sheet,main_sheet,Gallica visual/document record,"1 estampe : lithographie ; 0,400 x 0,300 m; image/jpeg; Nombre total de vues : 1",France,248,1733,https://gallica.bnf.fr/ark:/12148/btv1b53179049f,"68e Bal de l'X, 9 mai 1957à lOpéra... : [affiche] / [non signé] Gallica / BnF APIs Affiche; 1 estampe : lithographie; 0,400 x 0,300 m; image/jpeg; Nombre total de vues : 1 This leaf records 68e Bal de l'X, 9 mai 1957à lOpéra... : [affiche] / [non signé] as a Gallica visual/document record sourced from Gallica / BnF APIs. The item metadata gives date evidence: 1957; place evidence: France; form/medium: Gallica visual/document record. The source-side description adds this evidence: Affiche; 1 estampe : lithographie; 0,400 x 0,300 m; image/jpeg; Nombre total de vues : 1 Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb42293061w. The project keeps this as an index-and-return surface: t"
