surface_id,source_record_id,source_record_url,title,best_image_state,weighted_gap_points,local_record_found,local_capture_id,local_record_file,local_image_state,local_rights_review_required,local_license_signal,rights_signal,future_action,upgrade_recommendation,automatic_upgrade_allowed,iiif_or_viewer_available,image_url_detected_excerpt,rights_text_excerpt,rights_basis_excerpt,review_note_excerpt,citation_basis_excerpt
SURF-IR1970R008,puxu57hw,https://wellcomecollection.org/works/puxu57hw,"A nurse with children as part of a campaign against tuberculosis. Colour lithograph after H. Cheffer, 1935.",IMG02,0.45,true,IR1970R008,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b14739604,"https://iiif.wellcomecollection.org/thumbs/B14739604.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A nurse with children as part of a campaign against tuberculosis. Colour lithograph after H. Cheffer, 1935.. https://wellcomecollection.org/works/puxu57hw. Accessed 2026-05-31."
SURF-IR1970R036,vtzkv788,https://wellcomecollection.org/works/vtzkv788,"A portico and the cross of Godfrey of Bouillon; representing academia and tuberculosis, as the elements of the sanatorium for students in the Netherlands. Lithograph by N. Raemaekers, ca. 1951 (?).",IMG02,0.45,true,IR1970R036,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b19958183,"https://iiif.wellcomecollection.org/thumbs/B19958183.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A portico and the cross of Godfrey of Bouillon; representing academia and tuberculosis, as the elements of the sanatorium for students in the Netherlands. Lithograph by N. Raemaekers,..."
SURF-IR1970R030,u2ctepre,https://wellcomecollection.org/works/u2ctepre,"A radiograph of the chest; representing the need for early detection of pulmonary tuberculosis. Colour lithograph by G.C. Schulz, ca. 1947.",IMG02,0.45,true,IR1970R030,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16602122,"https://iiif.wellcomecollection.org/thumbs/B16602122.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A radiograph of the chest; representing the need for early detection of pulmonary tuberculosis. Colour lithograph by G.C. Schulz, ca. 1947....."
SURF-IR1970R034,k59g4u7b,https://wellcomecollection.org/works/k59g4u7b,"A radiologist conducting a chest x-ray of a young man in order to detect early signs of tuberculosis. Colour lithograph after A. Wilquin, 1949.",IMG02,0.45,true,IR1970R034,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b14739525,"https://iiif.wellcomecollection.org/thumbs/B14739525.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A radiologist conducting a chest x-ray of a young man in order to detect early signs of tuberculosis. Colour lithograph after A. Wilquin, 1949....."
SURF-IR1970R020,kz4wp3jd,https://wellcomecollection.org/works/kz4wp3jd,"A red arrow on a graph pointing upwards through a human body, representing the increase in cancer in the USA. Colour lithograph after D. Fellnagel, 1941.",IMG02,0.45,true,IR1970R020,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16890826,"https://iiif.wellcomecollection.org/thumbs/B16890826.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A red arrow on a graph pointing upwards through a human body, representing the increase in cancer in the USA. Colour lithograph after D. Fellnagel, 1941....."
SURF-IR1970R023,hbajemhq,https://wellcomecollection.org/works/hbajemhq,"A red medicine bottle in blue wrapping, attractive but unable to cure gonorrhoea. Colour lithograph after D. Fellnagel, 1943 (?).",IMG02,0.45,true,IR1970R023,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16890814,"https://iiif.wellcomecollection.org/thumbs/B16890814.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A red medicine bottle in blue wrapping, attractive but unable to cure gonorrhoea. Colour lithograph after D. Fellnagel, 1943 (?).. https://wellcomecollection.org/works/hbajemhq...."
SURF-IR1970R015,dbqh2537,https://wellcomecollection.org/works/dbqh2537,"A rope slung carelessly round the hook of a hoist, not knotted, with a risk of slipping. Colour lithograph after L. Cusden ca. 1940-1950.",IMG02,0.45,true,IR1970R015,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b1190401x,"https://iiif.wellcomecollection.org/image/B1190401X.JP2/full/5379,7909/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A rope slung carelessly round the hook of a hoist, not knotted, with a risk of slipping. Colour lithograph after L. Cusden ca. 1940-1950....."
SURF-IR1970R037,gek98485,https://wellcomecollection.org/works/gek98485,"A skull seen against a street surface of granite sets; representing the danger of death in traffic accidents. Colour lithograph by Walter Müller, 195-.",IMG02,0.45,true,IR1970R037,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b15757869,"https://iiif.wellcomecollection.org/thumbs/B15757869.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A skull seen against a street surface of granite sets; representing the danger of death in traffic accidents. Colour lithograph by Walter Müller, 195-....."
SURF-IR1970R048,vj5uspfu,https://wellcomecollection.org/works/vj5uspfu,"A stamp showing Einar Holbøll; representing the need for contributions to help the tuberculous. Colour lithograph after R. Serres, 1954.",IMG02,0.45,true,IR1970R048,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16595439,"https://iiif.wellcomecollection.org/thumbs/B16595439.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A stamp showing Einar Holbøll; representing the need for contributions to help the tuberculous. Colour lithograph after R. Serres, 1954....."
SURF-MX1970R020,ehvg5zq4,https://wellcomecollection.org/works/ehvg5zq4,"A tree made of people, on which a burr (burl) grows like a cancer. Colour lithograph after D. Fellnagel, 1941.",IMG02,0.45,true,MX1970R020,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16601695,"https://iiif.wellcomecollection.org/thumbs/B16601695.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A tree made of people, on which a burr (burl) grows like a cancer. Colour lithograph after D. Fellnagel, 1941.. https://wellcomecollection.org/works/ehvg5zq4. Accessed 2026-05-30."
SURF-IR1970R016,hdh9a7xw,https://wellcomecollection.org/works/hdh9a7xw,"A tuberculosis stamp showing children singing Christmas carols; advertising the sale of tuberculosis stamps. Colour lithograph (?), 1940.",IMG02,0.45,true,IR1970R016,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16794072,"https://iiif.wellcomecollection.org/thumbs/B16794072.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A tuberculosis stamp showing children singing Christmas carols; advertising the sale of tuberculosis stamps. Colour lithograph (?), 1940....."
SURF-IR1970R029,tcygv989,https://wellcomecollection.org/works/tcygv989,"A young man and young woman who appear to be healthy, but may have latent tuberculosis; representing the need of a checkup for detection of tuberculosis. Colour lithograph by S. Hansen, ca. 1946.",IMG02,0.45,true,IR1970R029,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16602158,"https://iiif.wellcomecollection.org/thumbs/B16602158.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A young man and young woman who appear to be healthy, but may have latent tuberculosis; representing the need of a checkup for detection of tuberculosis. Colour lithograph by S...."
SURF-MX1970R007,rzw9829p,https://wellcomecollection.org/works/rzw9829p,"An American farm boy drinking unsafe water from an old water pump. Colour lithograph after Robbins, 1943.",IMG02,0.45,true,MX1970R007,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16890838,"https://iiif.wellcomecollection.org/thumbs/B16890838.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. An American farm boy drinking unsafe water from an old water pump. Colour lithograph after Robbins, 1943.. https://wellcomecollection.org/works/rzw9829p. Accessed 2026-05-30."
SURF-MX1970R019,u87n4yfh,https://wellcomecollection.org/works/u87n4yfh,"An American soldier tied up with a rope forming the letters ""VD"" and therefore unable to return from army duty in Europe to his home in America. Colour lithograph by F.O. Schiffers, 1946.",IMG02,0.45,true,MX1970R019,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b15359505,"https://iiif.wellcomecollection.org/thumbs/B15359505.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. An American soldier tied up with a rope forming the letters ""VD"" and therefore unable to return from army duty in Europe to his home in America. Colour lithograph by F.O. Schiffers,..."
SURF-IR1970R017,zftnwty6,https://wellcomecollection.org/works/zftnwty6,"An electric fire protected by a guard, in front of which a little girl reads a picture book and a woman does some knitting. Colour process print after Jake and Joyce Jacobs.",IMG02,0.45,true,IR1970R017,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b11963633,"https://iiif.wellcomecollection.org/thumbs/B11963633.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. An electric fire protected by a guard, in front of which a little girl reads a picture book and a woman does some knitting. Colour process print after Jake and Joyce Jacobs....."
SURF-IR1970R018,ggdrmk5z,https://wellcomecollection.org/works/ggdrmk5z,"An old man and a boy taking a shower next to the swimming bath at Stolberg, North Rhine-Westphalia; advertising health benefits of baths and treatments available there for young and old. Colour lithograph after H. Lahaye, 194-.",IMG02,0.45,true,IR1970R018,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b11684896,"https://iiif.wellcomecollection.org/thumbs/B11684896.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. An old man and a boy taking a shower next to the swimming bath at Stolberg, North Rhine-Westphalia; advertising health benefits of baths and treatments available there for young and..."
SURF-IR1970R024,j6qemp2b,https://wellcomecollection.org/works/j6qemp2b,"Applications for the posts in Public Health Department, London County Council",IMG02,0.45,true,IR1970R024,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b17727704,"https://iiif.wellcomecollection.org/thumbs/b17727704_PP_AEM_A_132_0001.jp2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. Applications for the posts in Public Health Department, London County Council. https://wellcomecollection.org/works/j6qemp2b. Accessed 2026-05-31."
SURF-IR1970R005,v7j95msw,https://wellcomecollection.org/works/v7j95msw,Birth Control advertisements 1934-1937,IMG02,0.45,true,IR1970R005,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b18937986,"https://iiif.wellcomecollection.org/thumbs/b18937986_0001.jp2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,Wellcome Collection Catalogue API. Birth Control advertisements 1934-1937. https://wellcomecollection.org/works/v7j95msw. Accessed 2026-05-31.
SURF-IR1970R069,cdjeuna7,https://wellcomecollection.org/works/cdjeuna7,Birth Control after childbirth,IMG02,0.45,true,IR1970R069,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b18610286,"https://iiif.wellcomecollection.org/thumbs/b18610286_0001.jp2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,Wellcome Collection Catalogue API. Birth Control after childbirth. https://wellcomecollection.org/works/cdjeuna7. Accessed 2026-05-31.
SURF-MX1970R021,rx5rcenm,https://wellcomecollection.org/works/rx5rcenm,"Cancer: three vignettes showing radiotherapy and surgery as the only effective cures, all other remedies being by implication ineffectual. Colour lithograph after D. Fellnagel, 1941.",IMG02,0.45,true,MX1970R021,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16601610,"https://iiif.wellcomecollection.org/thumbs/B16601610.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. Cancer: three vignettes showing radiotherapy and surgery as the only effective cures, all other remedies being by implication ineffectual. Colour lithograph after D. Fellnagel, 1941....."
SURF-MX1970R006,w378b7bj,https://wellcomecollection.org/works/w378b7bj,Copy extracts: `L' - Mrs Pearce (LHC) Correspondence between IHP and LHC [Lucy Crocker],IMG02,0.45,true,MX1970R006,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b18666589,"https://iiif.wellcomecollection.org/thumbs/b18666589_0001.jp2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,Wellcome Collection Catalogue API. Copy extracts: `L' - Mrs Pearce (LHC) Correspondence between IHP and LHC [Lucy Crocker]. https://wellcomecollection.org/works/w378b7bj. Accessed 2026-05-30.
