verification_id,first_target_id,verification_decision,verified_at,verified_by,confirmed_image_zone,canonical_url,replacement_url,evidence_summary,required_action,blocking_reason
FITV011,FIT011,ready_manual_link_only,2026-05-30,Codex,IMG00,https://www.moma.org/collection/works/7938,,MoMA exact object page opened for TGP exhibition poster target,Ingest metadata only,
FITV012,FIT012,ready_manual_link_only,2026-05-30,Codex,IMG00,https://www.loc.gov/pictures/item/2004665907/,,Library of Congress exact item page opens and should preserve rights advisory,Ingest metadata and rights note only,
FITV013,FIT013,ready_manual_link_only,2026-05-30,Codex,IMG00,https://www.getty.edu/cona/CONAFullSubject.aspx?subid=700000944,,Getty CONA exact record provides rich component and work metadata,Ingest metadata only,
FITV014,FIT014,ready_manual_link_only,2026-05-30,Codex,IMG00,https://www.moma.org/collection/works/72588,,MoMA exact object page opens for TGP anti-fascist lecture poster,Ingest metadata only,
FITV015,FIT015,search_path_only,2026-05-30,Codex,IMG00,,,BND Chile remains deterministic search path not exact source record,Resolve exact BND item URL before ingest,Exact source record missing
FITV016,FIT016,search_path_only,2026-05-30,Codex,IMG00,,,BND Chile remains deterministic search path not exact source record,Resolve exact BND item URL and creator relationship,Exact source record missing
FITV017,FIT017,search_path_only,2026-05-30,Codex,IMG00,,,MMDH target remains contextual search path,Find stable object or collection page or keep citation-only,Stable source record missing
FITV018,FIT018,needs_browser_recheck,2026-05-30,Codex,IMG04,https://ndlsearch.ndl.go.jp/en/books/R100000002-I000001036466,,NDL exact URL is plausible but automated fetch failed,Recheck in browser or NDL API before source-record creation,Automated fetch failed
FITV019,FIT019,search_path_only,2026-05-30,Codex,IMG04,,,NDL report remains search path,Capture exact NDL persistent record,Exact source record missing
FITV020,FIT020,ready_manual_text_event,2026-05-30,Codex,IMG04,https://www.museum.or.jp/event/104047,,museum.or.jp event page opened with Japanese exhibition metadata,Ingest as event page,
FITV021,FIT021,ready_manual_text_institution,2026-05-30,Codex,IMG04,https://www.jagda.or.jp/about/org/history/,,JAGDA history page suitable as institutional page,Ingest manually with no image capture,
FITV022,FIT022,ready_manual_link_only_issue,2026-05-30,Codex,IMG00,https://archive.org/details/shmh-1928.05.19,,Internet Archive exact issue page opened with title date topics language identifier and embed options but reuse unclear,Ingest issue metadata only and no image display,
FITV023,FIT023,needs_page_level_recheck,2026-05-30,Codex,IMG00,https://archive.org/details/shmh-1928.05.19,,Parent IA issue verified but page 7 role needs page-level confirmation,Verify exact page locator before child record creation,Page-level source not confirmed
FITV024,FIT024,needs_page_level_recheck,2026-05-30,Codex,IMG00,https://archive.org/details/shmh-1928.05.19,,Parent IA issue verified but page 8 ad-page role needs page-level confirmation,Verify exact page locator before child record creation,Page-level source not confirmed
FITV025,FIT025,ready_manual_link_only,2026-05-30,Codex,IMG00,https://digitalrepository.lib.hku.hk/catalog/x346kb50k,,HKU exact record opened with bilingual title and all-rights-reserved footer,Ingest metadata only and no image display,
FITV026,FIT026,replace_target,2026-05-30,Codex,IMG00,,https://sema.seoul.go.kr/semaaa/front/archive/view.do?iId=21227,Original OpenArchive target not confirmed; SEMA has exact same poster with clearer metadata and copyright warning,Replace with SEMA record MA-06-00004326 before ingest,Original exact source not confirmed
FITV027,FIT027,needs_exact_record_url,2026-05-30,Codex,IMG00,,,Kdemo search results confirm title registration number 00976552 date and description,Resolve exact item page or stable search-result citation,Exact source record missing
FITV028,FIT028,needs_browser_recheck,2026-05-30,Codex,IMG04,https://archives.kdemo.or.kr/oral-archives/view/1080,,Kdemo search result confirms Hong Sung-dam oral archive content but direct automated page returned 404,Browser recheck required before ingest,Automated fetch returned 404
FITV029,FIT029,ready_manual_viewer_only,2026-05-30,Codex,IMG02,https://www.nas.gov.sg/archivesonline/photographs/record-details/8632b1ef-1162-11e3-83d5-0050568939ad,,NAS exact record opened with viewing permitted and use/reproduction requiring written permission,Ingest as IMG02 viewer-only with no local copy,
FITV030,FIT030,needs_browser_recheck,2026-05-30,Codex,IMG02,https://www.nas.gov.sg/archivesonline/photographs/record-details/85068ac5-1162-11e3-83d5-0050568939ad,,NAS target hit JavaScript anti-bot page in automated fetch,Browser recheck and keep IMG02 only if same access line appears,Automated fetch blocked
FITV031,FIT031,needs_browser_recheck,2026-05-30,Codex,IMG04,https://www.nas.gov.sg/archivesonline/government_records/record-details/9933da1b-1159-11e3-83d5-0050568939ad,,NAS government-record target did not fetch cleanly in automated pass,Browser recheck before ingest,Automated fetch incomplete
FITV032,FIT032,ready_manual_text_institution,2026-05-30,Codex,IMG04,https://www.nid.edu/about/history-of-nid,,NID history page opened with establishment and India Report context,Ingest as institutional page,
FITV033,FIT033,ready_manual_text_pdf,2026-05-30,Codex,IMG04,https://www.nid.edu/Userfiles/Eames_India_Report_NID.pdf,,NID-hosted India Report PDF opened with title date authorship and text,Ingest as text/PDF source with IMG04,
FITV034,FIT034,needs_browser_recheck,2026-05-30,Codex,IMG00,https://www.nid.edu/youngdesigners07/fvc1.html,,NID Young Designers page did not fetch in automated pass,Browser recheck; likely metadata/link-only,Automated fetch failed
FITV035,FIT035,ready_manual_text_authority,2026-05-30,Codex,IMG04,https://www.theicod.org/resources/news-archive/morteza-momayez-receives-icograda-lifetime-achievement-award,,ICOD page opened and is suitable as authority/event source,Ingest as authority/event page,
FITV036,FIT036,search_path_only,2026-05-30,Codex,IMG00,https://peoplesgdarchive.org/collection/9/iranian-poster-design,,PGDA collection page opened but remains collection/filter path not chosen exact item,Select exact PGDA item or keep collection-level context,Exact item missing
FITV037,FIT037,ready_manual_collection,2026-05-30,Codex,IMG00,https://www.saha.org.za/medu_posters_images_from_exile.htm,,SAHA Medu collection page opened and is usable as link-only community archive record,Ingest collection metadata only,
FITV038,FIT038,needs_browser_recheck,2026-05-30,Codex,IMG00,https://www.saha.org.za/collections/AL2446/4930.htm,,SAHA exact item URL failed automated fetch,Browser recheck or choose collection page if item remains inaccessible,Automated fetch failed
FITV039,FIT039,ready_manual_link_only,2026-05-30,Codex,IMG00,https://sahistory.org.za/archive/culture-and-resistance,,SA History archive page opened and can be poster/event hybrid metadata source,Ingest metadata/link only,
FITV040,FIT040,ready_manual_text_event,2026-05-30,Codex,IMG04,https://sahistory.org.za/article/culture-and-resistance-conference-botswana-1982,,SA History event article opened with event details and related archive links,Ingest as event page,
FITV041,FIT041,ready_manual_open_with_protocol,2026-05-30,Codex,IMG03,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters,,AIATSIS/NAIDOC page confirms 2020 title creator theme and CC BY-NC-ND license,Ingest with license evidence credit restrictions and protocol note,
FITV042,FIT042,ready_manual_open_with_protocol,2026-05-30,Codex,IMG03,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters,,AIATSIS/NAIDOC page confirms 2021 title creator theme and CC BY-NC-ND license,Ingest with license evidence credit restrictions and protocol note,
FITV043,FIT043,ready_manual_open_with_protocol,2026-05-30,Codex,IMG03,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters,,AIATSIS/NAIDOC page confirms 2022 title creator theme and CC BY-NC-ND license,Ingest with license evidence credit restrictions and protocol note,
FITV044,FIT044,ready_manual_collection,2026-05-30,Codex,IMG04,https://digitalcollections.nypl.org/collections/gran-fury-collection,,NYPL search result confirms Gran Fury collection scope dates location and shelf locator,Ingest collection-level record with no image frame,
FITV045,FIT045,ready_manual_link_only,2026-05-30,Codex,IMG00,https://digitalcollections.nypl.org/items/d8e91040-c6b8-012f-9eea-58d385a7bc34,,NYPL confirms Silence equals Death item and inconclusive rights status,Use canonical UUID citation URL and keep IMG00,
FITV046,FIT046,ready_manual_link_only,2026-05-30,Codex,IMG00,https://digitalcollections.nypl.org/items/c4788cb0-c6b8-012f-4439-58d385a7bc34,,NYPL confirms Kissing Doesnt Kill item and inconclusive rights status,Use canonical UUID citation URL and keep IMG00,
FITV047,FIT047,ready_manual_text_standard,2026-05-30,Codex,IMG04,https://www.w3.org/TR/REC-CSS1-961217,,W3C CSS1 Recommendation page opened as stable standards document,Ingest as standards/text page,
FITV048,FIT048,needs_browser_recheck,2026-05-30,Codex,IMG00,https://www.oocities.org/dream_archive/,,OoCities URL did not fetch in automated pass,Browser recheck and Wayback lookup required,Automated fetch failed
