rank,group_id,group_type,confidence,member_count,proposed_parent_surface_id,proposed_parent_title,date_span,source_names,primary_folder,recommended_action,evidence_basis
11,GRP0078,folder_cell_decade,medium,118,SURF-NMIIC2026R0287,Inicio - BiblioValle,undated,Amadeo León Collection; Biblioteca Pública Municipal de Mutatá; Biblioteca Pública Municipal Gilma Castellanos; Biblioteca Pública Municipal Luis José Barros Quintero; Biblioteca Pública Popular Fronteriza; Biblioteca Pública Municipal de Rondón; +112 more,Latin America; Midcentury modern graphic communication; Graphic design object record,canonical_main_with_support_children,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
12,GRP0198,folder_cell_decade,medium,111,SURF-GSU2026R002,"Inventory of unscanned negatives in the Lane Brothers photographic collection, Things series (number 2 of 2)",undated,"Archive of the Serbian Orthodox Church; Central Scientific Library of Kharkiv National University named after V. N. Karazin; AIDSSH; ""Octavian Goga"" Cluj County Library; ""Alexandru and Aristia Aman"" County Library, Craiova; Bucharest Metropolitan Library; +104 more",Unresolved region; Midcentury modern graphic communication; Graphic design object record,canonical_main_with_support_children,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
13,GRP0228,folder_cell_decade,medium,110,SURF-LPC2026R086,The D&D Rules Cyclopedia,2011-2019,Wikimedia Commons file source / Figurine Open Office et brochure Wikipédia.jpg / page 17451998; Wikimedia Commons file source / Stamp of Albania - 2011 - Colnect 375422 - Road design and tunnel.jpeg / page 98419286; Wikimedia Commons file source / Stamp of Albania - 2011 - Colnect 375440 - Boxer throwing punch.jpeg / page 98419363; Wikimedia Commons file source / Stamp of Belarus - 2011 - Colnect 257693 - Northern Pike Esox lucius.jpeg / page 98456472; Wikimedia Commons file source / Stamp of Belarus - 2011 - Colnect 282429 - Emperor Penguin Aptenodytes forsteri Polar Bear Ursus ma.jpeg / page 98456533; Wikimedia Commons file source / Stamp of Indonesia - 2013 - Colnect 666535 - Ratu Boko Palace.jpeg / page 114912062; +100 more,Unresolved region; Modern typography and layout; Graphic design object record,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
14,GRP0222,folder_cell_decade,medium,102,SURF-CRG2026R1484,League of Women Voters of Winston-Salem Bulletin (1952-1992) - DPLA - 88f3caa36b258036cc1ea55138f3190f (page 87).jpg,1950-1959,Wikimedia Commons file source / DueStampTrieste B1950Michel6.jpg / page 10946379; Wikimedia Commons file source / Ireland 1957 Birth Centenary of Tomas O'Crohan.jpg / page 25103263; Wikimedia Commons file source / National loan leaflet.jpg / page 80159283; Wikimedia Commons file source / Stamp 1950 Spain MiNrZC53 pm B002.jpg / page 115023197; Wikimedia Commons file source / Stamp UK Tripolitania 1950 10mal.jpg / page 357858; Wikimedia Commons file source / Stamp of Algeria - 1950 - Colnect 211506 - Legionaire.jpeg / page 98424776; +96 more,Unresolved region; Modern typography and layout; Graphic design object record,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
15,GRP0020,folder_cell_decade,medium,87,SURF-CGS2026R0569,Random Processes in the Brain- from experimental data to math and back-143.jpg,2020-2024,Wikimedia Commons file source / XLVI Poster for Yauco's Festival del Cafe.jpg / page 177122794; Wikimedia Commons file source / Banner 2 NeuroMat pathways to the 2023 IHP thematic program - Random Processes in the Brain.jpg / page 116891697; Wikimedia Commons file source / Current challenges for mesoscopic neural population dynamics and metastability.jpg / page 122351863; Wikimedia Commons file source / Disorganization of mental activity in psychosis.jpg / page 117061847; Wikimedia Commons file source / Exploring the space of neural systems dynamics.jpg / page 123202514; Wikimedia Commons file source / Mathematical neuroscience.jpg / page 122351862; +81 more,Brazil; Modern typography and layout; Poster,canonical_main_with_support_children,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
16,GRP0248,folder_cell_decade,medium,85,SURF-CRG2026R0481,Časopis Politički glasnik 22.jpg,1920-1929,"Wikimedia Commons file source / 5759595-M 1.jpg / page 22653303; Wikimedia Commons file source / Mukhtār al-ṣiḥāḥ (al-Maṭbaʻah al-Amīrīyah, 1920) Book Cover.png / page 160003541; Wikimedia Commons file source / Tawfik Abdullah (magazine cover).jpg / page 146259792; Wikimedia Commons file source / Vogue cover, June 1st, 1920, by Helen Dryden.jpg / page 81648443; Wikimedia Commons file source / Društveni život cover 1921.jpg / page 83258790; Wikimedia Commons file source / Elias modern dictionary -English - Arabic (Elias Press, 1922) Book Cover.png / page 159591692; +79 more",Unresolved region; Modern typography and layout; Publication design,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
17,GRP0240,folder_cell_decade,medium,81,SURF-CHW2026R135,Poster for Lethal Art: The End of Hunger,1945-1999,Cooper Hewitt Collection GraphQL API; Wikimedia Commons file source / 3. AUFF.jpg / page 54355671; Wikimedia Commons file source / FODA Katowice Panewniki poster 2011.JPG / page 17222439; Wikimedia Commons file source / بازگشت قهرمان (پوستر ۲).jpg / page 157628102; Wikimedia Commons file source / بخاطر همه چیز (پوستر انگلیسی).jpg / page 157628428; Wikimedia Commons file source / زیر بامهای شهر (پوستر).jpg / page 158140075; +72 more,Unresolved region; Modern typography and layout; Poster,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
18,GRP0234,folder_cell_decade,medium,80,SURF-CRG2026R0542,"Haitian room, Taunton Inn, Taunton, Mass (71577).jpg",1930-1939,"Wikimedia Commons file source / Airace.jpg / page 1927086; Wikimedia Commons file source / Batwhispers.jpg / page 45129459; Wikimedia Commons file source / Haitian room, Taunton Inn, Taunton, Mass (71577).jpg / page 46096042; Wikimedia Commons file source / Moby Dick 1930 Poster.jpg / page 47104213; Wikimedia Commons file source / Secreto de confesion.jpg / page 10937115; Wikimedia Commons file source / SongoftheWest6.jpg / page 57684039; +74 more",Unresolved region; Modern typography and layout; Poster,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
19,GRP0187,folder_cell_decade,medium,59,SURF-NMSP2026R0011,HOME - NATIONAL CENTRE FOR ARTS & CALTURE,undated,National Library of Kosovo; Centre de Documentation Saharienne; Archives Nationales du Cameroun; Archives Nationales du Benin; Afghanistan Centre at Kabul University; Afghanistan Digital Library; +53 more,Unresolved region; Midcentury modern graphic communication; Catalogue,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
20,GRP0235,folder_cell_decade,medium,58,SURF-CRG2026R1040,Jacaré (1942) film poster.jpg,1940-1948,Wikimedia Commons file source / 20 mule team poster.jpg / page 58185507; Wikimedia Commons file source / Chit A Mhya film poster.jpg / page 109459858; Wikimedia Commons file source / Chit Yay Sin film poster.jpg / page 109461358; Wikimedia Commons file source / Gold Rush Maisie - Film Poster.jpg / page 57497338; Wikimedia Commons file source / Keeping Company FilmPoster.jpeg / page 57557841; Wikimedia Commons file source / Poster - Escape (1940) 01.jpg / page 28280448; +52 more,Unresolved region; Modern typography and layout; Poster,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
21,GRP0237,folder_cell_decade,medium,56,SURF-CRG2026R1824,"Courage, experience, understanding - Mario A. Procaccino, Mayor, Abraham D. Beame, Comptroller, Francis X. Smith, Council President LCCN2017646812.jpg",1960-1969,Wikimedia Commons file source / فردا روشن است (پوستر).jpg / page 163698965; Wikimedia Commons file source / A Storm of Love.jpg / page 115038842; Wikimedia Commons file source / Nude on the moon poster 01 Crisco Edit.jpg / page 18516055; Wikimedia Commons file source / Post Office Savings Bank. 100 years of Public Service poster.jpg / page 43082216; Wikimedia Commons file source / Wahida1961.jpg / page 115038837; Wikimedia Commons file source / آس و پاس (پوستر).jpg / page 155976915; +50 more,Unresolved region; Modern typography and layout; Poster,canonical_main_with_support_children,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
22,GRP0227,folder_cell_decade,medium,54,SURF-CRG2026R3860,Ohio sport fish consumption advisory - DPLA - 42d68b453f83264b0df29d33e95c1a30.jpg,2000-2009,Wikimedia Commons file source / Bing Slamet 2000 Indonesia stamp.jpg / page 34930575; Wikimedia Commons file source / Stamp of Belarus - 2000 - Colnect 279223 - Jesus Christ fresco 12th Century.jpeg / page 98452401; Wikimedia Commons file source / Stamp of Belarus - 2000 - Colnect 279256 - Children s Painting Roman Zabello 11 years old - Connectio.jpeg / page 98452550; Wikimedia Commons file source / Stamp of Indonesia - 2000 - Colnect 261297 - Folk Tales - 7 Putri Kahyangan.jpeg / page 114810217; Wikimedia Commons file source / Stamp of Indonesia - 2000 - Colnect 261298 - Folk Tales - 7 Putri Kahyangan.jpeg / page 114810266; Wikimedia Commons file source / Stamp of Indonesia - 2000 - Colnect 261371 - Indonesian Artists - Bing Slamet.jpeg / page 114815045; +48 more,Unresolved region; Modern typography and layout; Graphic design object record,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
23,GRP0065,folder_cell_decade,medium,53,SURF-CRG2026R2138,Stamp of Ajman - 1971 - Colnect 432753 - Tropical Asiatic Birds - MiNo 887 94.jpeg,1971-1976,Wikimedia Commons file source / Stamp of Ajman - 1971 - Colnect 432753 - Tropical Asiatic Birds - MiNo 887 94.jpeg / page 115691092; Wikimedia Commons file source / Indiana Department of Public Instruction - DPLA - 20b9aee889b74fdb46eca24da7a2f2e1 (page 15).jpg / page 177499040; Wikimedia Commons file source / Indiana Department of Public Instruction - DPLA - 20b9aee889b74fdb46eca24da7a2f2e1 (page 2).jpg / page 177499014; Wikimedia Commons file source / Indiana Department of Public Instruction - DPLA - 20b9aee889b74fdb46eca24da7a2f2e1 (page 3).jpg / page 177499015; Wikimedia Commons file source / Indiana Department of Public Instruction - DPLA - 20b9aee889b74fdb46eca24da7a2f2e1 (page 5).jpg / page 177499017; Wikimedia Commons file source / Indiana Department of Public Instruction - DPLA - 20b9aee889b74fdb46eca24da7a2f2e1 (page 6).jpg / page 177499018; +47 more,India; Modern typography and layout; Graphic design object record,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
24,GRP0071,folder_cell_decade,medium,52,SURF-CRG2026R0671,ITA 1933 MiNr0451 pm B002.jpg,1930-1938,Wikimedia Commons file source / ITA 1930 MB0108 pm B002.jpg / page 63631792; Wikimedia Commons file source / ITA 1930 MiNr0325 pm B002a.jpg / page 63026829; Wikimedia Commons file source / ITA 1930 MiNr0326 pm B002.jpg / page 63027665; Wikimedia Commons file source / ITA 1930 MiNr0327 pm B002.jpg / page 63028477; Wikimedia Commons file source / ITA 1930 MiNr0337 pm B002.jpg / page 63217103; Wikimedia Commons file source / ITA 1930 MiNr0338 pm B002.jpg / page 63218223; +46 more,Italy; Modern typography and layout; Graphic design object record,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
25,GRP0249,folder_cell_decade,medium,52,SURF-CRG2026R0677,"Slot Ter Hooge, Naufrágio na Baía do Guilherme - 2018 - Image 229479.jpg",1931-1939,"Wikimedia Commons file source / Al-Fiqh ʻalá al-madhāhib al-arbaʻah (Wizārat al-Awqāf al-Miṣrīyah, 1349h) Book cover.jpg / page 129799401; Wikimedia Commons file source / Umm al-Qurá (al-Maṭbaʻah al-Miṣrīyah, 1931) Book Cover.png / page 168112160; Wikimedia Commons file source / Virtues of the Imam Aḥmad ibn Ḥanbal (Maktabat al-Khānjī, 1931) Book cover.jpg / page 144746924; Wikimedia Commons file source / An Arabic Zoological Dictionary (1932) book cover.png / page 130618411; Wikimedia Commons file source / Beth Laemmle magazine cover (cropped).jpg / page 138515607; Wikimedia Commons file source / Beth Laemmle magazine cover.jpg / page 138515557; +46 more",Unresolved region; Modern typography and layout; Publication design,canonical_main_with_support_children,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
26,GRP0418,same_source_collection,medium,47,SURF-GAX1970R113,"Assemblée générale du... (Cercle de la librairie, de l'imprimerie, de la papeterie...)",1903-1939,Gallica / BnF APIs,France; Midcentury modern graphic communication; Poster,canonical_main_with_source_register,Same source collection and decade bucket.
27,GRP0236,folder_cell_decade,medium,46,SURF-CRG2026R1389,"Southern Pacific Shasta Daylight poster, 1950.jpg",1950-1959,"Wikimedia Commons file source / America? LCCN2016648791.tif / page 66140322; Wikimedia Commons file source / Franz Polgar ""Miracles of the Mind"" A.jpg / page 192118060; Wikimedia Commons file source / Rashomon poster 3.jpg / page 110842916; Wikimedia Commons file source / Southern Pacific Shasta Daylight poster, 1950.jpg / page 175637050; Wikimedia Commons file source / Virtue for Sale.jpg / page 123429233; Wikimedia Commons file source / Zalem bala.jpg / page 39242244; +40 more",Unresolved region; Modern typography and layout; Poster,canonical_main_with_support_children,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
28,GRP0250,folder_cell_decade,medium,46,SURF-CRG2026R0962,"Doug Sahm's 1963 Fender Telecaster (sunburst finish was damaged by water), late-1940s Fender Custom triple-neck steel guitar, and a copy of Stradivarius violin - Country Music Hall of Fame and Museum (2018-08-21 13.41.23 by e Kat).jpg",1940-1949,"Wikimedia Commons file source / Doug Sahm's 1963 Fender Telecaster (sunburst finish was damaged by water), late-1940s Fender Custom triple-neck steel guitar, and a copy of Stradivarius violin - Country Music Hall of...; Wikimedia Commons file source / Electronics Illustrated Mar 1961.jpg / page 10917841; Wikimedia Commons file source / Geschichte des byzantinischen Staates, Georg Ostrogorsky (1940).png / page 131599595; Wikimedia Commons file source / Harry Hopkins Time magazine cover 1945.jpg / page 16260837; Wikimedia Commons file source / Muʻjam asmāʼ al-nabāt book cover.jpg / page 121403854; Wikimedia Commons file source / ACOMMENT cover July 1941.jpg / page 108438269; +40 more",Unresolved region; Modern typography and layout; Publication design,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
29,GRP0345,same_series_stem,medium,46,SURF-LPC2026R093,NAIDOC 2020 poster,1974-2022,NAIDOC Poster Gallery,Australia / Indigenous; Postwar exhibition and cultural posters; Poster; Aboriginal land-rights and NAIDOC poster cultures,canonical_main_with_source_register,"Shared title stem after removing dates, issue numbers, and serial markers."
30,GRP0226,folder_cell_decade,medium,45,SURF-ESR1931R058,Thaipography Archive – Public visual archive of Thai letterform on Instagram: #thaipographyarchive,1990-1999,Wikimedia Commons file source / Stamp of Albania - 1990 - Colnect 157023 - Cep Boletus edulis.jpeg / page 98410214; Wikimedia Commons file source / Stamp of Indonesia - 1990 - Colnect 252724 - World Cup Football Championship.jpeg / page 114766753; Wikimedia Commons file source / Stamp of Indonesia - 1990 - Colnect 252736 - Asia Pacific Postal Training Centre.jpeg / page 114767151; Thaipography Archive; VietGD; Wikimedia Commons file source / Stamp of Indonesia - 1992 - Colnect 252817 - National Satellite Communications Network.jpeg / page 114769992; +39 more,Unresolved region; Modern typography and layout; Graphic design object record,canonical_main_with_support_children,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
31,GRP0257,folder_cell_decade,medium,45,SURF-CRG2026R4052,"Sheikh Hasina unveils Muktir Dak book cover, Bangladesh, 2021-03-08 (PID-0030501).jpg",2020-2026,"Wikimedia Commons file source / 2020-02-17 Prime Minister Sheikh Hasina unveils Joy Bangla book cover at Bangabandhu Corner National Parliament Building (PID-0034207).jpg / page 176406167; Wikimedia Commons file source / 2020-02-27 Hasan Mahmud unveils Biplobi Nur Hossain book cover at Amar Ekushey Book Fair Dhaka (PID-0034006).jpg / page 176405485; Wikimedia Commons file source / Bangabandhu O Bangali Sangskriti Book Cover Unveiling Bangladesh Shilpakala Academy 2020-11-17 (PID-0032128).jpg / page 176399882; Wikimedia Commons file source / Hasan Mahmud unveils Mujib to Sajeeb book cover, Ministry of Information, 2020-07-27 (PID-0033130).jpg / page 176402792; Wikimedia Commons file source / Minister K M Khalid unveils Chetonay Bangabandhu magazine cover, Dhaka, 2020-12-29 (PID-0031728).jpg / page 176398736; Wikimedia Commons file source / Sheikh Hasina Unveils Matribhumi Book Cover, Bangladesh Chhatra League Event, 23 Bangabandhu Avenue, 2020-08-31 (PID-0032856).jpg / page 176402047; +39 more",Unresolved region; Modern typography and layout; Publication design,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
32,GRP0218,folder_cell_decade,medium,41,SURF-CRG2026R0318,Ford B1916 NLGRF photo contact sheet (1976-10-20)(Gerald Ford Library).jpg,1910-1919,Wikimedia Commons file source / Dow Hall c. 1917 05.png / page 53790185; Wikimedia Commons file source / Stamp of Angola - 1911 - Colnect 169355 - King Carlos I overprinted - REPUBLICA.jpeg / page 115868506; Wikimedia Commons file source / Stamp of Angola - 1911 - Colnect 169356 - King Carlos I overprinted - REPUBLICA.jpeg / page 115868520; Wikimedia Commons file source / Stamp of Angola - 1911 - Colnect 169357 - King Carlos I overprinted - REPUBLICA.jpeg / page 115868541; Wikimedia Commons file source / Stamp of Angola - 1911 - Colnect 169358 - King Carlos I overprinted - REPUBLICA.jpeg / page 115868566; Wikimedia Commons file source / Stamp of Angola - 1911 - Colnect 169359 - King Carlos I overprinted - REPUBLICA.jpeg / page 115868581; +35 more,Unresolved region; Modern typography and layout; Graphic design object record,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
33,GRP0135,folder_cell_decade,medium,40,SURF-CCR2026R0069,IDM-2021-poster-challenge-1238.jpg,2020-2025,Wikimedia Commons file source / Jueves Wiki OA2020 WMMX.jpg / page 95970475; Wikimedia Commons file source / WikiEducación Abrir con propósito OA2020 WMMX.jpg / page 95970481; Wikimedia Commons file source / Hotel Caesars poster (cropped).jpg / page 154972185; Wikimedia Commons file source / Hotel Caesars poster.jpg / page 105619000; Wikimedia Commons file source / IDM-2021-poster-challenge-1238.jpg / page 130015494; Wikimedia Commons file source / Mural de Wikipedia intervenido 2.jpg / page 106555140; +34 more,Mexico; Modern typography and layout; Poster,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
34,GRP0384,same_source_collection,medium,40,SURF-CHW2026R147,"Masayoshi Nakajo, Turn on the Light of Sagacity (for NAGOYA Design Center)",1901-1996,Cooper Hewitt Collection GraphQL API,Japan; Corporate identity and design systems; Poster,canonical_main_with_source_register,Same source collection and decade bucket.
35,GRP0247,folder_cell_decade,medium,38,SURF-CRG2026R0364,Electronics World Sep 1959.jpg,1910-1919,Wikimedia Commons file source / Laurier 1910 Vol 06 no 07 Man-to-Man Magazine cover.jpg / page 25493424; Wikimedia Commons file source / Naslovna strana časopisa Bosna 01.jpg / page 98787561; Wikimedia Commons file source / Naslovna strana časopisa Bosna 02.jpg / page 98787562; Wikimedia Commons file source / Naslovna strana časopisa Bosna 03.jpg / page 98787560; Wikimedia Commons file source / Naslovna strana časopisa Bosna 04.jpg / page 98787565; Wikimedia Commons file source / Naslovna strana časopisa Bosna 05.jpg / page 98787570; +32 more,Unresolved region; Modern typography and layout; Publication design,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
