rank,object_key,surface_id,source_name,title,region_group,period_band,best_image_state,rights_reviewed,source_visible_gap,verified_open_gap,weighted_gap_points,repair_family,required_evidence,automatic_upgrade_allowed,source_url,rights_label,image_license_label
27,url:https://www.artic.edu/artworks/192573,SURF-MC1930R054,Art Institute of Chicago API,"""Philanthropic"" Hitler",Unresolved region,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/192573,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
28,url:https://www.artic.edu/artworks/120015,SURF-MC1930R056,Art Institute of Chicago API,"The Kiss (Poster for Man Ray exhibition, Julien Levy Gallery)",France,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/120015,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
29,url:https://www.artic.edu/artworks/222761,SURF-MC1930R057,Art Institute of Chicago API,Untitled (Composition for a Peace Poster),Mexico,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/222761,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
30,url:https://www.artic.edu/artworks/111092,SURF-MC1930R059,Art Institute of Chicago API,Exhibition Poster,Unresolved region,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/111092,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
31,url:https://www.artic.edu/artworks/122394,SURF-MC1930R062,Art Institute of Chicago API,1952 Exhibition Poster,Italy,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/122394,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
32,url:https://www.artic.edu/artworks/79465,SURF-MC1930R063,Art Institute of Chicago API,Exhibition Villauris,Italy,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/79465,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
33,url:https://www.artic.edu/artworks/249244,SURF-MC1930R064,Art Institute of Chicago API,Dada 1916-1923,United States,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/249244,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
34,url:https://www.artic.edu/artworks/93879,SURF-MC1930R077,Art Institute of Chicago API,Dwan Gallery Poster,United States,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/93879,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
35,url:https://www.artic.edu/artworks/229987,SURF-MC1930R089,Art Institute of Chicago API,50 Years Bauhaus Exhibition Poster,United States,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/229987,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
36,url:https://www.casadeculturanasaud.ro/,SURF-NMIIC2026R0214,Casa de Cultură Liviu Rebreanu,"CASA DE CULTURĂ ""LIVIU REBREANU"" NĂSĂUD | SITE-UL OFICIAL CASA DE CULTURĂ ""LIVIU REBREANU"" NĂSĂUD",Romania,undated_or_unparsed,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.casadeculturanasaud.ro/,Placeholder image rejected; return to source.,Source returned a placeholder image. Display is withheld and the record remains source-linked until item-level image evidence is reviewed.
37,url:https://chineseposters.net/posters/pc-1950-s-002,SURF-MX1970R055-GROUP,Chinese Posters,"Chinese Posters grouped records, 1950-1955",China,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://chineseposters.net/posters/pc-1950-s-002,"IMG00: Chinese Posters item pages are high-value visual evidence, but local image reuse is not cleared in this pass.",Grouped source links; image display withheld until item-level review.
38,url:https://www.roots.gov.sg/,SURF-ESR1931R055,Roots.sg,Roots,Singapore,undated_or_unparsed,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.roots.gov.sg/,Placeholder image rejected; return to source.,Source returned a placeholder image. Display is withheld and the record remains source-linked until item-level image evidence is reviewed.
39,url:https://collections.tepapa.govt.nz/object/1391406,SURF-LPC2026R008,Te Papa Collections Online,"Poster, ""We begin bombing in five minutes""",Aotearoa New Zealand,1970_2000,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://collections.tepapa.govt.nz/object/1391406,"IMG00: Te Papa exposes source-hosted preview imagery when present; the page is treated as source-viewer evidence, not reusable image stock.",Source-hosted display only; no local image copy or ownership claim.
40,url:https://spomenkukatose.org.mk/,SURF-NMIIC2026R0205,Toše Proeski Memorial,Почетна - Спомен куќа Тоше Проески,Unresolved region,undated_or_unparsed,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://spomenkukatose.org.mk/,Placeholder image rejected; return to source.,Source returned a placeholder image. Display is withheld and the record remains source-linked until item-level image evidence is reviewed.
41,url:https://wellcomecollection.org/works/zjfcsnmm,SURF-IR1970R044,Wellcome Collection Catalogue API,Thoracoplasty and apicolysis for pulmonary tuberculosis.,Unresolved region,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://wellcomecollection.org/works/zjfcsnmm,Placeholder image rejected; return to source.,Source returned a placeholder image. Display is withheld and the record remains source-linked until item-level image evidence is reviewed.
42,url:https://wellcomecollection.org/works/am4wbft7,SURF-IR1970R047,Wellcome Collection Catalogue API,Onwards to victory.,Unresolved region,1930_1970,IMG00,true,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://wellcomecollection.org/works/am4wbft7,Placeholder image rejected; return to source.,Source returned a placeholder image. Display is withheld and the record remains source-linked until item-level image evidence is reviewed.
43,url:https://wellcomecollection.org/works/at5srwdn,SURF-IR1970R060,Wellcome Collection Catalogue API,Answer to emergency.,Unresolved region,1930_1970,IMG00,true,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://wellcomecollection.org/works/at5srwdn,Placeholder image rejected; return to source.,Source returned a placeholder image. Display is withheld and the record remains source-linked until item-level image evidence is reviewed.
44,url:https://acku.edu.af/,SURF-NMSP2026R0092,Afghanistan Centre at Kabul University,Afghanistan Center at Kabul University,Unresolved region,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://acku.edu.af/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
45,url:https://afghanistandl.nyu.edu/,SURF-NMSP2026R0091,Afghanistan Digital Library,Afghanistan Digital Library,Unresolved region,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://afghanistandl.nyu.edu/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
46,url:https://africanactivist.msu.edu/,SURF-ESR1931R001,African Activist Archive,African Activist Archive - Home,United States,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://africanactivist.msu.edu/,IMG04: African Activist Archive source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,Source-registry context capture keeps source images source-hosted and does not claim item-level image reuse.
47,url:https://libraries.mit.edu/akdc,SURF-NMSP2026R0107,Aga Khan Documentation Center Collections,"Aga Khan Documentation Center | AKDC@MIT: Supporting research, scholarship, and conservation of art, architecture, urbanism, and landscape design in Muslim soc...",Unresolved region,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://libraries.mit.edu/akdc/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
48,url:https://natlib.govt.nz/collections/a-z/alexander-turnbull-library,SURF-NMSP2026R0069,Alexander Turnbull Library,Alexander Turnbull Library,Aotearoa New Zealand,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://natlib.govt.nz/collections/a-z/alexander-turnbull-library,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
49,url:https://www.aub.edu.lb/Libraries/Pages/default.aspx,SURF-NMSP2026R0041,American University of Beirut Libraries,University Libraries,Lebanon,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://www.aub.edu.lb/Libraries/Pages/default.aspx,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
50,url:https://scholarworks.aub.edu.lb/handle/10938/24123,SURF-SCG1931R0013,American University of Beirut ScholarWorks,Exploring Palestinian Resistance and Anti-Imperialist Solidarity through the Lens of Media,Lebanon,2000_2026,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://scholarworks.aub.edu.lb/handle/10938/24123,IMG04: DSpace repository metadata/text record; no item-level image display evidence was captured.,Source-coverage gap capture keeps images source-hosted unless a record-level open statement is explicit.
51,url:https://scholarworks.aub.edu.lb/handle/10938/22022,SURF-SCG1931R0014,American University of Beirut ScholarWorks,Qaem,Lebanon,2000_2026,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://scholarworks.aub.edu.lb/handle/10938/22022,IMG04: DSpace repository metadata/text record; no item-level image display evidence was captured.,Source-coverage gap capture keeps images source-hosted unless a record-level open statement is explicit.
52,url:https://scholarworks.aub.edu.lb/handle/10938/26412,SURF-SCG1931R0015,American University of Beirut ScholarWorks,"Hizbullah's Ashura Posters (2007-2020) the Visualization of Religion, Politics and Nationalism",Lebanon,2000_2026,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://scholarworks.aub.edu.lb/handle/10938/26412,IMG04: DSpace repository metadata/text record; no item-level image display evidence was captured.,Source-coverage gap capture keeps images source-hosted unless a record-level open statement is explicit.
53,url:https://scholarworks.aub.edu.lb/handle/10938/9782,SURF-SCG1931R0016,American University of Beirut ScholarWorks,People Places: New Student Designs on the Neighborhood Exhibition - University City Interface,Lebanon,2000_2026,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://scholarworks.aub.edu.lb/handle/10938/9782,IMG04: DSpace repository metadata/text record; no item-level image display evidence was captured.,Source-coverage gap capture keeps images source-hosted unless a record-level open statement is explicit.
54,url:https://www.archives.nat.tn/ar,SURF-NMSP2026R0007,Archives Nationales de Tunisie,الأرشيف الوطني التونسي - Archives Nationales de Tunisie,Unresolved region,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://www.archives.nat.tn/ar/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
55,url:https://archivesnationales.gouv.bj/,SURF-NMSP2026R0072,Archives Nationales du Benin,Accueil | Archive Nationale Du Benin,Unresolved region,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://archivesnationales.gouv.bj/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
56,url:https://www.archivesnationales.cm/,SURF-NMSP2026R0073,Archives Nationales du Cameroun,Accueil,Unresolved region,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://www.archivesnationales.cm/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
57,url:https://archivesdusenegal.gouv.sn/,SURF-NMSP2026R0010,Archives Nationales du Senegal,Archives du Sénégal |,Senegal,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://archivesdusenegal.gouv.sn/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
58,url:https://mcd.gob.gt/archivo-general-de-centro-america,SURF-NMSP2026R0030,Archivo General de Centro America,"Ministerio de Cultura y Deportes – Cultura, motor del desarrollo",Latin America,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://mcd.gob.gt/archivo-general-de-centro-america/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
59,url:https://www.icp.pr.gov/archivo-general,SURF-NMSP2026R0088,Archivo General de Puerto Rico,Archivo General de Puerto Rico | ICP,Latin America,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://www.icp.pr.gov/archivo-general/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
60,url:https://www.gob.pe/agn,SURF-NMSP2026R0021,Archivo General de la Nacion Peru,Archivo General de la Nación - AGN - Plataforma del Estado Peruano,Peru,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://www.gob.pe/agn,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
61,url:https://agn.gob.do/,SURF-NMSP2026R0037,Archivo General de la Nacion Republica Dominicana,Archivo General de la Nación | AGN - Inicio,Latin America,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://agn.gob.do/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
62,url:http://agn.gob.ve/,SURF-NMSP2026R0026,Archivo General de la Nacion Venezuela,Archivo General de la Nación,Venezuela,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,http://agn.gob.ve/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
63,url:https://archivonacional.gov.py/,SURF-NMSP2026R0020,Archivo Nacional de Asuncion,Archivo Nacional de Asuncion – Sitio web oficial del Archivo Nacional del Paraguay,Latin America,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://archivonacional.gov.py/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
64,url:https://www.archivonacional.gob.cl/,SURF-NMSP2026R0016,Archivo Nacional de Chile,Inicio | Archivo Nacional,Chile,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://www.archivonacional.gob.cl/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
65,url:https://www.archivonacional.go.cr/,SURF-NMSP2026R0031,Archivo Nacional de Costa Rica,Inicio,Latin America,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://www.archivonacional.go.cr/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
66,url:https://www.archivonacional.gob.pa/,SURF-NMSP2026R0032,Archivo Nacional de Panama,Inicio,Latin America,undated_or_unparsed,IMG04,false,true,true,1.00,img04_text_state_review,Confirm this is genuinely text/authority/context-only; otherwise capture a visual source record.,false,https://www.archivonacional.gob.pa/,"IMG04: true source-profile text page, not a parser failure.",No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.
