cluster_key,source_family,family_class,region,theme,five_year_bucket,cluster_size,packet_relation_lane,packet_confidence,eligible_rows,anchor_rows,member_or_sub_rows,scope_status,scope_reason,blocking_dimensions,manual_resolution_path,seed_priority,sample_titles
Switzerland|Corporate identity and design systems|Another Graphic|2025-2029,Another Graphic,design_or_cultural_institution,Switzerland,Corporate identity and design systems,2025-2029,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Anastasia Temirkhan
Taiwan|Midcentury modern graphic communication|Another Graphic|2025-2029,Another Graphic,design_or_cultural_institution,Taiwan,Midcentury modern graphic communication,2025-2029,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Hung Chang-Lien
France|Midcentury modern graphic communication|Art Institute of Chicago API|1890-1894,Art Institute of Chicago API,museum_or_collection_api,France,Midcentury modern graphic communication,1890-1894,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Moulin Rouge, La Goulue"
France|Modern typography and layout|Art Institute of Chicago API|1890-1894,Art Institute of Chicago API,museum_or_collection_api,France,Modern typography and layout,1890-1894,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Reine de Joie
France|World War and public-information graphics|Art Institute of Chicago API|1915-1919,Art Institute of Chicago API,museum_or_collection_api,France,World War and public-information graphics,1915-1919,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,To the Amputees—Join the Workforce
Germany|World War and public-information graphics|Art Institute of Chicago API|1940-1944,Art Institute of Chicago API,museum_or_collection_api,Germany,World War and public-information graphics,1940-1944,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,The Search for Human Resources in Germany
United States|World War and public-information graphics|Art Institute of Chicago API|1930-1934,Art Institute of Chicago API,museum_or_collection_api,United States,World War and public-information graphics,1930-1934,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,By the Rushy - Fringed Bank
Singapore|Midcentury modern graphic communication|Asian Film Archive|2020-2024,Asian Film Archive,design_or_cultural_institution,Singapore,Midcentury modern graphic communication,2020-2024,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Asian Cinema Digest #44
Singapore|Midcentury modern graphic communication|Asian Film Archive|2025-2029,Asian Film Archive,design_or_cultural_institution,Singapore,Midcentury modern graphic communication,2025-2029,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Matter Matters | Interview with Elsa Wong about “A Secret Portrait of Wan Hoi-Ling” | Asian Cinema Digest #67
Singapore|Postwar exhibition and cultural posters|Asian Film Archive|2020-2024,Asian Film Archive,design_or_cultural_institution,Singapore,Postwar exhibition and cultural posters,2020-2024,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Blueprints For An Ephemeral and Affective Experience
Singapore|Postwar exhibition and cultural posters|Asian Film Archive|2025-2029,Asian Film Archive,design_or_cultural_institution,Singapore,Postwar exhibition and cultural posters,2025-2029,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Asian Cinema Digest #68
Singapore|World War and public-information graphics|Asian Film Archive|2020-2024,Asian Film Archive,design_or_cultural_institution,Singapore,World War and public-information graphics,2020-2024,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Revisiting the New Windows: Asian Films at the junction of the New Millennium | Asian Cinema Digest #52
Aotearoa New Zealand|Midcentury modern graphic communication|Auckland Libraries Heritage Collections / CONTENTdm|1975-1979,Auckland Libraries Heritage Collections / CONTENTdm,design_or_cultural_institution,Aotearoa New Zealand,Midcentury modern graphic communication,1975-1979,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Gig poster and sign, Parnell, 1978"
Aotearoa New Zealand|Midcentury modern graphic communication|Auckland Libraries Heritage Collections / CONTENTdm|1980-1984,Auckland Libraries Heritage Collections / CONTENTdm,design_or_cultural_institution,Aotearoa New Zealand,Midcentury modern graphic communication,1980-1984,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Poster titled Our Aunty Neta, 1982"
Aotearoa New Zealand|Midcentury modern graphic communication|Auckland Libraries Heritage Collections / CONTENTdm|2005-2009,Auckland Libraries Heritage Collections / CONTENTdm,design_or_cultural_institution,Aotearoa New Zealand,Midcentury modern graphic communication,2005-2009,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Sky Tower, Auckland Central, 2009"
Aotearoa New Zealand|Midcentury modern graphic communication|Auckland Libraries Heritage Collections / CONTENTdm|2010-2014,Auckland Libraries Heritage Collections / CONTENTdm,design_or_cultural_institution,Aotearoa New Zealand,Midcentury modern graphic communication,2010-2014,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Washing machine repair shop, Dominion Road, 2013"
Aotearoa New Zealand|Midcentury modern graphic communication|Auckland Libraries Heritage Collections / CONTENTdm|2015-2019,Auckland Libraries Heritage Collections / CONTENTdm,design_or_cultural_institution,Aotearoa New Zealand,Midcentury modern graphic communication,2015-2019,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Civic Theatre, Queen Street, Auckland Central, 2015 | Civic Theatre, Queen Street, Auckland Central, 2016"
Aotearoa New Zealand|Postwar exhibition and cultural posters|Auckland Libraries Heritage Collections / CONTENTdm|1975-1979,Auckland Libraries Heritage Collections / CONTENTdm,design_or_cultural_institution,Aotearoa New Zealand,Postwar exhibition and cultural posters,1975-1979,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Bank window, Parnell, 1978"
Aotearoa New Zealand|Public health and social communication|Auckland Libraries Heritage Collections / CONTENTdm|1990-1994,Auckland Libraries Heritage Collections / CONTENTdm,design_or_cultural_institution,Aotearoa New Zealand,Public health and social communication,1990-1994,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Health policy launch, Papakura, 1993"
Middle East and North Africa|Postwar exhibition and cultural posters|Barjeel Art Foundation|2020-2024,Barjeel Art Foundation,design_or_cultural_institution,Middle East and North Africa,Postwar exhibition and cultural posters,2020-2024,2,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,On This Land | The jewels of my career
Middle East and North Africa|World War and public-information graphics|Barjeel Art Foundation|2015-2019,Barjeel Art Foundation,design_or_cultural_institution,Middle East and North Africa,World War and public-information graphics,2015-2019,1,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,No to the Invasion
China / Hong Kong|World War and public-information graphics|Chinese Posters|1955-1959,Chinese Posters,design_or_cultural_institution,China / Hong Kong,World War and public-information graphics,1955-1959,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Chinese Posters grouped records, 1950-1955"
France|Midcentury modern graphic communication|Cleveland Museum Open Access API|1895-1899,Cleveland Museum Open Access API,museum_or_collection_api,France,Midcentury modern graphic communication,1895-1899,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Blind Man's Bluff
France|Postwar exhibition and cultural posters|Cleveland Museum Open Access API|1895-1899,Cleveland Museum Open Access API,museum_or_collection_api,France,Postwar exhibition and cultural posters,1895-1899,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,May Milton
France|Travel and transport poster culture|Cleveland Museum Open Access API|1875-1879,Cleveland Museum Open Access API,museum_or_collection_api,France,Travel and transport poster culture,1875-1879,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Perched upon a Bust of Pallas
Germany|World War and public-information graphics|Cleveland Museum Open Access API|1920-1924,Cleveland Museum Open Access API,museum_or_collection_api,Germany,World War and public-information graphics,1920-1924,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Merz 3 Portfolio: Plate 1
United Kingdom|Travel and transport poster culture|Cleveland Museum Open Access API|1875-1879,Cleveland Museum Open Access API,museum_or_collection_api,United Kingdom,Travel and transport poster culture,1875-1879,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Street Advertising
Indonesia|Midcentury modern graphic communication|Desain Grafis Indonesia|2020-2024,Desain Grafis Indonesia,design_or_cultural_institution,Indonesia,Midcentury modern graphic communication,2020-2024,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Kemungkinan Sejarah Baru Desain Grafis di Normal Baru
Indonesia|World War and public-information graphics|Desain Grafis Indonesia|2025-2029,Desain Grafis Indonesia,design_or_cultural_institution,Indonesia,World War and public-information graphics,2025-2029,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Kekuatan Desain Grafis Pada Politik Praktis: Kasus Simbol Perlawanan Dengan Warna | Pembelajaran Desain: Durasi, Dampak"
United Kingdom|Modern typography and layout|Design Reviewed|2025-2029,Design Reviewed,design_or_cultural_institution,United Kingdom,Modern typography and layout,2025-2029,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Industry Unions and Design Magazines
United Kingdom|Travel and transport poster culture|Design Reviewed|2025-2029,Design Reviewed,design_or_cultural_institution,United Kingdom,Travel and transport poster culture,2025-2029,4,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"40 Examples of Czech Typography from 1907, Typografia | 60 Examples of Czech Typography from 1911, Typografia | Art Nouveau and the Magazine Cover | 60 Examples of Czech Typography from 1909, Typografia"
United Kingdom|World War and public-information graphics|Design Reviewed|2025-2029,Design Reviewed,design_or_cultural_institution,United Kingdom,World War and public-information graphics,2025-2029,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"50 Examples of Czech Typography from 1908, Typografia"
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|1905-1909,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Midcentury modern graphic communication,1905-1909,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Untitled Illustration grouped records, 1903-1905"
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|1955-1959,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Midcentury modern graphic communication,1955-1959,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Joy Jobbins Fashion Advertising Archive
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|1965-1969,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Midcentury modern graphic communication,1965-1969,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,South Pacific
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|1975-1979,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Midcentury modern graphic communication,1975-1979,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Apple Poster 1979
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|1980-1984,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Midcentury modern graphic communication,1980-1984,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Turakina Maori Girls' College poster
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|1985-1989,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Midcentury modern graphic communication,1985-1989,2,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Coalition Against The Tour poster | Copy: Abortion, Apartheid, Unions, Nuclear (posters, handouts, protests) grouped records, 1985"
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|1990-1994,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Midcentury modern graphic communication,1990-1994,3,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Papakura Valley poster, ca 1994 | People examining posters on desk grouped records, 1993 | Summer City poster (main)"
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|1995-1999,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Midcentury modern graphic communication,1995-1999,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Summer City poster (main)
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|2000-2004,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Midcentury modern graphic communication,2000-2004,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Wellington's Inner City Character poster
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|2010-2014,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Midcentury modern graphic communication,2010-2014,3,packet_parentage_review,medium,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Posters grouped records, 2012 | Poster grouped records, 1970-2010 | Tourist Bureau poster"
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|2015-2019,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Midcentury modern graphic communication,2015-2019,1,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,School Strike 4 Climate march
Aotearoa New Zealand|Midcentury modern graphic communication|DigitalNZ|2020-2024,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Midcentury modern graphic communication,2020-2024,3,packet_parentage_review,medium,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Claire Beach: Qualmark Certified, SDG Aligned? | Covid-19 anti-lockdown protest sticker, Timaru grouped records, 2021 | Covid-19 anti-vaccination protest sticker, Timaru grouped records, 2021-2022"
Aotearoa New Zealand|Modern typography and layout|DigitalNZ|1970-1974,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Modern typography and layout,1970-1974,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"""Sorry sham that shows Maori as dying race"""
Aotearoa New Zealand|Modern typography and layout|DigitalNZ|1985-1989,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Modern typography and layout,1985-1989,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Nathalie Brown
Aotearoa New Zealand|Modern typography and layout|DigitalNZ|2025-2029,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Modern typography and layout,2025-2029,1,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Catherine Griffiths: Out of Line
Aotearoa New Zealand|Postwar exhibition and cultural posters|DigitalNZ|1950-1954,DigitalNZ,library_archive_or_aggregator,Aotearoa New Zealand,Postwar exhibition and cultural posters,1950-1954,1,mixed_manual_relation_review,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Cinema Advertising Slide- Advertising Advertising!
