image_url_detected,record_count,source_names,period_bands,capture_ids,titles
"https://framemark.vam.ac.uk/collections/2012FV6323/full/!100,100/0/default.jpg",2,V&A Collections API,pre_1930,ER1830R002,"Trade card for C. & J. Lintelo Brothers, Gold and Silversmiths"
"https://framemark.vam.ac.uk/collections/2012FV5966/full/!100,100/0/default.jpg",2,V&A Collections API,pre_1930,ER1830R004 | ER1830R003,
https://openaccess-cdn.clevelandart.org/1926.297/1926.297_web.jpg,2,Cleveland Museum Open Access API,pre_1930,ER1830R015 | ER1830R013,Perched upon a Bust of Pallas
https://openaccess-cdn.clevelandart.org/1923.215/1923.215_web.jpg,2,Cleveland Museum Open Access API,pre_1930,ER1830R016 | ER1830R014,Raven's Head in Profile
https://openaccess-cdn.clevelandart.org/2022.78/2022.78_web.jpg,2,Cleveland Museum Open Access API,pre_1930,ER1830R018 | ER1830R016,Street Advertising
https://tile.loc.gov/storage-services/service/pnp/ppmsca/40200/40208_150px.jpg,2,Library of Congress loc.gov API,pre_1930,ER1830R020 | ER1830R019,"[Santa with toys in a sleigh, drawn by reindeer, with a church on the right and another in the distance]"
https://tile.loc.gov/storage-services/service/pnp/ppmsca/39600/39629_150px.jpg,2,Library of Congress loc.gov API,pre_1930,ER1830R021 | ER1830R020,"[Ship at sea, under full sail, with five men in a rowboat under a partially obscured full moon]"
https://tile.loc.gov/storage-services/service/pnp/ppmsca/40200/40209_150px.jpg,2,Library of Congress loc.gov API,pre_1930,ER1830R022,"[Winter scene with frozen waterwheel, a man with horse team and load of logs, and a church in the distance, under a full moon]"
https://tile.loc.gov/storage-services/service/pnp/ppmsca/40200/40210_150px.jpg,2,Library of Congress loc.gov API,pre_1930,ER1830R023,"[Winter scene with horse team hauling logs on a sledge past a windmill, with snow covered landscape, under a full moon]"
https://anothergraphic.org/wp-content/uploads/2026/05/Juhyeok-Kim-AnotherGraphic-AG-graphic-design-inspiration.jpg,2,Another Graphic,2000_2026,ERS1970R006 | IAC1990R012,Juhyeok Kim - Another Graphic | Juhyeok Kim
https://anothergraphic.org/wp-content/uploads/2025/03/CompletePublication-NewGlyphsNewWritings-AnotherGraphic-TypographyGraphicDesign_01-1024x1024.jpg,2,Another Graphic,2000_2026,EW1970R016 | IAC1990R014,"Publication: New Glyphs, New Writings"
https://anothergraphic.org/wp-content/uploads/2020/05/ToteBagByBenChristensen-AnotherGraphic-AG-1024x1024.jpg,2,Another Graphic,2000_2026,EW1970R017 | IAC1990R015,Tote bag Design Challenge
https://anothergraphic.org/wp-content/uploads/2019/07/T-shirtByStudioStudio-AnotherGraphic-AG03-1024x1024.jpg,2,Another Graphic,2000_2026,EW1970R018 | IAC1990R016,T-Shirt
https://anothergraphic.org/wp-content/uploads/2019/07/ToteBagByStudioStudio-AnotherGraphic-AG-01-1024x1024.jpg,2,Another Graphic,2000_2026,EW1970R019 | IAC1990R017,Tote bag Original
https://www.barjeelartfoundation.org/wp-content/uploads/2024/12/On-This-Land-745x1024.jpg,2,Barjeel Art Foundation,2000_2026,NMR1990R0008 | NMR1990R0009,On This Land II | On This Land
