first_target_id,target_number,scope_cell_id,target_label,source_name,record_family,source_url_or_search_path,canonical_url,verification_decision,confirmed_image_zone,rights_risk,required_action
FIT014,14,C04,El Nazismo 9a conferencia: Razas de 1a y de 2a classe,MoMA,museum object,https://www.moma.org/collection/works/72588,https://www.moma.org/collection/works/72588,ready_manual_link_only,IMG00,High,Ingest metadata only
FIT020,20,C06,戦後デザイン運動の原点 デザインコミッティーの人々とその軌跡,museum.or.jp,event page,https://www.museum.or.jp/event/104047,https://www.museum.or.jp/event/104047,ready_manual_text_event,IMG04,Low,Ingest as event page
FIT021,21,C06,JAGDA history page,JAGDA,institutional page,https://www.jagda.or.jp/about/org/history/,https://www.jagda.or.jp/about/org/history/,ready_manual_text_institution,IMG04,Low,Ingest manually with no image capture
FIT022,22,C07,上海漫畫 1928.05.19 第五期,Internet Archive,periodical issue,https://archive.org/details/shmh-1928.05.19,https://archive.org/details/shmh-1928.05.19,ready_manual_link_only_issue,IMG00,Medium-high,Ingest issue metadata only and no image display
FIT025,25,C07,Calendar poster Shanghai 上海日曆海報,University of Hong Kong Libraries,poster archive item,https://digitalrepository.lib.hku.hk/catalog/x346kb50k,https://digitalrepository.lib.hku.hk/catalog/x346kb50k,ready_manual_link_only,IMG00,High,Ingest metadata only and no image display
FIT029,29,C09,NO TRESPASSING SIGN IN FOUR LANGUAGES,National Archives of Singapore,poster archive item,https://www.nas.gov.sg/archivesonline/photographs/record-details/8632b1ef-1162-11e3-83d5-0050568939ad,https://www.nas.gov.sg/archivesonline/photographs/record-details/8632b1ef-1162-11e3-83d5-0050568939ad,ready_manual_viewer_only,IMG02,Medium,Ingest as IMG02 viewer-only with no local copy
FIT032,32,C10,History of NID,National Institute of Design,institutional page,https://www.nid.edu/about/history-of-nid,https://www.nid.edu/about/history-of-nid,ready_manual_text_institution,IMG04,Low,Ingest as institutional page
FIT033,33,C10,The India Report,National Institute of Design,book/catalogue/text,https://www.nid.edu/Userfiles/Eames_India_Report_NID.pdf,https://www.nid.edu/Userfiles/Eames_India_Report_NID.pdf,ready_manual_text_pdf,IMG04,Low,Ingest as text/PDF source with IMG04
FIT035,35,C11,Morteza Momayez receives Icograda Lifetime Achievement Award,ICOD,authority record,https://www.theicod.org/resources/news-archive/morteza-momayez-receives-icograda-lifetime-achievement-award,https://www.theicod.org/resources/news-archive/morteza-momayez-receives-icograda-lifetime-achievement-award,ready_manual_text_authority,IMG04,Low,Ingest as authority/event page
FIT037,37,C12,Medu posters: Images from exile,South African History Archive,community archive item,https://www.saha.org.za/medu_posters_images_from_exile.htm,https://www.saha.org.za/medu_posters_images_from_exile.htm,ready_manual_collection,IMG00,High,Ingest collection metadata only
FIT039,39,C12,Culture and resistance poster page,South African History Online,community archive item,https://sahistory.org.za/archive/culture-and-resistance,https://sahistory.org.za/archive/culture-and-resistance,ready_manual_link_only,IMG00,High,Ingest metadata/link only
FIT040,40,C12,Culture and Resistance Conference Botswana 1982,South African History Online,event page,https://sahistory.org.za/article/culture-and-resistance-conference-botswana-1982,https://sahistory.org.za/article/culture-and-resistance-conference-botswana-1982,ready_manual_text_event,IMG04,Low,Ingest as event page
FIT041,41,C13,2020 National NAIDOC Poster Shape of Land,AIATSIS,poster archive item,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters > 2020,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters,ready_manual_open_with_protocol,IMG03,Low-medium,Ingest with license evidence credit restrictions and protocol note
FIT042,42,C13,2021 National NAIDOC Poster Care for Country,AIATSIS,poster archive item,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters > 2021,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters,ready_manual_open_with_protocol,IMG03,Low-medium,Ingest with license evidence credit restrictions and protocol note
FIT043,43,C13,2022 National NAIDOC Poster Stronger,AIATSIS,poster archive item,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters > 2022,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters,ready_manual_open_with_protocol,IMG03,Low-medium,Ingest with license evidence credit restrictions and protocol note
FIT044,44,C14,Gran Fury collection,NYPL Digital Collections,community archive item,https://digitalcollections.nypl.org/collections/gran-fury-collection,https://digitalcollections.nypl.org/collections/gran-fury-collection,ready_manual_collection,IMG04,Medium,Ingest collection-level record with no image frame
FIT045,45,C14,Silence = Death poster,NYPL Digital Collections,community archive item,https://digitalcollections.nypl.org/items/510d47e4-1035-a3d9-e040-e00a18064a99,https://digitalcollections.nypl.org/items/d8e91040-c6b8-012f-9eea-58d385a7bc34,ready_manual_link_only,IMG00,High,Use canonical UUID citation URL and keep IMG00
FIT046,46,C14,Kissing Doesn't Kill,NYPL Digital Collections,community archive item,https://digitalcollections.nypl.org/items/510d47e4-1020-a3d9-e040-e00a18064a99,https://digitalcollections.nypl.org/items/c4788cb0-c6b8-012f-4439-58d385a7bc34,ready_manual_link_only,IMG00,High,Use canonical UUID citation URL and keep IMG00
FIT047,47,C15,Cascading Style Sheets level 1 Recommendation,W3C,web capture,https://www.w3.org/TR/REC-CSS1-961217,https://www.w3.org/TR/REC-CSS1-961217,ready_manual_text_standard,IMG04,Low,Ingest as standards/text page
