sample_id,sample_type,target_display_labels,target_region_ids,target_geo_ids,surface_id,source_record_id,title,date_text,period_band,source_name,current_region_label,candidate_action,confidence,evidence_fields,evidence_snippet,review_question
RGN-QA-011,auto_map_stratified,United States,REG003,GEO025,SURF-CHW2026R053,CHW2026R053,Album: A. P. W. Finest Satin Tissue 1500,1898-1954,pre_1930,Cooper Hewitt Collection GraphQL API,Unresolved region,auto_map_from_unresolved,high,placeText; title; sourceDescription; sourceNotes; sourceName,"placeText: USA | title: Album: A. P. W. Finest Satin Tissue 1500 | sourceDescription: On a red background, in ivory Art Deco block capitals, A.P.W. is imprinted, centered, just below the top edge; and repeated in identical color and style, but smaller, next to the l | sourceNotes: {""credit"": ""Gift of Ellen Gustav Jensen"", ""rights"": [{""details"": ""owner of rights unknown"", ""type"": ""copyright""}]}",Does high-signal metadata support this target geography?
RGN-QA-012,auto_map_stratified,United States,REG003,GEO025,SURF-CHW2026R054,CHW2026R054,Album: Pickwick Beer,1898-1954,pre_1930,Cooper Hewitt Collection GraphQL API,Unresolved region,auto_map_from_unresolved,high,placeText; title; sourceDescription; sourceNotes; sourceName,"placeText: USA | title: Album: Pickwick Beer | sourceDescription: On an off-white background, Pickwick, curved upward, is imprinted across in black serif style capitals. Centered directly underneath, the gilt-colored design is composed of Lager,  | sourceNotes: {""credit"": ""Gift of Ellen Gustav Jensen"", ""rights"": [{""details"": ""owner of rights unknown"", ""type"": ""copyright""}]}",Does high-signal metadata support this target geography?
RGN-QA-013,auto_map_stratified,United States,REG003,GEO025,SURF-CHW2026R055,CHW2026R055,Album: The Cotton Picker,1898-1954,pre_1930,Cooper Hewitt Collection GraphQL API,Unresolved region,auto_map_from_unresolved,high,placeText; title; sourceDescription; sourceNotes; sourceName,"placeText: USA | title: Album: The Cotton Picker | sourceDescription: The present object, a label for a round or oval package designed to dispense absorbent cotton, appears in a flattened state. The lavender background is punctuated from top to botto | sourceNotes: {""credit"": ""Gift of Ellen Gustav Jensen"", ""rights"": [{""details"": ""owner of rights unknown"", ""type"": ""copyright""}]}",Does high-signal metadata support this target geography?
RGN-QA-014,auto_map_stratified,United States,REG003,GEO025,SURF-CHW2026R056,CHW2026R056,Album: pmg/ Gilbert's Oral Antiseptic,1898-1954,pre_1930,Cooper Hewitt Collection GraphQL API,Unresolved region,auto_map_from_unresolved,high,placeText; title; sourceDescription; sourceNotes; sourceName,"placeText: USA | title: Album: pmg/ Gilbert's Oral Antiseptic | sourceDescription: In the present object, although the four items are photographed in black and white, they were presumably fabricated in color. The design scheme uses small, sans-serif type througho | sourceNotes: {""credit"": ""Gift of Ellen Gustav Jensen"", ""rights"": [{""details"": ""owner of rights unknown"", ""type"": ""copyright""}]}",Does high-signal metadata support this target geography?
RGN-QA-015,auto_map_stratified,United States,REG003,GEO025,SURF-CHW2026R059,CHW2026R059,"Two Covered Boxes, One with Tassels",1898-1954,pre_1930,Cooper Hewitt Collection GraphQL API,Unresolved region,auto_map_from_unresolved,high,placeText; title; sourceDescription; sourceNotes; sourceName,"placeText: USA | title: Two Covered Boxes, One with Tassels | sourceDescription: Two square-shaped boxes, designed as product packaging, are framed in actual or simulated wooden or metallic material. Eight foliate forms in brown on a black background are arrang | sourceNotes: {""credit"": ""Gift of Ellen Gustav Jensen""}",Does high-signal metadata support this target geography?
RGN-QA-016,auto_map_stratified,United States,REG003,GEO025,SURF-CHW2026R094,CHW2026R094,. . . . AND National Bohemian Advertisement Proof,20th century,pre_1930,Cooper Hewitt Collection GraphQL API,Unresolved region,auto_map_from_unresolved,high,placeText; title; sourceDescription; sourceNotes; sourceName,"placeText: USA | title: . . . . AND National Bohemian Advertisement Proof | sourceDescription: Black rectangle at center featuring a gray illustration of a lobster with left claw surrounding a conical glass of beer. National Bohemian beer bottle and bottle cap at right. Text | sourceNotes: {""credit"": ""Museum purchase with funding provided by the Buddy Taub Foundation, Dennis A. Roach and Jill Roach Directors""}",Does high-signal metadata support this target geography?
RGN-QA-017,auto_map_stratified,Iran,REG013,GEO057,SURF-CRG2026R0483,CRG2026R0483,Tehrane makhof book cover.jpg,1925,pre_1930,Wikimedia Commons file source / Tehrane makhof book cover.jpg / page 12369156,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Iran | sourceSubjects: Middle East and North Africa; Iran; book cover; Category:Book covers from Iran Category:Horrible Tehran Category:PD Iran | title: Tehrane makhof book cover.jpg | sourceDescription: طرح روی جلد نسخه اصلی کتاب تهران مخوف، نوشته مشفق کاظمی.,Does high-signal metadata support this target geography?
RGN-QA-018,auto_map_stratified,Iran,REG013,GEO057,SURF-CRG2026R1404,CRG2026R1404,Zalem bala.jpg,1950,1930_1970,Wikimedia Commons file source / Zalem bala.jpg / page 39242244,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Iran | sourceSubjects: Middle East and North Africa; Iran; film poster; Category:1950s film posters of Iran Category:1957 film posters of Iran Category:PD Iran Category:Template Unknown (author) Category | title: Zalem bala.jpg | sourceDescription: Zalem bala poster - 1956,Does high-signal metadata support this target geography?
RGN-QA-019,auto_map_stratified,Iran,REG013,GEO057,SURF-CRG2026R1504,CRG2026R1504,"Music-e Iran magazine cover, Issue 1.jpg",1952,1930_1970,"Wikimedia Commons file source / Music-e Iran magazine cover, Issue 1.jpg / page 85133713",Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: Middle East and North Africa / Iran | sourceSubjects: Middle East and North Africa; Iran; magazine cover; | title: Music-e Iran magazine cover, Issue 1.jpg | sourceDescription: مرتضی محجوبی در حال نواختن ویولن، صفحهٔ اول مجله موزیک ایران",Does high-signal metadata support this target geography?
RGN-QA-020,auto_map_stratified,Iran,REG013,GEO057,SURF-CRG2026R1522,CRG2026R1522,20th anniversary of 1953 Iranian coup d'état.jpg,1953,1930_1970,Wikimedia Commons file source / 20th anniversary of 1953 Iranian coup d'état.jpg / page 19306132,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Iran | sourceSubjects: Middle East and North Africa; Iran; stamp; Category:1973 stamps of Iran Category:20th anniversaries on stamps Category:Anniversaries on stamps of Iran Category:Anniversary of the 1 | title: 20th anniversary of 1953 Iranian coup d'état.jpg | sourceDescription: 20th anniversary of 1953 Iranian coup d'état stamp,Does high-signal metadata support this target geography?
RGN-QA-021,auto_map_stratified,Iran,REG013,GEO057,SURF-CRG2026R1553,CRG2026R1553,اتهام.jpg,1956,1930_1970,Wikimedia Commons file source / اتهام.jpg / page 155976811,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Iran | sourceSubjects: Middle East and North Africa; Iran; film poster; Category:1956 film posters of Iran Category:Film posters by Misha Geragosian Category:Film posters of Iran Category:Images with ext | title: اتهام.jpg | sourceDescription: film poster,Does high-signal metadata support this target geography?
RGN-QA-022,auto_map_stratified,Iran,REG013,GEO057,SURF-CRG2026R1564,CRG2026R1564,بلبل مزرعه.jpg,1957,1930_1970,Wikimedia Commons file source / بلبل مزرعه.jpg / page 155978307,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Iran | sourceSubjects: Middle East and North Africa; Iran; film poster; Category:1957 film posters of Iran Category:Film posters by Jarchi Advertising Category:Film posters of Iran Category:Images with e | title: بلبل مزرعه.jpg | sourceDescription: film poster,Does high-signal metadata support this target geography?
RGN-QA-023,auto_map_stratified,Iran,REG013,GEO057,SURF-CRG2026R1583,CRG2026R1583,اینم یه جورشه.jpg,1959,1930_1970,Wikimedia Commons file source / اینم یه جورشه.jpg / page 155977478,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Iran | sourceSubjects: Middle East and North Africa; Iran; film poster; Category:1959 film posters of Iran Category:Film posters by Pateh Agency Category:Film posters of Iran Category:Images with extract | title: اینم یه جورشه.jpg | sourceDescription: film poster,Does high-signal metadata support this target geography?
RGN-QA-024,auto_map_stratified,Iran,REG013,GEO057,SURF-CRG2026R1629,CRG2026R1629,آس و پاس (پوستر).jpg,1961,1930_1970,Wikimedia Commons file source / آس و پاس (پوستر).jpg / page 155976915,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Iran | sourceSubjects: Middle East and North Africa; Iran; film poster; Category:1961 film posters of Iran Category:Film posters by Mohsen Davallou Category:Film posters of Iran Category:PD Iran Category | title: آس و پاس (پوستر).jpg | sourceDescription: film poster,Does high-signal metadata support this target geography?
RGN-QA-025,auto_map_stratified,United Kingdom,REG001,GEO003,SURF-CRG2026R0004,CRG2026R0004,"The Town Hall, Market Place, Tamworth - geograph.org.uk - 1741283.jpg",1834,pre_1930,"Wikimedia Commons file source / The Town Hall, Market Place, Tamworth - geograph.org.uk - 1741283.jpg / page 14476689",Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: Global / release gate expansion | sourceSubjects: Global; release gate expansion; leaflet; Category:CC-BY-SA-2.0 Category:Images by Humphrey Bolton Category:Images from Geograph Britain and Ireland Category:Information field templ | title: The Town Hall, Market Place, Tamworth - geograph.org.uk - 1741283.jpg | sourceDescription: The Town Hall, Market Place, Tamworth Built in 1701 by Thomas Guy, M.P. for the town. It is of mellow brick with arcades at ground level, large Jacobean windows and a steeply-pitch",Does high-signal metadata support this target geography?
RGN-QA-026,auto_map_stratified,United Kingdom,REG001,GEO003,SURF-COM1970R003,COM1970R003,Барли Вайн (тип эля) БАСС №1- - лучший зимний напиток!.jpg,1890,pre_1930,Wikimedia Commons,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Unresolved region | sourceSubjects: Bass Brewery|Barley wines|PD-scan (PD-scan/PD)|English-language posters|Posters of the United Kingdom|Advertising posters|Template Unknown (author)|1890s posters | title: Барли Вайн (тип эля) БАСС №1- - лучший зимний напиток!.jpg | sourceDescription: The source does not provide extended descriptive prose. The item metadata gives date evidence: 1890; creator/attribution: Unknown author Unknown author; form/medium: Open image rec,Does high-signal metadata support this target geography?
RGN-QA-027,auto_map_stratified,United Kingdom,REG001,GEO003,SURF-COM1970R006,COM1970R006,PP D211 poster by professor herkomer for the magazine of art.jpg,1896,pre_1930,Wikimedia Commons,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: United Kingdom | sourceSubjects: PD US|Hubert von Herkomer|Advertising posters|Picture Posters (book)|1896 posters of the United Kingdom|Posters of England|PD-US missing SDC copyright status|Magazine of Art 1896 | title: PP D211 poster by professor herkomer for the magazine of art.jpg | sourceDescription: poster by professor herkomer for the magazine of art,Does high-signal metadata support this target geography?
RGN-QA-028,auto_map_stratified,United Kingdom,REG001,GEO003,SURF-CRG2026R0199,CRG2026R0199,Stamp Gibraltar 1903 2.5p.jpg,1903,pre_1930,Wikimedia Commons file source / Stamp Gibraltar 1903 2.5p.jpg / page 357580,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Global / release gate expansion | sourceSubjects: Global; release gate expansion; stamp; Category:1903 stamps of Gibraltar Category:1903 stamps of the British Empire Category:Blue stamps Category:Edward VII of the United Kingdom o | title: Stamp Gibraltar 1903 2.5p.jpg | sourceDescription: The source does not provide extended descriptive prose. The item metadata gives date evidence: 1903; place evidence: Global / release gate expansion; form/medium: release-gate open,Does high-signal metadata support this target geography?
RGN-QA-029,auto_map_stratified,United Kingdom,REG001,GEO003,SURF-CRG2026R0247,CRG2026R0247,Stamp GB Edward VII 2d Tyrian plum.jpg,1910,pre_1930,Wikimedia Commons file source / Stamp GB Edward VII 2d Tyrian plum.jpg / page 2964767,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Global / release gate expansion | sourceSubjects: Global; release gate expansion; stamp; Category:1910 stamps of the United Kingdom Category:King Edward VII stamps of the United Kingdom Category:Stamps by Emil Fuchs Category:Stamp | title: Stamp GB Edward VII 2d Tyrian plum.jpg | sourceDescription: en:Edward VII 2d Tyrian plum stamp,Does high-signal metadata support this target geography?
RGN-QA-030,auto_map_stratified,United Kingdom,REG001,GEO003,SURF-COM1970R017,COM1970R017,At the R.A. by the Underground.jpg,1913,pre_1930,Wikimedia Commons,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: United Kingdom | sourceSubjects: Tony Sarg|Royal Academy summer exhibition|PD-scan (PD-old-auto)|Advertising posters|PD-old-80|CC-PD-Mark|Paintings in art|1913 posters of the United Kingdom|London Underground post | title: At the R.A. by the Underground.jpg | sourceDescription: Poster for the London Underground with a drawing of patrons of the Royal Academy of Arts. Caption: All truly great art is refreshing. At the R.A. by the Underground. The Humours of,Does high-signal metadata support this target geography?
RGN-QA-031,auto_map_stratified,United Kingdom,REG001,GEO003,SURF-COM1970R018,COM1970R018,Up River by the Underground.jpg,1913,pre_1930,Wikimedia Commons,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: United Kingdom | sourceSubjects: Tony Sarg|Punts|Newspaper posters|PD-scan (PD-old-auto)|1913 advertisements|Advertising posters|PD-old-80|CC-PD-Mark|Posters of the River Thames|1913 posters of the United Kingdom| | title: Up River by the Underground.jpg | sourceDescription: Up river; Humours no. 6, by Tony Sarg",Does high-signal metadata support this target geography?
RGN-QA-032,auto_map_stratified,United Kingdom,REG001,GEO003,SURF-CRG2026R0323,CRG2026R0323,Stamp Nauru 1916 5p.jpg,1916,pre_1930,Wikimedia Commons file source / Stamp Nauru 1916 5p.jpg / page 260229,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Global / release gate expansion | sourceSubjects: Global; release gate expansion; stamp; Category:Files with no machine-readable author Category:Media lacking author information Category:Overprints on stamps of the United Kingdom  | title: Stamp Nauru 1916 5p.jpg | sourceDescription: Nauru 5-penny overprint stamp of 1916,Does high-signal metadata support this target geography?
RGN-QA-033,auto_map_stratified,Turkey,REG013,GEO058,SURF-CRG2026R0099,CRG2026R0099,Amsterdam - Rijksmuseum 1885 - Gallery of Honour (1st Floor) - Still Life with Turkey Pie 1627 by Pieter Claesz..jpg,1885,pre_1930,Wikimedia Commons file source / Amsterdam - Rijksmuseum 1885 - Gallery of Honour (1st Floor) - Still Life with Turkey Pie 1627 by Pieter Claesz..jpg / page 39764452,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: Middle East and North Africa / Turkey | sourceSubjects: Middle East and North Africa; Turkey; book cover; | title: Amsterdam - Rijksmuseum 1885 - Gallery of Honour (1st Floor) - Still Life with Turkey Pie 1627 by Pieter Claesz..jpg | sourceDescription: Still life with a turkey pie. Table laid with a white damast table cloth, dressed with pewter plates containing a pie, oysters, a lemon, salt, pepper and olives (?). On the table a",Does high-signal metadata support this target geography?
RGN-QA-034,auto_map_stratified,Turkey,REG013,GEO058,SURF-CCR2026R0024,CCR2026R0024,1. AUFF.jpg,1988,1970_2000,Wikimedia Commons file source / 1. AUFF.jpg / page 54334764,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Turkey | sourceSubjects: Middle East and North Africa; Turkey; poster; | title: 1. AUFF.jpg | sourceDescription: 1. ANKARA INTERNATIONAL FILM FESTIVAL,Does high-signal metadata support this target geography?
RGN-QA-035,auto_map_stratified,Turkey,REG013,GEO058,SURF-CCR2026R0025,CCR2026R0025,2. AUFF.jpg,1989,1970_2000,Wikimedia Commons file source / 2. AUFF.jpg / page 54335136,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Turkey | sourceSubjects: Middle East and North Africa; Turkey; poster; | title: 2. AUFF.jpg | sourceDescription: 2. Ankara Uluslararası Film Festivali,Does high-signal metadata support this target geography?
RGN-QA-036,auto_map_stratified,Turkey,REG013,GEO058,SURF-CCR2026R0026,CCR2026R0026,3. AUFF.jpg,1990,1970_2000,Wikimedia Commons file source / 3. AUFF.jpg / page 54355671,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Turkey | sourceSubjects: Middle East and North Africa; Turkey; poster; | title: 3. AUFF.jpg | sourceDescription: 3. Ankara Uluslararası Film Festivali,Does high-signal metadata support this target geography?
RGN-QA-037,auto_map_stratified,Turkey,REG013,GEO058,SURF-CCR2026R0027,CCR2026R0027,4. AUFF.jpg,1992,1970_2000,Wikimedia Commons file source / 4. AUFF.jpg / page 54355735,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Turkey | sourceSubjects: Middle East and North Africa; Turkey; poster; | title: 4. AUFF.jpg | sourceDescription: 4. Ankara Uluslararası Film Festivali,Does high-signal metadata support this target geography?
RGN-QA-038,auto_map_stratified,Turkey,REG013,GEO058,SURF-CCR2026R0028,CCR2026R0028,5. AUFF.jpg,1993,1970_2000,Wikimedia Commons file source / 5. AUFF.jpg / page 54334554,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Turkey | sourceSubjects: Middle East and North Africa; Turkey; poster; | title: 5. AUFF.jpg | sourceDescription: 5. ANKARA INTERNATIONAL FILM FESTIVAL,Does high-signal metadata support this target geography?
RGN-QA-039,auto_map_stratified,Turkey,REG013,GEO058,SURF-CCR2026R0029,CCR2026R0029,6. AUFF.jpg,1994,1970_2000,Wikimedia Commons file source / 6. AUFF.jpg / page 54334555,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Turkey | sourceSubjects: Middle East and North Africa; Turkey; poster; | title: 6. AUFF.jpg | sourceDescription: 6. ANKARA INTERNATIONAL FILM FESTIVAL,Does high-signal metadata support this target geography?
RGN-QA-040,auto_map_stratified,Turkey,REG013,GEO058,SURF-CCR2026R0030,CCR2026R0030,7. AUFF.jpg,1995,1970_2000,Wikimedia Commons file source / 7. AUFF.jpg / page 54334556,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Middle East and North Africa / Turkey | sourceSubjects: Middle East and North Africa; Turkey; poster; | title: 7. AUFF.jpg | sourceDescription: 7. ANKARA INTERNATIONAL FILM FESTIVAL,Does high-signal metadata support this target geography?
RGN-QA-041,auto_map_stratified,Egypt,REG013,GEO056,SURF-CRG2026R0660,CRG2026R0660,The White Rose (1933).jpg,1933,1930_1970,Wikimedia Commons file source / The White Rose (1933).jpg / page 143481685,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Africa / Egypt | sourceSubjects: Africa; Egypt; film poster; | title: The White Rose (1933).jpg | sourceDescription: Egyptian film The White Rose (1933) theatrical release poster,Does high-signal metadata support this target geography?
RGN-QA-042,auto_map_stratified,Egypt,REG013,GEO056,SURF-CRG2026R0793,CRG2026R0793,Weddad poster.jpg,1936,1930_1970,Wikimedia Commons file source / Weddad poster.jpg / page 181492148,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Africa / Egypt | sourceSubjects: Africa; Egypt; film poster; | title: Weddad poster.jpg | sourceDescription: Film poster of Egyptian film Weddad,Does high-signal metadata support this target geography?
RGN-QA-043,auto_map_stratified,Egypt,REG013,GEO056,SURF-CRG2026R0865,CRG2026R0865,غلاف يحيا الحب (1938).jpg,1938,1930_1970,Wikimedia Commons file source / غلاف يحيا الحب (1938).jpg / page 140006930,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: Africa / Egypt | sourceSubjects: Africa; Egypt; film poster; | title: غلاف يحيا الحب (1938).jpg | sourceDescription: Film poster of Egyptian film Yahia El Hub (1938),Does high-signal metadata support this target geography?
