query_index,macro,country,object_term,query,status,added,rows_after,rejects_delta,failures_delta,elapsed_seconds
55,Southeast Asia,Vietnam,poster,Vietnamese poster 1989,completed,1,9,49,0,172.2
56,Africa,South Africa,poster,South African poster 1958,completed,0,9,50,0,176.2
57,Eastern Europe / Caucasus,Poland,poster,Polish poster 1958,completed,0,9,50,0,179.8
58,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1958,completed,0,9,50,0,183.5
59,Southeast Asia,Indonesia,poster,Indonesian poster 1958,completed,0,9,50,0,187.2
60,Southeast Asia,Vietnam,poster,Vietnamese poster 1958,completed,0,9,50,0,190.9
61,Africa,South Africa,poster,South African poster 1959,completed,0,9,50,0,194.4
62,Eastern Europe / Caucasus,Poland,poster,Polish poster 1959,failed,0,9,0,1,194.5
63,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1959,completed,0,9,50,0,216.3
64,Southeast Asia,Indonesia,poster,Indonesian poster 1959,failed,0,9,0,1,216.4
65,Southeast Asia,Vietnam,poster,Vietnamese poster 1959,failed,0,9,0,1,216.5
66,Africa,South Africa,poster,South African poster 1960,completed,0,9,50,0,228.6
67,Eastern Europe / Caucasus,Poland,poster,Polish poster 1960,empty,0,9,0,0,231.4
68,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1960,completed,1,10,49,0,234.8
69,Southeast Asia,Indonesia,poster,Indonesian poster 1960,completed,1,11,49,0,238.3
70,Southeast Asia,Vietnam,poster,Vietnamese poster 1960,completed,0,11,50,0,241.6
71,Africa,South Africa,poster,South African poster 1961,failed,0,11,0,1,273.6
72,Eastern Europe / Caucasus,Poland,poster,Polish poster 1961,empty,0,11,0,0,276.2
73,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1961,completed,0,11,50,0,280.3
74,Southeast Asia,Indonesia,poster,Indonesian poster 1961,completed,0,11,50,0,284.1
75,Southeast Asia,Vietnam,poster,Vietnamese poster 1961,completed,0,11,50,0,287.3
76,Africa,South Africa,poster,South African poster 1962,failed,0,11,0,1,287.5
77,Eastern Europe / Caucasus,Poland,poster,Polish poster 1962,failed,0,11,0,1,287.8
78,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1962,completed,0,11,50,0,291.5
79,Southeast Asia,Indonesia,poster,Indonesian poster 1962,completed,0,11,50,0,294.8
80,Southeast Asia,Vietnam,poster,Vietnamese poster 1962,completed,0,11,50,0,298.1
81,Africa,South Africa,poster,South African poster 1963,failed,0,11,0,1,298.2
82,Eastern Europe / Caucasus,Poland,poster,Polish poster 1963,completed,1,12,49,0,301.7
83,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1963,completed,0,12,50,0,305.0
84,Southeast Asia,Indonesia,poster,Indonesian poster 1963,completed,0,12,50,0,308.9
85,Southeast Asia,Vietnam,poster,Vietnamese poster 1963,failed,0,12,0,1,325.7
86,Africa,South Africa,poster,South African poster 1990,failed,0,12,0,1,342.1
87,Eastern Europe / Caucasus,Poland,poster,Polish poster 1990,completed,0,12,50,0,345.5
88,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1990,completed,0,12,50,0,349.1
89,Southeast Asia,Indonesia,poster,Indonesian poster 1990,failed,0,12,0,1,349.2
90,Southeast Asia,Vietnam,poster,Vietnamese poster 1990,completed,0,12,50,0,352.7
91,Africa,South Africa,poster,South African poster 1991,failed,0,12,0,1,384.9
92,Eastern Europe / Caucasus,Poland,poster,Polish poster 1991,empty,0,12,0,0,387.1
93,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1991,failed,0,12,0,1,387.2
94,Southeast Asia,Indonesia,poster,Indonesian poster 1991,failed,0,12,0,1,387.3
95,Southeast Asia,Vietnam,poster,Vietnamese poster 1991,completed,0,12,50,0,391.3
96,Africa,South Africa,poster,South African poster 1995,failed,0,12,0,1,391.5
97,Eastern Europe / Caucasus,Poland,poster,Polish poster 1995,completed,0,12,50,0,395.2
98,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1995,failed,0,12,0,1,396.0
99,Southeast Asia,Indonesia,poster,Indonesian poster 1995,failed,0,12,0,1,396.2
100,Southeast Asia,Vietnam,poster,Vietnamese poster 1995,completed,0,12,50,0,399.5
101,Africa,South Africa,poster,South African poster 2000,completed,0,12,50,0,402.9
102,Eastern Europe / Caucasus,Poland,poster,Polish poster 2000,failed,0,12,0,1,403.0
103,Eastern Europe / Caucasus,Russia,poster,Soviet poster 2000,completed,0,12,50,0,406.8
104,Southeast Asia,Indonesia,poster,Indonesian poster 2000,completed,0,12,50,0,412.7
105,Southeast Asia,Vietnam,poster,Vietnamese poster 2000,failed,0,12,0,1,412.9
106,Africa,South Africa,poster,South African poster 2001,failed,0,12,0,1,413.0
107,Eastern Europe / Caucasus,Poland,poster,Polish poster 2001,empty,0,12,0,0,415.3
108,Eastern Europe / Caucasus,Russia,poster,Soviet poster 2001,completed,0,12,50,0,418.9
109,Southeast Asia,Indonesia,poster,Indonesian poster 2001,completed,0,12,50,0,422.8
110,Southeast Asia,Vietnam,poster,Vietnamese poster 2001,failed,0,12,0,1,422.9
111,Africa,South Africa,poster,South African poster 2004,completed,0,12,50,0,426.8
112,Eastern Europe / Caucasus,Poland,poster,Polish poster 2004,empty,0,12,0,0,429.1
113,Eastern Europe / Caucasus,Russia,poster,Soviet poster 2004,completed,0,12,50,0,437.7
114,Southeast Asia,Indonesia,poster,Indonesian poster 2004,failed,0,12,0,1,454.4
115,Southeast Asia,Vietnam,poster,Vietnamese poster 2004,failed,0,12,0,1,454.5
116,Africa,South Africa,poster,South African poster 2015,failed,0,12,0,1,454.7
117,Eastern Europe / Caucasus,Poland,poster,Polish poster 2015,empty,0,12,0,0,456.9
118,Eastern Europe / Caucasus,Russia,poster,Soviet poster 2015,completed,0,12,50,0,460.5
119,Southeast Asia,Indonesia,poster,Indonesian poster 2015,empty,0,12,0,0,462.6
120,Southeast Asia,Vietnam,poster,Vietnamese poster 2015,completed,0,12,50,0,466.7
121,Africa,South Africa,poster,South African poster 2016,completed,0,12,50,0,470.6
122,Eastern Europe / Caucasus,Poland,poster,Polish poster 2016,empty,0,12,0,0,472.9
123,Eastern Europe / Caucasus,Russia,poster,Soviet poster 2016,failed,0,12,0,1,473.2
124,Southeast Asia,Indonesia,poster,Indonesian poster 2016,failed,0,12,0,1,505.7
125,Southeast Asia,Vietnam,poster,Vietnamese poster 2016,failed,0,12,0,1,505.8
126,Africa,South Africa,poster,South African poster 2017,completed,0,12,50,0,509.7
127,Eastern Europe / Caucasus,Poland,poster,Polish poster 2017,empty,0,12,0,0,511.9
128,Eastern Europe / Caucasus,Russia,poster,Soviet poster 2017,failed,0,12,0,1,512.1
129,Southeast Asia,Indonesia,poster,Indonesian poster 2017,failed,0,12,0,1,512.2
130,Southeast Asia,Vietnam,poster,Vietnamese poster 2017,completed,0,12,50,0,516.0
131,Africa,South Africa,poster,South African poster 2018,failed,0,12,0,1,516.1
132,Eastern Europe / Caucasus,Poland,poster,Polish poster 2018,empty,0,12,0,0,520.6
133,Eastern Europe / Caucasus,Russia,poster,Soviet poster 2018,failed,0,12,0,1,554.2
134,Southeast Asia,Indonesia,poster,Indonesian poster 2018,completed,0,12,50,0,560.8
135,Southeast Asia,Vietnam,poster,Vietnamese poster 2018,completed,0,12,50,0,564.5
136,Africa,South Africa,poster,South African poster 2019,failed,0,12,0,1,596.9
137,Eastern Europe / Caucasus,Poland,poster,Polish poster 2019,failed,0,12,0,1,597.0
138,Eastern Europe / Caucasus,Russia,poster,Soviet poster 2019,completed,0,12,50,0,601.2
139,Southeast Asia,Indonesia,poster,Indonesian poster 2019,completed,0,12,50,0,605.0
140,Southeast Asia,Vietnam,poster,Vietnamese poster 2019,completed,0,12,50,0,610.1
