queue_id,candidate_id,source_name,macro_region,subregion,country_or_region,source_url,protocol_lane,adapter_type,queue_priority,queue_status,candidate_priority,probe_status,capture_priority_next,rights_risk,next_action,do_not_capture_images,rights_review_gate,notes
AQV2-012,CSS0046,Arab Image Foundation,MENA,Levant,Lebanon / Arab world,https://arabimagefoundation.org/,RSS/Atom source feed,rss_atom_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,standard_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-013,CSS0145,State Library NSW,Oceania / Indigenous,Australia / Aotearoa,Australia,https://www.sl.nsw.gov.au/,RSS/Atom source feed,rss_atom_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,community_or_cultural_review;manual_rights_review,read feed metadata and canonical links; enrich source registry without media ingestion,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; regional and Indigenous source discovery; cultural sensitivity review required"
AQV2-014,CSS0056,La Patria,Latin America,Southern Cone,Uruguay,https://lapatria.uy/,JSON-LD page metadata,html_jsonld_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,standard_rights_review,extract JSON-LD title/description/date/source fields; ignore image objects as rights evidence,true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-015,CSS0025,Taiwan Design Research Institute,East Asia,Taiwan,Taiwan,https://www.tdri.org.tw/,JSON-LD page metadata,html_jsonld_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,standard_rights_review,extract JSON-LD title/description/date/source fields; ignore image objects as rights evidence,true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-016,CSS0067,Getty Research Portal,Global,Transregional,Global,https://portal.getty.edu/,JSON-LD page metadata,html_jsonld_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,manual_rights_review,extract JSON-LD title/description/date/source fields; ignore image objects as rights evidence,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; broad source discovery for references and non-Western collection leads"
AQV2-017,CSS0043,Arabic Design Archive,MENA,Arab world,Egypt / Arab world,https://arabicdesignarchive.com/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-018,CSS0032,Grafis Nusantara,Southeast Asia,Indonesia,Indonesia,https://grafisnusantara.com/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-019,CSS0039,Priya Paul Collection,South Asia,India,India,https://artsandculture.google.com/partner/priya-paul-collection,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-020,CSS0042,SADAA,South Asia,Diaspora,South Asian diaspora,https://www.sadaa.org/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-021,CSS0126,University of Pretoria Repository,Africa,Africa / diaspora,South Africa,https://repository.up.ac.za/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; main coverage gap; source relationship and cultural sensitivity review required"
AQV2-022,CSS0128,Biblioteca Nacional Argentina,Latin America / Caribbean,National / community archives,Argentina,https://www.bn.gov.ar/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
AQV2-023,CSS0132,Biblioteca Nacional Digital de Chile,Latin America / Caribbean,National / community archives,Chile,https://www.bibliotecanacionaldigital.gob.cl/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
AQV2-024,CSS0053,Fundación IDA,Latin America,Southern Cone,Argentina,https://www.fundacionida.org/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-025,CSS0130,Hemeroteca Nacional Digital de Mexico,Latin America / Caribbean,National / community archives,Mexico,https://hndm.iib.unam.mx/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
AQV2-026,CSS0094,NDL Digital Collections,East Asia,Japan / Korea,Japan,https://dl.ndl.go.jp/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap and authority/source-registry expansion"
AQV2-027,CSS0134,Princeton Latin American Ephemera,Latin America / Caribbean,National / community archives,Latin America / Caribbean,https://lae.princeton.edu/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; strong region for non-US design history expansion and source triangulation"
AQV2-028,CSS0138,POLONA,Eastern Europe / Central Asia,Libraries / poster archives,Poland,https://polona.pl/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; under-covered Eastern Europe/Central Asia source discovery"
AQV2-029,CSS0063,Trove,Oceania,Australia,Australia,https://trove.nla.gov.au/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-030,CSS0139,e-rara,Eastern Europe / Central Asia,Libraries / poster archives,Switzerland / Europe,https://www.e-rara.ch/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; under-covered Eastern Europe/Central Asia source discovery"
AQV2-031,CSS0002,It's Nice That,Global,Independent web,United Kingdom / transnational,https://www.itsnicethat.com/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-032,CSS0008,People's Graphic Design Archive,Global,Community archive,United States / transnational,https://peoplesgdarchive.org/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,community_or_cultural_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,Important non-museum comparator; not a replacement source.
AQV2-033,CSS0005,The Brand Identity,Global,Independent web,United Kingdom / transnational,https://the-brandidentity.com/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-034,CSS0075,UnderConsideration Brand New,Global,Independent / media,Transregional,https://www.underconsideration.com/brandnew/,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P2,ok,P1 adapter build,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
AQV2-035,CSS0077,Walker Art Center Design,Global,Independent / media,Transregional,https://walkerart.org/magazine/categories/design,IIIF/source-viewer metadata,iiif_manifest_metadata_adapter,P1A_protocol_adapter,ready,P2,ok,P1 adapter build,iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
AQV2-036,CSS0148,Auckland Libraries Heritage Collections,Oceania / Indigenous,Australia / Aotearoa,Aotearoa New Zealand,https://kura.aucklandlibraries.govt.nz/,CONTENTdm source metadata,contentdm_metadata_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,community_or_cultural_review;manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; regional and Indigenous source discovery; cultural sensitivity review required"
AQV2-037,CSS0137,Czech Digital Library,Eastern Europe / Central Asia,Libraries / poster archives,Czech Republic,https://www.digitalniknihovna.cz/,Kramerius / IIIF source metadata,kramerius_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,manual_rights_review;iiif_is_viewer_not_reuse,map manifests/viewers as source-hosted display routes; no reuse claim without item-level rights,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; under-covered Eastern Europe/Central Asia source discovery"
AQV2-038,CSS0123,UCT Digital Collections,Africa,Africa / diaspora,South Africa,https://digitalcollections.lib.uct.ac.za/,Omeka source metadata,omeka_metadata_adapter,P1A_protocol_adapter,ready,P0,ok,P1 adapter build,standard_rights_review,extract source-level metadata and rights evidence only,true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; main coverage gap; source relationship and cultural sensitivity review required"
AQV2-039,CSS0029,National Library Board Singapore / BiblioAsia,Southeast Asia,Singapore,Singapore,https://biblioasia.nlb.gov.sg/,Static JS/headless metadata,headless_metadata_probe_only,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,standard_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-040,CSS0030,Roots.sg,Southeast Asia,Singapore,Singapore,https://www.roots.gov.sg/,Static JS/headless metadata,headless_metadata_probe_only,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,standard_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-041,CSS0090,CAFA Art Museum,East Asia,China / Taiwan / Hong Kong,China,https://www.cafamuseum.org/,Static JS/headless metadata,headless_metadata_probe_only,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,manual_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap; source-return and bibliographic metadata first"
AQV2-042,CSS0088,Shanghai Library,East Asia,China / Taiwan / Hong Kong,China,https://www.library.sh.cn/,Static JS/headless metadata,headless_metadata_probe_only,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,manual_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap; source-return and bibliographic metadata first"
AQV2-043,CSS0147,Te Papa Collections,Oceania / Indigenous,Australia / Aotearoa,Aotearoa New Zealand,https://collections.tepapa.govt.nz/,Static JS/headless metadata,headless_metadata_probe_only,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,community_or_cultural_review;manual_rights_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; regional and Indigenous source discovery; cultural sensitivity review required"
AQV2-044,CSS0064,AIATSIS Collection,Oceania,Australia / Indigenous,Australia / Indigenous,https://aiatsis.gov.au/collection,Static JS/headless metadata,headless_metadata_probe_only,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,community_or_cultural_review,"run headless metadata probe for rendered title, description, canonical URL, and rights text",true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-045,CSS0055,Gráfica Latina,Latin America,Latin America,Latin America / diaspora,https://graficalatina.com/,PDF text/link extraction,pdf_text_link_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,standard_rights_review,extract bibliographic text and source links only; no page-image possession,true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-046,CSS0115,29LT,MENA,Arab world / Middle East,MENA,https://www.29lt.com/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; edge-source priority; do not infer rights from visible image availability"
AQV2-047,CSS0124,African Digital Heritage,Africa,Africa / diaspora,Africa,https://www.africandigitalheritage.org/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; main coverage gap; source relationship and cultural sensitivity review required"
AQV2-048,CSS0111,Alkazi Foundation,South Asia,India / South Asia,South Asia,https://alkazifoundation.org/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; major non-Western visual culture gap; treat images conservatively"
AQV2-049,CSS0116,Barjeel Art Foundation,MENA,Arab world / Middle East,MENA,https://barjeelartfoundation.org/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; edge-source priority; do not infer rights from visible image availability"
AQV2-050,CSS0121,GALA Queer Archive,Africa,Africa / diaspora,South Africa,https://gala.co.za/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,community_or_cultural_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; main coverage gap; source relationship and cultural sensitivity review required"
AQV2-051,CSS0127,Herskovits Library,Africa,Africa / diaspora,Africa / diaspora,https://www.library.northwestern.edu/libraries-collections/herskovits-library/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; main coverage gap; source relationship and cultural sensitivity review required"
AQV2-052,CSS0112,Indian Memory Project,South Asia,India / South Asia,India,https://www.indianmemoryproject.com/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,community_or_cultural_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; major non-Western visual culture gap; treat images conservatively"
AQV2-053,CSS0109,MAP Academy,South Asia,India / South Asia,South Asia,https://mapacademy.io/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; major non-Western visual culture gap; treat images conservatively"
AQV2-054,CSS0031,Malaysian Design Archive,Southeast Asia,Malaysia,Malaysia,https://www.malaysiadesignarchive.org/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,community_or_cultural_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-055,CSS0104,National Library of the Philippines,Southeast Asia,National library / archive,Philippines,https://web.nlp.gov.ph/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; Southeast Asia coverage gap; prioritize source links and bibliographic records"
AQV2-056,CSS0054,Diseño Nacional,Latin America,Southern Cone,Chile,https://www.disenonacional.cl/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,Historical but essential coverage source; include in source scan.
AQV2-057,CSS0016,JAGDA,East Asia,Japan,Japan,https://www.jagda.or.jp/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-058,CSS0017,Tokyo Type Directors Club,East Asia,Japan,Japan,https://tokyotypedirectorsclub.org/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-059,CSS0001,Another Graphic,Global,Independent web,Transnational,https://anothergraphic.org/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P0,ok,P1 text/source enrichment,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-060,CSS0083,Creative Review,Global,Independent / media,Transregional,https://www.creativereview.co.uk/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1B_text_source_enrichment,ready,P2,ok,P1 text/source enrichment,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; post-1990 independent source discovery; use as source lead, not image mirror"
